content_surface	amount_attachment_occurrences	amount_attachment_pages	amount_attachment_loci	left_attachments	right_attachments	amount_mode_counts	amount_head_counts	amount_value_counts	line_position_counts	global_reader_exact_occurrences	global_reader_exact_pages	amount_attachment_per_global_occurrence	current_content_axes	current_working_whole_candidate_de	current_semantic_confidence	amount_attachment_priority	identity_rivals_de	evidence	semantic_identity_status	confirmed_lexeme	component_export_credit
otol	1	1	1	0	1	FUSED:1	s:1	aiin:1	MIDDLE:1	56	47	0.017857	COLD|PREPARATION	kaltes Zubereitungsgut	W3_SOLID_WORKING_THEORY	A0_SINGLE_AMOUNT_CONTACT	Kaltansatz || Mazerat || gekühlte Zubereitung	1 reader-exakte unmittelbare Mengenkontakte auf 1 Seiten; 56 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
kar	1	1	1	1	0	SEPARATED:1	or:1	aiin:1	MIDDLE:1	42	32	0.023810	HOT|PART|MATERIAL	heiße Drogenfraktion I	W3_SOLID_WORKING_THEORY	A0_SINGLE_AMOUNT_CONTACT	Drogenstoff || Pflanzenteil || gelernter Stoffname	1 reader-exakte unmittelbare Mengenkontakte auf 1 Seiten; 42 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
odaiin	1	1	1	0	1	FUSED:1	s:1	aiin:1	MIDDLE:1	42	34	0.023810	PREPARATION|LEVEL_III	Zubereitung, Wertstufe III	W3_SOLID_WORKING_THEORY	A0_SINGLE_AMOUNT_CONTACT	Ansatz || Arzneizubereitung || gelernter Zubereitungsname	1 reader-exakte unmittelbare Mengenkontakte auf 1 Seiten; 42 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
choky	1	1	1	0	1	FUSED:1	s:1	aiin:1	FIRST:1	30	26	0.033333	HOT|DRY|PREPARATION|BEGIN_STAGE	heiß-trockene Zubereitung, Grundform	W3_SOLID_WORKING_THEORY	A0_SINGLE_AMOUNT_CONTACT	Dekokt || erhitzter Ansatz || warme Zubereitung	1 reader-exakte unmittelbare Mengenkontakte auf 1 Seiten; 30 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
olkain	1	1	1	1	0	FUSED:1	or:1	aiin:1	MIDDLE:1	30	13	0.033333	HOT|MATERIAL|LEVEL_II	heißes Drogenmaterial, Grad II	W3_SOLID_WORKING_THEORY	A0_SINGLE_AMOUNT_CONTACT	Drogenstoff || Pflanzenteil || gelernter Stoffname	1 reader-exakte unmittelbare Mengenkontakte auf 1 Seiten; 30 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
sheo	1	1	1	1	0	FUSED:1	or:1	aiin:1	MIDDLE:1	28	24	0.035714	MOIST|PREPARATION	Feuchtzubereitung	W3_SOLID_WORKING_THEORY	A0_SINGLE_AMOUNT_CONTACT	Mazerat || Feuchtansatz || Wasser-/Weinansatz	1 reader-exakte unmittelbare Mengenkontakte auf 1 Seiten; 28 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
cheal	1	1	1	0	1	FUSED:1	s:1	ain:1	FIRST:1	25	12	0.040000	DRY|MATERIAL|MIDDLE_STAGE	Rohstoffklasse I, trocken in der Gradmitte	W3_SOLID_WORKING_THEORY	A0_SINGLE_AMOUNT_CONTACT	getrocknete Droge || trockener Pflanzenteil || Pulver	1 reader-exakte unmittelbare Mengenkontakte auf 1 Seiten; 25 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
oteol	1	1	1	1	0	SEPARATED:1	or:1	aiin:1	MIDDLE:1	24	22	0.041667	COLD|MATERIAL|PREPARATION|PROCESS|MIDDLE_STAGE	Drogenstoff im Ansatz bis zur Mittelstufe abkühlen	W3_SOLID_WORKING_THEORY	A0_SINGLE_AMOUNT_CONTACT	Kaltansatz || Mazerat || gekühlte Zubereitung	1 reader-exakte unmittelbare Mengenkontakte auf 1 Seiten; 24 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
cheos	1	1	1	0	1	FUSED:1	s:1	aiin:1	MIDDLE:1	22	19	0.045455	DRY|AMOUNT|PREPARATION	Charge eines mitteltrockenen Ansatzes	W3_SOLID_WORKING_THEORY	A0_SINGLE_AMOUNT_CONTACT	Ansatz || Arzneizubereitung || gelernter Zubereitungsname	1 reader-exakte unmittelbare Mengenkontakte auf 1 Seiten; 22 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
dchol	1	1	1	1	0	FUSED:1	s:1	aiin:1	MIDDLE:1	20	20	0.050000	DRY|AMOUNT|MATERIAL	Maß trockenen Materials	W3_SOLID_WORKING_THEORY	A0_SINGLE_AMOUNT_CONTACT	getrocknete Droge || trockener Pflanzenteil || Pulver	1 reader-exakte unmittelbare Mengenkontakte auf 1 Seiten; 20 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
otchedy	1	1	1	0	1	FUSED:1	s:1	ain:1	MIDDLE:1	18	14	0.055556	COLD|DRY|PREPARATION|CLOSE|MIDDLE_STAGE|END_STAGE	kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen	W3_SOLID_WORKING_THEORY	A0_SINGLE_AMOUNT_CONTACT	Kaltansatz || Mazerat || gekühlte Zubereitung	1 reader-exakte unmittelbare Mengenkontakte auf 1 Seiten; 18 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
odar	1	1	1	1	0	SEPARATED:1	or:1	aiin:1	MIDDLE:1	17	15	0.058824	AMOUNT|PART|PREPARATION|PROCESS	Anteil I des Ansatzes abmessen	W2_PROVISIONAL_WORKING	A0_SINGLE_AMOUNT_CONTACT	Ansatz || Arzneizubereitung || gelernter Zubereitungsname	1 reader-exakte unmittelbare Mengenkontakte auf 1 Seiten; 17 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
keol	1	1	1	1	0	FUSED:1	s:1	aiin:1	MIDDLE:1	16	14	0.062500	HOT|MATERIAL	heißer Drogenstoff	W3_SOLID_WORKING_THEORY	A0_SINGLE_AMOUNT_CONTACT	Drogenstoff || Pflanzenteil || gelernter Stoffname	1 reader-exakte unmittelbare Mengenkontakte auf 1 Seiten; 16 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
odain	1	1	1	0	1	SEPARATED:1	or:1	aiin:1	MIDDLE:1	11	8	0.090909	PREPARATION|LEVEL_II	Zubereitung, Wertstufe II	W3_SOLID_WORKING_THEORY	A0_SINGLE_AMOUNT_CONTACT	Ansatz || Arzneizubereitung || gelernter Zubereitungsname	1 reader-exakte unmittelbare Mengenkontakte auf 1 Seiten; 11 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
okshy	1	1	1	1	0	FUSED:1	s:1	aiiin:1	MIDDLE:1	9	9	0.111111	HOT|MOIST|PREPARATION|BEGIN_STAGE	heiß-feuchter Ansatz am Anfang des Grades	W3_SOLID_WORKING_THEORY	A0_SINGLE_AMOUNT_CONTACT	Mazerat || Feuchtansatz || Wasser-/Weinansatz	1 reader-exakte unmittelbare Mengenkontakte auf 1 Seiten; 9 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
ytchor	1	1	1	1	0	FUSED:1	s:1	aiin:1	MIDDLE:1	8	7	0.125000	COLD|DRY|AMOUNT|MATERIAL	kalt-trockene Portion dieser Droge	W3_SOLID_WORKING_THEORY	A0_SINGLE_AMOUNT_CONTACT	getrocknete Droge || trockener Pflanzenteil || Pulver	1 reader-exakte unmittelbare Mengenkontakte auf 1 Seiten; 8 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
chckhedy	1	1	1	0	1	FUSED:1	s:1	aiin:1	FIRST:1	6	6	0.166667	DRY|PREPARATION|CLOSE|MIDDLE_STAGE|END_STAGE	Arzneikompositum: trocken, Gradmitte, abgeschlossen	W3_SOLID_WORKING_THEORY	A0_SINGLE_AMOUNT_CONTACT	Ansatz || Arzneizubereitung || gelernter Zubereitungsname	1 reader-exakte unmittelbare Mengenkontakte auf 1 Seiten; 6 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
cheeol	1	1	1	0	1	FUSED:1	s:1	aiin:1	FIRST:1	6	6	0.166667	DRY|MATERIAL|END_STAGE	vollständig getrockneter Drogenstoff	W3_SOLID_WORKING_THEORY	A0_SINGLE_AMOUNT_CONTACT	getrocknete Droge || trockener Pflanzenteil || Pulver	1 reader-exakte unmittelbare Mengenkontakte auf 1 Seiten; 6 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
ckhor	1	1	1	1	0	FUSED:1	or:1	aiin:1	MIDDLE:1	6	6	0.166667	AMOUNT|PREPARATION	Portion Arzneikompositum	W2_PROVISIONAL_WORKING	A0_SINGLE_AMOUNT_CONTACT	Ansatz || Arzneizubereitung || gelernter Zubereitungsname	1 reader-exakte unmittelbare Mengenkontakte auf 1 Seiten; 6 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
ockhey	1	1	1	1	0	FUSED:1	s:1	ain:1	MIDDLE:1	5	5	0.200000	PREPARATION|MIDDLE_STAGE	Ansatz eines Arzneikompositums in der Gradmitte	W2_PROVISIONAL_WORKING	A0_SINGLE_AMOUNT_CONTACT	Ansatz || Arzneizubereitung || gelernter Zubereitungsname	1 reader-exakte unmittelbare Mengenkontakte auf 1 Seiten; 5 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
cheoty	1	1	1	0	1	FUSED:1	or:1	aiin:1	MIDDLE:1	4	4	0.250000	COLD|DRY|PREPARATION|BEGIN_STAGE	trocken angesetzte kalte Zubereitung am Gradanfang	W2_PROVISIONAL_WORKING	A0_SINGLE_AMOUNT_CONTACT	Kaltansatz || Mazerat || gekühlte Zubereitung	1 reader-exakte unmittelbare Mengenkontakte auf 1 Seiten; 4 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
chokal	1	1	1	1	0	FUSED:1	s:1	aiin:1	MIDDLE:1	4	4	0.250000	HOT|DRY|MATERIAL|PREPARATION|BEGIN_STAGE	Trockenansatz aus heißem Rohstoff Klasse I am Gradanfang	W2_PROVISIONAL_WORKING	A0_SINGLE_AMOUNT_CONTACT	getrocknete Droge || trockener Pflanzenteil || Pulver	1 reader-exakte unmittelbare Mengenkontakte auf 1 Seiten; 4 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
chokey	1	1	1	0	1	SEPARATED:1	s:1	aiin:1	MIDDLE:1	4	4	0.250000	HOT|DRY|PREPARATION|MIDDLE_STAGE	heiß-trockener Ansatz in der Gradmitte	W3_SOLID_WORKING_THEORY	A0_SINGLE_AMOUNT_CONTACT	Dekokt || erhitzter Ansatz || warme Zubereitung	1 reader-exakte unmittelbare Mengenkontakte auf 1 Seiten; 4 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
otydy	1	1	1	1	0	FUSED:1	s:1	ain:1	LAST:1	2	2	0.500000	COLD|PREPARATION|CLOSE|BEGIN_STAGE|END_STAGE	kalter Ansatz in Grundform, fertig	W2_PROVISIONAL_WORKING	A0_SINGLE_AMOUNT_CONTACT	Kaltansatz || Mazerat || gekühlte Zubereitung	1 reader-exakte unmittelbare Mengenkontakte auf 1 Seiten; 2 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
qolkary	1	1	1	1	0	FUSED:1	s:1	ain:1	MIDDLE:1	1	1	1.000000	HOT|PART|MATERIAL	gib die erste erhitzte Drogenfraktion hinzu	W2_PROVISIONAL_WORKING	A0_SINGLE_AMOUNT_CONTACT	Drogenstoff || Pflanzenteil || gelernter Stoffname	1 reader-exakte unmittelbare Mengenkontakte auf 1 Seiten; 1 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
