queue_ordinal	surface	support_tier	support_band	final_recipe	weak_queue_reason	tier_trace	tier_caution	neutral_component_reading_de	known_contextual_readings_de	guard
13	qoteeod	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	WORKING_DEFAULT_FRAGMENT	OT+EE+O+D_ADDR	ANCHOR_CONTEXT_MODE_DIFFERENCE	PRIMARY[q+[~oteeo]+d]	ANCHOR_CONTEXT_MODE_DIFFERENCE | EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	Danach; auf Grad II; zur Ausführung; hier.	Danach: im laufenden Satz halte den laufenden Eintrag [wie zuvor] fest; auf Grad II und zur Ausführung; an der bezeichneten Stelle.	QUEUE_PRIORITIZATION_ONLY__CURRENT_READING_RETAINED
14	rotaiin	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	WORKING_DEFAULT_FRAGMENT	R+OT+AIIN	NEW_ATOM_INTERFACE	PRIMARY[r+[otaiin]]	NEW_ATOM_INTERFACE | EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	Den Wert markieren; danach.	Danach: kennzeichne den Kennwert.	QUEUE_PRIORITIZATION_ONLY__CURRENT_READING_RETAINED
15	saiis	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	WORKING_DEFAULT_FRAGMENT	S+A_ADDR+IIN+S	ANCHOR_CONTEXT_MODE_DIFFERENCE	PRIMARY[[sa]+iis]	ANCHOR_CONTEXT_MODE_DIFFERENCE | EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	Zweimal wählen; hier; auf der bezeichneten Stufe.	Wähle und wähle; auf der bezeichneten Stufe; an der bezeichneten Stelle.	QUEUE_PRIORITIZATION_ONLY__CURRENT_READING_RETAINED
16	shekair	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	WORKING_DEFAULT_COMPLETE_OLD_TILES	SH+E+K+AIR	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	OLD_TILES[SH+E | K+AIR]	NO_COMPLETE_OLD_PORTABLE_SKELETON_OR_ORDERED_STATEMENT_PATH	Halten und geben; auf Grad I; entlang der Bahn.	Halte den laufenden Eintrag [wie zuvor] fest und ordne den laufenden Eintrag [wie zuvor] zu; entlang der Lesebahn; auf Grad I.	QUEUE_PRIORITIZATION_ONLY__CURRENT_READING_RETAINED
17	shekaly	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	WORKING_DEFAULT_COMPLETE_OLD_TILES	SH+E+K+AL+Y	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	OLD_TILES[SH+E+K | AL+Y]	NO_COMPLETE_OLD_PORTABLE_SKELETON_OR_ORDERED_STATEMENT_PATH	Den Posten halten und geben; auf Grad I; am Zielort.	Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu; zur Zielspalte; auf Grad I.	QUEUE_PRIORITIZATION_ONLY__CURRENT_READING_RETAINED
18	shekol	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	WORKING_DEFAULT_COMPLETE_OLD_TILES	SH+E+K+OL	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	OLD_TILES[SH+E | K+OL]	NO_COMPLETE_OLD_PORTABLE_SKELETON_OR_ORDERED_STATEMENT_PATH	Halten und geben; auf Grad I; fortsetzen.	Halte den laufenden Eintrag [wie zuvor] fest und ordne den laufenden Eintrag [wie zuvor] zu; auf Grad I; führe fort.	QUEUE_PRIORITIZATION_ONLY__CURRENT_READING_RETAINED
19	shokaiir	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	WORKING_DEFAULT_FRAGMENT	SH+OK+IIN+R	ANCHOR_CONTEXT_MODE_DIFFERENCE	PRIMARY[sh+[okaiir]]	ANCHOR_CONTEXT_MODE_DIFFERENCE | EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	Halten, setzen und markieren; auf der bezeichneten Stufe.	Halte fest, trage ein und kennzeichne; auf der bezeichneten Stufe.	QUEUE_PRIORITIZATION_ONLY__CURRENT_READING_RETAINED
20	shso	ATOMS_AND_FACTORS_ONLY	WORKING_DEFAULT_NEW_ACTION_PAIR	SH+S+O	RAW_NEW_DIRECT_ACTION_PAIR_SH>S	sh→SH | s→S | o→O	NEW_DIRECT_ACTION_PAIR_SH>S__OBSERVED_SINGLETON	Halten und wählen; zur Ausführung.	Halte und wähle; zur Ausführung.	QUEUE_PRIORITIZATION_ONLY__CURRENT_READING_RETAINED
21	shyshol	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	WORKING_DEFAULT_COMPLETE_OLD_TILES	SH+Y+SH+OL	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	OLD_TILES[SH+Y | SH+OL]	NO_COMPLETE_OLD_PORTABLE_SKELETON_OR_ORDERED_STATEMENT_PATH	Den Posten zweimal halten; fortsetzen.	Halte den Pflanzenposten und halte den Pflanzenposten; führe fort.	QUEUE_PRIORITIZATION_ONLY__CURRENT_READING_RETAINED
22	tolshy	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	WORKING_DEFAULT_COMPLETE_OLD_TILES	T+OL+SH+Y	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	OLD_TILES[T+OL | SH+Y]	NO_COMPLETE_OLD_PORTABLE_SKELETON_OR_ORDERED_STATEMENT_PATH	Den Posten einstellen und halten; fortsetzen.	Stelle den Pflanzenposten ein und halte den Pflanzenposten; führe fort.	QUEUE_PRIORITIZATION_ONLY__CURRENT_READING_RETAINED
23	ypches	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	WORKING_DEFAULT_COMPLETE_OLD_TILES	Y+P+CH+E+S	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	OLD_TILES[Y+P+CH | E+S]	NO_COMPLETE_OLD_PORTABLE_SKELETON_OR_ORDERED_STATEMENT_PATH	Den Posten einsetzen, nehmen und wählen; auf Grad I.	Setze den laufenden Eintrag ein, entnimm den laufenden Eintrag und wähle den laufenden Eintrag; auf Grad I.	QUEUE_PRIORITIZATION_ONLY__CURRENT_READING_RETAINED
