target_ordinal	surface	reader_decision	support_tier	support_rank	support_band	final_recipe	target_event_count	target_physical_pages	observed_requirement_modes	visible_action_roots	visible_argument_roots	future_action_contract	future_argument_contract	minimum_future_state_for_verbal_clause	neutral_component_reading_de	known_contextual_readings_de	tier_route_class	tier_trace	tier_evidence	tier_context_relation	tier_caution	weak_queue_candidate	weak_queue_reason	source_reader	reading_scope	guard
11	chedaiir	READ_KNOWN_145_PROSE_WORKING_CARD	ATOMS_AND_FACTORS_ONLY	4	BOUNDED_SPECIAL_VISIBLE_ROUTE	CHD+IIN+R	1	f66r	REQUIRES_ACTIVE_ARGUMENT	CHD|R	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Bearbeiten und markieren; auf der bezeichneten Stufe.	Bearbeite den laufenden Eintrag [wie zuvor] und kennzeichne den laufenden Eintrag [wie zuvor]; auf der bezeichneten Stufe.	CURRENT30_DOMINANT_SHORT_RENDERER	ched→CHD | aiir→IIN+R	old_cover_paths=0;old_interfaces=1/2;execution=READ_FACTOR_GREEN	GDT540_OBSERVED_REQUIREMENT_MODE	AIIN+R remains 3/20; full known card retains final recipe	NO	NONE	GDT547_ATOMIC_FACTOR_READER	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
12	cheeo	READ_KNOWN_145_PROSE_WORKING_CARD	ATOMS_AND_FACTORS_ONLY	4	SUPPORTED_VISIBLE_ATOMS	CH+EE+O	1	f66r	REQUIRES_ACTIVE_ARGUMENT	CH	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Nehmen; auf Grad II; zur Ausführung.	Entnimm den laufenden Eintrag [wie zuvor]; auf Grad II und zur Ausführung.	OLD26_ALL_CANONICAL_VISIBLE_ATOMS	ch→CH | ee→EE | o→O	old_cover_paths=2;old_interfaces=2/2;execution=READ_FACTOR_GREEN	GDT540_OBSERVED_REQUIREMENT_MODE	NONE	NO	NONE	GDT547_ATOMIC_FACTOR_READER	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
13	chefchy	READ_KNOWN_145_PROSE_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	SUPPORTED_FRAGMENT_FRAME	CH+E+LOCAL_CHAR_F+CH+Y	1	f66r	SELF_CONTAINED	CH|CH	Y	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Den Posten zweimal nehmen; auf Grad I; hier.	Entnimm den laufenden Eintrag und entnimm den laufenden Eintrag; auf Grad I; an der bezeichneten Stelle.	ALIGNED_VISIBLE_STEM_ALL_INTERFACES_OLD	PRIMARY[[che]+fchy]	anchor=CH+E;anchor_old_events=1;old_interfaces=1/1;recurrent_channels=0;secondary=NO	TARGET_MODE_SET_EQUAL	NOT_FLAGGED	NO	NONE	GDT546_FRAGMENT_READER	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
14	chekchy	READ_KNOWN_145_PROSE_WORKING_CARD	FULL_OLD_RECIPE_CARRIER	1	STRONG_EXACT_OLD_RECIPE	CH+K+Y	1	f66r	SELF_CONTAINED	CH|K	Y	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Den Posten nehmen und geben.	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu.	VISIBLE_COMPLETE_EXACT_RECIPE_REPLICATION	OLD_COMPLETE_RECIPE[CH+K+Y] | OLD_SURFACES[chchky|chckhy|chky|ckhy|qckhsy]	old_events=29;old_surfaces=5;old_pages=14;old_statements=28	EXACT_PROFILE_MATCH	NONE__COMPLETE_OLD_RECIPE_AND_CONTEXT_PROFILE	NO	NONE	GDT541_EXACT_RECIPE_PROFILE	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
15	chekeey	READ_KNOWN_145_PROSE_WORKING_CARD	FULL_OLD_RECIPE_CARRIER	1	STRONG_EXACT_OLD_RECIPE	CH+K+EE+Y	1	f66r	SELF_CONTAINED	CH|K	Y	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Den Posten nehmen und geben; auf Grad II.	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad II.	VISIBLE_COMPLETE_EXACT_RECIPE_REPLICATION	OLD_COMPLETE_RECIPE[CH+K+EE+Y] | OLD_SURFACES[cheeky|chkeey]	old_events=6;old_surfaces=2;old_pages=6;old_statements=6	EXACT_PROFILE_MATCH	NONE__COMPLETE_OLD_RECIPE_AND_CONTEXT_PROFILE	NO	NONE	GDT541_EXACT_RECIPE_PROFILE	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
16	chekeody	READ_KNOWN_145_PROSE_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	SUPPORTED_FRAGMENT_FRAME	CH+K+E+O+DY	1	f66r	REQUIRES_ACTIVE_ARGUMENT	CH|K	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Nehmen und geben; auf Grad I; zur Ausführung; abschließen.	Entnimm den laufenden Eintrag [wie zuvor] und ordne den laufenden Eintrag [wie zuvor] zu; auf Grad I und zur Ausführung; schließe den Schritt.	ALIGNED_VISIBLE_STEM_ALL_INTERFACES_OLD	PRIMARY[chek+[eo]+dy]	anchor=E+O;anchor_old_events=2;old_interfaces=2/2;recurrent_channels=0;secondary=NO	TARGET_MODE_SET_EQUAL	NOT_FLAGGED	NO	NONE	GDT546_FRAGMENT_READER	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
17	cheod	READ_KNOWN_145_PROSE_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	SUPPORTED_FRAGMENT_FRAME	CH+E+O+D_ADDR	1	f31r	SELF_CONTAINED	CH	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Nehmen; auf Grad I; zur Ausführung; hier.	Nimm; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	EXACT_TARGET_SEQUENCE_INSIDE_OLD_SUPERCARD	PRIMARY[[cheo]+d]	anchor=CH+E+O;anchor_old_events=6;old_interfaces=1/1;recurrent_channels=1;secondary=NO	TARGET_MODE_SET_INCLUDED	NOT_FLAGGED	NO	NONE	GDT546_FRAGMENT_READER	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
18	chepakeo	READ_KNOWN_145_PROSE_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	SUPPORTED_FRAGMENT_FRAME	CH+E+P+A_ADDR+K+E+O	1	f31r	REQUIRES_ACTIVE_ARGUMENT	CH|P|K	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Nehmen, einsetzen und geben; auf Grad I; hier; erneut auf Grad I; zur Ausführung.	Nimm den Arbeitswert [wie zuvor], setze den Arbeitswert [wie zuvor] ein und gib den Arbeitswert [wie zuvor] zu; auf Grad I [außen], auf Grad I [innen] und zur Ausführung; an der bezeichneten Stelle.	ALIGNED_VISIBLE_STEM_WITH_NEW_INTERFACE	PRIMARY[[chep]+akeo] | SECONDARY[CH+E+P+A_ADDR+K+[E+O]]	anchor=CH+E+P;anchor_old_events=1;old_interfaces=0/1;recurrent_channels=0;secondary=YES	TARGET_MODE_SET_EQUAL	DUAL_DERIVATION__NO_PRIMARY_CHANGE | SECONDARY_BRIDGE_ADDED__PRIMARY_RETAINED	NO	NONE	GDT546_FRAGMENT_READER	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
19	chepos	READ_KNOWN_145_PROSE_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	SUPPORTED_FRAGMENT_FRAME	CH+E+P+O+S	1	f31r	SELF_CONTAINED	CH|P|S	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Nehmen, einsetzen und wählen; auf Grad I; zur Ausführung.	Nimm, setze ein und wähle; auf Grad I und zur Ausführung.	ALIGNED_VISIBLE_STEM_ALL_INTERFACES_OLD	PRIMARY[[chep]+os] | SECONDARY[[CH+E]+P+O+S]	anchor=CH+E+P;anchor_old_events=1;old_interfaces=1/1;recurrent_channels=0;secondary=YES	TARGET_MODE_SET_DISJOINT	DUAL_DERIVATION__NO_PRIMARY_CHANGE | SECONDARY_BRIDGE_ADDED__PRIMARY_RETAINED	NO	NONE	GDT546_FRAGMENT_READER	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
20	cheta	READ_KNOWN_145_PROSE_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	SUPPORTED_FRAGMENT_FRAME	CH+E+T+A_ADDR	1	f66r	SELF_CONTAINED	CH|T	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Nehmen und einstellen; auf Grad I; hier.	Entnimm und lege fest; auf Grad I; an der bezeichneten Stelle.	ALIGNED_VISIBLE_STEM_ALL_INTERFACES_OLD	PRIMARY[[che]+ta]	anchor=CH+E;anchor_old_events=1;old_interfaces=1/1;recurrent_channels=0;secondary=NO	TARGET_MODE_SET_EQUAL	NOT_FLAGGED	NO	NONE	GDT546_FRAGMENT_READER	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
21	choekeey	READ_KNOWN_145_PROSE_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	SUPPORTED_FRAGMENT_FRAME	CH+O+E+K+EE+Y	1	f66r	SELF_CONTAINED	CH|K	Y	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Den Posten nehmen und geben; zur Ausführung; auf Grad I; auf Grad II.	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; zur Ausführung, auf Grad I und auf Grad II.	ALIGNED_VISIBLE_STEM_ALL_INTERFACES_OLD	PRIMARY[choe+[keey]]	anchor=K+EE+Y;anchor_old_events=9;old_interfaces=1/1;recurrent_channels=0;secondary=NO	TARGET_MODE_SET_EQUAL	NOT_FLAGGED	NO	NONE	GDT546_FRAGMENT_READER	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
22	choiin	READ_KNOWN_145_PROSE_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	SUPPORTED_FRAGMENT_FRAME	CH+O+IIN	1	f20v	REQUIRES_ACTIVE_ARGUMENT	CH	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Nehmen; zur Ausführung; auf der bezeichneten Stufe.	Nimm den Pflanzenposten [wie zuvor]; zur Ausführung und auf der bezeichneten Stufe.	REPEATED_INVARIANT_VISIBLE_EXTENSION_CHANNEL	PRIMARY[ch+[oiin]]	anchor=O+IIN;anchor_old_events=13;old_interfaces=1/1;recurrent_channels=1;secondary=NO	TARGET_MODE_SET_INCLUDED	NOT_FLAGGED	NO	NONE	GDT546_FRAGMENT_READER	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
23	cholpchd	READ_KNOWN_145_PROSE_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	SUPPORTED_FRAGMENT_FRAME	OL+P+CHD	1	f66r	REQUIRES_ACTIVE_ARGUMENT	P|CHD	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Fortsetzen; einsetzen und bearbeiten.	Setze den laufenden Eintrag [wie zuvor] ein und bearbeite den laufenden Eintrag [wie zuvor]; führe fort.	EXACT_TARGET_SEQUENCE_INSIDE_OLD_SUPERCARD	PRIMARY[[NO_EXACT_OLD_VISIBLE_STEM]]	anchor=OL+P;anchor_old_events=1;old_interfaces=1/1;recurrent_channels=0;secondary=NO	TARGET_MODE_SET_EQUAL	NOT_FLAGGED	NO	NONE	GDT546_FRAGMENT_READER	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
24	choraiin	READ_KNOWN_145_PROSE_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	SUPPORTED_FRAGMENT_FRAME	CH+OR+AIIN	1	f4r	SELF_CONTAINED	CH	OR|AIIN	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Die Einheit und den Wert nehmen.	Nimm die Arbeitseinheit und den Arbeitswert.	REPEATED_INVARIANT_VISIBLE_EXTENSION_CHANNEL	PRIMARY[[chor]+aiin]	anchor=CH+OR;anchor_old_events=23;old_interfaces=1/1;recurrent_channels=1;secondary=NO	TARGET_MODE_SET_EQUAL	NOT_FLAGGED	NO	NONE	GDT546_FRAGMENT_READER	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
