teaching_unit_id	layer	recognition_forms	old_spoken_value_de	new_spoken_value_de	old_context_value_de	new_context_value_de	reason
R-T	A_COMMON_PRODUCTIVE_ROOT	T	EINSTELLEN	EINSTELLEN	EINSTELLEN	Menge, Dauer oder Stufe einstellen | Stufe oder Stellung einstellen | Stellung/Grad einstellen	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-AIN	A_COMMON_PRODUCTIVE_ROOT	AIN	EINHEIT	EINHEIT	EINHEIT	eine Portion | eine Stationsfüllung | eine Tabellen- oder Ringzelle	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-R	A_COMMON_PRODUCTIVE_ROOT	R	MARKIEREN	MARKIEREN	MARKIEREN	den Teilgang oder Zustand kennzeichnen | Stationszustand markieren | Platz kennzeichnen	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-P	A_COMMON_PRODUCTIVE_ROOT	P	EINSETZEN	EINSETZEN	EINSETZEN	den Pflanzenteil einbringen | in Becken oder Anschluss einsetzen | in Ring/Tabelle eintragen	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-CTH	A_COMMON_PRODUCTIVE_ROOT	CTH	BEREIT	BEREIT	BEREIT	gebrauchsfertig | anwendungsbereit | gültiger/freigegebener Eintrag	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-SHED	A_COMMON_PRODUCTIVE_ROOT	SHED	ABSETZEN	ABSETZEN	ABSETZEN	stehen und absetzen lassen | im Becken absetzen lassen | Eintrag ablegen	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-CKH	A_COMMON_PRODUCTIVE_ROOT	CKH	DURCHLASS	DURCHLASS	DURCHLASS	durch Tuch, Sieb oder Auslass | durch sichtbaren Anschluss/Durchlass | formale Verbindung	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-AM_ADDR	A_COMMON_PRODUCTIVE_ROOT	AM_ADDR	INNEN	INNEN	INNEN	im Gefäß oder inneren Anteil | im inneren Becken | Innenring/-platz	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-CHEO	A_COMMON_PRODUCTIVE_ROOT	CHEO	AUSZUG	AUSZUG	AUSZUG	der gewonnene Auszug | Arbeitsauszug oder laufende Flüssigkeit | lokale Eintragsklasse	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-DA	A_COMMON_PRODUCTIVE_ROOT	DA	ZWEIT	ZWEIT	ZWEIT	zweiter Ansatz oder zweite Zugabe | zweite Station oder zweite Füllung | zweiter Ring/zweite Stufe	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-CARRIER_Q	A_COMMON_PRODUCTIVE_ROOT	CARRIER_Q	BEGINNEN	START	BEGINNEN	einen neuen Ansatz beginnen | neue Stationszelle beginnen | neue Reihe beginnen	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-A_ADDR	A_COMMON_PRODUCTIVE_ROOT	A_ADDR	ORT	ORT	ORT	die bezeichnete Gefäß-/Gebrauchsstelle | sichtbare Station | lokale Adresse	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-AIR	A_COMMON_PRODUCTIVE_ROOT	AIR	LAUF	LAUF	LAUF	der Flüssigkeitslauf | lokaler Wasser-/Arbeitslauf | Ringlauf	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-CHK	A_COMMON_PRODUCTIVE_ROOT	CHK	BEHANDELN	BEHANDELN	BEHANDELN	zerkleinern, wärmen, mischen oder bearbeiten | baden, waschen oder technisch bearbeiten | eingetragene Regel anwenden	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-IIN	A_COMMON_PRODUCTIVE_ROOT	IIN	STUFE	STUFE	STUFE	Ernte-, Reife- oder Arbeitsstufe | Stationsstufe | Grad/Stufe	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-S_ADDR	B_RARE_PRODUCTIVE_EXTENSION	S_ADDR	STERNORT	STERNORT	STERNORT	zugeordneter Himmelsplatz | sternort | sternort	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-SOLK	A_COMMON_PRODUCTIVE_ROOT	SOLK	AUFFANGEN	AUFFANGEN	auffangen	im Gefäß auffangen | im Empfangsbecken auffangen | Ergebnisplatz	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-EEE	A_COMMON_PRODUCTIVE_ROOT	EEE	VOLL	VOLL	VOLL	bis zum vollen Grad | vollständig halten/füllen | voller Grad	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-LSH	A_COMMON_PRODUCTIVE_ROOT	LSH	SPÜLEN	SPÜLEN	SPÜLEN	mit Arbeitsflüssigkeit spülen | Becken oder Körperstelle spülen | Reihe durchlaufen	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-LOCAL_CHAR_F	B_RARE_PRODUCTIVE_EXTENSION	LOCAL_CHAR_F	NEBENWEG	NEBENWEG	NEBENWEG	zweiter Auszug oder Nebenweg | Nebenrinne oder Nebenstation | Nebenring/-zweig	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-CPH	B_RARE_PRODUCTIVE_EXTENSION	CPH	UMLEITEN	UMLEITEN	UMLEITEN	in einen anderen Empfänger leiten | zum anderen Becken umleiten | auf Alternativplatz führen	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-HO	B_RARE_PRODUCTIVE_EXTENSION	HO	TEILSTOFF	TEILSTOFF	TEILSTOFF	weiterer Pflanzenteil oder Hilfsstoff | Badezusatz oder Arbeitsstoff | Unterklasse	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-AN	B_RARE_PRODUCTIVE_EXTENSION	AN	ZUSATZ	ZUSATZ	Zusatz	ein Zusatz | Zusatz in der Station | Zusatzmarke	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-G_LABEL	B_RARE_PRODUCTIVE_EXTENSION	G_LABEL	PRÜFEN	PRÜFEN	PRÜFEN	Farbe, Klarheit oder Zustand prüfen | sichtbaren Zustand prüfen | Platz/Regel prüfen	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-CFH	B_RARE_PRODUCTIVE_EXTENSION	CFH	TRENNEN	TRENNEN	TRENNEN	Fraktion oder Pflanzenteil trennen | Lauf oder Fraktion trennen | Klasse oder Ring trennen	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-LOCAL_CHAR_G	B_RARE_PRODUCTIVE_EXTENSION	LOCAL_CHAR_G	EINMAL	EINMAL	EINMAL	einmal oder eine Portion | ein Durchgang | ein Platz/ein Umlauf	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-LOCAL_CHAR_I	B_RARE_PRODUCTIVE_EXTENSION	LOCAL_CHAR_I	UNTERSTUFE	UNTERSTUFE	UNTERSTUFE	untere/zweite Arbeitsstufe | untere Station/Stufe | Untergrad	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-OS	B_RARE_PRODUCTIVE_EXTENSION	OS	DAZU	DAZU	DAZU	zum bisherigen Ansatz | zur aktuellen Station | zugeordnet	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-D_LABEL	B_RARE_PRODUCTIVE_EXTENSION	D_LABEL	RAND	RAND	RAND	am Gefäßrand oder äußeren Anteil | am Beckenrand | Außenrand	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-LOCAL_CHAR_B	B_RARE_PRODUCTIVE_EXTENSION	LOCAL_CHAR_B	PAAR	PAAR	PAAR	ein Paar oder zwei gleiche Portionen | Paarbecken oder Paarposten | Paarposten	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-M_LOCAL	B_RARE_PRODUCTIVE_EXTENSION	M_LOCAL	MITTE	MITTE	MITTE	im Mittelgefäß oder mittleren Anteil | Mittelbecken/Mittelstelle | Mittelpunkt/Mittelplatz	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-LD	B_RARE_PRODUCTIVE_EXTENSION	LD	BEFESTIGEN	BEFESTIGEN	befestigen	Auflage oder Einsatz befestigen | Auflage oder Einsatz befestigen | Marke fixieren	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-LOCAL_CHAR_J	B_RARE_PRODUCTIVE_EXTENSION	LOCAL_CHAR_J	VERBINDEN	VERBINDEN	VERBINDEN	Materialien oder Gefäßwege verbinden | zwei Stationen verbinden | Plätze verbinden	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-RESUME_CARD	B_RARE_PRODUCTIVE_EXTENSION	RESUME_CARD	WIEDER	WIEDER	WIEDER	den Gang wiederholen | Stationsgang wiederholen | Platzfolge wiederholen	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
F001	C_LEARNED_FORMULA_CARD	CHD+Y	UMSETZEN · DIES	UMSETZEN · POSTEN	UMSETZEN · DIES	UMSETZEN · POSTEN	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
F002	C_LEARNED_FORMULA_CARD	SHED+DY	ABSETZEN · SCHLIESSEN	ABSETZEN · SCHLUSS	ABSETZEN · SCHLIESSEN	ABSETZEN · SCHLUSS	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
F003	C_LEARNED_FORMULA_CARD	OK+E+DY	SETZEN · KURZ · SCHLIESSEN	SETZEN · KURZ · SCHLUSS	SETZEN · KURZ · SCHLIESSEN	SETZEN · KURZ · SCHLUSS	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
F004	C_LEARNED_FORMULA_CARD	OK+EE+DY	SETZEN · LÄNGER · SCHLIESSEN	SETZEN · LÄNGER · SCHLUSS	SETZEN · LÄNGER · SCHLIESSEN	SETZEN · LÄNGER · SCHLUSS	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
F005	C_LEARNED_FORMULA_CARD	OK+Y	SETZEN · DIES	SETZEN · POSTEN	SETZEN · DIES	SETZEN · POSTEN	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
F007	C_LEARNED_FORMULA_CARD	OK+EE+Y	SETZEN · LÄNGER · DIES	SETZEN · LÄNGER · POSTEN	SETZEN · LÄNGER · DIES	SETZEN · LÄNGER · POSTEN	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
F010	C_LEARNED_FORMULA_CARD	SH+E+Y	HALTEN · KURZ · DIES	HALTEN · KURZ · POSTEN	HALTEN · KURZ · DIES	HALTEN · KURZ · POSTEN	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
F011	C_LEARNED_FORMULA_CARD	OT+Y	DANACH · DIES	DANACH · POSTEN	DANACH · DIES	DANACH · POSTEN	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
F014	C_LEARNED_FORMULA_CARD	SH+EE+Y	HALTEN · LÄNGER · DIES	HALTEN · LÄNGER · POSTEN	HALTEN · LÄNGER · DIES	HALTEN · LÄNGER · POSTEN	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
F015	C_LEARNED_FORMULA_CARD	L+CHD+DY	LEITEN · UMSETZEN · SCHLIESSEN	LEITEN · UMSETZEN · SCHLUSS	LEITEN · UMSETZEN · SCHLIESSEN	LEITEN · UMSETZEN · SCHLUSS	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
F017	C_LEARNED_FORMULA_CARD	OK+E+Y	SETZEN · KURZ · DIES	SETZEN · KURZ · POSTEN	SETZEN · KURZ · DIES	SETZEN · KURZ · POSTEN	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
F018	C_LEARNED_FORMULA_CARD	OL+DY	FORTSETZEN · SCHLIESSEN	FORTSETZEN · SCHLUSS	FORTSETZEN · SCHLIESSEN	FORTSETZEN · SCHLUSS	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
F020	C_LEARNED_FORMULA_CARD	CKH+Y	DURCHLASS · DIES	DURCHLASS · POSTEN	DURCHLASS · DIES	DURCHLASS · POSTEN	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
F021	C_LEARNED_FORMULA_CARD	OT+E+DY	DANACH · KURZ · SCHLIESSEN	DANACH · KURZ · SCHLUSS	DANACH · KURZ · SCHLIESSEN	DANACH · KURZ · SCHLUSS	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
F022	C_LEARNED_FORMULA_CARD	OT+EE+DY	DANACH · LÄNGER · SCHLIESSEN	DANACH · LÄNGER · SCHLUSS	DANACH · LÄNGER · SCHLIESSEN	DANACH · LÄNGER · SCHLUSS	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
F023	C_LEARNED_FORMULA_CARD	OT+EE+Y	DANACH · LÄNGER · DIES	DANACH · LÄNGER · POSTEN	DANACH · LÄNGER · DIES	DANACH · LÄNGER · POSTEN	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
F025	C_LEARNED_FORMULA_CARD	CTH+Y	BEREIT · DIES	BEREIT · POSTEN	BEREIT · DIES	BEREIT · POSTEN	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
F026	C_LEARNED_FORMULA_CARD	OT+OR	DANACH · SATZ	DANACH · ARBEITSSATZ	DANACH · SATZ	DANACH · ARBEITSSATZ	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
F036	C_LEARNED_FORMULA_CARD	OL+Y	FORTSETZEN · DIES	FORTSETZEN · POSTEN	FORTSETZEN · DIES	FORTSETZEN · POSTEN	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
