residual_rank	canonical_to_observed	canonical_surface	observed_surface	position_class	rule_applied	event_count	card_count	cards	pages	events
48	chey>shy	chey	shy	FINAL	DEFAULT_KEEP	1	1	MC123	f10r	E023
49	chey>sy	chey	sy	FINAL	DEFAULT_KEEP	1	1	MC123	f83r	E273
50	chey>y	chey	y	MEDIAL	DEFAULT_KEEP	1	1	MC123	f55v	E072
51	chokchy>okchy	chokchy	okchy	INITIAL	DEFAULT_KEEP	1	1	MC103	f56r	E091
52	chokchy>qokchy	chokchy	qokchy	INITIAL	DEFAULT_KEEP	1	1	MC103	f10r	E011
53	choky>oky	choky	oky	MEDIAL	DEFAULT_KEEP	1	1	MC026	f10r	E008
54	choky>qoky	choky	qoky	INITIAL	DEFAULT_KEEP	1	1	MC026	f83r	E298
55	choky>qoky	choky	qoky	ONLY	DEFAULT_KEEP	1	1	MC026	f83r	E247
56	cholor>olor	cholor	olor	INITIAL	DEFAULT_KEEP	1	1	MC157	f81v	E113
57	chor>or	chor	or	MEDIAL	DEFAULT_KEEP	1	1	MC080	f55v	E071
58	chor>shor	chor	shor	MEDIAL	DEFAULT_KEEP	1	1	MC080	f10r	E033
59	chor>sor	chor	sor	INITIAL	R4	1	1	MC080	f83r	E254
60	dchedy>schedy	dchedy	schedy	ONLY	DEFAULT_KEEP	1	1	MC025	f83r	E239
61	dchedy>tchedy	dchedy	tchedy	ONLY	DEFAULT_KEEP	1	1	MC025	f83r	E283
62	dchol>schol	dchol	schol	INITIAL	DEFAULT_KEEP	1	1	MC142	f56r	E083
63	oiiin>soiiin	oiiin	soiiin	INITIAL	DEFAULT_KEEP	1	1	MC033	f83r	E309
64	okaiin>qokaiin	okaiin	qokaiin	FINAL	DEFAULT_KEEP	1	1	MC120	f82r	E180
65	okain>qokain	okain	qokain	MEDIAL	DEFAULT_KEEP	1	1	MC017	f83r	E288
66	okchedy>qokchedy	okchedy	qokchedy	ONLY	DEFAULT_KEEP	1	1	MC005	f83r	E264
67	okeey>okeey	okeey	okeey	MEDIAL	R1	1	1	MC002	f81v	E153
68	olkain>qolkain	olkain	qolkain	INITIAL	DEFAULT_KEEP	1	1	MC097	f83r	E358
69	olkeedy>solkeedy	olkeedy	solkeedy	ONLY	DEFAULT_KEEP	1	1	MC045	f83r	E291
70	otaiin>sotaiin	otaiin	sotaiin	INITIAL	DEFAULT_KEEP	1	1	MC060	f82r	E190
71	otal>qotal	otal	qotal	INITIAL	DEFAULT_KEEP	1	1	MC093	f83r	E230
72	otchedy>qotchedy	otchedy	qotchedy	ONLY	DEFAULT_KEEP	1	1	MC057	f83r	E281
73	qcthey>shcthey	qcthey	shcthey	MEDIAL	DEFAULT_KEEP	1	1	MC073	f83r	E258
