surface	selection_rank	page	locus	reader_support	zl3b_line	tokenwise_v31_de	working_reading_de	syntax_note
qokar	2	f83v	f83v.26	ALL_THREE_EXACT	sal chear shey qokar shedy qokain ollchy	Saat-Rohstoff I | trockene Fraktion I | feucht in der Mitte des Grades | heiße Drogenfraktion I | feucht in der Mitte des Grades, abgeschlossen | heiß, Grad II | [ollchy:?]	Saat-Rohstoff I; trockene Fraktion I; feucht in der Mitte des Grades; heiße Drogenfraktion I; feucht in der Mitte des Grades, abgeschlossen; heiß, Grad II; [ollchy:?]	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
qokar	3	f89v1	f89v1.12	ALL_THREE_EXACT	qokar odaiin	heiße Drogenfraktion I | Zubereitungsdosis III	Heiße Drogenfraktion I, Zubereitungsdosis III.	MANUAL_SEQUENCE_READING__TOKENWISE_BASELINE_RETAINED
rkar	1	f103r	f103r.5	ALL_THREE_EXACT	pocharal okedar shedy oteey qokey lkar sheeky okalor shedy yt rkar ota okdy	[pocharal:?] | [okedar:?] | feucht in der Mitte des Grades, abgeschlossen | kalter Ansatz am Ende des Grades | heiß in der Mitte des Grades | heiße Holzfraktion I | [sheeky:?] | [okalor:?] | feucht in der Mitte des Grades, abgeschlossen | [yt:?] | heiße Wurzelfraktion I | [ota:?] | heißer Ansatz am Anfang des Grades, abgeschlossen	[pocharal:?]; [okedar:?]; feucht in der Mitte des Grades, abgeschlossen; kalter Ansatz am Ende des Grades; heiß in der Mitte des Grades; heiße Holzfraktion I; [sheeky:?]; [okalor:?]; feucht in der Mitte des Grades, abgeschlossen; [yt:?]; heiße Wurzelfraktion I; [ota:?]; heißer Ansatz am Anfang des Grades, abgeschlossen	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
kor	1	f33r	f33r.5	ALL_THREE_EXACT	pair or aiin otaiin ol kor aiin okal otal chdal shekal qokar otam	Pulverfraktion II | Drogenportion | Menge III | kalt im Zubereitungsrahmen, Grad III | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | heiße Drogenportion | Menge III | Ansatz aus heißem Rohstoff, Form I | Ansatz aus kaltem Rohstoff, Form I | [chdal:?] | [shekal:?] | heiße Drogenfraktion I | [otam:?]	Pulverfraktion II; Drogenportion; Menge III; kalt im Zubereitungsrahmen, Grad III; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; heiße Drogenportion; Menge III; Ansatz aus heißem Rohstoff, Form I; Ansatz aus kaltem Rohstoff, Form I; [chdal:?]; [shekal:?]; heiße Drogenfraktion I; [otam:?]	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
kor	2	f29v	f29v.3	ALL_THREE_EXACT	chol chol kor shey odaiin qotchy taiin s she otey sy	trocken; nominal trockenes Gut/Material | trocken; nominal trockenes Gut/Material | heiße Drogenportion | feucht in der Mitte des Grades | Zubereitungsdosis III | kalt und trocken am Anfang des Grades | kalt, Grad III | [s:?] | feucht, attributiv gebunden | kalter Ansatz in der Mitte des Grades | Saatgut in Grundform	trocken; nominal trockenes Gut/Material; trocken; nominal trockenes Gut/Material; heiße Drogenportion; feucht in der Mitte des Grades; Zubereitungsdosis III; kalt und trocken am Anfang des Grades; kalt, Grad III; [s:?]; feucht, attributiv gebunden; kalter Ansatz in der Mitte des Grades; Saatgut in Grundform	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
tar	1	f39v	f39v.9	ALL_THREE_EXACT	tar aiin dal ar ain cheor ydam shody okal shd y kshy or	kalte Drogenfraktion I | Menge III | [dal:?] | Drogenfraktion I | Menge-/Klassenwert II | trockener Drogenteil | [ydam:?] | [shody:?] | Ansatz aus heißem Rohstoff, Form I | [shd:?] | [y:?] | heiß und feucht am Anfang des Grades | Drogenportion	kalte Drogenfraktion I; Menge III; [dal:?]; Drogenfraktion I; Menge-/Klassenwert II; trockener Drogenteil; [ydam:?]; [shody:?]; Ansatz aus heißem Rohstoff, Form I; [shd:?]; [y:?]; heiß und feucht am Anfang des Grades; Drogenportion	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
tar	2	f86v6	f86v6.5	ALL_THREE_EXACT	tar lol chol olkar daiin chear or otshey qokar opchey taiky qotar	kalte Drogenfraktion I | Holzstoff | trocken; nominal trockenes Gut/Material | [olkar:?] | Grad-/Maßwert III | trockene Fraktion I | Drogenportion | kalt-feuchter Ansatz in der Mitte des Grades | heiße Drogenfraktion I | [opchey:?] | [taiky:?] | kalte Drogenfraktion I	kalte Drogenfraktion I; Holzstoff; trocken; nominal trockenes Gut/Material; [olkar:?]; Grad-/Maßwert III; trockene Fraktion I; Drogenportion; kalt-feuchter Ansatz in der Mitte des Grades; heiße Drogenfraktion I; [opchey:?]; [taiky:?]; kalte Drogenfraktion I	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
tor	1	f47r	f47r.10	ALL_THREE_EXACT	shy otcho keey tor chey otchy tchol dain dam	feucht am Anfang des Grades | kalt-trockene Zubereitung | heiß am Ende des Grades | kalte Drogenportion | trocken in der Mitte des Grades | kalt-trockener Ansatz am Anfang des Grades | [tchol:?] | Qualitätsgrad II | [dam:?]	feucht am Anfang des Grades; kalt-trockene Zubereitung; heiß am Ende des Grades; kalte Drogenportion; trocken in der Mitte des Grades; kalt-trockener Ansatz am Anfang des Grades; [tchol:?]; Qualitätsgrad II; [dam:?]	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
tor	2	f80r	f80r.38	ALL_THREE_EXACT	sor olky qoty ty tor sheyky t otol opchedy qokain sheky qokain ol	Samenportion | [olky:?] | kalt am Anfang des Grades | kalt am Anfang des Grades | kalte Drogenportion | [sheyky:?] | [t:?] | kaltes Zubereitungsgut | [opchedy:?] | heiß, Grad II | [sheky:?] | heiß, Grad II | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	Samenportion; [olky:?]; kalt am Anfang des Grades; kalt am Anfang des Grades; kalte Drogenportion; [sheyky:?]; [t:?]; kaltes Zubereitungsgut; [opchedy:?]; heiß, Grad II; [sheky:?]; heiß, Grad II; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
oar	1	f86v5	f86v5.21	ALL_THREE_EXACT	oar ar aiin okaiin yteey ytaiin qokees aiin yteey qotey lkey	Drogenfraktion I im Ansatz | Drogenfraktion I | Menge III | heiß, Grad III, im Ansatzrahmen | [yteey:?] | [ytaiin:?] | [qokees:?] | Menge III | [yteey:?] | kalt in der Mitte des Grades | [lkey:?]	Drogenfraktion I im Ansatz; Drogenfraktion I; Menge III; heiß, Grad III, im Ansatzrahmen; [yteey:?]; [ytaiin:?]; [qokees:?]; Menge III; [yteey:?]; kalt in der Mitte des Grades; [lkey:?]	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
oar	2	f86v5	f86v5.24	ALL_THREE_EXACT	oar aiin ykain okal kchody chckhy otaiin olkar otaiin	Drogenfraktion I im Ansatz | Menge III | [ykain:?] | Ansatz aus heißem Rohstoff, Form I | [kchody:?] | Arzneikompositum: trocken, Gradanfang | kalt im Zubereitungsrahmen, Grad III | [olkar:?] | kalt im Zubereitungsrahmen, Grad III	Drogenfraktion I im Ansatz; Menge III; [ykain:?]; Ansatz aus heißem Rohstoff, Form I; [kchody:?]; Arzneikompositum: trocken, Gradanfang; kalt im Zubereitungsrahmen, Grad III; [olkar:?]; kalt im Zubereitungsrahmen, Grad III	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
oor	1	f52v	f52v.3	ALL_THREE_EXACT	oor chor chochar ls chteeor ytol sheol otam	Drogenportion im Ansatz | Pflanzen-/Reproduktionsteil | [chochar:?] | [ls:?] | [chteeor:?] | [ytol:?] | feuchtes Material | [otam:?]	Drogenportion im Ansatz; Pflanzen-/Reproduktionsteil; [chochar:?]; [ls:?]; [chteeor:?]; [ytol:?]; feuchtes Material; [otam:?]	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
okar	1	f86v5	f86v5.11	ALL_THREE_EXACT	taral okar octhey sal kaiin ytal chey otal aiiin olkam	[taral:?] | heiße Drogenfraktion I im Ansatz | CTH-Zubereitung/Ansatz, Form I | Saat-Rohstoff I | heiß, Grad III | [ytal:?] | trocken in der Mitte des Grades | Ansatz aus kaltem Rohstoff, Form I | Menge-/Klassenwert IV | heißes Material [terminal-M]	[taral:?]; heiße Drogenfraktion I im Ansatz; CTH-Zubereitung/Ansatz, Form I; Saat-Rohstoff I; heiß, Grad III; [ytal:?]; trocken in der Mitte des Grades; Ansatz aus kaltem Rohstoff, Form I; Menge-/Klassenwert IV; heißes Material [terminal-M]	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
okar	2	f86v6	f86v6.28	ALL_THREE_EXACT	qokaiin qokar okar qotar lor qokchdy dar shey d y tshedy qotol dytshy dy	heiß, Grad III | heiße Drogenfraktion I | heiße Drogenfraktion I im Ansatz | kalte Drogenfraktion I | Holzportion | heiß und trocken am Anfang des Grades, abgeschlossen | abgemessene Fraktion I | feucht in der Mitte des Grades | [d:?] | [y:?] | kalt und feucht in der Mitte des Grades, abgeschlossen | kaltes Material | [dytshy:?] | [dy:?]	heiß, Grad III; heiße Drogenfraktion I; heiße Drogenfraktion I im Ansatz; kalte Drogenfraktion I; Holzportion; heiß und trocken am Anfang des Grades, abgeschlossen; abgemessene Fraktion I; feucht in der Mitte des Grades; [d:?]; [y:?]; kalt und feucht in der Mitte des Grades, abgeschlossen; kaltes Material; [dytshy:?]; [dy:?]	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
okor	1	f9r	f9r.3	ALL_THREE_EXACT	toiin cphy qotod otaiin cthy okor chey ctho d ram	kalte Zubereitung, Form III | [cphy:?] | [qotod:?] | kalt im Zubereitungsrahmen, Grad III | CTH-Drogenmaterial | heiße Drogenportion im Ansatz | trocken in der Mitte des Grades | [ctho:?] | [d:?] | Wurzel/Wurzeldroge: Maß-/Einheitsform I	kalte Zubereitung, Form III; [cphy:?]; [qotod:?]; kalt im Zubereitungsrahmen, Grad III; CTH-Drogenmaterial; heiße Drogenportion im Ansatz; trocken in der Mitte des Grades; [ctho:?]; [d:?]; Wurzel/Wurzeldroge: Maß-/Einheitsform I	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
okor	2	f17r	f17r.3	ALL_THREE_EXACT	chol or chy qodam okor chor okchom	trocken; nominal trockenes Gut/Material | Drogenportion | trocken am Anfang des Grades | [qodam:?] | heiße Drogenportion im Ansatz | Pflanzen-/Reproduktionsteil | [okchom:?]	trocken; nominal trockenes Gut/Material; Drogenportion; trocken am Anfang des Grades; [qodam:?]; heiße Drogenportion im Ansatz; Pflanzen-/Reproduktionsteil; [okchom:?]	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
otar	1	f103v	f103v.14	ALL_THREE_EXACT	teeol sheol sho qokeedy shedy qokey oshedy oteedy qokain otar aiin otam	[teeol:?] | feuchtes Material | feuchter Ansatz | heiß am Ende des Grades, abgeschlossen | feucht in der Mitte des Grades, abgeschlossen | heiß in der Mitte des Grades | [oshedy:?] | kalter Ansatz am Ende des Grades, abgeschlossen | heiß, Grad II | kalte Drogenfraktion I im Ansatz | Menge III | [otam:?]	[teeol:?]; feuchtes Material; feuchter Ansatz; heiß am Ende des Grades, abgeschlossen; feucht in der Mitte des Grades, abgeschlossen; heiß in der Mitte des Grades; [oshedy:?]; kalter Ansatz am Ende des Grades, abgeschlossen; heiß, Grad II; kalte Drogenfraktion I im Ansatz; Menge III; [otam:?]	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
otar	2	f111r	f111r.7	ALL_THREE_EXACT	sshedy qokeey checthey oteedy lchedy chol sheeol qokeody raiin otedy otar aiin om	eingeweichte Samen/Saat | heiß am Ende des Grades | [checthey:?] | kalter Ansatz am Ende des Grades, abgeschlossen | getrocknetes Drogenholz | trocken; nominal trockenes Gut/Material | [sheeol:?] | [qokeody:?] | Wurzel, Typ/Charge III | kalter Ansatz in der Mitte des Grades, abgeschlossen | kalte Drogenfraktion I im Ansatz | Menge III | [om:?]	eingeweichte Samen/Saat; heiß am Ende des Grades; [checthey:?]; kalter Ansatz am Ende des Grades, abgeschlossen; getrocknetes Drogenholz; trocken; nominal trockenes Gut/Material; [sheeol:?]; [qokeody:?]; Wurzel, Typ/Charge III; kalter Ansatz in der Mitte des Grades, abgeschlossen; kalte Drogenfraktion I im Ansatz; Menge III; [om:?]	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
otor	1	f116r	f116r.5	ALL_THREE_EXACT	dain sheed qokchdy otal chedy lkain oteedy otor aiin oty lol rol oly	Grad-/Maßwert II | [sheed:?] | heiß und trocken am Anfang des Grades, abgeschlossen | Ansatz aus kaltem Rohstoff, Form I | trocken in der Mitte des Grades, abgeschlossen | [lkain:?] | kalter Ansatz am Ende des Grades, abgeschlossen | kalte Drogenportion im Ansatz | Menge III | kalter Ansatz am Anfang des Grades | Holzstoff | Wurzelstoff | [oly:?]	Grad-/Maßwert II; [sheed:?]; heiß und trocken am Anfang des Grades, abgeschlossen; Ansatz aus kaltem Rohstoff, Form I; trocken in der Mitte des Grades, abgeschlossen; [lkain:?]; kalter Ansatz am Ende des Grades, abgeschlossen; kalte Drogenportion im Ansatz; Menge III; kalter Ansatz am Anfang des Grades; Holzstoff; Wurzelstoff; [oly:?]	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
otor	2	f23v	f23v.7	ALL_THREE_EXACT	otor oiin sho shol qokol daiin sol daiin ylg	kalte Drogenportion im Ansatz | Zubereitungsform III | feuchter Ansatz | feucht; nominal feuchtes Gut/Material | [qokol:?] | Qualitätsgrad III | Samenmaterial/Saatgut | Qualitätsgrad III | [ylg:?]	kalte Drogenportion im Ansatz; Zubereitungsform III; feuchter Ansatz; feucht; nominal feuchtes Gut/Material; [qokol:?]; Qualitätsgrad III; Samenmaterial/Saatgut; Qualitätsgrad III; [ylg:?]	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
qoar	1	f103v	f103v.41	ALL_THREE_EXACT	daiin shey l shey lshey qoar shas al otar shedy y lchdy rar	Grad-/Maßwert III | feucht in der Mitte des Grades | [l:?] | feucht in der Mitte des Grades | eingeweichtes Drogenholz, Form I | Drogenfraktion I | [shas:?] | [al:?] | kalte Drogenfraktion I im Ansatz | feucht in der Mitte des Grades, abgeschlossen | [y:?] | Drogenholz, getrocknete Kurz-/Kompaktform | Wurzelfraktion I	Grad-/Maßwert III; feucht in der Mitte des Grades; [l:?]; feucht in der Mitte des Grades; eingeweichtes Drogenholz, Form I; Drogenfraktion I; [shas:?]; [al:?]; kalte Drogenfraktion I im Ansatz; feucht in der Mitte des Grades, abgeschlossen; [y:?]; Drogenholz, getrocknete Kurz-/Kompaktform; Wurzelfraktion I	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
qoor	1	f115r	f115r.44	ALL_THREE_EXACT	dcheos shedar qoor cheor shody qokain otar ar otar ytar ar aloky	[dcheos:?] | [shedar:?] | Drogenportion | trockener Drogenteil | [shody:?] | heiß, Grad II | kalte Drogenfraktion I im Ansatz | Drogenfraktion I | kalte Drogenfraktion I im Ansatz | [ytar:?] | Drogenfraktion I | [aloky:?]	[dcheos:?]; [shedar:?]; Drogenportion; trockener Drogenteil; [shody:?]; heiß, Grad II; kalte Drogenfraktion I im Ansatz; Drogenfraktion I; kalte Drogenfraktion I im Ansatz; [ytar:?]; Drogenfraktion I; [aloky:?]	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
qokor	1	f115r	f115r.10	ALL_THREE_EXACT	tchedy kechedy qokchey keedy qokor chedaiin dair qotchedy qotcheedy qekor	kalt und trocken in der Mitte des Grades, abgeschlossen | [kechedy:?] | heiß und trocken in der Mitte des Grades | heiß am Ende des Grades, abgeschlossen | heiße Drogenportion | [chedaiin:?] | abgemessene Fraktion II | kalt und trocken in der Mitte des Grades, abgeschlossen | kalt und trocken am Ende des Grades, abgeschlossen | [qekor:?]	kalt und trocken in der Mitte des Grades, abgeschlossen; [kechedy:?]; heiß und trocken in der Mitte des Grades; heiß am Ende des Grades, abgeschlossen; heiße Drogenportion; [chedaiin:?]; abgemessene Fraktion II; kalt und trocken in der Mitte des Grades, abgeschlossen; kalt und trocken am Ende des Grades, abgeschlossen; [qekor:?]	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
qokor	2	f105v	f105v.30	ALL_THREE_EXACT	dchedy cheey qokor otaiin otair otair okeedy kaiin aiin s aiin sy	[dchedy:?] | trocken am Ende des Grades | heiße Drogenportion | kalt im Zubereitungsrahmen, Grad III | [otair:?] | [otair:?] | heißer Ansatz am Ende des Grades, abgeschlossen | heiß, Grad III | Menge III | [s:?] | Menge III | Saatgut in Grundform	[dchedy:?]; trocken am Ende des Grades; heiße Drogenportion; kalt im Zubereitungsrahmen, Grad III; [otair:?]; [otair:?]; heißer Ansatz am Ende des Grades, abgeschlossen; heiß, Grad III; Menge III; [s:?]; Menge III; Saatgut in Grundform	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
qotar	1	f86v6	f86v6.28	ALL_THREE_EXACT	qokaiin qokar okar qotar lor qokchdy dar shey d y tshedy qotol dytshy dy	heiß, Grad III | heiße Drogenfraktion I | heiße Drogenfraktion I im Ansatz | kalte Drogenfraktion I | Holzportion | heiß und trocken am Anfang des Grades, abgeschlossen | abgemessene Fraktion I | feucht in der Mitte des Grades | [d:?] | [y:?] | kalt und feucht in der Mitte des Grades, abgeschlossen | kaltes Material | [dytshy:?] | [dy:?]	heiß, Grad III; heiße Drogenfraktion I; heiße Drogenfraktion I im Ansatz; kalte Drogenfraktion I; Holzportion; heiß und trocken am Anfang des Grades, abgeschlossen; abgemessene Fraktion I; feucht in der Mitte des Grades; [d:?]; [y:?]; kalt und feucht in der Mitte des Grades, abgeschlossen; kaltes Material; [dytshy:?]; [dy:?]	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
qotar	2	f75r	f75r.10	ALL_THREE_EXACT	dshor qotar chdy shey qokain chckhy dy otey tedy lchedy	[dshor:?] | kalte Drogenfraktion I | trocken am Anfang des Grades, abgeschlossen | feucht in der Mitte des Grades | heiß, Grad II | Arzneikompositum: trocken, Gradanfang | [dy:?] | kalter Ansatz in der Mitte des Grades | kalt in der Mitte des Grades, abgeschlossen | getrocknetes Drogenholz	[dshor:?]; kalte Drogenfraktion I; trocken am Anfang des Grades, abgeschlossen; feucht in der Mitte des Grades; heiß, Grad II; Arzneikompositum: trocken, Gradanfang; [dy:?]; kalter Ansatz in der Mitte des Grades; kalt in der Mitte des Grades, abgeschlossen; getrocknetes Drogenholz	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
lkor	1	f86v6	f86v6.39	ALL_THREE_EXACT	y aiin dar otol qokain qoky lkor dal oraiin cheoty qotaiin olkam	[y:?] | Menge III | abgemessene Fraktion I | kaltes Zubereitungsgut | heiß, Grad II | heiß am Anfang des Grades | heiße Holzportion | [dal:?] | Portion III | [cheoty:?] | kalt, Grad III | heißes Material [terminal-M]	[y:?]; Menge III; abgemessene Fraktion I; kaltes Zubereitungsgut; heiß, Grad II; heiß am Anfang des Grades; heiße Holzportion; [dal:?]; Portion III; [cheoty:?]; kalt, Grad III; heißes Material [terminal-M]	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
