label_ordinal	source_event_id	bundle_id	physical_page	register	locus	owner_de	surface	surface_template	label_slot_count	raw_core_sequence	primary_default_sequence	occurrence_role_sequence	legacy_alias_sequence	gdt474_selected_model	gdt585_selected_model	gdt476_context_changed	source_grammar_reading_de	gdt585_primary_reading_de	compound_group_id	interpretation_mode	composition_hypothesis_de	guard
13	P1008-E0133	G474-B021	f72r	CELESTIAL	f72r1.6	lokale Kennung für Tierkreis-Ringgruppe A	ytalshdy	{NAME_1}alsh{NAME_2}	2	yt|dy	wiederkehrender Ring- oder Kalenderwert YT|wiederkehrender Ring- oder Kalenderwert DY	PRIMARY_RECORD_VALUE|CARRIED_FIGURE_OR_ATTRIBUTE_VALUE	NONE|NONE	INSTRUCTION	INSTRUCTION	NO	Halte den Sternstelleneintrag »yt« und den Sternstelleneintrag »dy« zur Zielposition.	Halte den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert YT [yt]« und den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert DY [dy]« zur Zielposition.	GDT585-C003	ONE_FIGURE_PRIMARY_AND_CARRIED_VALUE	Eine Ringfigur koppelt den Primärwert wiederkehrender Ring- oder Kalenderwert YT mit dem getragenen oder attributiven Wert wiederkehrender Ring- oder Kalenderwert DY.	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
14	P1008-E0135	G474-B022	f72r	CELESTIAL	f72r1.7	lokale Kennung für Tierkreis-Ringgruppe A	alif	al{NAME_1}	1	if	gelernter Ringfiguren- oder Sternwert IF	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »if« — Zielzuordnung.	Sternstelle »gelernter Ringfiguren- oder Sternwert IF [if]« — Zielzuordnung.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
15	P1008-E0139	G474-B025	f72r	CELESTIAL	f72r1.10	lokale Kennung für Tierkreis-Ringgruppe A	otalef	otal{NAME_1}	1	ef	gelernter Ringfiguren- oder Sternwert EF	PRIMARY_RECORD_VALUE	NONE	INSTRUCTION	INSTRUCTION	NO	Danach beziehe den Sternstelleneintrag »ef« zur Zielposition.	Danach beziehe den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert EF [ef]« zur Zielposition.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
16	P1008-E0172	G474-B028	f72r	CELESTIAL	f72r1.14	lokale Kennung für Tierkreis-Ringgruppe B	otchoshy	ot{NAME_1}shy	1	cho	gelernter Ringfiguren- oder Sternwert CHO	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »cho« — Folgevermerk, Postenangabe.	Sternstelle »gelernter Ringfiguren- oder Sternwert CHO [cho]« — Folgevermerk, Postenangabe.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
17	P1008-E0173	G474-B029	f72r	CELESTIAL	f72r1.15	lokale Kennung für Tierkreis-Ringgruppe B	otchdal	ot{NAME_1}dal	1	ch	wiederkehrender Ring- oder Kalenderwert CH	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »ch« — Folgevermerk, Zielzuordnung.	Sternstelle »wiederkehrender Ring- oder Kalenderwert CH [ch]« — Folgevermerk, Zielzuordnung.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
18	P1008-E0190	G474-B032	f72r	CELESTIAL	f72r2.1	lokale Kennung für Tierkreis-Ringgruppe D	ofchdamy	of{NAME_1}	1	chdamy	gelernter Ringfiguren- oder Sternwert CHDAMY	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »chdamy« — Ausführungsvermerk, Hier-Vermerk.	Sternstelle »gelernter Ringfiguren- oder Sternwert CHDAMY [chdamy]« — Ausführungsvermerk, Hier-Vermerk.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
19	P1008-E0191	G474-B033	f72r	CELESTIAL	f72r2.2	lokale Kennung für Tierkreis-Ringgruppe D	oklairdy	ok{NAME_1}air{NAME_2}	2	l|dy	gelernter Ringfiguren- oder Sternwert L|wiederkehrender Ring- oder Kalenderwert DY	PRIMARY_RECORD_VALUE|CARRIED_FIGURE_OR_ATTRIBUTE_VALUE	NONE|NONE	INSTRUCTION	INSTRUCTION	NO	Setze den Sternstelleneintrag »l« und den Sternstelleneintrag »dy« entlang der Ringbahn.	Setze den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert L [l]« und den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert DY [dy]« entlang der Ringbahn.	GDT585-C004	ONE_FIGURE_PRIMARY_AND_CARRIED_VALUE	Eine Ringfigur koppelt den Primärwert gelernter Ringfiguren- oder Sternwert L mit dem getragenen oder attributiven Wert wiederkehrender Ring- oder Kalenderwert DY.	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
20	P1008-E0193	G474-B035	f72r	CELESTIAL	f72r2.4	lokale Kennung für Tierkreis-Ringgruppe D	okairy	okair{NAME_1}	1	y	wiederkehrender Ring- oder Kalenderwert Y	PRIMARY_RECORD_VALUE	NONE	INSTRUCTION	INSTRUCTION	NO	Setze den Sternstelleneintrag »y« entlang der Ringbahn.	Setze den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert Y [y]« entlang der Ringbahn.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
21	P1008-E0194	G474-B036	f72r	CELESTIAL	f72r2.5	lokale Kennung für Tierkreis-Ringgruppe D	okealar	ok{NAME_1}alar	1	e	wiederkehrender Ring- oder Kalenderwert E	PRIMARY_RECORD_VALUE	NONE	INSTRUCTION	INSTRUCTION	NO	Setze den Sternstelleneintrag »e« zur Zielposition und von der Ausgangsposition.	Setze den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert E [e]« zur Zielposition und von der Ausgangsposition.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
22	P1008-E0243	G474-B043	f72r	CELESTIAL	f72r2.13	lokale Kennung für Tierkreis-Ringgruppe D	oteeary	ot{NAME_1}ar{NAME_2}	2	ee|y	gelernter Ringfiguren- oder Sternwert EE|wiederkehrender Ring- oder Kalenderwert Y	PRIMARY_RECORD_VALUE|CARRIED_FIGURE_OR_ATTRIBUTE_VALUE	NONE|NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »ee« / Sternstelle »y« — Folgevermerk, Ausgangszuordnung.	Sternstelle »gelernter Ringfiguren- oder Sternwert EE [ee]« / Sternstelle »wiederkehrender Ring- oder Kalenderwert Y [y]« — Folgevermerk, Ausgangszuordnung.	GDT585-C005	ONE_FIGURE_PRIMARY_AND_CARRIED_VALUE	Eine Ringfigur koppelt den Primärwert gelernter Ringfiguren- oder Sternwert EE mit dem getragenen oder attributiven Wert wiederkehrender Ring- oder Kalenderwert Y.	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
23	P1008-E0246	G474-B045	f72r	CELESTIAL	f72r2.15	lokale Kennung für Tierkreis-Ringgruppe D	okaircham	okair{NAME_1}am	1	ch	wiederkehrender Ring- oder Kalenderwert CH	PRIMARY_RECORD_VALUE	NONE	INSTRUCTION	INSTRUCTION	NO	Setze den Sternstelleneintrag »ch« entlang der Ringbahn an der bezeichneten Stelle.	Setze den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert CH [ch]« entlang der Ringbahn an der bezeichneten Stelle.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
24	P1008-E0247	G474-B046	f72r	CELESTIAL	f72r2.16	lokale Kennung für Tierkreis-Ringgruppe D	okeal	ok{NAME_1}al	1	e	wiederkehrender Ring- oder Kalenderwert E	PRIMARY_RECORD_VALUE	NONE	INSTRUCTION	INSTRUCTION	NO	Setze den Sternstelleneintrag »e« zur Zielposition.	Setze den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert E [e]« zur Zielposition.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
25	P1008-E0250	G474-B049	f72r	CELESTIAL	f72r2.19	lokale Kennung für Tierkreis-Ringgruppe D	orary	orar{NAME_1}	1	y	wiederkehrender Ring- oder Kalenderwert Y	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »y« — Einheitsangabe, Ausgangszuordnung.	Sternstelle »wiederkehrender Ring- oder Kalenderwert Y [y]« — Einheitsangabe, Ausgangszuordnung.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
26	P1008-E0251	G474-B050	f72r	CELESTIAL	f72r2.20	lokale Kennung für Tierkreis-Ringgruppe D	okyd	ok{NAME_1}	1	yd	gelernter Ringfiguren- oder Sternwert YD	PRIMARY_RECORD_VALUE	NONE	INSTRUCTION	INSTRUCTION	NO	Setze den Sternstelleneintrag »yd«.	Setze den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert YD [yd]«.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
27	P1008-E0280	G474-B053	f72r	CELESTIAL	f72r2.24	lokale Kennung für Tierkreis-Ringgruppe E	ralal	{NAME_1}alal	1	r	gelernter Ringfiguren- oder Sternwert R	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »r« — Zielzuordnung, Zielzuordnung.	Sternstelle »gelernter Ringfiguren- oder Sternwert R [r]« — Zielzuordnung, Zielzuordnung.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
28	P1008-E0284	G474-B057	f72r	CELESTIAL	f72r2.28	lokale Kennung für Tierkreis-Ringgruppe E	chosar	{NAME_1}ar	1	chos	gelernter Ringfiguren- oder Sternwert CHOS	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »chos« — Ausgangszuordnung.	Sternstelle »gelernter Ringfiguren- oder Sternwert CHOS [chos]« — Ausgangszuordnung.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
29	P1008-E0286	G474-B059	f72r	CELESTIAL	f72r2.30	lokale Kennung für Tierkreis-Ringgruppe E	ainaly	{NAME_1}aly	1	ain	gelernter Ringfiguren- oder Sternwert AIN	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »ain« — Zielzuordnung, Postenangabe.	Sternstelle »gelernter Ringfiguren- oder Sternwert AIN [ain]« — Zielzuordnung, Postenangabe.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
30	P1008-E0287	G474-B060	f72r	CELESTIAL	f72r2.31	lokale Kennung für Tierkreis-Ringgruppe E	okarcham	okar{NAME_1}am	1	ch	wiederkehrender Ring- oder Kalenderwert CH	PRIMARY_RECORD_VALUE	NONE	INSTRUCTION	INSTRUCTION	NO	Setze den Sternstelleneintrag »ch« von der Ausgangsposition an der bezeichneten Stelle.	Setze den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert CH [ch]« von der Ausgangsposition an der bezeichneten Stelle.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
31	P1008-E0350	G474-B061	f72r	CELESTIAL	f72r3.2	lokale Kennung für Tierkreis-Ringgruppe G	olkalaiin	ol{NAME_1}alaiin	1	k	wiederkehrender Ring- oder Kalenderwert K	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	INSTRUCTION	YES	Weiter beziehe den Sternstelleneintrag »k« und den Positionswert zur Zielposition.	Weiter beziehe den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert K [k]« und den Positionswert zur Zielposition.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
32	P1008-E0352	G474-B063	f72r	CELESTIAL	f72r3.4	lokale Kennung für Tierkreis-Ringgruppe G	oraiinam	or{NAME_1}am	1	aiin	gelernter Ringfiguren- oder Sternwert AIIN	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »aiin« — Einheitsangabe, Hier-Vermerk.	Sternstelle »gelernter Ringfiguren- oder Sternwert AIIN [aiin]« — Einheitsangabe, Hier-Vermerk.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
33	P1008-E0353	G474-B064	f72r	CELESTIAL	f72r3.5	lokale Kennung für Tierkreis-Ringgruppe G	osarsheeeo	{NAME_1}arsh{NAME_2}	2	os|eeeo	gelernter Ringfiguren- oder Sternwert OS|gelernter Ringfiguren- oder Sternwert EEEO	PRIMARY_RECORD_VALUE|CARRIED_FIGURE_OR_ATTRIBUTE_VALUE	NONE|NONE	INSTRUCTION	INSTRUCTION	NO	Halte den Sternstelleneintrag »os« und den Sternstelleneintrag »eeeo« von der Ausgangsposition.	Halte den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert OS [os]« und den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert EEEO [eeeo]« von der Ausgangsposition.	GDT585-C006	ONE_FIGURE_PRIMARY_AND_CARRIED_VALUE	Eine Ringfigur koppelt den Primärwert gelernter Ringfiguren- oder Sternwert OS mit dem getragenen oder attributiven Wert gelernter Ringfiguren- oder Sternwert EEEO.	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
34	P1008-E0356	G474-B066	f72r	CELESTIAL	f72r3.7	lokale Kennung für Tierkreis-Ringgruppe G	opoiiinoin	{NAME_1}oin	1	opoiiin	gelernter Ringfiguren- oder Sternwert OPOIIIN	PRIMARY_RECORD_VALUE	NONE	INSTRUCTION	INSTRUCTION	NO	Beziehe den Sternstelleneintrag »opoiiin«, als Ausführung und auf der bezeichneten Stufe.	Beziehe den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert OPOIIIN [opoiiin]«, als Ausführung und auf der bezeichneten Stufe.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
35	P1008-E0359	G474-B067	f72r	CELESTIAL	f72r3.8	lokale Kennung für Tierkreis-Ringgruppe G	ypaiin	{NAME_1}aiin	1	yp	gelernter Ringfiguren- oder Sternwert YP	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »yp« — Wertangabe.	Sternstelle »gelernter Ringfiguren- oder Sternwert YP [yp]« — Wertangabe.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
36	P1008-E0363	G474-B069	f72r	CELESTIAL	f72r3.10	lokale Kennung für Tierkreis-Ringgruppe G	oeeodaiin	{NAME_1}daiin	1	oeeo	gelernter Ringfiguren- oder Sternwert OEEO	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »oeeo« — Wertangabe.	Sternstelle »gelernter Ringfiguren- oder Sternwert OEEO [oeeo]« — Wertangabe.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
37	P1008-E0364	G474-B070	f72r	CELESTIAL	f72r3.11	lokale Kennung für Tierkreis-Ringgruppe G	ofsholdy	ofshol{NAME_1}	1	dy	wiederkehrender Ring- oder Kalenderwert DY	PRIMARY_RECORD_VALUE	NONE	INSTRUCTION	INSTRUCTION	NO	Weiter halte den Sternstelleneintrag »dy«, als Ausführung an der bezeichneten Stelle.	Weiter halte den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert DY [dy]«, als Ausführung an der bezeichneten Stelle.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
38	P1008-E0365	G474-B071	f72r	CELESTIAL	f72r3.12	lokale Kennung für Tierkreis-Ringgruppe G	opoeey	{NAME_1}eey	1	opo	gelernter Ringfiguren- oder Sternwert OPO	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	INSTRUCTION	YES	Beziehe den Sternstelleneintrag »opo« und den Positionsposten, auf Grad II.	Beziehe den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert OPO [opo]« und den Positionsposten, auf Grad II.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
39	P1008-E0367	G474-B072	f72r	CELESTIAL	f72r3.13	lokale Kennung für Tierkreis-Ringgruppe G	ykolairol	{NAME_1}olairol	1	yk	wiederkehrender Ring- oder Kalenderwert YK	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	INSTRUCTION	YES	Weiter und weiter beziehe den Sternstelleneintrag »yk« entlang der Ringbahn.	Weiter und weiter beziehe den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert YK [yk]« entlang der Ringbahn.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
40	P1008-E0409	G474-B073	f72r	CELESTIAL	f72r3.15	lokale Kennung für Tierkreis-Ringgruppe H	oralkam	oral{NAME_1}am	1	k	wiederkehrender Ring- oder Kalenderwert K	PRIMARY_RECORD_VALUE	NONE	CATALOGUE	CATALOGUE	NO	Sternstelle »k« — Einheitsangabe, Zielzuordnung, Hier-Vermerk.	Sternstelle »wiederkehrender Ring- oder Kalenderwert K [k]« — Einheitsangabe, Zielzuordnung, Hier-Vermerk.	NONE	SINGLE_LEARNED_VALUE_IN_TECHNICAL_SHELL	NONE	GRAMMAR_PRIMARY__EXACT_SURFACE_AND_NAME_SPANS_FIXED
