type_ordinal	gdt582_name_default_id	class_core_key	content_class	raw_name_core	occurrence_count	source_occurrence_count	first_slot_count	later_slot_count	label_count	physical_pages	surfaces	gdt582_provisional_default_de	gdt585_primary_default_de	semantic_family	name_role	segmentation_status	composition_atom_de	substance_head_de	plant_part_de	series_tags	legacy_house_alias_de	strongest_rival_de	working_basis	disposition	guard
11	GDT582-N011	STAR_BEARING_RING_POSITION::odady	STAR_BEARING_RING_POSITION	odady	1	1	0	1	1	f72r	oshodady	Sternringstelle 09	gelernter Ringfiguren- oder Sternwert ODADY	LONG_LEARNED_RING_VALUE	CARRIED_OR_ATTRIBUTE_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert ODADY	NONE	NONE	DY_SERIES	NONE	gelernter Figuren- oder Sternname ODADY	1_OCCURRENCES__CARRIED_OR_ATTRIBUTE_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
12	GDT582-N012	STAR_BEARING_RING_POSITION::chdaiird	STAR_BEARING_RING_POSITION	chdaiird	1	1	1	0	1	f72r	chdaiirdainy	Sternringstelle 10	gelernter Ringfiguren- oder Sternwert CHDAIIRD	LONG_LEARNED_RING_VALUE	LEARNED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert CHDAIIRD	NONE	NONE	CH_SERIES	NONE	gelernter Figuren- oder Sternname CHDAIIRD	1_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
13	GDT582-N013	STAR_BEARING_RING_POSITION::yt	STAR_BEARING_RING_POSITION	yt	2	2	2	0	2	f72r	ytairal|ytalshdy	Sternringstelle 11	wiederkehrender Ring- oder Kalenderwert YT	SHORT_REPEATED_RING_VALUE	REPEATED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert YT	NONE	NONE	Y_SERIES	NONE	gelernter Figuren- oder Sternname YT	2_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
14	GDT582-N014	STAR_BEARING_RING_POSITION::if	STAR_BEARING_RING_POSITION	if	1	1	1	0	1	f72r	alif	Sternringstelle 12	gelernter Ringfiguren- oder Sternwert IF	LONG_LEARNED_RING_VALUE	LEARNED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert IF	NONE	NONE	NONE	NONE	gelernter Figuren- oder Sternname IF	1_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
15	GDT582-N015	STAR_BEARING_RING_POSITION::ef	STAR_BEARING_RING_POSITION	ef	1	1	1	0	1	f72r	otalef	Sternringstelle 13	gelernter Ringfiguren- oder Sternwert EF	LONG_LEARNED_RING_VALUE	LEARNED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert EF	NONE	NONE	E_SERIES	NONE	gelernter Figuren- oder Sternname EF	1_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
16	GDT582-N016	STAR_BEARING_RING_POSITION::cho	STAR_BEARING_RING_POSITION	cho	1	1	1	0	1	f72r	otchoshy	Sternringstelle 14	gelernter Ringfiguren- oder Sternwert CHO	LONG_LEARNED_RING_VALUE	LEARNED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert CHO	NONE	NONE	CH_SERIES	NONE	gelernter Figuren- oder Sternname CHO	1_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
17	GDT582-N017	STAR_BEARING_RING_POSITION::ch	STAR_BEARING_RING_POSITION	ch	3	3	3	0	3	f72r	okaircham|okarcham|otchdal	Sternringstelle 15	wiederkehrender Ring- oder Kalenderwert CH	SHORT_REPEATED_RING_VALUE	REPEATED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert CH	NONE	NONE	CH_SERIES	NONE	gelernter Figuren- oder Sternname CH	3_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
18	GDT582-N018	STAR_BEARING_RING_POSITION::chdamy	STAR_BEARING_RING_POSITION	chdamy	1	1	1	0	1	f72r	ofchdamy	Sternringstelle 16	gelernter Ringfiguren- oder Sternwert CHDAMY	LONG_LEARNED_RING_VALUE	LEARNED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert CHDAMY	NONE	NONE	CH_SERIES	NONE	gelernter Figuren- oder Sternname CHDAMY	1_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
19	GDT582-N019	STAR_BEARING_RING_POSITION::l	STAR_BEARING_RING_POSITION	l	1	1	1	0	1	f72r	oklairdy	Sternringstelle 17	gelernter Ringfiguren- oder Sternwert L	LONG_LEARNED_RING_VALUE	LEARNED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert L	NONE	NONE	NONE	NONE	gelernter Figuren- oder Sternname L	1_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
20	GDT582-N020	STAR_BEARING_RING_POSITION::y	STAR_BEARING_RING_POSITION	y	4	4	2	2	4	f72r	okairy|orary|oteeary|yfary	Sternringstelle 18	wiederkehrender Ring- oder Kalenderwert Y	SHORT_REPEATED_RING_VALUE	REPEATED_PRIMARY_AND_CARRIED_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert Y	NONE	NONE	Y_SERIES	NONE	gelernter Figuren- oder Sternname Y	4_OCCURRENCES__PRIMARY_AND_CARRIED_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
21	GDT582-N021	STAR_BEARING_RING_POSITION::e	STAR_BEARING_RING_POSITION	e	2	2	2	0	2	f72r	okeal|okealar	Sternringstelle 19	wiederkehrender Ring- oder Kalenderwert E	SHORT_REPEATED_RING_VALUE	REPEATED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert E	NONE	NONE	E_SERIES	NONE	gelernter Figuren- oder Sternname E	2_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
22	GDT582-N022	STAR_BEARING_RING_POSITION::ee	STAR_BEARING_RING_POSITION	ee	1	1	1	0	1	f72r	oteeary	Sternringstelle 20	gelernter Ringfiguren- oder Sternwert EE	LONG_LEARNED_RING_VALUE	LEARNED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert EE	NONE	NONE	E_SERIES	NONE	gelernter Figuren- oder Sternname EE	1_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
23	GDT582-N023	STAR_BEARING_RING_POSITION::yd	STAR_BEARING_RING_POSITION	yd	1	1	1	0	1	f72r	okyd	Sternringstelle 21	gelernter Ringfiguren- oder Sternwert YD	LONG_LEARNED_RING_VALUE	LEARNED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert YD	NONE	NONE	Y_SERIES	NONE	gelernter Figuren- oder Sternname YD	1_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
24	GDT582-N024	STAR_BEARING_RING_POSITION::r	STAR_BEARING_RING_POSITION	r	1	1	1	0	1	f72r	ralal	Sternringstelle 22	gelernter Ringfiguren- oder Sternwert R	LONG_LEARNED_RING_VALUE	LEARNED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert R	NONE	NONE	NONE	NONE	gelernter Figuren- oder Sternname R	1_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
25	GDT582-N025	STAR_BEARING_RING_POSITION::chos	STAR_BEARING_RING_POSITION	chos	1	1	1	0	1	f72r	chosar	Sternringstelle 23	gelernter Ringfiguren- oder Sternwert CHOS	LONG_LEARNED_RING_VALUE	LEARNED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert CHOS	NONE	NONE	CH_SERIES	NONE	gelernter Figuren- oder Sternname CHOS	1_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
26	GDT582-N026	STAR_BEARING_RING_POSITION::ain	STAR_BEARING_RING_POSITION	ain	1	1	1	0	1	f72r	ainaly	Sternringstelle 24	gelernter Ringfiguren- oder Sternwert AIN	LONG_LEARNED_RING_VALUE	LEARNED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert AIN	NONE	NONE	AI_SERIES	NONE	gelernter Figuren- oder Sternname AIN	1_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
27	GDT582-N027	STAR_BEARING_RING_POSITION::k	STAR_BEARING_RING_POSITION	k	2	2	2	0	2	f72r	olkalaiin|oralkam	Sternringstelle 25	wiederkehrender Ring- oder Kalenderwert K	SHORT_REPEATED_RING_VALUE	REPEATED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert K	NONE	NONE	NONE	NONE	gelernter Figuren- oder Sternname K	2_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
28	GDT582-N028	STAR_BEARING_RING_POSITION::aiin	STAR_BEARING_RING_POSITION	aiin	1	1	1	0	1	f72r	oraiinam	Sternringstelle 26	gelernter Ringfiguren- oder Sternwert AIIN	LONG_LEARNED_RING_VALUE	LEARNED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert AIIN	NONE	NONE	AI_SERIES	NONE	gelernter Figuren- oder Sternname AIIN	1_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
29	GDT582-N029	STAR_BEARING_RING_POSITION::os	STAR_BEARING_RING_POSITION	os	1	1	1	0	1	f72r	osarsheeeo	Sternringstelle 27	gelernter Ringfiguren- oder Sternwert OS	LONG_LEARNED_RING_VALUE	LEARNED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert OS	NONE	NONE	NONE	NONE	gelernter Figuren- oder Sternname OS	1_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
30	GDT582-N030	STAR_BEARING_RING_POSITION::eeeo	STAR_BEARING_RING_POSITION	eeeo	1	1	0	1	1	f72r	osarsheeeo	Sternringstelle 28	gelernter Ringfiguren- oder Sternwert EEEO	LONG_LEARNED_RING_VALUE	CARRIED_OR_ATTRIBUTE_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert EEEO	NONE	NONE	E_SERIES	NONE	gelernter Figuren- oder Sternname EEEO	1_OCCURRENCES__CARRIED_OR_ATTRIBUTE_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
31	GDT582-N031	STAR_BEARING_RING_POSITION::opoiiin	STAR_BEARING_RING_POSITION	opoiiin	1	1	1	0	1	f72r	opoiiinoin	Sternringstelle 29	gelernter Ringfiguren- oder Sternwert OPOIIIN	LONG_LEARNED_RING_VALUE	LEARNED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert OPOIIIN	NONE	NONE	OP_SERIES	NONE	gelernter Figuren- oder Sternname OPOIIIN	1_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
32	GDT582-N032	STAR_BEARING_RING_POSITION::yp	STAR_BEARING_RING_POSITION	yp	1	1	1	0	1	f72r	ypaiin	Sternringstelle 30	gelernter Ringfiguren- oder Sternwert YP	LONG_LEARNED_RING_VALUE	LEARNED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert YP	NONE	NONE	Y_SERIES	NONE	gelernter Figuren- oder Sternname YP	1_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
33	GDT582-N033	STAR_BEARING_RING_POSITION::oeeo	STAR_BEARING_RING_POSITION	oeeo	1	1	1	0	1	f72r	oeeodaiin	Sternringstelle 31	gelernter Ringfiguren- oder Sternwert OEEO	LONG_LEARNED_RING_VALUE	LEARNED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert OEEO	NONE	NONE	E_SERIES	NONE	gelernter Figuren- oder Sternname OEEO	1_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
34	GDT582-N034	STAR_BEARING_RING_POSITION::opo	STAR_BEARING_RING_POSITION	opo	1	1	1	0	1	f72r	opoeey	Sternringstelle 32	gelernter Ringfiguren- oder Sternwert OPO	LONG_LEARNED_RING_VALUE	LEARNED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert OPO	NONE	NONE	OP_SERIES	NONE	gelernter Figuren- oder Sternname OPO	1_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
35	GDT582-N035	STAR_BEARING_RING_POSITION::yk	STAR_BEARING_RING_POSITION	yk	2	2	2	0	2	f72r	ykaraiin|ykolairol	Sternringstelle 33	wiederkehrender Ring- oder Kalenderwert YK	SHORT_REPEATED_RING_VALUE	REPEATED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert YK	NONE	NONE	Y_SERIES	NONE	gelernter Figuren- oder Sternname YK	2_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
36	GDT582-N036	STAR_BEARING_RING_POSITION::oeees	STAR_BEARING_RING_POSITION	oeees	1	1	1	0	1	f72r	oeeesaiin	Sternringstelle 34	gelernter Ringfiguren- oder Sternwert OEEES	LONG_LEARNED_RING_VALUE	LEARNED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert OEEES	NONE	NONE	E_SERIES	NONE	gelernter Figuren- oder Sternname OEEES	1_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
37	GDT582-N037	STAR_BEARING_RING_POSITION::f	STAR_BEARING_RING_POSITION	f	2	2	2	0	2	f72r	fydy|olfsheoral	Sternringstelle 35	wiederkehrender Ring- oder Kalenderwert F	SHORT_REPEATED_RING_VALUE	REPEATED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert F	NONE	NONE	NONE	NONE	gelernter Figuren- oder Sternname F	2_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
