scope	mode	rank_within_scope_mode	assignment_id	k	t	ch	sh	hot_dry	hot_moist	cold_dry	cold_moist	total_variation_smoothed	is_v1	is_v2
ALL_SAFE_NO_F1R	SUBSTRING	1	KT_THERMAL__K_HOT__CH_DRY	HOT	COLD	DRY	MOIST	914	190	869	159	0.275297	0	1
ALL_SAFE_NO_F1R	SUBSTRING	2	KT_THERMAL__K_COLD__CH_DRY	COLD	HOT	DRY	MOIST	869	159	914	190	0.310910	0	0
ALL_SAFE_NO_F1R	SUBSTRING	3	KT_MOISTURE__K_DRY__CH_HOT	DRY	MOIST	HOT	COLD	914	869	190	159	0.344262	0	0
ALL_SAFE_NO_F1R	SUBSTRING	4	KT_MOISTURE__K_MOIST__CH_HOT	MOIST	DRY	HOT	COLD	869	914	159	190	0.379876	0	0
ALL_SAFE_NO_F1R	SUBSTRING	5	KT_MOISTURE__K_DRY__CH_COLD	DRY	MOIST	COLD	HOT	190	159	914	869	0.629092	0	0
ALL_SAFE_NO_F1R	SUBSTRING	6	KT_MOISTURE__K_MOIST__CH_COLD	MOIST	DRY	COLD	HOT	159	190	869	914	0.629092	0	0
ALL_SAFE_NO_F1R	SUBSTRING	7	KT_THERMAL__K_COLD__CH_MOIST	COLD	HOT	MOIST	DRY	159	869	190	914	0.698058	0	0
ALL_SAFE_NO_F1R	SUBSTRING	8	KT_THERMAL__K_HOT__CH_MOIST	HOT	COLD	MOIST	DRY	190	914	159	869	0.698058	1	0
HERBAL_ALL	EXACT_Y_EY	1	KT_THERMAL__K_COLD__CH_DRY	COLD	HOT	DRY	MOIST	58	5	48	6	0.255288	0	0
HERBAL_ALL	EXACT_Y_EY	2	KT_MOISTURE__K_MOIST__CH_HOT	MOIST	DRY	HOT	COLD	58	48	5	6	0.324254	0	0
HERBAL_ALL	EXACT_Y_EY	3	KT_THERMAL__K_HOT__CH_DRY	HOT	COLD	DRY	MOIST	48	6	58	5	0.330919	0	1
HERBAL_ALL	EXACT_Y_EY	4	KT_MOISTURE__K_DRY__CH_HOT	DRY	MOIST	HOT	COLD	48	58	6	5	0.399884	0	0
HERBAL_ALL	EXACT_Y_EY	5	KT_MOISTURE__K_DRY__CH_COLD	DRY	MOIST	COLD	HOT	6	5	48	58	0.692263	0	0
HERBAL_ALL	EXACT_Y_EY	6	KT_MOISTURE__K_MOIST__CH_COLD	MOIST	DRY	COLD	HOT	5	6	58	48	0.692263	0	0
HERBAL_ALL	EXACT_Y_EY	7	KT_THERMAL__K_COLD__CH_MOIST	COLD	HOT	MOIST	DRY	5	58	6	48	0.761229	0	0
HERBAL_ALL	EXACT_Y_EY	8	KT_THERMAL__K_HOT__CH_MOIST	HOT	COLD	MOIST	DRY	6	48	5	58	0.761229	1	0
HERBAL_ALL	Q_PREFIX	1	KT_THERMAL__K_HOT__CH_DRY	HOT	COLD	DRY	MOIST	117	11	120	7	0.291158	0	1
HERBAL_ALL	Q_PREFIX	2	KT_THERMAL__K_COLD__CH_DRY	COLD	HOT	DRY	MOIST	120	7	117	11	0.295049	0	0
HERBAL_ALL	Q_PREFIX	3	KT_MOISTURE__K_DRY__CH_HOT	DRY	MOIST	HOT	COLD	117	120	11	7	0.360123	0	0
HERBAL_ALL	Q_PREFIX	4	KT_MOISTURE__K_MOIST__CH_HOT	MOIST	DRY	HOT	COLD	120	117	7	11	0.364014	0	0
HERBAL_ALL	Q_PREFIX	5	KT_MOISTURE__K_DRY__CH_COLD	DRY	MOIST	COLD	HOT	11	7	117	120	0.719173	0	0
HERBAL_ALL	Q_PREFIX	6	KT_MOISTURE__K_MOIST__CH_COLD	MOIST	DRY	COLD	HOT	7	11	120	117	0.719173	0	0
HERBAL_ALL	Q_PREFIX	7	KT_THERMAL__K_COLD__CH_MOIST	COLD	HOT	MOIST	DRY	7	120	11	117	0.788139	0	0
HERBAL_ALL	Q_PREFIX	8	KT_THERMAL__K_HOT__CH_MOIST	HOT	COLD	MOIST	DRY	11	117	7	120	0.788139	1	0
HERBAL_ALL	SUBSTRING	1	KT_THERMAL__K_COLD__CH_DRY	COLD	HOT	DRY	MOIST	512	80	489	91	0.287993	0	0
HERBAL_ALL	SUBSTRING	2	KT_THERMAL__K_HOT__CH_DRY	HOT	COLD	DRY	MOIST	489	91	512	80	0.298214	0	1
HERBAL_ALL	SUBSTRING	3	KT_MOISTURE__K_MOIST__CH_HOT	MOIST	DRY	HOT	COLD	512	489	80	91	0.356958	0	0
HERBAL_ALL	SUBSTRING	4	KT_MOISTURE__K_DRY__CH_HOT	DRY	MOIST	HOT	COLD	489	512	91	80	0.367180	0	0
HERBAL_ALL	SUBSTRING	5	KT_MOISTURE__K_DRY__CH_COLD	DRY	MOIST	COLD	HOT	91	80	489	512	0.646596	0	0
HERBAL_ALL	SUBSTRING	6	KT_MOISTURE__K_MOIST__CH_COLD	MOIST	DRY	COLD	HOT	80	91	512	489	0.646596	0	0
HERBAL_ALL	SUBSTRING	7	KT_THERMAL__K_COLD__CH_MOIST	COLD	HOT	MOIST	DRY	80	512	91	489	0.715561	0	0
HERBAL_ALL	SUBSTRING	8	KT_THERMAL__K_HOT__CH_MOIST	HOT	COLD	MOIST	DRY	91	489	80	512	0.715561	1	0
HERBAL_A	EXACT_Y_EY	1	KT_THERMAL__K_COLD__CH_DRY	COLD	HOT	DRY	MOIST	55	5	42	4	0.228289	0	0
HERBAL_A	EXACT_Y_EY	2	KT_MOISTURE__K_MOIST__CH_HOT	MOIST	DRY	HOT	COLD	55	42	5	4	0.297254	0	0
HERBAL_A	EXACT_Y_EY	3	KT_THERMAL__K_HOT__CH_DRY	HOT	COLD	DRY	MOIST	42	4	55	5	0.357918	0	1
HERBAL_A	EXACT_Y_EY	4	KT_MOISTURE__K_DRY__CH_HOT	DRY	MOIST	HOT	COLD	42	55	4	5	0.426884	0	0
HERBAL_A	EXACT_Y_EY	5	KT_MOISTURE__K_DRY__CH_COLD	DRY	MOIST	COLD	HOT	4	5	42	55	0.700511	0	0
HERBAL_A	EXACT_Y_EY	6	KT_MOISTURE__K_MOIST__CH_COLD	MOIST	DRY	COLD	HOT	5	4	55	42	0.700511	0	0
HERBAL_A	EXACT_Y_EY	7	KT_THERMAL__K_COLD__CH_MOIST	COLD	HOT	MOIST	DRY	5	55	4	42	0.769476	0	0
HERBAL_A	EXACT_Y_EY	8	KT_THERMAL__K_HOT__CH_MOIST	HOT	COLD	MOIST	DRY	4	42	5	55	0.769476	1	0
HERBAL_A	Q_PREFIX	1	KT_THERMAL__K_COLD__CH_DRY	COLD	HOT	DRY	MOIST	110	6	93	7	0.256406	0	0
HERBAL_A	Q_PREFIX	2	KT_MOISTURE__K_MOIST__CH_HOT	MOIST	DRY	HOT	COLD	110	93	6	7	0.325372	0	0
HERBAL_A	Q_PREFIX	3	KT_THERMAL__K_HOT__CH_DRY	HOT	COLD	DRY	MOIST	93	7	110	6	0.329801	0	1
HERBAL_A	Q_PREFIX	4	KT_MOISTURE__K_DRY__CH_HOT	DRY	MOIST	HOT	COLD	93	110	7	6	0.398766	0	0
HERBAL_A	Q_PREFIX	5	KT_MOISTURE__K_DRY__CH_COLD	DRY	MOIST	COLD	HOT	7	6	93	110	0.728883	0	0
HERBAL_A	Q_PREFIX	6	KT_MOISTURE__K_MOIST__CH_COLD	MOIST	DRY	COLD	HOT	6	7	110	93	0.728883	0	0
HERBAL_A	Q_PREFIX	7	KT_THERMAL__K_COLD__CH_MOIST	COLD	HOT	MOIST	DRY	6	110	7	93	0.797849	0	0
HERBAL_A	Q_PREFIX	8	KT_THERMAL__K_HOT__CH_MOIST	HOT	COLD	MOIST	DRY	7	93	6	110	0.797849	1	0
HERBAL_A	SUBSTRING	1	KT_THERMAL__K_COLD__CH_DRY	COLD	HOT	DRY	MOIST	436	60	404	70	0.281787	0	0
HERBAL_A	SUBSTRING	2	KT_THERMAL__K_HOT__CH_DRY	HOT	COLD	DRY	MOIST	404	70	436	60	0.304420	0	1
HERBAL_A	SUBSTRING	3	KT_MOISTURE__K_MOIST__CH_HOT	MOIST	DRY	HOT	COLD	436	404	60	70	0.350752	0	0
HERBAL_A	SUBSTRING	4	KT_MOISTURE__K_DRY__CH_HOT	DRY	MOIST	HOT	COLD	404	436	70	60	0.373386	0	0
HERBAL_A	SUBSTRING	5	KT_MOISTURE__K_DRY__CH_COLD	DRY	MOIST	COLD	HOT	70	60	404	436	0.658330	0	0
HERBAL_A	SUBSTRING	6	KT_MOISTURE__K_MOIST__CH_COLD	MOIST	DRY	COLD	HOT	60	70	436	404	0.658330	0	0
HERBAL_A	SUBSTRING	7	KT_THERMAL__K_COLD__CH_MOIST	COLD	HOT	MOIST	DRY	60	436	70	404	0.727295	0	0
HERBAL_A	SUBSTRING	8	KT_THERMAL__K_HOT__CH_MOIST	HOT	COLD	MOIST	DRY	70	404	60	436	0.727295	1	0
