layer	surface	composition_slot	default_meaning_de	status	evidence	caveat
HERBAL_PART	shor	REPRODUCTIVE_HEAD	Blüten- oder Fruchtstand; reproduktiver Kopf	CONCRETE_VISUAL_DEFAULT_WEAK	Eight exact occurrences on six of eleven inspected Herbal images, all with conspicuous reproductive structures; 67 of 91 panel occurrences are Herbal.	Several conspicuous reproductive images lack shor, and the form also occurs outside Herbal.
HERBAL_HEAD	koary|korary	REPRODUCTIVE_DRUG_SUBCLASS	Frucht-, Samen- oder Reproduktivdroge	CONCRETE_VISUAL_DEFAULT_WEAK	The only two heads accompany many terminal bodies and early shor on f6v and f45v.	Both word boundaries are unstable, f45v also has a huge rootstock, and koair is explicitly excluded from this family.
QUALITY_FORM	-ody|-edy	QUALITY_BEARING_ENDING_SHELL	Hülle einer Qualitäts- oder Zustandsform	STRUCTURAL_DEFAULT	chody shody and shedy are overwhelmingly line-internal and support productive ch/sh-bearing shells.	The ending has no independent English translation yet.
MATERIAL_STATE	chody	DRY_CLASS	trocken oder Trockenklasse	CONCRETE_WORKING_DEFAULT_MEDIUM	65 of 66 assignable occurrences have a dry nearest strict q-code; 33 of 34 within one line are dry, with f1r excluded.	Getrocknet or exsiccata is a separate weaker preparation hypothesis, not silently merged with dry or sicca.
LEARNED_WHOLE_FORM	shody	OPEN_CONTENT_IN_DRY_CONTEXT	gelernte Form im Trocken-Kontext; konkrete Bedeutung offen	MOIST_DEFAULT_REJECTED	Its nearest strict q-code is dry 37 times and moist once; within one line it is dry 14 and moist zero.	The ch/sh symmetry outside a licensed quality slot is insufficient to read it as moist.
MATERIAL_STATE	shedy	MOIST_CLASS	feucht oder Feuchtklasse	REGISTER_LOCAL_DEFAULT_WEAK	79 of 326 assignable occurrences have a moist nearest q-code versus 57 of 512 strict q-codes globally.	The enrichment is section-variable and moist remains the minority; fresh and moistened are separate competing meanings.
FORM_ENDING	-or|-os|-dal	PRODUCTIVE_ENDING	produktiver End- oder Grammatikslot	STRUCTURAL_DEFAULT	Large counts and many shared bases.	None means plant or name by itself.
RECURRENT_CARRIER	dsheody	RECURRENT_TECHNICAL_OR_CLAUSE_CARRIER	wiederkehrender Träger; lokaler Wert heiß und trocken	ATTACHMENT_DEFAULT_NOT_NOUN_TRANSLATION	2/2 contacts carry KCH.	Different owner images or registers prevent one substance-name assignment.
RECURRENT_CARRIER	kooiin	GENERIC_HERBAL_ENTRY_OR_CLASS	wiederkehrender Träger; lokaler Wert kalt und trocken	ATTACHMENT_DEFAULT_NOT_NOUN_TRANSLATION	2/2 contacts carry TCH.	Different owner images or registers prevent one substance-name assignment.
RECURRENT_CARRIER	poraiin	RECURRENT_TECHNICAL_OR_CLAUSE_CARRIER	wiederkehrender Träger; lokaler Wert heiß und trocken	ATTACHMENT_DEFAULT_NOT_NOUN_TRANSLATION	2/2 contacts carry KCH.	Different owner images or registers prevent one substance-name assignment.
RECURRENT_CARRIER	tchdor	RECURRENT_TECHNICAL_OR_CLAUSE_CARRIER	wiederkehrender Träger; lokaler Wert kalt und trocken	ATTACHMENT_DEFAULT_NOT_NOUN_TRANSLATION	2/2 contacts carry TCH.	Different owner images or registers prevent one substance-name assignment.
RECURRENT_CARRIER	tshod	RECURRENT_TECHNICAL_OR_CLAUSE_CARRIER	wiederkehrender Träger; lokaler Wert heiß und trocken	ATTACHMENT_DEFAULT_NOT_NOUN_TRANSLATION	2/2 contacts carry KCH.	Different owner images or registers prevent one substance-name assignment.
RECURRENT_CARRIER	yshol	RECURRENT_TECHNICAL_OR_CLAUSE_CARRIER	wiederkehrender Träger; lokaler Wert kalt und trocken	ATTACHMENT_DEFAULT_NOT_NOUN_TRANSLATION	2/2 contacts carry TCH.	Different owner images or registers prevent one substance-name assignment.
