queue_ordinal	surface	final_recipe	original_support_tier	original_support_band	original_weak_reason	visible_route_class	old26_exact_cover_path_count	selected_segment_count	selected_canonical_segment_count	selected_learned_or_bounded_segment_count	selected_visible_trace	selected_visible_evidence	exact_surface_reconstruction	exact_recipe_reconstruction	lexical_visible_status	visible_route_caution	neutral_component_reading_de	known_contextual_readings_de	guard
14	rotaiin	R+OT+AIIN	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	WORKING_DEFAULT_FRAGMENT	NEW_ATOM_INTERFACE	OLD26_EXACT_ALIAS_COVER	2	2	1	1	r→R | otaiin→OT+AIIN	r:CANONICAL_AND_LEARNED:n199:share0.861472 | otaiin:LEARNED_SHORT_RENDERER:n11:share1.000000	YES	YES	EXACT_VISIBLE_COMPOSITION__NO_OPAQUE_WHOLE_GLOSS	NONE_AT_VISIBLE_COMPOSITION_LAYER	Den Wert markieren; danach.	Danach: kennzeichne den Kennwert.	VISIBLE_ROUTE_ONLY__DOES_NOT_ERASE_CONTEXT_OR_INTERFACE_CAUTION
15	saiis	S+A_ADDR+IIN+S	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	WORKING_DEFAULT_FRAGMENT	ANCHOR_CONTEXT_MODE_DIFFERENCE	GDT547_PREFIX_CONDITIONED_AIIS_ROUTE	0	2	0	2	s→S | aiis→A_ADDR+IIN+S	four complete aiis cards split 2/2 by F-QO versus S prefix	YES	YES	EXACT_VISIBLE_COMPOSITION__NO_OPAQUE_WHOLE_GLOSS	AIIS_VALUE_IS_PREFIX_CONDITIONED__CONTEXT_BRIDGE_UNRESOLVED	Zweimal wählen; hier; auf der bezeichneten Stufe.	Wähle und wähle; auf der bezeichneten Stufe; an der bezeichneten Stelle.	VISIBLE_ROUTE_ONLY__DOES_NOT_ERASE_CONTEXT_OR_INTERFACE_CAUTION
16	shekair	SH+E+K+AIR	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	WORKING_DEFAULT_COMPLETE_OLD_TILES	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	OLD26_EXACT_ALIAS_COVER	4	2	1	1	shek→SH+E+K | air→AIR	shek:LEARNED_SHORT_RENDERER:n31:share0.939394 | air:CANONICAL_AND_LEARNED:n74:share0.936709	YES	YES	EXACT_VISIBLE_COMPOSITION__NO_OPAQUE_WHOLE_GLOSS	NONE_AT_VISIBLE_COMPOSITION_LAYER	Halten und geben; auf Grad I; entlang der Bahn.	Halte den laufenden Eintrag [wie zuvor] fest und ordne den laufenden Eintrag [wie zuvor] zu; entlang der Lesebahn; auf Grad I.	VISIBLE_ROUTE_ONLY__DOES_NOT_ERASE_CONTEXT_OR_INTERFACE_CAUTION
17	shekaly	SH+E+K+AL+Y	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	WORKING_DEFAULT_COMPLETE_OLD_TILES	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	OLD26_EXACT_ALIAS_COVER	10	2	0	2	shek→SH+E+K | aly→AL+Y	shek:LEARNED_SHORT_RENDERER:n31:share0.939394 | aly:LEARNED_SHORT_RENDERER:n39:share1.000000	YES	YES	EXACT_VISIBLE_COMPOSITION__NO_OPAQUE_WHOLE_GLOSS	NONE_AT_VISIBLE_COMPOSITION_LAYER	Den Posten halten und geben; auf Grad I; am Zielort.	Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu; zur Zielspalte; auf Grad I.	VISIBLE_ROUTE_ONLY__DOES_NOT_ERASE_CONTEXT_OR_INTERFACE_CAUTION
18	shekol	SH+E+K+OL	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	WORKING_DEFAULT_COMPLETE_OLD_TILES	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	OLD26_EXACT_ALIAS_COVER	6	2	0	2	she→SH+E | kol→K+OL	she:LEARNED_SHORT_RENDERER:n490:share0.981964 | kol:LEARNED_SHORT_RENDERER:n34:share1.000000	YES	YES	EXACT_VISIBLE_COMPOSITION__NO_OPAQUE_WHOLE_GLOSS	NONE_AT_VISIBLE_COMPOSITION_LAYER	Halten und geben; auf Grad I; fortsetzen.	Halte den laufenden Eintrag [wie zuvor] fest und ordne den laufenden Eintrag [wie zuvor] zu; auf Grad I; führe fort.	VISIBLE_ROUTE_ONLY__DOES_NOT_ERASE_CONTEXT_OR_INTERFACE_CAUTION
19	shokaiir	SH+OK+IIN+R	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	WORKING_DEFAULT_FRAGMENT	ANCHOR_CONTEXT_MODE_DIFFERENCE	GDT546_EXACT_OLD_STEM_PLUS_RECURRENT_EXTENSION	0	2	0	2	sh→SH | okaiir→OK+IIN+R	okaiir old anchor events2; SH>OK old events6; sh channel n3	YES	YES	EXACT_VISIBLE_COMPOSITION__NO_OPAQUE_WHOLE_GLOSS	ANCHOR_CONTEXT_BRIDGE_UNRESOLVED	Halten, setzen und markieren; auf der bezeichneten Stufe.	Halte fest, trage ein und kennzeichne; auf der bezeichneten Stufe.	VISIBLE_ROUTE_ONLY__DOES_NOT_ERASE_CONTEXT_OR_INTERFACE_CAUTION
20	shso	SH+S+O	ATOMS_AND_FACTORS_ONLY	WORKING_DEFAULT_NEW_ACTION_PAIR	RAW_NEW_DIRECT_ACTION_PAIR_SH>S	OLD26_EXACT_ALIAS_COVER	2	2	1	1	sh→SH | so→S+O	sh:CANONICAL_AND_LEARNED:n1298:share0.985573 | so:LEARNED_SHORT_RENDERER:n31:share0.885714	YES	YES	EXACT_VISIBLE_COMPOSITION__NO_OPAQUE_WHOLE_GLOSS	NONE_AT_VISIBLE_COMPOSITION_LAYER	Halten und wählen; zur Ausführung.	Halte und wähle; zur Ausführung.	VISIBLE_ROUTE_ONLY__DOES_NOT_ERASE_CONTEXT_OR_INTERFACE_CAUTION
21	shyshol	SH+Y+SH+OL	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	WORKING_DEFAULT_COMPLETE_OLD_TILES	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	OLD26_EXACT_ALIAS_COVER	3	3	2	1	sh→SH | ysh→Y+SH | ol→OL	sh:CANONICAL_AND_LEARNED:n1298:share0.985573 | ysh:LEARNED_SHORT_RENDERER:n13:share1.000000 | ol:CANONICAL_AND_LEARNED:n956:share0.965657	YES	YES	EXACT_VISIBLE_COMPOSITION__NO_OPAQUE_WHOLE_GLOSS	NONE_AT_VISIBLE_COMPOSITION_LAYER	Den Posten zweimal halten; fortsetzen.	Halte den Pflanzenposten und halte den Pflanzenposten; führe fort.	VISIBLE_ROUTE_ONLY__DOES_NOT_ERASE_CONTEXT_OR_INTERFACE_CAUTION
22	tolshy	T+OL+SH+Y	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	WORKING_DEFAULT_COMPLETE_OLD_TILES	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	OLD26_EXACT_ALIAS_COVER	1	4	4	0	t→T | ol→OL | sh→SH | y→Y	t:CANONICAL_AND_LEARNED:n636:share0.940828 | ol:CANONICAL_AND_LEARNED:n956:share0.965657 | sh:CANONICAL_AND_LEARNED:n1298:share0.985573 | y:CANONICAL_AND_LEARNED:n2848:share0.984105	YES	YES	EXACT_VISIBLE_COMPOSITION__NO_OPAQUE_WHOLE_GLOSS	NONE_AT_VISIBLE_COMPOSITION_LAYER	Den Posten einstellen und halten; fortsetzen.	Stelle den Pflanzenposten ein und halte den Pflanzenposten; führe fort.	VISIBLE_ROUTE_ONLY__DOES_NOT_ERASE_CONTEXT_OR_INTERFACE_CAUTION
23	ypches	Y+P+CH+E+S	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	WORKING_DEFAULT_COMPLETE_OLD_TILES	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	OLD26_EXACT_ALIAS_COVER	11	2	0	2	yp→Y+P | ches→CH+E+S	yp:LEARNED_SHORT_RENDERER:n16:share0.842105 | ches:LEARNED_SHORT_RENDERER:n13:share1.000000	YES	YES	EXACT_VISIBLE_COMPOSITION__NO_OPAQUE_WHOLE_GLOSS	NONE_AT_VISIBLE_COMPOSITION_LAYER	Den Posten einsetzen, nehmen und wählen; auf Grad I.	Setze den laufenden Eintrag ein, entnimm den laufenden Eintrag und wähle den laufenden Eintrag; auf Grad I.	VISIBLE_ROUTE_ONLY__DOES_NOT_ERASE_CONTEXT_OR_INTERFACE_CAUTION
