card_ordinal	candidate_recipe	fixed_literal_reading_de	fixed_workshop_phrase_de	neighbor_route_count	generic_pass_count	register_pass_count	register_contrast_total	weakest_direct_shared_frame_count	decision
25	L+K+OR	VERBINDUNG · GEBEN · EINHEIT	Gib die Einheit über die Verbindung.	3	3	15	15	16	CARD_CONTRASTS_ALL_REVERSIBLE
26	O+OR	AUSFÜHRUNG · EINHEIT	Führe die Einheit aus.	3	3	15	15	16	CARD_CONTRASTS_ALL_REVERSIBLE
27	OK+CH+AIIN	SETZEN · NEHMEN · WERT	Setze den Wert; nimm den Wert.	3	3	15	15	27	CARD_CONTRASTS_ALL_REVERSIBLE
28	OK+L	SETZEN · VERBINDUNG	Setze über die Verbindung.	3	3	15	15	3	CARD_CONTRASTS_ALL_REVERSIBLE
29	OL+K+OR	FORTSETZEN · GEBEN · EINHEIT	Weiter: Gib die Einheit.	3	3	15	15	16	CARD_CONTRASTS_ALL_REVERSIBLE
30	OT+E+AIN	DANACH · GRAD I · ANTEIL	Danach: Anteil auf Grad I.	3	3	15	15	16	CARD_CONTRASTS_ALL_REVERSIBLE
31	P+AIIN	EINSETZEN · WERT	Setze den Wert ein.	3	3	15	15	10	CARD_CONTRASTS_ALL_REVERSIBLE
32	P+AIN	EINSETZEN · ANTEIL	Setze den Anteil ein.	3	3	15	15	10	CARD_CONTRASTS_ALL_REVERSIBLE
33	P+AIR	EINSETZEN · BAHN	Setze entlang der Bahn ein.	3	3	15	15	10	CARD_CONTRASTS_ALL_REVERSIBLE
34	P+AL	EINSETZEN · ZIELORT	Setze am Zielort ein.	3	3	15	15	10	CARD_CONTRASTS_ALL_REVERSIBLE
35	P+OR	EINSETZEN · EINHEIT	Setze die Einheit ein.	3	3	15	15	10	CARD_CONTRASTS_ALL_REVERSIBLE
36	P+SH+AL	EINSETZEN · HALTEN · ZIELORT	Setze ein; halte am Zielort.	3	3	15	15	10	CARD_CONTRASTS_ALL_REVERSIBLE
37	P+SH+Y	EINSETZEN · HALTEN · POSTEN	Setze den Posten ein; halte den Posten.	3	3	15	15	10	CARD_CONTRASTS_ALL_REVERSIBLE
38	S+Y	WÄHLEN · POSTEN	Wähle den Posten.	3	3	15	15	23	CARD_CONTRASTS_ALL_REVERSIBLE
39	SH+AIR	HALTEN · BAHN	Halte entlang der Bahn.	3	3	15	15	8	CARD_CONTRASTS_ALL_REVERSIBLE
40	SH+E+K+AIN	HALTEN · GRAD I · GEBEN · ANTEIL	Halte den Anteil; gib den Anteil auf Grad I.	3	3	15	15	16	CARD_CONTRASTS_ALL_REVERSIBLE
41	SH+OK+Y	HALTEN · SETZEN · POSTEN	Halte den Posten; setze den Posten.	3	3	15	15	23	CARD_CONTRASTS_ALL_REVERSIBLE
42	T+CHD+OR	EINSTELLEN · BEARBEITEN · EINHEIT	Stelle die Einheit ein; bearbeite die Einheit.	3	3	15	15	14	CARD_CONTRASTS_ALL_REVERSIBLE
43	T+OR	EINSTELLEN · EINHEIT	Stelle die Einheit ein.	3	3	15	15	16	CARD_CONTRASTS_ALL_REVERSIBLE
44	Y+AIIN	POSTEN · WERT	Wert des Postens.	3	3	15	15	23	CARD_CONTRASTS_ALL_REVERSIBLE
45	Y+AIR	POSTEN · BAHN	Posten entlang der Bahn.	3	3	15	15	3	CARD_CONTRASTS_ALL_REVERSIBLE
46	Y+K+L	POSTEN · GEBEN · VERBINDUNG	Gib den Posten über die Verbindung.	3	3	15	15	3	CARD_CONTRASTS_ALL_REVERSIBLE
47	Y+OR	POSTEN · EINHEIT	Einheit des Postens.	3	3	15	15	16	CARD_CONTRASTS_ALL_REVERSIBLE
