event_serial	record_unit_id	statement_id	page	visible_surface	master_card_id	visible_owner	apprentice_layer	card_value_de	terminal_status
32	H2	H2-S003	f10r	oykchor	MC027	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LOKALKARTE	Posten · bearbeiten · Bereitung	NONCLOSE
33	H2	H2-S003	f10r	shor	MC080	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	Ansatz	NONCLOSE
34	H2	H2-S003	f10r	chor	MC080	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	Ansatz	NONCLOSE
35	H2	H2-S003	f10r	chy	MC123	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	dies	NONCLOSE
36	H2	H2-S003	f10r	kaiiin	MC048	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LOKALKARTE	Arbeitsstufe	NONCLOSE
37	H2	H2-S003	f10r	dy	MC123	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	dies	NONCLOSE
38	H2	H2-S003	f10r	chodaiin	MC087	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LOKALKARTE	Zugabe · Sollmaß	NONCLOSE
39	H3	H3-S001	f11r	tshol	MC098	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LOKALKARTE	Zugabe · abführen	NONCLOSE
40	H3	H3-S001	f11r	schoal	MC049	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LOKALKARTE	Zugabe · Ziel	NONCLOSE
41	H3	H3-S001	f11r	cfhy	MC129	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LOKALKARTE	auswringen · Posten	NONCLOSE
42	H3	H3-S001	f11r	shfydaiin	MC111	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LOKALKARTE	halten · Sollmaß	NONCLOSE
43	H3	H3-S001	f11r	cphy	MC156	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LOKALKARTE	nachseihen · Posten	NONCLOSE
44	H3	H3-S001	f11r	shey	MC119	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LEHRWORT	Klarauszug	NONCLOSE
45	H3	H3-S001	f11r	tchody	MC037	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LOKALKARTE	Zugabe; schließen	TERMINAL
46	H3	H3-S002	f11r	shoyty	MC062	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LOKALKARTE	Zugabe · Posten · Teil	NONCLOSE
47	H3	H3-S003	f11r	dchol	MC142	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LEHRWORT	vom vorigen	NONCLOSE
48	H3	H3-S003	f11r	chy	MC123	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LEHRWORT	dies	NONCLOSE
49	H3	H3-S003	f11r	kchy	MC117	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LOKALKARTE	bearbeiten · Posten	NONCLOSE
50	H3	H3-S003	f11r	dy	MC123	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LEHRWORT	dies	NONCLOSE
51	H3	H3-S003	f11r	daiin	MC039	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LEHRWORT	Sollmaß	NONCLOSE
52	H3	H3-S004	f11r	qotchy	MC107	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LOKALKARTE	danach · Posten	NONCLOSE
53	H3	H3-S004	f11r	okchol	MC041	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LOKALKARTE	einsetzen · weiter	NONCLOSE
54	H3	H3-S004	f11r	cthy	MC161	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LEHRWORT	bereit	NONCLOSE
55	H3	H3-S004	f11r	dy	MC123	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LEHRWORT	dies	NONCLOSE
56	H4	H4-S001	f55v	qokaiin	MC120	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LEHRWORT	bemessen	NONCLOSE
57	H4	H4-S001	f55v	chaiin	MC039	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LEHRWORT	Sollmaß	NONCLOSE
58	H4	H4-S001	f55v	ykain	MC047	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LOKALKARTE	Posten · Anteil	NONCLOSE
59	H4	H4-S001	f55v	ykan	MC148	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LOKALKARTE	Posten · Anteil	NONCLOSE
60	H4	H4-S001	f55v	ody	MC100	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LOKALKARTE	kühlen	TERMINAL
61	H4	H4-S002	f55v	daiin	MC039	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LEHRWORT	Sollmaß	NONCLOSE
62	H4	H4-S002	f55v	chedy	MC074	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LEHRWORT	überführen	NONCLOSE
63	H4	H4-S002	f55v	talam	MC160	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LOKALKARTE	Ziel · verwahren	TERMINAL
64	H4	H4-S003	f55v	ykaiin	MC170	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LOKALKARTE	Posten · Sollmaß	NONCLOSE
65	H4	H4-S003	f55v	cheoar	MC085	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LOKALKARTE	Auszug · Quelle	NONCLOSE
66	H4	H4-S003	f55v	cheeky	MC032	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LEHRWORT	länger bearbeiten	NONCLOSE
67	H4	H4-S003	f55v	oldy	MC019	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LEHRWORT	fertig	TERMINAL
68	H4	H4-S004	f55v	aiin	MC039	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LEHRWORT	Sollmaß	NONCLOSE
69	H4	H4-S004	f55v	okal	MC040	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LEHRWORT	dorthin einsetzen	NONCLOSE
70	H4	H4-S004	f55v	oltchy	MC021	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LOKALKARTE	weiter · bereitstellen · Posten	NONCLOSE
71	H4	H4-S004	f55v	or	MC080	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LEHRWORT	Ansatz	NONCLOSE
72	H4	H4-S004	f55v	y	MC123	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LEHRWORT	dies	NONCLOSE
73	H4	H4-S004	f55v	orain	MC072	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LOKALKARTE	Bereitung · Anteil	NONCLOSE
74	H5	H5-S001	f56r	chochor	MC125	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LOKALKARTE	Zugabe · Bereitung	NONCLOSE
75	H5	H5-S001	f56r	cho	MC034	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LEHRWORT	weitere Zutat	NONCLOSE
76	H5	H5-S001	f56r	chodaly	MC010	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LOKALKARTE	Zugabe · Ziel · Posten	NONCLOSE
77	H5	H5-S001	f56r	daiin	MC039	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LEHRWORT	Sollmaß	NONCLOSE
78	H5	H5-S001	f56r	sho	MC034	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LEHRWORT	weitere Zutat	NONCLOSE
79	H5	H5-S001	f56r	kchol	MC090	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LOKALKARTE	bearbeiten · weiter	NONCLOSE
80	H5	H5-S001	f56r	otchor	MC013	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LEHRWORT	Folgeansatz	NONCLOSE
81	H5	H5-S001	f56r	choky	MC026	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LEHRWORT	einsetzen	NONCLOSE
82	H5	H5-S001	f56r	dal	MC154	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LEHRWORT	dorthin	NONCLOSE
83	H5	H5-S002	f56r	schol	MC142	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LEHRWORT	vom vorigen	NONCLOSE
84	H5	H5-S002	f56r	choy	MC131	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LOKALKARTE	Zugabe · Posten	NONCLOSE
85	H5	H5-S002	f56r	choky	MC026	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LEHRWORT	einsetzen	NONCLOSE
86	H5	H5-S002	f56r	cheeckhody	MC099	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LOKALKARTE	Langpassage; Schluss	TERMINAL
87	H5	H5-S003	f56r	sh	MC114	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LOKALKARTE	halten	NONCLOSE
88	H5	H5-S003	f56r	cho	MC034	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LEHRWORT	weitere Zutat	NONCLOSE
89	H5	H5-S003	f56r	kchey	MC122	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LOKALKARTE	bearbeiten · kurz · Posten	NONCLOSE
90	H5	H5-S003	f56r	qokokchy	MC015	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LOKALKARTE	einsetzen · einsetzen · Posten	NONCLOSE
91	H5	H5-S004	f56r	okchy	MC103	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LEHRWORT	weiterbearbeiten	NONCLOSE
92	H5	H5-S004	f56r	chokcheo	MC006	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LOKALKARTE	einsetzen · Auszug	NONCLOSE
93	H5	H5-S004	f56r	kchal	MC077	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LOKALKARTE	bearbeiten · Ziel	NONCLOSE
94	H5	H5-S005	f56r	sho	MC034	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LEHRWORT	weitere Zutat	NONCLOSE
95	H5	H5-S005	f56r	chokchy	MC103	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LEHRWORT	weiterbearbeiten	NONCLOSE
96	H5	H5-S005	f56r	kchoar	MC136	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LOKALKARTE	Auszug · Quelle	NONCLOSE
97	H5	H5-S005	f56r	sotodan	MC068	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LOKALKARTE	danach · anwenden	NONCLOSE
98	H5	H5-S006	f56r	otchey	MC171	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LEHRWORT	das nächste	NONCLOSE
99	H5	H5-S006	f56r	keol	MC104	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LOKALKARTE	kurz · weiter	NONCLOSE
100	H5	H5-S006	f56r	daiin	MC039	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LEHRWORT	Sollmaß	NONCLOSE
101	B1	B1-S001	f81v	qokedy	MC083	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	kurz einwirken; Schluss	TERMINAL
102	B1	B1-S002	f81v	okaiin	MC120	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	bemessen	NONCLOSE
103	B1	B1-S002	f81v	kair	MC023	gemeinsames zweireihiges Figuren-/Beckenfeld	LOKALKARTE	Lauf	NONCLOSE
104	B1	B1-S002	f81v	okal	MC040	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	dorthin einsetzen	NONCLOSE
105	B1	B1-S002	f81v	sar	MC055	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	davon	NONCLOSE
106	B1	B1-S002	f81v	ol	MC153	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	weiter	NONCLOSE
107	B1	B1-S002	f81v	kain	MC105	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	Anteil	NONCLOSE
108	B1	B1-S002	f81v	olkain	MC097	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	weiterer Anteil	NONCLOSE
109	B1	B1-S002	f81v	al	MC154	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	dorthin	NONCLOSE
110	B1	B1-S002	f81v	ol	MC153	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	weiter	NONCLOSE
111	B1	B1-S002	f81v	rol	MC016	gemeinsames zweireihiges Figuren-/Beckenfeld	LOKALKARTE	weiter	NONCLOSE
112	B1	B1-S002	f81v	dl	MC012	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	Zusatz	NONCLOSE
113	B1	B1-S002	f81v	olor	MC157	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	derselbe Ansatz	NONCLOSE
114	B1	B1-S002	f81v	ol	MC153	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	weiter	NONCLOSE
115	B1	B1-S002	f81v	sheckhal	MC058	gemeinsames zweireihiges Figuren-/Beckenfeld	LOKALKARTE	Passage · kurz · Ziel	NONCLOSE
116	B1	B1-S002	f81v	daiin	MC039	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	Sollmaß	NONCLOSE
117	B1	B1-S002	f81v	qokeedal	MC096	gemeinsames zweireihiges Figuren-/Beckenfeld	LOKALKARTE	einsetzen · länger · Ziel	NONCLOSE
118	B1	B1-S002	f81v	daiin	MC039	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	Sollmaß	NONCLOSE
119	B1	B1-S002	f81v	chckhy	MC035	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	durchleiten	NONCLOSE
120	B1	B1-S002	f81v	schedy	MC025	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	überführen; Schluss	TERMINAL
121	B1	B1-S003	f81v	qol	MC153	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	weiter	NONCLOSE
122	B1	B1-S003	f81v	sshkchdy	MC061	gemeinsames zweireihiges Figuren-/Beckenfeld	LOKALKARTE	Haltetransfer; Schluss	TERMINAL
123	B1	B1-S004	f81v	chedy	MC074	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	überführen	NONCLOSE
124	B1	B1-S004	f81v	ol	MC153	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	weiter	NONCLOSE
125	B1	B1-S004	f81v	shedy	MC128	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	kurz absetzen; Schluss	TERMINAL
126	B1	B1-S005	f81v	qolchedy	MC028	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	weiterführen; Schluss	TERMINAL
127	B1	B1-S006	f81v	qokain	MC017	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	Anteil zugeben	NONCLOSE
128	B1	B1-S006	f81v	shckhy	MC035	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	durchleiten	NONCLOSE
129	B1	B1-S006	f81v	dl	MC012	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	Zusatz	NONCLOSE
130	B1	B1-S006	f81v	ral	MC056	gemeinsames zweireihiges Figuren-/Beckenfeld	LOKALKARTE	Ziel	NONCLOSE
131	B1	B1-S007	f81v	qokchdy	MC088	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	einführen; Schluss	TERMINAL
132	B1	B1-S008	f81v	chey	MC123	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	dies	NONCLOSE
133	B1	B1-S008	f81v	ol	MC153	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	weiter	NONCLOSE
134	B1	B1-S008	f81v	cheky	MC147	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	kurz wärmen	NONCLOSE
135	B1	B1-S008	f81v	ol	MC153	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	weiter	NONCLOSE
136	B1	B1-S008	f81v	shedy	MC128	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	kurz absetzen; Schluss	TERMINAL
137	B1	B1-S009	f81v	qokedy	MC083	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	kurz einwirken; Schluss	TERMINAL
138	B1	B1-S010	f81v	qokedy	MC083	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	kurz einwirken; Schluss	TERMINAL
139	B1	B1-S011	f81v	chckhy	MC035	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	durchleiten	NONCLOSE
140	B1	B1-S011	f81v	qoky	MC026	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	einsetzen	NONCLOSE
141	B1	B1-S012	f81v	lsho	MC130	gemeinsames zweireihiges Figuren-/Beckenfeld	LOKALKARTE	waschen	NONCLOSE
142	B1	B1-S012	f81v	qokey	MC007	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	kurz einwirken	NONCLOSE
143	B1	B1-S012	f81v	lshedy	MC038	gemeinsames zweireihiges Figuren-/Beckenfeld	LOKALKARTE	waschen; schließen	TERMINAL
144	B1	B1-S013	f81v	lshedy	MC038	gemeinsames zweireihiges Figuren-/Beckenfeld	LOKALKARTE	waschen; schließen	TERMINAL
145	B1	B1-S014	f81v	chedy	MC074	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	überführen	NONCLOSE
146	B1	B1-S014	f81v	qolky	MC134	gemeinsames zweireihiges Figuren-/Beckenfeld	LOKALKARTE	weiter	NONCLOSE
147	B1	B1-S014	f81v	lchedal	MC051	gemeinsames zweireihiges Figuren-/Beckenfeld	LOKALKARTE	abführen · übertragen · Ziel	NONCLOSE
148	B1	B1-S014	f81v	qol	MC153	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	weiter	NONCLOSE
149	B1	B1-S014	f81v	otar	MC121	gemeinsames zweireihiges Figuren-/Beckenfeld	LOKALKARTE	danach · Quelle	NONCLOSE
150	B1	B1-S015	f81v	ytey	MC109	gemeinsames zweireihiges Figuren-/Beckenfeld	LOKALKARTE	Posten · kurz · Teil	NONCLOSE
151	B1	B1-S015	f81v	okchedy	MC005	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	einführen; Schluss	TERMINAL
152	B1	B1-S016	f81v	qokal	MC040	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	dorthin einsetzen	NONCLOSE
153	B1	B1-S016	f81v	okeey	MC002	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	lange einwirken	NONCLOSE
154	B1	B1-S016	f81v	qol	MC153	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	weiter	NONCLOSE
155	B1	B1-S016	f81v	cheedy	MC128	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	kurz absetzen; Schluss	TERMINAL
156	B1	B1-S017	f81v	sal	MC154	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	dorthin	NONCLOSE
157	B1	B1-S017	f81v	teol	MC106	gemeinsames zweireihiges Figuren-/Beckenfeld	LOKALKARTE	kurz · weiter	NONCLOSE
158	B1	B1-S017	f81v	dchdy	MC139	gemeinsames zweireihiges Figuren-/Beckenfeld	LOKALKARTE	übertragen; schließen	TERMINAL
159	B1	B1-S018	f81v	ly	MC118	gemeinsames zweireihiges Figuren-/Beckenfeld	LOKALKARTE	abführen · Posten	NONCLOSE
160	B1	B1-S018	f81v	dsheol	MC076	gemeinsames zweireihiges Figuren-/Beckenfeld	LOKALKARTE	halten · kurz · weiter	NONCLOSE
161	B1	B1-S018	f81v	oiiin	MC033	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	Arbeitsstufe	NONCLOSE
162	B1	B1-S018	f81v	olkeedy	MC045	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	lange sammeln; Schluss	TERMINAL
163	B1	B1-S019	f81v	tedy	MC128	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	kurz absetzen; Schluss	TERMINAL
164	B1	B1-S020	f81v	cheky	MC147	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	kurz wärmen	NONCLOSE
165	B1	B1-S020	f81v	shckhedy	MC143	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	seihen; Schluss	TERMINAL
166	B1	B1-S021	f81v	chal	MC154	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	dorthin	NONCLOSE
167	B2	B2-S001	f82r	dchedy	MC025	obere Paarbecken-/Zylinderstation	LEHRWORT	überführen; Schluss	TERMINAL
168	B2	B2-S002	f82r	qolchedy	MC028	obere Paarbecken-/Zylinderstation	LEHRWORT	weiterführen; Schluss	TERMINAL
169	B2	B2-S003	f82r	qokain	MC017	obere Paarbecken-/Zylinderstation	LEHRWORT	Anteil zugeben	NONCLOSE
170	B2	B2-S003	f82r	dy	MC123	obere Paarbecken-/Zylinderstation	LEHRWORT	dies	NONCLOSE
171	B2	B2-S003	f82r	qokeedy	MC082	obere Paarbecken-/Zylinderstation	LEHRWORT	lange einwirken; Schluss	TERMINAL
172	B2	B2-S004	f82r	qokal	MC040	obere Paarbecken-/Zylinderstation	LEHRWORT	dorthin einsetzen	NONCLOSE
173	B2	B2-S004	f82r	lcheckhy	MC168	obere Paarbecken-/Zylinderstation	LOKALKARTE	abführen · Passage · Posten	NONCLOSE
174	B2	B2-S004	f82r	lched	MC127	obere Paarbecken-/Zylinderstation	LOKALKARTE	abführen · übertragen	NONCLOSE
175	B2	B2-S004	f82r	qokeey	MC002	obere Paarbecken-/Zylinderstation	LEHRWORT	lange einwirken	NONCLOSE
