candidate	ownership	comparison_scope	goal_mode	syntax	checked_cases	coherent	contradicted	source_complete_rows	source_complete_and_coherent	derived_intention_cases	rebound_denotations	independent_meaning_capacity
INTRINSIC_EVAC_ONLY_BRIDGED_NEAREST_WATER_TRANSFER	INTRINSIC	EVAC_ONLY	BRIDGED	NEAREST_WATER_TRANSFER	1	0	1	0	0	0	0	0
INTRINSIC_EVAC_ONLY_BRIDGED_EXECUTED_REPRISE	INTRINSIC	EVAC_ONLY	BRIDGED	EXECUTED_REPRISE	1	0	1	0	0	0	0	0
INTRINSIC_EVAC_ONLY_IDEAL_ALL_QUOTED_FOOD_TRANSFER	INTRINSIC	EVAC_ONLY	IDEAL_ALL	QUOTED_FOOD_TRANSFER	17	13	4	0	0	0	1	0
INTRINSIC_EVAC_ONLY_IDEAL_ALL_NEAREST_WATER_TRANSFER	INTRINSIC	EVAC_ONLY	IDEAL_ALL	NEAREST_WATER_TRANSFER	1	0	1	0	0	0	1	0
INTRINSIC_EVAC_ONLY_IDEAL_ALL_EXECUTED_REPRISE	INTRINSIC	EVAC_ONLY	IDEAL_ALL	EXECUTED_REPRISE	1	0	1	0	0	0	1	0
LIQUOR_GENERAL_UNBRIDGED_QUOTED_FOOD_TRANSFER	LIQUOR	GENERAL	UNBRIDGED	QUOTED_FOOD_TRANSFER	17	12	5	0	0	0	3	0
LIQUOR_GENERAL_UNBRIDGED_NEAREST_WATER_TRANSFER	LIQUOR	GENERAL	UNBRIDGED	NEAREST_WATER_TRANSFER	1	0	1	0	0	0	3	0
LIQUOR_GENERAL_UNBRIDGED_EXECUTED_REPRISE	LIQUOR	GENERAL	UNBRIDGED	EXECUTED_REPRISE	1	0	1	0	0	0	3	0
LIQUOR_GENERAL_BRIDGED_QUOTED_FOOD_TRANSFER	LIQUOR	GENERAL	BRIDGED	QUOTED_FOOD_TRANSFER	17	12	5	0	0	15	3	0
LIQUOR_GENERAL_BRIDGED_NEAREST_WATER_TRANSFER	LIQUOR	GENERAL	BRIDGED	NEAREST_WATER_TRANSFER	1	0	1	0	0	0	3	0
LIQUOR_GENERAL_BRIDGED_EXECUTED_REPRISE	LIQUOR	GENERAL	BRIDGED	EXECUTED_REPRISE	1	0	1	0	0	0	3	0
LIQUOR_GENERAL_IDEAL_ALL_QUOTED_FOOD_TRANSFER	LIQUOR	GENERAL	IDEAL_ALL	QUOTED_FOOD_TRANSFER	17	12	5	0	0	0	4	0
LIQUOR_GENERAL_IDEAL_ALL_NEAREST_WATER_TRANSFER	LIQUOR	GENERAL	IDEAL_ALL	NEAREST_WATER_TRANSFER	1	0	1	0	0	0	4	0
LIQUOR_GENERAL_IDEAL_ALL_EXECUTED_REPRISE	LIQUOR	GENERAL	IDEAL_ALL	EXECUTED_REPRISE	1	0	1	0	0	0	4	0
LIQUOR_EVAC_ONLY_UNBRIDGED_QUOTED_FOOD_TRANSFER	LIQUOR	EVAC_ONLY	UNBRIDGED	QUOTED_FOOD_TRANSFER	17	13	4	0	0	0	3	0
LIQUOR_EVAC_ONLY_UNBRIDGED_NEAREST_WATER_TRANSFER	LIQUOR	EVAC_ONLY	UNBRIDGED	NEAREST_WATER_TRANSFER	1	0	1	0	0	0	3	0
LIQUOR_EVAC_ONLY_UNBRIDGED_EXECUTED_REPRISE	LIQUOR	EVAC_ONLY	UNBRIDGED	EXECUTED_REPRISE	1	0	1	0	0	0	3	0
LIQUOR_EVAC_ONLY_BRIDGED_QUOTED_FOOD_TRANSFER	LIQUOR	EVAC_ONLY	BRIDGED	QUOTED_FOOD_TRANSFER	17	13	4	0	0	15	3	0
LIQUOR_EVAC_ONLY_BRIDGED_NEAREST_WATER_TRANSFER	LIQUOR	EVAC_ONLY	BRIDGED	NEAREST_WATER_TRANSFER	1	0	1	0	0	0	3	0
LIQUOR_EVAC_ONLY_BRIDGED_EXECUTED_REPRISE	LIQUOR	EVAC_ONLY	BRIDGED	EXECUTED_REPRISE	1	0	1	0	0	0	3	0
LIQUOR_EVAC_ONLY_IDEAL_ALL_QUOTED_FOOD_TRANSFER	LIQUOR	EVAC_ONLY	IDEAL_ALL	QUOTED_FOOD_TRANSFER	17	13	4	0	0	0	4	0
LIQUOR_EVAC_ONLY_IDEAL_ALL_NEAREST_WATER_TRANSFER	LIQUOR	EVAC_ONLY	IDEAL_ALL	NEAREST_WATER_TRANSFER	1	0	1	0	0	0	4	0
LIQUOR_EVAC_ONLY_IDEAL_ALL_EXECUTED_REPRISE	LIQUOR	EVAC_ONLY	IDEAL_ALL	EXECUTED_REPRISE	1	0	1	0	0	0	4	0
