position	locus	source_id	word	value	denotation	clause	anchor_eligible	liquor_rebind	confirmed
26	f107v.47	ZL3b|f107v.47|G006	qokey	FULLY	One completion modifier: BOIL has a thorough-preparation endpoint; RETAIN has complete own-juice retention. These two chosen endpoint interpretations are explicit semantic assumptions, not a shared numerical scale.	C03	False	0	0
27	f107v.47	ZL3b|f107v.47|G007	qokeey	BOIL	One boiling operation in the C02 prohibition, C03 quoted reprise and C05 duration comparison. Occurrence mode comes from the production, not a new word meaning.	C03	False	0	0
28	f107v.47	ZL3b|f107v.47|G008	daiin	BECAUSE	C03 takes the previously prohibited FULLY BOIL as quoted explanandum and the retention desire as reason.	C03	False	0	0
29	f107v.47	ZL3b|f107v.47|G009	y	FOR	Same relation to a use/purpose at21,29,46. C02 norm, C03 reason and C05 relevance scopes are declared by productions; FOR does not itself create a medical effect.	C03	False	0	0
30	f107v.47	ZL3b|f107v.47|G010	okeey	THIS_USE	Resumes the evacuation purpose of C02; no unmarked return to the drying branch.	C03	False	0	0
31	f107v.47	ZL3b|f107v.47|G011	odain	DESIRE	Same denotation as porain; freely assumed whole-word synonym, counted.	C03	False	0	0
32	f107v.48	ZL3b|f107v.48|G001	oteedy	RETAIN	Retain the food’s own intrinsic liquid/juice. Under DESIRE/AS_POSSIBLE this is a goal, not an observed achieved amount.	C03	False	1	0
33	f107v.48	ZL3b|f107v.48|G002	qokey	FULLY	One completion modifier: BOIL has a thorough-preparation endpoint; RETAIN has complete own-juice retention. These two chosen endpoint interpretations are explicit semantic assumptions, not a shared numerical scale.	C03	False	0	0
34	f107v.48	ZL3b|f107v.48|G003	qokeedy	AS_POSSIBLE	Qualify the desired extent as as much/as fully as feasible. No numerical optimum, attained maximum or existence of a maximizing physical state is asserted.	C03	False	0	0
35	f107v.48	ZL3b|f107v.48|G004	chody	OWN	Select the food’s intrinsic juice, J(owner), rather than the cooking water merely surrounding that owner.	C03	False	1	0
36	f107v.48	ZL3b|f107v.48|G005	chey	LIQUID	Generic liquid kind. Apposition in C01 resolves it to W1; OWN in C03 and the inherited owner schema in C04/C05 resolve it to the food’s intrinsic juice. This context narrowing is an explicit grammar cost, not a fixed JUICE gloss.	C03	False	0	0
37	f107v.48	ZL3b|f107v.48|G006	qoky	NO	No member of the stated cooked-food kind can satisfy the following complete-retention capability.	C04	False	0	0
38	f107v.48	ZL3b|f107v.48|G007	oteey	BOILED_FOOD	Same kind at19/38: the current cooked portion at19, a variable of that same kind under NO at38. A new generic binder, not a switch to all objects.	C04	False	0	0
39	f107v.48	ZL3b|f107v.48|G008	otain	CAN_RETAIN	Capability to retain at a given extent. It is not an alias of the DESIRE-governed RETAIN verb at32; final COMPLETELY supplies its extent argument.	C04	False	0	0
40	f107v.48	ZL3b|f107v.48|G009	chey	LIQUID	Generic liquid kind. Apposition in C01 resolves it to W1; OWN in C03 and the inherited owner schema in C04/C05 resolve it to the food’s intrinsic juice. This context narrowing is an explicit grammar cost, not a fixed JUICE gloss.	C04	False	0	0
41	f107v.48	ZL3b|f107v.48|G010	aiinal	COMPLETELY	Same completion extent as FULLY when applied to retention. Its scope is the embedded retention extent of CAN_RETAIN, not completion of an ability itself. This is one freely assumed lexical synonym.	C04	False	0	0
42	f107v.49	ZL3b|f107v.49|G001	ycheosaiin	LONGER	Compare longer with shorter relevant histories; no minutes or universal unbounded continuous-time law.	C05	False	0	0
43	f107v.49	ZL3b|f107v.49|G002	oekey	MORE	Greater own-juice loss in the corresponding history; no fraction or invented measured amount.	C05	False	0	0
44	f107v.49	ZL3b|f107v.49|G003	chey	LIQUID	Generic liquid kind. Apposition in C01 resolves it to W1; OWN in C03 and the inherited owner schema in C04/C05 resolve it to the food’s intrinsic juice. This context narrowing is an explicit grammar cost, not a fixed JUICE gloss.	C05	False	0	0
45	f107v.49	ZL3b|f107v.49|G004	qokeey	BOIL	One boiling operation in the C02 prohibition, C03 quoted reprise and C05 duration comparison. Occurrence mode comes from the production, not a new word meaning.	C05	False	0	0
46	f107v.49	ZL3b|f107v.49|G005	y	FOR	Same relation to a use/purpose at21,29,46. C02 norm, C03 reason and C05 relevance scopes are declared by productions; FOR does not itself create a medical effect.	C05	False	0	0
47	f107v.49	ZL3b|f107v.49|G006	cheey	EVACUATION	Same evacuation goal at22/47, resumed by THIS_USE30.	C05	False	0	0
48	f107v.49	ZL3b|f107v.49|G007	dy	LOSE	Loss of own juice during boiling; the word does not encode a clinical effect.	C05	False	1	0
49	f107v.49	ZL3b|f107v.49|G008	qoy	THEREFORE	Connect the final loss comparison to the earlier evacuation policy/rationale; it is not a newly executed cooking step.	C05	False	0	0
