gdt754_patch_id	surface	page	locus	token_ordinal	token_index	reader_exact	current_authority	old_source_prose_de	old_spoken_de	patch_scope	gdt754_render_de	background_hypothesis_de	written_line_eva	literal_identity	confirmed_lexeme	component_export_credit
G754-P0017	qoaiin	f5r	f5r.5	3	3	1	qoaiin#GLOBAL	nimm drei Teile	nimm drei Teile	GDT754_WHOLE_DEFAULT	Arbeitshypothese: Index/Stufe III, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: Index/Stufe III, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	tchy shody qoaiin cholols sho qotcheo daiin shodaiin	OPEN	0	0
G754-P0018	okoiin	f6r	f6r.5	2	2	1	okoiin#GLOBAL	erhitzter Ansatz in Zubereitungsform III	erhitzter Ansatz in Zubereitungsform III	GDT754_WHOLE_DEFAULT	Arbeitshypothese: heiß/warm, Index/Stufe III, Stoff-/Materialrolle, Zubereitungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: heiß/warm, Index/Stufe III, Stoff-/Materialrolle, Zubereitungsrolle; genaue Ganzformbedeutung offen	tar okoiin shees ytaly cthaiin odam	OPEN	0	0
G754-P0019	ychor	f6v	f6v.8	1	1	1	ychor#GLOBAL	nimm hiervon den Pflanzenteil	nimm hiervon den Pflanzenteil	GDT754_WHOLE_DEFAULT	Arbeitshypothese: Teil-/Fraktionsfeld, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: Teil-/Fraktionsfeld, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	ychor chor okchey qokom	OPEN	0	0
G754-P0020	choldar	f6v	f6v.20	2	2	1	choldar#GLOBAL	die erste Fraktion getrockneten Drogenstoffs abmessen	die erste Fraktion getrockneten Drogenstoffs abmessen	GDT754_WHOLE_DEFAULT	Arbeitshypothese: trocken, Index/Stufe I, Mengen-/Maßfeld, Teil-/Fraktionsfeld, Stoff-/Materialrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: trocken, Index/Stufe I, Mengen-/Maßfeld, Teil-/Fraktionsfeld, Stoff-/Materialrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	dchor choldar okol daiin	OPEN	0	0
G754-P0021	ycheor	f6v	f6v.21	1	1	1	ycheor#GLOBAL	nimm hiervon eine bis zur Mittelstufe getrocknete Portion	nimm hiervon eine bis zur Mittelstufe getrocknete Portion	GDT754_WHOLE_DEFAULT	Arbeitshypothese: trocken, Mittelstufe, Teil-/Fraktionsfeld, Vorgangs-/Anweisungsrolle, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: trocken, Mittelstufe, Teil-/Fraktionsfeld, Vorgangs-/Anweisungsrolle, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	ycheor chor octham	OPEN	0	0
G754-P0022	qoos	f7r	f7r.1	5	5	1	qoos#GLOBAL	nimm eine Ansatzcharge	nimm eine Ansatzcharge	GDT754_WHOLE_DEFAULT	Arbeitshypothese: Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	fchodaiin shopchey qko shey qoos sheey charochy	OPEN	0	0
G754-P0023	cthd	f7v	f7v.2	9	9	1	cthd#GLOBAL	Krautdrogenposten abschließen	Krautdrogenposten abschließen	GDT754_WHOLE_DEFAULT	Arbeitshypothese: Stoff-/Materialrolle, Abschlussfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: Stoff-/Materialrolle, Abschlussfeld; genaue Ganzformbedeutung offen	chochy cthy daiin qoky chy daiin cthol cthy cthd	OPEN	0	0
G754-P0024	chky	f8r	f8r.5	8	8	1	chky#GLOBAL	getrocknete Droge leicht erhitzen	getrocknete Droge leicht erhitzen	GDT754_WHOLE_DEFAULT	Arbeitshypothese: heiß/warm, trocken, Anfangsstufe, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: heiß/warm, trocken, Anfangsstufe, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	okchey do r cheeey dy ky scho chky ooaiin chy taiin	OPEN	0	0
G754-P0025	chot	f8r	f8r.11	7	7	1	chot#GLOBAL	abgekühlter Trockenansatz	abgekühlter Trockenansatz	GDT754_WHOLE_DEFAULT	Arbeitshypothese: kalt/kühl, trocken, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: kalt/kühl, trocken, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	shol cheodaiin daiin do y tchody chot choty otariin	OPEN	0	0
G754-P0026	chean	f8r	f8r.17	6	6	1	chean#GLOBAL	leicht angetrocknete Droge	leicht angetrocknete Droge	GDT754_WHOLE_DEFAULT	Arbeitshypothese: trocken, Mittelstufe, Index/Stufe I, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: trocken, Mittelstufe, Index/Stufe I, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	chol dchy qokar chl aiin chean y char chaiin	OPEN	0	0
G754-P0027	cheain	f8r	f8r.19	2	2	1	cheain#GLOBAL	Droge bis zur Trockenstufe II	Droge bis zur Trockenstufe II	GDT754_WHOLE_DEFAULT	Arbeitshypothese: trocken, Mittelstufe, Index/Stufe II, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: trocken, Mittelstufe, Index/Stufe II, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	sair cheain cphol dar shol kaiin shol kaiin dai kam	OPEN	0	0
G754-P0028	chean	f8v	f8v.4	4	4	1	chean#GLOBAL	leicht angetrocknete Droge	leicht angetrocknete Droge	GDT754_WHOLE_DEFAULT	Arbeitshypothese: trocken, Mittelstufe, Index/Stufe I, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: trocken, Mittelstufe, Index/Stufe I, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	dshol shol dol chean cthar shealy daiin chary	OPEN	0	0
G754-P0029	chotain	f8v	f8v.7	6	6	1	chotain#GLOBAL	Trockenansatz auf Kühlstufe II	Trockenansatz auf Kühlstufe II	GDT754_WHOLE_DEFAULT	Arbeitshypothese: kalt/kühl, trocken, Index/Stufe II, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: kalt/kühl, trocken, Index/Stufe II, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	sho kchol dar shey cthar chotain ry	OPEN	0	0
G754-P0030	cheain	f8v	f8v.15	6	6	1	cheain#GLOBAL	Droge bis zur Trockenstufe II	Droge bis zur Trockenstufe II	GDT754_WHOLE_DEFAULT	Arbeitshypothese: trocken, Mittelstufe, Index/Stufe II, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: trocken, Mittelstufe, Index/Stufe II, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	or chol chan chy chor cheain char cheeky chor ry	OPEN	0	0
G754-P0031	okoiin	f9r	f9r.2	6	6	1	okoiin#GLOBAL	erhitzter Ansatz in Zubereitungsform III	erhitzter Ansatz in Zubereitungsform III	GDT754_WHOLE_DEFAULT	Arbeitshypothese: heiß/warm, Index/Stufe III, Stoff-/Materialrolle, Zubereitungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: heiß/warm, Index/Stufe III, Stoff-/Materialrolle, Zubereitungsrolle; genaue Ganzformbedeutung offen	oykeey chol ytaiin okchody toeoky okoiin dy or chaiin	OPEN	0	0
G754-P0032	qoaiin	f9v	f9v.2	2	2	1	qoaiin#GLOBAL	nimm drei Teile	nimm drei Teile	GDT754_WHOLE_DEFAULT	Arbeitshypothese: Index/Stufe III, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: Index/Stufe III, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	dchor qoaiin chkaiin cthor chol chor cphol dy oty qokaiin dy	OPEN	0	0
G754-P0033	ychor	f9v	f9v.11	1	1	1	ychor#GLOBAL	nimm hiervon den Pflanzenteil	nimm hiervon den Pflanzenteil	GDT754_WHOLE_DEFAULT	Arbeitshypothese: Teil-/Fraktionsfeld, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: Teil-/Fraktionsfeld, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	ychor chshoty oky kaiin	OPEN	0	0
G754-P0034	ycheor	f10r	f10r.6	1	1	1	ycheor#GLOBAL	nimm hiervon eine bis zur Mittelstufe getrocknete Portion	nimm hiervon eine bis zur Mittelstufe getrocknete Portion	GDT754_WHOLE_DEFAULT	Arbeitshypothese: trocken, Mittelstufe, Teil-/Fraktionsfeld, Vorgangs-/Anweisungsrolle, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: trocken, Mittelstufe, Teil-/Fraktionsfeld, Vorgangs-/Anweisungsrolle, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	OPEN	0	0
G754-P0035	ycheor	f11v	f11v.7	1	1	1	ycheor#GLOBAL	nimm hiervon eine bis zur Mittelstufe getrocknete Portion	nimm hiervon eine bis zur Mittelstufe getrocknete Portion	GDT754_WHOLE_DEFAULT	Arbeitshypothese: trocken, Mittelstufe, Teil-/Fraktionsfeld, Vorgangs-/Anweisungsrolle, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: trocken, Mittelstufe, Teil-/Fraktionsfeld, Vorgangs-/Anweisungsrolle, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	ycheor ksho dor cthey s chold	OPEN	0	0
G754-P0036	cthody	f13v	f13v.3	5	5	1	cthody#GLOBAL	fertiger Krautansatz	fertiger Krautansatz	GDT754_WHOLE_DEFAULT	Arbeitshypothese: Stoff-/Materialrolle, Zubereitungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: Stoff-/Materialrolle, Zubereitungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	qokchy qokod chy otchy cthody	OPEN	0	0
G754-P0037	ykol	f13v	f13v.8	5	5	1	ykol#GLOBAL	erhitze hiervon den Drogenstoff	erhitze hiervon den Drogenstoff	GDT754_WHOLE_DEFAULT	Arbeitshypothese: heiß/warm, Stoff-/Materialrolle, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: heiß/warm, Stoff-/Materialrolle, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	otchy daiin y dain ykol okchy o kald d y taiin	OPEN	0	0
G754-P0038	olchy	f14r	f14r.3	2	2	1	olchy#GLOBAL	Holzdroge im Ansatz leicht getrocknet	Holzdroge im Ansatz leicht getrocknet	GDT754_WHOLE_DEFAULT	Arbeitshypothese: trocken, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: trocken, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	ydaiin olchy kchor daiin olol	OPEN	0	0
G754-P0039	ydain	f14v	f14v.1	8	8	1	ydain#GLOBAL	davon zwei Maße	davon zwei Maße	GDT754_WHOLE_DEFAULT	Arbeitshypothese: Index/Stufe II, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: Index/Stufe II, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	pdychoiin yfodain otyshy dy ypchor daiin kol ydain	OPEN	0	0
G754-P0040	chky	f14v	f14v.5	4	4	1	chky#GLOBAL	getrocknete Droge leicht erhitzen	getrocknete Droge leicht erhitzen	GDT754_WHOLE_DEFAULT	Arbeitshypothese: heiß/warm, trocken, Anfangsstufe, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: heiß/warm, trocken, Anfangsstufe, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	okshy daiin okchor chky qotchy daiin cthor oty	OPEN	0	0
G754-P0041	octhol	f15v	f15v.9	2	2	0	octhol#GLOBAL	Krautdroge im Ansatz	Krautdroge im Ansatz	GDT754_WHOLE_DEFAULT	Arbeitshypothese: Stoff-/Materialrolle, Zubereitungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: Stoff-/Materialrolle, Zubereitungsrolle; genaue Ganzformbedeutung offen	otchol octhol chol chol chody kan	OPEN	0	0
G754-P0042	qopchey	f16r	f16r.1	2	2	1	qopchey#GLOBAL	nimm bis zur Mittelstufe getrocknetes Pulver	nimm bis zur Mittelstufe getrocknetes Pulver	GDT754_WHOLE_DEFAULT	Arbeitshypothese: trocken, Anfangsstufe, Mittelstufe, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: trocken, Anfangsstufe, Mittelstufe, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	pocheody qopchey sykaiin opchy dor ychy daiin dy chor orom	OPEN	0	0
G754-P0043	ydain	f16r	f16r.8	2	2	1	ydain#GLOBAL	davon zwei Maße	davon zwei Maße	GDT754_WHOLE_DEFAULT	Arbeitshypothese: Index/Stufe II, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: Index/Stufe II, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	shotchy ydain yky shody otol daiin	OPEN	0	0
G754-P0044	daram	f17r	f17r.1	2	2	1	daram#GLOBAL	ein Maß Fraktion I	ein Maß Fraktion I	GDT754_WHOLE_DEFAULT	Arbeitshypothese: Index/Stufe I, Mengen-/Maßfeld, Teil-/Fraktionsfeld, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: Index/Stufe I, Mengen-/Maßfeld, Teil-/Fraktionsfeld, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	fshody daram ydar chog opydy ypod chop otchy dody oldckhy	OPEN	0	0
G754-P0045	ydair	f17r	f17r.2	1	1	1	ydair#GLOBAL	davon zwei Teile der Fraktion	davon zwei Teile der Fraktion	GDT754_WHOLE_DEFAULT	Arbeitshypothese: Index/Stufe II, Teil-/Fraktionsfeld, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: Index/Stufe II, Teil-/Fraktionsfeld, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	ydair choky okshy qodar ckhody dor otchol qodcthy ods	OPEN	0	0
G754-P0046	choltaiin	f17v	f17v.9	4	4	1	choltaiin#GLOBAL	Trockengut auf Kühlstufe III	Trockengut auf Kühlstufe III	GDT754_WHOLE_DEFAULT	Arbeitshypothese: kalt/kühl, trocken, Index/Stufe III, Stoff-/Materialrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: kalt/kühl, trocken, Index/Stufe III, Stoff-/Materialrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	ycheol shol kchol choltaiin ol	OPEN	0	0
G754-P0047	okeol	f17v	f17v.14	5	5	1	okeol#GLOBAL	Grundansatz bis zur mittleren Heizstufe erwärmt	Grundansatz bis zur mittleren Heizstufe erwärmt	GDT754_WHOLE_DEFAULT	Wärme-/Mittelstufenfeld; genaue Funktion und Träger offen	Wärme-/Mittelstufenbezug; genaue Operation und Stoffrolle offen	olo r okeeol chodaiin okeol tchory	OPEN	0	0
G754-P0048	ychor	f17v	f17v.15	1	1	1	ychor#GLOBAL	nimm hiervon den Pflanzenteil	nimm hiervon den Pflanzenteil	GDT754_WHOLE_DEFAULT	Arbeitshypothese: Teil-/Fraktionsfeld, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: Teil-/Fraktionsfeld, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	ychor cthy cheeky cheo otor oteol	OPEN	0	0
G754-P0049	okeol	f17v	f17v.16	3	3	1	okeol#GLOBAL	Grundansatz bis zur mittleren Heizstufe erwärmt	Grundansatz bis zur mittleren Heizstufe erwärmt	GDT754_WHOLE_DEFAULT	Wärme-/Mittelstufenfeld; genaue Funktion und Träger offen	Wärme-/Mittelstufenbezug; genaue Operation und Stoffrolle offen	okcheol chol okeol cthol otcheolom	OPEN	0	0
G754-P0050	qopchaiin	f17v	f17v.17	5	5	1	qopchaiin#GLOBAL	nimm drei Teile des getrockneten Pulveransatzes	nimm drei Teile des getrockneten Pulveransatzes	GDT754_WHOLE_DEFAULT	Arbeitshypothese: trocken, Index/Stufe III, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: trocken, Index/Stufe III, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	qoain sar she dol qopchaiin cthor	OPEN	0	0
G754-P0051	qoaiin	f17v	f17v.19	3	3	1	qoaiin#GLOBAL	nimm drei Teile	nimm drei Teile	GDT754_WHOLE_DEFAULT	Arbeitshypothese: Index/Stufe III, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: Index/Stufe III, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	dain chey qoaiin cthor cholchom	OPEN	0	0
G754-P0052	ykol	f18v	f18v.10	4	4	1	ykol#GLOBAL	erhitze hiervon den Drogenstoff	erhitze hiervon den Drogenstoff	GDT754_WHOLE_DEFAULT	Arbeitshypothese: heiß/warm, Stoff-/Materialrolle, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: heiß/warm, Stoff-/Materialrolle, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	yko dshy dair ykol dom	OPEN	0	0
G754-P0053	ychor	f19v	f19v.9	1	1	1	ychor#GLOBAL	nimm hiervon den Pflanzenteil	nimm hiervon den Pflanzenteil	GDT754_WHOLE_DEFAULT	Arbeitshypothese: Teil-/Fraktionsfeld, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: Teil-/Fraktionsfeld, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	ychor oky chor ytol chol oky ddor	OPEN	0	0
