surface	reading_id	current_source_prose_de	source_composition	source_composition_axes	source_patient_or_carrier_components	current_source_prose_active_cells	current_source_prose_active_pages	current_reader_exact_cells	gdt737_quarantine_decision	later_evidence_sources	later_local_role_sources	later_recurring_role_sources	strongest_later_evidence_tier_0_4	later_role_axes_any	later_role_axes_selected	source_literal_prose_spoken_after_gdt754	renderer_disposition	renderer_confidence	current_working_whole_default_de	retained_background_hypothesis_de	literal_identity	confirmed_lexeme	component_export_credit
lky	lky#GLOBAL	Holzdroge, leicht erhitzt	L_WOOD+KY_HOT_START	HOT|BEGIN_STAGE|MATERIAL	L_WOOD	19	13	16	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	GDT738	GDT738	NONE	1	HOT	HOT	0	FORM_ANALOGY_ROLE_HYPOTHESIS_ONLY	R1_FORM_ANALOGY_ONLY	Arbeitshypothese: heiß/warm; genaue Ganzformbedeutung offen	Arbeitshypothese: heiß/warm, Anfangsstufe, Stoff-/Materialrolle; genaue Ganzformbedeutung offen	OPEN	0	0
ykedy	ykedy#GLOBAL	erhitze hiervon bis zur Mittelstufe und schließe ab	Y_REFERENCE+K_HOT+E_MIDDLE+DY_FINISHED	HOT|MIDDLE_STAGE|CLOSE|PASS	NONE	18	16	6	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	HOT|MIDDLE_STAGE|CLOSE|PASS	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: heiß/warm, Mittelstufe, Abschlussfeld, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: heiß/warm, Mittelstufe, Abschlussfeld, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	OPEN	0	0
orain	orain#GLOBAL	Drogenportion II	OR_PORTION+A+IN_II	LEVEL_II|PART	NONE	16	14	14	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	LEVEL_II|PART	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: Index/Stufe II, Teil-/Fraktionsfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: Index/Stufe II, Teil-/Fraktionsfeld; genaue Ganzformbedeutung offen	OPEN	0	0
chky	chky#GLOBAL	getrocknete Droge leicht erhitzen	CH_DRY+K_HOT+Y_START_OR_CLOSE	HOT|DRY|BEGIN_STAGE|PROCESS|CLOSE	NONE	15	14	15	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	HOT|DRY|BEGIN_STAGE|PROCESS|CLOSE	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: heiß/warm, trocken, Anfangsstufe, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: heiß/warm, trocken, Anfangsstufe, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	OPEN	0	0
qockhey	qockhey#GLOBAL	Arzneikompositum-Ansatz bis zur Mittelstufe aufbereiten	QO_COMMAND+O_PREP+CKH_COMPOSITE+E_MIDDLE+Y_START_OR_CLOSE	BEGIN_STAGE|MIDDLE_STAGE|MATERIAL|PREPARATION|PROCESS|CLOSE	O_PREP|CKH_COMPOSITE	14	13	12	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	BEGIN_STAGE|MIDDLE_STAGE|MATERIAL|PREPARATION|PROCESS|CLOSE	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: Anfangsstufe, Mittelstufe, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: Anfangsstufe, Mittelstufe, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	OPEN	0	0
ychor	ychor#GLOBAL	nimm hiervon den Pflanzenteil	Y_REFERENCE+CHOR_PLANT_PART	PART|PASS	NONE	14	14	13	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	PART|PASS	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: Teil-/Fraktionsfeld, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: Teil-/Fraktionsfeld, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	OPEN	0	0
cthody	cthody#GLOBAL	fertiger Krautansatz	CTH_HERB+O_PREP+DY_FINISHED	MATERIAL|PREPARATION|CLOSE	CTH_HERB|O_PREP	13	11	12	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	MATERIAL|PREPARATION|CLOSE	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: Stoff-/Materialrolle, Zubereitungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: Stoff-/Materialrolle, Zubereitungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	OPEN	0	0
ykol	ykol#GLOBAL	erhitze hiervon den Drogenstoff	Y_REFERENCE+K_HOT+OL_MATERIAL	HOT|MATERIAL|PASS	OL_MATERIAL	12	12	9	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	HOT|MATERIAL|PASS	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: heiß/warm, Stoff-/Materialrolle, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: heiß/warm, Stoff-/Materialrolle, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	OPEN	0	0
olar	olar#GLOBAL	erste Holzrohstofffraktion im Ansatz	O_PREP+L_WOOD+AR_FRACTION_I	LEVEL_I|PART|MATERIAL|PREPARATION	O_PREP|L_WOOD	11	9	7	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	LEVEL_I|PART|MATERIAL|PREPARATION	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: Index/Stufe I, Teil-/Fraktionsfeld, Stoff-/Materialrolle, Zubereitungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: Index/Stufe I, Teil-/Fraktionsfeld, Stoff-/Materialrolle, Zubereitungsrolle; genaue Ganzformbedeutung offen	OPEN	0	0
otaly	otaly#GLOBAL	Rohstoff-I-Ansatz leicht kühlen und abschließen	O_PREP+T_COLD+AL_RAW_I+Y_START_OR_CLOSE	COLD|BEGIN_STAGE|LEVEL_I|MATERIAL|PREPARATION|CLOSE	O_PREP|AL_RAW_I	11	10	11	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	COLD|BEGIN_STAGE|LEVEL_I|MATERIAL|PREPARATION|CLOSE	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: kalt/kühl, Anfangsstufe, Index/Stufe I, Stoff-/Materialrolle, Zubereitungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: kalt/kühl, Anfangsstufe, Index/Stufe I, Stoff-/Materialrolle, Zubereitungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	OPEN	0	0
qolchedy	qolchedy#GLOBAL	gib die bis zur Mittelstufe getrocknete Droge hinzu und schließe die Zugabe ab	QOL_ADD+CH_DRY+E_MIDDLE+DY_FINISHED	DRY|MIDDLE_STAGE|PROCESS|CLOSE	NONE	11	9	7	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	DRY|MIDDLE_STAGE|PROCESS|CLOSE	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: trocken, Mittelstufe, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: trocken, Mittelstufe, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	OPEN	0	0
chdam	chdam#GLOBAL	ein Maß Trockendroge abmessen	CH_DRY+D_MEASURE+AM_UNIT_I	DRY|LEVEL_I|AMOUNT|PROCESS	NONE	10	8	4	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	DRY|LEVEL_I|AMOUNT|PROCESS	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: trocken, Index/Stufe I, Mengen-/Maßfeld, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: trocken, Index/Stufe I, Mengen-/Maßfeld, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	OPEN	0	0
olchy	olchy#GLOBAL	Holzdroge im Ansatz leicht getrocknet	O_PREP+L_WOOD+CHY_DRY_BASE	DRY|MATERIAL|PREPARATION|PROCESS	O_PREP|L_WOOD|CHY_DRY_BASE	9	9	6	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	DRY|MATERIAL|PREPARATION|PROCESS	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: trocken, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: trocken, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	OPEN	0	0
qopchey	qopchey#GLOBAL	nimm bis zur Mittelstufe getrocknetes Pulver	QO_COMMAND+O_PREP+P_POWDER+CH_DRY+E_MIDDLE+Y_START_OR_CLOSE	DRY|BEGIN_STAGE|MIDDLE_STAGE|MATERIAL|PREPARATION|PROCESS|CLOSE	O_PREP|P_POWDER	9	9	9	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	DRY|BEGIN_STAGE|MIDDLE_STAGE|MATERIAL|PREPARATION|PROCESS|CLOSE	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: trocken, Anfangsstufe, Mittelstufe, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: trocken, Anfangsstufe, Mittelstufe, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	OPEN	0	0
arol	arol#GLOBAL	Grundauszug, Fraktion I	AR_FRACTION_I+OL_BASE	LEVEL_I|PART|MATERIAL|PREPARATION	OL_BASE	8	8	6	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	LEVEL_I|PART|MATERIAL|PREPARATION	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: Index/Stufe I, Teil-/Fraktionsfeld, Stoff-/Materialrolle, Zubereitungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: Index/Stufe I, Teil-/Fraktionsfeld, Stoff-/Materialrolle, Zubereitungsrolle; genaue Ganzformbedeutung offen	OPEN	0	0
dchdy	dchdy#GLOBAL	Trockendroge abmessen und fertigstellen	D_MEASURE+CH_DRY+DY_FINISHED	DRY|AMOUNT|PROCESS|CLOSE	NONE	8	8	3	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	DRY|AMOUNT|PROCESS|CLOSE	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: trocken, Mengen-/Maßfeld, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: trocken, Mengen-/Maßfeld, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	OPEN	0	0
qokody	qokody#GLOBAL	Ansatz erhitzen und fertigstellen	QO_COMMAND+K_HOT+O_PREP+DY_FINISHED	HOT|MATERIAL|PREPARATION|PROCESS|CLOSE	O_PREP	8	8	7	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	HOT|MATERIAL|PREPARATION|PROCESS|CLOSE	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: heiß/warm, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: heiß/warm, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	OPEN	0	0
alol	alol#GLOBAL	Drogenstoff aus Rohdroge I	AL_RAW_I+OL_MATERIAL	LEVEL_I|MATERIAL	AL_RAW_I|OL_MATERIAL	7	6	7	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	LEVEL_I|MATERIAL	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: Index/Stufe I, Stoff-/Materialrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: Index/Stufe I, Stoff-/Materialrolle; genaue Ganzformbedeutung offen	OPEN	0	0
chekar	chekar#GLOBAL	erste bis zur Mittelstufe getrocknete und erhitzte Fraktion	CH_DRY+E_MIDDLE+K_HOT+AR_FRACTION_I	HOT|DRY|MIDDLE_STAGE|LEVEL_I|PART|PROCESS	NONE	7	7	6	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	HOT|DRY|MIDDLE_STAGE|LEVEL_I|PART|PROCESS	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: heiß/warm, trocken, Mittelstufe, Index/Stufe I, Teil-/Fraktionsfeld, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: heiß/warm, trocken, Mittelstufe, Index/Stufe I, Teil-/Fraktionsfeld, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	OPEN	0	0
qoked	qoked#GLOBAL	bis zur Mittelstufe erhitzen und abschließen	QO_COMMAND+K_HOT+E_MIDDLE+D_TERM_CLOSE	HOT|MIDDLE_STAGE|PROCESS|CLOSE	NONE	7	6	5	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	HOT|MIDDLE_STAGE|PROCESS|CLOSE	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: heiß/warm, Mittelstufe, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: heiß/warm, Mittelstufe, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	OPEN	0	0
chokar	chokar#GLOBAL	erste heiß getrocknete Ansatzfraktion	CH_DRY+O_PREP+K_HOT+AR_FRACTION_I	HOT|DRY|LEVEL_I|PART|MATERIAL|PREPARATION|PROCESS	O_PREP	6	6	6	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	HOT|DRY|LEVEL_I|PART|MATERIAL|PREPARATION|PROCESS	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: heiß/warm, trocken, Index/Stufe I, Teil-/Fraktionsfeld, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: heiß/warm, trocken, Index/Stufe I, Teil-/Fraktionsfeld, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	OPEN	0	0
daram	daram#GLOBAL	ein Maß Fraktion I	D_MEASURE+AR_FRACTION_I+AM_UNIT_I	LEVEL_I|AMOUNT|PART|PROCESS	NONE	6	6	3	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	LEVEL_I|AMOUNT|PART|PROCESS	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: Index/Stufe I, Mengen-/Maßfeld, Teil-/Fraktionsfeld, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: Index/Stufe I, Mengen-/Maßfeld, Teil-/Fraktionsfeld, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	OPEN	0	0
okoiin	okoiin#GLOBAL	erhitzter Ansatz in Zubereitungsform III	O_PREP+K_HOT+O_PREP+IIN_FORM_III	HOT|LEVEL_III|MATERIAL|PREPARATION	O_PREP|O_PREP	6	5	4	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	HOT|LEVEL_III|MATERIAL|PREPARATION	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: heiß/warm, Index/Stufe III, Stoff-/Materialrolle, Zubereitungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: heiß/warm, Index/Stufe III, Stoff-/Materialrolle, Zubereitungsrolle; genaue Ganzformbedeutung offen	OPEN	0	0
ycheor	ycheor#GLOBAL	nimm hiervon eine bis zur Mittelstufe getrocknete Portion	Y_REFERENCE+CH_DRY+E_MIDDLE+OR_PORTION	DRY|MIDDLE_STAGE|PART|PROCESS|PASS	NONE	6	5	6	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	DRY|MIDDLE_STAGE|PART|PROCESS|PASS	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: trocken, Mittelstufe, Teil-/Fraktionsfeld, Vorgangs-/Anweisungsrolle, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	Arbeitshypothese: trocken, Mittelstufe, Teil-/Fraktionsfeld, Vorgangs-/Anweisungsrolle, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	OPEN	0	0
chokor	chokor#GLOBAL	eine Portion erhitzten Trockenansatzes	CH_DRY+O_PREP+K_HOT+OR_PORTION	HOT|DRY|PART|MATERIAL|PREPARATION|PROCESS	O_PREP	5	4	5	NO_GDT737_QUARANTINE_ROW	NONE	NONE	NONE	0	NONE	HOT|DRY|PART|MATERIAL|PREPARATION|PROCESS	0	COMPOSITION_AXES_HYPOTHESIS_ONLY	H0_SOURCE_COMPOSITION_BACKGROUND_ONLY	Arbeitshypothese: heiß/warm, trocken, Teil-/Fraktionsfeld, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Arbeitshypothese: heiß/warm, trocken, Teil-/Fraktionsfeld, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	OPEN	0	0
