bridge_rank	surface	current_source_prose_active_cells	current_source_prose_active_pages	strongest_later_evidence_tier_0_4	selected_role_axes	current_working_whole_default_de	old_source_prose_de	renderer_disposition	historical_register_family	next_historical_comparison_de	comparison_unit	eva_initial_or_substring_value_allowed	literal_identity	confirmed_lexeme	component_export_credit
11	lky	19	13	1	HOT	Arbeitshypothese: heiß/warm; genaue Ganzformbedeutung offen	Holzdroge, leicht erhitzt	FORM_ANALOGY_ROLE_HYPOTHESIS_ONLY	QUALITY_STATE_OR_DEGREE_REGISTER	historische Qualitäts-, Zustands- und Gradfelder als Ganzformmuster vergleichen	EXACT_COMPLETE_SURFACE_ONLY	0	OPEN	0	0
12	ykedy	18	16	0	HOT|MIDDLE_STAGE|CLOSE|PASS	Arbeitshypothese: heiß/warm, Mittelstufe, Abschlussfeld, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	erhitze hiervon bis zur Mittelstufe und schließe ab	COMPOSITION_AXES_HYPOTHESIS_ONLY	QUALITY_STATE_OR_DEGREE_REGISTER	historische Qualitäts-, Zustands- und Gradfelder als Ganzformmuster vergleichen	EXACT_COMPLETE_SURFACE_ONLY	0	OPEN	0	0
13	orain	16	14	0	LEVEL_II|PART	Arbeitshypothese: Index/Stufe II, Teil-/Fraktionsfeld; genaue Ganzformbedeutung offen	Drogenportion II	COMPOSITION_AXES_HYPOTHESIS_ONLY	MEASURE_FRACTION_OR_DEGREE_REGISTER	historische Maß-, Fraktions- und Gradkürzel gegen die Ganzformrolle vergleichen	EXACT_COMPLETE_SURFACE_ONLY	0	OPEN	0	0
14	chky	15	14	0	HOT|DRY|BEGIN_STAGE|PROCESS|CLOSE	Arbeitshypothese: heiß/warm, trocken, Anfangsstufe, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	getrocknete Droge leicht erhitzen	COMPOSITION_AXES_HYPOTHESIS_ONLY	RECIPE_ACTION_OR_COMMAND_REGISTER	historische Rezeptverben und gebundene Anweisungskürzel als Ganzformen vergleichen	EXACT_COMPLETE_SURFACE_ONLY	0	OPEN	0	0
15	qockhey	14	13	0	BEGIN_STAGE|MIDDLE_STAGE|MATERIAL|PREPARATION|PROCESS|CLOSE	Arbeitshypothese: Anfangsstufe, Mittelstufe, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	Arzneikompositum-Ansatz bis zur Mittelstufe aufbereiten	COMPOSITION_AXES_HYPOTHESIS_ONLY	RECIPE_ACTION_OR_COMMAND_REGISTER	historische Rezeptverben und gebundene Anweisungskürzel als Ganzformen vergleichen	EXACT_COMPLETE_SURFACE_ONLY	0	OPEN	0	0
16	ychor	14	14	0	PART|PASS	Arbeitshypothese: Teil-/Fraktionsfeld, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	nimm hiervon den Pflanzenteil	COMPOSITION_AXES_HYPOTHESIS_ONLY	MEASURE_FRACTION_OR_DEGREE_REGISTER	historische Maß-, Fraktions- und Gradkürzel gegen die Ganzformrolle vergleichen	EXACT_COMPLETE_SURFACE_ONLY	0	OPEN	0	0
17	cthody	13	11	0	MATERIAL|PREPARATION|CLOSE	Arbeitshypothese: Stoff-/Materialrolle, Zubereitungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	fertiger Krautansatz	COMPOSITION_AXES_HYPOTHESIS_ONLY	LEARNED_DRUG_OR_PREPARATION_HEADWORD_REGISTER	historische Drogen- und Zubereitungslemmata ohne EVA-Initialdeutung vergleichen	EXACT_COMPLETE_SURFACE_ONLY	0	OPEN	0	0
18	ykol	12	12	0	HOT|MATERIAL|PASS	Arbeitshypothese: heiß/warm, Stoff-/Materialrolle, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	erhitze hiervon den Drogenstoff	COMPOSITION_AXES_HYPOTHESIS_ONLY	LEARNED_DRUG_OR_PREPARATION_HEADWORD_REGISTER	historische Drogen- und Zubereitungslemmata ohne EVA-Initialdeutung vergleichen	EXACT_COMPLETE_SURFACE_ONLY	0	OPEN	0	0
19	olar	11	9	0	LEVEL_I|PART|MATERIAL|PREPARATION	Arbeitshypothese: Index/Stufe I, Teil-/Fraktionsfeld, Stoff-/Materialrolle, Zubereitungsrolle; genaue Ganzformbedeutung offen	erste Holzrohstofffraktion im Ansatz	COMPOSITION_AXES_HYPOTHESIS_ONLY	MEASURE_FRACTION_OR_DEGREE_REGISTER	historische Maß-, Fraktions- und Gradkürzel gegen die Ganzformrolle vergleichen	EXACT_COMPLETE_SURFACE_ONLY	0	OPEN	0	0
20	otaly	11	10	0	COLD|BEGIN_STAGE|LEVEL_I|MATERIAL|PREPARATION|CLOSE	Arbeitshypothese: kalt/kühl, Anfangsstufe, Index/Stufe I, Stoff-/Materialrolle, Zubereitungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	Rohstoff-I-Ansatz leicht kühlen und abschließen	COMPOSITION_AXES_HYPOTHESIS_ONLY	MEASURE_FRACTION_OR_DEGREE_REGISTER	historische Maß-, Fraktions- und Gradkürzel gegen die Ganzformrolle vergleichen	EXACT_COMPLETE_SURFACE_ONLY	0	OPEN	0	0
21	qolchedy	11	9	0	DRY|MIDDLE_STAGE|PROCESS|CLOSE	Arbeitshypothese: trocken, Mittelstufe, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	gib die bis zur Mittelstufe getrocknete Droge hinzu und schließe die Zugabe ab	COMPOSITION_AXES_HYPOTHESIS_ONLY	RECIPE_ACTION_OR_COMMAND_REGISTER	historische Rezeptverben und gebundene Anweisungskürzel als Ganzformen vergleichen	EXACT_COMPLETE_SURFACE_ONLY	0	OPEN	0	0
22	chdam	10	8	0	DRY|LEVEL_I|AMOUNT|PROCESS	Arbeitshypothese: trocken, Index/Stufe I, Mengen-/Maßfeld, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	ein Maß Trockendroge abmessen	COMPOSITION_AXES_HYPOTHESIS_ONLY	MEASURE_FRACTION_OR_DEGREE_REGISTER	historische Maß-, Fraktions- und Gradkürzel gegen die Ganzformrolle vergleichen	EXACT_COMPLETE_SURFACE_ONLY	0	OPEN	0	0
23	olchy	9	9	0	DRY|MATERIAL|PREPARATION|PROCESS	Arbeitshypothese: trocken, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	Holzdroge im Ansatz leicht getrocknet	COMPOSITION_AXES_HYPOTHESIS_ONLY	RECIPE_ACTION_OR_COMMAND_REGISTER	historische Rezeptverben und gebundene Anweisungskürzel als Ganzformen vergleichen	EXACT_COMPLETE_SURFACE_ONLY	0	OPEN	0	0
24	qopchey	9	9	0	DRY|BEGIN_STAGE|MIDDLE_STAGE|MATERIAL|PREPARATION|PROCESS|CLOSE	Arbeitshypothese: trocken, Anfangsstufe, Mittelstufe, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	nimm bis zur Mittelstufe getrocknetes Pulver	COMPOSITION_AXES_HYPOTHESIS_ONLY	RECIPE_ACTION_OR_COMMAND_REGISTER	historische Rezeptverben und gebundene Anweisungskürzel als Ganzformen vergleichen	EXACT_COMPLETE_SURFACE_ONLY	0	OPEN	0	0
