head	root_before_a	role	working_role_de	occurrences	pages	values	distinct_values	count_I	count_II	count_III	count_IV	triple_stable_occurrences	herbal_occurrences	fixed_multi_value_frames	mixed_value_lines	line_first	line_middle	line_last	section_value_nmi	hand_value_nmi	position_value_nmi	default_policy
sheka	shek	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	7	7	II|III|IV	3	0	3	3	1	6	1	0	0	0	7	0	0.802795	0.408384	0.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
kcha	kch	QUALITY_BUNDLE_DEGREE	heiß-trocken, Grad I-IV	6	6	I|II|III	3	1	1	4	0	4	6	0	0	1	4	1	0.000000	0.000000	0.201041	COMPOSE
chara	char	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	4	4	I|II|III	3	1	2	1	0	3	0	0	0	0	1	3	0.000000	0.000000	0.207519	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
okcha	okch	QUALITY_BUNDLE_DEGREE	heiß-trocken, Grad I-IV	4	4	I|II|III	3	1	1	2	0	4	3	0	0	1	2	1	0.207519	0.666667	1.000000	COMPOSE
oteeda	oteed	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	4	4	I|II|III	3	1	1	2	0	1	1	0	0	0	3	1	0.540852	0.000000	0.540852	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
teeoda	teeod	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	3	3	I|II|III	3	1	1	1	0	3	1	0	0	0	2	1	0.579380	0.579380	0.579380	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
ykeeda	ykeed	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	3	2	I|II|III	3	1	1	1	0	1	0	0	0	2	1	0	0.000000	0.000000	0.579380	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
olka	olk	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	61	32	II|III	2	0	33	28	0	55	8	0	1	2	53	6	0.259478	0.066657	0.005219	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
yta	yt	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	51	29	II|III	2	0	12	39	0	51	15	0	0	6	38	7	0.085162	0.066890	0.012594	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
choda	chod	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	49	36	II|III	2	0	7	42	0	44	27	0	0	4	37	8	0.069772	0.058488	0.105951	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
oa	o	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	33	25	II|III	2	0	11	22	0	27	16	0	0	16	16	1	0.073010	0.084620	0.049635	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
chka	chk	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	28	23	II|III	2	0	12	16	0	25	11	0	0	1	23	4	0.076050	0.173406	0.049758	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
qoa	qo	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	26	21	II|III	2	0	5	21	0	24	10	0	1	7	19	0	0.055127	0.036466	0.019907	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
shoda	shod	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	25	20	II|III	2	0	4	21	0	18	15	0	0	6	15	4	0.293687	0.031889	0.071176	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
chda	chd	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	24	17	II|III	2	0	8	16	0	17	10	0	1	0	24	0	0.099734	0.155572	0.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
yda	yd	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	18	18	II|III	2	0	4	14	0	18	13	0	0	8	6	4	0.263464	0.232669	0.327906	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
chota	chot	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	12	11	II|III	2	0	4	8	0	11	7	0	0	0	7	5	0.329662	0.329662	0.374149	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
shea	she	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	12	11	II|III	2	0	3	9	0	9	8	0	0	2	8	2	0.666667	0.666667	0.215695	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
opa	op	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	11	9	II|III	2	0	1	10	0	7	0	0	0	0	10	1	0.143296	0.143296	0.029892	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
sora	sor	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	10	9	II|III	2	0	2	8	0	8	3	0	0	6	1	3	0.618399	0.273458	0.078160	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
osa	os	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	9	9	II|III	2	0	4	5	0	6	3	0	0	2	7	0	0.327330	0.455726	0.322639	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
olda	old	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	8	8	II|III	2	0	1	7	0	6	4	0	0	0	5	3	0.253742	0.103111	0.366476	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
toda	tod	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	8	8	II|III	2	0	1	7	0	6	7	0	0	6	2	0	0.047558	0.253742	0.103111	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
cheeda	cheed	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	7	6	II|III	2	0	2	5	0	6	0	0	0	0	6	1	0.088064	0.088064	0.088064	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
pchoda	pchod	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	7	6	II|III	2	0	3	4	0	6	2	0	0	5	1	1	0.529462	0.529462	0.296065	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
qokeda	qoked	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	7	7	II|III	2	0	4	3	0	4	0	0	0	0	7	0	0.000000	0.000000	0.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
qola	qol	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	7	5	II|III	2	0	3	4	0	6	1	0	0	0	7	0	0.600544	0.296065	0.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
qolka	qolk	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	7	7	II|III	2	0	5	2	0	7	1	0	0	1	6	0	1.000000	1.000000	0.088064	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
shka	shk	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	7	7	II|III	2	0	2	5	0	6	2	0	0	0	6	1	0.462894	0.462894	0.088064	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
teda	ted	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	7	7	II|III	2	0	4	3	0	4	3	0	0	3	4	0	0.020548	0.296065	0.020548	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
ala	al	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	6	6	II|III	2	0	3	3	0	3	1	0	0	0	6	0	0.333333	0.000000	0.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
cheoka	cheok	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	6	6	II|III	2	0	3	3	0	5	0	0	0	0	6	0	0.333333	0.000000	0.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
cholka	cholk	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	6	6	II|III	2	0	1	5	0	5	1	0	0	0	4	2	1.000000	0.293643	0.487197	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
chta	cht	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	6	6	II|III	2	0	4	2	0	5	2	0	0	0	5	1	0.048035	0.411026	0.118884	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
okeda	oked	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	6	5	II|III	2	0	3	3	0	4	0	0	0	0	6	0	0.000000	0.000000	0.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
pcheda	pched	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	6	6	II|III	2	0	2	4	0	4	2	0	0	5	1	0	0.137009	0.048035	0.344866	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
solka	solk	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	6	6	II|III	2	0	2	4	0	5	2	0	0	4	2	0	0.274018	0.137009	0.274018	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
chora	chor	PLANT_PART_VALUE	Pflanzenteil, Menge/Dosis/Grad/Klasse I-IV	5	5	II|III	2	0	2	3	0	4	4	0	0	0	4	1	0.176065	0.176065	0.331560	COMPOSE
oteoda	oteod	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	5	4	II|III	2	0	1	4	0	2	2	0	0	0	5	0	0.236797	0.236797	0.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
qoeeda	qoeed	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	5	4	II|III	2	0	1	4	0	3	1	0	0	1	4	0	0.100987	0.100987	0.100987	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
qora	qor	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	5	5	II|III	2	0	4	1	0	3	1	0	0	1	4	0	1.000000	0.445928	1.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
rara	rar	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	5	5	III|IV	2	0	0	4	1	3	0	0	0	1	3	1	1.000000	1.000000	1.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
shoka	shok	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	5	5	II|III	2	0	1	4	0	2	2	0	0	1	3	1	0.445928	0.445928	0.236797	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
chckha	chckh	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	4	4	I|III	2	1	0	3	0	4	2	0	0	0	3	1	0.383689	1.000000	1.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
cheeka	cheek	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	4	4	II|III	2	0	3	1	0	4	1	0	0	0	4	0	1.000000	1.000000	0.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
ckha	ckh	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	4	4	II|III	2	0	1	3	0	4	3	0	0	0	3	1	1.000000	1.000000	0.151066	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
dcha	dch	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	4	4	II|III	2	0	1	3	0	3	4	0	0	2	2	0	0.000000	0.000000	0.383689	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
dyka	dyk	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	4	4	II|III	2	0	1	3	0	4	2	0	0	0	4	0	0.383689	0.383689	0.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
otea	ote	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	4	3	II|III	2	0	2	2	0	3	0	0	0	0	3	1	0.000000	0.000000	0.311278	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
qokeeda	qokeed	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	4	2	II|III	2	0	2	2	0	3	0	0	0	1	3	0	0.000000	0.311278	0.311278	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
sara	sar	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	4	4	II|III	2	0	1	3	0	2	1	0	0	2	0	2	0.151066	0.151066	0.383689	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
ska	sk	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	4	4	II|III	2	0	1	3	0	4	0	0	0	1	3	0	1.000000	1.000000	0.151066	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
soa	so	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	4	4	II|III	2	0	1	3	0	3	1	0	0	3	0	1	0.151066	0.151066	0.151066	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
soda	sod	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	4	4	III|IV	2	0	0	3	1	3	3	0	0	3	1	0	1.000000	0.383689	1.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
tchoda	tchod	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	4	4	II|III	2	0	1	3	0	3	3	0	0	3	1	0	0.151066	1.000000	0.151066	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
aka	ak	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	3	3	II|III	2	0	1	2	0	1	1	0	0	0	3	0	1.000000	0.274018	0.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
dala	dal	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	3	3	II|III	2	0	1	2	0	2	1	0	0	0	2	1	1.000000	1.000000	1.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
lchda	lchd	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	3	3	II|III	2	0	1	2	0	1	0	0	0	0	3	0	0.000000	0.000000	0.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
lta	lt	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	3	3	II|III	2	0	2	1	0	3	0	0	0	0	2	1	0.274018	0.274018	0.274018	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
okeeda	okeed	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	3	3	II|III	2	0	2	1	0	3	0	0	0	0	2	1	0.000000	0.274018	0.274018	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
olsa	ols	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	3	3	II|III	2	0	1	2	0	3	2	0	0	1	1	1	0.274018	1.000000	1.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
olta	olt	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	3	2	II|III	2	0	2	1	0	3	0	0	0	0	3	0	0.000000	0.000000	0.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
oqoka	oqok	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	3	3	II|III	2	0	2	1	0	1	0	0	0	2	1	0	1.000000	1.000000	0.274018	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
otala	otal	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	3	3	II|III	2	0	1	2	0	2	2	0	0	0	3	0	0.274018	0.000000	0.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
otara	otar	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	3	2	II|III	2	0	2	1	0	0	0	0	0	0	2	1	0.274018	0.274018	0.274018	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
oteda	oted	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	3	3	II|III	2	0	2	1	0	1	0	0	0	0	3	0	0.000000	0.000000	0.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
pora	por	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	3	2	II|III	2	0	1	2	0	2	0	0	0	3	0	0	0.000000	0.000000	0.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
qka	qk	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	3	3	II|III	2	0	2	1	0	2	1	0	0	1	2	0	1.000000	1.000000	0.274018	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
qokcha	qokch	QUALITY_BUNDLE_DEGREE	heiß-trocken, Grad I-IV	3	3	II|III	2	0	1	2	0	2	3	0	0	1	2	0	0.000000	0.000000	0.274018	COMPOSE
qokea	qoke	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	3	3	II|III	2	0	2	1	0	3	1	0	0	1	2	0	1.000000	1.000000	1.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
qosa	qos	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	3	3	II|III	2	0	1	2	0	3	1	0	0	0	2	1	0.274018	0.274018	1.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
qotoda	qotod	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	3	3	II|III	2	0	1	2	0	2	2	0	0	1	2	0	0.274018	0.274018	0.274018	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
sheoka	sheok	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	3	3	II|III	2	0	1	2	0	3	0	0	0	0	3	0	0.274018	0.274018	0.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
shoa	sho	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	3	2	II|III	2	0	1	2	0	2	1	0	0	0	3	0	0.274018	0.274018	0.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
tda	td	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	3	3	II|III	2	0	2	1	0	1	1	0	0	2	1	0	1.000000	0.274018	1.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
ycheda	yched	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	3	2	II|III	2	0	1	2	0	2	0	0	0	3	0	0	0.000000	0.000000	0.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
chctha	chcth	PLANT_PART_VALUE	Pflanzenteil, Menge/Dosis/Grad/Klasse I-IV	2	2	II|III	2	0	1	1	0	2	1	0	0	0	0	2	1.000000	1.000000	0.000000	COMPOSE
chefa	chef	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	2	1	II|III	2	0	1	1	0	2	2	0	0	0	1	1	0.000000	0.000000	1.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
cheolka	cheolk	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	2	2	II|III	2	0	1	1	0	1	0	0	0	0	2	0	0.000000	0.000000	0.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
cheota	cheot	OPEN_VALUE_HEAD	Kopfbedeutung offen; Wertslot I-IV als Default	2	2	II|III	2	0	1	1	0	2	0	0	0	0	2	0	0.000000	0.000000	0.000000	KEEP_HEAD_OPEN__COMPOSE_VALUE_ONLY
