pair_id	page	locus	thermal_surface	thermal_axis_de	thermal_roman	moisture_surface	moisture_axis_de	moisture_roman	token_distance	order	same_degree	both_triple_token_stable	working_pair_de	surface_line
G627-P024	f32v	f32v.8	qotaiin	kalt im qo-Qualitätsrahmen	III	shan	feucht	I	3	THERMAL_THEN_MOISTURE	0	0	kalt im qo-Qualitätsrahmen Grad III; feucht Grad I	otchol daiin daiin ctho daiin qotaiin otchy d shan
G627-P025	f35r	f35r.12	taiin	kalt	III	chaiin	trocken	III	2	MOISTURE_THEN_THERMAL	1	1	kalt Grad III; trocken Grad III	olor chy chaiin chy taiin kchey koldy chetchaiin
G627-P026	f42v	f42v.12	taiin	kalt	III	chaiin	trocken	III	3	MOISTURE_THEN_THERMAL	1	1	kalt Grad III; trocken Grad III	chotcheey chol ol chaiin oteeaiin chkchy taiin y
G627-P027	f4r	f4r.3	qotaiin	kalt im qo-Qualitätsrahmen	III	chaiin	trocken	III	1	MOISTURE_THEN_THERMAL	1	1	kalt im qo-Qualitätsrahmen Grad III; trocken Grad III	otchol chol chy chaiin qotaiin daiin shain
G627-P028	f4r	f4r.3	qotaiin	kalt im qo-Qualitätsrahmen	III	shain	feucht	II	2	THERMAL_THEN_MOISTURE	0	1	kalt im qo-Qualitätsrahmen Grad III; feucht Grad II	otchol chol chy chaiin qotaiin daiin shain
G627-P029	f55v	f55v.5	qokaiin	heiß im qo-Qualitätsrahmen	III	chaiin	trocken	III	1	THERMAL_THEN_MOISTURE	1	1	heiß im qo-Qualitätsrahmen Grad III; trocken Grad III	qokaiin chaiin ykain ykan ody daiin chedy talam
G627-P030	f5r	f5r.4	otain	kalt im o-Rahmen	II	chan	trocken	I	2	THERMAL_THEN_MOISTURE	0	1	kalt im o-Rahmen Grad II; trocken Grad I	otain sheody chan s cheor chocthy
G627-P031	f80v	f80v.28	qokain	heiß im qo-Qualitätsrahmen	II	chain	trocken	II	1	MOISTURE_THEN_THERMAL	1	1	heiß im qo-Qualitätsrahmen Grad II; trocken Grad II	olcheol qokain or al chain qokain ol kaiin okeedy qokey ly
G627-P032	f80v	f80v.28	kaiin	heiß	III	chain	trocken	II	3	MOISTURE_THEN_THERMAL	0	1	heiß Grad III; trocken Grad II	olcheol qokain or al chain qokain ol kaiin okeedy qokey ly
G627-P033	f80v	f80v.28	qokain	heiß im qo-Qualitätsrahmen	II	chain	trocken	II	3	THERMAL_THEN_MOISTURE	1	1	heiß im qo-Qualitätsrahmen Grad II; trocken Grad II	olcheol qokain or al chain qokain ol kaiin okeedy qokey ly
