frame_id	head	root_before_a	left_surface	right_surface	values	distinct_values	occurrences	all_value_tokens_triple_stable	surfaces_by_value	loci_by_value	sections	example_lines
G627-F025	da	d	<START>	chol	II|III	2	3	0	II:dain;III:daiin	II:f111r.37;III:f16v.8,f54v.16	H|S	dain chol l cheeol keeol lkeeedy qokeey l keedy l kedy okeal kain chckhy ltedy / daiin chol y daiin chcthy qot char chor sholo / daiin chol oldaiin
G627-F026	da	d	<START>	or	II|III	2	3	0	II:dain;III:daiin	II:f102v2.22;III:f55r.4,f86v5.5	H|P|T	dain or aiin cheol s oiir chol sheey qockhy ol keo r okeody okeor cho / daiin or orol char ar kaiin okchd ykar odaiin chdolaiin / daiin or otol otshey otal olkey chcthody ytar dal ar okary
G627-F027	da	d	<START>	sheckhy	II|III	2	2	1	II:dain;III:daiin	II:f108r.45;III:f103r.23	S	dain sheckhy okeey keey lchedy okeey qokedy chedy dalkedy qokedy dal / daiin sheckhy lchedy chckhy shol
G627-F028	da	d	<START>	shedy	II|III	2	3	1	II:dain;III:daiin	II:f111r.6;III:f26r.8,f79r.33	B|H|S	dain shedy qoky chedy qok shed olchedy qokeedy teedy chdy keedy qotchedy dary / daiin shedy qokeedy qoteedar s ok ol ytedy qokeedy qokedy / daiin shedy qotshedy oteeedy oteedy chey qokain ol
G627-F029	da	d	<START>	sheey	II|III	2	2	1	II:dain;III:daiin	II:f112v.10;III:f103v.34	S	dain sheey okchedy oror / daiin sheey ol chey qok shey qokaiin checkhy otedy lshey lchdy
G627-F030	da	d	<START>	shey	II|III	2	7	0	II:dain;III:daiin	II:f103v.6,f75r.2;III:f103v.2,f103v.41,f103v.7,f108v.22,f66r.80	B|S|T	dain shey qokeedy cheol qoeeor lshor qoky shedy qokaiin chedy qokam / dain shey ly ssheol qoldy chedykar chekeedy ror / daiin shey qokal shedy qokeedy qoteor shey qoty chckhy qotain chalr / daiin shey l shey lshey qoar shas al otar shedy y lchdy rar
G627-F031	da	d	chor	<END>	II|III	2	2	1	II:dain;III:daiin	II:f42v.1;III:f2v.2	H	cho sheey qocho taiin shols chol chor dain / kcho kchy sho shol qotcho loeees qoty chor daiin
G627-F032	da	d	cthaiin	<END>	II|III	2	2	0	II:dain;III:daiin	II:f8v.8;III:f32v.9	H	okcholksh chol chol chol cthaiin dain / qotchy cfhy skey chocthy daiin cthaiin daiin
G627-F033	da	d	daiin	<END>	II|III	2	4	0	II:dain;III:daiin	II:f14r.1,f37v.15;III:f19v.4,f25v.5	H	pcho daiin chopol shoiin daiin dain / soiiin cheoky daiin dain / ytch chcthy qotol daiin daiin / dar chokeey dshor dshey qochol dol cho daiin daiin
G627-F034	da	d	dain	<END>	II|III	2	2	0	II:dain;III:daiin	II:f38v.6;III:f37r.11	H	sho keeey key tey daiin daiiin dain dain / okchor daiin ckhy dain daiin
G627-F035	da	d	dcho	<END>	II|III	2	2	0	II:dain;III:daiin	II:f8r.8;III:f32v.4	H	dcho dain / or chr chor dor chaiin qotcho r chy dcho daiin
G627-F036	da	d	dchol	<END>	I|III	2	2	1	I:dan;III:daiin	I:f32r.19;III:f37r.6	H	dol dchol dan / shor shol qokchy qotomody dchol daiin
G627-F037	da	d	dol	<END>	II|III	2	3	0	II:dain;III:daiin	II:f23r.5;III:f45r.5,f7v.9	H	ychor qokchol ytym chol dair chol ar ol ol dol dain / kol sho pchor kchey ty opchaldy otshy qokchy dol daiin / sho keeo daiir chokchy dor deol dy dol daiin
G627-F038	da	d	okchey	<END>	II|III	2	2	1	II:dain;III:daiin	II:f79r.37;III:f13r.8	B|H	lcheol ol ol sheey olsheey sholkeey okchey dain / shochy qokchy torchy k s okchey daiin
G627-F039	da	d	qokol	<END>	II|III	2	2	0	II:dain;III:daiin	II:f102r1.5;III:f104v.11	P|S	ytol sheol she olaiin orain oraroekeol chol ekey qokol dain / ycheedy qoy ykchedor cheeky qokchd qotol qokol qokol daiin
G627-F040	da	d	shol	<END>	II|III	2	5	0	II:dain;III:daiin	II:f42r.10;III:f15v.8,f20v.4,f22v.14,f56v.13	H	choty dol ksheo cthor otol cthol chol shol dain / ytchor chor ol oiin oty shol daiin / sho or aiin shol daiin / qotchy olshly shol daiin
G627-F041	da	d	y	<END>	II|III	2	4	0	II:dain;III:daiin	II:f116r.19;III:f113v.37,f66r.62,f89r1.10	P|S|T	porchey sheedy qotain chetar qotar ar arody chcthy rain otey ot y dain / qol aiin olaiin oteeey lchedy qokair y daiin / ol cheeky daiir chky axor akar y daiin / tdain s chol cheoky cheody qokar dal chor y daiin
