semantic_card_id	future_card_id	priority_rank	source_realization_cell_id	frozen_frame	action_root	action_recipe	register	portable_component_trace_de	owner_local_slot_trace_de	previous_working_phrase_de	context_safe_default_phrase_de	default_change_type	state_requirement	state_warning_retained	substitution_class	action_substitution_reading	observed_head_cell_count	observed_nontr_head_cell_count	observed_opposite_tr_cell_count	observed_action_roots	observed_family_event_count	source_event_ids	source_pages	expected_portable_remainder_de	observed_portable_remainder_variants_de	portable_remainder_mismatch_count	expected_owner_remainder_de	observed_owner_remainder_variants_de	owner_remainder_mismatch_count	explicit_argument_roots_in_family	inherited_argument_roots_in_family	all_component_orders_match	all_source_roundtrips_exact	working_meaning_retained	surface_prediction_made	occurrence_prediction_made	guard
G496-S011	G495-F011	11	G493-C037	@ACTION+AL	R	R+AL	HERBAL	MARKIEREN · ZIELORT	R=TEIL MARKIEREN · AL=ZIELSTELLE	Markiere den Pflanzenposten [wie zuvor]; zur Zielstelle.	Markiere das zuvor Genannte; zur Zielstelle.	CONTEXT_NOUN_GENERALIZED	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	CONTEXT_SAFE_MULTIPLE_INHERITED_ROOTS	CONDITIONAL_ON_ACTIVE_ARGUMENT	3	3	0	OK|CH|K	9	G407-E0574|G407-E0580|G407-E0600|G407-E0758|G407-E0783|G407-E4425|G407-E4491|G407-E0798|G407-E0775	f18r|f55v|f56r|f95v	ZIELORT	ZIELORT	0	ZIELSTELLE	ZIELSTELLE	0	NONE	AIIN|OR|Y	YES	YES	YES	NO	NO	ARBEITSLESUNG__KEINE OBERFLÄCHENVORHERSAGE
G496-S012	G495-F012	12	G493-C100	@ACTION+Y	R	R+Y	PHARMA	MARKIEREN · POSTEN	R=POSTEN MARKIEREN · Y=DROGENPOSTEN	Markiere den Drogenposten.	Markiere den Drogenposten.	UNCHANGED_SELF_CONTAINED	SELF_CONTAINED_ARGUMENT	NONE	DIRECT_SELF_CONTAINED_REMAINDER	YES	3	3	0	OK|K|CHD	9	G407-E3814|G407-E3980|G407-E4034|G407-E4058|G407-E4165|G407-E4217|G407-E4228|G407-E4330|G407-E4075	f88r|f88v|f89r	POSTEN	POSTEN	0	DROGENPOSTEN	DROGENPOSTEN	0	Y	NONE	YES	YES	YES	NO	NO	ARBEITSLESUNG__KEINE OBERFLÄCHENVORHERSAGE
G496-S013	G495-F013	13	G493-C020	@ACTION+AIIN	R	R+AIIN	PHARMA	MARKIEREN · WERT	R=POSTEN MARKIEREN · AIIN=MENGENWERT	Markiere den Mengenwert.	Markiere den Mengenwert.	UNCHANGED_SELF_CONTAINED	SELF_CONTAINED_ARGUMENT	NONE	DIRECT_SELF_CONTAINED_REMAINDER	YES	4	3	1	OK|CH|S|T	9	G407-E3877|G407-E4160|G407-E3829|G407-E4057|G407-E4112|G407-E4285|G407-E4291|G407-E4335|G407-E4161	f88r|f88v|f89r	WERT	WERT	0	MENGENWERT	MENGENWERT	0	AIIN	NONE	YES	YES	YES	NO	NO	ARBEITSLESUNG__KEINE OBERFLÄCHENVORHERSAGE
G496-S014	G495-F014	14	G493-C074	@ACTION+OL	T	T+OL	CELESTIAL	EINSTELLEN · FORTSETZEN	T=WERT EINSTELLEN · OL=RINGFOLGE FORTSETZEN	Weiter stelle den Positionsposten [wie zuvor] ein.	Weiter stelle das zuvor Genannte ein.	CONTEXT_NOUN_GENERALIZED	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	CONTEXT_SAFE_MULTIPLE_INHERITED_ROOTS	CONDITIONAL_ON_ACTIVE_ARGUMENT	3	3	0	OK|SH|K	6	G407-E0954|G407-E1012|G407-E1124|G407-E1159|G407-E1376|G407-E1162	f67r2|f71v|f72r	FORTSETZEN	FORTSETZEN	0	RINGFOLGE FORTSETZEN	RINGFOLGE FORTSETZEN	0	NONE	AIIN|OR|Y	YES	YES	YES	NO	NO	ARBEITSLESUNG__KEINE OBERFLÄCHENVORHERSAGE
G496-S015	G495-F015	15	G493-C079	@ACTION+OL	R	R+OL	CELESTIAL	MARKIEREN · FORTSETZEN	R=POSITION MARKIEREN · OL=RINGFOLGE FORTSETZEN	Weiter markiere den Positionsposten [wie zuvor].	Weiter markiere das zuvor Genannte.	CONTEXT_NOUN_GENERALIZED	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	CONTEXT_SAFE_MULTIPLE_INHERITED_ROOTS	CONDITIONAL_ON_ACTIVE_ARGUMENT	3	3	0	OK|SH|K	6	G407-E0954|G407-E1012|G407-E1124|G407-E1159|G407-E1376|G407-E1162	f67r2|f71v|f72r	FORTSETZEN	FORTSETZEN	0	RINGFOLGE FORTSETZEN	RINGFOLGE FORTSETZEN	0	NONE	AIIN|OR|Y	YES	YES	YES	NO	NO	ARBEITSLESUNG__KEINE OBERFLÄCHENVORHERSAGE
G496-S016	G495-F016	16	G493-C076	@ACTION+OL	R	R+OL	SOURCE_SECTION_T	MARKIEREN · FORTSETZEN	R=KENNZEICHNEN · OL=WEITERFÜHREN	Weiter kennzeichne den laufenden Eintrag [wie zuvor].	Weiter kennzeichne das zuvor Genannte.	CONTEXT_NOUN_GENERALIZED	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	CONTEXT_SAFE_MULTIPLE_INHERITED_ROOTS	CONDITIONAL_ON_ACTIVE_ARGUMENT	4	3	1	OK|SH|K|T	6	G407-E0184|G407-E0005|G407-E0048|G407-E0137|G407-E0113|G407-E0150	f1r	FORTSETZEN	FORTSETZEN	0	WEITERFÜHREN	WEITERFÜHREN	0	NONE	AIIN|Y	YES	YES	YES	NO	NO	ARBEITSLESUNG__KEINE OBERFLÄCHENVORHERSAGE
G496-S017	G495-F017	17	G493-C001	@ACTION	T	T	SOURCE_SECTION_T	EINSTELLEN	T=FESTLEGEN	Lege den laufenden Eintrag [wie zuvor] fest.	Lege das zuvor Genannte fest.	CONTEXT_NOUN_GENERALIZED	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	CONTEXT_SAFE_MULTIPLE_INHERITED_ROOTS	CONDITIONAL_ON_ACTIVE_ARGUMENT	4	3	1	OK|SH|S|R	5	G407-E0203|G407-E0211|G407-E0051|G407-E0052|G407-E0110	f1r	EMPTY	EMPTY	0	EMPTY	EMPTY	0	NONE	OR|Y	YES	YES	YES	NO	NO	ARBEITSLESUNG__KEINE OBERFLÄCHENVORHERSAGE
G496-S018	G495-F018	18	G493-C011	@ACTION+AIIN	T	T+AIIN	SOURCE_SECTION_T	EINSTELLEN · WERT	T=FESTLEGEN · AIIN=KENNWERT	Lege den Kennwert fest.	Lege den Kennwert fest.	UNCHANGED_SELF_CONTAINED	SELF_CONTAINED_ARGUMENT	NONE	DIRECT_SELF_CONTAINED_REMAINDER	YES	3	3	0	OK|SH|K	4	G407-E0037|G407-E0161|G407-E0176|G407-E0182	f1r	WERT	WERT	0	KENNWERT	KENNWERT	0	AIIN	NONE	YES	YES	YES	NO	NO	ARBEITSLESUNG__KEINE OBERFLÄCHENVORHERSAGE
G496-S019	G495-F019	19	G493-C016	@ACTION+AIIN	R	R+AIIN	SOURCE_SECTION_T	MARKIEREN · WERT	R=KENNZEICHNEN · AIIN=KENNWERT	Kennzeichne den Kennwert.	Kennzeichne den Kennwert.	UNCHANGED_SELF_CONTAINED	SELF_CONTAINED_ARGUMENT	NONE	DIRECT_SELF_CONTAINED_REMAINDER	YES	3	3	0	OK|SH|K	4	G407-E0037|G407-E0161|G407-E0176|G407-E0182	f1r	WERT	WERT	0	KENNWERT	KENNWERT	0	AIIN	NONE	YES	YES	YES	NO	NO	ARBEITSLESUNG__KEINE OBERFLÄCHENVORHERSAGE
G496-S020	G495-F020	20	G493-C091	@ACTION+Y	T	T+Y	SOURCE_SECTION_T	EINSTELLEN · POSTEN	T=FESTLEGEN · Y=LAUFENDER EINTRAG	Lege den laufenden Eintrag fest.	Lege den laufenden Eintrag fest.	UNCHANGED_SELF_CONTAINED	SELF_CONTAINED_ARGUMENT	NONE	DIRECT_SELF_CONTAINED_REMAINDER	YES	3	3	0	OK|K|CHD	4	G407-E0192|G407-E0194|G407-E0122|G407-E0102	f1r	POSTEN	POSTEN	0	LAUFENDER EINTRAG	LAUFENDER EINTRAG	0	Y	NONE	YES	YES	YES	NO	NO	ARBEITSLESUNG__KEINE OBERFLÄCHENVORHERSAGE
G496-S021	G495-F021	21	G493-C096	@ACTION+Y	R	R+Y	SOURCE_SECTION_T	MARKIEREN · POSTEN	R=KENNZEICHNEN · Y=LAUFENDER EINTRAG	Kennzeichne den laufenden Eintrag.	Kennzeichne den laufenden Eintrag.	UNCHANGED_SELF_CONTAINED	SELF_CONTAINED_ARGUMENT	NONE	DIRECT_SELF_CONTAINED_REMAINDER	YES	3	3	0	OK|K|CHD	4	G407-E0192|G407-E0194|G407-E0122|G407-E0102	f1r	POSTEN	POSTEN	0	LAUFENDER EINTRAG	LAUFENDER EINTRAG	0	Y	NONE	YES	YES	YES	NO	NO	ARBEITSLESUNG__KEINE OBERFLÄCHENVORHERSAGE
G496-S022	G495-F022	22	G493-C030	@ACTION+AIN	R	R+AIN	PHARMA	MARKIEREN · ANTEIL	R=POSTEN MARKIEREN · AIN=DROGENANTEIL	Markiere den Drogenanteil.	Markiere den Drogenanteil.	UNCHANGED_SELF_CONTAINED	SELF_CONTAINED_ARGUMENT	NONE	DIRECT_SELF_CONTAINED_REMAINDER	YES	4	3	1	OK|S|CHD|T	4	G407-E4096|G407-E4226|G407-E4207|G407-E4098	f89r	ANTEIL	ANTEIL	0	DROGENANTEIL	DROGENANTEIL	0	AIN	NONE	YES	YES	YES	NO	NO	ARBEITSLESUNG__KEINE OBERFLÄCHENVORHERSAGE
G496-S023	G495-F023	23	G493-C057	@ACTION+CH+E+Y	R	R+CH+E+Y	HERBAL	MARKIEREN · NEHMEN · GRAD I · POSTEN	R=TEIL MARKIEREN · CH=PFLANZENTEIL NEHMEN · E=GRAD I · Y=PFLANZENPOSTEN	Markiere den Pflanzenposten und nimm den Pflanzenposten; auf Grad I.	Markiere den Pflanzenposten und nimm den Pflanzenposten; auf Grad I.	UNCHANGED_SELF_CONTAINED	SELF_CONTAINED_ARGUMENT	NONE	DIRECT_SELF_CONTAINED_REMAINDER	YES	3	3	0	OK|K|S	3	G407-E0807|G407-E0870|G407-E0891	f56r	NEHMEN · GRAD I · POSTEN	NEHMEN · GRAD I · POSTEN	0	PFLANZENTEIL NEHMEN · GRAD I · PFLANZENPOSTEN	PFLANZENTEIL NEHMEN · GRAD I · PFLANZENPOSTEN	0	Y	NONE	YES	YES	YES	NO	NO	ARBEITSLESUNG__KEINE OBERFLÄCHENVORHERSAGE
G496-S024	G495-F024	24	G493-C052	@ACTION+CH+E+Y	T	T+CH+E+Y	HERBAL	EINSTELLEN · NEHMEN · GRAD I · POSTEN	T=ARBEITSSTUFE EINSTELLEN · CH=PFLANZENTEIL NEHMEN · E=GRAD I · Y=PFLANZENPOSTEN	Stelle den Pflanzenposten ein und nimm den Pflanzenposten; auf Grad I.	Stelle den Pflanzenposten ein und nimm den Pflanzenposten; auf Grad I.	UNCHANGED_SELF_CONTAINED	SELF_CONTAINED_ARGUMENT	NONE	DIRECT_SELF_CONTAINED_REMAINDER	YES	3	3	0	OK|K|S	3	G407-E0807|G407-E0870|G407-E0891	f56r	NEHMEN · GRAD I · POSTEN	NEHMEN · GRAD I · POSTEN	0	PFLANZENTEIL NEHMEN · GRAD I · PFLANZENPOSTEN	PFLANZENTEIL NEHMEN · GRAD I · PFLANZENPOSTEN	0	Y	NONE	YES	YES	YES	NO	NO	ARBEITSLESUNG__KEINE OBERFLÄCHENVORHERSAGE
G496-S025	G495-F025	25	G493-C043	@ACTION+AL+Y	T	T+AL+Y	BIOLOGICAL	EINSTELLEN · ZIELORT · POSTEN	T=STATIONSWERT EINSTELLEN · AL=ZIELSTATION · Y=STATIONSPOSTEN	Stelle den Stationsposten ein; zur Zielstation.	Stelle den Stationsposten ein; zur Zielstation.	UNCHANGED_SELF_CONTAINED	SELF_CONTAINED_ARGUMENT	NONE	DIRECT_SELF_CONTAINED_REMAINDER	YES	3	2	1	OK|CH|R	5	G407-E2050|G407-E2548|G407-E3195|G407-E2256|G407-E3782	f76r|f77r|f82r|f83r	ZIELORT · POSTEN	ZIELORT · POSTEN	0	ZIELSTATION · STATIONSPOSTEN	ZIELSTATION · STATIONSPOSTEN	0	Y	NONE	YES	YES	YES	NO	NO	ARBEITSLESUNG__KEINE OBERFLÄCHENVORHERSAGE
G496-S026	G495-F026	26	G493-C086	@ACTION+OR+Y	R	R+OR+Y	SOURCE_SECTION_T	MARKIEREN · EINHEIT · POSTEN	R=KENNZEICHNEN · OR=EINTRAGSEINHEIT · Y=LAUFENDER EINTRAG	Kennzeichne die Eintragseinheit und den laufenden Eintrag.	Kennzeichne die Eintragseinheit und den laufenden Eintrag.	UNCHANGED_SELF_CONTAINED	SELF_CONTAINED_ARGUMENT	NONE	DIRECT_SELF_CONTAINED_REMAINDER	YES	2	2	0	SH|S	2	G407-E0006|G407-E0011	f1r	EINHEIT · POSTEN	EINHEIT · POSTEN	0	EINTRAGSEINHEIT · LAUFENDER EINTRAG	EINTRAGSEINHEIT · LAUFENDER EINTRAG	0	OR|Y	NONE	YES	YES	YES	NO	NO	ARBEITSLESUNG__KEINE OBERFLÄCHENVORHERSAGE
G496-S027	G495-F027	27	G493-C081	@ACTION+OR+Y	T	T+OR+Y	SOURCE_SECTION_T	EINSTELLEN · EINHEIT · POSTEN	T=FESTLEGEN · OR=EINTRAGSEINHEIT · Y=LAUFENDER EINTRAG	Lege die Eintragseinheit und den laufenden Eintrag fest.	Lege die Eintragseinheit und den laufenden Eintrag fest.	UNCHANGED_SELF_CONTAINED	SELF_CONTAINED_ARGUMENT	NONE	DIRECT_SELF_CONTAINED_REMAINDER	YES	2	2	0	SH|S	2	G407-E0006|G407-E0011	f1r	EINHEIT · POSTEN	EINHEIT · POSTEN	0	EINTRAGSEINHEIT · LAUFENDER EINTRAG	EINTRAGSEINHEIT · LAUFENDER EINTRAG	0	OR|Y	NONE	YES	YES	YES	NO	NO	ARBEITSLESUNG__KEINE OBERFLÄCHENVORHERSAGE
