choice_order	domain	item_id	unit_id	page	position	profile	body	input_wrapper	observed_wrapper	global_prediction	global_exact	profile_prediction	profile_exact	positional_prediction	positional_exact
40	PROSE	E214	B2	f82r	FIRST	P3_BIOLOGICAL	al	d	che	BARE	NO	BARE	NO	che	YES
41	PROSE	E217	B2	f82r	MIDDLE	P3_BIOLOGICAL	aiin	d	BARE	BARE	YES	BARE	YES	BARE	YES
42	PROSE	E238	B3	f83r	LAST	P3_BIOLOGICAL	ar	ch	d	BARE	NO	s	NO	d	YES
43	PROSE	E242	B3	f83r	LAST	P3_BIOLOGICAL	olchedy	q	BARE	BARE	YES	BARE	YES	BARE	YES
44	PROSE	E254	B3	f83r	FIRST	P3_BIOLOGICAL	or	ch	s	BARE	NO	s	YES	BARE	NO
45	PROSE	E257	B3	f83r	MIDDLE	P3_BIOLOGICAL	kain	BARE	ch	d	NO	q	NO	q	NO
46	PROSE	E258	B3	f83r	MIDDLE	P3_BIOLOGICAL	cthey	q	sh	BARE	NO	BARE	NO	BARE	NO
47	PROSE	E264	B3	f83r	ONLY	P3_BIOLOGICAL	okchedy	BARE	q	d	NO	q	YES	q	YES
48	PROSE	E271	B3	f83r	MIDDLE	P3_BIOLOGICAL	cthy	che	sh	sh	YES	sh	YES	sh	YES
49	PROSE	E273	B3	f83r	LAST	P3_BIOLOGICAL	y	che	s	sh	NO	sh	NO	ch	NO
50	PROSE	E278	B3	f83r	MIDDLE	P3_BIOLOGICAL	al	d	t	BARE	NO	BARE	NO	BARE	NO
51	PROSE	E279	B3	f83r	MIDDLE	P3_BIOLOGICAL	cthy	che	sh	sh	YES	sh	YES	sh	YES
52	PROSE	E281	B3	f83r	ONLY	P3_BIOLOGICAL	otchedy	BARE	q	d	NO	q	YES	q	YES
53	PROSE	E283	B3	f83r	ONLY	P3_BIOLOGICAL	chedy	s	t	d	NO	d	NO	d	NO
54	PROSE	E291	B3	f83r	ONLY	P3_BIOLOGICAL	olkeedy	BARE	s	d	NO	q	NO	q	NO
55	PROSE	E299	B3	f83r	LAST	P3_BIOLOGICAL	aiin	d	s	BARE	NO	BARE	NO	BARE	NO
56	PROSE	E309	B3	f83r	FIRST	P3_BIOLOGICAL	oiiin	BARE	s	d	NO	q	NO	s	YES
57	PROSE	E311	B3	f83r	MIDDLE	P3_BIOLOGICAL	ty	ch	che	BARE	NO	s	NO	che	YES
58	PROSE	E320	B4	f83r	LAST	P3_BIOLOGICAL	otal	q	BARE	BARE	YES	BARE	YES	BARE	YES
59	PROSE	E324	B4	f83r	MIDDLE	P3_BIOLOGICAL	ol	BARE	t	d	NO	q	NO	q	NO
60	PROSE	E341	B4	f83r	MIDDLE	P3_BIOLOGICAL	okain	q	BARE	BARE	YES	BARE	YES	BARE	YES
61	PROSE	E342	B4	f83r	LAST	P3_BIOLOGICAL	dy	che	ch	sh	NO	sh	NO	ch	YES
62	PROSE	E348	B4	f83r	FIRST	P3_BIOLOGICAL	or	ch	BARE	BARE	YES	s	NO	BARE	YES
63	PROSE	E353	B4	f83r	MIDDLE	P3_BIOLOGICAL	ey	che	sh	sh	YES	sh	YES	sh	YES
64	PROSE	E358	B4	f83r	FIRST	P3_BIOLOGICAL	olkain	BARE	q	d	NO	q	YES	s	NO
65	PROSE	E366	B5	f83r	MIDDLE	P3_BIOLOGICAL	ol	BARE	che	d	NO	q	NO	q	NO
66	PROSE	E369	B5	f83r	LAST	P3_BIOLOGICAL	aiin	d	BARE	BARE	YES	BARE	YES	BARE	YES
67	PROSE	E377	B6	f83r	FIRST	P3_BIOLOGICAL	aiin	s	d	d	YES	d	YES	d	YES
68	ASTRO	A:026	A1	f67r2	LAST	P4_CELESTIAL	y	d	ch	BARE	NO	che	NO	BARE	NO
69	ASTRO	A:040	A1	f67r2	LAST	P4_CELESTIAL	y	d	BARE	BARE	YES	che	NO	BARE	YES
70	ASTRO	A:045	A1	f67r2	MIDDLE	P4_CELESTIAL	aiin	BARE	d	d	YES	d	YES	d	YES
71	ASTRO	A:073	A1	f67r2	LAST	P4_CELESTIAL	aiin	BARE	s	d	NO	d	NO	d	NO
72	ASTRO	A:090	A1	f67r2	MIDDLE	P4_CELESTIAL	aiin	BARE	d	d	YES	d	YES	d	YES
73	ASTRO	A:095	A1	f67r2	FIRST	P4_CELESTIAL	or	BARE	s	d	NO	d	NO	d	NO
74	ASTRO	A:106	A1	f67r2	FIRST	P4_CELESTIAL	aiin	BARE	d	d	YES	d	YES	d	YES
75	ASTRO	A:120	A1	f67r2	MIDDLE	P4_CELESTIAL	ain	BARE	d	d	YES	d	YES	d	YES
76	ASTRO	A:126	A1	f67r2	LAST	P4_CELESTIAL	al	d	s	BARE	NO	che	NO	BARE	NO
77	ASTRO	A:130	A1	f67r2	FIRST	P4_CELESTIAL	y	d	BARE	BARE	YES	che	NO	BARE	YES
78	ASTRO	A:133	A1	f67r2	FIRST	P4_CELESTIAL	ol	ch	t	BARE	NO	BARE	NO	BARE	NO
79	ASTRO	A:134	A1	f67r2	LAST	P4_CELESTIAL	aiin	BARE	d	d	YES	d	YES	d	YES
80	ASTRO	A:155	A1	f67r2	FIRST	P4_CELESTIAL	ar	BARE	d	d	YES	d	YES	d	YES
81	ASTRO	A:165	A1	f67r2	MIDDLE	P4_CELESTIAL	oly	ch	BARE	BARE	YES	BARE	YES	BARE	YES
82	ASTRO	A:168	A1	f67r2	MIDDLE	P4_CELESTIAL	y	d	s	BARE	NO	che	NO	che	NO
83	ASTRO	A:179	A1	f67r2	MIDDLE	P4_CELESTIAL	okeeody	BARE	q	d	NO	d	NO	d	NO
84	ASTRO	A:182	A1	f67r2	MIDDLE	P4_CELESTIAL	ockhy	BARE	q	d	NO	d	NO	d	NO
85	ASTRO	A:210	A2	f68r1	MIDDLE	P4_CELESTIAL	ey	che	sh	sh	YES	sh	YES	sh	YES
86	ASTRO	A:216	A2	f68r1	LAST	P4_CELESTIAL	aram	BARE	d	d	YES	d	YES	d	YES
87	ASTRO	A:251	A2	f68r1	FIRST	P4_CELESTIAL	oky	ch	BARE	BARE	YES	BARE	YES	BARE	YES
88	ASTRO	A:259	A3	f69v	MIDDLE	P4_CELESTIAL	ar	BARE	s	d	NO	d	NO	d	NO
89	ASTRO	A:261	A3	f69v	MIDDLE	P4_CELESTIAL	ykar	BARE	ch	d	NO	d	NO	d	NO
90	ASTRO	A:274	A3	f69v	MIDDLE	P4_CELESTIAL	y	BARE	che	d	NO	d	NO	d	NO
91	ASTRO	A:281	A3	f69v	MIDDLE	P4_CELESTIAL	y	BARE	d	d	YES	d	YES	d	YES
92	ASTRO	A:291	A3	f69v	MIDDLE	P4_CELESTIAL	ar	BARE	d	d	YES	d	YES	d	YES
93	ASTRO	A:295	A3	f69v	LAST	P4_CELESTIAL	ar	BARE	ch	d	NO	d	NO	d	NO
94	ASTRO	A:313	A3	f69v	MIDDLE	P4_CELESTIAL	al	d	che	BARE	NO	che	YES	che	YES
95	ASTRO	A:317	A3	f69v	MIDDLE	P4_CELESTIAL	y	BARE	d	d	YES	d	YES	d	YES
96	ASTRO	A:321	A3	f69v	MIDDLE	P4_CELESTIAL	y	BARE	d	d	YES	d	YES	d	YES
97	ASTRO	A:324	A3	f69v	MIDDLE	P4_CELESTIAL	ol	ch	BARE	BARE	YES	BARE	YES	BARE	YES
98	ASTRO	A:327	A3	f69v	MIDDLE	P4_CELESTIAL	y	BARE	che	d	NO	d	NO	d	NO
99	ASTRO	A:333	A3	f69v	LAST	P4_CELESTIAL	y	d	che	BARE	NO	che	YES	BARE	NO
100	ASTRO	A:340	A3	f69v	MIDDLE	P4_CELESTIAL	y	d	ch	BARE	NO	che	NO	che	NO
101	ASTRO	A:358	A3	f69v	MIDDLE	P4_CELESTIAL	y	d	che	BARE	NO	che	YES	che	YES
102	ASTRO	A:364	A3	f69v	LAST	P4_CELESTIAL	ar	BARE	s	d	NO	d	NO	d	NO
