packet_host_ordinal	primary_governor_key	source_event_or_card_id	statement_or_record_id	physical_page	register	gate_class	gdt584_rule_id	packet_rule_id	carrier_slot_count	written_root_sequence	written_root_multiset	ordered_written_slot_lemmas_de	written_slot_count_trace_de	packet_composition_elements_de	packet_template_de	sentence_layer_de	display_gap_class	portable_packet_rule_match	historical_explicit_replay	guard
18	ACTION:G407-E1686@1:CHD	G407-E1686	G407-S130	f75r	BIOLOGICAL	AUTO_CONTEXT	CHD_BIO_TREAT	BIOLOGICAL_BODY_PART	2	Y+AIN	Y*1+AIN*1	Y=Körper | AIN=Teil	Körper ×1; Teil ×1	Körper ×1; Teil ×1	Behandle [Körper; Teil]	Behandle den Körperteil	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
19	ACTION:G407-E1818@1:S	G407-E1818	G407-S186	f75r	BIOLOGICAL	AUTO_CONTEXT	S_BIO_DIVERT	BIOLOGICAL_FLOW_PACKET	1	Y	Y*1	Y=Strom	Strom ×1	Strom ×1	Leite [Strom; Mengenangabe; Teilmenge; Beckeninhalt] um	Leite den Strom von der Ausgangsstation oder aus dem Ausgangsbecken um	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
20	ACTION:G407-E1934@1:S	G407-E1934	G407-S214	f76r	BIOLOGICAL	AUTO_CONTEXT	S_BIO_DIVERT	BIOLOGICAL_FLOW_PACKET	1	Y	Y*1	Y=Strom	Strom ×1	Strom ×1	Leite [Strom; Mengenangabe; Teilmenge; Beckeninhalt] um	Leite den Strom zur Zielstation oder ins Zielbecken um	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
21	ACTION:G407-E1965@3:S	G407-E1965	G407-S221	f76r	BIOLOGICAL	AUTO_CONTEXT	S_BIO_DIVERT	BIOLOGICAL_FLOW_PACKET	2	AIIN+AIN	AIIN*1+AIN*1	AIIN=Mengenangabe | AIN=Teilmenge	Mengenangabe ×1; Teilmenge ×1	Mengenangabe ×1; Teilmenge ×1	Leite [Strom; Mengenangabe; Teilmenge; Beckeninhalt] um	Leite die angegebene Teilmenge zur Zielstation oder ins Zielbecken und von der Ausgangsstation oder aus dem Ausgangsbecken um	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
22	ACTION:G407-E2224@1:S	G407-E2224	G407-S273	f76r	BIOLOGICAL	AUTO_CONTEXT	S_BIO_DIVERT	BIOLOGICAL_FLOW_PACKET	1	AIN	AIN*1	AIN=Teilmenge	Teilmenge ×1	Teilmenge ×1	Leite [Strom; Mengenangabe; Teilmenge; Beckeninhalt] um	Leite die Teilmenge von der Ausgangsstation oder aus dem Ausgangsbecken um	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
23	ACTION:G407-E2292@1:CHD	G407-E2292	G407-S287	f76r	BIOLOGICAL	AUTO_CONTEXT	CHD_BIO_TREAT	BIOLOGICAL_BODY_PART	3	Y+AIN+AIN	Y*1+AIN*2	Y=Körper | AIN=Teil | AIN=Teil	Körper ×1; Teil ×2	Körper ×1; Teil ×2	Behandle [Körper; Teil]	Behandle den Körperteil	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
24	ACTION:G407-E2404@1:SH	G407-E2404	G407-S312	f77r	BIOLOGICAL	AUTO_CONTEXT	SH_BIO_BATHE	BIOLOGICAL_BATH_FILL	2	Y+AIIN	Y*1+AIIN*1	Y=Stationsansatz | AIIN=Badfüllung	Stationsansatz ×1; Badfüllung ×1	Körper ×1; Badfüllung ×1	Halte im Bad [Stationsansatz/Körper; Badfüllung]	Halte den Stationsansatz im Bad bei der angegebenen Füllung auf Grad I	CLEAN_BATH_BODY_STATION_FORK	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
25	ACTION:G407-E2426@1:SH	G407-E2426	G407-S321	f77r	BIOLOGICAL	AUTO_CONTEXT	SH_BIO_BATHE	BIOLOGICAL_BATH_FILL	1	AIIN	AIIN*1	AIIN=Badfüllung	Badfüllung ×1	Badfüllung ×1	Halte im Bad [Stationsansatz/Körper; Badfüllung]	Halte die Badfüllung auf Grad I	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
26	ACTION:G407-E2508@1:SH	G407-E2508	G407-S351	f77r	BIOLOGICAL	AUTO_CONTEXT	SH_BIO_BATHE	BIOLOGICAL_BATH_FILL	2	AIIN+Y	Y*1+AIIN*1	AIIN=Badfüllung | Y=Stationsansatz	Badfüllung ×1; Stationsansatz ×1	Badfüllung ×1; Stationsansatz ×1	Halte im Bad [Stationsansatz/Körper; Badfüllung]	Halte den Stationsansatz im Bad bei der angegebenen Füllung auf Grad I und von der Ausgangsstation oder aus dem Ausgangsbecken	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
27	ACTION:G407-E2615@1:CHD	G407-E2615	G407-S377	f77r	BIOLOGICAL	AUTO_CONTEXT	CHD_BIO_TREAT	BIOLOGICAL_BODY_PART	2	AIN+Y	Y*1+AIN*1	AIN=Teil | Y=Körper	Teil ×1; Körper ×1	Teil ×1; Körper ×1	Behandle [Körper; Teil]	Behandle den Körperteil	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
28	ACTION:G407-E2637@1:SH	G407-E2637	G407-S382	f77r	BIOLOGICAL	AUTO_CONTEXT	SH_BIO_BATHE	BIOLOGICAL_BATH_FILL	2	AIIN+Y	Y*1+AIIN*1	AIIN=Badfüllung | Y=Stationsansatz	Badfüllung ×1; Stationsansatz ×1	Badfüllung ×1; Körper ×1	Halte im Bad [Stationsansatz/Körper; Badfüllung]	Halte den Stationsansatz im Bad bei der angegebenen Füllung auf Grad II	CLEAN_BATH_BODY_STATION_FORK	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
29	ACTION:G407-E2647@1:SH	G407-E2647	G407-S384	f77r	BIOLOGICAL	AUTO_CONTEXT	SH_BIO_BATHE	BIOLOGICAL_BATH_FILL	1	AIIN	AIIN*1	AIIN=Badfüllung	Badfüllung ×1	Badfüllung ×1	Halte im Bad [Stationsansatz/Körper; Badfüllung]	Halte die Badfüllung	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
30	ACTION:G407-E2652@1:SH	G407-E2652	G407-S385	f77r	BIOLOGICAL	AUTO_CONTEXT	SH_BIO_BATHE	BIOLOGICAL_BATH_FILL	2	AIIN+Y	Y*1+AIIN*1	AIIN=Badfüllung | Y=Stationsansatz	Badfüllung ×1; Stationsansatz ×1	Badfüllung ×1; Körper ×1	Halte im Bad [Stationsansatz/Körper; Badfüllung]	Halte den Stationsansatz im Bad bei der angegebenen Füllung	CLEAN_BATH_BODY_STATION_FORK	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
31	ACTION:G407-E2666@1:S	G407-E2666	G407-S390	f77r	BIOLOGICAL	AUTO_CONTEXT	S_BIO_DIVERT	BIOLOGICAL_FLOW_PACKET	1	AIIN	AIIN*1	AIIN=Mengenangabe	Mengenangabe ×1	Mengenangabe ×1	Leite [Strom; Mengenangabe; Teilmenge; Beckeninhalt] um	Leite die angegebene Menge zur Zielstation oder ins Zielbecken um	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
32	ACTION:G407-E2858@1:S	G407-E2858	G407-S425	f81r	BIOLOGICAL	AUTO_CONTEXT	S_BIO_DIVERT	BIOLOGICAL_FLOW_PACKET	2	Y+Y	Y*2	Y=Strom | Y=Strom	Strom ×2	Strom ×2	Leite [Strom; Mengenangabe; Teilmenge; Beckeninhalt] um	Leite den Strom in Anwendungsform, auf der Anwendungsstufe und über den Stationskontakt oder die Leitung um	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
33	ACTION:G407-E2868@1:S	G407-E2868	G407-S427	f81r	BIOLOGICAL	AUTO_CONTEXT	S_BIO_DIVERT	BIOLOGICAL_FLOW_PACKET	1	Y	Y*1	Y=Strom	Strom ×1	Strom ×1	Leite [Strom; Mengenangabe; Teilmenge; Beckeninhalt] um	Leite den Strom von der Ausgangsstation oder aus dem Ausgangsbecken um	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
34	ACTION:G407-E2920@3:S	G407-E2920	G407-S440	f81r	BIOLOGICAL	AUTO_CONTEXT	S_BIO_DIVERT	BIOLOGICAL_FLOW_PACKET	3	OR+OR+AIIN	AIIN*1+OR*2	OR=Beckeninhalt | OR=Beckeninhalt | AIIN=Mengenangabe	Beckeninhalt ×2; Mengenangabe ×1	Beckeninhalt ×2; Mengenangabe ×1	Leite [Strom; Mengenangabe; Teilmenge; Beckeninhalt] um	Leite die angegebene Menge des Beckeninhalts in der Innenform und von der Ausgangsstation oder aus dem Ausgangsbecken um	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
35	ACTION:G407-E3182@1:SH	G407-E3182	G407-S495	f82r	BIOLOGICAL	AUTO_CONTEXT	SH_BIO_BATHE	BIOLOGICAL_BATH_FILL	2	Y+AIIN	Y*1+AIIN*1	Y=Stationsansatz | AIIN=Badfüllung	Stationsansatz ×1; Badfüllung ×1	Körper ×1; Badfüllung ×1	Halte im Bad [Stationsansatz/Körper; Badfüllung]	Halte den Stationsansatz im Bad bei der angegebenen Füllung auf Grad II	CLEAN_BATH_BODY_STATION_FORK	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
36	ACTION:G407-E3218@1:SH	G407-E3218	G407-S502	f82r	BIOLOGICAL	AUTO_CONTEXT	SH_BIO_BATHE	BIOLOGICAL_BATH_FILL	1	AIIN	AIIN*1	AIIN=Badfüllung	Badfüllung ×1	Badfüllung ×1	Halte im Bad [Stationsansatz/Körper; Badfüllung]	Halte die Badfüllung auf Grad I	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
37	ACTION:G407-E3321@1:S	G407-E3321	G407-S526	f82r	BIOLOGICAL	AUTO_CONTEXT	S_BIO_DIVERT	BIOLOGICAL_FLOW_PACKET	3	AIIN+OR+Y	Y*1+AIIN*1+OR*1	AIIN=Mengenangabe | OR=Beckeninhalt | Y=Strom	Mengenangabe ×1; Beckeninhalt ×1; Strom ×1	Mengenangabe ×1; Beckeninhalt ×1; Strom ×1	Leite [Strom; Mengenangabe; Teilmenge; Beckeninhalt] um	Leite die angegebene Menge des Beckeninhalts als Strom von der Ausgangsstation oder aus dem Ausgangsbecken um	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
38	ACTION:G407-E3341@4:SH	G407-E3341	G407-S531	f82r	BIOLOGICAL	AUTO_CONTEXT	SH_BIO_BATHE	BIOLOGICAL_BATH_FILL	3	Y+AIIN+Y	Y*2+AIIN*1	Y=Stationsansatz | AIIN=Badfüllung | Y=Stationsansatz	Stationsansatz ×2; Badfüllung ×1	Stationsansatz ×2; Badfüllung ×1	Halte im Bad [Stationsansatz/Körper; Badfüllung]	Halte den Stationsansatz im Bad bei der angegebenen Füllung auf Grad I und über den Stationskontakt oder die Leitung	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
39	ACTION:G407-E3441@1:SH	G407-E3441	G407-S556	f82r	BIOLOGICAL	AUTO_CONTEXT	SH_BIO_BATHE	BIOLOGICAL_BATH_FILL	1	AIIN	AIIN*1	AIIN=Badfüllung	Badfüllung ×1	Badfüllung ×1	Halte im Bad [Stationsansatz/Körper; Badfüllung]	Halte die Badfüllung auf Grad I	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
40	ACTION:G407-E3621@1:SH	G407-E3621	G407-S599	f83r	BIOLOGICAL	AUTO_CONTEXT	SH_BIO_BATHE	BIOLOGICAL_BATH_FILL	1	AIIN	AIIN*1	AIIN=Badfüllung	Badfüllung ×1	Badfüllung ×1	Halte im Bad [Stationsansatz/Körper; Badfüllung]	Halte die Badfüllung auf Grad I	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
41	ACTION:G407-E3687@1:CHD	G407-E3687	G407-S621	f83r	BIOLOGICAL	AUTO_CONTEXT	CHD_BIO_TREAT	BIOLOGICAL_BODY_PART	2	AIN+Y	Y*1+AIN*1	AIN=Teil | Y=Körper	Teil ×1; Körper ×1	Teil ×1; Körper ×1	Behandle [Körper; Teil]	Behandle den Körperteil	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
42	ACTION:G407-E3812@1:S	G407-E3812	G407-S648	f88r	PHARMA	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	AIIN	AIIN*1	AIIN=Arzneiauszug	Arzneiauszug ×1	Arzneiauszug ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Arzneiauszug ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
43	ACTION:G407-E3829@1:S	G407-E3829	G407-S648	f88r	PHARMA	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	AIIN	AIIN*1	AIIN=Arzneiauszug	Arzneiauszug ×1	Arzneiauszug ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Arzneiauszug ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
44	ACTION:G407-E3862@1:S	G407-E3862	G407-S650	f88r	PHARMA	AUTO_CONTEXT	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	AIIN	AIIN*1	AIIN=Arzneiauszug	Arzneiauszug ×1	Arzneiauszug ×1	Seihe [Auszug; Material/Portion/Ansatz] ab	Seihe den Arzneiauszug ab	DIRECT_WRITTEN_SLOT_COMPOSITION	YES	YES	ORDERED_WRITTEN_SLOTS__COMPOSITIONAL_HEAD__FLUENT_SENTENCE_DISTINCT
