cell_id	prefix	tail	surface	tail_candidate_role_not_translation	raw_occurrences	reader_exact_occurrences	reader_exact_page_count	reader_exact_pages	reader_exact_physical_folio_count	reader_exact_physical_folios	exact_first	exact_middle	exact_last	exact_single	candidate_semantic_credit	component_export_credit
G787-P04-05	l	keedy	lkeedy	HOT|END_STAGE|CLOSE	37	23	13	f55r|f76r|f103r|f104r|f104v|f106r|f108r|f108v|f111r|f112r|f112v|f113v|f115v	10	f55|f76|f103|f104|f106|f108|f111|f112|f113|f115	0	20	3	0	0	0
G787-P05-01	o	ky	oky	HOT|BEGIN_STAGE|OPEN	89	80	62	f3r|f8v|f9v|f10r|f11v|f19v|f21r|f21v|f22r|f22v|f24r|f29r|f33v|f34r|f36v|f37r|f38r|f38v|f39r|f40r|f40v|f42v|f43v|f44r|f45r|f45v|f50r|f50v|f52r|f53v|f54v|f55v|f56v|f58v|f66r|f76r|f78r|f79r|f79v|f80r|f81r|f81v|f82v|f86v5|f86v6|f87v|f88r|f93v|f94r|f94v|f95r1|f99r|f102v2|f103r|f103v|f106r|f106v|f107v|f113v|f114v|f115v|f116r	50	f3|f8|f9|f10|f11|f19|f21|f22|f24|f29|f33|f34|f36|f37|f38|f39|f40|f42|f43|f44|f45|f50|f52|f53|f54|f55|f56|f58|f66|f76|f78|f79|f80|f81|f82|f86|f87|f88|f93|f94|f95|f99|f102|f103|f106|f107|f113|f114|f115|f116	2	56	20	2	0	0
G787-P05-02	o	key	okey	HOT|MIDDLE_STAGE|OPEN	40	36	23	f5r|f34v|f38v|f41v|f42v|f46v|f58r|f58v|f75r|f78v|f79r|f79v|f82r|f87v|f102v2|f103r|f103v|f108r|f108v|f111r|f112r|f112v|f116r	18	f5|f34|f38|f41|f42|f46|f58|f75|f78|f79|f82|f87|f102|f103|f108|f111|f112|f116	2	31	3	0	0	0
G787-P05-03	o	keey	okeey	HOT|END_STAGE|OPEN	138	116	44	f3r|f17v|f35v|f38v|f41v|f46r|f48v|f53v|f55r|f58v|f75r|f75v|f76r|f76v|f78v|f79r|f79v|f81r|f81v|f82v|f93v|f99r|f102v1|f102v2|f103r|f103v|f104v|f105r|f105v|f106r|f106v|f107r|f107v|f108r|f108v|f111r|f111v|f112r|f112v|f113r|f113v|f114v|f115r|f116r	31	f3|f17|f35|f38|f41|f46|f48|f53|f55|f58|f75|f76|f78|f79|f81|f82|f93|f99|f102|f103|f104|f105|f106|f107|f108|f111|f112|f113|f114|f115|f116	11	102	3	0	0	0
G787-P05-04	o	kedy	okedy	HOT|MIDDLE_STAGE|CLOSE	87	47	26	f26r|f31r|f33v|f41r|f41v|f43r|f66r|f75r|f76r|f76v|f77r|f77v|f78v|f79v|f81v|f83r|f85r1|f94v|f103r|f103v|f105r|f108r|f108v|f111v|f112r|f112v	20	f26|f31|f33|f41|f43|f66|f75|f76|f77|f78|f79|f81|f83|f85|f94|f103|f105|f108|f111|f112	0	45	2	0	0	0
G787-P05-05	o	keedy	okeedy	HOT|END_STAGE|CLOSE	94	49	29	f26r|f31r|f46r|f75r|f75v|f76r|f76v|f78r|f78v|f79v|f81r|f82v|f94v|f103r|f103v|f104v|f105r|f106r|f106v|f107r|f108r|f108v|f111v|f112r|f112v|f113r|f114r|f114v|f116r	21	f26|f31|f46|f75|f76|f78|f79|f81|f82|f94|f103|f104|f105|f106|f107|f108|f111|f112|f113|f114|f116	1	43	5	0	0	0
G787-P06-01	ol	ky	olky	HOT|BEGIN_STAGE|OPEN	20	17	12	f39v|f43r|f75r|f76r|f77v|f79v|f80r|f80v|f85r1|f86v6|f95r2|f99v	11	f39|f43|f75|f76|f77|f79|f80|f85|f86|f95|f99	0	13	2	2	0	0
G787-P06-02	ol	key	olkey	HOT|MIDDLE_STAGE|OPEN	12	10	8	f43v|f75v|f79v|f85r2|f86v3|f86v5|f102v1|f116r	7	f43|f75|f79|f85|f86|f102|f116	0	8	2	0	0	0
G787-P06-03	ol	keey	olkeey	HOT|END_STAGE|OPEN	35	32	22	f58v|f75r|f76r|f76v|f78r|f79r|f79v|f80r|f81r|f83r|f85r1|f86v6|f88r|f95r1|f103v|f106r|f107r|f107v|f108v|f113v|f114v|f116r	19	f58|f75|f76|f78|f79|f80|f81|f83|f85|f86|f88|f95|f103|f106|f107|f108|f113|f114|f116	7	25	0	0	0	0
G787-P06-04	ol	kedy	olkedy	HOT|MIDDLE_STAGE|CLOSE	22	15	13	f40r|f75r|f75v|f76r|f76v|f77r|f78v|f81r|f83v|f86v6|f108r|f108v|f112r	10	f40|f75|f76|f77|f78|f81|f83|f86|f108|f112	0	14	1	0	0	0
G787-P06-05	ol	keedy	olkeedy	HOT|END_STAGE|CLOSE	42	25	19	f75r|f79v|f80v|f81v|f82v|f83r|f83v|f85r1|f86v5|f86v6|f95r1|f104r|f105r|f105v|f107v|f112r|f112v|f113r|f114r	15	f75|f79|f80|f81|f82|f83|f85|f86|f95|f104|f105|f107|f112|f113|f114	1	23	1	0	0	0
G787-P07-01	qo	ky	qoky	HOT|BEGIN_STAGE|OPEN	138	125	64	f2r|f7v|f11v|f13r|f13v|f15v|f16r|f18v|f19r|f22r|f22v|f24r|f34r|f36v|f40r|f40v|f43v|f44r|f45r|f50r|f51r|f52r|f58r|f58v|f66r|f75r|f75v|f76r|f76v|f77r|f77v|f78r|f79r|f79v|f80r|f80v|f81v|f82r|f82v|f83r|f83v|f86v3|f86v6|f88v|f90r1|f94r|f94v|f95r1|f99r|f99v|f102v2|f103r|f103v|f104v|f106r|f107r|f107v|f111r|f111v|f112r|f113r|f115r|f115v|f116r	46	f2|f7|f11|f13|f15|f16|f18|f19|f22|f24|f34|f36|f40|f43|f44|f45|f50|f51|f52|f58|f66|f75|f76|f77|f78|f79|f80|f81|f82|f83|f86|f88|f90|f94|f95|f99|f102|f103|f104|f106|f107|f111|f112|f113|f115|f116	5	96	24	0	0	0
G787-P07-02	qo	key	qokey	HOT|MIDDLE_STAGE|OPEN	96	88	42	f2r|f27r|f31r|f40v|f41r|f51r|f51v|f58v|f66r|f75r|f75v|f76r|f76v|f77v|f78r|f78v|f79r|f79v|f80r|f80v|f81r|f81v|f82r|f82v|f83r|f89r1|f99r|f99v|f102r1|f102v1|f103r|f103v|f107v|f108r|f108v|f111r|f111v|f112r|f112v|f114r|f115v|f116r	28	f2|f27|f31|f40|f41|f51|f58|f66|f75|f76|f77|f78|f79|f80|f81|f82|f83|f89|f99|f102|f103|f107|f108|f111|f112|f114|f115|f116	5	77	6	0	0	0
G787-P07-03	qo	keey	qokeey	HOT|END_STAGE|OPEN	280	264	67	f3r|f17v|f23r|f31r|f34r|f34v|f38v|f41r|f42v|f43v|f52v|f54v|f58v|f66r|f75r|f75v|f76r|f76v|f77r|f77v|f78r|f79r|f79v|f80r|f80v|f81r|f81v|f82r|f82v|f83r|f83v|f85r1|f86v3|f86v5|f86v6|f88r|f88v|f89r1|f90r1|f95v1|f95v2|f99r|f99v|f100r|f100v|f102v1|f102v2|f103r|f103v|f104r|f104v|f105r|f106r|f106v|f107r|f107v|f108r|f108v|f111r|f111v|f112r|f112v|f113r|f113v|f115r|f115v|f116r	42	f3|f17|f23|f31|f34|f38|f41|f42|f43|f52|f54|f58|f66|f75|f76|f77|f78|f79|f80|f81|f82|f83|f85|f86|f88|f89|f90|f95|f99|f100|f102|f103|f104|f105|f106|f107|f108|f111|f112|f113|f115|f116	26	229	9	0	0	0
G787-P07-04	qo	kedy	qokedy	HOT|MIDDLE_STAGE|CLOSE	249	164	45	f26r|f26v|f31r|f33r|f34r|f39r|f40v|f41r|f43r|f46v|f48r|f50v|f66v|f75r|f75v|f76r|f76v|f77r|f77v|f78r|f78v|f79r|f79v|f80r|f80v|f81r|f81v|f82r|f82v|f83r|f83v|f85r1|f103r|f105r|f105v|f106r|f107v|f108r|f108v|f111r|f111v|f112r|f112v|f113r|f115r	31	f26|f31|f33|f34|f39|f40|f41|f43|f46|f48|f50|f66|f75|f76|f77|f78|f79|f80|f81|f82|f83|f85|f103|f105|f106|f107|f108|f111|f112|f113|f115	14	146	4	0	0	0
G787-P07-05	qo	keedy	qokeedy	HOT|END_STAGE|CLOSE	292	201	45	f26r|f31r|f41r|f46v|f75r|f75v|f76r|f76v|f77r|f77v|f78r|f78v|f79r|f79v|f80r|f80v|f81r|f82r|f82v|f83r|f83v|f86v3|f86v6|f103r|f103v|f104r|f104v|f105r|f105v|f106r|f106v|f107r|f107v|f108r|f108v|f111r|f111v|f112r|f112v|f113r|f114r|f114v|f115r|f115v|f116r	26	f26|f31|f41|f46|f75|f76|f77|f78|f79|f80|f81|f82|f83|f86|f103|f104|f105|f106|f107|f108|f111|f112|f113|f114|f115|f116	25	176	0	0	0	0
G787-P08-01	qol	ky	qolky	HOT|BEGIN_STAGE|OPEN	4	4	4	f77v|f80v|f81v|f83v	4	f77|f80|f81|f83	0	2	2	0	0	0
G787-P08-02	qol	key	qolkey	HOT|MIDDLE_STAGE|OPEN	1	1	1	f76v	1	f76	0	1	0	0	0	0
G787-P08-03	qol	keey	qolkeey	HOT|END_STAGE|OPEN	4	4	4	f43v|f79r|f82v|f107v	4	f43|f79|f82|f107	0	4	0	0	0	0
G787-P08-04	qol	kedy	qolkedy	HOT|MIDDLE_STAGE|CLOSE	1	1	1	f82v	1	f82	0	1	0	0	0	0
G787-P08-05	qol	keedy	qolkeedy	HOT|END_STAGE|CLOSE	7	5	4	f76v|f79r|f79v|f83v	3	f76|f79|f83	1	3	1	0	0	0
G787-P09-01	sol	ky	solky	HOT|BEGIN_STAGE|OPEN	1	1	1	f80r	1	f80	1	0	0	0	0	0
G787-P09-02	sol	key	solkey	HOT|MIDDLE_STAGE|OPEN	1	1	1	f83r	1	f83	1	0	0	0	0	0
G787-P09-03	sol	keey	solkeey	HOT|END_STAGE|OPEN	3	3	3	f77r|f81v|f83r	3	f77|f81|f83	3	0	0	0	0	0
G787-P09-04	sol	kedy	solkedy	HOT|MIDDLE_STAGE|CLOSE	2	1	1	f75v	1	f75	0	0	1	0	0	0
G787-P09-05	sol	keedy	solkeedy	HOT|END_STAGE|CLOSE	3	3	2	f78r|f83r	2	f78|f83	3	0	0	0	0	0
G787-P10-01	y	ky	yky	HOT|BEGIN_STAGE|OPEN	12	10	10	f16r|f16v|f19r|f23r|f36v|f37r|f39v|f45r|f112r|f114r	9	f16|f19|f23|f36|f37|f39|f45|f112|f114	1	6	3	0	0	0
G787-P10-02	y	key	ykey	HOT|MIDDLE_STAGE|OPEN	5	5	5	f9v|f26v|f46r|f58v|f99v	5	f9|f26|f46|f58|f99	1	3	1	0	0	0
G787-P10-03	y	keey	ykeey	HOT|END_STAGE|OPEN	49	41	33	f2r|f10v|f17v|f21r|f39r|f41v|f45r|f48r|f50r|f51v|f52r|f58r|f75r|f78v|f79r|f79v|f80r|f81v|f86v3|f86v5|f88v|f89v1|f90r1|f99r|f102v1|f102v2|f103v|f104v|f105v|f108r|f108v|f112v|f116r	29	f2|f10|f17|f21|f39|f41|f45|f48|f50|f51|f52|f58|f75|f78|f79|f80|f81|f86|f88|f89|f90|f99|f102|f103|f104|f105|f108|f112|f116	9	32	0	0	0	0
G787-P10-04	y	kedy	ykedy	HOT|MIDDLE_STAGE|CLOSE	18	6	6	f31r|f34r|f78r|f86v6|f95r1|f112r	6	f31|f34|f78|f86|f95|f112	0	5	1	0	0	0
G787-P10-05	y	keedy	ykeedy	HOT|END_STAGE|CLOSE	26	19	18	f31r|f39v|f43v|f48r|f75v|f78r|f79v|f81r|f81v|f82v|f85r2|f94v|f103r|f103v|f108r|f112v|f114r|f115v	16	f31|f39|f43|f48|f75|f78|f79|f81|f82|f85|f94|f103|f108|f112|f114|f115	4	14	1	0	0	0
