surface	family_class	left_whole	raw_occurrences	raw_page_count	raw_pages	raw_physical_folio_count	raw_physical_folios	raw_locus_count	reader_exact_surface	reader_exact_occurrences	reader_exact_page_count	reader_exact_pages	reader_exact_physical_folio_count	reader_exact_physical_folios	reader_exact_locus_count	exact_first	exact_middle	exact_last	exact_single	exact_paragraph_start_lines	exact_paragraph_end_lines	exact_true_paragraph_starts	exact_true_paragraph_ends	exact_register_distribution	current_alternate_reader_split_candidates	current_alternate_reader_split_loci	current_alternate_reader_split_sources	component_export_credit
qokeedy	LEFT_WHOLE_PLUS_KEEDY	qo	292	52	f26r|f31r|f40v|f41r|f41v|f43r|f46v|f66r|f75r|f75v|f76r|f76v|f77r|f77v|f78r|f78v|f79r|f79v|f80r|f80v|f81r|f82r|f82v|f83r|f83v|f85r1|f86v3|f86v6|f95r1|f103r|f103v|f104r|f104v|f105r|f105v|f106r|f106v|f107r|f107v|f108r|f108v|f111r|f111v|f112r|f112v|f113r|f113v|f114r|f114v|f115r|f115v|f116r	31	f26|f31|f40|f41|f43|f46|f66|f75|f76|f77|f78|f79|f80|f81|f82|f83|f85|f86|f95|f103|f104|f105|f106|f107|f108|f111|f112|f113|f114|f115|f116	251	1	201	45	f26r|f31r|f41r|f46v|f75r|f75v|f76r|f76v|f77r|f77v|f78r|f78v|f79r|f79v|f80r|f80v|f81r|f82r|f82v|f83r|f83v|f86v3|f86v6|f103r|f103v|f104r|f104v|f105r|f105v|f106r|f106v|f107r|f107v|f108r|f108v|f111r|f111v|f112r|f112v|f113r|f114r|f114v|f115r|f115v|f116r	26	f26|f31|f41|f46|f75|f76|f77|f78|f79|f80|f81|f82|f83|f86|f103|f104|f105|f106|f107|f108|f111|f112|f113|f114|f115|f116	177	25	176	0	0	29	17	3	0	B|B|2:102|C|B|2:1|H|B|2:4|H|B|5:1|S|B|3:84|S|B|@:2|T|B|2:7	1	f115r.32	rf1b	0
qolkeedy	LEFT_WHOLE_PLUS_KEEDY	qol	7	6	f76v|f79r|f79v|f81v|f83v|f115v	5	f76|f79|f81|f83|f115	7	1	5	4	f76v|f79r|f79v|f83v	3	f76|f79|f83	5	1	3	1	0	0	1	0	0	B|B|2:5	1	f81v.8	it2a	0
qoolkeedy	LEFT_WHOLE_PLUS_KEEDY	qool	1	1	f115r	1	f115	1	1	1	1	f115r	1	f115	1	0	1	0	0	1	0	0	0	S|B|@:1	0	NONE	NONE	0
rokeedy	LEFT_WHOLE_PLUS_KEEDY	ro	1	1	f115v	1	f115	1	0	0	0	NONE	0	NONE	0	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
rolkeedy	LEFT_WHOLE_PLUS_KEEDY	rol	1	1	f83v	1	f83	1	1	1	1	f83v	1	f83	1	1	0	0	0	0	1	0	0	B|B|2:1	0	NONE	NONE	0
salkeedy	LEFT_WHOLE_PLUS_KEEDY	sal	1	1	f111r	1	f111	1	1	1	1	f111r	1	f111	1	1	0	0	0	0	0	0	0	S|B|3:1	0	NONE	NONE	0
sheokeedy	LEFT_WHOLE_PLUS_KEEDY	sheo	1	1	f112r	1	f112	1	1	1	1	f112r	1	f112	1	0	1	0	0	0	0	0	0	S|B|3:1	0	NONE	NONE	0
sheolkeedy	LEFT_WHOLE_PLUS_KEEDY	sheol	1	1	f115v	1	f115	1	1	1	1	f115v	1	f115	1	0	1	0	0	1	0	0	0	S|B|3:1	0	NONE	NONE	0
shkakeedy	LEFT_WHOLE_PLUS_KEEDY	shka	1	1	f41r	1	f41	1	0	0	0	NONE	0	NONE	0	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
shkeedy	LEFT_WHOLE_PLUS_KEEDY	sh	1	1	f108r	1	f108	1	0	0	0	NONE	0	NONE	0	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
sholkeedy	LEFT_WHOLE_PLUS_KEEDY	shol	2	1	f108v	1	f108	2	1	1	1	f108v	1	f108	1	0	1	0	0	0	0	0	0	S|B|3:1	0	NONE	NONE	0
sokeedy	LEFT_WHOLE_PLUS_KEEDY	so	2	2	f75r|f78r	2	f75|f78	2	1	1	1	f78r	1	f78	1	1	0	0	0	0	0	0	0	B|B|2:1	0	NONE	NONE	0
solkeedy	LEFT_WHOLE_PLUS_KEEDY	sol	3	2	f78r|f83r	2	f78|f83	3	1	3	2	f78r|f83r	2	f78|f83	3	3	0	0	0	0	0	0	0	B|B|2:3	0	NONE	NONE	0
tsheokeedy	LEFT_WHOLE_PLUS_KEEDY	tsheo	1	1	f76v	1	f76	1	0	0	0	NONE	0	NONE	0	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
ykeedy	LEFT_WHOLE_PLUS_KEEDY	y	26	24	f26r|f31r|f39v|f41r|f43v|f48r|f48v|f75v|f78r|f79v|f81r|f81v|f82v|f85r1|f85r2|f86v6|f94v|f103r|f103v|f104v|f108r|f112v|f114r|f115v	20	f26|f31|f39|f41|f43|f48|f75|f78|f79|f81|f82|f85|f86|f94|f103|f104|f108|f112|f114|f115	26	1	19	18	f31r|f39v|f43v|f48r|f75v|f78r|f79v|f81r|f81v|f82v|f85r2|f94v|f103r|f103v|f108r|f112v|f114r|f115v	16	f31|f39|f43|f48|f75|f78|f79|f81|f82|f85|f94|f103|f108|f112|f114|f115	19	4	14	1	0	0	2	0	1	B|B|2:7|C|B|2:1|H|B|2:3|H|B|3:1|H|B|5:1|S|B|3:6	0	NONE	NONE	0
