surface	preferred_working_default_de	rival_1_de	rival_2_de	rival_2_mechanism_de	display_hypothesis_not_exportable	confidence_0_100_not_probability	confidence_label	confidence_basis	display_scope	lineage_decision	positive_evidence_de	counterevidence_de	raw_occurrences	raw_page_count	raw_physical_folio_count	reader_exact_surface	reader_exact_occurrences	reader_exact_page_count	reader_exact_physical_folio_count	reader_exact_display_card	raw_reader_warning	gdt787_new_renderer_license	inherited_renderer_scope_unchanged	replaceable	portable_keedy_component_used	prior_gdt734_reading_id	prior_gdt734_default_de	prior_gdt734_score_not_probability	prior_gdt734_renderer_decision	gdt786_default_de	default_is_translation	confirmed_lexeme	confirmed_plaintext	specific_substance_confirmed	component_export_credit
dykeedy	erhitzte Fertigzubereitung	gebrauchsfertige Arzneimischung	Zubereitung der höchsten Reifestufe	gelernte Ganzwortkarte ohne dy-Export	PREPARATION|HOT|END_STAGE	25	C0_LEARNED_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	LEARNED_WHOLE_NO_DY_EXPORT	1/1 reader-exakt; die vollständige Endsequenz gehört formal zur keedy-Familie.	Singleton ohne keey-Schwester; dy ist nur Strukturspur und darf weder CLOSED noch einen Vorgang liefern.	1	1	1	1	1	1	1	1	0	0	1	1	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0
keedy	heißer Endzustand	vollständig ausgekochte Zubereitung	höchste Reife- oder Gütestufe	übernommene Ganzwortkarte ohne innere Zerlegung	HOT|END_STAGE	72	C1_WORKING_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	KEEP_SHORTENED_GDT647	59 rohe und 22 reader-exakte Vorkommen; GDT647-Qualitätsraster und die späteren HOT|END-Ganzwortrelationen tragen den Kern.	Keine historische Wortidentität; GDT689, GDT719 und GDT750 tragen keinen frei gesprochenen CLOSED-Baustein.	59	31	23	1	22	16	13	1	0	0	1	1	0	keedy#GLOBAL	heiß am Ende des Grades, abgeschlossen	71	INHERITED_UNCHANGED	NONE	0	0	0	0	0
lkeedy	erhitzte Droge, Endstufe	ausgekochtes Pflanzenmaterial	lagerfertiger Drogenposten	übernommene Ganzwortkarte nach Patientenkorrektur	MATERIAL|HOT|END_STAGE	56	C1_AXIS_CORE_C0_CARRIER	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	REPLACE_RETIRED_PATIENT_KEEP_AXES	37 rohe und 23 reader-exakte Vorkommen; lkeey-Schwester und breite HOT|END-Familie stützen den Zustandskern.	Die frühere Holzidentität ist nach der H1-H4-Korrektur unzulässig; keine exakte l keedy-Brücke und Drogen-Träger nur C0.	37	21	16	1	23	13	10	1	0	0	1	1	0	lkeedy#GLOBAL	Drogenholz, heiß am Gradende, abgeschlossen	66	INHERITED_UNCHANGED	NONE	0	0	0	0	0
lokeedy	erhitzter Zubereitungsansatz, Endstufe	eingedickter Arzneiextrakt	abgemessene Fertigdosis	Ganzwortprojektion aus Nachbarformen; keine Renderer-Lizenz	PREPARATION|HOT|END_STAGE	20	C0_RAW_READER_WARNING	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	RAW_READER_WARNING_ONLY	RAW_WARNING_NO_RENDERER_LICENSE	Zwei rohe Vorkommen; okeedy ist ein starker HOT|END-Zubereitungsrest und GDT737 führt lokeedy als gehaltene Form zum Körper okeedy.	Kein reader-exaktes Ganzwortvorkommen; H4-Form und Körperkandidat hatten keine Renderer-Lizenz.	2	2	2	0	0	0	0	0	1	0	1	1	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0
oekeedy	erhitzter Endansatz	reduzierte Abkochung	ausgereifte Fertigzubereitung	gelernte Ganzwortkarte mit Schwesteranalogie	PREPARATION|HOT|END_STAGE	28	C0_LEARNED_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	LEARNED_WHOLE_WITH_SISTER_LEAD	1/1 reader-exakt; oekeey ist als formale Schwester belegt und der unmittelbare Kontext enthält HOT|END-Ganzwörter.	Singleton; keine oe keedy-Brücke und keine sichere Ansatzrolle.	1	1	1	1	1	1	1	1	0	0	1	1	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0
okeedy	heißer Ansatz an der Endstufe	eingekochter Arzneiansatz	Fertigzubereitung höchster Güte	übernommene Ganzwortkarte ohne innere Zerlegung	PREPARATION|HOT|END_STAGE	76	C1_WORKING_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	KEEP_SHORTENED_GDT647	94 rohe und 49 reader-exakte Vorkommen; direkte GDT647-Ganzwortkarte und späterer GDT750-HOT|END-Donor.	Ansatz bleibt eine Arbeitsrolle; CLOSED wird nach den Schwester- und Transferaudits nicht mehr gesprochen.	94	46	31	1	49	29	21	1	0	0	1	1	0	okeedy#GLOBAL	heißer Ansatz am Ende des Grades, abgeschlossen	71	INHERITED_UNCHANGED	NONE	0	0	0	0	0
okokeedy	erhitzte Endzubereitung	erneut erhitzter Extrakt	abgeschlossene Arzneicharge	Ganzwortprojektion aus Nachbarformen; keine Renderer-Lizenz	PREPARATION|HOT|END_STAGE	16	C0_RAW_READER_WARNING	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	RAW_READER_WARNING_ONLY	RAW_WARNING_NO_RENDERER_LICENSE	Ein rohes Ganzwortvorkommen; die vollständigen Nachbarfamilien okeedy und qokeedy liefern einen konkreten Wärme-/Endstufenrivalen.	Kein reader-exaktes Ganzwortvorkommen; keine sichere innere Grenze oder Trägerrolle; keine Renderer-Lizenz.	1	1	1	0	0	0	0	0	1	0	1	1	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0
olkchokeedy	heiß-trockene Endzubereitung	geröstete Arzneimischung	getrockneter Extraktrückstand	gelernte lange Ganzwortkarte ohne innere Zerlegung	DRY|PREPARATION|HOT|END_STAGE	24	C0_LEARNED_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	LEARNED_LONG_WHOLE	1/1 reader-exakt; die vollständige Form endet in der beobachteten keedy-Familie und erhält deshalb denselben ausdrücklich nicht exportierbaren C0-Anzeigeprior.	Langer Singleton ohne keey-Schwester oder getrennte Brücke; innere Ähnlichkeit ist keine Kompositionslizenz oder unabhängige Bedeutungsstütze.	1	1	1	1	1	1	1	1	0	0	1	1	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0
olkeedy	vollständig erhitzter Ansatz	eingekochte Abkochung	Fertigarzneibasis, Form II	übernommene Ganzwortkarte nach Patientenkorrektur	PREPARATION|MATERIAL|HOT|END_STAGE	68	C1_INHERITED_FORM_SPECIFIC_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	KEEP_GDT689_REMOVE_RETIRED_PATIENT	42 rohe und 25 reader-exakte Vorkommen; die ältere GDT689-Ganzwortkarte, olkeey-Schwester und Endpunktvergleich tragen den formgebundenen Wert; die Splitbrücke gibt keinen Zusatzkredit.	Die frühere Holzidentität ist unzulässig; GDT689 zeigt ausdrücklich keine zusätzliche gesprochene CLOSED-Last; GDT787 erhöht die ältere Konfidenz nicht.	42	25	19	1	25	19	15	1	0	0	1	1	0	olkeedy#1	Holzansatz vollständig erhitzt	44	INHERITED_UNCHANGED	NONE	0	0	0	0	0
oykeedy	heißes Endstufenfeld	höchste Temperaturstufe	Reife- oder Gütefeld	Ganzwortprojektion aus Nachbarformen; keine Renderer-Lizenz	HOT|END_STAGE	15	C0_RAW_READER_WARNING	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	RAW_READER_WARNING_ONLY	RAW_WARNING_NO_RENDERER_LICENSE	Ein rohes Ganzwortvorkommen; ykeedy und okeedy geben einen konkreten formgebundenen HOT|END-Rivalen vor.	Kein reader-exaktes Ganzwortvorkommen, keine keey-Schwester und keine sichere innere Grenze; keine Renderer-Lizenz.	1	1	1	0	0	0	0	0	1	0	1	1	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0
pcholkeedy	getrocknetes Gut, heiß bis Endstufe	geröstete Pflanzendroge	getrocknete Fertigportion	Ganzwortprojektion aus Nachbarformen; keine Renderer-Lizenz	DRY|MATERIAL|HOT|END_STAGE	18	C0_RAW_READER_WARNING	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	RAW_READER_WARNING_ONLY	RAW_WARNING_NO_RENDERER_LICENSE	Ein rohes Ganzwortvorkommen; cholkeedy und die vollständige chol-Trockenkarte liefern eine konkrete Ganzformanalogie.	Kein reader-exaktes Ganzwortvorkommen; p erhält keinen Material-, Befehls- oder Lautwert; keine Renderer-Lizenz.	1	1	1	0	0	0	0	0	1	0	1	1	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0
polkeedy	vollständig erhitzter Ansatz	eingekochte Abkochung, Form II	fertiger Materialposten, Form II	Ganzwortprojektion aus Nachbarformen; keine Renderer-Lizenz	PREPARATION|MATERIAL|HOT|END_STAGE	18	C0_RAW_READER_WARNING	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	RAW_READER_WARNING_ONLY	RAW_WARNING_NO_RENDERER_LICENSE	Ein rohes Ganzwortvorkommen; GDT737 führt polkeedy als gehaltene Form zum Körper olkeedy, dessen Endpunktkern unabhängig stärker ist.	Kein reader-exaktes Ganzwortvorkommen; H1-Rolle und Körperkandidat hatten keine Renderer-Lizenz; keine freie p- oder ol-Bedeutung.	1	1	1	0	0	0	0	0	1	0	1	1	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0
qoeekeedy	erhitzte Endzubereitung	eingedickter Arzneiextrakt	abgeschlossenes Gütefeld	gelernte Ganzwortkarte ohne innere Zerlegung	PREPARATION|HOT|END_STAGE	24	C0_LEARNED_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	LEARNED_WHOLE_NO_INTERNAL_EXPORT	1/1 reader-exakt; die vollständige Endsequenz liegt in der keedy-Familie und die Stelle steht in einem Qualitätsfeld.	Singleton ohne keey-Schwester oder getrennte Brücke; der Abschlussrival bleibt ungesprochen.	1	1	1	1	1	1	1	1	0	0	1	1	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0
qokeedy	heiß am Gradende	höchste Temperaturstufe	Abschlussgrad ohne Temperaturwert	übernommene Ganzwortkarte ohne CLOSED-Komponente	HOT|END_STAGE	82	C1_WORKING_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	KEEP_GDT689_NO_CLOSE	292 rohe und 201 reader-exakte Vorkommen; stärkste Familie; GDT689 zeigt mit qokeey denselben Endpunkt ohne zusätzliche semantische d-Last.	Keine historische Wortidentität; ein anderer Leser trennt nur ein nicht-reader-exaktes Einzelvorkommen; kein freier qo- oder keedy-Export.	292	52	31	1	201	45	26	1	0	0	1	1	0	qokeedy#1	heiß am Ende des Grades	54	INHERITED_UNCHANGED	NONE	0	0	0	0	0
qolkeedy	erhitztes Drogenmaterial, Endstufe	ausgekochter Pflanzenstoff	verarbeiteter Drogenposten höchster Güte	nominale Ganzwortkarte ohne q-Handlung	MATERIAL|HOT|END_STAGE	46	C0_PLUS_SHORTENED_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	REMOVE_OLD_Q_IMPERATIVE_KEEP_NOMINAL_CORE	7 rohe und 5 reader-exakte Vorkommen; qolkeey-Schwester und wiederholte HOT|END-Materialgeometrie erhalten einen nominalen Kern.	Der frühere q-Imperativ war Analystenkomposition; keine exakte qol keedy-Brücke und Stoffidentität offen.	7	6	5	1	5	4	3	1	0	0	1	1	0	qolkeedy#GLOBAL	gib vollständig erhitztes und abgeschlossenes Drogenmaterial hinzu	71	INHERITED_UNCHANGED	NONE	0	0	0	0	0
qoolkeedy	erhitzte Endzubereitung	erneut erhitzte Abkochung	fertiger Materialposten	gelernte Ganzwortkarte mit Schwesteranalogie	PREPARATION|HOT|END_STAGE	28	C0_LEARNED_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	LEARNED_WHOLE_WITH_SISTER_LEAD	1/1 reader-exakt; qoolkeey ist eine reader-exakte formale Schwester.	Singleton; die alte Handlungslesung von qoolkeey ist nicht unabhängig und keine getrennte qool keedy-Brücke liegt vor.	1	1	1	1	1	1	1	1	0	0	1	1	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0
rokeedy	erhitzte Zubereitung, Endstufe	eingedickter Arzneiextrakt	Fertigergebnis, Form II	Ganzwortprojektion aus Nachbarformen; keine Renderer-Lizenz	PREPARATION|HOT|END_STAGE	18	C0_RAW_READER_WARNING	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	RAW_READER_WARNING_ONLY	RAW_WARNING_NO_RENDERER_LICENSE	Ein rohes Ganzwortvorkommen; GDT737 führt rokeedy als gehaltene Form zum starken Körper okeedy.	Kein reader-exaktes Ganzwortvorkommen; H3-Form und Körperkandidat hatten keine Renderer-Lizenz; keine freie r-Bedeutung.	1	1	1	0	0	0	0	0	1	0	1	1	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0
rolkeedy	erhitztes Materialergebnis, Form II	ausgekochter Drogenrückstand	fertige Arzneidosis, Form II	gehaltene Ganzwortanalogie nach Patientenkorrektur	MATERIAL|HOT|END_STAGE|LEVEL_II	30	C0_REPAIRED_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	REPLACE_RETIRED_PATIENT	1/1 reader-exakt; GDT737 erhält für den Körper olkeedy den Kandidaten erhitztes Materialergebnis, Form II.	Die frühere Wurzelidentität ist quarantänisiert; Singleton und der gehaltene Kandidat besitzt keine automatische Renderer-Lizenz.	1	1	1	1	1	1	1	1	0	0	1	1	0	rolkeedy#GLOBAL	erhitze den Wurzelauszug vollständig	36	INHERITED_UNCHANGED	NONE	0	0	0	0	0
salkeedy	erhitzte Fertigdroge	getrocknete Fertigdroge	erhitztes Fertigsalz	formgebundene Ganzwortkarte ohne sal-Export	MATERIAL|PREPARATION|HOT|END_STAGE	60	C1_FORM_SPECIFIC_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	KEEP_GDT786_FORM_SPECIFIC	1/1 reader-exakt; GDT786 wählt die konkrete Ganzwortkarte wegen des starken keedy-Restwerts und der anschließenden Qualitätsreihe.	Singleton; weder sal noch keedy wird daraus frei exportiert und die spezifische Stoffidentität bleibt offen.	1	1	1	1	1	1	1	1	0	0	1	1	0	NONE	NONE	NONE	NONE	erhitzte Fertigdroge	0	0	0	0	0
sheokeedy	heiße Feuchtzubereitung, Endstufe	heißer Aufguss, gebrauchsfertig	gereifte Feuchtarznei	übernommene Ganzwortkarte ohne CLOSED-Komponente	MOIST|PREPARATION|HOT|END_STAGE	42	C0_SHORTENED_WHOLE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	KEEP_SHORTENED_REMOVE_CLOSE	1/1 reader-exakt; sheo ist eine starke vollständige Feuchtzubereitungskarte und der alte Ganzwortkern trägt HOT|MOIST|PREPARATION|END_STAGE.	Singleton ohne keey-Schwester oder getrennte Brücke; CLOSED hatte keine spätere unabhängige Stütze.	1	1	1	1	1	1	1	1	0	0	1	1	0	sheokeedy#GLOBAL	feucht angesetzte heiße Zubereitung am Gradende, abgeschlossen	41	INHERITED_UNCHANGED	NONE	0	0	0	0	0
sheolkeedy	feuchtes Material, heiß bis Endstufe	ausgekochte Feuchtdroge	eingeweichtes Material, pressfertig	formgebundene Kompositionshypothese; kein Komponentenexport	MOIST|MATERIAL|HOT|END_STAGE	36	C0_FORM_SPECIFIC_COMPOSITE	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	READER_EXACT_COMPLETE_WHOLE_ONLY	FORM_SPECIFIC_COMPOSITE_LEAD	1/1 reader-exakt; sheol ist eine starke vollständige Feuchtmaterialkarte; HOT|END stammt nur aus dem ausdrücklich nicht exportierbaren C0-Familienprior.	Singleton ohne exakte sheol keedy-Brücke oder keey-Schwester; keine Komponenten werden exportiert.	1	1	1	1	1	1	1	1	0	0	1	1	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0
shkakeedy	erhitzte Feuchtzubereitung, Endstufe	fertiger heißer Aufguss	eingeweichte Arzneicharge	Ganzwortprojektion aus Nachbarformen; keine Renderer-Lizenz	MOIST|PREPARATION|HOT|END_STAGE	15	C0_RAW_READER_WARNING	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	RAW_READER_WARNING_ONLY	RAW_WARNING_NO_RENDERER_LICENSE	Ein rohes Ganzwortvorkommen; benachbarte sheo-, shol- und keedy-Ganzformfamilien erlauben einen konkreten Feucht-/Wärmerivalen.	Kein reader-exaktes Ganzwortvorkommen und keine sichere innere Grenze; keine Renderer-Lizenz.	1	1	1	0	0	0	0	0	1	0	1	1	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0
shkeedy	erhitzte Feuchtform, Endstufe	gebrauchsfertiger Aufguss	gereiftes Feuchtmaterial	Ganzwortprojektion aus Nachbarformen; keine Renderer-Lizenz	MOIST|HOT|END_STAGE	16	C0_RAW_READER_WARNING	EDITORIAL_EVIDENCE_WEIGHT_NOT_FORMULA_NOT_PROBABILITY	RAW_READER_WARNING_ONLY	RAW_WARNING_NO_RENDERER_LICENSE	Ein rohes Ganzwortvorkommen; sholkeedy und sheokeedy liefern eine konkrete formgebundene Feucht-/Wärmeanalogie.	Kein reader-exaktes Ganzwortvorkommen, keine keey-Schwester und keine getrennte Brücke; keine Renderer-Lizenz.	1	1	1	0	0	0	0	0	1	0	1	1	0	NONE	NONE	NONE	NONE	NONE	0	0	0	0	0
