remainder	none_surface	none_occurrences	none_pages	none_triple_exact	e_surface	e_occurrences	e_pages	e_triple_exact	o_surface	o_occurrences	o_pages	o_triple_exact	eo_surface	eo_occurrences	eo_pages	eo_triple_exact	published_bare_cth_remainder
es	cthes	1	1	1	ecthes	0	0	0	octhes	0	0	0	eocthes	0	0	0	1
ey	cthey	38	33	32	ecthey	0	0	0	octhey	3	3	2	eocthey	0	0	0	1
l	cthl	1	1	0	ecthl	0	0	0	octhl	0	0	0	eocthl	0	0	0	1
o	ctho	18	18	8	ectho	0	0	0	octho	0	0	0	eoctho	0	0	0	1
oaiin	cthoaiin	1	1	0	ecthoaiin	0	0	0	octhoaiin	0	0	0	eocthoaiin	0	0	0	1
ochy	cthochy	1	1	1	ecthochy	0	0	0	octhochy	0	0	0	eocthochy	0	0	0	1
octhol	cthocthol	1	1	0	ecthocthol	0	0	0	octhocthol	0	0	0	eocthocthol	0	0	0	1
od	cthod	3	3	2	ecthod	0	0	0	octhod	0	0	0	eocthod	0	0	0	1
odaiin	cthodaiin	1	1	1	ecthodaiin	0	0	0	octhodaiin	0	0	0	eocthodaiin	0	0	0	1
odal	cthodal	2	2	2	ecthodal	0	0	0	octhodal	0	0	0	eocthodal	0	0	0	1
odaly	cthodaly	0	0	0	ecthodaly	0	0	0	octhodaly	1	1	1	eocthodaly	0	0	0	0
odam	cthodam	1	1	1	ecthodam	0	0	0	octhodam	0	0	0	eocthodam	0	0	0	1
odar	cthodar	1	1	1	ecthodar	0	0	0	octhodar	0	0	0	eocthodar	0	0	0	1
odd	cthodd	1	1	1	ecthodd	0	0	0	octhodd	0	0	0	eocthodd	0	0	0	1
odoaly	cthodoaly	1	1	1	ecthodoaly	0	0	0	octhodoaly	0	0	0	eocthodoaly	0	0	0	1
odol	cthodol	1	1	1	ecthodol	0	0	0	octhodol	0	0	0	eocthodol	0	0	0	1
ody	cthody	13	11	12	ecthody	0	0	0	octhody	3	3	3	eocthody	0	0	0	1
og	cthog	2	2	1	ecthog	0	0	0	octhog	0	0	0	eocthog	0	0	0	1
oiin	cthoiin	2	2	2	ecthoiin	0	0	0	octhoiin	0	0	0	eocthoiin	0	0	0	1
oj	cthoj	1	1	0	ecthoj	0	0	0	octhoj	0	0	0	eocthoj	0	0	0	1
ol	cthol	51	34	50	ecthol	0	0	0	octhol	1	1	0	eocthol	0	0	0	1
old	cthold	1	1	1	ecthold	0	0	0	octhold	0	0	0	eocthold	0	0	0	1
oldg	ctholdg	1	1	1	ectholdg	0	0	0	octholdg	0	0	0	eoctholdg	0	0	0	1
oldy	ctholdy	1	1	0	ectholdy	0	0	0	octholdy	0	0	0	eoctholdy	0	0	0	1
olo	ctholo	1	1	1	ectholo	0	0	0	octholo	0	0	0	eoctholo	0	0	0	1
ols	cthols	1	1	1	ecthols	0	0	0	octhols	0	0	0	eocthols	0	0	0	1
oly	ctholy	4	4	4	ectholy	0	0	0	octholy	0	0	0	eoctholy	0	0	0	1
om	cthom	5	5	5	ecthom	0	0	0	octhom	0	0	0	eocthom	0	0	0	1
oor	cthoor	1	1	1	ecthoor	0	0	0	octhoor	0	0	0	eocthoor	0	0	0	1
or	cthor	43	33	39	ecthor	0	0	0	octhor	3	3	1	eocthor	0	0	0	1
orchy	cthorchy	1	1	1	ecthorchy	0	0	0	octhorchy	0	0	0	eocthorchy	0	0	0	1
ororaiin	cthororaiin	1	1	0	ecthororaiin	0	0	0	octhororaiin	0	0	0	eocthororaiin	0	0	0	1
ory	cthory	2	2	2	ecthory	0	0	0	octhory	0	0	0	eocthory	0	0	0	1
os	cthos	1	1	1	ecthos	0	0	0	octhos	1	1	1	eocthos	0	0	0	1
osg	cthosg	1	1	0	ecthosg	0	0	0	octhosg	0	0	0	eocthosg	0	0	0	1
oshol	cthoshol	1	1	1	ecthoshol	0	0	0	octhoshol	0	0	0	eocthoshol	0	0	0	1
osy	cthosy	1	1	1	ecthosy	0	0	0	octhosy	0	0	0	eocthosy	0	0	0	1
s	cths	1	1	1	ecths	0	0	0	ocths	0	0	0	eocths	0	0	0	1
y	cthy	92	50	85	ecthy	0	0	0	octhy	9	9	9	eocthy	0	0	0	1
yd	cthyd	2	2	1	ecthyd	0	0	0	octhyd	0	0	0	eocthyd	0	0	0	1
yl	cthyl	0	0	0	ecthyl	0	0	0	octhyl	1	1	0	eocthyl	0	0	0	0
