case_id	page	locus	surface_clause	quality_prefix	interfix	working_reading_de	interfix_semantics	prefix_axis_relation	residual_policy
G632-C013	f112r	f112r.13	otaiin chcthy	CH	NONE	trockene CTH-Pflanzen-/Drogenmaterialform: kalt im o-Rahmen, Grad III	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C014	f112v	f112v.39	qotain chcthd	CH	NONE	trockene CTH-Materialform; Rest d offen: kalt im qo-Qualitätsrahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C015	f113v	f113v.39	qokain chcthy	CH	NONE	trockene CTH-Pflanzen-/Drogenmaterialform: heiß im qo-Qualitätsrahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C016	f116r	f116r.24	okain chcthy	CH	NONE	trockene CTH-Pflanzen-/Drogenmaterialform: heiß im o-Rahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C017	f116r	f116r.30	qokain chcthy	CH	NONE	trockene CTH-Pflanzen-/Drogenmaterialform: heiß im qo-Qualitätsrahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C018	f20v	f20v.10	chocthy chol daiin	CH	O	trockene Blatt-/Krautmaterialform: trocken, Grad III	OPEN	MATCHING_PREFIX_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C019	f44v	f44v.3	shcthy otol daiin	SH	NONE	feuchte Blatt-/Krautmaterialform: im o-Rahmen: kalt, Grad III	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C020	f44v	f44v.12	chaiin chcthy	CH	NONE	trockene Blatt-/Krautmaterialform: trocken, Grad III	OPEN	MATCHING_PREFIX_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C021	f45r	f45r.3	chcthy kchol daiin	CH	NONE	trockene Blatt-/Krautmaterialform: heiß-trocken, Grad III	OPEN	MATCHING_PREFIX_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C022	f75r	f75r.6	qokain chcthy	CH	NONE	trockene CTH-Pflanzen-/Drogenmaterialform: heiß im qo-Qualitätsrahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C023	f75r	f75r.33	qokain chcthedy	CH	NONE	trockene CTH-Materialform; Rest edy offen: heiß im qo-Qualitätsrahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C024	f77r	f77r.26	qokaiin chcthy	CH	NONE	trockene CTH-Pflanzen-/Drogenmaterialform: heiß im qo-Qualitätsrahmen, Grad III	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C025	f77v	f77v.31	qokaiin shcthy	SH	NONE	feuchte CTH-Pflanzen-/Drogenmaterialform: heiß im qo-Qualitätsrahmen, Grad III	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C026	f79v	f79v.13	qokain checthy	CH	E	trockene CTH-Pflanzen-/Drogenmaterialform: heiß im qo-Qualitätsrahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C027	f80r	f80r.14	chcthy qokain	CH	NONE	trockene CTH-Pflanzen-/Drogenmaterialform: heiß im qo-Qualitätsrahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C028	f80r	f80r.16	qokain shecthy	SH	E	feuchte CTH-Pflanzen-/Drogenmaterialform: heiß im qo-Qualitätsrahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C029	f80r	f80r.18	shecthy qokain	SH	E	feuchte CTH-Pflanzen-/Drogenmaterialform: heiß im qo-Qualitätsrahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C030	f80r	f80r.19	chcthy qokain	CH	NONE	trockene CTH-Pflanzen-/Drogenmaterialform: heiß im qo-Qualitätsrahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C031	f80r	f80r.30	chcthy qokain	CH	NONE	trockene CTH-Pflanzen-/Drogenmaterialform: heiß im qo-Qualitätsrahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C032	f80r	f80r.33	okain shecthy	SH	E	feuchte CTH-Pflanzen-/Drogenmaterialform: heiß im o-Rahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C033	f80r	f80r.40	qotain shcthy	SH	NONE	feuchte CTH-Pflanzen-/Drogenmaterialform: kalt im qo-Qualitätsrahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C034	f80r	f80r.42	checthy qokain	CH	E	trockene CTH-Pflanzen-/Drogenmaterialform: heiß im qo-Qualitätsrahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C035	f80r	f80r.42	qokain checthy	CH	E	trockene CTH-Pflanzen-/Drogenmaterialform: heiß im qo-Qualitätsrahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C036	f80r	f80r.42	checthy qokain	CH	E	trockene CTH-Pflanzen-/Drogenmaterialform: heiß im qo-Qualitätsrahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C037	f80r	f80r.44	qokain checthy	CH	E	trockene CTH-Pflanzen-/Drogenmaterialform: heiß im qo-Qualitätsrahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C038	f80v	f80v.3	qokaiin chcthy	CH	NONE	trockene CTH-Pflanzen-/Drogenmaterialform: heiß im qo-Qualitätsrahmen, Grad III	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C039	f80v	f80v.3	chcthy otaiin	CH	NONE	trockene CTH-Pflanzen-/Drogenmaterialform: kalt im o-Rahmen, Grad III	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C040	f80v	f80v.10	qokaiin shcthy	SH	NONE	feuchte CTH-Pflanzen-/Drogenmaterialform: heiß im qo-Qualitätsrahmen, Grad III	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C041	f80v	f80v.17	qokaiin shecthy	SH	E	feuchte CTH-Pflanzen-/Drogenmaterialform: heiß im qo-Qualitätsrahmen, Grad III	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C042	f81r	f81r.7	okain chcthy	CH	NONE	trockene CTH-Pflanzen-/Drogenmaterialform: heiß im o-Rahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C043	f83r	f83r.14	qokaiin shcthy	SH	NONE	feuchte CTH-Pflanzen-/Drogenmaterialform: heiß im qo-Qualitätsrahmen, Grad III	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C044	f83r	f83r.16	qokain checthy	CH	E	trockene CTH-Pflanzen-/Drogenmaterialform: heiß im qo-Qualitätsrahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C045	f83v	f83v.3	qotain chcthy	CH	NONE	trockene CTH-Pflanzen-/Drogenmaterialform: kalt im qo-Qualitätsrahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C046	f85r1	f85r1.21	okaiin cheocthey	CH	EO	trockene CTH-Materialform; Rest ey offen: heiß im o-Rahmen, Grad III	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C047	f85r1	f85r1.25	chcthdy qokaiin	CH	NONE	trockene CTH-Materialform; Rest dy offen: heiß im qo-Qualitätsrahmen, Grad III	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C048	f93r	f93r.21	shol daiin shcthy	SH	NONE	feuchte Blatt-/Krautmaterialform: feucht, Grad III	OPEN	MATCHING_PREFIX_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C049	f95v1	f95v1.12	qotaiin shcthy	SH	NONE	feuchte Blatt-/Krautmaterialform: kalt im qo-Qualitätsrahmen, Grad III	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
