field_id	record_unit_id	page	locus	statement_id	v63_parse_status	v63_primary_template	selected_source_clause	technical_rival	unsupported_nouns	status
F011	H4	f55v	f55v.5	H4-S002	AMBIGUOUS	COMPOSITE_SEQUENCE	Rühre den Auszug gleichmäßig und wasche damit die wunde Stelle.	Breitblatt-Rohstoff in Waschflotte und gebundene weiche Restfraktion aufteilen.	plant identity|plant part|medium|application site|ailment|quantity unit	COMPLETE_CREATIVE_FIELD_READING
F012	H4	f55v	f55v.11	H4-S003	UNPARSED	EXEMPLAR_ONLY	Führe die weiche Blattfraktion durch Tuch und verwahre sie getrennt.	Breitblatt-Rohstoff in Waschflotte und gebundene weiche Restfraktion aufteilen.	plant identity|plant part|medium|application site|ailment|quantity unit	COMPLETE_CREATIVE_FIELD_READING
F013	H4	f55v	f55v.11	H4-S004	AMBIGUOUS	COMPOSITE_SEQUENCE	Mische ein Maß mit Honig oder Öl zum Ansatz und gebrauche ihn frisch als Auflage.	Breitblatt-Rohstoff in Waschflotte und gebundene weiche Restfraktion aufteilen.	plant identity|plant part|medium|application site|ailment|quantity unit	COMPLETE_CREATIVE_FIELD_READING
F014	H5	f56r	f56r.5	H5-S001	AMBIGUOUS	COMPOSITE_SEQUENCE	Sammle im Frühjahr den dünnen unteren Teil des feucht wachsenden Krauts in vorgeschriebenem Maß.	Seltenes klebriges Feuchtlandmaterial in Frischcharge und mehrere trockene Teilposten zerlegen.	plant identity|plant part|medium|application site|ailment|quantity unit	COMPLETE_CREATIVE_FIELD_READING
F015	H5	f56r	f56r.7	H5-S001	AMBIGUOUS	COMPOSITE_SEQUENCE	Ziehe ihn vor voller Blüte in mildem Wein oder Wasser aus, wende den Anteil am Ziel an.	Seltenes klebriges Feuchtlandmaterial in Frischcharge und mehrere trockene Teilposten zerlegen.	plant identity|plant part|medium|application site|ailment|quantity unit	COMPLETE_CREATIVE_FIELD_READING
F016	H5	f56r	f56r.8	H5-S002	AMBIGUOUS	COMPOSITE_SEQUENCE	Vom abgebildeten Kraut selbst verwende die feuchte Frischbereitung und lasse die Auflage trocknen.	Seltenes klebriges Feuchtlandmaterial in Frischcharge und mehrere trockene Teilposten zerlegen.	plant identity|plant part|medium|application site|ailment|quantity unit	COMPLETE_CREATIVE_FIELD_READING
F017	H5	f56r	f56r.12	H5-S003	UNPARSED	EXEMPLAR_ONLY	Trenne den nächsten sichtbaren Pflanzenteil und setze daraus einen zweiten Arbeitsgang an.	Seltenes klebriges Feuchtlandmaterial in Frischcharge und mehrere trockene Teilposten zerlegen.	plant identity|plant part|medium|application site|ailment|quantity unit	COMPLETE_CREATIVE_FIELD_READING
F018	H5	f56r	f56r.13	H5-S004	UNPARSED	EXEMPLAR_ONLY	Bewahre diesen Teil als eigene kleine Fraktion auf.	Seltenes klebriges Feuchtlandmaterial in Frischcharge und mehrere trockene Teilposten zerlegen.	plant identity|plant part|medium|application site|ailment|quantity unit	COMPLETE_CREATIVE_FIELD_READING
F019	H5	f56r	f56r.18	H5-S005	UNPARSED	EXEMPLAR_ONLY	Trockne Blätter, Köpfe und Stängel getrennt für einen späteren Ansatz.	Seltenes klebriges Feuchtlandmaterial in Frischcharge und mehrere trockene Teilposten zerlegen.	plant identity|plant part|medium|application site|ailment|quantity unit	COMPLETE_CREATIVE_FIELD_READING
F020	H5	f56r	f56r.19	H5-S006	AMBIGUOUS	COMPOSITE_SEQUENCE	Wähle einen Anteil der hellen geöffneten Blüte und dosiere ihn nach dem vorgeschriebenen Maß.	Seltenes klebriges Feuchtlandmaterial in Frischcharge und mehrere trockene Teilposten zerlegen.	plant identity|plant part|medium|application site|ailment|quantity unit	COMPLETE_CREATIVE_FIELD_READING
