event_serial	page	record_unit_id	locus	field_id	statement_id	surface_display_only	joint_tuple_id	selected_exact_mnemonic	v63_event_template	v63_event_parse_status	v64_r4_local_source_expansion	expansion_source	semantic_status
19	f10r	H2	f10r.6	F003	H2-S001	qoctholy	af816c04e65874a0f2fa	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	koche es sanft	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
20	f10r	H2	f10r.6	F003	H2-S001	dy	b921a237be883a820352	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	Diese aktive Portion	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
21	f10r	H2	f10r.6	F003	H2-S001	chy	b921a237be883a820352	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	Diese aktive Portion	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
22	f10r	H2	f10r.6	F003	H2-S001	taiin	2f1c5e56e8f0ff459065	MASS?	PARAMETER_ASSIGN	UNIQUE_EXACT	Ein vorgeschriebenes Maß	V60_SELECTED_MNEMONIC	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
23	f10r	H2	f10r.6	F003	H2-S001	shy	b921a237be883a820352	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	Diese aktive Portion	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
24	f10r	H2	f10r.8	F004	H2-S002	qotchor	10488b911aae52b3b334	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	vor der Blüte gesammelt	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
25	f10r	H2	f10r.8	F004	H2-S002	chor	7a4bb8136330ee4e6e56	ANSATZ?	LINK_ACTIVE	UNIQUE_EXACT	Der aktive Ansatz	V60_SELECTED_MNEMONIC	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
26	f10r	H2	f10r.8	F004	H2-S002	otol	497cbd9c7401810ff56b	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	eine Handvoll	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
27	f10r	H2	f10r.8	F004	H2-S002	chol	dcda95c81a5460feb191	UNKNOWN	LINK_ACTIVE	UNIQUE_FORMAL_ONLY	Mit der vorigen Zubereitung weiter	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
28	f10r	H2	f10r.8	F004	H2-S002	cholor	dec401773c1f0347793d	VORIGES?	SELECT_PREVIOUS	UNIQUE_EXACT	Das Vorige wiederaufnehmen	V60_SELECTED_MNEMONIC	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
29	f10r	H2	f10r.8	F004	H2-S002	chol	dcda95c81a5460feb191	UNKNOWN	LINK_ACTIVE	UNIQUE_FORMAL_ONLY	Mit der vorigen Zubereitung weiter	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
30	f10r	H2	f10r.8	F004	H2-S002	daiin	2f1c5e56e8f0ff459065	MASS?	PARAMETER_ASSIGN	UNIQUE_CONVERGENT_CHANNELS	Ein vorgeschriebenes Maß	V60_SELECTED_MNEMONIC	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
31	f10r	H2	f10r.8	F004	H2-S002	dar	4d4559019a961b834aa1	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	Daraus, aus demselben Ansatz	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
32	f10r	H2	f10r.9	F005	H2-S003	oykchor	27d97af8c96eb056c2e6	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	wenn sich die Blüte geöffnet hat	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
33	f10r	H2	f10r.9	F005	H2-S003	shor	7a4bb8136330ee4e6e56	ANSATZ?	LINK_ACTIVE	UNIQUE_EXACT	Der aktive Ansatz	V60_SELECTED_MNEMONIC	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
34	f10r	H2	f10r.9	F005	H2-S003	chor	7a4bb8136330ee4e6e56	ANSATZ?	LINK_ACTIVE	UNIQUE_EXACT	Der aktive Ansatz	V60_SELECTED_MNEMONIC	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
35	f10r	H2	f10r.9	F005	H2-S003	chy	b921a237be883a820352	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	Diese aktive Portion	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
36	f10r	H2	f10r.9	F005	H2-S003	kaiiin	409de02322e7b2ca0c62	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	bis ein bitterer Geschmack bleibt	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
37	f10r	H2	f10r.9	F005	H2-S003	dy	b921a237be883a820352	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	Diese aktive Portion	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
38	f10r	H2	f10r.9	F005	H2-S003	chodaiin	834825c61d048a6b5628	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	bewahre diesen Anteil unter Öl	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
39	f11r	H3	f11r.1	F006	H3-S001	tshol	953ad19b79517fc8a211	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	sammle die Wurzel im Frühjahr	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
40	f11r	H3	f11r.1	F006	H3-S001	schoal	428a5e3662aa57b4b256	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	vom schattigen Waldort	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
41	f11r	H3	f11r.1	F006	H3-S001	cfhy	bdad9f9ea8b80f141496	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	bevor sich die Blütenkrone öffnet	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
42	f11r	H3	f11r.1	F006	H3-S001	shfydaiin	a8af08e69edab8e54f15	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	presse die gequetschte Wurzel durch ein Tuch	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
43	f11r	H3	f11r.1	F006	H3-S001	cphy	deb377381ceaf55ea310	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	seihe die Flüssigkeit ein zweites Mal	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
44	f11r	H3	f11r.1	F006	H3-S001	shey	b5df9126607030b95175	KLAR?	STATE_GATE	UNIQUE_EXACT	Bis die Flüssigkeit klar abläuft	V60_SELECTED_MNEMONIC	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
45	f11r	H3	f11r.1	F006	H3-S001	tchody	2e2027b1951d79911e24	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	lasse die geseihte Flüssigkeit offen abkühlen	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
46	f11r	H3	f11r.1	F007	H3-S002	shoyty	577c03a928d674d420d7	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	behalte die Blütenkrone zurück	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
47	f11r	H3	f11r.4	F008	H3-S003	dchol	d665560c8ff80799a82c	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	von diesem abgebildeten Simplex	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
48	f11r	H3	f11r.4	F008	H3-S003	chy	b921a237be883a820352	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	Diese aktive Portion	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
49	f11r	H3	f11r.4	F008	H3-S003	kchy	b2812c8283c3a62438bd	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	binde es auf die geschwollene Stelle	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
50	f11r	H3	f11r.4	F008	H3-S003	dy	b921a237be883a820352	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	Diese aktive Portion	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
51	f11r	H3	f11r.4	F008	H3-S003	daiin	2f1c5e56e8f0ff459065	MASS?	PARAMETER_ASSIGN	UNIQUE_CONVERGENT_CHANNELS	Ein vorgeschriebenes Maß	V60_SELECTED_MNEMONIC	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
52	f11r	H3	f11r.7	F009	H3-S004	qotchy	a48efd6c4491a046ba78	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	bereite aus den Blättern einen warmen Umschlag	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
53	f11r	H3	f11r.7	F009	H3-S004	okchol	322281bd391aa621f568	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	lege ihn warm auf	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
54	f11r	H3	f11r.7	F009	H3-S004	cthy	e0b630cb1b5df5e7105b	BEREIT?	STATE_GATE	UNIQUE_EXACT	Sobald die Zubereitung gebrauchsfertig ist	V60_SELECTED_MNEMONIC	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
55	f11r	H3	f11r.7	F009	H3-S004	dy	b921a237be883a820352	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	Diese aktive Portion	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
56	f55v	H4	f55v.5	F010	H4-S001	qokaiin	b5fcea1eaed06b2f2291	UNKNOWN	PARAMETER_ASSIGN	UNIQUE_FORMAL_ONLY	beginne den nächsten abgemessenen Posten	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
57	f55v	H4	f55v.5	F010	H4-S001	chaiin	2f1c5e56e8f0ff459065	MASS?	PARAMETER_ASSIGN	UNIQUE_EXACT	Ein vorgeschriebenes Maß	V60_SELECTED_MNEMONIC	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
58	f55v	H4	f55v.5	F010	H4-S001	ykain	403c1592f918c8f23b88	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	koche das breite Blatt sanft	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
59	f55v	H4	f55v.5	F010	H4-S001	ykan	d929a14ec45749b2e805	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	in Weißwein	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
60	f55v	H4	f55v.5	F010	H4-S001	ody	97cc9ac109148723c472	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	lasse es ziehen, bis die Flüssigkeit klar ist	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
61	f55v	H4	f55v.5	F011	H4-S002	daiin	2f1c5e56e8f0ff459065	MASS?	PARAMETER_ASSIGN	UNIQUE_CONVERGENT_CHANNELS	Ein vorgeschriebenes Maß	V60_SELECTED_MNEMONIC	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
62	f55v	H4	f55v.5	F011	H4-S002	chedy	6f7ff8287eddf4da9fdb	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	rühre, bis alles gleichmäßig vermischt ist	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
63	f55v	H4	f55v.5	F011	H4-S002	talam	e026af581c99322fbd46	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	wasche die wunde Stelle einmal	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
64	f55v	H4	f55v.11	F012	H4-S003	ykaiin	f7dc90b2c31fd341f0a4	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	für den zweiten Arzneigebrauch	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
65	f55v	H4	f55v.11	F012	H4-S003	cheoar	807591efc3d3f7ddbfab	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	gib Weißwein hinzu	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
66	f55v	H4	f55v.11	F012	H4-S003	cheeky	2c1a5fd92b9e3c762242	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	solange es noch warm ist	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
67	f55v	H4	f55v.11	F012	H4-S003	oldy	1b1ffdd869fb1429ad03	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	koche sanft und beende diesen Arbeitsschritt	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
68	f55v	H4	f55v.11	F013	H4-S004	aiin	2f1c5e56e8f0ff459065	MASS?	PARAMETER_ASSIGN	UNIQUE_EXACT	Ein vorgeschriebenes Maß	V60_SELECTED_MNEMONIC	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
69	f55v	H4	f55v.11	F013	H4-S004	okal	308e8ea2d5d190c498e8	UNKNOWN	TARGET_ASSIGN	UNIQUE_FORMAL_ONLY	mische beide Anteile zusammen	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
70	f55v	H4	f55v.11	F013	H4-S004	oltchy	204b04837409088c48f9	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	bewahre es in einem bedeckten Gefäß	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
71	f55v	H4	f55v.11	F013	H4-S004	or	7a4bb8136330ee4e6e56	ANSATZ?	LINK_ACTIVE	UNIQUE_EXACT	Der aktive Ansatz	V60_SELECTED_MNEMONIC	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
72	f55v	H4	f55v.11	F013	H4-S004	y	b921a237be883a820352	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	Diese aktive Portion	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
73	f55v	H4	f55v.11	F013	H4-S004	orain	6afeb5c9ab9f6cbdea0d	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	gebrauche die fertige Flüssigkeit frisch	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
74	f56r	H5	f56r.5	F014	H5-S001	chochor	b9d7b6d68209a9019e7a	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	sammle die Pflanze im Frühjahr	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
75	f56r	H5	f56r.5	F014	H5-S001	cho	2cc054357a929df85f64	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	nimm danach den folgenden Zusatz oder Pflanzenteil	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
76	f56r	H5	f56r.5	F014	H5-S001	chodaly	0ec6a45e2950e8e7061d	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	die dünne untere Wurzel	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
77	f56r	H5	f56r.5	F014	H5-S001	daiin	2f1c5e56e8f0ff459065	MASS?	PARAMETER_ASSIGN	UNIQUE_CONVERGENT_CHANNELS	Ein vorgeschriebenes Maß	V60_SELECTED_MNEMONIC	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
78	f56r	H5	f56r.7	F015	H5-S001	sho	2cc054357a929df85f64	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	nimm danach den folgenden Zusatz oder Pflanzenteil	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
79	f56r	H5	f56r.7	F015	H5-S001	kchol	893c570f3fa3fce99711	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	lasse es in Weißwein ziehen	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
80	f56r	H5	f56r.7	F015	H5-S001	otchor	10488b911aae52b3b334	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	vor der Blüte gesammelt	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
81	f56r	H5	f56r.7	F015	H5-S001	choky	276a7c2d74d1143446f4	ANWENDEN?	ACTION_APPLY	UNIQUE_EXACT	Den aktiven Anteil anwenden	V60_SELECTED_MNEMONIC	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
82	f56r	H5	f56r.7	F015	H5-S001	dal	dd0ecaf5e27d81befffc	ZIEL?	TARGET_ASSIGN	UNIQUE_EXACT	Das bezeichnete Ziel	V60_SELECTED_MNEMONIC	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
83	f56r	H5	f56r.8	F016	H5-S002	schol	d665560c8ff80799a82c	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	von diesem abgebildeten Simplex	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
84	f56r	H5	f56r.8	F016	H5-S002	choy	c10aec6d4dd877ec8bd8	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	die auf feuchter schattiger Heide wächst	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
85	f56r	H5	f56r.8	F016	H5-S002	choky	276a7c2d74d1143446f4	ANWENDEN?	ACTION_APPLY	UNIQUE_EXACT	Den aktiven Anteil anwenden	V60_SELECTED_MNEMONIC	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
86	f56r	H5	f56r.8	F016	H5-S002	cheeckhody	95987d6f198d6d247511	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	lasse das Pflaster unbedeckt trocknen	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
87	f56r	H5	f56r.12	F017	H5-S003	sh	ad3581d3144f69a5912d	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	ihren kleinen Samen- oder Knospenkopf	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
