page	locus	token_ordinal	surface	verb_de	canonical_lemma	v64_token_gloss_de	v65_token_gloss_de	action_licensed	v64_exact_form_present	v65_exact_form_present	preserved_exact_ordinal	gdt692_additional_verb_form_loss	v66_fraction_exact_form_present	v66_share_exact_form_present	v66_stage_exact_form_present	v66_class_exact_form_present
f105v	f105v.1	8	ypcheddy	trocknen	trocknen	hieraus Pulver bis zur Mittelstufe trocknen	hieraus Pulver bis zur Mittelstufe trocknen	1	1	1	1	0	1	1	1	1
f105v	f105v.14	3	qokaiir	nimm	nehmen	nimm die dritte erhitzte Drogenfraktion	nimm die heiße Drogenfraktion III	1	1	1	1	0	1	1	1	1
f105v	f105v.14	8	odar	abmessen	abmessen	erste Ansatzfraktion abmessen	Fraktion I des Ansatzes abmessen	1	1	1	1	0	1	1	1	1
f105v	f105v.14	10	chtchy	trocknen	trocknen	Droge kalt trocknen und leicht nachtrocknen	Droge kalt trocknen und leicht nachtrocknen	1	1	1	1	0	1	1	1	1
f105v	f105v.14	10	chtchy	nachtrocknen	nachtrocknen	Droge kalt trocknen und leicht nachtrocknen	Droge kalt trocknen und leicht nachtrocknen	1	1	1	1	0	1	1	1	1
f106r	f106r.23	2	qckhedy	aufbereiten	aufbereiten	das Arzneikompositum bis zur Mittelstufe aufbereiten	das Arzneikompositum bis zur Mittelstufe aufbereiten	1	1	1	1	0	1	1	1	1
f107r	f107r.2	1	dchey	trocknen	trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	1	1	1	1	0	1	1	1	1
f107r	f107r.2	2	qoteos	nehmen	nehmen	eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen	eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen	1	1	1	1	0	1	1	1	1
f107r	f107r.2	6	qor	nimm	nehmen	nimm eine Drogenportion	nimm eine Drogenportion	1	1	1	1	0	1	1	1	1
f107r	f107r.2	12	qeeey	führen	führen	die vorstehende Behandlung bis zur letzten Stufe führen und abschließen	die vorstehende Behandlung bis zur letzten Stufe führen und abschließen	1	1	1	1	0	1	1	1	1
f107r	f107r.2	12	qeeey	abschließen	abschließen	die vorstehende Behandlung bis zur letzten Stufe führen und abschließen	die vorstehende Behandlung bis zur letzten Stufe führen und abschließen	1	1	1	1	0	1	1	1	1
f10r	f10r.2	1	dchey	trocknen	trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	1	1	1	1	0	1	1	1	1
f113v	f113v.17	7	yteeeor	abkühlen	abkühlen	hiervon eine Portion bis zur letzten Stufe abkühlen	hiervon eine Portion bis zur letzten Stufe abkühlen	1	1	1	1	0	1	1	1	1
f114r	f114r.26	1	ycheeodaiin	abmessen	abmessen	hiervon drei Dosen des zweiten Trockenansatzes abmessen	hiervon drei Dosen des zweiten Trockenansatzes abmessen	1	1	1	1	0	1	1	1	1
f114v	f114v.36	6	qopchol	nimm	nehmen	nimm getrockneten Pulverstoff	nimm getrockneten Pulverstoff	1	1	1	1	0	1	1	1	1
f114v	f114v.36	7	qopaiin	nehmen	nehmen	drei Teile Pulverzubereitung nehmen	drei Teile Pulverzubereitung nehmen	1	1	1	1	0	1	1	1	1
f115r	f115r.1	1	fdar	abmessen	abmessen	erste Blütenfraktion abmessen	erste Blütenfraktion abmessen	1	1	1	1	0	1	1	1	1
f115r	f115r.1	2	qopchol	nimm	nehmen	nimm getrockneten Pulverstoff	nimm getrockneten Pulverstoff	1	1	1	1	0	1	1	1	1
f115r	f115r.1	3	qochedain	abmessen	abmessen	zwei Dosen bis zur Mittelstufe getrocknetes Gut abmessen	zwei Dosen bis zur Mittelstufe getrocknetes Gut abmessen	1	1	1	1	0	1	1	1	1
f115r	f115r.23	1	dchey	trocknen	trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	1	1	1	1	0	1	1	1	1
f115r	f115r.23	3	qokeod	bereiten	bereiten	heißen Auszug bereiten und abschließen	heißen Auszug bereiten und abschließen	1	1	1	1	0	1	1	1	1
f115r	f115r.23	3	qokeod	abschließen	abschließen	heißen Auszug bereiten und abschließen	heißen Auszug bereiten und abschließen	1	1	1	1	0	1	1	1	1
f115r	f115r.23	5	qokcho	erhitze	erhitzen	erhitze, trockne und setze an	erhitze, trockne und setze an	1	1	1	1	0	1	1	1	1
f115r	f115r.23	5	qokcho	trockne	trocknen	erhitze, trockne und setze an	erhitze, trockne und setze an	1	1	1	1	0	1	1	1	1
f115r	f115r.23	5	qokcho	setze an	ansetzen	erhitze, trockne und setze an	erhitze, trockne und setze an	1	1	1	1	0	1	1	1	1
f116r	f116r.12	1	qoin	nehmen	nehmen	zweiten Ansatz nehmen	zweiten Ansatz nehmen	1	1	1	1	0	1	1	1	1
f116r	f116r.12	9	olchdy	trocknen	trocknen	Holz im Ansatz fertig getrocknet	Holz im Ansatz fertig getrocknet	1	0	0	1	0	0	0	0	0
f23r	f23r.6	5	yky	erhitzen	erhitzen	hierzu leicht erhitzen	hierzu leicht erhitzen	1	1	1	1	0	1	1	1	1
f23r	f23r.6	11	ytcho	herstellen	herstellen	hieraus eine kalte Trockenmischung herstellen	hieraus eine kalte Trockenmischung herstellen	1	1	1	1	0	1	1	1	1
f23r	f23r.6	12	ldals	abmessen	abmessen	eine Charge Holzrohstoff I abmessen	eine Charge Holzrohstoff I abmessen	1	1	1	1	0	1	1	1	1
f24v	f24v.15	1	dchey	trocknen	trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	1	1	1	1	0	1	1	1	1
f26r	f26r.2	4	ykecthey	erhitzen	erhitzen	hiervon Krautdroge bis zur Mittelstufe erhitzen und abschließen	hiervon Krautdroge bis zur Mittelstufe erhitzen und abschließen	1	1	1	1	0	1	1	1	1
f26r	f26r.2	4	ykecthey	abschließen	abschließen	hiervon Krautdroge bis zur Mittelstufe erhitzen und abschließen	hiervon Krautdroge bis zur Mittelstufe erhitzen und abschließen	1	1	1	1	0	1	1	1	1
f26r	f26r.2	6	ytedy	abkühlen	abkühlen	hiervon bis zur Mittelstufe abkühlen und abschließen	hiervon bis zur Mittelstufe abkühlen und abschließen	1	1	1	1	0	1	1	1	1
f26r	f26r.2	8	checthedy	trocknen	trocknen	Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen	Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen	1	1	1	1	0	1	1	1	1
f27r	f27r.9	1	dchey	trocknen	trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	1	1	1	1	0	1	1	1	1
f30r	f30r.9	1	dchey	trocknen	trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	1	1	1	1	0	1	1	1	1
f30r	f30r.9	2	qochar	nehmen	nehmen	erste Trockenfraktion nehmen	erste Trockenfraktion nehmen	1	1	1	1	0	1	1	1	1
f30r	f30r.9	5	chcthey	trocknen	trocknen	Krautdroge bis zur mittleren Stufe trocknen	Krautdroge bis zur mittleren Stufe trocknen	1	1	1	1	0	1	1	1	1
f30r	f30r.9	7	cheky	erhitzen	erhitzen	bis zur mittleren Trockenstufe, dann leicht erhitzen	bis zur mittleren Trockenstufe, dann leicht erhitzen	1	1	1	1	0	1	1	1	1
f49r	f49r.16	1	qocho	nehmen	nehmen	getrocknete Droge nehmen	getrocknete Droge nehmen	1	1	1	1	0	1	1	1	1
f49r	f49r.16	4	qotchody	abkühlen	abkühlen	abkühlen, bis zur Mittelstufe trocknen und neu ansetzen	abkühlen, bis zur Mittelstufe trocknen und neu ansetzen	1	1	1	1	0	1	1	1	1
f49r	f49r.16	4	qotchody	trocknen	trocknen	abkühlen, bis zur Mittelstufe trocknen und neu ansetzen	abkühlen, bis zur Mittelstufe trocknen und neu ansetzen	1	1	1	1	0	1	1	1	1
f49r	f49r.16	4	qotchody	ansetzen	ansetzen	abkühlen, bis zur Mittelstufe trocknen und neu ansetzen	abkühlen, bis zur Mittelstufe trocknen und neu ansetzen	1	1	1	1	0	1	1	1	1
f56r	f56r.6	1	ykcho	bereiten	bereiten	hieraus eine warme Trockenmischung bereiten	hieraus eine warme Trockenmischung bereiten	1	1	1	1	0	1	1	1	1
f75r	f75r.3	4	qey	nehmen	nehmen	die vorstehende Mittelstufenportion anschließend nehmen	die vorstehende Mittelstufenportion anschließend nehmen	1	1	1	1	0	1	1	1	1
f75r	f75r.3	6	sheeky	einweichen	einweichen	vollständig einweichen, erhitzen und abschließen	vollständig einweichen, erhitzen und abschließen	1	1	1	1	0	1	1	1	1
f75r	f75r.3	6	sheeky	erhitzen	erhitzen	vollständig einweichen, erhitzen und abschließen	vollständig einweichen, erhitzen und abschließen	1	1	1	1	0	1	1	1	1
f75r	f75r.3	6	sheeky	abschließen	abschließen	vollständig einweichen, erhitzen und abschließen	vollständig einweichen, erhitzen und abschließen	1	1	1	1	0	1	1	1	1
f76v	f76v.10	1	cphdor	abmessen	abmessen	eine Portion Arzneikompositum abmessen	eine Portion Arzneikompositum abmessen	1	1	1	1	0	1	1	1	1
f76v	f76v.10	3	qopchdy	nehmen	nehmen	fertig getrocknetes Pulver nehmen	fertig getrocknetes Pulver nehmen	1	1	1	1	0	1	1	1	1
f76v	f76v.10	4	dshedy	einweichen	einweichen	bis zur Mittelstufe angefeuchtete Drogenportion	bis zur Mittelstufe angefeuchtete Drogenportion	1	0	0	1	0	0	0	0	0
f77r	f77r.38	3	qoeedy	nehmen	nehmen	nimm die Endportion hinzu	nimm die Endportion hinzu	1	0	0	1	0	0	0	0	0
f77r	f77r.38	6	qol	zugeben	zugeben	Drogenstoff zugeben	Drogenstoff zugeben	1	1	1	1	0	1	1	1	1
f77r	f77r.38	9	qol	zugeben	zugeben	Drogenstoff zugeben	Drogenstoff zugeben	1	1	1	1	0	1	1	1	1
f77v	f77v.7	2	qolsheedy	zugeben	zugeben	vollständig eingeweichten Drogenstoff zugeben und abschließen	vollständig eingeweichten Drogenstoff zugeben und abschließen	1	1	1	1	0	1	1	1	1
f77v	f77v.7	3	qy	nehmen	nehmen	hiervon nehmen	hiervon nehmen	1	1	1	1	0	1	1	1	1
f77v	f77v.7	5	ycheedy	trocknen	trocknen	hiervon bis zur Endstufe trocknen	hiervon bis zur Endstufe trocknen	1	1	1	1	0	1	1	1	1
f77v	f77v.7	11	qolky	hinzugeben	hinzugeben	leicht erhitzten Drogenstoff hinzugeben	leicht erhitzten Drogenstoff hinzugeben	1	1	1	1	0	1	1	1	1
f7r	f7r.2	1	dcheey	trocknen	trocknen	eine Dosis vollständig trocknen und abschließen	eine Dosis vollständig trocknen und abschließen	1	1	1	1	0	1	1	1	1
f7r	f7r.2	1	dcheey	abschließen	abschließen	eine Dosis vollständig trocknen und abschließen	eine Dosis vollständig trocknen und abschließen	1	1	1	1	0	1	1	1	1
f7r	f7r.2	5	dold	abmessen	abmessen	Drogenstoff abmessen und abschließen	Drogenstoff abmessen und abschließen	1	1	1	1	0	1	1	1	1
f7r	f7r.2	5	dold	abschließen	abschließen	Drogenstoff abmessen und abschließen	Drogenstoff abmessen und abschließen	1	1	1	1	0	1	1	1	1
f80r	f80r.17	3	sheky	einweichen	einweichen	bis zur Mittelstufe einweichen, erhitzen und abschließen	bis zur Mittelstufe einweichen, erhitzen und abschließen	1	1	1	1	0	1	1	1	1
f80r	f80r.17	3	sheky	erhitzen	erhitzen	bis zur Mittelstufe einweichen, erhitzen und abschließen	bis zur Mittelstufe einweichen, erhitzen und abschließen	1	1	1	1	0	1	1	1	1
f80r	f80r.17	3	sheky	abschließen	abschließen	bis zur Mittelstufe einweichen, erhitzen und abschließen	bis zur Mittelstufe einweichen, erhitzen und abschließen	1	1	1	1	0	1	1	1	1
f80r	f80r.17	6	sheky	einweichen	einweichen	bis zur Mittelstufe einweichen, erhitzen und abschließen	bis zur Mittelstufe einweichen, erhitzen und abschließen	1	1	1	1	0	1	1	1	1
f80r	f80r.17	6	sheky	erhitzen	erhitzen	bis zur Mittelstufe einweichen, erhitzen und abschließen	bis zur Mittelstufe einweichen, erhitzen und abschließen	1	1	1	1	0	1	1	1	1
f80r	f80r.17	6	sheky	abschließen	abschließen	bis zur Mittelstufe einweichen, erhitzen und abschließen	bis zur Mittelstufe einweichen, erhitzen und abschließen	1	1	1	1	0	1	1	1	1
f80r	f80r.17	7	chetain	trocknen	trocknen	bis Mittelstufe trocknen, dann auf Kühlstufe II bringen	bis Mittelstufe trocknen, dann auf Kühlstufe II bringen	1	1	1	1	0	1	1	1	1
f80r	f80r.17	7	chetain	bringen	bringen	bis Mittelstufe trocknen, dann auf Kühlstufe II bringen	bis Mittelstufe trocknen, dann auf Kühlstufe II bringen	1	1	1	1	0	1	1	1	1
f80r	f80r.17	11	sheky	einweichen	einweichen	bis zur Mittelstufe einweichen, erhitzen und abschließen	bis zur Mittelstufe einweichen, erhitzen und abschließen	1	1	1	1	0	1	1	1	1
f80r	f80r.17	11	sheky	erhitzen	erhitzen	bis zur Mittelstufe einweichen, erhitzen und abschließen	bis zur Mittelstufe einweichen, erhitzen und abschließen	1	1	1	1	0	1	1	1	1
f80r	f80r.17	11	sheky	abschließen	abschließen	bis zur Mittelstufe einweichen, erhitzen und abschließen	bis zur Mittelstufe einweichen, erhitzen und abschließen	1	1	1	1	0	1	1	1	1
f80r	f80r.17	13	da	abmessen	abmessen	eine Teilmenge abmessen	eine Teilmenge abmessen	1	1	1	1	0	1	1	1	1
f80v	f80v.35	5	qol	zugeben	zugeben	Drogenstoff zugeben	Drogenstoff zugeben	1	1	1	1	0	1	1	1	1
f80v	f80v.35	6	qol	zugeben	zugeben	Drogenstoff zugeben	Drogenstoff zugeben	1	1	1	1	0	1	1	1	1
f83v	f83v.12	4	lldar	abmessen	abmessen	erste Holzfraktion abmessen	erste Holzfraktion abmessen	1	1	1	1	0	1	1	1	1
f86v3	f86v3.13	3	tcheody	abkühlen	abkühlen	abkühlen, bis zur Mittelstufe trocknen und ansetzen	abkühlen, bis zur Mittelstufe trocknen und ansetzen	1	1	1	1	0	1	1	1	1
f86v3	f86v3.13	3	tcheody	trocknen	trocknen	abkühlen, bis zur Mittelstufe trocknen und ansetzen	abkühlen, bis zur Mittelstufe trocknen und ansetzen	1	1	1	1	0	1	1	1	1
f86v3	f86v3.13	3	tcheody	ansetzen	ansetzen	abkühlen, bis zur Mittelstufe trocknen und ansetzen	abkühlen, bis zur Mittelstufe trocknen und ansetzen	1	1	1	1	0	1	1	1	1
f86v3	f86v3.13	10	qokady	erhitzen	erhitzen	einen gleichen Teil erhitzen	einen gleichen Teil erhitzen	1	1	1	1	0	1	1	1	1
f86v3	f86v3.18	4	qopchol	nimm	nehmen	nimm getrockneten Pulverstoff	nimm getrockneten Pulverstoff	1	1	1	1	0	1	1	1	1
f86v3	f86v3.19	1	dchey	trocknen	trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	1	1	1	1	0	1	1	1	1
f86v3	f86v3.19	3	olkechy	erhitzen	erhitzen	Holzansatz mäßig erhitzen, trocknen und abschließen	Holzansatz mäßig erhitzen, trocknen und abschließen	1	1	1	1	0	1	1	1	1
f86v3	f86v3.19	3	olkechy	trocknen	trocknen	Holzansatz mäßig erhitzen, trocknen und abschließen	Holzansatz mäßig erhitzen, trocknen und abschließen	1	1	1	1	0	1	1	1	1
f86v3	f86v3.19	3	olkechy	abschließen	abschließen	Holzansatz mäßig erhitzen, trocknen und abschließen	Holzansatz mäßig erhitzen, trocknen und abschließen	1	1	1	1	0	1	1	1	1
f86v3	f86v3.19	4	qokam	nimm	nehmen	nimm ein Maß und erhitze es	nimm ein Maß und erhitze es	1	1	1	1	0	1	1	1	1
f86v3	f86v3.19	4	qokam	erhitze	erhitzen	nimm ein Maß und erhitze es	nimm ein Maß und erhitze es	1	1	1	1	0	1	1	1	1
f86v5	f86v5.2	7	qopchol	nimm	nehmen	nimm getrockneten Pulverstoff	nimm getrockneten Pulverstoff	1	1	1	1	0	1	1	1	1
f86v5	f86v5.2	10	ytol	kühle hiervon den Drogenstoff ab	abkühlen	kühle hiervon den Drogenstoff ab	kühle hiervon den Drogenstoff ab	1	1	1	1	0	1	1	1	1
f86v5	f86v5.24	3	ykain	erhitze	erhitzen	erhitze hiervon auf Stufe II	erhitze hiervon auf Stufe II	1	1	1	1	0	1	1	1	1
f86v5	f86v5.4	1	ypchesy	trocknen	trocknen	hiervon Samenpulver bis zur Mittelstufe trocknen	hiervon Samenpulver bis zur Mittelstufe trocknen	1	1	1	1	0	1	1	1	1
f86v6	f86v6.25	1	yteedy	abkühlen	abkühlen	hiervon bis zur Endstufe abkühlen	hiervon bis zur Endstufe abkühlen	1	1	1	1	0	1	1	1	1
f86v6	f86v6.25	4	qodar	abmessen	abmessen	die erste Ansatzfraktion abmessen	Fraktion I abmessen	1	1	1	1	0	1	1	1	1
f86v6	f86v6.25	5	ykaiin	erhitze	erhitzen	erhitze hiervon auf Stufe III	erhitze hiervon auf Stufe III	1	1	1	1	0	1	1	1	1
f86v6	f86v6.31	10	otytam	nehmen	nehmen	aus dem Kaltansatz ein Maß nehmen und erneut kühlen	aus dem Kaltansatz ein Maß nehmen und erneut kühlen	1	1	1	1	0	1	1	1	1
f86v6	f86v6.31	10	otytam	kühlen	kühlen	aus dem Kaltansatz ein Maß nehmen und erneut kühlen	aus dem Kaltansatz ein Maß nehmen und erneut kühlen	1	1	1	1	0	1	1	1	1
f88r	f88r.19	1	dchey	trocknen	trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	1	1	1	1	0	1	1	1	1
f88r	f88r.19	4	qoekol	zugeben	zugeben	heißen Drogenstoff der Mittelstufe zugeben	heißen Drogenstoff der Mittelstufe zugeben	1	1	1	1	0	1	1	1	1
f88r	f88r.19	5	qoekol	zugeben	zugeben	heißen Drogenstoff der Mittelstufe zugeben	heißen Drogenstoff der Mittelstufe zugeben	1	1	1	1	0	1	1	1	1
f88r	f88r.19	6	qockhol	zugeben	zugeben	Drogenstoff aus Arzneikompositum zugeben	Drogenstoff aus Arzneikompositum zugeben	1	1	1	1	0	1	1	1	1
f8r	f8r.15	1	dchey	trocknen	trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	1	1	1	1	0	1	1	1	1
