component	selected_value_de	event_id	page	statement_id	owner_de	surface	component_recipe	role_test	full_statement_de
K	ZUGEBEN	E096	f56r	H5-S005	abgebildete mehrköpfige stachelige Pflanze	kchoar	K+HO+AR	join active mixture	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat bereiten, den laufenden Posten ansetzen und die Zutat aus der Quelle zugeben; danach eine Portion in den Arbeitsgang nehmen.
K	ZUGEBEN	E099	f56r	H5-S006	abgebildete mehrköpfige stachelige Pflanze	keol	K+E+OL	join active mixture	Bei der mehrkoepfigen stacheligen Pflanze: Danach den laufenden Posten kurz weiter zugeben, bis das Sollmass erreicht ist.
K	ZUGEBEN	E103	f81v	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	kair	K+AIR	join active mixture	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und die laufende Fluessigkeit zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
K	ZUGEBEN	E107	f81v	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	kain	K+AIN	join active mixture	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und die laufende Fluessigkeit zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
K	ZUGEBEN	E108	f81v	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	olkain	OL+K+AIN	join active mixture	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und die laufende Fluessigkeit zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
L	LEITEN	E112	f81v	B1-S002	gemeinsame zweireihige Figuren-/Beckenstation	dl	L	move along path	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und die laufende Fluessigkeit zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
K	ZUGEBEN	E122	f81v	B1-S003	gemeinsame zweireihige Figuren-/Beckenstation	sshkchdy	SH+K+CHD+DY	join active mixture	Am gemeinsamen zweireihigen Becken: Weiterarbeiten; dann halten, zugeben und umsetzen; den Schritt schliessen.
L	LEITEN	E129	f81v	B1-S006	gemeinsame zweireihige Figuren-/Beckenstation	dl	L	move along path	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann leiten; dann zur Zielstelle kuehlen.
L	LEITEN	E147	f81v	B1-S014	gemeinsame zweireihige Figuren-/Beckenstation	lchedal	L+CHD+AL	move along path	Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und an der Sammelstelle halten; zur Zielstelle leiten und umsetzen, dort weiterarbeiten und danach zur Quelle wechseln.
L	LEITEN	E159	f81v	B1-S018	gemeinsame zweireihige Figuren-/Beckenstation	ly	L+Y	move along path	Am gemeinsamen zweireihigen Becken: Den laufenden Posten leiten; dann kurz weiter halten; dann im Arbeitsgang bis zur Stufe; dann laenger an der Sammelstelle halten; den Schritt schliessen.
L	LEITEN	E173	f82r	B2-S004	oberes Beckenpaar mit Zylinder	lcheckhy	L+CKH+Y	move along path	An den oberen Paarbecken mit Zylinder: An der Zielstelle ansetzen; den Posten durch den Durchlass leiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass leiten und schliessen.
L	LEITEN	E174	f82r	B2-S004	oberes Beckenpaar mit Zylinder	lched	L+CHD	move along path	An den oberen Paarbecken mit Zylinder: An der Zielstelle ansetzen; den Posten durch den Durchlass leiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass leiten und schliessen.
L	LEITEN	E176	f82r	B2-S004	oberes Beckenpaar mit Zylinder	lcheckhedy	L+CKH+E+DY	move along path	An den oberen Paarbecken mit Zylinder: An der Zielstelle ansetzen; den Posten durch den Durchlass leiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass leiten und schliessen.
L	LEITEN	E184	f82r	B2-S005	oberes Beckenpaar mit Zylinder	ldy	L+DY	move along path	An den oberen Paarbecken mit Zylinder: Den Posten an der Zielstelle ansetzen und bis zum Sollmass an der Sammelstelle halten. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft weiterarbeiten, laenger erwaermen, leiten und schliessen.
L	LEITEN	E202	f82r	B2-S012	mittlere rechte unklare Station	lchy	L+CH+Y	move along path	An der rechten unklaren Mittelstation und am unteren gruenen Figurenbecken: Den Posten leiten und entnehmen; laenger halten, kurz bereitet halten, laenger ansetzen und laenger leiten; nach Sollmass beibehalten, vollstaendig ansetzen und schliessen.
L	LEITEN	E206	f82r	B2-S012	unteres grünes Mehrfigurenbecken	lcheey	L+EE+Y	move along path	An der rechten unklaren Mittelstation und am unteren gruenen Figurenbecken: Den Posten leiten und entnehmen; laenger halten, kurz bereitet halten, laenger ansetzen und laenger leiten; nach Sollmass beibehalten, vollstaendig ansetzen und schliessen.
L	LEITEN	E210	f82r	B2-S013	unteres grünes Mehrfigurenbecken	lchedy	L+CHD+DY	move along path	Am unteren gruenen Figurenbecken: Leiten und umsetzen; den Schritt schliessen.
L	LEITEN	E211	f82r	B2-S014	unteres grünes Mehrfigurenbecken	lar	L+AR	move along path	Am unteren gruenen Figurenbecken: Aus der Quelle leiten.
L	LEITEN	E215	f82r	B2-S016	kleine Randstationen des unteren Beckens	lchedar	L+CHD+AR	move along path	An den Randstationen des unteren Beckens: An der Zielstelle aus der Quelle leiten und umsetzen. Kurz eine Probe entnehmen; nach Sollmass den naechsten Posten laenger fuehren, nach Sollmass und kurz ansetzen, einfuellen, umsetzen und schliessen.
P	EINBRINGEN	E221	f82r	B2-S016	kleine Randstationen des unteren Beckens	pchedy	P+CHD+DY	move inward to receiver or work site	An den Randstationen des unteren Beckens: An der Zielstelle aus der Quelle leiten und umsetzen. Kurz eine Probe entnehmen; nach Sollmass den naechsten Posten laenger fuehren, nach Sollmass und kurz ansetzen, einfuellen, umsetzen und schliessen.
L	LEITEN	E228	f82r	B2-S022	kleine Randstationen des unteren Beckens	lochedy	L+O+CHD+DY	move along path	An den Randstationen des unteren Beckens: Im Arbeitsgang leiten und umsetzen; den Schritt schliessen.
L	LEITEN	E235	f83r	B3-S003	obere offene Fächerstation am Rand	lchedy	L+CHD+DY	move along path	An der oberen offenen Faecherstation: Den laufenden Posten nach Sollmass beibehalten, anschliessend leiten und umsetzen, dann schliessen.
L	LEITEN	E246	f83r	B3-S008	mittlere Randfigur im runden Gefäß	lchedy	L+CHD+DY	move along path	Am runden Mittelgefaess: Leiten und umsetzen; den Schritt schliessen.
P	EINBRINGEN	E248	f83r	B3-S010	untere Randfigur im korbartigen Gefäß	pchedal	P+CHD+AL	move inward to receiver or work site	Am unteren Korbgefaess: An der Zielstelle einfuellen und umsetzen; danach den kurzen Folgeschritt schliessen.
K	ZUGEBEN	E257	f83r	B3-S013	untere Randfigur im korbartigen Gefäß	chkain	K+AIN	join active mixture	Am unteren Korbgefaess: Nach Sollmass ansetzen; dann als Portion zugeben; dann kurz den laufenden Posten bereitet halten; dann kurz ansetzen; den Schritt schliessen.
L	LEITEN	E262	f83r	B3-S015	untere Randfigur im korbartigen Gefäß	lchedy	L+CHD+DY	move along path	Am unteren Korbgefaess: Leiten und umsetzen; den Schritt schliessen.
L	LEITEN	E263	f83r	B3-S016	untere Randfigur im korbartigen Gefäß	lo	L+O	move along path	Am unteren Korbgefaess und im bildlich unverbundenen Zwischenabschnitt: Im Arbeitsgang leiten; dann ansetzen und umsetzen; den Schritt schliessen.
L	LEITEN	E269	f83r	B3-S020	unverbundener Zwischenbereich	lchedy	L+CHD+DY	move along path	Im bildlich unverbundenen Zwischenabschnitt: An der Zielstelle leiten, umsetzen und den Schritt schliessen.
L	LEITEN	E282	f83r	B3-S023	unverbundener Zwischenbereich	lchedy	L+CHD+DY	move along path	Im bildlich unverbundenen Zwischenabschnitt: Leiten und umsetzen; den Schritt schliessen.
L	LEITEN	E286	f83r	B3-S026	unverbundener Zwischenbereich	chldaiin	L+AIIN	move along path	Im bildlich unverbundenen Zwischenabschnitt und am durch den Bogen verbundenen Hauptpaar: Laenger aus der Quelle arbeiten; nach Sollmass leiten, den Posten umsetzen, eine Portion ansetzen und bereitet halten; den Ansatz an der Zielstelle kuehlen, laenger an der Sammelstelle halten und schliessen.
L	LEITEN	E308	f83r	B3-S033	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	ldy	L+DY	move along path	Am durch den Bogen verbundenen Hauptpaar: Leiten; den Schritt schliessen.
K	ZUGEBEN	E344	f83r	B4-S011	linke Hauptstation mit offenem Fransenlauf	lkedy	L+K+E+DY	join active mixture	An der linken offenen Randstation: Nach Sollmass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, weiterarbeiten, kurz leiten und zugeben, dann schliessen.
L	LEITEN	E344	f83r	B4-S011	linke Hauptstation mit offenem Fransenlauf	lkedy	L+K+E+DY	move along path	An der linken offenen Randstation: Nach Sollmass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, weiterarbeiten, kurz leiten und zugeben, dann schliessen.
L	LEITEN	E345	f83r	B4-S012	linke Hauptstation mit offenem Fransenlauf	lchedy	L+CHD+DY	move along path	An der linken offenen Randstation: Leiten und umsetzen; den Schritt schliessen.
K	ZUGEBEN	E354	f83r	B4-S015	linke Hauptstation mit offenem Fransenlauf	kain	K+AIN	join active mixture	An der linken offenen Randstation und an der rechten S-Lauf-Mehrfachstation: Eine Portion ansetzen, den Posten laenger halten, eine Portion zugeben, durch den Durchlass an der Zielstelle entnehmen, kurz an der Sammelstelle halten, leiten, umsetzen und schliessen.
L	LEITEN	E357	f83r	B4-S015	rechte Hauptstation mit S-Lauf und Mehrarmknoten	lchedy	L+CHD+DY	move along path	An der linken offenen Randstation und an der rechten S-Lauf-Mehrfachstation: Eine Portion ansetzen, den Posten laenger halten, eine Portion zugeben, durch den Durchlass an der Zielstelle entnehmen, kurz an der Sammelstelle halten, leiten, umsetzen und schliessen.
K	ZUGEBEN	E358	f83r	B4-S016	rechte Hauptstation mit S-Lauf und Mehrarmknoten	qolkain	OL+K+AIN	join active mixture	An der rechten S-Lauf-Mehrfachstation: Eine Portion weiter zugeben, an der Zielstelle aus der Quelle nachzugeben, stehen lassen und schliessen.
K	ZUGEBEN	E360	f83r	B4-S016	rechte Hauptstation mit S-Lauf und Mehrarmknoten	skar	K+AR	join active mixture	An der rechten S-Lauf-Mehrfachstation: Eine Portion weiter zugeben, an der Zielstelle aus der Quelle nachzugeben, stehen lassen und schliessen.
L	LEITEN	E367	f83r	B5-S003	linke Fransenstation im B5-Nachtrag	lol	L+OL	move along path	An der linken offenen Nebenstation: An der Zielstelle stehen lassen und dort weiterarbeiten; leiten und weiterarbeiten, an der Zielstelle umsetzen, nach Sollmass weiterarbeiten, bis zur zweiten Stufe fuehren und den Posten umsetzen.
K	ZUGEBEN	E374	f83r	B6-S001	rechter S-Lauf im B6-Nachtrag	qekey	E+K+E+Y	join active mixture	An der rechten S-Lauf-Nebenstation: Den Posten laenger an der Sammelstelle halten, kurz zugeben, an der Zielstelle kuehlen, nach Sollmass weiterarbeiten, eine Portion nehmen und den Ansatz zur Zielstelle leiten.
L	LEITEN	E381	f83r	B6-S001	rechter S-Lauf im B6-Nachtrag	ldalor	L+AL+OR	move along path	An der rechten S-Lauf-Nebenstation: Den Posten laenger an der Sammelstelle halten, kurz zugeben, an der Zielstelle kuehlen, nach Sollmass weiterarbeiten, eine Portion nehmen und den Ansatz zur Zielstelle leiten.
