word	count	h12	h12_collision_size	line_first	line_last	mean_line_position	P_running	L_label	C_circle	R_radius	section_H	section_S	section_B	section_P	section_Z	section_C	section_A	section_T	currier_A	currier_B
chear	51	eara	5	0	2	0.5125	47	0	4	0	15	18	4	5	0	4	1	4	22	25
cthey	51	thea	4	2	6	0.5474	49	0	2	0	31	4	2	10	2	0	1	1	37	11
sor	51	sura	3	31	2	0.2169	50	0	1	0	18	7	16	4	0	2	2	2	20	28
qokchdy	51	ugada	18	3	1	0.5099	49	0	0	2	15	15	10	0	0	1	2	8	0	49
ody	50	uda	17	1	11	0.6137	43	1	5	1	24	5	4	5	2	5	0	5	14	30
qokeol	50	ugeula	9	4	1	0.4813	50	0	0	0	8	14	1	25	0	1	1	0	34	15
chal	49	ala	11	1	7	0.5449	47	0	2	0	7	27	6	1	2	2	0	4	15	30
sheo	49	mea	7	1	0	0.4370	44	0	5	0	18	18	0	6	3	2	1	1	22	22
sal	49	sala	5	12	11	0.5006	42	1	5	1	10	7	15	4	3	3	3	4	13	27
sheody	49	meuda	3	1	2	0.4626	45	0	4	0	15	15	0	8	1	5	1	4	14	30
opchedy	49	upeda	5	0	2	0.5564	48	0	1	0	4	26	13	0	0	2	0	4	0	49
lchey	49	lea	4	3	7	0.4902	49	0	0	0	4	17	21	2	0	0	0	5	2	47
chaiin	48	ena	4	0	10	0.5658	48	0	0	0	39	8	0	0	0	0	0	1	38	10
otam	48	uta	20	1	28	0.8580	45	1	2	0	14	18	2	1	3	2	0	8	7	38
checkhy	48	ekha	2	0	1	0.5151	48	0	0	0	8	16	21	1	0	1	0	1	2	46
lkaiin	48	lagena	1	1	3	0.5351	48	0	0	0	0	39	5	0	0	0	0	4	0	48
tol	47	tula	7	27	1	0.2373	45	1	1	0	17	7	9	4	0	7	1	2	20	22
sheor	47	meura	1	5	0	0.3655	46	0	1	0	13	10	11	10	0	1	0	2	23	24
aiiin	47	eina	2	0	3	0.5691	45	0	2	0	6	20	6	2	0	4	0	9	4	42
kedy	47	keda	6	1	3	0.5292	47	0	0	0	13	14	18	0	0	0	0	2	0	47
ykaiin	46	agena	5	11	3	0.4275	46	0	0	0	16	11	2	0	0	5	0	12	11	35
chodaiin	46	udena	5	4	5	0.5272	45	0	1	0	24	13	0	5	1	0	0	3	30	15
otchy	46	uta	20	6	1	0.5579	43	0	1	2	32	5	2	1	1	2	0	3	30	13
taiin	45	tena	3	13	5	0.4633	45	0	0	0	16	20	3	1	0	1	0	4	16	29
shdy	45	mada	6	3	3	0.4812	43	1	1	0	17	12	2	0	0	3	2	9	2	41
olkeedy	45	ulagēda	5	3	3	0.4744	43	1	1	0	3	18	17	0	0	1	0	6	0	45
qotol	44	utula	12	9	0	0.4027	44	0	0	0	21	9	7	3	0	0	0	4	22	22
cthor	43	thura	5	2	3	0.4959	43	0	0	0	40	0	2	1	0	0	0	0	41	2
qodaiin	43	udena	5	1	1	0.4511	43	0	0	0	15	18	0	2	0	5	0	3	14	29
kain	43	kæna	4	0	3	0.5073	43	0	0	0	5	20	14	0	0	0	0	4	1	42
tar	42	tara	4	17	2	0.3822	41	1	0	0	14	15	6	0	1	0	0	6	5	36
ches	42	esa	3	0	1	0.5015	32	2	7	1	6	12	9	3	4	3	2	3	6	29
qoteey	42	utēa	12	4	0	0.3817	41	0	0	1	8	22	7	1	0	2	1	1	9	32
oteody	41	uteuda	6	1	1	0.5285	20	2	18	1	4	9	0	4	15	6	0	3	5	15
choky	40	uga	28	1	7	0.6036	35	1	4	0	23	6	0	6	0	4	0	1	28	7
otor	40	utura	9	4	1	0.4852	32	3	5	0	17	8	4	2	2	2	3	2	14	21
lor	40	lura	5	7	6	0.5112	39	0	1	0	7	20	9	0	0	1	0	3	4	36
tedy	40	teda	7	1	2	0.5129	40	0	0	0	9	8	21	0	0	1	0	1	0	40
lshedy	40	lameda	2	2	2	0.4673	40	0	0	0	2	14	21	0	0	0	0	3	0	40
qokchedy	40	ugeda	14	3	2	0.4506	40	0	0	0	2	30	6	0	0	1	0	1	1	39
choty	39	uta	20	2	4	0.5574	36	0	3	0	21	8	1	2	2	1	0	4	24	12
ytaiin	39	atena	4	5	6	0.5103	39	0	0	0	14	8	2	0	0	5	0	10	12	27
chos	39	usa	8	2	3	0.5233	37	1	1	0	14	13	0	9	0	0	3	0	23	13
olchedy	39	uleda	4	1	9	0.6270	36	0	3	0	1	10	22	0	0	3	0	3	1	38
chedaiin	39	edena	2	1	2	0.5233	33	0	6	0	4	21	6	0	2	5	1	0	0	34
lkeey	39	lagēa	3	1	3	0.5311	39	0	0	0	2	34	3	0	0	0	0	0	1	38
oiin	38	uīna	4	0	0	0.3824	32	0	6	0	8	9	6	7	1	4	2	1	17	18
kol	38	kula	8	3	2	0.5193	37	0	1	0	26	4	3	2	1	0	0	2	28	9
lol	38	lula	4	6	16	0.6518	37	1	0	0	2	11	21	1	0	0	0	3	2	36
olkeey	38	ulagēa	5	7	0	0.3513	38	0	0	0	1	14	17	1	0	0	0	5	2	36
sy	37	sa	16	1	18	0.7640	35	1	1	0	21	3	5	4	0	2	1	1	26	10
oteol	37	uteula	11	3	2	0.4256	30	1	5	1	12	9	3	6	2	3	1	1	13	18
ckhy	37	kha	12	0	8	0.5707	37	0	0	0	30	2	2	3	0	0	0	0	27	10
chees	37	ēsa	5	1	0	0.4778	33	0	4	0	11	9	6	4	3	1	0	3	11	22
okeody	37	ugeuda	11	0	1	0.4748	25	5	4	3	9	6	0	7	5	4	3	3	9	16
cheos	37	eusa	3	0	2	0.4666	36	0	1	0	14	13	0	6	0	1	3	0	14	20
lkeedy	37	lagēda	3	0	3	0.4626	37	0	0	0	2	30	2	0	0	0	0	3	0	37
kchy	36	ka	20	0	3	0.5788	34	1	0	1	32	1	0	0	0	0	2	1	30	4
ykar	36	agara	5	6	1	0.5591	33	1	2	0	16	6	1	1	0	3	1	8	6	26
pchedy	36	peda	3	14	1	0.3619	36	0	0	0	3	13	15	0	0	0	0	5	0	36
okor	35	ugura	8	4	1	0.3858	29	3	3	0	13	4	4	9	1	4	0	0	22	11
otchedy	35	uteda	12	2	2	0.4755	33	0	2	0	3	17	6	0	0	5	0	4	0	35
shar	34	mara	3	3	1	0.3246	30	2	2	0	8	13	6	1	2	2	0	2	11	21
sheky	34	mega	4	0	1	0.4866	31	0	2	1	7	7	14	1	1	2	0	2	5	26
os	34	usa	8	2	2	0.4999	25	2	7	0	11	4	1	5	1	7	2	3	16	13
oraiin	34	urena	7	3	6	0.5759	31	1	2	0	8	10	1	5	1	3	0	6	8	25
tchedy	34	teda	7	25	0	0.1315	34	0	0	0	7	10	11	0	0	4	0	2	0	33
chedar	34	edara	2	0	0	0.4990	32	0	2	0	2	24	5	0	1	0	1	1	0	32
dshedy	34	gameda	1	30	1	0.0399	33	1	0	0	7	4	18	0	0	2	0	3	0	33
olkain	34	ulagæna	3	1	4	0.5534	34	0	0	0	3	5	26	0	0	0	0	0	0	34
lkain	34	lagæna	1	0	3	0.5882	34	0	0	0	0	28	4	0	0	0	0	2	0	34
ky	33	ka	20	0	5	0.5503	32	0	1	0	19	8	2	2	0	0	1	1	19	13
qokor	33	ugura	8	5	1	0.4308	33	0	0	0	12	13	4	2	0	0	0	2	16	17
otchey	33	utea	17	5	0	0.3917	31	0	2	0	10	12	4	0	2	3	1	1	10	19
okam	33	uga	28	0	20	0.8583	29	3	1	0	16	11	0	1	3	0	0	2	6	24
ykeedy	33	agēda	2	5	1	0.4105	29	2	2	0	8	8	10	0	3	2	0	2	0	30
otchdy	33	utada	17	1	4	0.6494	24	6	2	1	8	9	4	0	0	6	2	4	1	28
qokeody	33	ugeuda	11	2	1	0.4567	31	0	1	1	5	4	0	16	1	3	0	4	17	14
sheckhy	33	mekha	1	0	1	0.4165	33	0	0	0	2	11	20	0	0	0	0	0	0	33
okchey	32	ugea	21	5	2	0.4263	31	0	1	0	13	11	4	1	0	2	0	1	12	19
shcthy	32	matha	1	0	1	0.5346	32	0	0	0	7	9	11	0	0	0	0	5	5	27
yteey	31	atēa	5	6	0	0.3780	26	1	4	0	9	6	3	1	1	8	1	2	4	22
daly	31	gala	13	1	13	0.7381	26	1	3	1	8	5	6	1	3	4	0	4	8	17
okchy	31	uga	28	5	4	0.4424	24	2	4	1	16	2	1	1	0	5	3	3	13	12
olkaiin	31	ulagena	3	1	2	0.4827	28	0	3	0	5	13	7	0	0	3	0	3	0	31
lkar	31	lagara	1	0	2	0.6439	31	0	0	0	0	22	2	0	0	1	0	6	0	31
qopchedy	31	upeda	5	1	2	0.5773	31	0	0	0	0	21	6	0	0	0	0	4	0	31
otchol	30	utula	12	10	0	0.3670	30	0	0	0	25	0	0	2	0	1	0	2	28	1
chl	30	la	15	0	1	0.4791	30	0	0	0	7	16	6	1	0	0	0	0	7	23
cheal	30	eala	3	0	2	0.4423	28	0	2	0	2	19	4	2	0	2	0	1	8	20
oldy	30	ulada	10	1	16	0.8148	28	1	1	0	7	2	12	6	1	0	1	1	8	20
chckhey	30	khea	3	0	2	0.5075	30	0	0	0	6	13	7	1	0	2	0	1	4	26
opchey	30	upea	5	0	1	0.5102	28	1	1	0	6	13	3	1	2	0	1	4	5	22
checthy	30	etha	3	0	3	0.6089	30	0	0	0	4	8	17	0	0	0	0	1	1	29
olor	30	ulura	4	2	6	0.6038	27	1	2	0	5	4	16	1	0	2	1	1	3	26
sair	29	særa	5	12	0	0.3210	26	0	0	3	5	9	3	2	0	3	1	6	4	21
dchy	29	ga	16	5	2	0.5777	26	0	2	1	24	0	1	0	1	1	2	0	24	1
yteedy	29	atēda	2	8	2	0.3487	27	1	1	0	9	12	3	0	2	1	0	2	0	27
aiir	29	era	4	0	0	0.6407	22	0	6	1	4	14	0	0	0	9	1	1	0	22
ckhey	28	khea	3	0	3	0.4732	28	0	0	0	13	1	1	11	0	0	0	2	26	2
tchy	28	ta	13	3	1	0.4782	27	0	1	0	24	2	1	0	1	0	0	0	23	4
okchdy	28	ugada	18	1	1	0.6197	17	4	5	2	6	4	7	0	0	7	2	2	0	25
dchedy	28	geda	4	17	1	0.1927	27	0	1	0	5	10	10	0	0	1	1	1	0	27
qokeeey	28	ugēea	7	4	0	0.4165	28	0	0	0	2	18	4	2	0	0	0	2	3	25
she	27	me	1	0	1	0.4382	25	0	1	1	19	3	0	1	1	1	1	1	14	10
dchor	27	gura	3	12	1	0.2589	25	1	1	0	23	0	1	0	0	2	1	0	23	2
kal	27	kala	7	0	1	0.5753	25	1	1	0	7	12	3	0	1	0	0	4	3	23
okeeey	27	ugēea	7	1	4	0.5505	24	0	2	1	4	12	1	5	2	2	0	1	8	16
qokchey	27	ugea	21	4	0	0.3817	27	0	0	0	5	15	4	1	0	1	0	1	5	22
lkedy	27	lageda	4	1	2	0.5422	27	0	0	0	3	17	5	0	0	0	0	2	0	27
kor	26	kura	9	4	0	0.4281	26	0	0	0	16	2	1	5	0	0	0	2	19	7
oteos	26	uteusa	5	0	1	0.5940	7	2	16	1	3	1	0	2	13	5	1	1	5	2
oaiin	26	uena	6	10	1	0.2652	25	1	0	0	14	8	0	2	1	0	1	0	13	11
qotor	26	utura	9	11	1	0.3623	26	0	0	0	18	6	1	0	0	1	0	0	17	9
tal	26	tala	9	2	2	0.6079	24	0	2	0	1	6	10	0	2	3	0	4	6	15
otody	26	utuda	11	0	1	0.6074	12	3	9	2	6	5	1	0	2	12	0	0	2	20
chedal	26	edala	5	1	1	0.4560	23	0	3	0	2	19	2	0	1	2	0	0	1	23
ary	26	ara	13	0	16	0.9749	18	6	1	1	3	7	4	2	3	4	3	0	4	15
aly	26	ala	11	0	9	0.8241	19	1	5	1	3	8	6	0	4	2	1	2	2	17
olkedy	26	ulageda	5	0	3	0.5872	26	0	0	0	1	4	19	0	0	0	0	2	0	26
otair	26	utæra	3	1	1	0.5362	22	2	1	1	0	19	1	1	2	3	0	0	2	21
qokam	25	uga	28	0	21	0.9291	25	0	0	0	7	12	5	0	0	1	0	0	3	22
daiir	25	gera	2	7	1	0.3501	17	0	5	3	10	3	0	1	2	2	5	2	9	7
kchol	25	kula	8	2	0	0.4147	25	0	0	0	21	1	1	1	0	0	0	1	22	3
cheeky	25	ēga	2	1	0	0.4401	23	0	2	0	6	6	10	0	1	0	1	1	4	19
ytedy	25	ateda	3	3	1	0.4501	24	1	0	0	13	2	8	0	0	0	0	2	0	25
ldy	25	lada	6	0	18	0.9363	24	0	1	0	6	7	10	0	0	1	0	1	2	23
olchey	25	ulea	5	3	2	0.4644	25	0	0	0	3	6	14	1	0	1	0	0	3	22
qotchedy	25	uteda	12	1	1	0.5424	25	0	0	0	1	17	4	0	0	1	0	2	0	25
okchedy	25	ugeda	14	1	2	0.5284	23	0	2	0	2	17	2	0	0	3	0	1	0	24
odar	24	udara	5	4	3	0.5577	20	0	4	0	6	10	1	0	0	4	0	3	6	18
shear	24	meara	2	0	0	0.5094	23	0	1	0	5	10	4	2	1	0	0	2	6	17
shodaiin	24	mudena	1	5	5	0.4288	24	0	0	0	15	5	0	0	0	3	0	1	15	8
dchol	24	gula	4	8	1	0.4312	21	2	1	0	16	2	2	0	0	1	2	1	17	4
qotey	24	utea	17	2	0	0.4627	24	0	0	0	1	12	7	1	0	0	0	3	3	21
ytar	24	atara	4	6	1	0.4494	22	0	2	0	4	10	1	0	0	3	0	6	5	17
chdar	24	dara	1	0	1	0.6141	17	0	7	0	2	11	2	0	2	5	1	1	0	21
sh	23	ma	7	1	0	0.3386	19	2	2	0	12	3	1	1	0	2	1	3	10	10
ykchy	23	aga	13	4	2	0.5190	21	1	0	1	19	0	0	1	0	1	1	1	18	3
yty	23	ata	14	2	3	0.5919	20	1	2	0	15	1	1	1	1	3	0	1	10	9
qoaiin	23	uena	6	5	0	0.3726	23	0	0	0	8	10	0	3	0	0	0	2	11	12
chockhy	23	ukha	5	1	2	0.4150	19	1	2	1	7	7	0	5	1	0	3	0	12	7
dary	23	gara	10	1	12	0.9166	17	3	0	3	8	4	4	1	0	1	3	2	6	13
okaly	23	ugala	16	0	6	0.7137	16	5	2	0	4	9	4	0	6	0	0	0	5	12
olky	23	ulaga	8	0	5	0.6292	20	2	1	0	4	1	13	1	0	1	0	3	1	22
qotchdy	23	utada	17	0	2	0.5833	21	0	2	0	5	11	1	0	0	3	0	3	0	23
ols	22	ulasa	6	0	8	0.7383	19	3	0	0	5	3	4	4	0	2	2	2	7	13
tchey	22	tea	7	2	1	0.5163	21	0	1	0	10	5	2	1	0	2	0	2	10	12
chety	22	eta	11	0	0	0.4738	20	0	1	1	12	3	4	0	0	1	1	1	6	14
tchor	22	tura	6	12	0	0.2231	21	0	1	0	18	1	1	1	0	1	0	0	17	4
kchey	22	kea	8	2	0	0.4819	21	1	0	0	13	4	3	1	0	0	1	0	12	9
tor	22	tura	6	10	1	0.2512	22	0	0	0	12	3	4	2	0	0	0	1	11	11
qor	22	ura	13	7	1	0.2838	21	1	0	0	7	7	7	0	0	0	0	1	8	14
om	22	u	9	1	14	0.8412	20	0	2	0	7	9	0	3	0	2	0	1	9	13
ykedy	22	ageda	3	2	1	0.5283	19	2	1	0	9	3	7	0	0	2	0	1	0	22
kchedy	22	keda	6	1	0	0.3825	22	0	0	0	5	13	2	0	0	0	0	2	0	22
olshedy	22	ulameda	3	2	3	0.5142	22	0	0	0	0	4	15	0	0	1	0	2	0	22
rain	22	ræna	1	1	5	0.6416	22	0	0	0	0	15	4	1	0	1	0	1	1	21
daiiin	21	geina	1	2	5	0.5688	20	0	0	1	12	3	2	2	0	0	1	1	12	8
keol	21	keula	4	1	1	0.3758	20	0	1	0	10	6	1	2	0	0	2	0	12	7
ckhol	21	khula	3	0	0	0.4531	20	0	1	0	15	1	0	4	1	0	0	0	19	1
daldy	21	galada	6	0	9	0.7758	18	2	0	1	5	5	6	2	0	1	1	1	7	12
dl	21	gala	13	1	8	0.7010	18	0	3	0	5	6	5	0	0	3	0	2	4	15
teey	21	tēa	4	1	0	0.5532	17	0	4	0	4	8	5	0	4	0	0	0	4	13
keody	21	keuda	6	0	0	0.3974	18	0	2	1	9	3	0	2	1	2	0	4	4	14
qokeor	21	ugeura	7	4	2	0.4054	21	0	0	0	3	4	3	8	0	0	0	3	10	11
otaly	21	utala	13	0	2	0.6910	9	9	2	1	1	5	4	2	8	0	1	0	5	7
qokair	21	ugæra	5	1	0	0.4471	21	0	0	0	1	17	2	1	0	0	0	0	7	14
olkar	21	ulagara	3	0	0	0.5394	17	1	3	0	1	2	6	0	1	5	0	6	0	20
dan	20	gana	2	0	11	0.8368	17	2	1	0	16	0	0	1	1	1	0	1	17	2
shaiin	20	mena	1	2	0	0.2974	20	0	0	0	13	6	0	0	0	0	0	1	14	6
ctho	20	thu	4	0	0	0.5178	20	0	0	0	19	0	0	1	0	0	0	0	20	0
kchor	20	kura	9	6	1	0.3449	20	0	0	0	18	1	0	1	0	0	0	0	19	1
odal	20	udala	9	1	1	0.4584	15	2	3	0	8	4	1	1	1	4	1	0	7	11
kchdy	20	kada	4	1	2	0.5413	20	0	0	0	14	1	3	0	0	1	0	1	1	19
