transition_serial	statement_id	record_unit_id	page	statement_ordinal_in_record	constituent_fields	entry_boundary_class	exit_boundary_class	pre_state	selected_mnemonic_triggers	observed_triggers	inferred_missing_slots	silent_register_demand	owner_operation	active_item_preparation_operation	target_station_operation	previous_item_operation	operation_trace	post_state	backward_reconstructable_from_post_state_only	backward_reconstructability	irreducible_ambiguity_codes	complete_creative_reading	strongest_source_alternative	source_boundary_triggers	anonymous_id_contract	card_binding_contract	source_lineage
11	H4-S002	H4	f55v	2	F011	WITHIN_LOCUS_FIELD_BOUNDARY	START_NEW_CLAUSE	OWNER=H4:O01;ACTIVE_ITEM/PREPARATION=H4:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	MASS?	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:MASS? | CLOSURE:F011:TERMINAL | LOCAL_TARGET_FILLER:MARKED_TARGET | SOURCE_FROM:H4-LB01:START_NEW_CLAUSE	OWNER | ACTIVE_ITEM/PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	CARRY	INTRODUCE	CARRY	OWNER:CARRY(H4:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(H4:I001) -> TARGET/STATION:CARRY(UNSET) -> PREVIOUS_ITEM:CARRY(UNSET) -> TARGET/STATION:INTRODUCE(H4:T001;LOCAL_MARKED_TARGET)	OWNER=H4:O01;ACTIVE_ITEM/PREPARATION=H4:I001;TARGET/STATION=H4:T001;PREVIOUS_ITEM=UNSET	YES	TRANSITION_LOG=YES;POST_STATE_ONLY=YES:ANONYMOUS_BUT_DETERMINISTIC	NONE	Ein vorgeschriebenes Maß ; rühre, bis alles gleichmäßig vermischt ist ; wasche die wunde Stelle einmal	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=weichen Rest abteilen [Ganzfeldexemplar H4, Feld 2/4]	FROM:H4-LB01:START_NEW_CLAUSE	H4:Oxx/H4:Ixxx/H4:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
12	H4-S003	H4	f55v	3	F012	START_NEW_CLAUSE	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=H4:O01;ACTIVE_ITEM/PREPARATION=H4:I001;TARGET/STATION=H4:T001;PREVIOUS_ITEM=UNSET	NONE	BOUNDARY:START_NEW_CLAUSE | CLOSURE:F012:TERMINAL | SOURCE_TO:H4-LB01:START_NEW_CLAUSE	OWNER | ACTIVE_ITEM/PREPARATION	OWNER	CARRY	INTRODUCE	RESET	INTRODUCE	OWNER:CARRY(H4:O01) -> PREVIOUS_ITEM:INTRODUCE_FROM_ACTIVE(H4:I001) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(H4:I002) -> TARGET/STATION:RESET(NEW_OR_PARALLEL_CLAUSE)	OWNER=H4:O01;ACTIVE_ITEM/PREPARATION=H4:I002;TARGET/STATION=UNSET;PREVIOUS_ITEM=H4:I001	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TARGET_RESET_DISCARDS_PRIOR_TARGET	TARGET_RESET_DISCARDS_PRIOR_TARGET	für den zweiten Arzneigebrauch ; gib Weißwein hinzu ; solange es noch warm ist ; koche sanft und beende diesen Arbeitsschritt	SEGMENTATION=NEXT_PARALLEL_CELL: beide Linien können als zwei gleichrangige Fraktionen desselben Blattes gelten.; NONMEDICAL=zwei Arbeitsfraktionen vergleichen [Ganzfeldexemplar H4, Feld 3/4]	TO:H4-LB01:START_NEW_CLAUSE	H4:Oxx/H4:Ixxx/H4:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
13	H4-S004	H4	f55v	4	F013	WITHIN_LOCUS_FIELD_BOUNDARY	RECORD_END	OWNER=H4:O01;ACTIVE_ITEM/PREPARATION=H4:I002;TARGET/STATION=UNSET;PREVIOUS_ITEM=H4:I001	MASS? | ANSATZ?	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:MASS? | EXACT_SELECTED:ANSATZ? | CLOSURE:F013:OPEN | LOCAL_PREVIOUS_CUE:TWO_SHARES	OWNER	OWNER	CARRY	RESUME	CARRY	CARRY	OWNER:CARRY(H4:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(H4:I002) -> TARGET/STATION:CARRY(UNSET) -> PREVIOUS_ITEM:CARRY(H4:I001) -> ACTIVE_ITEM/PREPARATION:RESUME_OR_CONFIRM(H4:I002;ANSATZ?)	OWNER=H4:O01;ACTIVE_ITEM/PREPARATION=H4:I002;TARGET/STATION=UNSET;PREVIOUS_ITEM=H4:I001	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TWO_INPUTS_ORDER_AMBIGUOUS	TWO_INPUTS_ORDER_AMBIGUOUS | OPEN_RECORD_END	Ein vorgeschriebenes Maß ; mische beide Anteile zusammen ; bewahre es in einem bedeckten Gefäß ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; gebrauche die fertige Flüssigkeit frisch	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=Fraktionen buchen [Ganzfeldexemplar H4, Feld 4/4]	NONE	H4:Oxx/H4:Ixxx/H4:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
14	H5-S001	H5	f56r	1	F014|F015	RECORD_START	RESUME_ACTIVE_ITEM	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	MASS? | ANWENDEN? | ZIEL?	BOUNDARY:RECORD_START | EXACT_SELECTED:MASS? | EXACT_SELECTED:ANWENDEN? | EXACT_SELECTED:ZIEL? | CLOSURE:F014:OPEN > F015:OPEN | LOCAL_TARGET_FILLER:MARKED_TARGET | SOURCE_FROM:H5-LB01:CONTINUE_SAME_CLAUSE | SOURCE_TO:H5-LB01:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:H5-LB01:CONTINUE_SAME_CLAUSE | SOURCE_FROM:H5-LB02:RESUME_ACTIVE_ITEM	ACTIVE_ITEM/PREPARATION	NONE	INTRODUCE	INTRODUCE	INTRODUCE	RESET	OWNER:INTRODUCE(H5:O01) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(H5:I001) -> TARGET/STATION:RESET -> PREVIOUS_ITEM:RESET -> TARGET/STATION:INTRODUCE(H5:T001;LOCAL_MARKED_TARGET)	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I001;TARGET/STATION=H5:T001;PREVIOUS_ITEM=UNSET	YES	TRANSITION_LOG=YES;POST_STATE_ONLY=YES:ANONYMOUS_BUT_DETERMINISTIC	NONE	sammle die Pflanze im Frühjahr ; nimm danach den folgenden Zusatz oder Pflanzenteil ; die dünne untere Wurzel ; Ein vorgeschriebenes Maß || nimm danach den folgenden Zusatz oder Pflanzenteil ; lasse es in Weißwein ziehen ; vor der Blüte gesammelt ; Die aktive Portion verwenden ; An die bezeichnete Zielstelle führen	SEGMENTATION=RESUME_ACTIVE_ITEM: F015 könnte eine neue Klausel mit demselben Pflanzenteil beginnen.; NONMEDICAL=klebriges Feuchtlandmaterial übernehmen [Ganzfeldexemplar H5, Feld 1/7] || klebriges Feuchtlandmaterial übernehmen [Ganzfeldexemplar H5, Feld 2/7]	FROM:H5-LB01:CONTINUE_SAME_CLAUSE | TO:H5-LB01:CONTINUE_SAME_CLAUSE | INTERNAL:H5-LB01:CONTINUE_SAME_CLAUSE | FROM:H5-LB02:RESUME_ACTIVE_ITEM	H5:Oxx/H5:Ixxx/H5:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
15	H5-S002	H5	f56r	2	F016	RESUME_ACTIVE_ITEM	NEXT_PARALLEL_CELL	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I001;TARGET/STATION=H5:T001;PREVIOUS_ITEM=UNSET	ANWENDEN?	BOUNDARY:RESUME_ACTIVE_ITEM | EXACT_SELECTED:ANWENDEN? | CLOSURE:F016:TERMINAL | LOCAL_TARGET_FILLER:SHADOW_PLACE | SOURCE_TO:H5-LB02:RESUME_ACTIVE_ITEM | SOURCE_FROM:H5-LB03:NEXT_PARALLEL_CELL	OWNER | ACTIVE_ITEM/PREPARATION | TARGET/STATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	RESUME	INTRODUCE	CARRY	OWNER:CARRY(H5:O01) -> ACTIVE_ITEM/PREPARATION:RESUME(H5:I001) -> TARGET/STATION:CARRY(H5:T001) -> PREVIOUS_ITEM:CARRY(UNSET) -> TARGET/STATION:INTRODUCE(H5:T002;LOCAL_SHADOW_PLACE)	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I001;TARGET/STATION=H5:T002;PREVIOUS_ITEM=UNSET	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	von diesem abgebildeten Simplex ; die auf feuchter schattiger Heide wächst ; Die aktive Portion verwenden ; lasse das Pflaster unbedeckt trocknen	SEGMENTATION=CONTINUE_SAME_CLAUSE: der Zeilenreset kann bloßer Reflow innerhalb derselben Anwendung sein.; NONMEDICAL=klein dosieren [Ganzfeldexemplar H5, Feld 3/7]	TO:H5-LB02:RESUME_ACTIVE_ITEM | FROM:H5-LB03:NEXT_PARALLEL_CELL	H5:Oxx/H5:Ixxx/H5:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
16	H5-S003	H5	f56r	3	F017	NEXT_PARALLEL_CELL	RESUME_ACTIVE_ITEM	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I001;TARGET/STATION=H5:T002;PREVIOUS_ITEM=UNSET	NONE	BOUNDARY:NEXT_PARALLEL_CELL | CLOSURE:F017:OPEN | LOCAL_TARGET_FILLER:SHADOW_PLACE | SOURCE_TO:H5-LB03:NEXT_PARALLEL_CELL | SOURCE_FROM:H5-LB04:RESUME_ACTIVE_ITEM	OWNER | ACTIVE_ITEM/PREPARATION	OWNER	CARRY	INTRODUCE	INTRODUCE	INTRODUCE	OWNER:CARRY(H5:O01) -> PREVIOUS_ITEM:INTRODUCE_FROM_ACTIVE(H5:I001) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(H5:I002) -> TARGET/STATION:RESET(NEW_OR_PARALLEL_CLAUSE) -> TARGET/STATION:INTRODUCE(H5:T003;LOCAL_SHADOW_PLACE)	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I002;TARGET/STATION=H5:T003;PREVIOUS_ITEM=H5:I001	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TARGET_RESET_DISCARDS_PRIOR_TARGET	TARGET_RESET_DISCARDS_PRIOR_TARGET	ihren kleinen Samen- oder Knospenkopf ; nimm danach den folgenden Zusatz oder Pflanzenteil ; das getrocknete schmale Blatt ; trockne es im Schatten	SEGMENTATION=START_NEW_CLAUSE: die neue Linie kann statt einer Parallelzelle einen neuen Rezeptabschnitt eröffnen.; NONMEDICAL=klein dosieren [Ganzfeldexemplar H5, Feld 4/7]	TO:H5-LB03:NEXT_PARALLEL_CELL | FROM:H5-LB04:RESUME_ACTIVE_ITEM	H5:Oxx/H5:Ixxx/H5:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
17	H5-S004	H5	f56r	4	F018	RESUME_ACTIVE_ITEM	NEXT_PARALLEL_CELL	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I002;TARGET/STATION=H5:T003;PREVIOUS_ITEM=H5:I001	NONE	BOUNDARY:RESUME_ACTIVE_ITEM | CLOSURE:F018:OPEN | LOCAL_TARGET_FILLER:SHADOW_PLACE | LOCAL_PREVIOUS_CUE:REMAINDER | SOURCE_TO:H5-LB04:RESUME_ACTIVE_ITEM | SOURCE_FROM:H5-LB05:NEXT_PARALLEL_CELL	OWNER | ACTIVE_ITEM/PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	RESUME	INTRODUCE	CARRY	OWNER:CARRY(H5:O01) -> ACTIVE_ITEM/PREPARATION:RESUME(H5:I002) -> TARGET/STATION:CARRY(H5:T003) -> PREVIOUS_ITEM:CARRY(H5:I001) -> TARGET/STATION:INTRODUCE(H5:T004;LOCAL_SHADOW_PLACE)	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I002;TARGET/STATION=H5:T004;PREVIOUS_ITEM=H5:I001	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	gebrauche die frisch bereitete Arznei ; trinke es bei Magenschmerz ; bewahre den Rest trocken im Schatten	SEGMENTATION=START_NEW_CLAUSE: frisch und getrocknet können zwei unabhängige Zubereitungen bezeichnen.; NONMEDICAL=Materialprobe trennen [Ganzfeldexemplar H5, Feld 5/7]	TO:H5-LB04:RESUME_ACTIVE_ITEM | FROM:H5-LB05:NEXT_PARALLEL_CELL	H5:Oxx/H5:Ixxx/H5:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
18	H5-S005	H5	f56r	5	F019	NEXT_PARALLEL_CELL	NEXT_PARALLEL_CELL	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I002;TARGET/STATION=H5:T004;PREVIOUS_ITEM=H5:I001	NONE	BOUNDARY:NEXT_PARALLEL_CELL | CLOSURE:F019:OPEN | SOURCE_TO:H5-LB05:NEXT_PARALLEL_CELL | SOURCE_FROM:H5-LB06:NEXT_PARALLEL_CELL	OWNER | ACTIVE_ITEM/PREPARATION	OWNER	CARRY	INTRODUCE	RESET	INTRODUCE	OWNER:CARRY(H5:O01) -> PREVIOUS_ITEM:INTRODUCE_FROM_ACTIVE(H5:I002) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(H5:I003) -> TARGET/STATION:RESET(NEW_OR_PARALLEL_CLAUSE)	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=H5:I002	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:PREVIOUS_SLOT_OVERWRITTEN|TARGET_RESET_DISCARDS_PRIOR_TARGET	PREVIOUS_SLOT_OVERWRITTEN | TARGET_RESET_DISCARDS_PRIOR_TARGET	nimm danach den folgenden Zusatz oder Pflanzenteil ; gebrauche die frisch bereitete Arznei ; mische es mit Honig ; gebrauche es frisch vermischt	SEGMENTATION=RESUME_ACTIVE_ITEM: F019 kann den in F018 verwahrten Rest wieder aufnehmen.; NONMEDICAL=Materialprobe trennen [Ganzfeldexemplar H5, Feld 6/7]	TO:H5-LB05:NEXT_PARALLEL_CELL | FROM:H5-LB06:NEXT_PARALLEL_CELL	H5:Oxx/H5:Ixxx/H5:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
19	H5-S006	H5	f56r	6	F020	NEXT_PARALLEL_CELL	RECORD_END	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=H5:I002	ANTEIL? | MASS?	BOUNDARY:NEXT_PARALLEL_CELL | EXACT_SELECTED:ANTEIL? | EXACT_SELECTED:MASS? | CLOSURE:F020:OPEN | SOURCE_TO:H5-LB06:NEXT_PARALLEL_CELL	OWNER	OWNER	CARRY	INTRODUCE	RESET	INTRODUCE	OWNER:CARRY(H5:O01) -> PREVIOUS_ITEM:INTRODUCE_FROM_ACTIVE(H5:I003) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(H5:I004) -> TARGET/STATION:RESET(NEW_OR_PARALLEL_CLAUSE) -> ACTIVE_ITEM/PREPARATION:CONFIRM_INTRODUCED(H5:I004;ANTEIL?)	OWNER=H5:O01;ACTIVE_ITEM/PREPARATION=H5:I004;TARGET/STATION=UNSET;PREVIOUS_ITEM=H5:I003	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:PREVIOUS_SLOT_OVERWRITTEN	PREVIOUS_SLOT_OVERWRITTEN | OPEN_RECORD_END	Nimm den bezeichneten Anteil ; die helle geöffnete Blüte ; Ein vorgeschriebenes Maß	SEGMENTATION=CONTINUE_SAME_CLAUSE: F020 könnte nur den Anteil der vorherigen Honigmischung spezifizieren.; NONMEDICAL=trocknen und lagern [Ganzfeldexemplar H5, Feld 7/7]	TO:H5-LB06:NEXT_PARALLEL_CELL	H5:Oxx/H5:Ixxx/H5:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
20	B1-S001	B1	f81v	1	F021	RECORD_START	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	SPÜLEN?	BOUNDARY:RECORD_START | EXACT_SELECTED:SPÜLEN? | CLOSURE:F021:TERMINAL | LOCAL_TARGET_FILLER:MARKED_TARGET	ACTIVE_ITEM/PREPARATION | TARGET/STATION	NONE	INTRODUCE	INTRODUCE	INTRODUCE	RESET	OWNER:INTRODUCE(B1:O01) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(B1:I001) -> TARGET/STATION:RESET -> PREVIOUS_ITEM:RESET -> TARGET/STATION:INTRODUCE(B1:T001;LOCAL_MARKED_TARGET)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I001;TARGET/STATION=B1:T001;PREVIOUS_ITEM=UNSET	YES	TRANSITION_LOG=YES;POST_STATE_ONLY=YES:ANONYMOUS_BUT_DETERMINISTIC	NONE	spüle die bezeichnete Stelle einmal und beende den Schritt	SEGMENTATION=Ein erstes Feld kann Überschrift oder Rubrik statt Klausel sein.; NONMEDICAL=Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 1/24]	NONE	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
21	B1-S002	B1	f81v	2	F022|F023	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I001;TARGET/STATION=B1:T001;PREVIOUS_ITEM=UNSET	ZIEL? | VORIGES? | MASS? | MASS?	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ZIEL? | EXACT_SELECTED:VORIGES? | EXACT_SELECTED:MASS? | EXACT_SELECTED:MASS? | CLOSURE:F022:OPEN > F023:TERMINAL | LOCAL_TARGET_FILLER:LOWER_BASIN | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_TARGET_FILLER:CONNECTED_RUNS | LOCAL_TARGET_FILLER:VESSEL_OR_RUN | LOCAL_PREVIOUS_CUE:RETURNING_STREAM | LOCAL_PREVIOUS_CUE:TWO_SHARES | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | LOCAL_PREVIOUS_CUE:PREVIOUS_BATCH | SOURCE_FROM:B1-LB01:CONTINUE_SAME_CLAUSE | SOURCE_TO:B1-LB01:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B1-LB01:CONTINUE_SAME_CLAUSE	OWNER | ACTIVE_ITEM/PREPARATION | PREVIOUS_ITEM	OWNER | ACTIVE_ITEM/PREPARATION | PREVIOUS_ITEM	CARRY	RESUME	INTRODUCE	RESUME	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I001) -> TARGET/STATION:CARRY(B1:T001) -> PREVIOUS_ITEM:CARRY(UNSET) -> PREVIOUS_ITEM:INTRODUCE_INFERRED(B1:I002;VORIGES?) -> ACTIVE_ITEM/PREPARATION:RESUME_FROM_PREVIOUS(B1:I002;VORIGES?) -> TARGET/STATION:INTRODUCE(B1:T002;LOCAL_LOWER_BASIN) -> TARGET/STATION:INTRODUCE(B1:T003;LOCAL_MARKED_TARGET) -> TARGET/STATION:INTRODUCE(B1:T004;LOCAL_CONNECTED_RUNS) -> TARGET/STATION:INTRODUCE(B1:T005;LOCAL_VESSEL_OR_RUN)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET|INFERRED_PREVIOUS_IDENTITY|PREVIOUS_REFERENT_CLASS_AMBIGUOUS|TWO_INPUTS_ORDER_AMBIGUOUS|MULTIPLE_TARGETS_ONE_SLOT	INFERRED_PREVIOUS_IDENTITY | PREVIOUS_REFERENT_CLASS_AMBIGUOUS | TWO_INPUTS_ORDER_AMBIGUOUS | MULTIPLE_TARGETS_ONE_SLOT | TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	beginne den nächsten abgemessenen Posten ; der zurücklaufende Strom ; mische beide Anteile zusammen ; Daraus, aus demselben Ansatz ; Mit der vorigen Zubereitung weiter ; ein abgemessener Anteil ; das untere Becken ; An die bezeichnete Zielstelle führen ; Mit der vorigen Zubereitung weiter ; bevor es abkühlt ; das bereitete Öl || Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; eine mäßige Menge ; Ein vorgeschriebenes Maß ; der eingetauchte Teil ; Ein vorgeschriebenes Maß ; durch die verbundenen Läufe ; spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt	SEGMENTATION=RESUME_ACTIVE_ITEM: F023 kann eine neue Klausel mit demselben Ansatz sein.; NONMEDICAL=Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 2/24] || Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 3/24]	FROM:B1-LB01:CONTINUE_SAME_CLAUSE | TO:B1-LB01:CONTINUE_SAME_CLAUSE | INTERNAL:B1-LB01:CONTINUE_SAME_CLAUSE	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
22	B1-S003	B1	f81v	3	F024|F025	WITHIN_LOCUS_FIELD_BOUNDARY	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	NONE	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F024:OPEN > F025:TERMINAL | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | SOURCE_FROM:B1-LB02:CONTINUE_SAME_CLAUSE | SOURCE_TO:B1-LB02:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B1-LB02:CONTINUE_SAME_CLAUSE	OWNER | ACTIVE_ITEM/PREPARATION | PREVIOUS_ITEM	OWNER | ACTIVE_ITEM/PREPARATION | PREVIOUS_ITEM	CARRY	CARRY	CARRY	RESUME	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I002) -> TARGET/STATION:CARRY(B1:T005) -> PREVIOUS_ITEM:CARRY(B1:I001) -> PREVIOUS_ITEM:RESUME(B1:I001;LOCAL_FILLER)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:PREVIOUS_REFERENT_CLASS_AMBIGUOUS	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	Mit der vorigen Zubereitung weiter || halte es warm und beende den Schritt	SEGMENTATION=RESUME_ACTIVE_ITEM: die minimale F024 kann ein Verweisfeld vor einer neuen Klausel sein.; NONMEDICAL=Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 4/24] || Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 5/24]	FROM:B1-LB02:CONTINUE_SAME_CLAUSE | TO:B1-LB02:CONTINUE_SAME_CLAUSE | INTERNAL:B1-LB02:CONTINUE_SAME_CLAUSE	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
