error_serial	error_id	statement_id	record_unit_id	severity	error_code	evidence	four_register_resolution	strongest_alternative	irreducible_with_four_registers	impacts_post_state_backward_reconstruction	source_lineage
13	ERR013	H3-S004	H3	LOW	TARGET_RESET_DISCARDS_PRIOR_TARGET	A new or parallel clause resets an occupied target register. Trigger=BOUNDARY:NEXT_PARALLEL_CELL | EXACT_SELECTED:BEREIT? | CLOSURE:F009:OPEN | SOURCE_TO:H3-LB02:NEXT_PARALLEL_CELL	Treat the reset as intentional station scoping.	Carry the prior station across the clause boundary.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
14	ERR014	H3-S004	H3	MEDIUM	OPEN_RECORD_END	The selected statement exits the record with an OPEN field. Trigger=BOUNDARY:NEXT_PARALLEL_CELL | EXACT_SELECTED:BEREIT? | CLOSURE:F009:OPEN | SOURCE_TO:H3-LB02:NEXT_PARALLEL_CELL	Keep the post-state available only inside the closed record audit; do not carry it to the next record.	Infer an unmarked final commit.	YES	NO	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
15	ERR015	H4-S003	H4	LOW	TARGET_RESET_DISCARDS_PRIOR_TARGET	A new or parallel clause resets an occupied target register. Trigger=BOUNDARY:START_NEW_CLAUSE | CLOSURE:F012:TERMINAL | SOURCE_TO:H4-LB01:START_NEW_CLAUSE	Treat the reset as intentional station scoping.	Carry the prior station across the clause boundary.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
16	ERR016	H4-S004	H4	HIGH	TWO_INPUTS_ORDER_AMBIGUOUS	The reading combines two shares but does not encode which is ACTIVE and which is PREVIOUS. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:MASS? | EXACT_SELECTED:ANSATZ? | CLOSURE:F013:OPEN | LOCAL_PREVIOUS_CUE:TWO_SHARES	Keep the current item active and the other in PREVIOUS_ITEM.	Swap the two registers; the visible result is unchanged.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
17	ERR017	H4-S004	H4	MEDIUM	OPEN_RECORD_END	The selected statement exits the record with an OPEN field. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:MASS? | EXACT_SELECTED:ANSATZ? | CLOSURE:F013:OPEN | LOCAL_PREVIOUS_CUE:TWO_SHARES	Keep the post-state available only inside the closed record audit; do not carry it to the next record.	Infer an unmarked final commit.	YES	NO	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
18	ERR018	H5-S002	H5	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:RESUME_ACTIVE_ITEM | EXACT_SELECTED:ANWENDEN? | CLOSURE:F016:TERMINAL | LOCAL_TARGET_FILLER:SHADOW_PLACE | SOURCE_TO:H5-LB02:RESUME_ACTIVE_ITEM | SOURCE_FROM:H5-LB03:NEXT_PARALLEL_CELL	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
19	ERR019	H5-S003	H5	LOW	TARGET_RESET_DISCARDS_PRIOR_TARGET	A new or parallel clause resets an occupied target register. Trigger=BOUNDARY:NEXT_PARALLEL_CELL | CLOSURE:F017:OPEN | LOCAL_TARGET_FILLER:SHADOW_PLACE | SOURCE_TO:H5-LB03:NEXT_PARALLEL_CELL | SOURCE_FROM:H5-LB04:RESUME_ACTIVE_ITEM	Treat the reset as intentional station scoping.	Carry the prior station across the clause boundary.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
20	ERR020	H5-S004	H5	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:RESUME_ACTIVE_ITEM | CLOSURE:F018:OPEN | LOCAL_TARGET_FILLER:SHADOW_PLACE | LOCAL_PREVIOUS_CUE:REMAINDER | SOURCE_TO:H5-LB04:RESUME_ACTIVE_ITEM | SOURCE_FROM:H5-LB05:NEXT_PARALLEL_CELL	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
21	ERR021	H5-S005	H5	MEDIUM	PREVIOUS_SLOT_OVERWRITTEN	A new active item replaces an already occupied depth-one previous slot. Trigger=BOUNDARY:NEXT_PARALLEL_CELL | CLOSURE:F019:OPEN | SOURCE_TO:H5-LB05:NEXT_PARALLEL_CELL | SOURCE_FROM:H5-LB06:NEXT_PARALLEL_CELL	Keep only the immediately displaced active item.	Use an unbounded history stack.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
22	ERR022	H5-S005	H5	LOW	TARGET_RESET_DISCARDS_PRIOR_TARGET	A new or parallel clause resets an occupied target register. Trigger=BOUNDARY:NEXT_PARALLEL_CELL | CLOSURE:F019:OPEN | SOURCE_TO:H5-LB05:NEXT_PARALLEL_CELL | SOURCE_FROM:H5-LB06:NEXT_PARALLEL_CELL	Treat the reset as intentional station scoping.	Carry the prior station across the clause boundary.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
23	ERR023	H5-S006	H5	MEDIUM	PREVIOUS_SLOT_OVERWRITTEN	A new active item replaces an already occupied depth-one previous slot. Trigger=BOUNDARY:NEXT_PARALLEL_CELL | EXACT_SELECTED:ANTEIL? | EXACT_SELECTED:MASS? | CLOSURE:F020:OPEN | SOURCE_TO:H5-LB06:NEXT_PARALLEL_CELL	Keep only the immediately displaced active item.	Use an unbounded history stack.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
24	ERR024	H5-S006	H5	MEDIUM	OPEN_RECORD_END	The selected statement exits the record with an OPEN field. Trigger=BOUNDARY:NEXT_PARALLEL_CELL | EXACT_SELECTED:ANTEIL? | EXACT_SELECTED:MASS? | CLOSURE:F020:OPEN | SOURCE_TO:H5-LB06:NEXT_PARALLEL_CELL	Keep the post-state available only inside the closed record audit; do not carry it to the next record.	Infer an unmarked final commit.	YES	NO	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
25	ERR025	B1-S002	B1	HIGH	INFERRED_PREVIOUS_IDENTITY	A previous-item cue occurs before a uniquely stored previous item is available. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ZIEL? | EXACT_SELECTED:VORIGES? | EXACT_SELECTED:MASS? | EXACT_SELECTED:MASS? | CLOSURE:F022:OPEN > F023:TERMINAL | LOCAL_TARGET_FILLER:LOWER_BASIN | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_TARGET_FILLER:CONNECTED_RUNS | LOCAL_TARGET_FILLER:VESSEL_OR_RUN | LOCAL_PREVIOUS_CUE:RETURNING_STREAM | LOCAL_PREVIOUS_CUE:TWO_SHARES | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | LOCAL_PREVIOUS_CUE:PREVIOUS_BATCH | SOURCE_FROM:B1-LB01:CONTINUE_SAME_CLAUSE | SOURCE_TO:B1-LB01:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B1-LB01:CONTINUE_SAME_CLAUSE	Introduce one anonymous record-local previous item.	Leave the reading unresolved or import a deeper history.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
26	ERR026	B1-S002	B1	HIGH	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	The cue does not choose uniquely among prior item, preparation, run, remainder or setting. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ZIEL? | EXACT_SELECTED:VORIGES? | EXACT_SELECTED:MASS? | EXACT_SELECTED:MASS? | CLOSURE:F022:OPEN > F023:TERMINAL | LOCAL_TARGET_FILLER:LOWER_BASIN | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_TARGET_FILLER:CONNECTED_RUNS | LOCAL_TARGET_FILLER:VESSEL_OR_RUN | LOCAL_PREVIOUS_CUE:RETURNING_STREAM | LOCAL_PREVIOUS_CUE:TWO_SHARES | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | LOCAL_PREVIOUS_CUE:PREVIOUS_BATCH | SOURCE_FROM:B1-LB01:CONTINUE_SAME_CLAUSE | SOURCE_TO:B1-LB01:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B1-LB01:CONTINUE_SAME_CLAUSE	Use the depth-one PREVIOUS_ITEM register.	Split PREVIOUS_ITEM into typed history registers.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
27	ERR027	B1-S002	B1	HIGH	TWO_INPUTS_ORDER_AMBIGUOUS	The reading combines two shares but does not encode which is ACTIVE and which is PREVIOUS. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ZIEL? | EXACT_SELECTED:VORIGES? | EXACT_SELECTED:MASS? | EXACT_SELECTED:MASS? | CLOSURE:F022:OPEN > F023:TERMINAL | LOCAL_TARGET_FILLER:LOWER_BASIN | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_TARGET_FILLER:CONNECTED_RUNS | LOCAL_TARGET_FILLER:VESSEL_OR_RUN | LOCAL_PREVIOUS_CUE:RETURNING_STREAM | LOCAL_PREVIOUS_CUE:TWO_SHARES | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | LOCAL_PREVIOUS_CUE:PREVIOUS_BATCH | SOURCE_FROM:B1-LB01:CONTINUE_SAME_CLAUSE | SOURCE_TO:B1-LB01:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B1-LB01:CONTINUE_SAME_CLAUSE	Keep the current item active and the other in PREVIOUS_ITEM.	Swap the two registers; the visible result is unchanged.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
28	ERR028	B1-S002	B1	HIGH	MULTIPLE_TARGETS_ONE_SLOT	More than one local target/station cue occurs in one statement. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ZIEL? | EXACT_SELECTED:VORIGES? | EXACT_SELECTED:MASS? | EXACT_SELECTED:MASS? | CLOSURE:F022:OPEN > F023:TERMINAL | LOCAL_TARGET_FILLER:LOWER_BASIN | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_TARGET_FILLER:CONNECTED_RUNS | LOCAL_TARGET_FILLER:VESSEL_OR_RUN | LOCAL_PREVIOUS_CUE:RETURNING_STREAM | LOCAL_PREVIOUS_CUE:TWO_SHARES | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | LOCAL_PREVIOUS_CUE:PREVIOUS_BATCH | SOURCE_FROM:B1-LB01:CONTINUE_SAME_CLAUSE | SOURCE_TO:B1-LB01:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B1-LB01:CONTINUE_SAME_CLAUSE	Execute them in reading order and retain the final anonymous target.	Use multiple simultaneous target slots.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
29	ERR029	B1-S002	B1	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ZIEL? | EXACT_SELECTED:VORIGES? | EXACT_SELECTED:MASS? | EXACT_SELECTED:MASS? | CLOSURE:F022:OPEN > F023:TERMINAL | LOCAL_TARGET_FILLER:LOWER_BASIN | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_TARGET_FILLER:CONNECTED_RUNS | LOCAL_TARGET_FILLER:VESSEL_OR_RUN | LOCAL_PREVIOUS_CUE:RETURNING_STREAM | LOCAL_PREVIOUS_CUE:TWO_SHARES | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | LOCAL_PREVIOUS_CUE:PREVIOUS_BATCH | SOURCE_FROM:B1-LB01:CONTINUE_SAME_CLAUSE | SOURCE_TO:B1-LB01:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B1-LB01:CONTINUE_SAME_CLAUSE	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
30	ERR030	B1-S003	B1	HIGH	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	The cue does not choose uniquely among prior item, preparation, run, remainder or setting. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F024:OPEN > F025:TERMINAL | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | SOURCE_FROM:B1-LB02:CONTINUE_SAME_CLAUSE | SOURCE_TO:B1-LB02:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B1-LB02:CONTINUE_SAME_CLAUSE	Use the depth-one PREVIOUS_ITEM register.	Split PREVIOUS_ITEM into typed history registers.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
31	ERR031	B1-S004	B1	HIGH	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	The cue does not choose uniquely among prior item, preparation, run, remainder or setting. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F026:TERMINAL | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION	Use the depth-one PREVIOUS_ITEM register.	Split PREVIOUS_ITEM into typed history registers.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
32	ERR032	B1-S005	B1	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F027:TERMINAL | LOCAL_TARGET_FILLER:COVERED_CATCH_VESSEL	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
33	ERR033	B1-S006	B1	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F028:OPEN | LOCAL_TARGET_FILLER:CONNECTED_RUNS | SOURCE_FROM:B1-LB03:NEXT_PARALLEL_CELL	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
34	ERR034	B1-S007	B1	MEDIUM	PREVIOUS_SLOT_OVERWRITTEN	A new active item replaces an already occupied depth-one previous slot. Trigger=BOUNDARY:NEXT_PARALLEL_CELL | CLOSURE:F029:TERMINAL | SOURCE_TO:B1-LB03:NEXT_PARALLEL_CELL	Keep only the immediately displaced active item.	Use an unbounded history stack.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
35	ERR035	B1-S007	B1	LOW	TARGET_RESET_DISCARDS_PRIOR_TARGET	A new or parallel clause resets an occupied target register. Trigger=BOUNDARY:NEXT_PARALLEL_CELL | CLOSURE:F029:TERMINAL | SOURCE_TO:B1-LB03:NEXT_PARALLEL_CELL	Treat the reset as intentional station scoping.	Carry the prior station across the clause boundary.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
36	ERR036	B1-S008	B1	HIGH	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	The cue does not choose uniquely among prior item, preparation, run, remainder or setting. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F030:TERMINAL | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION	Use the depth-one PREVIOUS_ITEM register.	Split PREVIOUS_ITEM into typed history registers.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
37	ERR037	B1-S010	B1	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:SPÜLEN? | CLOSURE:F032:TERMINAL | LOCAL_TARGET_FILLER:MARKED_TARGET	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
38	ERR038	B1-S011	B1	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ANWENDEN? | CLOSURE:F033:OPEN | LOCAL_TARGET_FILLER:CONNECTED_RUNS | SOURCE_FROM:B1-LB04:START_NEW_CLAUSE	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
39	ERR039	B1-S012	B1	MEDIUM	PREVIOUS_SLOT_OVERWRITTEN	A new active item replaces an already occupied depth-one previous slot. Trigger=BOUNDARY:START_NEW_CLAUSE | CLOSURE:F034:TERMINAL | SOURCE_TO:B1-LB04:START_NEW_CLAUSE	Keep only the immediately displaced active item.	Use an unbounded history stack.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
40	ERR040	B1-S012	B1	LOW	TARGET_RESET_DISCARDS_PRIOR_TARGET	A new or parallel clause resets an occupied target register. Trigger=BOUNDARY:START_NEW_CLAUSE | CLOSURE:F034:TERMINAL | SOURCE_TO:B1-LB04:START_NEW_CLAUSE	Treat the reset as intentional station scoping.	Carry the prior station across the clause boundary.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
41	ERR041	B1-S014	B1	HIGH	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	The cue does not choose uniquely among prior item, preparation, run, remainder or setting. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F036:OPEN | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_TARGET_FILLER:LOWER_BASIN | LOCAL_TARGET_FILLER:LOWER_OUTLET | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | SOURCE_FROM:B1-LB05:NEXT_PARALLEL_CELL	Use the depth-one PREVIOUS_ITEM register.	Split PREVIOUS_ITEM into typed history registers.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
42	ERR042	B1-S014	B1	HIGH	MULTIPLE_TARGETS_ONE_SLOT	More than one local target/station cue occurs in one statement. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F036:OPEN | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_TARGET_FILLER:LOWER_BASIN | LOCAL_TARGET_FILLER:LOWER_OUTLET | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | SOURCE_FROM:B1-LB05:NEXT_PARALLEL_CELL	Execute them in reading order and retain the final anonymous target.	Use multiple simultaneous target slots.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
43	ERR043	B1-S014	B1	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F036:OPEN | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_TARGET_FILLER:LOWER_BASIN | LOCAL_TARGET_FILLER:LOWER_OUTLET | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | SOURCE_FROM:B1-LB05:NEXT_PARALLEL_CELL	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
44	ERR044	B1-S015	B1	MEDIUM	PREVIOUS_SLOT_OVERWRITTEN	A new active item replaces an already occupied depth-one previous slot. Trigger=BOUNDARY:NEXT_PARALLEL_CELL | CLOSURE:F037:TERMINAL | SOURCE_TO:B1-LB05:NEXT_PARALLEL_CELL	Keep only the immediately displaced active item.	Use an unbounded history stack.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
45	ERR045	B1-S015	B1	LOW	TARGET_RESET_DISCARDS_PRIOR_TARGET	A new or parallel clause resets an occupied target register. Trigger=BOUNDARY:NEXT_PARALLEL_CELL | CLOSURE:F037:TERMINAL | SOURCE_TO:B1-LB05:NEXT_PARALLEL_CELL	Treat the reset as intentional station scoping.	Carry the prior station across the clause boundary.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
