body	head_occupancy	opaque_heads	candidate_family	analogy_family	prior_candidate_de	prior_confidence	headed_occurrences	reader_exact_occurrences	formal705_slots	sem570_slots	w23_axis195_slots	formal_head_count	formal_heads	position_exceptions	position_exception_rate	capacity_points	penalty_single_formal_head	penalty_position	penalty_prior	total_penalty	discovery_direct_score	discovery_shared_surface_count	discovery_shared_surfaces	discovery_registered_surface_count	discovery_registered_surfaces	discovery_shared_fingerprint_count	discovery_shared_fingerprints	discovery_registered_fingerprint_count	discovery_registered_fingerprints	discovery_register_overlap_count	discovery_register_overlaps	discovery_recurrence_evidence_heads	discovery_recurrence_heads_balanced_ge2_exact	discovery_exact_occurrences_by_head	discovery_family_comparator	discovery_family_surface_cosine	discovery_family_axis_cosine	discovery_family_register_cosine	discovery_family_points	discovery_strong_family	discovery_working_score_not_probability	discovery_decision	w23_direct_score	w23_shared_surface_count	w23_shared_surfaces	w23_registered_surface_count	w23_registered_surfaces	w23_shared_fingerprint_count	w23_shared_fingerprints	w23_registered_fingerprint_count	w23_registered_fingerprints	w23_register_overlap_count	w23_register_overlaps	w23_recurrence_evidence_heads	w23_recurrence_heads_balanced_ge2_exact	w23_exact_occurrences_by_head	w23_family_comparator	w23_family_surface_cosine	w23_family_axis_cosine	w23_family_register_cosine	w23_family_points	w23_strong_family	w23_working_score_not_probability	w23_decision	body_renderer_license	literal_head_lexeme_credit	literal_body_lexeme_credit	component_export_credit
aral	2	H2|H3	MATERIAL_PART	NONE	Rohstoff-/Materialfraktion I	HIGH	4	3	1	1	0	1	H2	2	0.500000	0	0	-1	0	-1	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:2|H3:1|H4:0	NONE	0.000000	0.000000	0.000000	0	0	-1	UNDECIDABLE	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:2|H3:1|H4:0	NONE	0.000000	0.000000	0.000000	0	0	-1	UNDECIDABLE	0	0	0	0
aram	3	H2|H3|H4	PART_CLOSE	NONE	Teil-/Fraktionsstufe I, Eintragsabschluss	MEDIUM_HIGH	5	3	1	1	0	1	H3	1	0.200000	0	0	0	0	0	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:0|H3:3|H4:0	NONE	0.000000	0.000000	0.000000	0	0	0	UNDECIDABLE	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:0|H3:3|H4:0	NONE	0.000000	0.000000	0.000000	0	0	0	UNDECIDABLE	0	0	0	0
ary	2	H2|H3	PART_CLOSE	NONE	Teil-/Fraktionsstufe I, abgeschlossen	HIGH	10	8	7	5	2	2	H2|H3	7	0.700000	2	0	-1	0	-1	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:5|H3:3|H4:0	NONE	0.000000	0.000000	0.000000	0	0	1	UNDECIDABLE	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:5|H3:3|H4:0	NONE	0.000000	0.000000	0.000000	0	0	1	UNDECIDABLE	0	0	0	0
chaiin	2	H1|H2	DRY_VALUE	NONE	Trockenindex oder -grad III	HIGH	2	2	2	1	0	2	H1|H2	0	0.000000	0	0	0	0	0	1	0	NONE	0	NONE	0	NONE	0	NONE	1	H|A	NONE	0	H1:1|H2:1|H3:0|H4:0	NONE	0.000000	0.000000	0.000000	0	0	1	UNDECIDABLE	1	0	NONE	0	NONE	0	NONE	0	NONE	1	H|A	NONE	0	H1:1|H2:1|H3:0|H4:0	NONE	0.000000	0.000000	0.000000	0	0	1	UNDECIDABLE	0	0	0	0
chal	2	H1|H4	DRY_MATERIAL	MATERIAL_OL	trockenes Material, Stufe I	HIGH	9	6	8	6	4	1	H4	2	0.222222	2	-2	0	0	-2	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:0|H3:0|H4:6	cheol	0.000000	0.908089	0.831483	2	0	2	UNDECIDABLE	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:0|H3:0|H4:6	cheol	0.000000	0.726108	0.831483	1	0	1	CONTRADICTED_FAMILY_TRANSFER	0	0	0	0
char	3	H1|H2|H4	DRY_PART	PART_AR	trockene Teil-/Fraktionsstufe I	MEDIUM_HIGH	8	6	8	7	4	3	H1|H2|H4	4	0.500000	2	0	-1	0	-1	1	0	NONE	0	NONE	0	NONE	0	NONE	1	H|A	NONE	0	H1:2|H2:1|H3:0|H4:3	ar	0.000000	0.731552	0.296423	0	0	2	CONTRADICTED_FAMILY_TRANSFER	1	0	NONE	0	NONE	0	NONE	0	NONE	1	H|A	NONE	0	H1:2|H2:1|H3:0|H4:3	ar	0.000000	0.673763	0.296423	0	0	2	CONTRADICTED_FAMILY_TRANSFER	0	0	0	0
chdaiin	2	H1|H4	DRY_DOSE_VALUE	NONE	Trockenresultat: Dosis oder Wert III	MEDIUM_HIGH	5	2	2	2	1	1	H1	0	0.000000	0	0	0	0	0	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:2|H2:0|H3:0|H4:0	NONE	0.000000	0.000000	0.000000	0	0	0	UNDECIDABLE	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:2|H2:0|H3:0|H4:0	NONE	0.000000	0.000000	0.000000	0	0	0	UNDECIDABLE	0	0	0	0
chdal	2	H1|H4	DRY_DOSED_MATERIAL	NONE	abgemessenes Trockenmaterial, Stufe I/Grundform	MEDIUM_HIGH	3	2	2	2	1	2	H1|H4	2	0.666667	0	0	-1	0	-1	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:1|H2:0|H3:0|H4:1	NONE	0.000000	0.000000	0.000000	0	0	-1	UNDECIDABLE	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:1|H2:0|H3:0|H4:1	NONE	0.000000	0.000000	0.000000	0	0	-1	UNDECIDABLE	0	0	0	0
chdol	2	H1|H4	DRY_MATERIAL_MEASURE	NONE	Trockenmaterial-Maßslot	MEDIUM	3	3	4	3	1	2	H1|H4	1	0.333333	1	0	-1	0	-1	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:2|H2:0|H3:0|H4:1	NONE	0.000000	0.000000	0.000000	0	0	0	UNDECIDABLE	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:2|H2:0|H3:0|H4:1	NONE	0.000000	0.000000	0.000000	0	0	0	UNDECIDABLE	0	0	0	0
cheam	2	H1|H4	DRY_ENTRY_CLOSE	NONE	Trockenform, Eintragsabschluss I	MEDIUM_HIGH	4	4	1	1	1	1	H4	0	0.000000	1	0	0	0	0	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:1|H2:0|H3:0|H4:3	NONE	0.000000	0.000000	0.000000	0	0	1	UNDECIDABLE	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:1|H2:0|H3:0|H4:3	NONE	0.000000	0.000000	0.000000	0	0	1	UNDECIDABLE	0	0	0	0
chear	2	H1|H4	DRY_PART	PART_AR	trockene Teil-/Fraktionsstufe I, Form I	MEDIUM_HIGH	3	3	4	4	1	2	H1|H4	1	0.333333	1	0	-1	0	-1	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:2|H2:0|H3:0|H4:1	ar	0.000000	0.946843	0.662822	1	0	1	UNDECIDABLE	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:2|H2:0|H3:0|H4:1	ar	0.000000	0.748705	0.662822	0	0	0	UNDECIDABLE	0	0	0	0
ched	3	H1|H3|H4	DRY_RESULT	NONE	getrocknetes Ergebnis, Mittel-/Schlussform	MEDIUM_HIGH	8	8	6	5	2	3	H1|H3|H4	0	0.000000	2	0	0	0	0	1	0	NONE	0	NONE	0	NONE	0	NONE	2	B|B|S|B	NONE	0	H1:1|H2:0|H3:1|H4:6	NONE	0.000000	0.000000	0.000000	0	0	3	UNDECIDABLE	1	0	NONE	0	NONE	0	NONE	0	NONE	2	B|B|S|B	NONE	0	H1:1|H2:0|H3:1|H4:6	NONE	0.000000	0.000000	0.000000	0	0	3	UNDECIDABLE	0	0	0	0
chedair	2	H1|H2	DRY_PART_VALUE	NONE	getrocknete Fraktion, Form I/Wert II	MEDIUM	2	1	1	1	1	1	H2	0	0.000000	0	0	0	0	0	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:1|H3:0|H4:0	NONE	0.000000	0.000000	0.000000	0	0	0	UNDECIDABLE	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:1|H3:0|H4:0	NONE	0.000000	0.000000	0.000000	0	0	0	UNDECIDABLE	0	0	0	0
chedal	2	H1|H4	DRY_DOSED_MATERIAL	NONE	abgemessenes Trockenmaterial, Stufe I/Form I	MEDIUM_HIGH	6	5	5	3	0	2	H1|H4	0	0.000000	2	0	0	0	0	1	0	NONE	0	NONE	0	NONE	0	NONE	1	B|B	NONE	0	H1:4|H2:0|H3:0|H4:1	NONE	0.000000	0.000000	0.000000	0	0	3	UNDECIDABLE	1	0	NONE	0	NONE	0	NONE	0	NONE	1	B|B	NONE	0	H1:4|H2:0|H3:0|H4:1	NONE	0.000000	0.000000	0.000000	0	0	3	UNDECIDABLE	0	0	0	0
chedar	3	H1|H3|H4	DRY_DOSED_PART	NONE	abgemessene Trockenfraktion I, Form I	MEDIUM_HIGH	13	8	6	2	1	3	H1|H3|H4	1	0.076923	2	0	0	0	0	1	0	NONE	0	NONE	0	NONE	0	NONE	1	S|B	NONE	0	H1:6|H2:0|H3:1|H4:1	NONE	0.000000	0.000000	0.000000	0	0	3	UNDECIDABLE	1	0	NONE	0	NONE	0	NONE	0	NONE	1	S|B	NONE	0	H1:6|H2:0|H3:1|H4:1	NONE	0.000000	0.000000	0.000000	0	0	3	UNDECIDABLE	0	0	0	0
cheedy	2	H1|H4	DRY_RESULT	DRY_RESULT_CHDY	getrocknetes Ergebnis, Form II	HIGH	10	7	9	7	3	1	H4	0	0.000000	2	-2	0	0	-2	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:1|H2:0|H3:0|H4:6	chedy	0.436141	0.926971	0.875689	4	1	4	SUPPORTED_FAMILY_ONLY	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:1|H2:0|H3:0|H4:6	chedy	0.436141	0.817751	0.875689	4	1	4	SUPPORTED_FAMILY_ONLY	0	0	0	0
chees	2	H2|H3	DRY_MIXTURE	NONE	getrocknete Mischung, Form II	HIGH	2	1	2	1	0	1	H3	1	0.500000	0	0	-1	0	-1	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:0|H3:1|H4:0	NONE	0.000000	0.000000	0.000000	0	0	-1	UNDECIDABLE	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:0|H3:1|H4:0	NONE	0.000000	0.000000	0.000000	0	0	-1	UNDECIDABLE	0	0	0	0
cheody	2	H1|H4	DRY_PREP_RESULT	PREP_RESULT_ODY	trocken aufbereitetes Ergebnis, Form I	HIGH	6	5	8	5	3	2	H1|H4	2	0.333333	2	0	-1	0	-1	1	0	NONE	0	NONE	0	NONE	0	NONE	1	S|B	NONE	0	H1:4|H2:0|H3:0|H4:1	chody	0.000000	0.776736	0.780399	1	0	3	CONTRADICTED_FAMILY_TRANSFER	1	0	NONE	0	NONE	0	NONE	0	NONE	1	S|B	NONE	0	H1:4|H2:0|H3:0|H4:1	ody	0.000000	0.709208	0.778755	1	0	3	CONTRADICTED_FAMILY_TRANSFER	0	0	0	0
cheol	2	H1|H4	DRY_MATERIAL	MATERIAL_OL	Trockenmaterial	MEDIUM_HIGH	18	18	22	18	5	2	H1|H4	6	0.333333	2	0	-1	0	-1	2	0	NONE	0	NONE	2	HEAT|VALUE || MATERIAL|PREPARATION	0	NONE	2	B|B|S|B	H1|H4	1	H1:10|H2:0|H3:0|H4:8	ol	0.221880	0.884909	0.830354	4	1	7	SUPPORTED_FAMILY_ONLY	1	0	NONE	0	NONE	0	NONE	0	NONE	2	B|B|S|B	NONE	0	H1:10|H2:0|H3:0|H4:8	ol	0.221880	0.949254	0.830354	4	1	6	SUPPORTED_FAMILY_ONLY	0	0	0	0
cheor	2	H1|H4	DRY_PART	DRY_PART_OR	trockener Teil-/Portionsträger	HIGH	6	6	8	6	2	2	H1|H4	0	0.000000	2	0	0	0	0	1	0	NONE	0	NONE	0	NONE	0	NONE	1	S|B	NONE	0	H1:4|H2:0|H3:0|H4:2	or	0.232119	0.822463	0.793725	4	1	7	SUPPORTED_FAMILY_ONLY	1	0	NONE	0	NONE	0	NONE	0	NONE	1	S|B	NONE	0	H1:4|H2:0|H3:0|H4:2	or	0.232119	0.727273	0.793725	3	0	6	UNDECIDABLE	0	0	0	0
cheos	2	H1|H4	DRY_PREPARATION_ITEM	NONE	Trockenansatz-Posten	MEDIUM_HIGH	4	3	3	3	2	2	H1|H4	3	0.750000	0	0	-1	0	-1	1	0	NONE	0	NONE	0	NONE	0	NONE	1	S|B	NONE	0	H1:2|H2:0|H3:0|H4:1	NONE	0.000000	0.000000	0.000000	0	0	0	UNDECIDABLE	1	0	NONE	0	NONE	0	NONE	0	NONE	1	S|B	NONE	0	H1:2|H2:0|H3:0|H4:1	NONE	0.000000	0.000000	0.000000	0	0	0	UNDECIDABLE	0	0	0	0
ches	3	H1|H2|H3	DRY_STATE	NONE	trockene Form I oder Mittelstufe	MEDIUM	4	1	2	2	0	1	H2	1	0.250000	0	0	0	0	0	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:1|H3:0|H4:0	NONE	0.000000	0.000000	0.000000	0	0	0	UNDECIDABLE	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:1|H3:0|H4:0	NONE	0.000000	0.000000	0.000000	0	0	0	UNDECIDABLE	0	0	0	0
chl	2	H3|H4	DRY_BOUND_FIELD	NONE	gebundenes Trockenfeld	LOW	3	3	3	2	1	2	H3|H4	0	0.000000	0	0	0	-1	-1	1	0	NONE	0	NONE	0	NONE	0	NONE	1	S|B	NONE	0	H1:0|H2:0|H3:1|H4:2	NONE	0.000000	0.000000	0.000000	0	0	0	UNDECIDABLE	1	0	NONE	0	NONE	0	NONE	0	NONE	1	S|B	NONE	0	H1:0|H2:0|H3:1|H4:2	NONE	0.000000	0.000000	0.000000	0	0	0	UNDECIDABLE	0	0	0	0
cho	3	H1|H2|H4	DRY_PREPARATION	NONE	trockener Ansatz oder Zubereitung	HIGH	11	6	6	6	2	3	H1|H2|H4	3	0.272727	2	0	0	0	0	2	0	NONE	0	NONE	1	HEAT|VALUE	0	NONE	1	H|A	H2|H4	0	H1:2|H2:1|H3:0|H4:3	NONE	0.000000	0.000000	0.000000	0	0	4	UNDECIDABLE	1	0	NONE	0	NONE	0	NONE	0	NONE	1	H|A	NONE	0	H1:2|H2:1|H3:0|H4:3	NONE	0.000000	0.000000	0.000000	0	0	3	UNDECIDABLE	0	0	0	0
chodain	2	H1|H2	DRY_PREP_VALUE	NONE	trockene Zubereitung: Dosis oder Wert II	HIGH	4	3	2	2	2	2	H1|H2	0	0.000000	0	0	0	0	0	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:2|H2:1|H3:0|H4:0	NONE	0.000000	0.000000	0.000000	0	0	0	UNDECIDABLE	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:2|H2:1|H3:0|H4:0	NONE	0.000000	0.000000	0.000000	0	0	0	UNDECIDABLE	0	0	0	0
chody	3	H1|H3|H4	DRY_PREP_RESULT	PREP_RESULT_ODY	trocken aufbereitetes Ergebnis, Grundform	MEDIUM_HIGH	8	5	6	4	2	3	H1|H3|H4	3	0.375000	2	0	-1	0	-1	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:3|H2:0|H3:1|H4:1	ody	0.000000	0.889212	0.756644	2	0	3	UNDECIDABLE	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:3|H2:0|H3:1|H4:1	ody	0.000000	0.780720	0.756644	1	0	2	UNDECIDABLE	0	0	0	0
chor	3	H1|H2|H4	DRY_PART	DRY_PART_OR	trockener Teil-/Portionsträger	MEDIUM	19	15	12	8	3	3	H1|H2|H4	8	0.421053	2	0	-1	0	-1	1	0	NONE	0	NONE	0	NONE	0	NONE	2	B|B|H|A	NONE	0	H1:10|H2:3|H3:0|H4:2	or	0.037905	0.928025	0.788421	2	0	4	UNDECIDABLE	1	0	NONE	0	NONE	0	NONE	0	NONE	2	B|B|H|A	NONE	0	H1:10|H2:3|H3:0|H4:2	or	0.037905	0.787460	0.788421	1	0	3	CONTRADICTED_FAMILY_TRANSFER	0	0	0	0
chos	2	H2|H3	DRY_PREPARATION	NONE	trockene Zubereitung oder Trockenposten	MEDIUM_HIGH	2	2	2	2	1	2	H2|H3	1	0.500000	0	0	-1	0	-1	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:1|H3:1|H4:0	NONE	0.000000	0.000000	0.000000	0	0	-1	UNDECIDABLE	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:1|H3:1|H4:0	NONE	0.000000	0.000000	0.000000	0	0	-1	UNDECIDABLE	0	0	0	0
choy	2	H1|H2	DRY_PREP_CLOSE	NONE	trockene Zubereitung, Grund-/Schlussform	HIGH	2	0	0	0	0	0	NONE	1	0.500000	0	0	-1	0	-1	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:0|H3:0|H4:0	NONE	0.000000	0.000000	0.000000	0	0	-1	UNDECIDABLE	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:0|H3:0|H4:0	NONE	0.000000	0.000000	0.000000	0	0	-1	UNDECIDABLE	0	0	0	0
chr	2	H3|H4	UNKNOWN	NONE	UNKNOWN	UNKNOWN	2	2	2	2	2	1	H3	0	0.000000	0	0	0	-1	-1	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:0|H3:1|H4:1	NONE	0.000000	0.000000	0.000000	0	0	-1	UNDECIDABLE	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:0|H3:1|H4:1	NONE	0.000000	0.000000	0.000000	0	0	-1	UNDECIDABLE	0	0	0	0
chs	2	H3|H4	DRY_STATE	NONE	trockene Grundform oder Trockenposten	MEDIUM	3	3	4	3	1	2	H3|H4	0	0.000000	1	0	0	0	0	1	0	NONE	0	NONE	0	NONE	0	NONE	1	B|B	NONE	0	H1:0|H2:0|H3:1|H4:2	NONE	0.000000	0.000000	0.000000	0	0	2	UNDECIDABLE	1	0	NONE	0	NONE	0	NONE	0	NONE	1	B|B	NONE	0	H1:0|H2:0|H3:1|H4:2	NONE	0.000000	0.000000	0.000000	0	0	2	UNDECIDABLE	0	0	0	0
daiin	2	H1|H4	DOSE_VALUE	NONE	Dosis-/Wertslot III	HIGH	7	4	4	4	3	2	H1|H4	1	0.142857	2	0	0	0	0	1	0	NONE	0	NONE	0	NONE	0	NONE	1	T|B	NONE	0	H1:2|H2:0|H3:0|H4:2	NONE	0.000000	0.000000	0.000000	0	0	3	UNDECIDABLE	1	0	NONE	0	NONE	0	NONE	0	NONE	1	T|B	NONE	0	H1:2|H2:0|H3:0|H4:2	NONE	0.000000	0.000000	0.000000	0	0	3	UNDECIDABLE	0	0	0	0
