patch_id	card_id	occurrence_id	page	locus	token_index	surface	body	opaque_head_id	line_position	position_exception	exact_whole_fallback_used	section	language	previous_surface	next_surface	surface_line	gdt738_scoped_whole_render_de	scope	unconditional_global_export	literal_plaintext_claimed	component_export_credit
G738-P0014	G738-W03	G737-O0321	f113v	f113v.6	2	lcheol	cheol	H4	MIDDLE	0	0	S	B	tcheolchy	chockhy	tcheolchy lcheol chockhy cheodadaiin	trocken; Träger offen	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0015	G738-W03	G737-O0632	f78v	f78v.17	4	lcheol	cheol	H4	MIDDLE	0	0	B	B	qol	lchdy	qol sheedy qol lcheol lchdy dchdy da qar olkal dy	trocken; Träger offen	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0016	G738-W03	G737-O0649	f79r	f79r.34	1	lcheol	cheol	H4	FIRST	1	0	B	B	NONE	kchedy	lcheol kchedy qotas sheey teol oteedy	Trockenstatus-Eintrag; Träger offen	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0017	G738-W03	G737-O0650	f79r	f79r.37	1	lcheol	cheol	H4	FIRST	1	0	B	B	NONE	ol	lcheol ol ol sheey olsheey sholkeey okchey dain	Trockenstatus-Eintrag; Träger offen	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0018	G738-W03	G737-O0760	f85r2	f85r2.23	2	lcheol	cheol	H4	MIDDLE	0	0	C	B	ol	chol	ol lcheol chol ol sheoly	trocken; Träger offen	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0019	G738-W04	G737-O0014	f103r	f103r.9	6	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	shey	shey	oteeos ar cheal okeey shey lkaiin shey lkeor otaiin shedy otey l dy okeedaram	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0020	G738-W04	G737-O0030	f103r	f103r.52	9	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	qopchey	otalsy	pchedal oteey qol keedy qokeey qoty chepchy qopchey lkaiin otalsy	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0021	G738-W04	G737-O0059	f104r	f104r.24	7	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	olkeeodal	chal	daiin char qotal okechol olkeeor olkeeodal lkaiin chal keeedy qokam	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0022	G738-W04	G737-O0061	f104r	f104r.32	8	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	shoda	cheodain	ysheeody qocth okshey otechshy cheol kaiin shoda lkaiin cheodain qokar alchd	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0023	G738-W04	G737-O0062	f104r	f104r.33	8	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	olcheo	chey	okchechy qokcheedy okchdal qokal char olkeeey olcheo lkaiin chey raly	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0024	G738-W04	G737-O0066	f104r	f104r.41	6	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	qokl	yteedy	qoteey qokeor soiir qoty qokl lkaiin yteedy qokain oqockhy dar	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0025	G738-W04	G737-O0069	f104v	f104v.13	8	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	cheo	cheetar	ycheol cheody qoeechdy qokeol qotaiin chedar cheo lkaiin cheetar aiin cheitaiin	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0026	G738-W04	G737-O0083	f105r	f105r.15	7	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	olkeeody	okeeol	lksheey ol r aiin okeedy olkeeody lkaiin okeeol oteeol shod daiin aral	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0027	G738-W04	G737-O0093	f105v	f105v.7	2	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	ycheeo	otair	ycheeo lkaiin otair ol olkaiin okairody lchedr	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0028	G738-W04	G737-O0098	f105v	f105v.37	5	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	qoeeo	chs	yshey ckhy sheo qoeeo lkaiin chs okol tchdy sheeey okaiin ar aildy	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0029	G738-W04	G737-O0108	f106r	f106r.30	2	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	ycheeo	cho	ycheeo lkaiin cho ror sheo l kain shor sar aiiry sheo al kairam	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0030	G738-W04	G737-O0113	f106r	f106r.40	5	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	sheey	sheedy	shaiin ar aiin sheey lkaiin sheedy shedy qokal chey okaiin chdaldy	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0031	G738-W04	G737-O0126	f107r	f107r.8	6	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	qokedy	qokaiin	torshor sheeey oteeol qokeey qokedy lkaiin qokaiin qokar al okiroley	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0032	G738-W04	G737-O0129	f107r	f107r.21	8	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	qokeol	okeeo	taror olal okain okaiin qotal shaiin qokeol lkaiin okeeo lkaiin aiin	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0033	G738-W04	G737-O0130	f107r	f107r.21	10	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	okeeo	aiin	taror olal okain okaiin qotal shaiin qokeol lkaiin okeeo lkaiin aiin	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0034	G738-W04	G737-O0132	f107r	f107r.28	9	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	otchy	ykaiin	kar aiin chl cholor sheees aiin cheey otchy lkaiin ykaiin ykalkal	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0035	G738-W04	G737-O0137	f107r	f107r.35	6	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	qokor	chedy	daiin shl lkeeol lchedy qokor lkaiin chedy qotaiin al ol kaldaim	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0036	G738-W04	G737-O0139	f107r	f107r.36	11	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	chey	lkar	dar alchor kcheo rkeey chaiin al dal qokchey qokl chey lkaiin lkar	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0037	G738-W04	G737-O0146	f107r	f107r.49	7	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	chtl	okair	o alain ay chkain okair chtl lkaiin okair chtl raty	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0038	G738-W04	G737-O0148	f107v	f107v.1	4	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	otalkchy	otody	kaisar olkeeey otalkchy lkaiin otody qokair lkal chey chody otal cheey	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0039	G738-W04	G737-O0151	f107v	f107v.3	10	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	ochedy	otal	sain ain aiiin qokaiin shol kal qokar al ochedy lkaiin otal olkiir alody	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0040	G738-W04	G737-O0157	f107v	f107v.15	4	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	okeey	okain	solain qokal okeey lkaiin okain chkal otain chcthy tarairy	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0041	G738-W04	G737-O0160	f107v	f107v.24	5	lkaiin	kaiin	H4	LAST	0	0	S	B	olkain	NONE	dain olaiin chol olkain lkaiin	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0042	G738-W04	G737-O0164	f107v	f107v.30	7	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	chol	lkeeey	okain ol okaiin lkeody otaiin chol lkaiin lkeeey qokaiin chey qoky	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0043	G738-W04	G737-O0165	f107v	f107v.31	3	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	chey	chedy	sokod chey lkaiin chedy qe okeody qokeedy rary	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0044	G738-W04	G737-O0185	f108r	f108r.50	3	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	lchedy	chdy	qokeedy lchedy lkaiin chdy qokey okedy okaram chdar ar okam	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0045	G738-W04	G737-O0210	f108v	f108v.49	4	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	cheey	cheal	saiin okain cheey lkaiin cheal cheol keear qokeedy qokeey checkhedy qokal oam	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0046	G738-W04	G737-O0303	f113r	f113r.23	11	lkaiin	kaiin	H4	LAST	0	0	S	B	lkchedy	NONE	ykeoeshy qokaiin chal kiin chckhey lkchey qokal chocthy lkchor lkchedy lkaiin	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0047	G738-W04	G737-O0314	f113r	f113r.44	4	lkaiin	kaiin	H4	LAST	0	0	S	B	chedy	NONE	cheeky lkedy chedy lkaiin	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0048	G738-W04	G737-O0315	f113r	f113r.46	3	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	cheokeeas	chkal	oaiin cheokeeas lkaiin chkal kar cheeody qokeeody qokeey chos araiinol	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0049	G738-W04	G737-O0318	f113r	f113r.50	4	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	cheeos	chey	tchedy okeey cheeos lkaiin chey otain cheeody qokeeody okaiin oteedy	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0050	G738-W04	G737-O0326	f113v	f113v.16	5	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	keey	chdain	daiin chl l keey lkaiin chdain qokain eor okalchedy qokar olkam ar	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0051	G738-W04	G737-O0344	f113v	f113v.47	3	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	ksheeol	tair	polaiin ksheeol lkaiin tair shey qotain ar akal shey qopchedy ldy	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0052	G738-W04	G737-O0346	f113v	f113v.48	10	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	qokeeedy	okal	y cheol cheey qol lsheedy qokaiin chedy kain qokeeedy lkaiin okal dy	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0053	G738-W04	G737-O0395	f115v	f115v.39	6	lkaiin	kaiin	H4	MIDDLE	0	0	S	B	qokain	lkchey	dairal chain ykeedy qokedy qokain lkaiin lkchey lkain lror	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0054	G738-W04	G737-O0582	f76r	f76r.44	6	lkaiin	kaiin	H4	MIDDLE	0	0	T	B	alol	ol	poleedaran shckhy qoty ykar alol lkaiin ol shedy otain okar opar kolpy	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0055	G738-W04	G737-O0621	f77v	f77v.41	3	lkaiin	kaiin	H4	MIDDLE	0	0	B	B	lchedy	dy	chedy lchedy lkaiin dy qokal dar chdain ldchey ol raiin oldy	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0056	G738-W04	G737-O0674	f80r	f80r.52	5	lkaiin	kaiin	H4	MIDDLE	0	0	B	B	qoklcheey	ol	sol tl shey qoklcheey lkaiin ol olor aiin y daiin cheol kain	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0057	G738-W04	G737-O0702	f82r	f82r.20	7	lkaiin	kaiin	H4	MIDDLE	0	0	B	B	keeedy	shedy	posalshy qokedy cphal shedy sheol keeedy lkaiin shedy qoly	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0058	G738-W04	G737-O0767	f86v5	f86v5.18	5	lkaiin	kaiin	H4	MIDDLE	0	0	T	B	otcho	os	poldaiin shea teraiin otcho lkaiin os al ody qotar ytedy daiin	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0059	G738-W04	G737-O0777	f86v6	f86v6.36	8	lkaiin	kaiin	H4	MIDDLE	0	0	T	B	qokeey	olkaiin	dairal daiin qokar chol tal cthdy qokeey lkaiin olkaiin araiin	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0060	G738-W04	G737-O0780	f86v6	f86v6.38	9	lkaiin	kaiin	H4	MIDDLE	0	0	T	B	qoedy	oltam	poiin otal kal toror olaiin okeockhey olkeey qoedy lkaiin oltam	Wärme-/Verarbeitungsstufe III	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0061	G738-W05	G737-O0049	f103v	f103v.45	5	lkain	kain	H4	MIDDLE	0	0	S	B	lcheey	shckhy	okey ol cheey lcheey lkain shckhy sheckhy or ain otar oly	Wärme-/Verarbeitungsstufe II	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0062	G738-W05	G737-O0056	f104r	f104r.13	5	lkain	kain	H4	MIDDLE	0	0	S	B	okcho	okar	olcheol qodain chokar okcho lkain okar cheody okeeody qodam chdy	Wärme-/Verarbeitungsstufe II	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0063	G738-W05	G737-O0058	f104r	f104r.23	6	lkain	kain	H4	MIDDLE	0	0	S	B	okeedal	chol	ol sheockhey chol kechdy okeedal lkain chol keeody otchor aiir chol kar alol	Wärme-/Verarbeitungsstufe II	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0064	G738-W05	G737-O0131	f107r	f107r.24	6	lkain	kain	H4	MIDDLE	0	0	S	B	kair	qokeeo	pal alchky okil cheol kair lkain qokeeo kair dar aiinpchod lkaiiin olfy	Wärme-/Verarbeitungsstufe II	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0065	G738-W05	G737-O0141	f107r	f107r.39	9	lkain	kain	H4	MIDDLE	0	0	S	B	cho	al	tair cheol cheol kchekain cheear ol oiin cho lkain al oeedy chey	Wärme-/Verarbeitungsstufe II	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0066	G738-W05	G737-O0170	f107v	f107v.38	9	lkain	kain	H4	LAST	0	0	S	B	oteey	NONE	dain okchey qokchey qokaiin olkeey qokol oteey oteey lkain	Wärme-/Verarbeitungsstufe II	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0067	G738-W05	G737-O0172	f107v	f107v.41	13	lkain	kain	H4	LAST	0	0	S	B	qokeey	NONE	pokar ar keey okeeo l cheey qokchey oteey lkeeo l lkeedy qokeey lkain	Wärme-/Verarbeitungsstufe II	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0068	G738-W05	G737-O0205	f108v	f108v.37	8	lkain	kain	H4	MIDDLE	0	0	S	B	shey	shedy	sain sheor sheey sheckhey qokey okey shey lkain shedy qokain dalam	Wärme-/Verarbeitungsstufe II	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0069	G738-W05	G737-O0250	f111v	f111v.21	9	lkain	kain	H4	MIDDLE	0	0	S	B	lkeey	cheokain	sair air ain qol rar ain cheey lkeey lkain cheokain sheo qo qokain chear alam	Wärme-/Verarbeitungsstufe II	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0070	G738-W05	G737-O0252	f111v	f111v.24	5	lkain	kain	H4	MIDDLE	0	0	S	B	chedy	chey	cheodain qokar otain chedy lkain chey shckhy qokl chedy qokar chctham	Wärme-/Verarbeitungsstufe II	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0071	G738-W05	G737-O0255	f111v	f111v.30	10	lkain	kain	H4	MIDDLE	0	0	S	B	ar	lky	shokar okeokain sheekain qokain chechey qokeey qetain otain ar lkain lky	Wärme-/Verarbeitungsstufe II	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0072	G738-W05	G737-O0259	f111v	f111v.31	9	lkain	kain	H4	MIDDLE	0	0	S	B	chey	chal	pochey oteain chekain cheal lain chey qokain chey lkain chal ldy llm	Wärme-/Verarbeitungsstufe II	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0073	G738-W05	G737-O0260	f111v	f111v.35	4	lkain	kain	H4	MIDDLE	0	0	S	B	chcthy	lchey	oain okaiin chcthy lkain lchey lshekain qotal shedy chkeey lkeeed lkain y	Wärme-/Verarbeitungsstufe II	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0074	G738-W05	G737-O0261	f111v	f111v.35	11	lkain	kain	H4	MIDDLE	0	0	S	B	lkeeed	y	oain okaiin chcthy lkain lchey lshekain qotal shedy chkeey lkeeed lkain y	Wärme-/Verarbeitungsstufe II	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0075	G738-W05	G737-O0265	f111v	f111v.40	2	lkain	kain	H4	MIDDLE	0	0	S	B	ykeeey	chckhy	ykeeey lkain chckhy chokain chckhal sheckhedy qokeey qokeedy lchsl	Wärme-/Verarbeitungsstufe II	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0076	G738-W05	G737-O0295	f112v	f112v.38	10	lkain	kain	H4	MIDDLE	0	0	S	B	chedar	cheo	sa ar oiin okchey al chedy chol otaiin chedar lkain cheo dain	Wärme-/Verarbeitungsstufe II	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0077	G738-W05	G737-O0364	f115r	f115r.14	4	lkain	kain	H4	MIDDLE	0	0	S	B	qo	cheey	ycheeo rcheeo qo lkain cheey saiin cheedy tcheo lodar chtar as kaiin dam	Wärme-/Verarbeitungsstufe II	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0078	G738-W05	G737-O0396	f115v	f115v.39	8	lkain	kain	H4	MIDDLE	0	0	S	B	lkchey	lror	dairal chain ykeedy qokedy qokain lkaiin lkchey lkain lror	Wärme-/Verarbeitungsstufe II	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0079	G738-W05	G737-O0402	f116r	f116r.5	6	lkain	kain	H4	MIDDLE	0	0	S	B	chedy	oteedy	dain sheed qokchdy otal chedy lkain oteedy otor aiin oty lol rol oly	Wärme-/Verarbeitungsstufe II	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0080	G738-W05	G737-O0412	f116r	f116r.27	7	lkain	kain	H4	MIDDLE	0	0	S	B	chckhy	chy	daiin chey qokey lshedy orain chckhy lkain chy pshedy lshedy qoky ram	Wärme-/Verarbeitungsstufe II	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0081	G738-W05	G737-O0416	f116r	f116r.29	7	lkain	kain	H4	MIDDLE	0	0	S	B	l	chear	cthan cheey lkeeal lshey chl l lkain chear aiin chl l keedy raraiin ory	Wärme-/Verarbeitungsstufe II	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0082	G738-W05	G737-O0424	f116r	f116r.36	5	lkain	kain	H4	MIDDLE	0	0	S	B	okeey	l	qokeey rain shey okeey lkain l dain chey sheckhy qy qokl ain	Wärme-/Verarbeitungsstufe II	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0083	G738-W05	G737-O0569	f76r	f76r.9	12	lkain	kain	H4	MIDDLE	0	0	T	B	otchy	chedy	shed al shckhy r ain chcphedy ain olkeey lkar ain otchy lkain chedy dar daly	Wärme-/Verarbeitungsstufe II	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
