body	family	working_axis_tags	prior_candidate_de_unlicensed	prior_confidence	headed_occurrences	reader_exact_occurrences	formal705_slots	sem570_slots	w23_axis195_slots	discovery_score_not_probability	discovery_decision	w23_score_not_probability	w23_decision	discovery_complete_forms	renderer_licensed_complete_forms	state_patient_status	scalar_dimension_status	body_renderer_license	literal_head_lexeme_credit	literal_body_lexeme_credit	component_export_credit
ary	PART_CLOSE	CLOSE|PART	Teil-/Fraktionsstufe I, abgeschlossen	HIGH	10	8	7	5	2	1	UNDECIDABLE	1	UNDECIDABLE	0	0	NOT_IDENTIFIED	NOT_APPLICABLE	0	0	0	0
chaiin	DRY_VALUE	DRY|VALUE	Trockenindex oder -grad III	HIGH	2	2	2	1	0	1	UNDECIDABLE	1	UNDECIDABLE	0	0	OPEN	OPEN	0	0	0	0
chal	DRY_MATERIAL	DRY|MATERIAL	trockenes Material, Stufe I	HIGH	9	6	8	6	4	2	UNDECIDABLE	1	CONTRADICTED_FAMILY_TRANSFER	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
char	DRY_PART	DRY|PART	trockene Teil-/Fraktionsstufe I	MEDIUM_HIGH	8	6	8	7	4	2	CONTRADICTED_FAMILY_TRANSFER	2	CONTRADICTED_FAMILY_TRANSFER	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
chdaiin	DRY_DOSE_VALUE	DRY|VALUE	Trockenresultat: Dosis oder Wert III	MEDIUM_HIGH	5	2	2	2	1	0	UNDECIDABLE	0	UNDECIDABLE	0	0	OPEN	OPEN	0	0	0	0
chdal	DRY_DOSED_MATERIAL	DRY|VALUE|MATERIAL	abgemessenes Trockenmaterial, Stufe I/Grundform	MEDIUM_HIGH	3	2	2	2	1	-1	UNDECIDABLE	-1	UNDECIDABLE	0	0	OPEN	OPEN	0	0	0	0
chdol	DRY_MATERIAL_MEASURE	DRY|VALUE|MATERIAL	Trockenmaterial-Maßslot	MEDIUM	3	3	4	3	1	0	UNDECIDABLE	0	UNDECIDABLE	0	0	OPEN	OPEN	0	0	0	0
cheam	DRY_ENTRY_CLOSE	DRY|CLOSE	Trockenform, Eintragsabschluss I	MEDIUM_HIGH	4	4	1	1	1	1	UNDECIDABLE	1	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
chear	DRY_PART	DRY|PART	trockene Teil-/Fraktionsstufe I, Form I	MEDIUM_HIGH	3	3	4	4	1	1	UNDECIDABLE	0	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
ched	DRY_RESULT	DRY|CLOSE	getrocknetes Ergebnis, Mittel-/Schlussform	MEDIUM_HIGH	8	8	6	5	2	3	UNDECIDABLE	3	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
chedair	DRY_PART_VALUE	DRY|VALUE|PART	getrocknete Fraktion, Form I/Wert II	MEDIUM	2	1	1	1	1	0	UNDECIDABLE	0	UNDECIDABLE	0	0	OPEN	OPEN	0	0	0	0
chedal	DRY_DOSED_MATERIAL	DRY|VALUE|MATERIAL	abgemessenes Trockenmaterial, Stufe I/Form I	MEDIUM_HIGH	6	5	5	3	0	3	UNDECIDABLE	3	UNDECIDABLE	0	0	OPEN	OPEN	0	0	0	0
chedar	DRY_DOSED_PART	DRY|VALUE|PART	abgemessene Trockenfraktion I, Form I	MEDIUM_HIGH	13	8	6	2	1	3	UNDECIDABLE	3	UNDECIDABLE	0	0	OPEN	OPEN	0	0	0	0
cheedy	DRY_RESULT	DRY|CLOSE	getrocknetes Ergebnis, Form II	HIGH	10	7	9	7	3	4	SUPPORTED_FAMILY_ONLY	4	SUPPORTED_FAMILY_ONLY	1	1	OPEN	NOT_APPLICABLE	0	0	0	0
chees	DRY_MIXTURE	DRY	getrocknete Mischung, Form II	HIGH	2	1	2	1	0	-1	UNDECIDABLE	-1	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
cheody	DRY_PREP_RESULT	DRY|PREPARATION|CLOSE	trocken aufbereitetes Ergebnis, Form I	HIGH	6	5	8	5	3	3	CONTRADICTED_FAMILY_TRANSFER	3	CONTRADICTED_FAMILY_TRANSFER	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
cheol	DRY_MATERIAL	DRY|MATERIAL	Trockenmaterial	MEDIUM_HIGH	18	18	22	18	5	7	SUPPORTED_FAMILY_ONLY	6	SUPPORTED_FAMILY_ONLY	2	2	OPEN	NOT_APPLICABLE	0	0	0	0
cheor	DRY_PART	DRY|PART	trockener Teil-/Portionsträger	HIGH	6	6	8	6	2	7	SUPPORTED_FAMILY_ONLY	6	UNDECIDABLE	2	0	OPEN	NOT_APPLICABLE	0	0	0	0
cheos	DRY_PREPARATION_ITEM	DRY|PREPARATION	Trockenansatz-Posten	MEDIUM_HIGH	4	3	3	3	2	0	UNDECIDABLE	0	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
ches	DRY_STATE	DRY	trockene Form I oder Mittelstufe	MEDIUM	4	1	2	2	0	0	UNDECIDABLE	0	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
chl	DRY_BOUND_FIELD	DRY	gebundenes Trockenfeld	LOW	3	3	3	2	1	0	UNDECIDABLE	0	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
cho	DRY_PREPARATION	DRY|PREPARATION	trockener Ansatz oder Zubereitung	HIGH	11	6	6	6	2	4	UNDECIDABLE	3	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
chodain	DRY_PREP_VALUE	DRY|VALUE|PREPARATION	trockene Zubereitung: Dosis oder Wert II	HIGH	4	3	2	2	2	0	UNDECIDABLE	0	UNDECIDABLE	0	0	OPEN	OPEN	0	0	0	0
chody	DRY_PREP_RESULT	DRY|PREPARATION|CLOSE	trocken aufbereitetes Ergebnis, Grundform	MEDIUM_HIGH	8	5	6	4	2	3	UNDECIDABLE	2	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
chor	DRY_PART	DRY|PART	trockener Teil-/Portionsträger	MEDIUM	19	15	12	8	3	4	UNDECIDABLE	3	CONTRADICTED_FAMILY_TRANSFER	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
chos	DRY_PREPARATION	DRY|PREPARATION	trockene Zubereitung oder Trockenposten	MEDIUM_HIGH	2	2	2	2	1	-1	UNDECIDABLE	-1	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
choy	DRY_PREP_CLOSE	DRY|PREPARATION|CLOSE	trockene Zubereitung, Grund-/Schlussform	HIGH	2	0	0	0	0	-1	UNDECIDABLE	-1	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
chr	UNKNOWN	OTHER	UNKNOWN	UNKNOWN	2	2	2	2	2	-1	UNDECIDABLE	-1	UNDECIDABLE	0	0	NOT_IDENTIFIED	NOT_APPLICABLE	0	0	0	0
chs	DRY_STATE	DRY	trockene Grundform oder Trockenposten	MEDIUM	3	3	4	3	1	2	UNDECIDABLE	2	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
daiin	DOSE_VALUE	VALUE	Dosis-/Wertslot III	HIGH	7	4	4	4	3	3	UNDECIDABLE	3	UNDECIDABLE	0	0	NOT_IDENTIFIED	OPEN	0	0	0	0
dal	MATERIAL_MEASURE	VALUE|MATERIAL	abgemessene Materialstufe I	MEDIUM_HIGH	2	1	1	1	0	-1	UNDECIDABLE	-1	UNDECIDABLE	0	0	NOT_IDENTIFIED	OPEN	0	0	0	0
dar	DOSED_PART	VALUE|PART	abgemessener Anteil, Stufe I	HIGH	7	5	3	2	0	1	UNDECIDABLE	1	UNDECIDABLE	0	0	NOT_IDENTIFIED	OPEN	0	0	0	0
dol	MATERIAL_MEASURE	VALUE|MATERIAL	Materialmaß oder Materialwert	MEDIUM	3	2	0	0	0	0	UNDECIDABLE	0	UNDECIDABLE	0	0	NOT_IDENTIFIED	OPEN	0	0	0	0
kaiin	HEAT_VALUE	HEAT|VALUE	erhitzte Form: Index III	HIGH	51	46	61	45	16	7	SUPPORTED_FAMILY_ONLY	7	SUPPORTED_FAMILY_ONLY	2	2	OPEN	OPEN	0	0	0	0
kain	HEAT_VALUE	HEAT|VALUE	erhitzte Form: Index II	HIGH	34	28	42	40	13	7	SUPPORTED_FAMILY_ONLY	7	SUPPORTED_FAMILY_ONLY	1	1	OPEN	OPEN	0	0	0	0
kal	HEATED_MATERIAL	HEAT|MATERIAL	erhitztes Material, Stufe I	MEDIUM_HIGH	7	5	7	7	2	3	UNDECIDABLE	2	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
kar	HEATED_PART	HEAT|PART	erhitzte Teil-/Fraktionsstufe I	HIGH	33	31	45	38	7	10	SUPPORTED_FAMILY_ONLY	9	SUPPORTED_FAMILY_ONLY	1	1	OPEN	NOT_APPLICABLE	0	0	0	0
kchdy	HOT_DRY_RESULT	HEAT|DRY|CLOSE	erhitzt-trockenes Ergebnis, Grundform	HIGH	6	3	2	2	2	0	UNDECIDABLE	0	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
keeal	HEATED_MATERIAL	HEAT|MATERIAL	vollständig erhitztes Material, Stufe I	LOW	2	2	1	1	0	-1	UNDECIDABLE	-1	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
keeody	HEATED_PREP_RESULT	HEAT|PREPARATION|CLOSE	vollständig erhitztes Zubereitungsergebnis	MEDIUM_HIGH	6	2	2	2	1	0	UNDECIDABLE	0	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
keey	HEAT_STATE	HEAT	erhitzte Form II	HIGH	39	35	46	39	17	8	SUPPORTED_FAMILY_ONLY	6	UNDECIDABLE	1	0	OPEN	NOT_APPLICABLE	0	0	0	0
key	HEAT_STATE	HEAT	erhitzte Form I	HIGH	8	8	12	8	1	6	SUPPORTED_FAMILY_ONLY	5	UNDECIDABLE	1	0	OPEN	NOT_APPLICABLE	0	0	0	0
ky	HEAT_STATE	HEAT	erhitzte Grundform	HIGH	21	18	23	16	3	7	SUPPORTED_FAMILY_ONLY	6	UNDECIDABLE	1	0	OPEN	NOT_APPLICABLE	0	0	0	0
l	NESTED_HEAD	OTHER	verschachtelter H4-Kopf oder gebundenes Feld	STRUCTURE_ONLY	4	3	4	2	1	0	UNDECIDABLE	0	UNDECIDABLE	0	0	NOT_IDENTIFIED	NOT_APPLICABLE	0	0	0	0
o	PREPARATION_CARRIER	PREPARATION	Ansatz-/Zubereitungsrahmen	LOW	34	26	18	12	4	5	UNDECIDABLE	3	CONTRADICTED_FAMILY_TRANSFER	0	0	NOT_IDENTIFIED	NOT_APPLICABLE	0	0	0	0
oar	PREPARATION_PART	PREPARATION|PART	Zubereitungsanteil, Stufe I	MEDIUM_HIGH	3	3	1	1	1	0	UNDECIDABLE	0	UNDECIDABLE	0	0	NOT_IDENTIFIED	NOT_APPLICABLE	0	0	0	0
ochedy	DRY_PREP_RESULT	DRY|PREPARATION|CLOSE	Zubereitung aus Trockenresultat, Form I	HIGH	3	1	1	1	0	0	UNDECIDABLE	0	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
ochey	DRY_PREPARATION	DRY|PREPARATION	trockene Zubereitung, Form I	MEDIUM_HIGH	2	2	3	2	1	0	UNDECIDABLE	0	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
od	MEASURE_PROCESS_WHOLE	VALUE	Abmess- oder Entnahmeschritt am Ansatz	MEDIUM_HIGH	3	3	2	2	0	1	UNDECIDABLE	1	UNDECIDABLE	0	0	NOT_IDENTIFIED	OPEN	0	0	0	0
odair	PREP_PART_VALUE	VALUE|PREPARATION|PART	Zubereitungsanteil oder -dosis, Stufe II	LOW	2	2	3	2	0	-2	UNDECIDABLE	-2	UNDECIDABLE	0	0	NOT_IDENTIFIED	OPEN	0	0	0	0
odar	PREP_DOSED_PART	VALUE|PREPARATION|PART	Zubereitungsanteil oder Dosisstufe I	MEDIUM_HIGH	5	3	4	0	0	1	UNDECIDABLE	1	UNDECIDABLE	0	0	NOT_IDENTIFIED	OPEN	0	0	0	0
oees	PREPARATION_ITEM	PREPARATION	Zubereitungsposten, Endform	MEDIUM	2	1	1	1	1	-1	UNDECIDABLE	-1	UNDECIDABLE	0	0	NOT_IDENTIFIED	NOT_APPLICABLE	0	0	0	0
oiiin	PREPARATION_VALUE	VALUE|PREPARATION	Zubereitungsform: Index IV	HIGH	5	4	5	3	1	2	UNDECIDABLE	2	UNDECIDABLE	0	0	NOT_IDENTIFIED	OPEN	0	0	0	0
oiir	UNKNOWN	OTHER	UNKNOWN	UNKNOWN	2	1	1	1	0	-2	UNDECIDABLE	-2	UNDECIDABLE	0	0	NOT_IDENTIFIED	NOT_APPLICABLE	0	0	0	0
oiis	UNKNOWN	OTHER	UNKNOWN	UNKNOWN	2	2	3	3	1	-2	UNDECIDABLE	-2	UNDECIDABLE	0	0	NOT_IDENTIFIED	NOT_APPLICABLE	0	0	0	0
oiry	PREP_PART_CLOSE	PREPARATION|CLOSE|PART	Zubereitungsfraktion II, Grund-/Schlussform	LOW	2	0	0	0	0	-1	UNDECIDABLE	-1	UNDECIDABLE	0	0	NOT_IDENTIFIED	NOT_APPLICABLE	0	0	0	0
okaiin	HEATED_PREP_VALUE	HEAT|VALUE|PREPARATION	erhitzte Zubereitung: Index III	HIGH	2	2	3	3	0	1	UNDECIDABLE	1	UNDECIDABLE	0	0	OPEN	OPEN	0	0	0	0
okain	HEATED_PREP_VALUE	HEAT|VALUE|PREPARATION	erhitzte Zubereitung: Index II	HIGH	2	2	3	3	1	0	UNDECIDABLE	0	UNDECIDABLE	0	0	OPEN	OPEN	0	0	0	0
okar	HEATED_PREP_PART	HEAT|PREPARATION|PART	erhitzte Zubereitungsfraktion I	HIGH	3	3	3	2	0	-1	UNDECIDABLE	-1	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
okedy	HEATED_PREP_RESULT	HEAT|PREPARATION|CLOSE	erhitztes Zubereitungsergebnis, Form I	HIGH	2	0	0	0	0	-1	UNDECIDABLE	-1	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
okeedy	HEATED_PREP_RESULT	HEAT|PREPARATION|CLOSE	erhitztes Zubereitungsergebnis, Form II	HIGH	5	1	1	1	1	0	UNDECIDABLE	0	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
okeey	HEATED_PREPARATION	HEAT|PREPARATION	erhitzte Zubereitung, Form II	HIGH	4	3	3	2	1	0	UNDECIDABLE	0	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
olaiin	MATERIAL_VALUE	VALUE|MATERIAL	Materialträger: Wert III	HIGH	9	9	7	6	3	2	UNDECIDABLE	2	UNDECIDABLE	0	0	NOT_IDENTIFIED	OPEN	0	0	0	0
olain	MATERIAL_VALUE	VALUE|MATERIAL	Materialträger: Wert II	HIGH	2	2	2	2	1	1	UNDECIDABLE	1	UNDECIDABLE	0	0	NOT_IDENTIFIED	OPEN	0	0	0	0
olchey	DRY_MATERIAL	DRY|MATERIAL	getrocknetes Material, Form I	HIGH	4	2	1	1	1	3	UNDECIDABLE	3	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
olchor	DRY_MATERIAL_PART	DRY|PART|MATERIAL	Trockenmaterialportion	MEDIUM	2	1	2	2	0	0	UNDECIDABLE	0	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
olchy	DRY_MATERIAL	DRY|MATERIAL	Trockenmaterial, Grundform	HIGH	2	2	2	1	0	0	UNDECIDABLE	0	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
oldaiin	MATERIAL_RESULT_VALUE	VALUE|CLOSE|MATERIAL	Materialergebnis: Dosis oder Wert III	MEDIUM	2	0	0	0	0	0	UNDECIDABLE	0	UNDECIDABLE	0	0	NOT_IDENTIFIED	OPEN	0	0	0	0
oldy	MATERIAL_RESULT	CLOSE|MATERIAL	fertig aufbereitetes Materialergebnis	HIGH	4	3	4	4	1	1	UNDECIDABLE	1	UNDECIDABLE	0	0	NOT_IDENTIFIED	NOT_APPLICABLE	0	0	0	0
olkaiin	HEATED_MATERIAL_VALUE	HEAT|VALUE|MATERIAL	erhitztes Material: Index III	MEDIUM_HIGH	5	4	5	5	2	2	UNDECIDABLE	2	UNDECIDABLE	0	0	OPEN	OPEN	0	0	0	0
olkain	HEATED_MATERIAL_VALUE	HEAT|VALUE|MATERIAL	erhitztes Material: Index II	HIGH	3	2	2	1	0	-1	UNDECIDABLE	-1	UNDECIDABLE	0	0	OPEN	OPEN	0	0	0	0
olkedy	HEATED_MATERIAL_RESULT	HEAT|CLOSE|MATERIAL	erhitztes Materialergebnis, Form I	HIGH	3	1	0	0	0	-1	UNDECIDABLE	-1	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
olkeedy	HEATED_MATERIAL_RESULT	HEAT|CLOSE|MATERIAL	erhitztes Materialergebnis, Form II	HIGH	5	4	4	4	1	3	UNDECIDABLE	3	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
olkeey	HEATED_MATERIAL	HEAT|MATERIAL	erhitztes Material, Form II	HIGH	6	5	4	3	1	3	UNDECIDABLE	3	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
olky	HEATED_MATERIAL	HEAT|MATERIAL	erhitztes Material, Grundform	MEDIUM_HIGH	3	2	1	1	0	0	UNDECIDABLE	0	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
olol	MATERIAL_CARRIER	MATERIAL	Materialgrundlage oder Materialansatz	MEDIUM	2	1	0	0	0	0	UNDECIDABLE	0	UNDECIDABLE	0	0	NOT_IDENTIFIED	NOT_APPLICABLE	0	0	0	0
olor	MATERIAL_PART	PART|MATERIAL	Zutaten- oder Materialportion	HIGH	3	3	3	3	1	0	UNDECIDABLE	0	UNDECIDABLE	0	0	NOT_IDENTIFIED	NOT_APPLICABLE	0	0	0	0
ols	MATERIAL_ITEM	MATERIAL	Materialposten	HIGH	4	3	2	2	2	-1	UNDECIDABLE	-1	UNDECIDABLE	0	0	NOT_IDENTIFIED	NOT_APPLICABLE	0	0	0	0
olshedy	MOIST_MATERIAL_RESULT	MOIST|CLOSE|MATERIAL	angefeuchtetes Materialergebnis, Form I	HIGH	5	1	0	0	0	-1	UNDECIDABLE	-1	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
olshey	MOIST_MATERIAL	MOIST|MATERIAL	angefeuchtetes Material, Form I	HIGH	3	1	2	2	1	-1	UNDECIDABLE	-1	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
oly	PROCESS_WHOLE	OTHER	Abseih- oder Trennschritt	MEDIUM_HIGH	8	8	8	6	3	2	UNDECIDABLE	2	UNDECIDABLE	0	0	NOT_IDENTIFIED	NOT_APPLICABLE	0	0	0	0
om	PREPARATION_MEASURE	VALUE|PREPARATION	Zubereitungsmaß	MEDIUM	7	4	3	3	0	1	UNDECIDABLE	1	UNDECIDABLE	0	0	NOT_IDENTIFIED	OPEN	0	0	0	0
orain	PART_VALUE	VALUE|PART	Teil-/Portionsträger: Wert II	HIGH	4	2	1	1	0	0	UNDECIDABLE	0	UNDECIDABLE	0	0	NOT_IDENTIFIED	OPEN	0	0	0	0
oror	PART_PAIR	PART	gekoppelter Teil-/Portionsträger	LOW	2	1	1	1	0	-1	UNDECIDABLE	-1	UNDECIDABLE	0	0	NOT_IDENTIFIED	NOT_APPLICABLE	0	0	0	0
ory	PART_CLOSE	CLOSE|PART	Teil-/Portionsträger, Grund-/Schlussform	MEDIUM_HIGH	3	2	2	2	1	0	UNDECIDABLE	0	UNDECIDABLE	0	0	NOT_IDENTIFIED	NOT_APPLICABLE	0	0	0	0
os	PREPARATION_ITEM	PREPARATION	Zubereitungsposten	LOW	8	8	11	9	4	1	UNDECIDABLE	1	UNDECIDABLE	0	0	NOT_IDENTIFIED	NOT_APPLICABLE	0	0	0	0
osaiin	PREP_ITEM_VALUE	VALUE|PREPARATION	Zubereitungsposten: Wert III	LOW	2	1	2	2	0	-1	UNDECIDABLE	-1	UNDECIDABLE	0	0	NOT_IDENTIFIED	OPEN	0	0	0	0
otaiin	COLD_PREP_VALUE	COLD|VALUE|PREPARATION	kalte/abgekühlte Zubereitung: Index III	HIGH	2	2	3	2	0	-1	UNDECIDABLE	-1	UNDECIDABLE	0	0	OPEN	OPEN	0	0	0	0
oty	COLD_PREPARATION	COLD|PREPARATION	kalte oder abgekühlte Zubereitung, Grundform	MEDIUM_HIGH	5	5	2	1	0	1	UNDECIDABLE	1	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
paiin	NESTED_RECORD_FORM	OTHER	Verweis auf H1-Ordinal-III-Eintrag	STRUCTURE_ONLY	2	1	0	0	0	-1	UNDECIDABLE	-1	UNDECIDABLE	0	0	NOT_IDENTIFIED	NOT_APPLICABLE	0	0	0	0
pchey	NESTED_RECORD_FORM	OTHER	Verweis auf H1-Trockenform-I-Eintrag	STRUCTURE_ONLY	2	2	2	0	0	0	UNDECIDABLE	0	UNDECIDABLE	0	0	NOT_IDENTIFIED	NOT_APPLICABLE	0	0	0	0
r	NESTED_HEAD	OTHER	verschachtelter H3-Kopf oder Bezugsslot	STRUCTURE_ONLY	11	9	13	13	2	0	UNDECIDABLE	0	UNDECIDABLE	0	0	NOT_IDENTIFIED	NOT_APPLICABLE	0	0	0	0
shar	MOIST_PART	MOIST|PART	angefeuchtete Teil-/Fraktionsstufe I	HIGH	2	2	2	2	0	-1	UNDECIDABLE	-1	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
shdaiin	MOIST_RESULT_VALUE	MOIST|VALUE|CLOSE	angefeuchtetes Ergebnis: Dosis oder Wert III	HIGH	2	1	1	0	0	0	UNDECIDABLE	0	UNDECIDABLE	0	0	OPEN	OPEN	0	0	0	0
shdy	MOIST_RESULT	MOIST|CLOSE	angefeuchtetes Ergebnis, Grundform	HIGH	5	3	3	3	2	2	UNDECIDABLE	3	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
sheckhy	MOIST_MIXTURE	MOIST	angefeuchtete Mischung, Grundform	MEDIUM_HIGH	3	2	2	1	0	1	UNDECIDABLE	1	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
shed	MOIST_RESULT	MOIST|CLOSE	Einweich-/Feuchtergebnis, Mittel-/Schlussform	MEDIUM_HIGH	4	3	4	3	1	2	UNDECIDABLE	2	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
sheedy	MOIST_RESULT	MOIST|CLOSE	angefeuchtetes oder eingeweichtes Ergebnis, Form II	HIGH	11	6	8	7	0	12	SUPPORTED_CROSS_HEAD	9	SUPPORTED_CROSS_HEAD	2	2	OPEN	NOT_APPLICABLE	0	0	0	0
sheey	MOIST_STATE	MOIST	feuchte oder angeweichte Form II	HIGH	9	7	10	10	6	0	UNDECIDABLE	0	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
sheg	ENTRY_CLOSE	CLOSE	opaker feuchtbezogener Eintragsabschluss G	STRUCTURE_ONLY	2	1	1	1	1	0	UNDECIDABLE	0	UNDECIDABLE	0	0	NOT_IDENTIFIED	NOT_APPLICABLE	0	0	0	0
sheo	MOIST_PREPARATION	MOIST|PREPARATION	feuchte oder angeweichte Zubereitung	HIGH	2	1	2	1	0	0	UNDECIDABLE	0	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
sheodar	MOIST_PREP_PART	MOIST|PREPARATION|PART	angefeuchtete Zubereitungsfraktion I	MEDIUM	2	1	1	1	0	-1	UNDECIDABLE	-1	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
sheody	MOIST_PREP_RESULT	MOIST|PREPARATION|CLOSE	feucht aufbereitetes Ergebnis, Grundform	MEDIUM_HIGH	7	6	5	2	0	4	UNDECIDABLE	4	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
sheol	MOIST_MATERIAL	MOIST|MATERIAL	Feuchtmaterial, Form I	HIGH	3	1	1	1	0	-1	UNDECIDABLE	-1	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
