candidate_local_card_ordinal	source_event_id	physical_page	register	locus	record_id	owner_de	surface	complete_slot_count	carrier_assignment_count	carrier_action_host_count	carrier_slot_ids	host_count	gdt584_polished_local_clause_de	gdt587_action_noun_local_clause_de	gdt587_named_carrier_primary_de	reader_changed	gdt587_exact_slot_trace_de	guard
11	P912-E1980	f68r1	CELESTIAL	f68r1.18	NOT_APPLICABLE	mehrteiliger Sternatlas mit lokalen Zentren	ytchody	6	1	1	LOCAL_COMPONENT:P912-E1980@1	2	Stelle die Ringposition ein. Lies die Ringposition in Eintragsform und an der unteren Ringstelle ab.	Stelle die Ringposition ein. Lies die Ringposition in Eintragsform und an der unteren Ringstelle ab.	NOT_APPLICABLE	NO	[LOCAL_COMPONENT:P912-E1980@1=Y:Ringposition|LOCAL_ACTION:P912-E1980@2:T] [LOCAL_COMPONENT:P912-E1980@2=T:Stelle die Ringposition ein|LOCAL_ACTION:P912-E1980@2:T] [LOCAL_COMPONENT:P912-E1980@3=CH:Lies ab|LOCAL_ACTION:P912-E1980@3:CH] [LOCAL_COMPONENT:P912-E1980@4=O:in Eintragsform|LOCAL_ACTION:P912-E1980@3:CH] [LOCAL_COMPONENT:P912-E1980@5=D_ADDR:an der unteren Ringstelle|LOCAL_ACTION:P912-E1980@3:CH] [LOCAL_COMPONENT:P912-E1980@6=Y:Ringposition|LOCAL_ACTION:P912-E1980@3:CH]	FIXED_LOCAL_CARD_OWNER_RECORD_AND_HOSTS__NAME_AND_CARRIER_SLOTS_DISTINCT
12	P912-E1981	f68r1	CELESTIAL	f68r1.19	NOT_APPLICABLE	mehrteiliger Sternatlas mit lokalen Zentren	otys	3	1	1	LOCAL_COMPONENT:P912-E1981@2	2	Beginne danach den nächsten Arbeitsgang. Wähle die Ringposition aus.	Beginne danach den nächsten Arbeitsgang. Wähle die Ringposition aus.	NOT_APPLICABLE	NO	[LOCAL_COMPONENT:P912-E1981@1=OT:danach / neuer Arbeitsgang|LOCAL_CONTROL:P912-E1981@1:OT] [LOCAL_COMPONENT:P912-E1981@2=Y:Ringposition|LOCAL_ACTION:P912-E1981@3:S] [LOCAL_COMPONENT:P912-E1981@3=S:Wähle aus|LOCAL_ACTION:P912-E1981@3:S]	FIXED_LOCAL_CARD_OWNER_RECORD_AND_HOSTS__NAME_AND_CARRIER_SLOTS_DISTINCT
13	P912-E1991	f68r1	CELESTIAL	f68r1.29	NOT_APPLICABLE	mehrteiliger Sternatlas mit lokalen Zentren	ykchdy	4	1	1	LOCAL_COMPONENT:P912-E1991@4	2	Ordne die Ringposition zu. Berechne die Ringposition.	Ordne die Ringposition zu. Berechne die Ringposition.	NOT_APPLICABLE	NO	[LOCAL_COMPONENT:P912-E1991@1=Y:Ringposition|LOCAL_ACTION:P912-E1991@2:K] [LOCAL_COMPONENT:P912-E1991@2=K:Ordne zu|LOCAL_ACTION:P912-E1991@2:K] [LOCAL_COMPONENT:P912-E1991@3=CHD:Berechne|LOCAL_ACTION:P912-E1991@3:CHD] [LOCAL_COMPONENT:P912-E1991@4=Y:Ringposition|LOCAL_ACTION:P912-E1991@3:CHD]	FIXED_LOCAL_CARD_OWNER_RECORD_AND_HOSTS__NAME_AND_CARRIER_SLOTS_DISTINCT
14	P912-E1995	f68r1	CELESTIAL	f68r1.33	NOT_APPLICABLE	mehrteiliger Sternatlas mit lokalen Zentren	okshor	3	1	1	LOCAL_COMPONENT:P912-E1995@3	2	Trage ein. Halte die Sektoreinheit fest.	Trage ein. Halte das Ringsegment fest.	NOT_APPLICABLE	YES	[LOCAL_COMPONENT:P912-E1995@1=OK:Trage ein|LOCAL_ACTION:P912-E1995@1:OK] [LOCAL_COMPONENT:P912-E1995@2=SH:Halte die Position fest|LOCAL_ACTION:P912-E1995@2:SH] [LOCAL_COMPONENT:P912-E1995@3=OR:Ringsegment|LOCAL_ACTION:P912-E1995@2:SH]	FIXED_LOCAL_CARD_OWNER_RECORD_AND_HOSTS__NAME_AND_CARRIER_SLOTS_DISTINCT
15	P912-E1996	f68r1	CELESTIAL	f68r1.34	NOT_APPLICABLE	mehrteiliger Sternatlas mit lokalen Zentren	osdaiin	4	1	1	LOCAL_COMPONENT:P912-E1996@4	1	Wähle den Positionswert in Eintragsform und an der unteren Ringstelle aus.	Wähle den Positionswert in Eintragsform und an der unteren Ringstelle aus.	NOT_APPLICABLE	NO	[LOCAL_COMPONENT:P912-E1996@1=O:in Eintragsform|LOCAL_ACTION:P912-E1996@2:S] [LOCAL_COMPONENT:P912-E1996@2=S:Wähle aus|LOCAL_ACTION:P912-E1996@2:S] [LOCAL_COMPONENT:P912-E1996@3=D_ADDR:an der unteren Ringstelle|LOCAL_ACTION:P912-E1996@2:S] [LOCAL_COMPONENT:P912-E1996@4=AIIN:Positionswert|LOCAL_ACTION:P912-E1996@2:S]	FIXED_LOCAL_CARD_OWNER_RECORD_AND_HOSTS__NAME_AND_CARRIER_SLOTS_DISTINCT
16	P912-E1997	f68r1	CELESTIAL	f68r1.35	NOT_APPLICABLE	mehrteiliger Sternatlas mit lokalen Zentren	otochedy	4	1	1	LOCAL_COMPONENT:P912-E1997@4	2	Beginne danach den nächsten Arbeitsgang. Berechne die Ringposition in Eintragsform.	Beginne danach den nächsten Arbeitsgang. Berechne die Ringposition in Eintragsform.	NOT_APPLICABLE	NO	[LOCAL_COMPONENT:P912-E1997@1=OT:danach / neuer Arbeitsgang|LOCAL_CONTROL:P912-E1997@1:OT] [LOCAL_COMPONENT:P912-E1997@2=O:in Eintragsform|LOCAL_ACTION:P912-E1997@3:CHD] [LOCAL_COMPONENT:P912-E1997@3=CHD:Berechne|LOCAL_ACTION:P912-E1997@3:CHD] [LOCAL_COMPONENT:P912-E1997@4=Y:Ringposition|LOCAL_ACTION:P912-E1997@3:CHD]	FIXED_LOCAL_CARD_OWNER_RECORD_AND_HOSTS__NAME_AND_CARRIER_SLOTS_DISTINCT
17	P912-E1998	f68r1	CELESTIAL	f68r1.36	NOT_APPLICABLE	mehrteiliger Sternatlas mit lokalen Zentren	dolchedy	4	1	1	LOCAL_COMPONENT:P912-E1998@4	2	Berechne die Ringposition an der unteren Ringstelle. Fahre im selben Arbeitsgang fort.	Berechne die Ringposition an der unteren Ringstelle. Fahre im selben Arbeitsgang fort.	NOT_APPLICABLE	NO	[LOCAL_COMPONENT:P912-E1998@1=D_ADDR:an der unteren Ringstelle|LOCAL_ACTION:P912-E1998@3:CHD] [LOCAL_COMPONENT:P912-E1998@2=OL:weiter im selben Arbeitsgang|LOCAL_CONTROL:P912-E1998@2:OL] [LOCAL_COMPONENT:P912-E1998@3=CHD:Berechne|LOCAL_ACTION:P912-E1998@3:CHD] [LOCAL_COMPONENT:P912-E1998@4=Y:Ringposition|LOCAL_ACTION:P912-E1998@3:CHD]	FIXED_LOCAL_CARD_OWNER_RECORD_AND_HOSTS__NAME_AND_CARRIER_SLOTS_DISTINCT
18	P912-E2012	f69v	CELESTIAL	f69v.1	NOT_APPLICABLE	drei getrennte heterogene Himmelsraeder	chetody	6	1	1	LOCAL_COMPONENT:P912-E2012@6	2	Lies auf Ringstufe I ab. Stelle die Ringposition in Eintragsform und an der unteren Ringstelle ein.	Lies auf Ringstufe I ab. Stelle die Ringposition in Eintragsform und an der unteren Ringstelle ein.	NOT_APPLICABLE	NO	[LOCAL_COMPONENT:P912-E2012@1=CH:Lies ab|LOCAL_ACTION:P912-E2012@1:CH] [LOCAL_COMPONENT:P912-E2012@2=E:auf Ringstufe I|LOCAL_ACTION:P912-E2012@1:CH] [LOCAL_COMPONENT:P912-E2012@3=T:Stelle die Ringposition ein|LOCAL_ACTION:P912-E2012@3:T] [LOCAL_COMPONENT:P912-E2012@4=O:in Eintragsform|LOCAL_ACTION:P912-E2012@3:T] [LOCAL_COMPONENT:P912-E2012@5=D_ADDR:an der unteren Ringstelle|LOCAL_ACTION:P912-E2012@3:T] [LOCAL_COMPONENT:P912-E2012@6=Y:Ringposition|LOCAL_ACTION:P912-E2012@3:T]	FIXED_LOCAL_CARD_OWNER_RECORD_AND_HOSTS__NAME_AND_CARRIER_SLOTS_DISTINCT
19	P912-E2015	f69v	CELESTIAL	f69v.1	NOT_APPLICABLE	drei getrennte heterogene Himmelsraeder	tey	3	1	1	LOCAL_COMPONENT:P912-E2015@3	1	Stelle die Ringposition auf Ringstufe I ein.	Stelle die Ringposition auf Ringstufe I ein.	NOT_APPLICABLE	NO	[LOCAL_COMPONENT:P912-E2015@1=T:Stelle die Ringposition ein|LOCAL_ACTION:P912-E2015@1:T] [LOCAL_COMPONENT:P912-E2015@2=E:auf Ringstufe I|LOCAL_ACTION:P912-E2015@1:T] [LOCAL_COMPONENT:P912-E2015@3=Y:Ringposition|LOCAL_ACTION:P912-E2015@1:T]	FIXED_LOCAL_CARD_OWNER_RECORD_AND_HOSTS__NAME_AND_CARRIER_SLOTS_DISTINCT
20	P912-E2035	f69v	CELESTIAL	f69v.1	NOT_APPLICABLE	drei getrennte heterogene Himmelsraeder	yto	3	1	1	LOCAL_COMPONENT:P912-E2035@1	1	Stelle die Ringposition in Eintragsform ein.	Stelle die Ringposition in Eintragsform ein.	NOT_APPLICABLE	NO	[LOCAL_COMPONENT:P912-E2035@1=Y:Ringposition|LOCAL_ACTION:P912-E2035@2:T] [LOCAL_COMPONENT:P912-E2035@2=T:Stelle die Ringposition ein|LOCAL_ACTION:P912-E2035@2:T] [LOCAL_COMPONENT:P912-E2035@3=O:in Eintragsform|LOCAL_ACTION:P912-E2035@2:T]	FIXED_LOCAL_CARD_OWNER_RECORD_AND_HOSTS__NAME_AND_CARRIER_SLOTS_DISTINCT
21	P912-E2050	f69v	CELESTIAL	f69v.2	NOT_APPLICABLE	drei getrennte heterogene Himmelsraeder	cheey	3	1	1	LOCAL_COMPONENT:P912-E2050@3	1	Halte die Ringposition auf Ringstufe II fest.	Halte die Ringposition auf Ringstufe II fest.	NOT_APPLICABLE	NO	[LOCAL_COMPONENT:P912-E2050@1=SH:Halte die Position fest|LOCAL_ACTION:P912-E2050@1:SH] [LOCAL_COMPONENT:P912-E2050@2=EE:auf Ringstufe II|LOCAL_ACTION:P912-E2050@1:SH] [LOCAL_COMPONENT:P912-E2050@3=Y:Ringposition|LOCAL_ACTION:P912-E2050@1:SH]	FIXED_LOCAL_CARD_OWNER_RECORD_AND_HOSTS__NAME_AND_CARRIER_SLOTS_DISTINCT
22	P912-E2056	f69v	CELESTIAL	f69v.2	NOT_APPLICABLE	drei getrennte heterogene Himmelsraeder	sheey	3	1	1	LOCAL_COMPONENT:P912-E2056@3	1	Halte die Ringposition auf Ringstufe II fest.	Halte die Ringposition auf Ringstufe II fest.	NOT_APPLICABLE	NO	[LOCAL_COMPONENT:P912-E2056@1=SH:Halte die Position fest|LOCAL_ACTION:P912-E2056@1:SH] [LOCAL_COMPONENT:P912-E2056@2=EE:auf Ringstufe II|LOCAL_ACTION:P912-E2056@1:SH] [LOCAL_COMPONENT:P912-E2056@3=Y:Ringposition|LOCAL_ACTION:P912-E2056@1:SH]	FIXED_LOCAL_CARD_OWNER_RECORD_AND_HOSTS__NAME_AND_CARRIER_SLOTS_DISTINCT
23	P912-E2062	f69v	CELESTIAL	f69v.2	NOT_APPLICABLE	drei getrennte heterogene Himmelsraeder	yetey	5	2	1	LOCAL_COMPONENT:P912-E2062@1|LOCAL_COMPONENT:P912-E2062@5	1	Stelle die Ringposition auf Ringstufe I ein.	Stelle die Ringposition auf Ringstufe I ein.	NOT_APPLICABLE	NO	[LOCAL_COMPONENT:P912-E2062@1=Y:Ringposition|LOCAL_ACTION:P912-E2062@3:T] [LOCAL_COMPONENT:P912-E2062@2=E:auf Ringstufe I|LOCAL_ACTION:P912-E2062@3:T] [LOCAL_COMPONENT:P912-E2062@3=T:Stelle die Ringposition ein|LOCAL_ACTION:P912-E2062@3:T] [LOCAL_COMPONENT:P912-E2062@4=E:auf Ringstufe I|LOCAL_ACTION:P912-E2062@3:T] [LOCAL_COMPONENT:P912-E2062@5=Y:Ringposition|LOCAL_ACTION:P912-E2062@3:T]	FIXED_LOCAL_CARD_OWNER_RECORD_AND_HOSTS__NAME_AND_CARRIER_SLOTS_DISTINCT
24	P912-E2085	f69v	CELESTIAL	f69v.3	NOT_APPLICABLE	drei getrennte heterogene Himmelsraeder	chdy	2	1	1	LOCAL_COMPONENT:P912-E2085@2	1	Berechne die Ringposition.	Berechne die Ringposition.	NOT_APPLICABLE	NO	[LOCAL_COMPONENT:P912-E2085@1=CHD:Berechne|LOCAL_ACTION:P912-E2085@1:CHD] [LOCAL_COMPONENT:P912-E2085@2=Y:Ringposition|LOCAL_ACTION:P912-E2085@1:CHD]	FIXED_LOCAL_CARD_OWNER_RECORD_AND_HOSTS__NAME_AND_CARRIER_SLOTS_DISTINCT
25	P912-E2098	f69v	CELESTIAL	f69v.3	NOT_APPLICABLE	drei getrennte heterogene Himmelsraeder	ytyd	4	2	1	LOCAL_COMPONENT:P912-E2098@1|LOCAL_COMPONENT:P912-E2098@3	1	Stelle die Ringposition in der d-Klasse ein.	Stelle die Ringposition in der d-Klasse ein.	NOT_APPLICABLE	NO	[LOCAL_COMPONENT:P912-E2098@1=Y:Ringposition|LOCAL_ACTION:P912-E2098@2:T] [LOCAL_COMPONENT:P912-E2098@2=T:Stelle die Ringposition ein|LOCAL_ACTION:P912-E2098@2:T] [LOCAL_COMPONENT:P912-E2098@3=Y:Ringposition|LOCAL_ACTION:P912-E2098@2:T] [LOCAL_COMPONENT:P912-E2098@4=D_LABEL:in der d-Klasse|LOCAL_ACTION:P912-E2098@2:T]	FIXED_LOCAL_CARD_OWNER_RECORD_AND_HOSTS__NAME_AND_CARRIER_SLOTS_DISTINCT
26	P912-E2117	f69v	CELESTIAL	f69v.8	NOT_APPLICABLE	drei getrennte heterogene Himmelsraeder	ytory	4	3	1	LOCAL_COMPONENT:P912-E2117@1|LOCAL_COMPONENT:P912-E2117@3|LOCAL_COMPONENT:P912-E2117@4	1	Stelle die Ringposition und die Sektoreinheit ein.	Stelle die Ringposition des Ringsegments ein.	NOT_APPLICABLE	YES	[LOCAL_COMPONENT:P912-E2117@1=Y:Ringposition|LOCAL_ACTION:P912-E2117@2:T] [LOCAL_COMPONENT:P912-E2117@2=T:Stelle die Ringposition ein|LOCAL_ACTION:P912-E2117@2:T] [LOCAL_COMPONENT:P912-E2117@3=OR:Ringsegment|LOCAL_ACTION:P912-E2117@2:T] [LOCAL_COMPONENT:P912-E2117@4=Y:Ringposition|LOCAL_ACTION:P912-E2117@2:T]	FIXED_LOCAL_CARD_OWNER_RECORD_AND_HOSTS__NAME_AND_CARRIER_SLOTS_DISTINCT
27	P912-E2118	f69v	CELESTIAL	f69v.9	NOT_APPLICABLE	drei getrennte heterogene Himmelsraeder	oeesy	4	1	1	LOCAL_COMPONENT:P912-E2118@4	1	Wähle die Ringposition in Eintragsform und auf Ringstufe II aus.	Wähle die Ringposition in Eintragsform und auf Ringstufe II aus.	NOT_APPLICABLE	NO	[LOCAL_COMPONENT:P912-E2118@1=O:in Eintragsform|LOCAL_ACTION:P912-E2118@3:S] [LOCAL_COMPONENT:P912-E2118@2=EE:auf Ringstufe II|LOCAL_ACTION:P912-E2118@3:S] [LOCAL_COMPONENT:P912-E2118@3=S:Wähle aus|LOCAL_ACTION:P912-E2118@3:S] [LOCAL_COMPONENT:P912-E2118@4=Y:Ringposition|LOCAL_ACTION:P912-E2118@3:S]	FIXED_LOCAL_CARD_OWNER_RECORD_AND_HOSTS__NAME_AND_CARRIER_SLOTS_DISTINCT
28	P912-E2119	f69v	CELESTIAL	f69v.10	NOT_APPLICABLE	drei getrennte heterogene Himmelsraeder	ytody	4	1	1	LOCAL_COMPONENT:P912-E2119@1	2	Stelle die Ringposition in Eintragsform ein. Schließe den Arbeitsgang.	Stelle die Ringposition in Eintragsform ein. Schließe den Arbeitsgang.	NOT_APPLICABLE	NO	[LOCAL_COMPONENT:P912-E2119@1=Y:Ringposition|LOCAL_ACTION:P912-E2119@2:T] [LOCAL_COMPONENT:P912-E2119@2=T:Stelle die Ringposition ein|LOCAL_ACTION:P912-E2119@2:T] [LOCAL_COMPONENT:P912-E2119@3=O:in Eintragsform|LOCAL_ACTION:P912-E2119@2:T] [LOCAL_COMPONENT:P912-E2119@4=DY:Arbeitsgang abschließen|LOCAL_CONTROL:P912-E2119@4:DY]	FIXED_LOCAL_CARD_OWNER_RECORD_AND_HOSTS__NAME_AND_CARRIER_SLOTS_DISTINCT
