audit_ordinal	statement_id	physical_page	register	carrier_assignment_count	reader_changed	manual_note	gdt586_reader_de	gdt587_reader_de	manual_disposition	guard
11	G407-S058	f71v	CELESTIAL	1	YES	Register sample read for noun distinction, packet coherence, and retained action.	"Beginne danach den nächsten Arbeitsgang.

Trage die Ringposition zur Zielposition ein. Fahre im selben Arbeitsgang fort. Halte die Sektoreinheit auf Ringstufe II fest."	"Beginne danach den nächsten Arbeitsgang.

Trage die Ringposition zur Zielposition ein. Fahre im selben Arbeitsgang fort. Halte das Ringsegment auf Ringstufe II fest."	KEEP_AS_CURRENT_EXPLORATORY_READING	MANUALLY_SELECTED_EXISTING_STATEMENT__NO_NEW_PAGE_OR_SLOT
12	G407-S061	f72r	CELESTIAL	1	NO	Register sample read for noun distinction, packet coherence, and retained action.	"Verwende für den vorangehenden Arbeitsschritt zur Zielposition. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Ringstufe II. Berechne die Ringposition zur Zielposition. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Ringstufe II. Schließe den Arbeitsgang."	"Verwende für den vorangehenden Arbeitsschritt zur Zielposition. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Ringstufe II. Berechne die Ringposition zur Zielposition. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Ringstufe II. Schließe den Arbeitsgang."	KEEP_AS_CURRENT_EXPLORATORY_READING	MANUALLY_SELECTED_EXISTING_STATEMENT__NO_NEW_PAGE_OR_SLOT
13	G407-S151	f75r	BIOLOGICAL	2	YES	Register sample read for noun distinction, packet coherence, and retained action.	Halte den Stationsansatz im Bad auf Grad II. Lass den Stationsansatz anschließend abkühlen. Beschicke oder bereite auf Grad I vor. Schließe den Arbeitsgang.	Halte den Körper im Bad auf Grad II. Lass den Körper anschließend abkühlen. Beschicke oder bereite auf Grad I vor. Schließe den Arbeitsgang.	KEEP_AS_CURRENT_EXPLORATORY_READING	MANUALLY_SELECTED_EXISTING_STATEMENT__NO_NEW_PAGE_OR_SLOT
14	G407-S440	f81r	BIOLOGICAL	3	YES	Biological diversion: amount and basin content compose as one flow packet.	Entnimm oder lass auf Grad I ab. Leite die Becken- oder Körpereinheit und das Stations- oder Badmaß in der Innenform und von der Ausgangsstation oder aus dem Ausgangsbecken um.	Entnimm oder lass auf Grad I ab. Leite die angegebene Menge des Beckeninhalts in der Innenform und von der Ausgangsstation oder aus dem Ausgangsbecken um.	KEEP_AS_CURRENT_EXPLORATORY_READING	MANUALLY_SELECTED_EXISTING_STATEMENT__NO_NEW_PAGE_OR_SLOT
15	G407-S621	f83r	BIOLOGICAL	2	YES	Exact CHD plus Y+AIN packet: body plus part composes to Körperteil.	Behandle die Anwendungsportion und den Stationsansatz. Beschicke oder bereite auf Grad II vor. Schließe den Arbeitsgang.	Behandle den Körperteil. Beschicke oder bereite auf Grad II vor. Schließe den Arbeitsgang.	KEEP_AS_CURRENT_EXPLORATORY_READING	MANUALLY_SELECTED_EXISTING_STATEMENT__NO_NEW_PAGE_OR_SLOT
16	G407-S384	f77r	BIOLOGICAL	1	YES	Register sample read for noun distinction, packet coherence, and retained action.	"Beschicke oder bereite das Stations- oder Badmaß vor. Halte das Stations- oder Badmaß im Bad. Verwende für den vorangehenden Arbeitsschritt auf Grad II. Fahre im selben Arbeitsgang fort. Beginne danach den nächsten Arbeitsgang.

Halte im Bad in Anwendungsform. Schließe den Arbeitsgang."	"Beschicke oder bereite das Stations- oder Badmaß vor. Halte die Badfüllung. Verwende für den vorangehenden Arbeitsschritt auf Grad II. Fahre im selben Arbeitsgang fort. Beginne danach den nächsten Arbeitsgang.

Halte im Bad in Anwendungsform. Schließe den Arbeitsgang."	KEEP_AS_CURRENT_EXPLORATORY_READING	MANUALLY_SELECTED_EXISTING_STATEMENT__NO_NEW_PAGE_OR_SLOT
17	G407-S663	f88v	PHARMA	4	YES	Register sample read for noun distinction, packet coherence, and retained action.	"Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Verwende für den vorangehenden Arbeitsschritt in Arzneiform. Zerkleinere die Drogencharge über den Gefäßkontakt. Setze in Arzneiform und auf Grad I an. Kennzeichne oder prüfe den Zutatenanteil. Reguliere oder temperiere die Arbeitsbedingung. Fahre im selben Arbeitsgang fort. Gib das Dosis- oder Mengenmaß in Arzneiform, auf Grad II und an der Drogen-Arbeitsstelle zu. Setze die Drogencharge an. Lass den Auszug ziehen. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Fahre im selben Arbeitsgang fort. Lass den Auszug auf Grad II und an der Drogen-Endstelle ziehen. Setze das Dosis- oder Mengenmaß aus dem Ausgangsgefäß an. Verwende für den vorangehenden Arbeitsschritt auf der Zubereitungsstufe, im zweiten Durchgang, an der Drogen-Arbeitsstelle und an der Mittelstelle. Halte die Gefäß- oder Arbeitseinheit auf Grad I. Halte den Zustand auf Grad II. Schließe den Arbeitsgang."	"Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Verwende für den vorangehenden Arbeitsschritt in Arzneiform. Zerkleinere das Drogenmaterial über den Gefäßkontakt. Setze in Arzneiform und auf Grad I an. Kennzeichne oder prüfe den Zutatenanteil. Reguliere oder temperiere die Arbeitsbedingung. Fahre im selben Arbeitsgang fort. Gib das Dosis- oder Mengenmaß in Arzneiform, auf Grad II und an der Drogen-Arbeitsstelle zu. Setze die Drogencharge an. Lass den Auszug ziehen. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Fahre im selben Arbeitsgang fort. Lass den Auszug auf Grad II und an der Drogen-Endstelle ziehen. Setze das Dosis- oder Mengenmaß aus dem Ausgangsgefäß an. Verwende für den vorangehenden Arbeitsschritt auf der Zubereitungsstufe, im zweiten Durchgang, an der Drogen-Arbeitsstelle und an der Mittelstelle. Halte die Materialeinheit auf Grad I. Halte den Zustand auf Grad II. Schließe den Arbeitsgang."	KEEP_AS_CURRENT_EXPLORATORY_READING	MANUALLY_SELECTED_EXISTING_STATEMENT__NO_NEW_PAGE_OR_SLOT
18	G407-S664	f88v	PHARMA	3	YES	Register sample read for noun distinction, packet coherence, and retained action.	Lass die Drogencharge im Auszug in Arzneiform ziehen. Setze die Drogencharge in Arzneiform, auf Grad I, an der Drogen-Arbeitsstelle und durch den Transferkanal an. Gib die Drogencharge auf Grad II zu. Halte die Gefäß- oder Arbeitseinheit auf Grad I. Bringe das Material in Arzneiform. Wähle die Einheit aus. Entnimm auf Grad I. Entnimm. Gib die Drogencharge und den Zutatenanteil zu. Entnimm auf Grad I. Wähle die Einheit in Arzneiform aus. Entnimm auf Grad I. Entnimm in Arzneiform. Gib die Drogencharge zu. Wähle die Einheit ins Aufnahme- oder Zielgefäß aus. Schließe den Arbeitsgang.	Lass das Drogenmaterial im Auszug in Arzneiform ziehen. Setze die Drogencharge in Arzneiform, auf Grad I, an der Drogen-Arbeitsstelle und durch den Transferkanal an. Gib die Drogencharge auf Grad II zu. Halte die Materialeinheit auf Grad I. Bringe das Material in Arzneiform. Wähle die Einheit aus. Entnimm auf Grad I. Entnimm. Gib die Drogencharge und den Zutatenanteil zu. Entnimm auf Grad I. Wähle die Einheit in Arzneiform aus. Entnimm auf Grad I. Entnimm in Arzneiform. Gib die Drogencharge zu. Wähle die Einheit ins Aufnahme- oder Zielgefäß aus. Schließe den Arbeitsgang.	KEEP_AS_CURRENT_EXPLORATORY_READING	MANUALLY_SELECTED_EXISTING_STATEMENT__NO_NEW_PAGE_OR_SLOT
19	G407-S667	f89r	PHARMA	2	YES	Pharma wet sequence keeps material, extract and ingredient portion distinct.	Entnimm auf Grad I. Gib die Drogencharge an der Drogen-Arbeitsstelle und aus dem Ausgangsgefäß hinein. Weiche die Drogencharge auf Grad II ein. Setze die Gefäß- oder Arbeitseinheit an. Halte den Zustand auf Grad II. Seihe den Auszug des Zutatenanteils in Arzneiform ab. Fahre im selben Arbeitsgang fort. Halte den Zustand in Arzneiform. Schließe den Arbeitsgang.	Entnimm auf Grad I. Gib die Drogencharge an der Drogen-Arbeitsstelle und aus dem Ausgangsgefäß hinein. Weiche das Drogenmaterial auf Grad II ein. Setze die Gefäß- oder Arbeitseinheit an. Halte den Zustand auf Grad II. Seihe den Auszug aus der Zutatenportion in Arzneiform ab. Fahre im selben Arbeitsgang fort. Halte den Zustand in Arzneiform. Schließe den Arbeitsgang.	KEEP_AS_CURRENT_EXPLORATORY_READING	MANUALLY_SELECTED_EXISTING_STATEMENT__NO_NEW_PAGE_OR_SLOT
20	G407-S666	f89r	PHARMA	1	YES	Register sample read for noun distinction, packet coherence, and retained action.	Verwende für den vorangehenden Arbeitsschritt in Arzneiform und aus dem Ausgangsgefäß. Halte den Zustand aus dem Ausgangsgefäß. Entnimm in Arzneiform und als neuer Arzneiansatz. Reguliere oder temperiere die Drogencharge. Fahre im selben Arbeitsgang fort. Setze in Arzneiform und an der Drogen-Arbeitsstelle an.	Verwende für den vorangehenden Arbeitsschritt in Arzneiform und aus dem Ausgangsgefäß. Halte den Zustand aus dem Ausgangsgefäß. Entnimm in Arzneiform und als neuer Arzneiansatz. Reguliere oder temperiere das Drogenmaterial. Fahre im selben Arbeitsgang fort. Setze in Arzneiform und an der Drogen-Arbeitsstelle an.	KEEP_AS_CURRENT_EXPLORATORY_READING	MANUALLY_SELECTED_EXISTING_STATEMENT__NO_NEW_PAGE_OR_SLOT
21	G407-S572	f83r	BIOLOGICAL	3	NO	Negative control: mixed biological packet retains Stationsansatz instead of forcing Körper.	Beschicke oder bereite den Stationsansatz vor. Wähle die Einheit aus. Fahre im selben Arbeitsgang fort. Halte den Zustand. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Halte den Stationsansatz im Bad auf Grad II, auf Grad III, als neuer Bad- oder Stationsansatz, an der Stations-Arbeitsstelle und über den Stationskontakt oder die Leitung. Beschicke oder bereite den Stationsansatz vor. Verwende für den vorangehenden Arbeitsschritt in Anwendungsform. Fahre im selben Arbeitsgang fort. Kennzeichne oder prüfe. Halte den Stationsansatz im Bad auf Grad II und an der Stations-Arbeitsstelle. Beschicke oder bereite auf Grad I vor. Schließe den Arbeitsgang.	Beschicke oder bereite den Stationsansatz vor. Wähle die Einheit aus. Fahre im selben Arbeitsgang fort. Halte den Zustand. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Halte den Stationsansatz im Bad auf Grad II, auf Grad III, als neuer Bad- oder Stationsansatz, an der Stations-Arbeitsstelle und über den Stationskontakt oder die Leitung. Beschicke oder bereite den Stationsansatz vor. Verwende für den vorangehenden Arbeitsschritt in Anwendungsform. Fahre im selben Arbeitsgang fort. Kennzeichne oder prüfe. Halte den Stationsansatz im Bad auf Grad II und an der Stations-Arbeitsstelle. Beschicke oder bereite auf Grad I vor. Schließe den Arbeitsgang.	KEEP_AS_CURRENT_EXPLORATORY_READING	MANUALLY_SELECTED_EXISTING_STATEMENT__NO_NEW_PAGE_OR_SLOT
22	G407-S115	f75r	BIOLOGICAL	3	NO	Negative control: relation-rich mixed host retains station noun rather than body.	Beschicke oder bereite die Anwendungsportion vor. Behandle den Stationsansatz. Wende an. Behandle den Ansatz von der Ausgangsstation oder aus dem Ausgangsbecken. Halte im Bad auf Grad I. Wende den Stationsansatz an. Halte den Stationsansatz im Bad auf Grad I, an der Stations-Arbeitsstelle, zur Zielstation oder ins Zielbecken, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung. Halte den Stationsansatz im Bad zur Zielstation oder ins Zielbecken. Führe zu. Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Beschicke oder bereite die Anwendungsportion vor. Behandle den Stationsansatz. Wende an. Behandle den Ansatz von der Ausgangsstation oder aus dem Ausgangsbecken. Halte im Bad auf Grad I. Wende den Stationsansatz an. Halte den Stationsansatz im Bad auf Grad I, an der Stations-Arbeitsstelle, zur Zielstation oder ins Zielbecken, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung. Halte den Stationsansatz im Bad zur Zielstation oder ins Zielbecken. Führe zu. Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	KEEP_AS_CURRENT_EXPLORATORY_READING	MANUALLY_SELECTED_EXISTING_STATEMENT__NO_NEW_PAGE_OR_SLOT
23	G407-S526	f82r	BIOLOGICAL	3	YES	Negative control: a biological list narrows only under an exact packet rule.	Verwende für den vorangehenden Arbeitsschritt zur Zielstation oder ins Zielbecken. Behandle den Ansatz von der Ausgangsstation oder aus dem Ausgangsbecken. Beschicke oder bereite den Stationsansatz auf Grad II vor. Führe den Stationsansatz auf Grad II und über den Stationskontakt oder die Leitung zu. Leite das Stations- oder Badmaß, die Becken- oder Körpereinheit und den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken um. Beschicke oder bereite die Anwendungsportion von der Ausgangsstation oder aus dem Ausgangsbecken vor. Beschicke oder bereite die Anwendungsportion vor. Beschicke oder bereite auf Grad II vor. Schließe den Arbeitsgang.	Verwende für den vorangehenden Arbeitsschritt zur Zielstation oder ins Zielbecken. Behandle den Ansatz von der Ausgangsstation oder aus dem Ausgangsbecken. Beschicke oder bereite den Stationsansatz auf Grad II vor. Führe den Stationsansatz auf Grad II und über den Stationskontakt oder die Leitung zu. Leite die angegebene Menge des Beckeninhalts als Strom von der Ausgangsstation oder aus dem Ausgangsbecken um. Beschicke oder bereite die Anwendungsportion von der Ausgangsstation oder aus dem Ausgangsbecken vor. Beschicke oder bereite die Anwendungsportion vor. Beschicke oder bereite auf Grad II vor. Schließe den Arbeitsgang.	KEEP_AS_CURRENT_EXPLORATORY_READING	MANUALLY_SELECTED_EXISTING_STATEMENT__NO_NEW_PAGE_OR_SLOT
