cell_ordinal	register	gdt584_rule_id	carrier_root	portable_carrier_core	written_slot_count	exact_action_host_count	statement_or_record_count	layer_profile	carrier_root_signatures	selected_context_families	selected_lemmas_de	selected_object_forms_de	dispositions	example_carrier_slot_ids	guard
11	BIOLOGICAL	SH_REST_HOLD	AIN	ANTEIL	1	1	1	RUNNING_ATOM	AIN	BIOLOGICAL_PART_OR_PORTION	Anwendungsportion	die Anwendungsportion	BASE_RETAINED	RUNNING:G407-E1854@1	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
12	BIOLOGICAL	SH_REST_HOLD	OR	EINHEIT	1	1	1	RUNNING_ATOM	Y+OR	BIOLOGICAL_BATH_OR_STATION_UNIT	Stationseinheit	die Stationseinheit	ACTION_NARROWED	RUNNING:G407-E2379@1	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
13	BIOLOGICAL	S_BIO_DIVERT	Y	POSTEN	7	6	6	RUNNING_ATOM	Y|Y+AIIN+OR	BIOLOGICAL_FLOW_PACKET	Strom	den Strom	PACKET_NARROWED	RUNNING:G407-E1589@2|RUNNING:G407-E1819@2|RUNNING:G407-E1935@2|RUNNING:G407-E2859@1|RUNNING:G407-E2860@2|RUNNING:G407-E2867@2|RUNNING:G407-E3323@2	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
14	BIOLOGICAL	S_BIO_DIVERT	AIIN	WERT	4	4	4	RUNNING_ATOM	AIIN+AIN|AIIN|AIIN+OR|Y+AIIN+OR	BIOLOGICAL_FLOW_PACKET	Mengenangabe	die Mengenangabe	PACKET_NARROWED	RUNNING:G407-E1968@1|RUNNING:G407-E2667@1|RUNNING:G407-E2923@3|RUNNING:G407-E3322@2	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
15	BIOLOGICAL	S_BIO_DIVERT	AIN	ANTEIL	3	3	3	RUNNING_ATOM	AIN|AIIN+AIN	BIOLOGICAL_FLOW_PACKET	Teilmenge	die Teilmenge	PACKET_NARROWED	RUNNING:G407-E1542@2|RUNNING:G407-E1970@1|RUNNING:G407-E2224@2	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
16	BIOLOGICAL	S_BIO_DIVERT	OR	EINHEIT	5	3	3	RUNNING_ATOM|LOCAL_COMPONENT	AIIN+OR|Y+AIIN+OR|OR	BIOLOGICAL_FLOW_PACKET	Beckeninhalt	den Beckeninhalt	PACKET_NARROWED	RUNNING:G407-E2922@1|RUNNING:G407-E2923@1|RUNNING:G407-E3323@1|LOCAL_COMPONENT:P912-E1398@2|LOCAL_COMPONENT:P912-E1398@3	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
17	BIOLOGICAL	S_REST_SELECT	Y	POSTEN	20	18	18	RUNNING_ATOM|LOCAL_COMPONENT	Y+OR|Y|Y+AIN|Y+AIIN|Y+AIN+OR|Y+AIIN+OR	BIOLOGICAL_BODY_OR_STATION	Stationsansatz	den Stationsansatz	BASE_RETAINED	RUNNING:G407-E1487@1|RUNNING:G407-E1844@1|RUNNING:G407-E2125@1|RUNNING:G407-E2167@2|RUNNING:G407-E2221@2|RUNNING:G407-E2222@1|RUNNING:G407-E2279@2|RUNNING:G407-E2376@1	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
18	BIOLOGICAL	S_REST_SELECT	AIIN	WERT	25	23	21	RUNNING_ATOM|LOCAL_COMPONENT	AIIN|AIIN+AIN|Y+AIIN|Y+AIIN+OR	BIOLOGICAL_BATH_OR_STATION_MEASURE	Stationsmaß	das Stationsmaß	ACTION_NARROWED	RUNNING:G407-E1556@2|RUNNING:G407-E1944@2|RUNNING:G407-E2305@2|RUNNING:G407-E2315@2|RUNNING:G407-E2316@2|RUNNING:G407-E2355@2|RUNNING:G407-E2470@2|RUNNING:G407-E2561@2	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
19	BIOLOGICAL	S_REST_SELECT	AIN	ANTEIL	20	20	18	RUNNING_ATOM|LOCAL_COMPONENT	AIN|Y+AIN|AIIN+AIN|Y+AIN+OR	BIOLOGICAL_PART_OR_PORTION	Anwendungsportion	die Anwendungsportion	BASE_RETAINED	RUNNING:G407-E1553@2|RUNNING:G407-E1634@2|RUNNING:G407-E1638@2|RUNNING:G407-E1803@2|RUNNING:G407-E1842@2|RUNNING:G407-E2031@2|RUNNING:G407-E2124@2|RUNNING:G407-E2166@2	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
20	BIOLOGICAL	S_REST_SELECT	OR	EINHEIT	7	7	7	RUNNING_ATOM	Y+OR|OR|Y+AIN+OR|Y+AIIN+OR	BIOLOGICAL_BATH_OR_STATION_UNIT	Stationseinheit	die Stationseinheit	ACTION_NARROWED	RUNNING:G407-E1486@2|RUNNING:G407-E2220@2|RUNNING:G407-E2249@2|RUNNING:G407-E2813@1|RUNNING:G407-E2908@2|RUNNING:G407-E3549@2|RUNNING:G407-E3730@2	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
21	BIOLOGICAL	T_AFTER_SH_COOL	Y	POSTEN	6	6	6	RUNNING_ATOM	Y	BIOLOGICAL_BODY_OR_STATION	Körper	den Körper	PACKET_NARROWED	RUNNING:G407-E1656@2|RUNNING:G407-E1742@4|RUNNING:G407-E1758@4|RUNNING:G407-E2452@4|RUNNING:G407-E2471@4|RUNNING:G407-E3109@5	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
22	BIOLOGICAL	T_BIO_STATION_REGULATE	Y	POSTEN	37	32	23	RUNNING_ATOM|LOCAL_COMPONENT	Y|Y+AIN|Y+OR|Y+AIIN	BIOLOGICAL_BODY_OR_STATION	Stationsansatz	den Stationsansatz	BASE_RETAINED	RUNNING:G407-E1474@4|RUNNING:G407-E1479@1|RUNNING:G407-E1495@4|RUNNING:G407-E1635@3|RUNNING:G407-E1670@5|RUNNING:G407-E2401@3|RUNNING:G407-E2546@4|RUNNING:G407-E2594@4	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
23	BIOLOGICAL	T_BIO_STATION_REGULATE	AIIN	WERT	5	5	5	RUNNING_ATOM	AIIN|Y+AIIN	BIOLOGICAL_BATH_OR_STATION_MEASURE	Stationsmaß	das Stationsmaß	ACTION_NARROWED	RUNNING:G407-E2633@3|RUNNING:G407-E2893@2|RUNNING:G407-E3440@2|RUNNING:G407-E3608@3|RUNNING:G407-E3671@2	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
24	BIOLOGICAL	T_BIO_STATION_REGULATE	AIN	ANTEIL	4	4	4	RUNNING_ATOM	AIN|Y+AIN	BIOLOGICAL_PART_OR_PORTION	Anwendungsportion	die Anwendungsportion	BASE_RETAINED	RUNNING:G407-E1446@3|RUNNING:G407-E1479@3|RUNNING:G407-E2709@2|RUNNING:G407-E3794@3	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
25	BIOLOGICAL	T_BIO_STATION_REGULATE	OR	EINHEIT	4	4	4	RUNNING_ATOM|LOCAL_COMPONENT	Y+OR|OR	BIOLOGICAL_BATH_OR_STATION_UNIT	Stationseinheit	die Stationseinheit	ACTION_NARROWED	RUNNING:G407-E1636@2|RUNNING:G407-E3066@2|RUNNING:G407-E3666@2|LOCAL_COMPONENT:P912-E1718@3	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
26	BIOLOGICAL	T_PHYSICAL_BROAD	Y	POSTEN	12	11	9	RUNNING_ATOM	Y|Y+AIN	BIOLOGICAL_BODY_OR_STATION	Stationsansatz	den Stationsansatz	BASE_RETAINED	RUNNING:G407-E1951@3|RUNNING:G407-E2056@5|RUNNING:G407-E2099@1|RUNNING:G407-E2108@5|RUNNING:G407-E2116@4|RUNNING:G407-E2165@4|RUNNING:G407-E2172@4|RUNNING:G407-E2178@4	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
27	BIOLOGICAL	T_PHYSICAL_BROAD	AIN	ANTEIL	1	1	1	RUNNING_ATOM	Y+AIN	BIOLOGICAL_PART_OR_PORTION	Anwendungsportion	die Anwendungsportion	BASE_RETAINED	RUNNING:G407-E2310@3	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
28	BIOLOGICAL	T_PHYSICAL_GRADE_TEMPER	Y	POSTEN	19	18	17	RUNNING_ATOM	Y|Y+AIN	BIOLOGICAL_BODY_OR_STATION	Stationsansatz	den Stationsansatz	BASE_RETAINED	RUNNING:G407-E1938@4|RUNNING:G407-E2410@5|RUNNING:G407-E2417@5|RUNNING:G407-E2621@1|RUNNING:G407-E3036@1|RUNNING:G407-E3037@6|RUNNING:G407-E3039@1|RUNNING:G407-E3042@1	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
29	BIOLOGICAL	T_PHYSICAL_GRADE_TEMPER	AIN	ANTEIL	1	1	1	RUNNING_ATOM	Y+AIN	BIOLOGICAL_PART_OR_PORTION	Anwendungsportion	die Anwendungsportion	BASE_RETAINED	RUNNING:G407-E2620@4	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
30	CELESTIAL	CHD_CELESTIAL_CALCULATE	Y	POSTEN	10	9	4	RUNNING_ATOM|LOCAL_COMPONENT	Y+AIIN|Y	CELESTIAL_RING_ENTRY	Ringposition	die Ringposition	BASE_RETAINED	RUNNING:G407-E0962@1|RUNNING:G407-E1143@3|RUNNING:G407-E1408@2|RUNNING:G407-E1409@2|RUNNING:G407-E1410@1|LOCAL_COMPONENT:P912-E1991@4|LOCAL_COMPONENT:P912-E1997@4|LOCAL_COMPONENT:P912-E1998@4	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
31	CELESTIAL	CHD_CELESTIAL_CALCULATE	AIIN	WERT	3	3	3	RUNNING_ATOM|LOCAL_COMPONENT	Y+AIIN|AIIN	CELESTIAL_RING_ENTRY	Positionswert	den Positionswert	BASE_RETAINED	RUNNING:G407-E0961@2|RUNNING:G407-E1305@2|LOCAL_COMPONENT:P912-E2300@2	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
32	CELESTIAL	SH_CELESTIAL_FIX	Y	POSTEN	30	28	12	RUNNING_ATOM|LOCAL_COMPONENT	Y+AIIN|Y|Y+AIN+OR|Y+OR	CELESTIAL_RING_ENTRY	Ringposition	die Ringposition	BASE_RETAINED	RUNNING:G407-E0976@5|RUNNING:G407-E1004@4|RUNNING:G407-E1005@1|RUNNING:G407-E1015@1|RUNNING:G407-E1015@4|RUNNING:G407-E1040@3|RUNNING:G407-E1047@3|RUNNING:G407-E1119@3	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
33	CELESTIAL	SH_CELESTIAL_FIX	AIIN	WERT	5	4	4	RUNNING_ATOM	Y+AIIN|AIIN	CELESTIAL_RING_ENTRY	Positionswert	den Positionswert	BASE_RETAINED	RUNNING:G407-E0977@1|RUNNING:G407-E1160@2|RUNNING:G407-E1186@4|RUNNING:G407-E1187@2|RUNNING:G407-E1318@2	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
34	CELESTIAL	SH_CELESTIAL_FIX	AIN	ANTEIL	1	1	1	RUNNING_ATOM	Y+AIN+OR	CELESTIAL_RING_ENTRY	Sektoranteil	den Sektoranteil	BASE_RETAINED	RUNNING:G407-E1347@2	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
35	CELESTIAL	SH_CELESTIAL_FIX	OR	EINHEIT	4	4	4	RUNNING_ATOM|LOCAL_COMPONENT	OR|Y+AIN+OR|Y+OR	CELESTIAL_RING_ENTRY	Ringsegment	das Ringsegment	ACTION_NARROWED	RUNNING:G407-E1125@3|RUNNING:G407-E1347@1|RUNNING:G407-E1365@1|LOCAL_COMPONENT:P912-E1995@3	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
36	CELESTIAL	S_CELESTIAL_SELECT	Y	POSTEN	24	22	12	RUNNING_ATOM|LOCAL_COMPONENT	Y+AIN|Y|Y+AIIN+OR|Y+OR|Y+AIIN	CELESTIAL_RING_ENTRY	Ringposition	die Ringposition	BASE_RETAINED	RUNNING:G407-E0905@3|RUNNING:G407-E0906@4|RUNNING:G407-E0915@1|RUNNING:G407-E0922@2|RUNNING:G407-E0933@1|RUNNING:G407-E0975@3|RUNNING:G407-E0982@3|RUNNING:G407-E1002@2	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
37	CELESTIAL	S_CELESTIAL_SELECT	AIIN	WERT	18	16	13	RUNNING_ATOM|LOCAL_COMPONENT	Y+AIIN+OR|AIIN|Y+AIIN|AIIN+OR	CELESTIAL_RING_ENTRY	Positionswert	den Positionswert	BASE_RETAINED	RUNNING:G407-E0914@3|RUNNING:G407-E0942@2|RUNNING:G407-E0948@2|RUNNING:G407-E0991@3|RUNNING:G407-E1021@1|RUNNING:G407-E1128@2|RUNNING:G407-E1165@1|RUNNING:G407-E1209@2	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
38	CELESTIAL	S_CELESTIAL_SELECT	AIN	ANTEIL	4	4	3	RUNNING_ATOM	Y+AIN|AIN	CELESTIAL_RING_ENTRY	Sektoranteil	den Sektoranteil	BASE_RETAINED	RUNNING:G407-E0904@1|RUNNING:G407-E0920@1|RUNNING:G407-E0925@2|RUNNING:G407-E0929@4	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
39	CELESTIAL	S_CELESTIAL_SELECT	OR	EINHEIT	5	5	5	RUNNING_ATOM	Y+AIIN+OR|OR|Y+OR|AIIN+OR	CELESTIAL_RING_ENTRY	Ringsegment	das Ringsegment	ACTION_NARROWED	RUNNING:G407-E0914@2|RUNNING:G407-E0960@2|RUNNING:G407-E0982@1|RUNNING:G407-E1374@2|RUNNING:G407-E1419@1	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
40	CELESTIAL	T_CELESTIAL_SET	Y	POSTEN	59	50	22	RUNNING_ATOM|LOCAL_COMPONENT	Y+OR|Y|Y+AIIN+OR|Y+AIIN+AIN|Y+AIIN	CELESTIAL_RING_ENTRY	Ringposition	die Ringposition	BASE_RETAINED	RUNNING:G407-E0934@1|RUNNING:G407-E0935@1|RUNNING:G407-E0941@1|RUNNING:G407-E0955@1|RUNNING:G407-E0963@1|RUNNING:G407-E0966@1|RUNNING:G407-E0985@1|RUNNING:G407-E1001@1	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
41	CELESTIAL	T_CELESTIAL_SET	AIIN	WERT	6	6	4	RUNNING_ATOM|LOCAL_COMPONENT	Y+AIIN+OR|Y+AIIN+AIN|Y+AIIN|AIIN	CELESTIAL_RING_ENTRY	Positionswert	den Positionswert	BASE_RETAINED	RUNNING:G407-E0956@1|RUNNING:G407-E0983@3|RUNNING:G407-E1064@1|LOCAL_COMPONENT:P912-E1840@4|LOCAL_COMPONENT:P912-E2268@3|LOCAL_COMPONENT:P912-E2354@4	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
42	CELESTIAL	T_CELESTIAL_SET	AIN	ANTEIL	1	1	1	RUNNING_ATOM	Y+AIIN+AIN	CELESTIAL_RING_ENTRY	Sektoranteil	den Sektoranteil	BASE_RETAINED	RUNNING:G407-E0984@1	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
43	CELESTIAL	T_CELESTIAL_SET	OR	EINHEIT	5	4	4	RUNNING_ATOM|LOCAL_COMPONENT	Y+OR|Y+AIIN+OR	CELESTIAL_RING_ENTRY	Ringsegment	das Ringsegment	ACTION_NARROWED	RUNNING:G407-E0934@5|RUNNING:G407-E0955@3|RUNNING:G407-E0957@1|RUNNING:G407-E1189@3|LOCAL_COMPONENT:P912-E2117@3	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
44	HERBAL	CHD_HP_DRY_GRIND_CONFIRMED	Y	POSTEN	2	2	2	RUNNING_ATOM	Y	HERBAL_MATERIAL	Pflanzenmaterial	das Pflanzenmaterial	ACTION_NARROWED	RUNNING:G407-E4476@4|RUNNING:G407-E4490@3	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
45	HERBAL	CHD_HP_MATERIAL_COMMINUTE	Y	POSTEN	13	13	10	RUNNING_ATOM	Y+AIN|Y|Y+OR	HERBAL_MATERIAL	Pflanzenmaterial	das Pflanzenmaterial	ACTION_NARROWED	RUNNING:G407-E0691@6|RUNNING:G407-E0707@2|RUNNING:G407-E0740@3|RUNNING:G407-E0746@2|RUNNING:G407-E0828@2|RUNNING:G407-E4410@3|RUNNING:G407-E4412@2|RUNNING:G407-E4456@2	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
46	HERBAL	CHD_HP_MATERIAL_COMMINUTE	AIN	ANTEIL	2	2	2	RUNNING_ATOM	Y+AIN|AIN	HERBAL_PORTION	Pflanzenportion	die Pflanzenportion	BASE_RETAINED	RUNNING:G407-E0692@4|RUNNING:G407-E4548@2	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
47	HERBAL	CHD_HP_MATERIAL_COMMINUTE	OR	EINHEIT	1	1	1	RUNNING_ATOM	Y+OR	HERBAL_PROCESSED_BATCH	Pflanzenansatz	den Pflanzenansatz	ACTION_NARROWED	RUNNING:G407-E4411@2	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
48	HERBAL	CHD_HP_WET_EXTRACT_PROCESS	Y	POSTEN	4	4	4	RUNNING_ATOM	Y+AIIN	HERBAL_MATERIAL	Pflanzenmaterial	das Pflanzenmaterial	ACTION_NARROWED	RUNNING:G407-E0727@2|RUNNING:G407-E4403@4|RUNNING:G407-E4566@4|RUNNING:G515-E0245@2	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
49	HERBAL	CHD_HP_WET_EXTRACT_PROCESS	AIIN	WERT	4	4	4	RUNNING_ATOM	Y+AIIN	HERBAL_EXTRACT_OR_MEASURE	Pflanzenauszug	den Pflanzenauszug	BASE_RETAINED	RUNNING:G407-E0726@1|RUNNING:G407-E4402@4|RUNNING:G407-E4567@2|RUNNING:G515-E0246@1	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
50	HERBAL	CHD_HP_WET_TRITURATE	Y	POSTEN	4	4	4	RUNNING_ATOM	Y	HERBAL_MATERIAL	Pflanzenmaterial	das Pflanzenmaterial	ACTION_NARROWED	RUNNING:G407-E0688@3|RUNNING:G407-E0718@3|RUNNING:G407-E4485@2|RUNNING:G515-E0183@2	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
51	HERBAL	CHD_REST_PROCESS	AIIN	WERT	5	4	4	RUNNING_ATOM	AIIN|AIIN+AIN	HERBAL_EXTRACT_OR_MEASURE	Pflanzenauszug	den Pflanzenauszug	BASE_RETAINED	RUNNING:G407-E4462@5|RUNNING:G407-E4549@2|RUNNING:G407-E4551@1|RUNNING:G407-E4570@3|RUNNING:G515-E0236@2	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
52	HERBAL	CHD_REST_PROCESS	AIN	ANTEIL	1	1	1	RUNNING_ATOM	AIIN+AIN	HERBAL_PORTION	Pflanzenportion	die Pflanzenportion	BASE_RETAINED	RUNNING:G407-E4550@2	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
53	HERBAL	SH_CH_BRIDGE_HOLD	Y	POSTEN	2	2	2	RUNNING_ATOM	Y+OR|Y	HERBAL_MATERIAL	Pflanzenmaterial	das Pflanzenmaterial	ACTION_NARROWED	RUNNING:G407-E0299@2|RUNNING:G407-E0494@5	OBSERVED_REGISTER_RULE_ROOT_CELL_ONLY__NO_UNOBSERVED_MATRIX_COMPLETION
