local_ordinal	event_id	physical_page	locus	surface	owner_id	owner_de	content_role	local_recipe	controlled_order_reading_de	local_working_phrase_de	gdt538_surface_member	gdt538_recipe_match	gdt538_prose_phrase_applied	retention_reason	exact_recipe_roundtrip	guard
23	G515-E0276	f66r	f66r.23	f	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	LOCAL_CHAR_F	[hier: f-Kennmarke].	Lokales Randzeichen: [hier: f-Kennmarke].	YES	YES	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	LOCAL_CHAR_F	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
24	G515-E0277	f66r	f66r.25	x	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	LOCAL_X	[lokaler X-Zeichen-/Namenskern].	Lokales Randzeichen: [lokaler X-Zeichen-/Namenskern].	YES	YES	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	LOCAL_X	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
25	G515-E0278	f66r	f66r.26	air	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	AIR	Bahn.	Lokales Randzeichen: Bahn.	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	AIR	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
26	G515-E0279	f66r	f66r.27	d	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	D_ADDR	[hier: D-Adresse].	Lokales Randzeichen: [hier: D-Adresse].	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	D_ADDR	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
27	G515-E0280	f66r	f66r.28	sh	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	SH	halten.	Lokales Randzeichen: halten.	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	SH	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
28	G515-E0281	f66r	f66r.29	y	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	Y	Posten.	Lokales Randzeichen: Posten.	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	Y	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
29	G515-E0282	f66r	f66r.30	f	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	LOCAL_CHAR_F	[hier: f-Kennmarke].	Lokales Randzeichen: [hier: f-Kennmarke].	YES	YES	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	LOCAL_CHAR_F	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
30	G515-E0283	f66r	f66r.31	f	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	LOCAL_CHAR_F	[hier: f-Kennmarke].	Lokales Randzeichen: [hier: f-Kennmarke].	YES	YES	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	LOCAL_CHAR_F	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
31	G515-E0284	f66r	f66r.32	y	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	Y	Posten.	Lokales Randzeichen: Posten.	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	Y	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
32	G515-E0285	f66r	f66r.33	o	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	O	[Ausführung].	Lokales Randzeichen: [Ausführung].	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	O	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
33	G515-E0286	f66r	f66r.34	d	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	D_ADDR	[hier: D-Adresse].	Lokales Randzeichen: [hier: D-Adresse].	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	D_ADDR	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
34	G515-E0287	f66r	f66r.35	s	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	S	wählen.	Lokales Randzeichen: wählen.	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	S	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
35	G515-E0288	f66r	f66r.36	f	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	LOCAL_CHAR_F	[hier: f-Kennmarke].	Lokales Randzeichen: [hier: f-Kennmarke].	YES	YES	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	LOCAL_CHAR_F	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
36	G515-E0289	f66r	f66r.37	c	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	LOCAL_C	[lokales c-Zeichen].	Lokales Randzeichen: [lokales c-Zeichen].	YES	YES	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	LOCAL_C	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
37	G515-E0290	f66r	f66r.39	x	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	LOCAL_X	[lokaler X-Zeichen-/Namenskern].	Lokales Randzeichen: [lokaler X-Zeichen-/Namenskern].	YES	YES	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	LOCAL_X	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
38	G515-E0291	f66r	f66r.40	t	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	T	einstellen.	Lokales Randzeichen: einstellen.	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	T	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
39	G515-E0292	f66r	f66r.41	o	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	O	[Ausführung].	Lokales Randzeichen: [Ausführung].	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	O	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
40	G515-E0293	f66r	f66r.43	l	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	L	Verbindung.	Lokales Randzeichen: Verbindung.	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	L	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
41	G515-E0294	f66r	f66r.44	r	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	R	markieren.	Lokales Randzeichen: markieren.	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	R	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
42	G515-E0295	f66r	f66r.45	t	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	T	einstellen.	Lokales Randzeichen: einstellen.	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	T	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
43	G515-E0296	f66r	f66r.46	o	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	O	[Ausführung].	Lokales Randzeichen: [Ausführung].	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	O	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
44	G515-E0297	f66r	f66r.47	x	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	LOCAL_X	[lokaler X-Zeichen-/Namenskern].	Lokales Randzeichen: [lokaler X-Zeichen-/Namenskern].	YES	YES	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	LOCAL_X	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
45	G515-E0298	f66r	f66r.48	p	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	P	einsetzen.	Lokales Randzeichen: einsetzen.	YES	YES	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	P	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
46	G515-E0299	f66r	f66r.49	d	F66R_MARGIN_SIGN_ZONE	sichtbare Folge einzelner Randzeichen von f66r	MARGINAL_SIGN_CARD	D_ADDR	[hier: D-Adresse].	Lokales Randzeichen: [hier: D-Adresse].	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	D_ADDR	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
47	G515-E0593	f66r	f66r.82	otcheo	F66R_LATE_BOTTOM_ADDITION	separater spaeter unterer Nachtrag mit kleiner Zeichnung	LATE_ADDITION_CARD	OT+CH+E+O	danach → nehmen → [Grad I] → [Ausführung].	Später Zusatz: danach → nehmen → [Grad I] → [Ausführung].	YES	YES	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	OT+CH+E+O	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
48	G515-E0594	f66r	f66r.82	daiin	F66R_LATE_BOTTOM_ADDITION	separater spaeter unterer Nachtrag mit kleiner Zeichnung	LATE_ADDITION_CARD	AIIN	Wert.	Später Zusatz: Wert.	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	AIIN	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
49	G515-E0595	f66r	f66r.82	chty	F66R_LATE_BOTTOM_ADDITION	separater spaeter unterer Nachtrag mit kleiner Zeichnung	LATE_ADDITION_CARD	CH+T+Y	nehmen → einstellen → Posten.	Später Zusatz: nehmen → einstellen → Posten.	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	CH+T+Y	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
50	G515-E0596	f66r	f66r.82	ykees	F66R_LATE_BOTTOM_ADDITION	separater spaeter unterer Nachtrag mit kleiner Zeichnung	LATE_ADDITION_CARD	Y+K+EE+S	Posten → geben → [Grad II] → wählen.	Später Zusatz: Posten → geben → [Grad II] → wählen.	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	Y+K+EE+S	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
51	G515-E0597	f66r	f66r.82	cheg	F66R_LATE_BOTTOM_ADDITION	separater spaeter unterer Nachtrag mit kleiner Zeichnung	LATE_ADDITION_CARD	CH+E+LOCAL_CHAR_G	nehmen → [Grad I] → [lokale Variante g].	Später Zusatz: nehmen → [Grad I] → [lokale Variante g].	NO	NOT_APPLICABLE	NO	LOCAL_RECORD_ROLE_PRECEDES_SURFACE_PHRASE	CH+E+LOCAL_CHAR_G	LOCAL_ROLE_RETAINED__NO_PROSE_COERCION
