context_event_ordinal	event_id	statement_id	card_ordinal_in_statement	physical_page	register	owner_id	owner_de	locus	surface	content_role	gdt516_context_recipe	final_context_recipe	recipe_source	recipe_changed_after_gdt516	controlled_order_reading_de	gdt538_neutral_phrase_de	explicit_action_roots	inherited_action_root	inherited_action_source_event_id	explicit_argument_roots	inherited_argument_root	inherited_argument_source_event_id	ellipsis_status	contextual_clause_de	exact_recipe_roundtrip	same_statement_inheritance_only	cross_statement_inheritance	guard
23	G515-E0023	G515-S002	21	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.3	qotaiin	ITINERARY_OR_ADDRESS_CARD	OT+AIIN	OT+AIIN	GDT516_CONTEXT_REPLAY	NO	danach → Wert.	NOT_IN_GDT538_159	NONE	CH	G515-E0022	AIIN	NONE	NONE	INHERITED_ACTION_ONLY	Danach: im laufenden Satz nimm den Arbeitswert.	OT+AIIN	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
24	G515-E0024	G515-S002	22	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.3	daiin	COORDINATE_OR_CATALOGUE_CARD	AIIN	AIIN	GDT516_CONTEXT_REPLAY	NO	Wert.	NOT_IN_GDT538_159	NONE	CH	G515-E0022	AIIN	NONE	NONE	INHERITED_ACTION_ONLY	Im laufenden Satz nimm den Arbeitswert.	AIIN	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
25	G515-E0025	G515-S002	23	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.3	shain	ORDERED_INSTRUCTION_CARD	SH+AIN	SH+AIN	GDT538_FINAL_SURFACE	NO	halten → Anteil.	Den Anteil halten.	SH	NONE	NONE	AIN	NONE	NONE	NO_INHERITANCE	Halte den Materialanteil.	SH+AIN	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
26	G515-E0026	G515-S002	24	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.4	qotchol	ORDERED_INSTRUCTION_CARD	OT+CH+OL	OT+CH+OL	GDT516_CONTEXT_REPLAY	NO	danach → nehmen → fortsetzen.	NOT_IN_GDT538_159	CH	NONE	NONE	NONE	AIN	G515-E0025	INHERITED_ARGUMENT_ONLY	Danach: nimm den Materialanteil [wie zuvor]; führe fort.	OT+CH+OL	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
27	G515-E0027	G515-S002	25	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.4	chy	COORDINATE_OR_CATALOGUE_CARD	Y	Y	GDT516_CONTEXT_REPLAY	NO	Posten.	NOT_IN_GDT538_159	NONE	CH	G515-E0026	Y	NONE	NONE	INHERITED_ACTION_ONLY	Im laufenden Satz nimm den Pflanzenposten.	Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
28	G515-E0028	G515-S002	26	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.4	yty	ORDERED_INSTRUCTION_CARD	Y+T+Y	Y+T+Y	GDT516_CONTEXT_REPLAY	NO	Posten → einstellen → Posten.	NOT_IN_GDT538_159	T	NONE	NONE	Y|Y	NONE	NONE	NO_INHERITANCE	Stelle den Pflanzenposten [außen] und den Pflanzenposten [innen] ein.	Y+T+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
29	G515-E0029	G515-S002	27	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.4	daiin	COORDINATE_OR_CATALOGUE_CARD	AIIN	AIIN	GDT516_CONTEXT_REPLAY	NO	Wert.	NOT_IN_GDT538_159	NONE	T	G515-E0028	AIIN	NONE	NONE	INHERITED_ACTION_ONLY	Im laufenden Satz stelle den Arbeitswert ein.	AIIN	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
30	G515-E0030	G515-S002	28	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.4	okaiin	ORDERED_INSTRUCTION_CARD	OK+AIIN	OK+AIIN	GDT516_CONTEXT_REPLAY	NO	setzen → Wert.	NOT_IN_GDT538_159	OK	NONE	NONE	AIIN	NONE	NONE	NO_INHERITANCE	Setze den Arbeitswert im Arbeitsgang an.	OK+AIIN	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
31	G515-E0031	G515-S002	29	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.4	cthy	ORDERED_INSTRUCTION_CARD	CH+T+Y	CH+T+Y	GDT516_CONTEXT_REPLAY	NO	nehmen → einstellen → Posten.	NOT_IN_GDT538_159	CH|T	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	CH+T+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
32	G515-E0032	G515-S003	1	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.5	pydaiin	ORDERED_INSTRUCTION_CARD	P+Y+D_ADDR+AIIN	P+Y+D_ADDR+AIIN	GDT538_FINAL_SURFACE	NO	einsetzen → Posten → [hier: D-Adresse] → Wert.	Den Posten und den Wert einsetzen; hier.	P	NONE	NONE	Y|AIIN	NONE	NONE	NO_INHERITANCE	Setze den Pflanzenposten und den Arbeitswert ein; an der bezeichneten Stelle.	P+Y+D_ADDR+AIIN	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
33	G515-E0033	G515-S003	2	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.5	qotchy	ITINERARY_OR_ADDRESS_CARD	OT+Y	OT+Y	GDT516_CONTEXT_REPLAY	NO	danach → Posten.	NOT_IN_GDT538_159	NONE	P	G515-E0032	Y	NONE	NONE	INHERITED_ACTION_ONLY	Danach: im laufenden Satz setze den Pflanzenposten ein.	OT+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
34	G515-E0034	G515-S003	3	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.5	dy	COORDINATE_OR_CATALOGUE_CARD	Y	Y	GDT516_CONTEXT_REPLAY	NO	Posten.	NOT_IN_GDT538_159	NONE	P	G515-E0032	Y	NONE	NONE	INHERITED_ACTION_ONLY	Im laufenden Satz setze den Pflanzenposten ein.	Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
35	G515-E0035	G515-S003	4	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.5	tydy	ORDERED_INSTRUCTION_CARD	T+Y+DY	T+Y+DY	GDT538_FINAL_SURFACE	NO	einstellen → Posten → [Schluss].	Den Posten einstellen; abschließen.	T	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Stelle den Pflanzenposten ein; schließe den Schritt.	T+Y+DY	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
36	G515-E0036	G515-S004	1	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.6	chor	ORDERED_INSTRUCTION_CARD	CH+OR	CH+OR	GDT516_CONTEXT_REPLAY	NO	nehmen → Einheit.	NOT_IN_GDT538_159	CH	NONE	NONE	OR	NONE	NONE	NO_INHERITANCE	Nimm die Arbeitseinheit.	CH+OR	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
37	G515-E0037	G515-S004	2	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.6	shytchy	ORDERED_INSTRUCTION_CARD	SH+Y+T+CH+Y	SH+Y+T+CH+Y	GDT538_FINAL_SURFACE	NO	halten → Posten → einstellen → nehmen → Posten.	Beide Posten halten, einstellen und nehmen.	SH|T|CH	NONE	NONE	Y|Y	NONE	NONE	NO_INHERITANCE	Halte den Pflanzenposten [außen] und den Pflanzenposten [innen], stelle den Pflanzenposten [außen] und den Pflanzenposten [innen] ein und nimm den Pflanzenposten [außen] und den Pflanzenposten [innen].	SH+Y+T+CH+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
38	G515-E0038	G515-S004	3	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.6	dytcheey	ORDERED_INSTRUCTION_CARD	D_ADDR+Y+T+CH+EE+Y	D_ADDR+Y+T+CH+EE+Y	GDT538_FINAL_SURFACE	NO	[hier: D-Adresse] → Posten → einstellen → nehmen → [Grad II] → Posten.	Hier; beide Posten einstellen und nehmen; auf Grad II.	T|CH	NONE	NONE	Y|Y	NONE	NONE	NO_INHERITANCE	Stelle den Pflanzenposten [außen] und den Pflanzenposten [innen] ein und nimm den Pflanzenposten [außen] und den Pflanzenposten [innen]; auf Grad II; an der bezeichneten Stelle.	D_ADDR+Y+T+CH+EE+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
39	G515-E0039	G515-S004	4	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.7	qotaiin	ITINERARY_OR_ADDRESS_CARD	OT+AIIN	OT+AIIN	GDT516_CONTEXT_REPLAY	NO	danach → Wert.	NOT_IN_GDT538_159	NONE	CH	G515-E0038	AIIN	NONE	NONE	INHERITED_ACTION_ONLY	Danach: im laufenden Satz nimm den Arbeitswert.	OT+AIIN	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
40	G515-E0040	G515-S004	5	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.7	cthol	ORDERED_INSTRUCTION_CARD	CH+T+OL	CH+T+OL	GDT516_CONTEXT_REPLAY	NO	nehmen → einstellen → fortsetzen.	NOT_IN_GDT538_159	CH|T	NONE	NONE	NONE	AIIN	G515-E0039	INHERITED_ARGUMENT_ONLY	Nimm den Arbeitswert [wie zuvor] und stelle den Arbeitswert [wie zuvor] ein; führe fort.	CH+T+OL	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
41	G515-E0041	G515-S004	6	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.7	daiin	COORDINATE_OR_CATALOGUE_CARD	AIIN	AIIN	GDT516_CONTEXT_REPLAY	NO	Wert.	NOT_IN_GDT538_159	NONE	T	G515-E0040	AIIN	NONE	NONE	INHERITED_ACTION_ONLY	Im laufenden Satz stelle den Arbeitswert ein.	AIIN	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
42	G515-E0042	G515-S004	7	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.7	cthom	ORDERED_INSTRUCTION_CARD	CH+T+O+M_LOCAL	CH+T+O+M_LOCAL	GDT538_FINAL_SURFACE	NO	nehmen → einstellen → [Ausführung] → [hier: lokale m-Marke].	Nehmen und einstellen; zur Ausführung; hier.	CH|T	NONE	NONE	NONE	AIIN	G515-E0041	INHERITED_ARGUMENT_ONLY	Nimm den Arbeitswert [wie zuvor] und stelle den Arbeitswert [wie zuvor] ein; zur Ausführung; an der bezeichneten Stelle.	CH+T+O+M_LOCAL	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
43	G515-E0043	G515-S004	8	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.8	shor	ORDERED_INSTRUCTION_CARD	SH+OR	SH+OR	GDT516_CONTEXT_REPLAY	NO	halten → Einheit.	NOT_IN_GDT538_159	SH	NONE	NONE	OR	NONE	NONE	NO_INHERITANCE	Halte die Arbeitseinheit.	SH+OR	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
44	G515-E0044	G515-S004	9	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.8	shol	ORDERED_INSTRUCTION_CARD	SH+OL	SH+OL	GDT516_CONTEXT_REPLAY	NO	halten → fortsetzen.	NOT_IN_GDT538_159	SH	NONE	NONE	NONE	OR	G515-E0043	INHERITED_ARGUMENT_ONLY	Halte die Arbeitseinheit [wie zuvor]; führe fort.	SH+OL	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
45	G515-E0045	G515-S004	10	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.8	shol	ORDERED_INSTRUCTION_CARD	SH+OL	SH+OL	GDT516_CONTEXT_REPLAY	NO	halten → fortsetzen.	NOT_IN_GDT538_159	SH	NONE	NONE	NONE	OR	G515-E0043	INHERITED_ARGUMENT_ONLY	Halte die Arbeitseinheit [wie zuvor]; führe fort.	SH+OL	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
46	G515-E0046	G515-S004	11	f4r	HERBAL	F4R_WHOLE_PLANT	abgebildete Ganzpflanze auf f4r	f4r.8	cthy	ORDERED_INSTRUCTION_CARD	CH+T+Y	CH+T+Y	GDT516_CONTEXT_REPLAY	NO	nehmen → einstellen → Posten.	NOT_IN_GDT538_159	CH|T	NONE	NONE	Y	NONE	NONE	NO_INHERITANCE	Nimm den Pflanzenposten und stelle den Pflanzenposten ein.	CH+T+Y	YES	NO	CONTEXTUAL_EDITORIAL_READING__NO_RECIPE_OR_ROOT_RETUNING
