definitive_bundle_id	bundle_id	record_id	physical_page	register	locus	owner_de	event_count	source_event_ids	surface_sequence	recipe_sequence	literal_working_reading_de	boundary_role	record_bundle_count	bundle_ordinal_in_record	local_best_models	gdt474_selected_model	active_model	active_model_source	gdt476_context_decided	model_changed_from_gdt474	coordinate_repair_count	instruction_repair_count	catalogue_repair_count	coordinate_bundle_reading_de	instruction_bundle_reading_de	catalogue_bundle_reading_de	active_bundle_reading_de	order_occurrence_count	order_root_sequence	state_operation_sequence	order_scope_trace_de	definitive_bundle_reading_de	all_three_alternative_readings_retained	root_meaning_change	learned_name_change	claim_status
G479-B011	G474-B011	G475-R011	f71v	CELESTIAL	f71v.11	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	2	P1003-E0609|P1003-E0610	opalor|ar	AL+OR / AR	[STERNSTELLENNAME:op] · ZIELORT · EINHEIT / AUSGANG	UNMARKED_NEW_LOCUS	1	1	COORDINATE|CATALOGUE	CATALOGUE	CATALOGUE	GDT476_LOCAL_DEFAULT	NO	NO	0	2	0	1. Adressspur: Sternstelle »op« → Zielposition → Positionseinheit. 2. Adressspur: Ausgangsposition.	1. Beziehe den Sternstelleneintrag »op« und die Positionseinheit zur Zielposition. 2. Beziehe den Eintrag von der Ausgangsposition.	1. Sternstelle »op« — Zielzuordnung, Einheitsangabe. 2. Eintrag »ar« — Ausgangszuordnung.	1. Sternstelle »op« — Zielzuordnung, Einheitsangabe. 2. Eintrag »ar« — Ausgangszuordnung.	0	NONE	NONE	NONE	1. Sternstelle »op« — Zielzuordnung, Einheitsangabe. 2. Eintrag »ar« — Ausgangszuordnung.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B012	G474-B012	G475-R012	f71v	CELESTIAL	f71v.13	Name oder Kennung fuer zweite lokale Figuren-/Sternringgruppe	1	P1003-E0641	ofaom	O+LOCAL_CHAR_F	AUSFÜHRUNG · HIER · [STERNSTELLENNAME:aom]	UNMARKED_NEW_LOCUS	1	1	CATALOGUE	CATALOGUE	CATALOGUE	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	1	1	0	Adressspur: Ausführungspunkt → hier → Sternstelle »aom«.	Beziehe den Sternstelleneintrag »aom«, als Ausführung an der bezeichneten Stelle.	Sternstelle »aom« — Ausführungsvermerk, Hier-Vermerk.	Sternstelle »aom« — Ausführungsvermerk, Hier-Vermerk.	0	NONE	NONE	NONE	Sternstelle »aom« — Ausführungsvermerk, Hier-Vermerk.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B013	G474-B013	G475-R013	f71v	CELESTIAL	f71v.14	Name oder Kennung fuer zweite lokale Figuren-/Sternringgruppe	1	P1003-E0642	otalody	OT+AL	DANACH · ZIELORT · [STERNSTELLENNAME:ody]	EXPLICIT_NEXT_SIBLING_OT	1	1	COORDINATE|CATALOGUE	CATALOGUE	CATALOGUE	GDT476_LOCAL_DEFAULT	NO	NO	0	1	0	Adressspur: danach → Zielposition → Sternstelle »ody«.	Danach beziehe den Sternstelleneintrag »ody« zur Zielposition.	Sternstelle »ody« — Folgevermerk, Zielzuordnung.	Sternstelle »ody« — Folgevermerk, Zielzuordnung.	1	OT	START_FRESH_SIBLING	OT:danach Zielort	Sternstelle »ody« — Folgevermerk, Zielzuordnung. Reihenfolge konkret: OT — danach Zielort.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B014	G474-B014	G475-R014	f71v	CELESTIAL	f71v.15	Name oder Kennung fuer zweite lokale Figuren-/Sternringgruppe	1	P1003-E0643	otalaiin	OT+AL+AIIN	DANACH · ZIELORT · WERT	EXPLICIT_NEXT_SIBLING_OT	1	1	COORDINATE	COORDINATE	COORDINATE	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	0	1	1	Adressspur: danach → Zielposition → Positionswert.	Danach beziehe den Positionswert zur Zielposition.	Eintrag »otalaiin« — Folgevermerk, Zielzuordnung, Wertangabe.	Adressspur: danach → Zielposition → Positionswert.	1	OT	START_FRESH_SIBLING	OT:danach Zielort	Adressspur: danach → Zielposition → Positionswert. Reihenfolge konkret: OT — danach Zielort.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B015	G474-B015	G475-R015	f71v	CELESTIAL	f71v.16	Name oder Kennung fuer zweite lokale Figuren-/Sternringgruppe	2	P1003-E0644|P1003-E0645	otar|shar	OT+AR / SH+AR	DANACH · AUSGANG / HALTEN · AUSGANG	EXPLICIT_NEXT_SIBLING_OT	1	1	COORDINATE|INSTRUCTION	INSTRUCTION	INSTRUCTION	GDT476_LOCAL_DEFAULT	NO	NO	1	1	3	1. Adressspur: danach → Ausgangsposition. 2. Adressspur: Haltepunkt → Ausgangsposition.	1. Danach beziehe den Eintrag von der Ausgangsposition. 2. Halte den Eintrag von der Ausgangsposition.	1. Eintrag »otar« — Folgevermerk, Ausgangszuordnung. 2. Eintrag »shar« — Haltevermerk, Ausgangszuordnung.	1. Danach beziehe den Eintrag von der Ausgangsposition. 2. Halte den Eintrag von der Ausgangsposition.	1	OT	START_FRESH_SIBLING	OT:danach Ausgang	1. Danach beziehe den Eintrag von der Ausgangsposition. 2. Halte den Eintrag von der Ausgangsposition. Reihenfolge konkret: OT — danach Ausgang.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B016	G474-B016	G475-R016	f71v	CELESTIAL	f71v.17	Name oder Kennung fuer zweite lokale Figuren-/Sternringgruppe	1	P1003-E0646	sholshdy	SH+OL+SH	HALTEN · FORTSETZEN · HALTEN · [STERNSTELLENNAME:dy]	UNMARKED_NEW_LOCUS_WITH_INTERNAL_CONTROL	1	1	INSTRUCTION	INSTRUCTION	INSTRUCTION	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	2	0	2	Adressspur: Haltepunkt → weiter → Haltepunkt → Sternstelle »dy«.	Weiter halte den Sternstelleneintrag »dy« und halte den Sternstelleneintrag »dy«.	Sternstelle »dy« — Haltevermerk, Fortsetzungsvermerk, Haltevermerk.	Weiter halte den Sternstelleneintrag »dy« und halte den Sternstelleneintrag »dy«.	1	OL	KEEP_ACTIVE_UNIT	OL:Halten in Halten weiterführen	Weiter halte den Sternstelleneintrag »dy« und halte den Sternstelleneintrag »dy«. Reihenfolge konkret: OL — Halten in Halten weiterführen.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B017	G474-B017	G475-R017	f72r	CELESTIAL	f72r1.2	lokale Kennung für Tierkreis-Ringgruppe A	1	P1008-E0127	oshodady	SH	[STERNSTELLENNAME:o] · HALTEN · [STERNSTELLENNAME:odady]	PAGE_START	1	1	INSTRUCTION	INSTRUCTION	INSTRUCTION	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	1	0	1	Adressspur: Sternstelle »o« → Haltepunkt → Sternstelle »odady«.	Halte den Sternstelleneintrag »o« und den Sternstelleneintrag »odady«.	Sternstelle »o« / Sternstelle »odady« — Haltevermerk.	Halte den Sternstelleneintrag »o« und den Sternstelleneintrag »odady«.	0	NONE	NONE	NONE	Halte den Sternstelleneintrag »o« und den Sternstelleneintrag »odady«.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B018	G474-B018	G475-R018	f72r	CELESTIAL	f72r1.3	lokale Kennung für Tierkreis-Ringgruppe A	1	P1008-E0128	chdaiirdainy	AIN+Y	[STERNSTELLENNAME:chdaiird] · ANTEIL · POSTEN	UNMARKED_NEW_LOCUS	1	1	COORDINATE|CATALOGUE	CATALOGUE	CATALOGUE	GDT476_LOCAL_DEFAULT	NO	NO	0	1	0	Adressspur: Sternstelle »chdaiird« → Sektoranteil → Positionsposten.	Beziehe den Sternstelleneintrag »chdaiird«, den Sektoranteil und den Positionsposten.	Sternstelle »chdaiird« — Anteilsangabe, Postenangabe.	Sternstelle »chdaiird« — Anteilsangabe, Postenangabe.	0	NONE	NONE	NONE	Sternstelle »chdaiird« — Anteilsangabe, Postenangabe.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B019	G474-B019	G475-R019	f72r	CELESTIAL	f72r1.4	lokale Kennung für Tierkreis-Ringgruppe A	3	P1008-E0129|P1008-E0130|P1008-E0131	oaiin|ar|ary	O+AIIN / AR / AR+Y	AUSFÜHRUNG · WERT / AUSGANG / AUSGANG · POSTEN	UNMARKED_NEW_LOCUS	1	1	COORDINATE	COORDINATE	COORDINATE	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	1	3	3	1. Adressspur: Ausführungspunkt → Positionswert. 2. Adressspur: Ausgangsposition. 3. Adressspur: Ausgangsposition → Positionsposten.	1. Beziehe den Positionswert, als Ausführung. 2. Beziehe den Eintrag von der Ausgangsposition. 3. Beziehe den Positionsposten von der Ausgangsposition.	1. Eintrag »oaiin« — Ausführungsvermerk, Wertangabe. 2. Eintrag »ar« — Ausgangszuordnung. 3. Eintrag »ary« — Ausgangszuordnung, Postenangabe.	1. Adressspur: Ausführungspunkt → Positionswert. 2. Adressspur: Ausgangsposition. 3. Adressspur: Ausgangsposition → Positionsposten.	0	NONE	NONE	NONE	1. Adressspur: Ausführungspunkt → Positionswert. 2. Adressspur: Ausgangsposition. 3. Adressspur: Ausgangsposition → Positionsposten.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B020	G474-B020	G475-R020	f72r	CELESTIAL	f72r1.5	lokale Kennung für Tierkreis-Ringgruppe A	1	P1008-E0132	okalam	OK+AL+AM_ADDR	SETZEN · ZIELORT · HIER	UNMARKED_NEW_LOCUS	1	1	INSTRUCTION	INSTRUCTION	INSTRUCTION	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	1	0	2	Adressspur: Setzpunkt → Zielposition → hier.	Setze den Eintrag zur Zielposition an der bezeichneten Stelle.	Eintrag »okalam« — Setzvermerk, Zielzuordnung, Hier-Vermerk.	Setze den Eintrag zur Zielposition an der bezeichneten Stelle.	0	NONE	NONE	NONE	Setze den Eintrag zur Zielposition an der bezeichneten Stelle.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B021	G474-B021	G475-R021	f72r	CELESTIAL	f72r1.6	lokale Kennung für Tierkreis-Ringgruppe A	1	P1008-E0133	ytalshdy	AL+SH	[STERNSTELLENNAME:yt] · ZIELORT · HALTEN · [STERNSTELLENNAME:dy]	UNMARKED_NEW_LOCUS	1	1	INSTRUCTION	INSTRUCTION	INSTRUCTION	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	1	0	1	Adressspur: Sternstelle »yt« → Zielposition → Haltepunkt → Sternstelle »dy«.	Halte den Sternstelleneintrag »yt« und den Sternstelleneintrag »dy« zur Zielposition.	Sternstelle »yt« / Sternstelle »dy« — Zielzuordnung, Haltevermerk.	Halte den Sternstelleneintrag »yt« und den Sternstelleneintrag »dy« zur Zielposition.	0	NONE	NONE	NONE	Halte den Sternstelleneintrag »yt« und den Sternstelleneintrag »dy« zur Zielposition.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B022	G474-B022	G475-R022	f72r	CELESTIAL	f72r1.7	lokale Kennung für Tierkreis-Ringgruppe A	2	P1008-E0134|P1008-E0135	char|alif	AR / AL	AUSGANG / ZIELORT · [STERNSTELLENNAME:if]	UNMARKED_NEW_LOCUS	1	1	COORDINATE|CATALOGUE	CATALOGUE	CATALOGUE	GDT476_LOCAL_DEFAULT	NO	NO	0	2	0	1. Adressspur: Ausgangsposition. 2. Adressspur: Zielposition → Sternstelle »if«.	1. Beziehe den Eintrag von der Ausgangsposition. 2. Beziehe den Sternstelleneintrag »if« zur Zielposition.	1. Eintrag »char« — Ausgangszuordnung. 2. Sternstelle »if« — Zielzuordnung.	1. Eintrag »char« — Ausgangszuordnung. 2. Sternstelle »if« — Zielzuordnung.	0	NONE	NONE	NONE	1. Eintrag »char« — Ausgangszuordnung. 2. Sternstelle »if« — Zielzuordnung.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B023	G474-B023	G475-R023	f72r	CELESTIAL	f72r1.8	lokale Kennung für Tierkreis-Ringgruppe A	1	P1008-E0136	otaraldy	OT+AR+AL+Y	DANACH · AUSGANG · ZIELORT · POSTEN	EXPLICIT_NEXT_SIBLING_OT	1	1	COORDINATE	COORDINATE	COORDINATE	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	0	1	1	Adressspur: danach → Ausgangsposition → Zielposition → Positionsposten.	Danach beziehe den Positionsposten von der Ausgangsposition und zur Zielposition.	Eintrag »otaraldy« — Folgevermerk, Ausgangszuordnung, Zielzuordnung, Postenangabe.	Adressspur: danach → Ausgangsposition → Zielposition → Positionsposten.	1	OT	START_FRESH_SIBLING	OT:danach Ausgang	Adressspur: danach → Ausgangsposition → Zielposition → Positionsposten. Reihenfolge konkret: OT — danach Ausgang.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B024	G474-B024	G475-R024	f72r	CELESTIAL	f72r1.9	lokale Kennung für Tierkreis-Ringgruppe A	2	P1008-E0137|P1008-E0138	otaiin|otain	OT+AIIN / OT+AIN	DANACH · WERT / DANACH · ANTEIL	EXPLICIT_NEXT_SIBLING_OT	1	1	COORDINATE	COORDINATE	COORDINATE	GDT474_UNIQUE_OR_VISIBLE_SELECTION	NOT_A_TIE	NO	0	2	2	1. Adressspur: danach → Positionswert. 2. Adressspur: danach → Sektoranteil.	1. Danach beziehe den Positionswert. 2. Danach beziehe den Sektoranteil.	1. Eintrag »otaiin« — Folgevermerk, Wertangabe. 2. Eintrag »otain« — Folgevermerk, Anteilsangabe.	1. Adressspur: danach → Positionswert. 2. Adressspur: danach → Sektoranteil.	2	OT|OT	START_FRESH_SIBLING|START_FRESH_SIBLING	OT:danach Wert | OT:danach Anteil	1. Adressspur: danach → Positionswert. 2. Adressspur: danach → Sektoranteil. Reihenfolge konkret: OT — danach Wert; OT — danach Anteil.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
G479-B025	G474-B025	G475-R025	f72r	CELESTIAL	f72r1.10	lokale Kennung für Tierkreis-Ringgruppe A	3	P1008-E0139|P1008-E0140|P1008-E0141	otalef|ys|ainam	OT+AL / Y+S / AIN+AM_ADDR	DANACH · ZIELORT · [STERNSTELLENNAME:ef] / POSTEN · WÄHLEN / ANTEIL · HIER	EXPLICIT_NEXT_SIBLING_OT	1	1	COORDINATE|INSTRUCTION	INSTRUCTION	INSTRUCTION	GDT476_LOCAL_DEFAULT	NO	NO	1	1	2	1. Adressspur: danach → Zielposition → Sternstelle »ef«. 2. Adressspur: Positionsposten → Auswahlpunkt. 3. Adressspur: Sektoranteil → hier.	1. Danach beziehe den Sternstelleneintrag »ef« zur Zielposition. 2. Wähle den Positionsposten. 3. Im selben Gang wähle den Sektoranteil an der bezeichneten Stelle.	1. Sternstelle »ef« — Folgevermerk, Zielzuordnung. 2. Eintrag »ys« — Postenangabe, Auswahlvermerk. 3. Eintrag »ainam« — Anteilsangabe, Hier-Vermerk.	1. Danach beziehe den Sternstelleneintrag »ef« zur Zielposition. 2. Wähle den Positionsposten. 3. Im selben Gang wähle den Sektoranteil an der bezeichneten Stelle.	1	OT	START_FRESH_SIBLING	OT:danach Zielort	1. Danach beziehe den Sternstelleneintrag »ef« zur Zielposition. 2. Wähle den Positionsposten. 3. Im selben Gang wähle den Sektoranteil an der bezeichneten Stelle. Reihenfolge konkret: OT — danach Zielort.	YES	NO	NO	DEFINITIVE_LOCAL_BUNDLE_WORKING_DEFAULT__THREE_ALTERNATIVES_RETAINED
