edition	paragraph	locus	raw_line	row_status
ZL3b	f86v5|f86v5.18-f86v5.25	f86v5.20	ychor ar aiin ytaly otaiin ykaiin otal ytar aiin ytaiiil	recorded
ZL3b	f86v5|f86v5.18-f86v5.25	f86v5.21	oar ar aiin okaiin yteey ytaiin qokees aiin yteey qotey lkey	recorded
ZL3b	f86v5|f86v5.18-f86v5.25	f86v5.22	ykaiin ykeey ykal chod aiin oeey teodkaiin otodaiin okain	recorded
ZL3b	f86v5|f86v5.18-f86v5.25	f86v5.23	ykaiin or aiin okol chokar sheol qokar cheey or aiin ody	recorded
ZL3b	f86v5|f86v5.18-f86v5.25	f86v5.24	oar aiin ykain okal kchody chckhy otaiin olkar otaiin	recorded
ZL3b	f86v5|f86v5.18-f86v5.25	f86v5.25	sair kain ar alosheey qoeey lkesy	recorded
ZL3b	f102v2|f102v2.30-f102v2.39	f102v2.30	pyd[ch:?]y od[i:e]y pcheady qoekeey oteey qokeod sheey opaiin deear	recorded
ZL3b	f102v2|f102v2.30-f102v2.39	f102v2.31	oldeey ckhy sheeody eeos sheshe<!corr?> oeeor ykeear chekeey ykory	recorded
ZL3b	f102v2|f102v2.30-f102v2.39	f102v2.32	dar cheor shoar okeol shoy s ar oky cheeor ol daiin sy	recorded
ZL3b	f102v2|f102v2.30-f102v2.39	f102v2.33	qokeor sho ?keeeos cheor o s al chos aiiin o ky okaraiin	recorded
ZL3b	f102v2|f102v2.30-f102v2.39	f102v2.34	sorshey okeeor sheockhey qokeos okchol ctheor okey sal	recorded
ZL3b	f102v2|f102v2.30-f102v2.39	f102v2.35	ychor sheol por sheeor shekeey qoky cheo teody qokeol daiin	recorded
ZL3b	f102v2|f102v2.30-f102v2.39	f102v2.36	okeeor cheey okeey sor eeey okey okey okeey qokeor	recorded
ZL3b	f102v2|f102v2.30-f102v2.39	f102v2.37	tchor ar chey kor or cthey qoeeey qokeey okeoroly sar	recorded
ZL3b	f102v2|f102v2.30-f102v2.39	f102v2.38	dar cheey ckheey qokeor okey chos sho ykeey okeeo ra[in:i?]	recorded
ZL3b	f102v2|f102v2.30-f102v2.39	f102v2.39	yotaiin cheor cheekey orain	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.1	pchodol chor fchy opydaiin odaldy	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.2	ycheey keeor cthodal okol odaiin okal	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.3	oldaim odaiin okal oldaiin chockhol olol	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.4	kchor fchol cphol olcheol okeeey	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.5	ychol chol dolcheey tchol dar ckhy	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.6	oekor or okaiin or otaiin d	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.7	sor chkeey poiis cheor os s aiin	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.8	qokeey kchar ol dy choldaiin sy	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.9	ycheol shol kchol choltaiin ol	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.10	oytor okeor okar okol doiiram	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.11	qokcheo qokoiir ctheol chol	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.12	oy choy koaiin chckhey ol chor	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.13	ykeor chol chol cthol chkor sheol	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.14	olo r okeeol chodaiin okeol tchory	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.15	ychor cthy cheeky cheo otor oteol	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.16	okcheol chol okeol cthol otcheolom	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.17	qoain sar she dol qopchaiin cthor	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.18	otor cheeor ol chol dor chr or eees	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.19	dain chey qoaiin cthor chol chom	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.20	ykeey okeey cheor chol sho ydaiin	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.21	oal sheor sholor or shecthy cpheor daiin	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.22	qokeee dar chey keeor cheeol ctheey cthy	recorded
IT2a	f17v|f17v.1-f17v.23	f17v.23	chkeey okeor char okeom	recorded
IT2a	f86v5|f86v5.18-f86v5.25	f86v5.18	poldaiin sheo tesaiin otcho lkaiin os al ody qotar ytedy daiin	recorded
IT2a	f86v5|f86v5.18-f86v5.25	f86v5.19	ycheeytydaiin ykeeo chey shckhy shoky oty oty otain olkchdy	recorded
IT2a	f86v5|f86v5.18-f86v5.25	f86v5.20	ychor ar aiin ytaly otaiin ykaiin otar ytar aiin ytaiim	recorded
IT2a	f86v5|f86v5.18-f86v5.25	f86v5.21	oar ar aiin okaiin yteey ytaiin qokees aiin yteey qotey lkey	recorded
IT2a	f86v5|f86v5.18-f86v5.25	f86v5.22	ykaiin ykeey ykal chod aiin oeey teodkaiin otodaiin okain	recorded
IT2a	f86v5|f86v5.18-f86v5.25	f86v5.23	ykaiin or aiin okol chokar sheol qokar cheey oraiiin ody	recorded
IT2a	f86v5|f86v5.18-f86v5.25	f86v5.24	oar aiin ykain okal kchody chckhy otaiin olkar otaiin	recorded
IT2a	f86v5|f86v5.18-f86v5.25	f86v5.25	sair kain ar alosheey qoeey lkesy	recorded
IT2a	f102v2|f102v2.30-f102v2.39	f102v2.30	pydaeey odey pcheody qoekeey oteey qokeod sheey opaiin deeor	recorded
IT2a	f102v2|f102v2.30-f102v2.39	f102v2.31	oldeey ckhy sheeody eeos shesee oeor ykoear chekeey ykory	recorded
IT2a	f102v2|f102v2.30-f102v2.39	f102v2.32	dar cheor sheor okeol shoy s ar oky cheeor ol daiin sy	recorded
IT2a	f102v2|f102v2.30-f102v2.39	f102v2.33	qokeor sho ?keeeos cheor os al chos aiiin oky okar aiin	recorded
IT2a	f102v2|f102v2.30-f102v2.39	f102v2.34	sor shey okeeor sheockhey qokeos okeeol ctheor okey sal	recorded
IT2a	f102v2|f102v2.30-f102v2.39	f102v2.35	ychor sheol por sheeor shekeey qoky cheo keody qokeol dain	recorded
IT2a	f102v2|f102v2.30-f102v2.39	f102v2.36	okeeor cheey okeey sor chey okey okey okeey qokeor	recorded
IT2a	f102v2|f102v2.30-f102v2.39	f102v2.37	tchor or chey kor or cthey qoeeey qokeey okeo roly sar	recorded
IT2a	f102v2|f102v2.30-f102v2.39	f102v2.38	dor cheey ckheey qokeor okey chos sho ykeey okeeo raiin	recorded
IT2a	f102v2|f102v2.30-f102v2.39	f102v2.39	yotaiin cheor cheekey orain	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.1	pchodol chor fchy opydaiin odaldy	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.2	ycheey teeor cthodal okol odaiin okal	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.3	oldaig o@152;aiin okal oldaiin chockhol olol	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.4	kchor fchol cphol olcheol okeeey	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.5	ychol chol dolcheey tchol dar ckhy	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.6	oekos or okaiin or otaiind	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.7	sor chkeey poiis cheor os s aiin	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.8	qokeey kchar ol dy choldaiin sy	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.9	ycheol shol kchol choltaiin ol	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.10	oytor okeor okar okol daiir ar	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.11	qokcheo qokoiir ctheol chol	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.12	oy choy keoiin chckhey ol chor	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.13	ykeor chal chol cthol chkor sheol	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.14	olo r okeeol chodaiin okeol t chory	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.15	ychor cthy che'eky cheo otor oteol	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.16	okcheol chol okeol cthol otcheolog	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.17	qoain sar she dol qopchaiin cth@221;r	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.18	otor cheeor ol chol dor chr oreees	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.19	dain chey qoaiin cthor cholchom	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.20	ykeey okeey cheor chol sho odaiin	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.21	oal sheor sholor or shecthy cpheor daiin	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.22	qokeee dar chey keeor cheeol ctheey cthy	recorded
RF1b	f17v|f17v.1-f17v.23	f17v.23	chkeey okeor shor okeom	recorded
RF1b	f86v5|f86v5.18-f86v5.25	f86v5.18	pol@152;aiin sheo tesaiin otcho lkaiin os al ody qotar yte@152;y @152;aiin	recorded
RF1b	f86v5|f86v5.18-f86v5.25	f86v5.19	ycheeytydaiin ykeeo chey shckhy shoky oty oty otain olkeedy	recorded
RF1b	f86v5|f86v5.18-f86v5.25	f86v5.20	ychor ar aiin ytaly otaiin ykaiin otal ytar aiin ytaiiim	recorded
RF1b	f86v5|f86v5.18-f86v5.25	f86v5.21	oar ar aiin okaiin yteey ytaiin qokees aiin yteey qotey lkey	recorded
RF1b	f86v5|f86v5.18-f86v5.25	f86v5.22	ykaiin ykeey ykal chod aiin oeey teo@152;kaiin otodaiin @221;kain	recorded
RF1b	f86v5|f86v5.18-f86v5.25	f86v5.23	ykaiin or aiin okol chokar sheol qokar cheey or aiin ody	recorded
RF1b	f86v5|f86v5.18-f86v5.25	f86v5.24	oar aiin ykain okal kchody chckhy otaiin olkar otaiin	recorded
RF1b	f86v5|f86v5.18-f86v5.25	f86v5.25	sair kain ar alosheey qoeey lkesy	recorded
RF1b	f102v2|f102v2.30-f102v2.39	f102v2.30	pydchey odiy pche@221;@152;y qoekeey oteey qokeodsheey opaiin dee@221;r	recorded
RF1b	f102v2|f102v2.30-f102v2.39	f102v2.31	oldeey ckhy sheeody eeos sheshe oee@221;r ykeear chekeey ykory	recorded
RF1b	f102v2|f102v2.30-f102v2.39	f102v2.32	dor cheos sho@221;r okeol shoy s ar oky cheeor ol daiin sy	recorded
RF1b	f102v2|f102v2.30-f102v2.39	f102v2.33	qokeor sho ?keeeos cheor o s al chos aiiin oky okar aiin	recorded
RF1b	f102v2|f102v2.30-f102v2.39	f102v2.34	sos shey okeeor sheockhey qokeos okeeol ctheos okey sal	recorded
RF1b	f102v2|f102v2.30-f102v2.39	f102v2.35	ychor sheol por sheeor shekeey qoky che@221;teody qokeol daiin	recorded
RF1b	f102v2|f102v2.30-f102v2.39	f102v2.36	okeeor cheey okeey s@221;r eeey okey okey okeey qokeor	recorded
RF1b	f102v2|f102v2.30-f102v2.39	f102v2.37	tchor ar chey kor or cthey qoeeey qokeey okeoroly sar	recorded
RF1b	f102v2|f102v2.30-f102v2.39	f102v2.38	dor cheey ckheey qokeor okey chos sho ykeey okeeo rain	recorded
RF1b	f102v2|f102v2.30-f102v2.39	f102v2.39	yotaiin cheor cheekey orain	recorded
