statement_id	register	record_unit_id	page	owner_zones	events	event_ids	component_chain	literal_reading_de
H4-S002	HERBAL	H4	f55v	F55V_PICTURED_PLANT	3	E061|E062|E063	AIIN > CHD+Y > TALAM	Mass; dies umsetzen; verwahren.
H4-S003	HERBAL	H4	f55v	F55V_PICTURED_PLANT	4	E064|E065|E066|E067	Y+K+AIIN > CHEO+AR > CHK+EE+Y > OL+DY	dies auf Maß zuführen; Auszug aus der Quelle; dies länger wärmen; fortsetzen; Schluss.
H4-S004	HERBAL	H4	f55v	F55V_PICTURED_PLANT	6	E068|E069|E070|E071|E072|E073	AIIN > OK+AL > OL+T+Y > OR > Y > OR+AIN	Mass; an die Stelle setzen; dies weiter fuellen; Ansatz; dies; Ansatzportion.
H5-S001	HERBAL	H5	f56r	F56R_PICTURED_PLANT	9	E074|E075|E076|E077|E078|E079|E080|E081|E082	HO+CH+OR > HO > HO+AL+Y > AIIN > HO > K+OL > OT+CH+OR > OK+Y > AL	Zutat aus dem Ansatz abziehen; Zutat; diese Zutat an die Stelle; Mass; Zutat; weiter zuführen; danach Ansatz abziehen; verwende dies; Stelle.
H5-S002	HERBAL	H5	f56r	F56R_PICTURED_PLANT	4	E083|E084|E085|E086	OL > HO+Y > OK+Y > CH+EE+CKH+O+DY	fortsetzen; diese Zutat; verwende dies; länger durch den Durchlass; Schluss.
H5-S003	HERBAL	H5	f56r	F56R_PICTURED_PLANT	4	E087|E088|E089|E090	SH > HO > K+E+Y > OK+OK+Y	halten; Zutat; dies kurz zuführen; dies erneut ansetzen.
H5-S004	HERBAL	H5	f56r	F56R_PICTURED_PLANT	3	E091|E092|E093	OK+Y > OK+CHEO > K+AL	dies ansetzen; Auszug ansetzen; an die Stelle zuführen.
H5-S005	HERBAL	H5	f56r	F56R_PICTURED_PLANT	4	E094|E095|E096|E097	HO > OK+Y > K+HO+AR > OT+O+AIN	Zutat; dies ansetzen; Zutat aus dem Vorrat zuführen; danach eine Portion.
H5-S006	HERBAL	H5	f56r	F56R_PICTURED_PLANT	3	E098|E099|E100	OT+Y > K+E+OL > AIIN	nächster Posten; kurz weiter zuführen; Mass.
B1-S001	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	1	E101	OK+E+DY	kurz ansetzen; Schluss.
B1-S002	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	19	E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112|E113|E114|E115|E116|E117|E118|E119|E120	OK+AIIN > K+AIR > OK+AL > AR > OL > K+AIN > OL+K+AIN > AL > OL > R+OL > L > OL+OR > OL > SH+E+CKH+AL > AIIN > OK+EE+AL > AIIN > CKH+Y > CHD+DY	bemessen; Wasser zufuehren; an die Stelle setzen; von dort; fortsetzen; eine Portion; weitere Portion; Stelle; fortsetzen; weiter abkuehlen; weiterfuehren; weiterer Ansatz; fortsetzen; kurz an der Durchlassstelle; Mass; länger an der Stelle halten; Mass; durchführen; umsetzen; Schluss.
B1-S003	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	2	E121|E122	OL > SH+K+CHD+DY	fortsetzen; gebuendelt umsetzen; Schluss.
B1-S004	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	3	E123|E124|E125	CHD+Y > OL > SHED+DY	dies umsetzen; fortsetzen; absetzen; Schluss.
B1-S005	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	1	E126	OL+CHD+DY	weiterführen; Schluss.
B1-S006	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	4	E127|E128|E129|E130	OK+AIN > CKH+Y > L > R+AL	eine Portion zugeben; durchführen; weiterfuehren; an der Stelle abkuehlen.
B1-S007	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	1	E131	OK+CHD+DY	Ansatz umsetzen; Schluss.
B1-S008	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	5	E132|E133|E134|E135|E136	Y > OL > CHK+E+Y > OL > SHED+DY	dies; fortsetzen; kurz wärmen; fortsetzen; absetzen; Schluss.
B1-S009	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	1	E137	OK+E+DY	kurz ansetzen; Schluss.
B1-S010	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	1	E138	OK+E+DY	kurz ansetzen; Schluss.
B1-S011	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	2	E139|E140	CKH+Y > OK+Y	durchführen; verwende dies.
B1-S012	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	3	E141|E142|E143	LSH+O > OK+E+Y > LSH+E+DY	Waschgang; kurz ansetzen; Waschgang; Schluss.
B1-S013	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	1	E144	LSH+E+DY	Waschgang; Schluss.
B1-S014	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	5	E145|E146|E147|E148|E149	CHD+Y > SOLK+Y > L+CHD+AL > OL > OT+AR	dies umsetzen; dies auffangen; zum Auslass führen; fortsetzen; danach von dort.
B1-S015	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	2	E150|E151	T+E+Y > OK+CHD+DY	dies kurz fuellen; Ansatz umsetzen; Schluss.
B1-S016	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	4	E152|E153|E154|E155	OK+AL > OK+EE+Y > OL > SHED+DY	an die Stelle setzen; länger ansetzen; fortsetzen; absetzen; Schluss.
B1-S017	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	3	E156|E157|E158	AL > E+OL > CHD+DY	Stelle; kurz fortsetzen; umsetzen; Schluss.
B1-S018	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	4	E159|E160|E161|E162	L+Y > SH+E+OL > O+IIN > SOLK+EE+DY	dies fuehren; kurz halten; Sollstand; länger auffangen; Schluss.
B1-S019	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	1	E163	SHED+DY	absetzen; Schluss.
B1-S020	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	2	E164|E165	CHK+E+Y > SH+CKHE+DY	kurz wärmen; seihen; Schluss.
B1-S021	BIOLOGICAL	B1	f81v	B1_SHARED_POOL_WORKSTATION	1	E166	AL	Stelle.
B2-S001	BIOLOGICAL	B2	f82r	B2_ZONE_A_UPPER_STATIONS	1	E167	CHD+DY	umsetzen; Schluss.
B2-S002	BIOLOGICAL	B2	f82r	B2_ZONE_A_UPPER_STATIONS	1	E168	OL+CHD+DY	weiterführen; Schluss.
B2-S003	BIOLOGICAL	B2	f82r	B2_ZONE_A_UPPER_STATIONS	3	E169|E170|E171	OK+AIN > Y > OK+EE+DY	eine Portion zugeben; dies; länger ansetzen; Schluss.
B2-S004	BIOLOGICAL	B2	f82r	B2_ZONE_A_UPPER_STATIONS	5	E172|E173|E174|E175|E176	OK+AL > L+CKH+Y > L+CHD > OK+EE+Y > L+CKHE+DY	an die Stelle setzen; dies zum Durchlass führen; hinausführen; länger ansetzen; hinaus seihen; Schluss.
B2-S005	BIOLOGICAL	B2	f82r	B2_ZONE_A_UPPER_STATIONS	8	E177|E178|E179|E180|E181|E182|E183|E184	OK+AL+Y > SOLK+AIIN > CKH+Y > OK+AIIN > OK+AIIN > O+CTH+E+OL > CHK+EE+Y > L+DY	dies an die Stelle setzen; Auffangmass; durchführen; bemessen; bemessen; kurz bereit fortsetzen; dies länger wärmen; abführen; Schluss.
B2-S006	BIOLOGICAL	B2	f82r	B2_ZONE_A_UPPER_STATIONS	4	E185|E186|E187|E188	OT+EE+Y > OK+AL > SH+E+CKH+Y > OK+Y	nächsten Posten länger halten; an die Stelle setzen; dies kurz im Durchlass halten; verwende dies.
B2-S007	BIOLOGICAL	B2	f82r	B2_ZONE_B_SIDE_POOL	1	E189	SH+E+DY	kurz halten; Schluss.
B2-S008	BIOLOGICAL	B2	f82r	B2_ZONE_B_SIDE_POOL	3	E190|E191|E192	OT+AIIN > OK+AR > SHED+DY	nächstes Maß; von dort einsetzen; absetzen; Schluss.
B2-S009	BIOLOGICAL	B2	f82r	B2_ZONE_B_SIDE_POOL	1	E193	OL+SH+E+DY	mit dem Vorigen kurz absetzen; Schluss.
B2-S010	BIOLOGICAL	B2	f82r	B2_ZONE_B_SIDE_POOL	4	E194|E195|E196|E197	OK+EE+Y > OK+Y > LS > WHOLE[cheey|shey]	länger ansetzen; verwende dies; abfuehren; Klarauszug.
B2-S011	BIOLOGICAL	B2	f82r	B2_ZONE_C_CENTRAL_VESSEL	4	E198|E199|E200|E201	OK+AIN > AR > OK+AIN > OK+EE+DY	eine Portion zugeben; von dort; eine Portion zugeben; länger ansetzen; Schluss.
B2-S012	BIOLOGICAL	B2	f82r	B2_ZONE_C_CENTRAL_VESSEL|B2_ZONE_D_LOWER_STATIONS	8	E202|E203|E204|E205|E206|E207|E208|E209	L+CH+Y > WHOLE[cheey|shey] > CTH+E+Y > OK+EE+Y > L+EE+Y > AIIN > Y > OK+EEE+DY	dies abziehen; Klarauszug; dies kurz bereithalten; länger ansetzen; dies länger abziehen; Mass; dies; vollständig ansetzen; Schluss.
B2-S013	BIOLOGICAL	B2	f82r	B2_ZONE_D_LOWER_STATIONS	1	E210	L+CHD+DY	hinausführen; Schluss.
B2-S014	BIOLOGICAL	B2	f82r	B2_ZONE_D_LOWER_STATIONS	1	E211	L+AR	von dort abführen.
B2-S015	BIOLOGICAL	B2	f82r	B2_ZONE_E_TERMINAL_CELL_ROW	2	E212|E213	SH+E+Y > OK+EE+DY	dies kurz halten; länger ansetzen; Schluss.
B2-S016	BIOLOGICAL	B2	f82r	B2_ZONE_E_TERMINAL_CELL_ROW	8	E214|E215|E216|E217|E218|E219|E220|E221	AL > L+CHD+AR > WHOLE[ches] > AIIN > OT+EE+Y > OK+AIIN > OK+E+Y > P+CHD+DY	Stelle; von dort hinausführen; teilen; Mass; nächsten Posten länger halten; bemessen; kurz ansetzen; hineinführen; Schluss.
B2-S017	BIOLOGICAL	B2	f82r	B2_ZONE_E_TERMINAL_CELL_ROW	2	E222|E223	R+SH+E+AL > AL+DY	an der Stelle kurz abkuehlen; an der Stelle schliessen.
B2-S018	BIOLOGICAL	B2	f82r	B2_ZONE_E_TERMINAL_CELL_ROW	1	E224	OK+EE+DY	länger ansetzen; Schluss.
B2-S019	BIOLOGICAL	B2	f82r	B2_ZONE_E_TERMINAL_CELL_ROW	1	E225	R+SHED+DY	abkuehlen und absetzen; Schluss.
B2-S020	BIOLOGICAL	B2	f82r	B2_ZONE_E_TERMINAL_CELL_ROW	1	E226	OT+EE+DY	nächsten Schritt länger halten; Schluss.
B2-S021	BIOLOGICAL	B2	f82r	B2_ZONE_E_TERMINAL_CELL_ROW	1	E227	OK+EE+DY	länger ansetzen; Schluss.
B2-S022	BIOLOGICAL	B2	f82r	B2_ZONE_E_TERMINAL_CELL_ROW	1	E228	L+O+CHD+DY	weiter hinausfuehren; Schluss.
B3-S001	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	1	E229	SOLK+EE+DY	länger auffangen; Schluss.
B3-S002	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	2	E230|E231	OT+AL > CHK+EE+DY	Folgestelle; länger wärmen; Schluss.
B3-S003	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	4	E232|E233|E234|E235	Y > AIIN > Y > L+CHD+DY	dies; Mass; dies; hinausführen; Schluss.
B3-S004	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	3	E236|E237|E238	OK+AIIN > OT+AL > AR	bemessen; Folgestelle; von dort.
B3-S005	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	1	E239	CHD+DY	umsetzen; Schluss.
B3-S006	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	3	E240|E241|E242	CHD+Y > OK+AL > OL+CHD+DY	dies umsetzen; an die Stelle setzen; weiterführen; Schluss.
B3-S007	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	3	E243|E244|E245	OK+AIIN > CHD+Y > OK+EE+DY	bemessen; dies umsetzen; länger ansetzen; Schluss.
B3-S008	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	1	E246	L+CHD+DY	hinausführen; Schluss.
B3-S009	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	1	E247	OK+Y	verwende dies.
B3-S010	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	2	E248|E249	P+CHD+AL > OT+E+DY	an der Stelle hineinführen; kurzer Folgeschritt; Schluss.
B3-S011	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	4	E250|E251|E252|E253	SH+E+CTH+CHD+Y > OK+Y > CHD+Y > AR+Y	dies kurz bereit umsetzen; verwende dies; dies umsetzen; dies aus der Quelle nehmen.
B3-S012	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	2	E254|E255	OR > SHED+DY	Ansatz; absetzen; Schluss.
B3-S013	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	4	E256|E257|E258|E259	OK+AIIN > K+AIN > CTH+E+Y > OK+E+DY	bemessen; eine Portion; dies kurz bereithalten; kurz ansetzen; Schluss.
B3-S014	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	2	E260|E261	OK+AIR > SH+EE+DY	Wasser in Gang setzen; länger absetzen; Schluss.
B3-S015	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION	1	E262	L+CHD+DY	hinausführen; Schluss.
B3-S016	BIOLOGICAL	B3	f83r	B3_ZONE_A_UPPER_PAIRED_STATION|B3_ZONE_B_MIDDLE_STATION	2	E263|E264	L+O > OK+CHD+DY	hinausfuehren; Ansatz umsetzen; Schluss.
B3-S017	BIOLOGICAL	B3	f83r	B3_ZONE_B_MIDDLE_STATION	1	E265	OK+EE+DY	länger ansetzen; Schluss.
B3-S018	BIOLOGICAL	B3	f83r	B3_ZONE_B_MIDDLE_STATION	1	E266	SHED+DY	absetzen; Schluss.
B3-S019	BIOLOGICAL	B3	f83r	B3_ZONE_B_MIDDLE_STATION	1	E267	OK+SH+E+DY	kurz absetzen; Schluss.
B3-S020	BIOLOGICAL	B3	f83r	B3_ZONE_B_MIDDLE_STATION	2	E268|E269	AL > L+CHD+DY	Stelle; hinausführen; Schluss.
B3-S021	BIOLOGICAL	B3	f83r	B3_ZONE_B_MIDDLE_STATION	11	E270|E271|E272|E273|E274|E275|E276|E277|E278|E279|E280	OK+AIIN > CTH+Y > AL > Y > AIIN > SHED+AL > SH+E+CTH+Y > Y > AL > CTH+Y > AL+CHD+DY	bemessen; bereit; Stelle; dies; Mass; an der Stelle absetzen; dies kurz bereit halten; dies; Stelle; bereit; an der Stelle überführen; Schluss.
B3-S022	BIOLOGICAL	B3	f83r	B3_ZONE_B_MIDDLE_STATION	1	E281	OT+CHD+DY	danach umsetzen; Schluss.
B3-S023	BIOLOGICAL	B3	f83r	B3_ZONE_B_MIDDLE_STATION	1	E282	L+CHD+DY	hinausführen; Schluss.
B3-S024	BIOLOGICAL	B3	f83r	B3_ZONE_B_MIDDLE_STATION	1	E283	CHD+DY	umsetzen; Schluss.
B3-S025	BIOLOGICAL	B3	f83r	B3_ZONE_B_MIDDLE_STATION	1	E284	OK+CHD+DY	Ansatz umsetzen; Schluss.
B3-S026	BIOLOGICAL	B3	f83r	B3_ZONE_B_MIDDLE_STATION|B3_ZONE_C_LOWER_STATION	7	E285|E286|E287|E288|E289|E290|E291	EE+AR > L+AIIN > CHD+Y > OK+AIN > CTH+Y > AL+R+OR > SOLK+EE+DY	laenger aus der Quelle fuehren; Abfuehrmass; dies umsetzen; eine Portion zugeben; bereit; Ansatz an der Stelle abkuehlen; länger auffangen; Schluss.
B3-S027	BIOLOGICAL	B3	f83r	B3_ZONE_C_LOWER_STATION	1	E292	OT+EE+DY	nächsten Schritt länger halten; Schluss.
B3-S028	BIOLOGICAL	B3	f83r	B3_ZONE_C_LOWER_STATION	2	E293|E294	OK+EE+Y > OK+E+DY	länger ansetzen; kurz ansetzen; Schluss.
B3-S029	BIOLOGICAL	B3	f83r	B3_ZONE_C_LOWER_STATION	3	E295|E296|E297	OL > EEE+T+Y > OK+E+DY	fortsetzen; dies vollstaendig fuellen; kurz ansetzen; Schluss.
B3-S030	BIOLOGICAL	B3	f83r	B3_ZONE_C_LOWER_STATION	4	E298|E299|E300|E301	OK+Y > AIIN > CHD+AIR > OT+CHD+DY	verwende dies; Mass; Wasser weiterfuehren; danach umsetzen; Schluss.
B3-S031	BIOLOGICAL	B3	f83r	B3_ZONE_C_LOWER_STATION	1	E302	OK+EE+DY	länger ansetzen; Schluss.
B3-S032	BIOLOGICAL	B3	f83r	B3_ZONE_C_LOWER_STATION	5	E303|E304|E305|E306|E307	CHD+AIN > CHD+Y > OT+E+AIIN > OT+AIIN > OT+E+DY	eine Portion überführen; dies umsetzen; kurzes Folgemaß; nächstes Maß; kurzer Folgeschritt; Schluss.
B3-S033	BIOLOGICAL	B3	f83r	B3_ZONE_C_LOWER_STATION	1	E308	L+DY	abführen; Schluss.
B3-S034	BIOLOGICAL	B3	f83r	B3_ZONE_C_LOWER_STATION	6	E309|E310|E311|E312|E313|E314	O+IIN > CTH+Y > T+Y > OT+AIIN > OL+AL+Y > SHED+DY	Sollstand; bereit; dies fuellen; nächstes Maß; dies an der Stelle fortsetzen; absetzen; Schluss.
B4-S001	BIOLOGICAL	B4	f83r	B4_ZONE_A_LEFT_AND_UPPER_FLOW	1	E315	OK+EE+DY	länger ansetzen; Schluss.
B4-S002	BIOLOGICAL	B4	f83r	B4_ZONE_A_LEFT_AND_UPPER_FLOW	3	E316|E317|E318	OL+Y > OK+EE+Y > OK+E+DY	dies weiterführen; länger ansetzen; kurz ansetzen; Schluss.
B4-S003	BIOLOGICAL	B4	f83r	B4_ZONE_A_LEFT_AND_UPPER_FLOW	7	E319|E320|E321|E322|E323|E324|E325	CHD+Y > OT+AL > OT+Y > OK+EE+Y > OK+Y > OL > SHED+DY	dies umsetzen; Folgestelle; nächster Posten; länger ansetzen; verwende dies; fortsetzen; absetzen; Schluss.
B4-S004	BIOLOGICAL	B4	f83r	B4_ZONE_A_LEFT_AND_UPPER_FLOW	1	E326	OK+Y+LDDY	dies befestigen; Schluss.
B4-S005	BIOLOGICAL	B4	f83r	B4_ZONE_A_LEFT_AND_UPPER_FLOW	3	E327|E328|E329	AIN > CHD+Y > OK+EE+DY	Portion; dies umsetzen; länger ansetzen; Schluss.
B4-S006	BIOLOGICAL	B4	f83r	B4_ZONE_A_LEFT_AND_UPPER_FLOW	1	E330	SH+CKHE+DY	seihen; Schluss.
B4-S007	BIOLOGICAL	B4	f83r	B4_ZONE_A_LEFT_AND_UPPER_FLOW	1	E331	SH+CKHE+DY	seihen; Schluss.
B4-S008	BIOLOGICAL	B4	f83r	B4_ZONE_A_LEFT_AND_UPPER_FLOW	4	E332|E333|E334|E335	AIIN > CHK+EE+Y > SH+EE+Y > OK+E+DY	Mass; dies länger wärmen; dies länger halten; kurz ansetzen; Schluss.
B4-S009	BIOLOGICAL	B4	f83r	B4_ZONE_A_LEFT_AND_UPPER_FLOW	1	E336	SHED+DY	absetzen; Schluss.
B4-S010	BIOLOGICAL	B4	f83r	B4_ZONE_A_LEFT_AND_UPPER_FLOW	1	E337	OL+DY	fortsetzen; Schluss.
B4-S011	BIOLOGICAL	B4	f83r	B4_ZONE_A_LEFT_AND_UPPER_FLOW	7	E338|E339|E340|E341|E342|E343|E344	AIIN > CHK+E+Y > OK+EE+OL > OK+AIN > CHD+Y > OL > L+K+E+DY	Mass; kurz wärmen; länger fortsetzen; eine Portion zugeben; dies umsetzen; fortsetzen; kurz abführen; Schluss.
B4-S012	BIOLOGICAL	B4	f83r	B4_ZONE_A_LEFT_AND_UPPER_FLOW	1	E345	L+CHD+DY	hinausführen; Schluss.
B4-S013	BIOLOGICAL	B4	f83r	B4_ZONE_A_LEFT_AND_UPPER_FLOW	2	E346|E347	OK+OL > SHED+DY	Fortsetzung einsetzen; absetzen; Schluss.
B4-S014	BIOLOGICAL	B4	f83r	B4_ZONE_A_LEFT_AND_UPPER_FLOW	4	E348|E349|E350|E351	OR > Y > O+CKH+E+Y > AIR+Y+DY	Ansatz; dies; dies kurz durchführen; Wasserlauf schliessen.
B4-S015	BIOLOGICAL	B4	f83r	B4_ZONE_A_LEFT_AND_UPPER_FLOW|B4_ZONE_B_RIGHT_LOWER_FLOW	6	E352|E353|E354|E355|E356|E357	OK+AIN > WHOLE[cheey|shey] > K+AIN > CH+CKH+AL > SOLK+E+Y > L+CHD+DY	eine Portion zugeben; Klarauszug; eine Portion; Durchlassstelle; kurz auffangen; hinausführen; Schluss.
B4-S016	BIOLOGICAL	B4	f83r	B4_ZONE_B_RIGHT_LOWER_FLOW	4	E358|E359|E360|E361	OL+K+AIN > AL > K+AR > SHED+DY	weitere Portion; Stelle; aus dem Vorrat zufuehren; absetzen; Schluss.
B5-S001	BIOLOGICAL	B5	f83r	B5_LOCAL_RECORD_OWNER	1	E362	OT+CHD+DY	danach umsetzen; Schluss.
B5-S002	BIOLOGICAL	B5	f83r	B5_LOCAL_RECORD_OWNER	1	E363	OK+CHD+DY	Ansatz umsetzen; Schluss.
B5-S003	BIOLOGICAL	B5	f83r	B5_LOCAL_RECORD_OWNER	9	E364|E365|E366|E367|E368|E369|E370|E371|E372	SHED+AL > AL > OL > L+OL > CHD+AL > AIIN > OL > WHOLE[daiiin] > CHD+Y	an der Stelle absetzen; Stelle; fortsetzen; weiterfuehren; an der Stelle umsetzen; Mass; fortsetzen; zweite Stufe; dies umsetzen.
B6-S001	BIOLOGICAL	B6	f83r	B6_LOCAL_RECORD_OWNER	9	E373|E374|E375|E376|E377|E378|E379|E380|E381	SOLK+EE+Y > E+K+E+Y > R+AL+Y > OL > AIIN > OL > AIN > Y > L+AL+OR	laenger auffangen; dies kurz zuführen; dies abkuehlen; fortsetzen; Mass; fortsetzen; Portion; dies; Ansatz zur Stelle fuehren.
