global_running_ordinal	global_running_event_id	source_layer	source_event_id	source_replay_event_id	physical_page	source_panel	register	locus	source_order	source_statement_id	owner_de	surface	component_recipe	literal_core_reading_de	surface_status	admission_color
18	G407-E0018	GDT404_RANDOM4_RUNNING	G404-E0018	G404-E0018	f1r	f1r	SOURCE_SECTION_T	f1r.2	18	G404-S001	F1R_TEXT_BLOCK_A	ase	A_ADDR+S+E	HIER · WÄHLEN · GRAD I	NEW_VISIBLE_COMPOSITION	GREEN
19	G407-E0019	GDT404_RANDOM4_RUNNING	G404-E0019	G404-E0019	f1r	f1r	SOURCE_SECTION_T	f1r.2	19	G404-S001	F1R_TEXT_BLOCK_A	cthar	CH+T+AR	NEHMEN · EINSTELLEN · AUSGANG	EXACT_SURFACE_ONE_RECIPE	GREEN
20	G407-E0020	GDT404_RANDOM4_RUNNING	G404-E0020	G404-E0020	f1r	f1r	SOURCE_SECTION_T	f1r.2	20	G404-S001	F1R_TEXT_BLOCK_A	cthar	CH+T+AR	NEHMEN · EINSTELLEN · AUSGANG	EXACT_SURFACE_ONE_RECIPE	GREEN
21	G407-E0021	GDT404_RANDOM4_RUNNING	G404-E0021	G404-E0021	f1r	f1r	SOURCE_SECTION_T	f1r.2	21	G404-S001	F1R_TEXT_BLOCK_A	dan	AIN	ANTEIL	NEW_VISIBLE_COMPOSITION	GREEN
22	G407-E0022	GDT404_RANDOM4_RUNNING	G404-E0022	G404-E0022	f1r	f1r	SOURCE_SECTION_T	f1r.3	22	G404-S001	F1R_TEXT_BLOCK_A	syaiir	S+Y+IIN+R	WÄHLEN · AKTIVER POSTEN · STUFE · MARKIEREN	NEW_MICROFORM_OLD_FACTORS	AMBER
23	G407-E0023	GDT404_RANDOM4_RUNNING	G404-E0023	G404-E0023	f1r	f1r	SOURCE_SECTION_T	f1r.3	23	G404-S001	F1R_TEXT_BLOCK_A	sheky	SH+E+K+Y	HALTEN · GRAD I · GEBEN · AKTIVER POSTEN	EXACT_SURFACE_ONE_RECIPE	GREEN
24	G407-E0024	GDT404_RANDOM4_RUNNING	G404-E0024	G404-E0024	f1r	f1r	SOURCE_SECTION_T	f1r.3	24	G404-S001	F1R_TEXT_BLOCK_A	or	OR	EINHEIT	EXACT_SURFACE_ONE_RECIPE	GREEN
25	G407-E0025	GDT404_RANDOM4_RUNNING	G404-E0025	G404-E0025	f1r	f1r	SOURCE_SECTION_T	f1r.3	25	G404-S001	F1R_TEXT_BLOCK_A	ykaiin	Y+K+AIIN	AKTIVER POSTEN · GEBEN · WERT	EXACT_SURFACE_ONE_RECIPE	GREEN
26	G407-E0026	GDT404_RANDOM4_RUNNING	G404-E0026	G404-E0026	f1r	f1r	SOURCE_SECTION_T	f1r.3	26	G404-S001	F1R_TEXT_BLOCK_A	shod	SH+O+D_ADDR	HALTEN · AUSFÜHRUNG · HIER	NEW_VISIBLE_COMPOSITION	GREEN
27	G407-E0027	GDT404_RANDOM4_RUNNING	G404-E0027	G404-E0027	f1r	f1r	SOURCE_SECTION_T	f1r.3	27	G404-S001	F1R_TEXT_BLOCK_A	cthoary	CH+T+O+AR+Y	NEHMEN · EINSTELLEN · AUSFÜHRUNG · AUSGANG · AKTIVER POSTEN	NEW_VISIBLE_COMPOSITION	GREEN
28	G407-E0028	GDT404_RANDOM4_RUNNING	G404-E0028	G404-E0028	f1r	f1r	SOURCE_SECTION_T	f1r.3	28	G404-S001	F1R_TEXT_BLOCK_A	cthes	CH+T+E+S	NEHMEN · EINSTELLEN · GRAD I · WÄHLEN	NEW_VISIBLE_COMPOSITION	GREEN
29	G407-E0029	GDT404_RANDOM4_RUNNING	G404-E0029	G404-E0029	f1r	f1r	SOURCE_SECTION_T	f1r.3	29	G404-S001	F1R_TEXT_BLOCK_A	daraiin	D_ADDR+AR+AIIN	HIER · AUSGANG · WERT	NEW_VISIBLE_COMPOSITION	GREEN
30	G407-E0030	GDT404_RANDOM4_RUNNING	G404-E0030	G404-E0030	f1r	f1r	SOURCE_SECTION_T	f1r.3	30	G404-S001	F1R_TEXT_BLOCK_A	sy	Y	AKTIVER POSTEN	EXACT_SURFACE_ONE_RECIPE	GREEN
31	G407-E0031	GDT404_RANDOM4_RUNNING	G404-E0031	G404-E0031	f1r	f1r	SOURCE_SECTION_T	f1r.4	31	G404-S001	F1R_TEXT_BLOCK_A	soiin	S+O+IIN	WÄHLEN · AUSFÜHRUNG · STUFE	NEW_VISIBLE_COMPOSITION	GREEN
32	G407-E0032	GDT404_RANDOM4_RUNNING	G404-E0032	G404-E0032	f1r	f1r	SOURCE_SECTION_T	f1r.4	32	G404-S001	F1R_TEXT_BLOCK_A	oteey	OT+EE+Y	DANACH · GRAD II · AKTIVER POSTEN	EXACT_SURFACE_ONE_RECIPE	GREEN
33	G407-E0033	GDT404_RANDOM4_RUNNING	G404-E0033	G404-E0033	f1r	f1r	SOURCE_SECTION_T	f1r.4	33	G404-S001	F1R_TEXT_BLOCK_A	oteos	OT+E+O+S_ADDR	DANACH · GRAD I · AUSFÜHRUNG · HIER	EXACT_SURFACE_ONE_RECIPE	GREEN
34	G407-E0034	GDT404_RANDOM4_RUNNING	G404-E0034	G404-E0034	f1r	f1r	SOURCE_SECTION_T	f1r.4	34	G404-S001	F1R_TEXT_BLOCK_A	roloty	R+OL+OT+Y	MARKIEREN · FORTSETZEN · DANACH · AKTIVER POSTEN	NEW_MICROFORM_OLD_FACTORS	AMBER
35	G407-E0035	GDT404_RANDOM4_RUNNING	G404-E0035	G404-E0035	f1r	f1r	SOURCE_SECTION_T	f1r.4	35	G404-S001	F1R_TEXT_BLOCK_A	cthiar	CH+T+LOCAL_CHAR_I+AR	NEHMEN · EINSTELLEN · VARIANTE · AUSGANG	NEW_VISIBLE_COMPOSITION	GREEN
36	G407-E0036	GDT404_RANDOM4_RUNNING	G404-E0036	G404-E0036	f1r	f1r	SOURCE_SECTION_T	f1r.4	36	G404-S001	F1R_TEXT_BLOCK_A	daiin	AIIN	WERT	EXACT_SURFACE_ONE_RECIPE	GREEN
37	G407-E0037	GDT404_RANDOM4_RUNNING	G404-E0037	G404-E0037	f1r	f1r	SOURCE_SECTION_T	f1r.4	37	G404-S001	F1R_TEXT_BLOCK_A	okaiin	OK+AIIN	SETZEN · WERT	EXACT_SURFACE_ONE_RECIPE	GREEN
38	G407-E0038	GDT404_RANDOM4_RUNNING	G404-E0038	G404-E0038	f1r	f1r	SOURCE_SECTION_T	f1r.4	38	G404-S001	F1R_TEXT_BLOCK_A	or	OR	EINHEIT	EXACT_SURFACE_ONE_RECIPE	GREEN
39	G407-E0039	GDT404_RANDOM4_RUNNING	G404-E0039	G404-E0039	f1r	f1r	SOURCE_SECTION_T	f1r.4	39	G404-S001	F1R_TEXT_BLOCK_A	okan	OK+AN	SETZEN · KLASSE	NEW_VISIBLE_COMPOSITION	GREEN
40	G407-E0040	GDT404_RANDOM4_RUNNING	G404-E0040	G404-E0040	f1r	f1r	SOURCE_SECTION_T	f1r.5	40	G404-S001	F1R_TEXT_BLOCK_A	sair	S+AIR	WÄHLEN · LAUF	EXACT_SURFACE_ONE_RECIPE	GREEN
41	G407-E0041	GDT404_RANDOM4_RUNNING	G404-E0041	G404-E0041	f1r	f1r	SOURCE_SECTION_T	f1r.5	41	G404-S001	F1R_TEXT_BLOCK_A	y	Y	AKTIVER POSTEN	EXACT_SURFACE_ONE_RECIPE	GREEN
42	G407-E0042	GDT404_RANDOM4_RUNNING	G404-E0042	G404-E0042	f1r	f1r	SOURCE_SECTION_T	f1r.5	42	G404-S001	F1R_TEXT_BLOCK_A	chear	CH+E+AR	NEHMEN · GRAD I · AUSGANG	EXACT_SURFACE_ONE_RECIPE	GREEN
43	G407-E0043	GDT404_RANDOM4_RUNNING	G404-E0043	G404-E0043	f1r	f1r	SOURCE_SECTION_T	f1r.5	43	G404-S001	F1R_TEXT_BLOCK_A	cthaiin	CH+T+AIIN	NEHMEN · EINSTELLEN · WERT	EXACT_SURFACE_ONE_RECIPE	GREEN
44	G407-E0044	GDT404_RANDOM4_RUNNING	G404-E0044	G404-E0044	f1r	f1r	SOURCE_SECTION_T	f1r.5	44	G404-S001	F1R_TEXT_BLOCK_A	cphar	CH+P+AR	NEHMEN · EINSETZEN · AUSGANG	NEW_VISIBLE_COMPOSITION	GREEN
45	G407-E0045	GDT404_RANDOM4_RUNNING	G404-E0045	G404-E0045	f1r	f1r	SOURCE_SECTION_T	f1r.5	45	G404-S001	F1R_TEXT_BLOCK_A	cfhaiin	CH+LOCAL_CHAR_F+AIIN	NEHMEN · HIER · WERT	NEW_VISIBLE_COMPOSITION	GREEN
46	G407-E0046	GDT404_RANDOM4_RUNNING	G404-E0046	G404-E0046	f1r	f1r	SOURCE_SECTION_T	f1r.6	46	G404-S001	F1R_TEXT_BLOCK_A	ydaraishy	Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	AKTIVER POSTEN · HIER · AUSGANG · HIER · VARIANTE · HALTEN · AKTIVER POSTEN	NEW_MICROFORM_OLD_FACTORS	AMBER
47	G407-E0047	GDT404_RANDOM4_RUNNING	G404-E0047	G404-E0047	f1r	f1r	SOURCE_SECTION_T	f1r.7	47	G404-S002	F1R_TEXT_BLOCK_B	odar	O+D_ADDR+AR	AUSFÜHRUNG · HIER · AUSGANG	EXACT_SURFACE_ONE_RECIPE	GREEN
48	G407-E0048	GDT404_RANDOM4_RUNNING	G404-E0048	G404-E0048	f1r	f1r	SOURCE_SECTION_T	f1r.7	48	G404-S002	F1R_TEXT_BLOCK_B	shol	SH+OL	HALTEN · FORTSETZEN	EXACT_SURFACE_ONE_RECIPE	GREEN
49	G407-E0049	GDT404_RANDOM4_RUNNING	G404-E0049	G404-E0049	f1r	f1r	SOURCE_SECTION_T	f1r.7	49	G404-S002	F1R_TEXT_BLOCK_B	cphoy	CH+P+O+Y	NEHMEN · EINSETZEN · AUSFÜHRUNG · AKTIVER POSTEN	NEW_VISIBLE_COMPOSITION	GREEN
50	G407-E0050	GDT404_RANDOM4_RUNNING	G404-E0050	G404-E0050	f1r	f1r	SOURCE_SECTION_T	f1r.7	50	G404-S002	F1R_TEXT_BLOCK_B	oydar	O+Y+D_ADDR+AR	AUSFÜHRUNG · AKTIVER POSTEN · HIER · AUSGANG	NEW_VISIBLE_COMPOSITION	GREEN
51	G407-E0051	GDT404_RANDOM4_RUNNING	G404-E0051	G404-E0051	f1r	f1r	SOURCE_SECTION_T	f1r.7	51	G404-S002	F1R_TEXT_BLOCK_B	sh	SH	HALTEN	EXACT_SURFACE_ONE_RECIPE	GREEN
52	G407-E0052	GDT404_RANDOM4_RUNNING	G404-E0052	G404-E0052	f1r	f1r	SOURCE_SECTION_T	f1r.7	52	G404-S002	F1R_TEXT_BLOCK_B	s	S	WÄHLEN	EXACT_SURFACE_ONE_RECIPE	GREEN
53	G407-E0053	GDT404_RANDOM4_RUNNING	G404-E0053	G404-E0053	f1r	f1r	SOURCE_SECTION_T	f1r.7	53	G404-S002	F1R_TEXT_BLOCK_B	cfhoaiin	CH+LOCAL_CHAR_F+O+AIIN	NEHMEN · HIER · AUSFÜHRUNG · WERT	NEW_VISIBLE_COMPOSITION	GREEN
54	G407-E0054	GDT404_RANDOM4_RUNNING	G404-E0054	G404-E0054	f1r	f1r	SOURCE_SECTION_T	f1r.7	54	G404-S002	F1R_TEXT_BLOCK_B	shodary	SH+O+D_ADDR+AR+Y	HALTEN · AUSFÜHRUNG · HIER · AUSGANG · AKTIVER POSTEN	NEW_MICROFORM_OLD_FACTORS	AMBER
55	G407-E0055	GDT404_RANDOM4_RUNNING	G404-E0055	G404-E0055	f1r	f1r	SOURCE_SECTION_T	f1r.8	55	G404-S002	F1R_TEXT_BLOCK_B	yshey	Y+SH+E+Y	AKTIVER POSTEN · HALTEN · GRAD I · AKTIVER POSTEN	EXACT_SURFACE_ONE_RECIPE	GREEN
56	G407-E0056	GDT404_RANDOM4_RUNNING	G404-E0056	G404-E0056	f1r	f1r	SOURCE_SECTION_T	f1r.8	56	G404-S002	F1R_TEXT_BLOCK_B	shody	SH+O+DY	HALTEN · AUSFÜHRUNG · SCHLUSS	EXACT_SURFACE_ONE_RECIPE	GREEN
57	G407-E0057	GDT404_RANDOM4_RUNNING	G404-E0057	G404-E0057	f1r	f1r	SOURCE_SECTION_T	f1r.8	57	G404-S003	F1R_TEXT_BLOCK_B	okchoy	OK+CH+O+Y	SETZEN · NEHMEN · AUSFÜHRUNG · AKTIVER POSTEN	NEW_VISIBLE_COMPOSITION	GREEN
58	G407-E0058	GDT404_RANDOM4_RUNNING	G404-E0058	G404-E0058	f1r	f1r	SOURCE_SECTION_T	f1r.8	58	G404-S003	F1R_TEXT_BLOCK_B	otchol	OT+CH+OL	DANACH · NEHMEN · FORTSETZEN	EXACT_SURFACE_ONE_RECIPE	GREEN
59	G407-E0059	GDT404_RANDOM4_RUNNING	G404-E0059	G404-E0059	f1r	f1r	SOURCE_SECTION_T	f1r.8	59	G404-S003	F1R_TEXT_BLOCK_B	chocthy	CH+O+CH+T+Y	NEHMEN · AUSFÜHRUNG · NEHMEN · EINSTELLEN · AKTIVER POSTEN	EXACT_SURFACE_ONE_RECIPE	GREEN
60	G407-E0060	GDT404_RANDOM4_RUNNING	G404-E0060	G404-E0060	f1r	f1r	SOURCE_SECTION_T	f1r.8	60	G404-S003	F1R_TEXT_BLOCK_B	os	OS	VORBEZUG	EXACT_SURFACE_ONE_RECIPE	GREEN
61	G407-E0061	GDT404_RANDOM4_RUNNING	G404-E0061	G404-E0061	f1r	f1r	SOURCE_SECTION_T	f1r.8	61	G404-S003	F1R_TEXT_BLOCK_B	chy	Y	AKTIVER POSTEN	EXACT_SURFACE_ONE_RECIPE	GREEN
62	G407-E0062	GDT404_RANDOM4_RUNNING	G404-E0062	G404-E0062	f1r	f1r	SOURCE_SECTION_T	f1r.8	62	G404-S003	F1R_TEXT_BLOCK_B	dain	AIN	ANTEIL	EXACT_SURFACE_ONE_RECIPE	GREEN
63	G407-E0063	GDT404_RANDOM4_RUNNING	G404-E0063	G404-E0063	f1r	f1r	SOURCE_SECTION_T	f1r.8	63	G404-S003	F1R_TEXT_BLOCK_B	chor	CH+OR	NEHMEN · EINHEIT	EXACT_SURFACE_ONE_RECIPE	GREEN
64	G407-E0064	GDT404_RANDOM4_RUNNING	G404-E0064	G404-E0064	f1r	f1r	SOURCE_SECTION_T	f1r.8	64	G404-S003	F1R_TEXT_BLOCK_B	kos	K+O+S	GEBEN · AUSFÜHRUNG · WÄHLEN	NEW_VISIBLE_COMPOSITION	GREEN
65	G407-E0065	GDT404_RANDOM4_RUNNING	G404-E0065	G404-E0065	f1r	f1r	SOURCE_SECTION_T	f1r.9	65	G404-S003	F1R_TEXT_BLOCK_B	daiin	AIIN	WERT	EXACT_SURFACE_ONE_RECIPE	GREEN
66	G407-E0066	GDT404_RANDOM4_RUNNING	G404-E0066	G404-E0066	f1r	f1r	SOURCE_SECTION_T	f1r.9	66	G404-S003	F1R_TEXT_BLOCK_B	shos	SH+O+S	HALTEN · AUSFÜHRUNG · WÄHLEN	NEW_VISIBLE_COMPOSITION	GREEN
67	G407-E0067	GDT404_RANDOM4_RUNNING	G404-E0067	G404-E0067	f1r	f1r	SOURCE_SECTION_T	f1r.9	67	G404-S003	F1R_TEXT_BLOCK_B	cfhol	CH+LOCAL_CHAR_F+OL	NEHMEN · HIER · FORTSETZEN	NEW_VISIBLE_COMPOSITION	GREEN
68	G407-E0068	GDT404_RANDOM4_RUNNING	G404-E0068	G404-E0068	f1r	f1r	SOURCE_SECTION_T	f1r.9	68	G404-S003	F1R_TEXT_BLOCK_B	shody	SH+O+DY	HALTEN · AUSFÜHRUNG · SCHLUSS	EXACT_SURFACE_ONE_RECIPE	GREEN
69	G407-E0069	GDT404_RANDOM4_RUNNING	G404-E0069	G404-E0069	f1r	f1r	SOURCE_SECTION_T	f1r.10	69	G404-S004	F1R_TEXT_BLOCK_B	dain	AIN	ANTEIL	EXACT_SURFACE_ONE_RECIPE	GREEN
70	G407-E0070	GDT404_RANDOM4_RUNNING	G404-E0070	G404-E0070	f1r	f1r	SOURCE_SECTION_T	f1r.10	70	G404-S004	F1R_TEXT_BLOCK_B	os	OS	VORBEZUG	EXACT_SURFACE_ONE_RECIPE	GREEN
71	G407-E0071	GDT404_RANDOM4_RUNNING	G404-E0071	G404-E0071	f1r	f1r	SOURCE_SECTION_T	f1r.10	71	G404-S004	F1R_TEXT_BLOCK_B	teody	T+E+O+DY	EINSTELLEN · GRAD I · AUSFÜHRUNG · SCHLUSS	NEW_VISIBLE_COMPOSITION	GREEN
72	G407-E0072	GDT404_RANDOM4_RUNNING	G404-E0072	G404-E0072	f1r	f1r	SOURCE_SECTION_T	f1r.11	72	G404-S005	F1R_TEXT_BLOCK_C	ydain	Y+AIN	AKTIVER POSTEN · ANTEIL	EXACT_SURFACE_ONE_RECIPE	GREEN
73	G407-E0073	GDT404_RANDOM4_RUNNING	G404-E0073	G404-E0073	f1r	f1r	SOURCE_SECTION_T	f1r.11	73	G404-S005	F1R_TEXT_BLOCK_C	cphesaiin	CH+P+E+S+AIIN	NEHMEN · EINSETZEN · GRAD I · WÄHLEN · WERT	NEW_VISIBLE_COMPOSITION	GREEN
74	G407-E0074	GDT404_RANDOM4_RUNNING	G404-E0074	G404-E0074	f1r	f1r	SOURCE_SECTION_T	f1r.11	74	G404-S005	F1R_TEXT_BLOCK_C	ols	OL+S	FORTSETZEN · WÄHLEN	EXACT_SURFACE_ONE_RECIPE	GREEN
75	G407-E0075	GDT404_RANDOM4_RUNNING	G404-E0075	G404-E0075	f1r	f1r	SOURCE_SECTION_T	f1r.11	75	G404-S005	F1R_TEXT_BLOCK_C	cphey	CH+P+E+Y	NEHMEN · EINSETZEN · GRAD I · AKTIVER POSTEN	EXACT_SURFACE_ONE_RECIPE	GREEN
76	G407-E0076	GDT404_RANDOM4_RUNNING	G404-E0076	G404-E0076	f1r	f1r	SOURCE_SECTION_T	f1r.11	76	G404-S005	F1R_TEXT_BLOCK_C	ytain	Y+T+AIN	AKTIVER POSTEN · EINSTELLEN · ANTEIL	EXACT_SURFACE_ONE_RECIPE	GREEN
77	G407-E0077	GDT404_RANDOM4_RUNNING	G404-E0077	G404-E0077	f1r	f1r	SOURCE_SECTION_T	f1r.11	77	G404-S005	F1R_TEXT_BLOCK_C	shoshy	SH+O+SH+Y	HALTEN · AUSFÜHRUNG · HALTEN · AKTIVER POSTEN	NEW_VISIBLE_COMPOSITION	GREEN
78	G407-E0078	GDT404_RANDOM4_RUNNING	G404-E0078	G404-E0078	f1r	f1r	SOURCE_SECTION_T	f1r.11	78	G404-S005	F1R_TEXT_BLOCK_C	cphodal	CH+P+O+D_ADDR+AL	NEHMEN · EINSETZEN · AUSFÜHRUNG · HIER · ZIELORT	NEW_VISIBLE_COMPOSITION	GREEN
79	G407-E0079	GDT404_RANDOM4_RUNNING	G404-E0079	G404-E0079	f1r	f1r	SOURCE_SECTION_T	f1r.11	79	G404-S005	F1R_TEXT_BLOCK_C	es	E+S	GRAD I · WÄHLEN	EXACT_SURFACE_ONE_RECIPE	GREEN
80	G407-E0080	GDT404_RANDOM4_RUNNING	G404-E0080	G404-E0080	f1r	f1r	SOURCE_SECTION_T	f1r.12	80	G404-S005	F1R_TEXT_BLOCK_C	oksho	OK+SH+O	SETZEN · HALTEN · AUSFÜHRUNG	NEW_VISIBLE_COMPOSITION	GREEN
81	G407-E0081	GDT404_RANDOM4_RUNNING	G404-E0081	G404-E0081	f1r	f1r	SOURCE_SECTION_T	f1r.12	81	G404-S005	F1R_TEXT_BLOCK_C	kshoy	K+SH+O+Y	GEBEN · HALTEN · AUSFÜHRUNG · AKTIVER POSTEN	NEW_VISIBLE_COMPOSITION	GREEN
82	G407-E0082	GDT404_RANDOM4_RUNNING	G404-E0082	G404-E0082	f1r	f1r	SOURCE_SECTION_T	f1r.12	82	G404-S005	F1R_TEXT_BLOCK_C	otairin	OT+AIR+IIN	DANACH · LAUF · STUFE	NEW_MICROFORM_OLD_FACTORS	AMBER
83	G407-E0083	GDT404_RANDOM4_RUNNING	G404-E0083	G404-E0083	f1r	f1r	SOURCE_SECTION_T	f1r.12	83	G404-S005	F1R_TEXT_BLOCK_C	oteol	OT+E+OL	DANACH · GRAD I · FORTSETZEN	EXACT_SURFACE_ONE_RECIPE	GREEN
84	G407-E0084	GDT404_RANDOM4_RUNNING	G404-E0084	G404-E0084	f1r	f1r	SOURCE_SECTION_T	f1r.12	84	G404-S005	F1R_TEXT_BLOCK_C	okan	OK+AN	SETZEN · KLASSE	NEW_VISIBLE_COMPOSITION	GREEN
85	G407-E0085	GDT404_RANDOM4_RUNNING	G404-E0085	G404-E0085	f1r	f1r	SOURCE_SECTION_T	f1r.12	85	G404-S005	F1R_TEXT_BLOCK_C	shodain	SH+O+D_ADDR+AIN	HALTEN · AUSFÜHRUNG · HIER · ANTEIL	NEW_VISIBLE_COMPOSITION	GREEN
86	G407-E0086	GDT404_RANDOM4_RUNNING	G404-E0086	G404-E0086	f1r	f1r	SOURCE_SECTION_T	f1r.12	86	G404-S005	F1R_TEXT_BLOCK_C	sckhey	S+CH+K+E+Y	WÄHLEN · NEHMEN · GEBEN · GRAD I · AKTIVER POSTEN	NEW_VISIBLE_COMPOSITION	GREEN
87	G407-E0087	GDT404_RANDOM4_RUNNING	G404-E0087	G404-E0087	f1r	f1r	SOURCE_SECTION_T	f1r.12	87	G404-S005	F1R_TEXT_BLOCK_C	daiin	AIIN	WERT	EXACT_SURFACE_ONE_RECIPE	GREEN
88	G407-E0088	GDT404_RANDOM4_RUNNING	G404-E0088	G404-E0088	f1r	f1r	SOURCE_SECTION_T	f1r.13	88	G404-S005	F1R_TEXT_BLOCK_C	shoy	SH+O+Y	HALTEN · AUSFÜHRUNG · AKTIVER POSTEN	EXACT_SURFACE_ONE_RECIPE	GREEN
89	G407-E0089	GDT404_RANDOM4_RUNNING	G404-E0089	G404-E0089	f1r	f1r	SOURCE_SECTION_T	f1r.13	89	G404-S005	F1R_TEXT_BLOCK_C	ckhey	CH+K+E+Y	NEHMEN · GEBEN · GRAD I · AKTIVER POSTEN	EXACT_SURFACE_ONE_RECIPE	GREEN
