global_attachment_ordinal	global_attachment_id	source_layer	source_factorized_id	source_attachment_id	physical_page	register	source_statement_id	global_statement_id	source_event_id	global_running_event_id	surface	focus_core	focus_value_de	focus_family	focus_atom_ordinal	selector_rule	attachment_geometry	selected_action_source_event_id	resolved_action_source_event_id	selected_action_global_event_id	selected_action_atom_ordinal	action_core	action_value_de	head_kind	r_topology	duplicate_mode	duplicate_role	lookahead_cards	owner_boundary_crossed	statement_boundary_crossed	factorized_result
20	G407-A00020	GDT404_FACTORIZED	G404-A00020	G404-A00020	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0018	G407-E0018	ase	E	GRAD I	GRADE	3	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0018	G404-E0018	G407-E0018	2	S	WÄHLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
21	G407-A00021	GDT404_FACTORIZED	G404-A00021	G404-A00021	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0019	G407-E0019	cthar	AR	AUSGANG	RELATION	3	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	G404-E0019	G404-E0019	G407-E0019	2	T	EINSTELLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
22	G407-A00022	GDT404_FACTORIZED	G404-A00022	G404-A00022	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0020	G407-E0020	cthar	AR	AUSGANG	RELATION	3	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	G404-E0020	G404-E0020	G407-E0020	2	T	EINSTELLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
23	G407-A00023	GDT404_FACTORIZED	G404-A00023	G404-A00023	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0021	G407-E0021	dan	AIN	ANTEIL	ARGUMENT	1	PREVIOUS_CARD_STACK	PREVIOUS_CARD_ACTION	G404-E0020	G404-E0020	G407-E0020	2	T	EINSTELLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
24	G407-A00024	GDT404_FACTORIZED	G404-A00024	G404-A00024	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0022	G407-E0022	syaiir	Y	AKTIVER POSTEN	ARGUMENT	2	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0022	G404-E0022	G407-E0022	1	S	WÄHLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
25	G407-A00025	GDT404_FACTORIZED	G404-A00025	G404-A00025	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0023	G407-E0023	sheky	E	GRAD I	GRADE	2	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0023	G404-E0023	G407-E0023	1	SH	HALTEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
26	G407-A00026	GDT404_FACTORIZED	G404-A00026	G404-A00026	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0023	G407-E0023	sheky	Y	AKTIVER POSTEN	ARGUMENT	4	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0023	G404-E0023	G407-E0023	3	K	GEBEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
27	G407-A00027	GDT404_FACTORIZED	G404-A00027	G404-A00027	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0024	G407-E0024	or	OR	EINHEIT	ARGUMENT	1	PREVIOUS_CARD_STACK	PREVIOUS_CARD_ACTION	G404-E0023	G404-E0023	G407-E0023	3	K	GEBEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
28	G407-A00028	GDT404_FACTORIZED	G404-A00028	G404-A00028	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0025	G407-E0025	ykaiin	Y	AKTIVER POSTEN	ARGUMENT	1	NEAREST_HEAD_LEFT_TIE	SAME_CARD_RIGHT_ACTION	G404-E0025	G404-E0025	G407-E0025	2	K	GEBEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
29	G407-A00029	GDT404_FACTORIZED	G404-A00029	G404-A00029	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0025	G407-E0025	ykaiin	AIIN	WERT	ARGUMENT	3	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0025	G404-E0025	G407-E0025	2	K	GEBEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
30	G407-A00030	GDT404_FACTORIZED	G404-A00030	G404-A00030	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0027	G407-E0027	cthoary	AR	AUSGANG	RELATION	4	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	G404-E0027	G404-E0027	G407-E0027	2	T	EINSTELLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
31	G407-A00031	GDT404_FACTORIZED	G404-A00031	G404-A00031	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0027	G407-E0027	cthoary	Y	AKTIVER POSTEN	ARGUMENT	5	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0027	G404-E0027	G407-E0027	2	T	EINSTELLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
32	G407-A00032	GDT404_FACTORIZED	G404-A00032	G404-A00032	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0028	G407-E0028	cthes	E	GRAD I	GRADE	3	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0028	G404-E0028	G407-E0028	2	T	EINSTELLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
33	G407-A00033	GDT404_FACTORIZED	G404-A00033	G404-A00033	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0029	G407-E0029	daraiin	AR	AUSGANG	RELATION	2	AL_AR_ORDERED_FALLBACK	PREVIOUS_CARD_ACTION	G404-E0028	G404-E0028	G407-E0028	4	S	WÄHLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
34	G407-A00034	GDT404_FACTORIZED	G404-A00034	G404-A00034	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0029	G407-E0029	daraiin	AIIN	WERT	ARGUMENT	3	PREVIOUS_CARD_STACK	PREVIOUS_CARD_ACTION	G404-E0028	G404-E0028	G407-E0028	4	S	WÄHLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
35	G407-A00035	GDT404_FACTORIZED	G404-A00035	G404-A00035	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0030	G407-E0030	sy	Y	AKTIVER POSTEN	ARGUMENT	1	INHERITED_ACTION_STACK	INHERITED_ACTION	G404-E0028	G404-E0028	G407-E0028	4	S	WÄHLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
36	G407-A00036	GDT404_FACTORIZED	G404-A00036	G404-A00036	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0032	G407-E0032	oteey	EE	GRAD II	GRADE	2	PREVIOUS_CARD_STACK	PREVIOUS_CARD_ACTION	G404-E0031	G404-E0031	G407-E0031	1	S	WÄHLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
37	G407-A00037	GDT404_FACTORIZED	G404-A00037	G404-A00037	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0032	G407-E0032	oteey	Y	AKTIVER POSTEN	ARGUMENT	3	PREVIOUS_CARD_STACK	PREVIOUS_CARD_ACTION	G404-E0031	G404-E0031	G407-E0031	1	S	WÄHLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
38	G407-A00038	GDT404_FACTORIZED	G404-A00038	G404-A00038	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0033	G407-E0033	oteos	E	GRAD I	GRADE	2	INHERITED_ACTION_STACK	INHERITED_ACTION	G404-E0031	G404-E0031	G407-E0031	1	S	WÄHLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
39	G407-A00039	GDT404_FACTORIZED	G404-A00039	G404-A00039	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0034	G407-E0034	roloty	Y	AKTIVER POSTEN	ARGUMENT	4	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0034	G404-E0034	G407-E0034	1	R	MARKIEREN	R_ACTION_HEAD	R_POSITIONAL_HEAD	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
40	G407-A00040	GDT404_FACTORIZED	G404-A00040	G404-A00040	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0035	G407-E0035	cthiar	AR	AUSGANG	RELATION	4	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	G404-E0035	G404-E0035	G407-E0035	2	T	EINSTELLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
41	G407-A00041	GDT404_FACTORIZED	G404-A00041	G404-A00041	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0036	G407-E0036	daiin	AIIN	WERT	ARGUMENT	1	PREVIOUS_CARD_STACK	PREVIOUS_CARD_ACTION	G404-E0035	G404-E0035	G407-E0035	2	T	EINSTELLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
42	G407-A00042	GDT404_FACTORIZED	G404-A00042	G404-A00042	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0037	G407-E0037	okaiin	AIIN	WERT	ARGUMENT	2	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0037	G404-E0037	G407-E0037	1	OK	SETZEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
43	G407-A00043	GDT404_FACTORIZED	G404-A00043	G404-A00043	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0038	G407-E0038	or	OR	EINHEIT	ARGUMENT	1	PREVIOUS_CARD_STACK	PREVIOUS_CARD_ACTION	G404-E0037	G404-E0037	G407-E0037	1	OK	SETZEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
44	G407-A00044	GDT404_FACTORIZED	G404-A00044	G404-A00044	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0040	G407-E0040	sair	AIR	LAUF	RELATION	2	L_AIR_RIGHT_FALLBACK	SAME_CARD_LEFT_ACTION	G404-E0040	G404-E0040	G407-E0040	1	S	WÄHLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
45	G407-A00045	GDT404_FACTORIZED	G404-A00045	G404-A00045	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0041	G407-E0041	y	Y	AKTIVER POSTEN	ARGUMENT	1	PREVIOUS_CARD_STACK	PREVIOUS_CARD_ACTION	G404-E0040	G404-E0040	G407-E0040	1	S	WÄHLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
46	G407-A00046	GDT404_FACTORIZED	G404-A00046	G404-A00046	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0042	G407-E0042	chear	E	GRAD I	GRADE	2	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0042	G404-E0042	G407-E0042	1	CH	NEHMEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
47	G407-A00047	GDT404_FACTORIZED	G404-A00047	G404-A00047	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0042	G407-E0042	chear	AR	AUSGANG	RELATION	3	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	G404-E0042	G404-E0042	G407-E0042	1	CH	NEHMEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
48	G407-A00048	GDT404_FACTORIZED	G404-A00048	G404-A00048	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0043	G407-E0043	cthaiin	AIIN	WERT	ARGUMENT	3	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0043	G404-E0043	G407-E0043	2	T	EINSTELLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
49	G407-A00049	GDT404_FACTORIZED	G404-A00049	G404-A00049	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0044	G407-E0044	cphar	AR	AUSGANG	RELATION	3	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	G404-E0044	G404-E0044	G407-E0044	2	P	EINSETZEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
50	G407-A00050	GDT404_FACTORIZED	G404-A00050	G404-A00050	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0045	G407-E0045	cfhaiin	AIIN	WERT	ARGUMENT	3	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0045	G404-E0045	G407-E0045	1	CH	NEHMEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
51	G407-A00051	GDT404_FACTORIZED	G404-A00051	G404-A00051	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0046	G407-E0046	ydaraishy	Y	AKTIVER POSTEN	ARGUMENT	1	NEAREST_HEAD_LEFT_TIE	SAME_CARD_RIGHT_ACTION	G404-E0046	G404-E0046	G407-E0046	6	SH	HALTEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
52	G407-A00052	GDT404_FACTORIZED	G404-A00052	G404-A00052	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0046	G407-E0046	ydaraishy	AR	AUSGANG	RELATION	3	AL_AR_ORDERED_FALLBACK	PREVIOUS_CARD_ACTION	G404-E0045	G404-E0045	G407-E0045	1	CH	NEHMEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
53	G407-A00053	GDT404_FACTORIZED	G404-A00053	G404-A00053	f1r	SOURCE_SECTION_T	G404-S001	G407-S001	G404-E0046	G407-E0046	ydaraishy	Y	AKTIVER POSTEN	ARGUMENT	7	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0046	G404-E0046	G407-E0046	6	SH	HALTEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
54	G407-A00054	GDT404_FACTORIZED	G404-A00054	G404-A00054	f1r	SOURCE_SECTION_T	G404-S002	G407-S002	G404-E0047	G407-E0047	odar	AR	AUSGANG	RELATION	3	AL_AR_ORDERED_FALLBACK	OWNER_ONLY	OWNER	OWNER	OWNER::G407-S002	0	OWNER	BESITZER	OWNER_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
55	G407-A00055	GDT404_FACTORIZED	G404-A00055	G404-A00055	f1r	SOURCE_SECTION_T	G404-S002	G407-S002	G404-E0049	G407-E0049	cphoy	Y	AKTIVER POSTEN	ARGUMENT	4	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0049	G404-E0049	G407-E0049	2	P	EINSETZEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
56	G407-A00056	GDT404_FACTORIZED	G404-A00056	G404-A00056	f1r	SOURCE_SECTION_T	G404-S002	G407-S002	G404-E0050	G407-E0050	oydar	Y	AKTIVER POSTEN	ARGUMENT	2	PREVIOUS_CARD_STACK	PREVIOUS_CARD_ACTION	G404-E0049	G404-E0049	G407-E0049	2	P	EINSETZEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
57	G407-A00057	GDT404_FACTORIZED	G404-A00057	G404-A00057	f1r	SOURCE_SECTION_T	G404-S002	G407-S002	G404-E0050	G407-E0050	oydar	AR	AUSGANG	RELATION	4	AL_AR_ORDERED_FALLBACK	PREVIOUS_CARD_ACTION	G404-E0049	G404-E0049	G407-E0049	2	P	EINSETZEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
58	G407-A00058	GDT404_FACTORIZED	G404-A00058	G404-A00058	f1r	SOURCE_SECTION_T	G404-S002	G407-S002	G404-E0053	G407-E0053	cfhoaiin	AIIN	WERT	ARGUMENT	4	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0053	G404-E0053	G407-E0053	1	CH	NEHMEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
59	G407-A00059	GDT404_FACTORIZED	G404-A00059	G404-A00059	f1r	SOURCE_SECTION_T	G404-S002	G407-S002	G404-E0054	G407-E0054	shodary	AR	AUSGANG	RELATION	4	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	G404-E0054	G404-E0054	G407-E0054	1	SH	HALTEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	0	NO	NO	PASS_FIXED_FACTORS
