visible_surface	prose_master_card_id	family_id	family_name_de	common_nucleus_de	composition_de	prose_local_expansion_de	astro_local_expansions_de	prose_occurrence_count	astro_occurrence_count	astro_owner_count	fit_type	selected_path_echo	teaching_rule_de
daiin	MC039	F01_AIIN_VALUE	Vorgabewert	VORGABEWERT	AIIN mit Karten-/Rendererrahmen	Sollmaß	Sternplatz A1_LEFT_LOCAL_FIELD_18: Sollwert oder Grad des bezeichneten Himmelsplatzes. || Sternplatz A1_LEFT_LOCAL_FIELD_36: Sollwert oder Grad des bezeichneten Himmelsplatzes. || Sternplatz A1_LEFT_LOCAL_FIELD_43: Sollwert oder Grad des bezeichneten Himmelsplatzes. || Sternplatz A1_LEFT_OUTER_STAR_STATION_05: Sollwert oder Grad des bezeichneten Himmelsplatzes.	11	4	4	DIRECT_SHARED_OPERATION	NO	daiin heißt kurz VORGABEWERT; Besitzer und Register nennen den konkreten Gegenstand
dain	MC059	F10_DAIN_CARRIER	Abdeckträger	ABDECKTRÄGER	gelernte DAIN-Karte	Tuch	Sternplatz A1_LEFT_LOCAL_FIELD_48: Band-, Schleier- oder Abdecktraeger.	2	1	1	WORKSHOP_REGISTER_METAPHOR	NO	dain heißt kurz ABDECKTRÄGER; Besitzer und Register nennen den konkreten Gegenstand
dal	MC154	F03_AL_TARGET	zum Ziel	ZUM ZIEL	AL mit Karten-/Rendererrahmen	dorthin	Sternplatz A1_LEFT_LOCAL_FIELD_18: zum bezeichneten Zielplatz. || Sternplatz A1_LEFT_OUTER_STAR_STATION_07: zum bezeichneten Zielplatz. || lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: zum bezeichneten Zielplatz. || lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: zum bezeichneten Zielplatz.	5	5	4	DIRECT_SHARED_OPERATION	YES	dal heißt kurz ZUM ZIEL; Besitzer und Register nennen den konkreten Gegenstand
dar	MC055	F02_AR_SOURCE	vom Ausgang	VOM AUSGANG	AR mit Karten-/Rendererrahmen	aus dem Ansatz	Radstelle A3_LEFT_WHEEL_RING_TEXT: vom bezeichneten Ausgangsplatz. || Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: vom bezeichneten Ausgangsplatz.	2	2	2	DIRECT_SHARED_OPERATION	NO	dar heißt kurz VOM AUSGANG; Besitzer und Register nennen den konkreten Gegenstand
dy	MC123	F04_Y_CURRENT	aktueller Posten	AKTUELLER POSTEN	Y-Karte mit Karten-/Rendererrahmen	dieser Posten	Radstelle A3_LEFT_RADIAL_SLOT_02: dieser lokale Diagrammposten. || Radstelle A3_LEFT_RADIAL_SLOT_22: dieser lokale Diagrammposten. || Radstelle A3_LEFT_WHEEL_RING_TEXT: dieser lokale Diagrammposten. || Sternplatz A1_LEFT_LOCAL_FIELD_17: dieser lokale Diagrammposten. || Sternplatz A1_LEFT_LOCAL_FIELD_39: dieser lokale Diagrammposten. || Sternplatz A1_LEFT_LOCAL_FIELD_48: dieser lokale Diagrammposten. || Sternplatz A1_LEFT_OUTER_STAR_STATION_06: dieser lokale Diagrammposten. || lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: dieser lokale Diagrammposten.	5	9	8	DIRECT_SHARED_OPERATION	YES	dy heißt kurz AKTUELLER POSTEN; Besitzer und Register nennen den konkreten Gegenstand
kchey	MC122	F11_KCH_PROCESS	bearbeiten	KURZ BEARBEITEN	KCH-Bearbeitung + optional Kurzgrad	diesen Posten kurz bearbeiten	Sektorplatz A1_RIGHT_SECTOR_SLOT_07: diesen Diagrammplatz kurz bearbeiten.	1	1	1	DIRECT_SHARED_OPERATION	NO	kchey heißt kurz KURZ BEARBEITEN; Besitzer und Register nennen den konkreten Gegenstand
kchy	MC117	F11_KCH_PROCESS	bearbeiten	BEARBEITEN	KCH-Bearbeitung + optional Kurzgrad	diesen Posten bearbeiten	Sektorplatz A1_RIGHT_SECTOR_SLOT_10: diesen Diagrammplatz bearbeiten.	1	1	1	DIRECT_SHARED_OPERATION	NO	kchy heißt kurz BEARBEITEN; Besitzer und Register nennen den konkreten Gegenstand
ody	MC100	F12_ODY_WITHDRAW	zurücknehmen	ZURÜCKNEHMEN	gelernte ODY-Karte	kühlen	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: diesen Diagrammposten zuruecknehmen.	1	1	1	WORKSHOP_REGISTER_METAPHOR	NO	ody heißt kurz ZURÜCKNEHMEN; Besitzer und Register nennen den konkreten Gegenstand
okain	MC017	F13_OK_AIN_ADD	gezählten Teil zugeben	GEZÄHLTEN TEIL ZUGEBEN	OK + AIN-Portion	eine Portion zugeben	Sternplatz A1_LEFT_LOCAL_FIELD_28: einen gezaehlten Teilwert zugeben.	3	1	1	DIRECT_SHARED_OPERATION	NO	okain heißt kurz GEZÄHLTEN TEIL ZUGEBEN; Besitzer und Register nennen den konkreten Gegenstand
okal	MC040	F14_OK_AL_TARGET	am Ziel setzen	AM ZIEL SETZEN	OK + AL-Ziel	dort ansetzen	Sternplatz A1_LEFT_LOCAL_FIELD_22: am Zielplatz setzen.	2	1	1	DIRECT_SHARED_OPERATION	NO	okal heißt kurz AM ZIEL SETZEN; Besitzer und Register nennen den konkreten Gegenstand
okchy	MC103	F07_OK_CURRENT_SET	aktuellen Posten setzen	AKTUELLEN POSTEN SETZEN	OK + aktuelle Y-Karte	Posten zur Weiterbearbeitung ansetzen	Sektorplatz A1_RIGHT_SECTOR_SLOT_05: diesen Diagrammposten setzen.	1	1	1	DIRECT_SHARED_OPERATION	NO	okchy heißt kurz AKTUELLEN POSTEN SETZEN; Besitzer und Register nennen den konkreten Gegenstand
okeey	MC002	F15_OK_GRADE	Arbeitsgrad setzen	LANGE STUFE SETZEN	OK + E/EE/EEE-Grad + offene oder geschlossene Endkarte	länger ansetzen	Radstelle A3_LEFT_RADIAL_SLOT_01: in langer Stufe setzen. || Radstelle A3_LEFT_RADIAL_SLOT_22: in langer Stufe setzen. || Radstelle A3_LEFT_WHEEL_RING_TEXT: in langer Stufe setzen. || Sektorplatz A2_RIGHT_PANEL_HEADER: in langer Stufe setzen.	1	4	4	DIRECT_SHARED_OPERATION	YES	okeey heißt kurz LANGE STUFE SETZEN; Besitzer und Register nennen den konkreten Gegenstand
okey	MC007	F15_OK_GRADE	Arbeitsgrad setzen	KURZE STUFE SETZEN	OK + E/EE/EEE-Grad + offene oder geschlossene Endkarte	kurz ansetzen	Radstelle A3_LEFT_RADIAL_SLOT_23: in kurzer Stufe setzen. || Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: in kurzer Stufe setzen.	1	2	2	DIRECT_SHARED_OPERATION	YES	okey heißt kurz KURZE STUFE SETZEN; Besitzer und Register nennen den konkreten Gegenstand
oky	MC026	F07_OK_CURRENT_SET	aktuellen Posten setzen	AKTUELLEN POSTEN SETZEN	OK + aktuelle Y-Karte	aktuellen Posten ansetzen	Legendenstelle A2_CENTRAL_LEGEND_UNRESOLVED: diesen Diagrammposten setzen.	1	1	1	DIRECT_SHARED_OPERATION	NO	oky heißt kurz AKTUELLEN POSTEN SETZEN; Besitzer und Register nennen den konkreten Gegenstand
ol	MC153	F08_OL_CONTINUE	fortsetzen	FORTSETZEN	OL-Fortsetzung mit Rahmen	fortsetzen	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: im selben Ring oder Band fortsetzen.	8	1	1	DIRECT_SHARED_OPERATION	NO	ol heißt kurz FORTSETZEN; Besitzer und Register nennen den konkreten Gegenstand
oldy	MC019	F19_OL_CLOSE	Fortsetzung schließen	FORTSETZEN; SCHLUSS	OL-Fortsetzung + gelernte Schlusskarte	Fortsetzung abschließen	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: fortsetzen und den Eintrag schliessen.	2	1	1	DIRECT_SHARED_OPERATION	YES	oldy heißt kurz FORTSETZEN; SCHLUSS; Besitzer und Register nennen den konkreten Gegenstand
olor	MC157	F16_OR_SET	Ansatz oder Satz	FORTGESETZTER ANSATZ	OR-Ansatz, optional mit OL-Fortsetzung	Fortsetzungsansatz	Sternplatz A2_STAR_STATION_12: fortgesetzter Bedingungs- oder Tabellensatz.	1	1	1	WORKSHOP_REGISTER_METAPHOR	NO	olor heißt kurz FORTGESETZTER ANSATZ; Besitzer und Register nennen den konkreten Gegenstand
or	MC080	F16_OR_SET	Ansatz oder Satz	ANSATZ	OR-Ansatz, optional mit OL-Fortsetzung	Ansatz	Sternplatz A1_LEFT_LOCAL_FIELD_36: Bedingungs- oder Tabellensatz.	2	1	1	WORKSHOP_REGISTER_METAPHOR	NO	or heißt kurz ANSATZ; Besitzer und Register nennen den konkreten Gegenstand
os	MC159	F17_OS_ENCLOSURE	umschließender Träger	UMSCHLIESSENDER TRÄGER	gelernte OS-Karte	Mischgefäß	Sternplatz A1_LEFT_LOCAL_FIELD_43: umschliessendes Diagrammfeld. || Sternplatz A1_LEFT_LOCAL_FIELD_49: umschliessendes Diagrammfeld.	1	2	2	WORKSHOP_REGISTER_METAPHOR	NO	os heißt kurz UMSCHLIESSENDER TRÄGER; Besitzer und Register nennen den konkreten Gegenstand
otar	MC121	F18_OT_FOLLOW	Folgeposten	DANACH VOM AUSGANG	OT-Folge + Quelle, Transfer, Posten, Grad oder Fortsetzung	danach von dort	Sternplatz A1_LEFT_OUTER_STAR_STATION_06: danach vom bezeichneten Ausgangsplatz.	1	1	1	DIRECT_SHARED_OPERATION	NO	otar heißt kurz DANACH VOM AUSGANG; Besitzer und Register nennen den konkreten Gegenstand
otchdy	MC067	F18_OT_FOLLOW	Folgeposten	FOLGENDEN POSTEN ÜBERTRAGEN; SCHLUSS	OT-Folge + Quelle, Transfer, Posten, Grad oder Fortsetzung	Folgegang vollziehen; Schluss	Sternplatz A2_STAR_STATION_15: den folgenden Platz uebertragen und den Eintrag schliessen.	1	1	1	DIRECT_SHARED_OPERATION	NO	otchdy heißt kurz FOLGENDEN POSTEN ÜBERTRAGEN; SCHLUSS; Besitzer und Register nennen den konkreten Gegenstand
otchey	MC171	F18_OT_FOLLOW	Folgeposten	NÄCHSTER POSTEN	OT-Folge + Quelle, Transfer, Posten, Grad oder Fortsetzung	nächster Teilposten	Sternplatz A1_LEFT_LOCAL_FIELD_17: naechster Diagrammposten.	2	1	1	DIRECT_SHARED_OPERATION	NO	otchey heißt kurz NÄCHSTER POSTEN; Besitzer und Register nennen den konkreten Gegenstand
oteey	MC063	F18_OT_FOLLOW	Folgeposten	NÄCHSTER POSTEN; LANGE STUFE	OT-Folge + Quelle, Transfer, Posten, Grad oder Fortsetzung	langer Folgeposten	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Diagrammposten in langer Stufe.	2	2	1	DIRECT_SHARED_OPERATION	NO	oteey heißt kurz NÄCHSTER POSTEN; LANGE STUFE; Besitzer und Register nennen den konkreten Gegenstand
otol	MC053	F18_OT_FOLLOW	Folgeposten	DANACH FORTSETZEN	OT-Folge + Quelle, Transfer, Posten, Grad oder Fortsetzung	danach fortsetzen	Sternplatz A2_STAR_STATION_17: danach im selben Ring oder Band fortsetzen.	1	1	1	DIRECT_SHARED_OPERATION	NO	otol heißt kurz DANACH FORTSETZEN; Besitzer und Register nennen den konkreten Gegenstand
qokeeedy	MC140	F15_OK_GRADE	Arbeitsgrad setzen	VOLLSTÄNDIG SETZEN; SCHLUSS	OK + E/EE/EEE-Grad + offene oder geschlossene Endkarte	vollständig ansetzen; Schluss	Sternplatz A2_MIDDLE_PANEL_HEADER: vollstaendig setzen und den Eintrag schliessen.	1	1	1	DIRECT_SHARED_OPERATION	NO	qokeeedy heißt kurz VOLLSTÄNDIG SETZEN; SCHLUSS; Besitzer und Register nennen den konkreten Gegenstand
saiin	MC039	F01_AIIN_VALUE	Vorgabewert	VORGABEWERT	AIIN mit Karten-/Rendererrahmen	Sollmaß	Sternplatz A1_LEFT_LOCAL_FIELD_29: Sollwert oder Grad des bezeichneten Himmelsplatzes.	4	1	1	DIRECT_SHARED_OPERATION	NO	saiin heißt kurz VORGABEWERT; Besitzer und Register nennen den konkreten Gegenstand
sal	MC154	F03_AL_TARGET	zum Ziel	ZUM ZIEL	AL mit Karten-/Rendererrahmen	dorthin	Sternplatz A1_LEFT_LOCAL_FIELD_50: zum bezeichneten Zielplatz.	1	1	1	DIRECT_SHARED_OPERATION	NO	sal heißt kurz ZUM ZIEL; Besitzer und Register nennen den konkreten Gegenstand
sar	MC055	F02_AR_SOURCE	vom Ausgang	VOM AUSGANG	AR mit Karten-/Rendererrahmen	aus dem Ansatz	Radstelle A3_LEFT_RADIAL_SLOT_01: vom bezeichneten Ausgangsplatz. || Radstelle A3_LEFT_WHEEL_RING_TEXT: vom bezeichneten Ausgangsplatz.	1	2	2	DIRECT_SHARED_OPERATION	NO	sar heißt kurz VOM AUSGANG; Besitzer und Register nennen den konkreten Gegenstand
sheey	MC095	F20_SH_EE_HOLD	länger halten	LÄNGER HALTEN	SH-Halten/Ruhen + langer EE-Grad + aktuelle Karte	laenger ruhen	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: diese Position laenger halten.	1	1	1	DIRECT_SHARED_OPERATION	YES	sheey heißt kurz LÄNGER HALTEN; Besitzer und Register nennen den konkreten Gegenstand
shey	MC119	F05_RELEASED_VALUE	freigegebener Wert	FREIGEGEBENER WERT	gelernte SHEY/CHEEY-Karte	klarer Auszug	Sektorplatz A2_RIGHT_PANEL_HEADER: abgelesener oder freigegebener Diagrammwert.	2	1	1	WORKSHOP_REGISTER_METAPHOR	NO	shey heißt kurz FREIGEGEBENER WERT; Besitzer und Register nennen den konkreten Gegenstand
sor	MC080	F16_OR_SET	Ansatz oder Satz	ANSATZ	OR-Ansatz, optional mit OL-Fortsetzung	Ansatz	Sternplatz A1_LEFT_LOCAL_FIELD_39: Bedingungs- oder Tabellensatz.	1	1	1	WORKSHOP_REGISTER_METAPHOR	NO	sor heißt kurz ANSATZ; Besitzer und Register nennen den konkreten Gegenstand
sy	MC123	F04_Y_CURRENT	aktueller Posten	AKTUELLER POSTEN	Y-Karte mit Karten-/Rendererrahmen	dieser Posten	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: dieser lokale Diagrammposten.	1	1	1	DIRECT_SHARED_OPERATION	NO	sy heißt kurz AKTUELLER POSTEN; Besitzer und Register nennen den konkreten Gegenstand
tol	MC153	F08_OL_CONTINUE	fortsetzen	FORTSETZEN	OL-Fortsetzung mit Rahmen	fortsetzen	Sternplatz A1_LEFT_OUTER_STAR_STATION_05: im selben Ring oder Band fortsetzen.	1	1	1	DIRECT_SHARED_OPERATION	NO	tol heißt kurz FORTSETZEN; Besitzer und Register nennen den konkreten Gegenstand
y	MC123	F04_Y_CURRENT	aktueller Posten	AKTUELLER POSTEN	Y-Karte mit Karten-/Rendererrahmen	dieser Posten	Radstelle A3_LEFT_WHEEL_RING_TEXT: dieser lokale Diagrammposten. || Sternplatz A1_LEFT_LOCAL_FIELD_16: dieser lokale Diagrammposten. || Sternplatz A1_LEFT_OUTER_STAR_STATION_03: dieser lokale Diagrammposten. || lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: dieser lokale Diagrammposten.	1	9	4	DIRECT_SHARED_OPERATION	NO	y heißt kurz AKTUELLER POSTEN; Besitzer und Register nennen den konkreten Gegenstand
