component	portable_root_de	prose_marks	condition_marks	prose_examples	condition_examples	composition_rule
K	ZUGEBEN	15	8	kair=WASSER ZUGEBEN | kain=ZUGEBEN · EIN ABGEGRENZTER TEIL | olkain=WEITER · ZUGEBEN · EIN ABGEGRENZTER TEIL | sshkchdy=NACHMISCHEN UND SCHLIESSEN	yka=FEUCHTEPOSTEN EINTRAGEN | ykar=FEUCHTE VON DER QUELLE | ykady=FEUCHTEPOSTEN ABSCHLIESSEN | ykeeal=LAENGER AN DER FEUCHTESTELLE	K(X) TRAEGT ZUGEBEN; BILD UND REGISTER LIEFERN DEN SACHBEREICH
O	ARBEITSGANG	17	13	cthoor=BEREITEN · ARBEITSGANG · ANSATZ | lsho=SPUELEN | oiiin=ARBEITSGANG · EINE EINGESTELLTE ARBEITSSTUFE | schoal=HALTEN · ARBEITSGANG · ZIELSTELLE	oaram=VOM WETTERURSPRUNG | ockhy=FEUCHTE DURCH DEN DURCHLASS | ykeeody=FEUCHTE LANG HALTEN UND SCHLIESSEN | ody=FEUCHTEGANG SCHLIESSEN	O(X) TRAEGT ARBEITSGANG; BILD UND REGISTER LIEFERN DEN SACHBEREICH
OK	ANSETZEN	77	3	qoky=ANSETZEN · POSTEN | qokchy=ANSETZEN · POSTEN | qokedy=ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS | qokaiin=ANSETZEN · EIN KLEINER SCHOEPFBECHER	choky=FEUCHTEPOSTEN ANSETZEN | okeodal=KURZ AN DER LICHTSTELLE | okody=KOERPERQUALITAET ANSETZEN	OK(X) TRAEGT ANSETZEN; BILD UND REGISTER LIEFERN DEN SACHBEREICH
OL	FORTSETZEN	46	6	otytchol=DANACH DIESEN POSTEN BEARBEITEN, ENTNEHMEN UND WEITERFUEHREN | qotchol=DANACH · ENTNEHMEN · WEITER | ol=WEITER | ol=WEITER	chol=FEUCHTELAGE FORTSETZEN | choly=FEUCHTELAGE FORTSETZEN | chol=FEUCHTELAGE FORTSETZEN | ol=WETTER FORTSETZEN	OL(X) TRAEGT FORTSETZEN; BILD UND REGISTER LIEFERN DEN SACHBEREICH
OR	ANSATZ	11	1	cthoor=BEREITEN · ARBEITSGANG · ANSATZ | olor=ANSATZ WEITERFUEHREN | cthoor=BEREITEN · ARBEITSGANG · ANSATZ | or=ANSATZ	qoteor=KURZER FOLGEZUSTAND	OR(X) TRAEGT ANSATZ; BILD UND REGISTER LIEFERN DEN SACHBEREICH
OT	DANACH	24	11	otytchol=DANACH DIESEN POSTEN BEARBEITEN, ENTNEHMEN UND WEITERFUEHREN | qotchol=DANACH · ENTNEHMEN · WEITER | otar=DANACH ZUR QUELLE | qotchy=FOLGEPOSTEN	otody=MARKIERTEN 28ER-PLATZ SCHLIESSEN | otaldal=NAECHSTE DOPPELSTELLE | otoar=NAECHSTE LICHTQUELLE | qoteor=KURZER FOLGEZUSTAND	OT(X) TRAEGT DANACH; BILD UND REGISTER LIEFERN DEN SACHBEREICH
R	BEZUG	6	2	rol=KUEHL WEITERARBEITEN | ral=ZIELKUEHLEN | rsheal=AN DER ZIELSTELLE KURZ KUEHL HALTEN | rshedy=KUEHL RUHEN LASSEN UND SCHLIESSEN	cheor=KOERPERAUSZUG | cheteeser=KURZ LANG KURZ PRUEFEN	R(X) TRAEGT BEZUG; BILD UND REGISTER LIEFERN DEN SACHBEREICH
SH	HALTEN	28	1	sheckhal=KURZ AM ZIELDURCHLASS HALTEN | sshkchdy=NACHMISCHEN UND SCHLIESSEN | dsheol=KURZ WEITERHALTEN | shckhedy=HALTEN · DURCHLASS · EIN KURZER ARBEITSGANG · SCHLUSS	sheey=FEUCHTE LAENGER HALTEN	SH(X) TRAEGT HALTEN; BILD UND REGISTER LIEFERN DEN SACHBEREICH
T	BEARBEITEN	15	3	chety=BEARBEITEN · POSTEN | otytchol=DANACH DIESEN POSTEN BEARBEITEN, ENTNEHMEN UND WEITERFUEHREN | etyd=DEN POSTEN KURZ WEITERBEARBEITEN | ytey=KURZ BEARBEITEN	yetey=KURZE FEUCHTEPHASE | ytyd=AKTUELLE KOERPERPHASE | cheteeser=KURZ LANG KURZ PRUEFEN	T(X) TRAEGT BEARBEITEN; BILD UND REGISTER LIEFERN DEN SACHBEREICH
Y	POSTEN	122	42	dchey=ENTNEHMEN · EIN KURZER ARBEITSGANG · POSTEN | chety=BEARBEITEN · POSTEN | otytchol=DANACH DIESEN POSTEN BEARBEITEN, ENTNEHMEN UND WEITERFUEHREN | qoky=ANSETZEN · POSTEN	yka=FEUCHTEPOSTEN EINTRAGEN | ykar=FEUCHTE VON DER QUELLE | ykady=FEUCHTEPOSTEN ABSCHLIESSEN | ykady=FEUCHTEPOSTEN ABSCHLIESSEN	Y(X) TRAEGT POSTEN; BILD UND REGISTER LIEFERN DEN SACHBEREICH
