joint_rank	mapping_id	H1_eva_p_field	H2_eva_s_field	H3_eva_r_field	H4_eva_l_field	target_structural_cells_explained	structural_fit_rank	structural_tie_size	HSR019_tv	HSR019_rank	HSR020_tv	HSR020_rank	mean_tv	is_anachronistic_eva_initial_match	eva_letter_or_initial_credit	semantic_identification_credit	status
11	G735-P11	LIGNUM	PULVIS	SEMEN	RADIX	96	1	24	0.390643	11	0.239179	8	0.314911	0	0	0	FREQUENCY_COMPATIBILITY_DIAGNOSTIC_ONLY__ALL_24_STRUCTURALLY_TIED
12	G735-P12	PULVIS	LIGNUM	SEMEN	RADIX	96	1	24	0.390643	12	0.239179	9	0.314911	0	0	0	FREQUENCY_COMPATIBILITY_DIAGNOSTIC_ONLY__ALL_24_STRUCTURALLY_TIED
13	G735-P13	RADIX	SEMEN	PULVIS	LIGNUM	96	1	24	0.429706	14	0.294056	13	0.361881	0	0	0	FREQUENCY_COMPATIBILITY_DIAGNOSTIC_ONLY__ALL_24_STRUCTURALLY_TIED
14	G735-P14	SEMEN	RADIX	PULVIS	LIGNUM	96	1	24	0.429706	16	0.294056	14	0.361881	0	0	0	FREQUENCY_COMPATIBILITY_DIAGNOSTIC_ONLY__ALL_24_STRUCTURALLY_TIED
15	G735-P15	RADIX	SEMEN	LIGNUM	PULVIS	96	1	24	0.429706	13	0.335867	15	0.382786	0	0	0	FREQUENCY_COMPATIBILITY_DIAGNOSTIC_ONLY__ALL_24_STRUCTURALLY_TIED
16	G735-P16	SEMEN	RADIX	LIGNUM	PULVIS	96	1	24	0.429706	15	0.335867	16	0.382786	0	0	0	FREQUENCY_COMPATIBILITY_DIAGNOSTIC_ONLY__ALL_24_STRUCTURALLY_TIED
17	G735-P17	LIGNUM	RADIX	SEMEN	PULVIS	96	1	24	0.489496	17	0.353846	18	0.421671	0	0	0	FREQUENCY_COMPATIBILITY_DIAGNOSTIC_ONLY__ALL_24_STRUCTURALLY_TIED
18	G735-P18	LIGNUM	SEMEN	RADIX	PULVIS	96	1	24	0.489496	18	0.353846	17	0.421671	0	0	0	FREQUENCY_COMPATIBILITY_DIAGNOSTIC_ONLY__ALL_24_STRUCTURALLY_TIED
19	G735-P19	PULVIS	RADIX	SEMEN	LIGNUM	96	1	24	0.489496	19	0.353846	19	0.421671	0	0	0	FREQUENCY_COMPATIBILITY_DIAGNOSTIC_ONLY__ALL_24_STRUCTURALLY_TIED
20	G735-P20	PULVIS	SEMEN	RADIX	LIGNUM	96	1	24	0.489496	20	0.353846	20	0.421671	1	0	0	FREQUENCY_COMPATIBILITY_DIAGNOSTIC_ONLY__ALL_24_STRUCTURALLY_TIED
21	G735-P21	RADIX	LIGNUM	SEMEN	PULVIS	96	1	24	0.593692	21	0.458042	23	0.525867	0	0	0	FREQUENCY_COMPATIBILITY_DIAGNOSTIC_ONLY__ALL_24_STRUCTURALLY_TIED
22	G735-P22	RADIX	PULVIS	SEMEN	LIGNUM	96	1	24	0.593692	22	0.458042	24	0.525867	0	0	0	FREQUENCY_COMPATIBILITY_DIAGNOSTIC_ONLY__ALL_24_STRUCTURALLY_TIED
23	G735-P23	SEMEN	LIGNUM	RADIX	PULVIS	96	1	24	0.593692	23	0.458042	21	0.525867	0	0	0	FREQUENCY_COMPATIBILITY_DIAGNOSTIC_ONLY__ALL_24_STRUCTURALLY_TIED
24	G735-P24	SEMEN	PULVIS	RADIX	LIGNUM	96	1	24	0.593692	24	0.458042	22	0.525867	0	0	0	FREQUENCY_COMPATIBILITY_DIAGNOSTIC_ONLY__ALL_24_STRUCTURALLY_TIED
