page_host	selected_minimal_value_German	stem_class	exact_card_types	fixed_panel_events	confidence	selection_source	status
ekey	GANZKARTENWERT: OHNE KOCHEN	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
eky	GANZKARTENWERT: SOLANGE ES NOCH WARM IST	MEMORIZED_LOCAL_CORE	1	2	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
eol	GANZKARTENWERT: DIE ERSTE ÖFFNUNG	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
etyd	GANZKARTENWERT: BEWAHRE DIE ÜBRIGE WURZEL TROCKEN AUF	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
ey	den verlangten beobachtbaren Endzustand erreichen	PRUEFZUSTAND	1	4	.66	R2_SHARED_STEM_SELECTED_AFTER_FOUR_ROLE_COMPARISON	CREATIVE_SHARED_STEM_HYPOTHESIS
fyd	GANZKARTENWERT: PRESSE DIE GEQUETSCHTE WURZEL DURCH EIN TUCH	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
h	GANZKARTENWERT: IHREN KLEINEN SAMEN- ODER KNOSPENKOPF	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
k	BEMESSENE ODER FLIESSENDE ARBEITSEINHEIT	TRANSFER_CORE	3	5	.42	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
kaiiin	GANZKARTENWERT: BIS EIN BITTERER GESCHMACK BLEIBT	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
kch	GANZKARTENWERT: BEWAHRE DEN REST TROCKEN IM SCHATTEN	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
kchey	GANZKARTENWERT: DAS GETROCKNETE SCHMALE BLATT	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
kcho	GANZKARTENWERT: MISCHE ES MIT HONIG	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
kchol	GANZKARTENWERT: LASSE ES IN WEISSWEIN ZIEHEN	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
kchy	GANZKARTENWERT: BINDE ES AUF DIE GESCHWOLLENE STELLE	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
kee	GANZKARTENWERT: TAUCHE VOLLSTÄNDIG EIN UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
keey	GANZKARTENWERT: DAS BREITE GEFÄSS	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
keol	GANZKARTENWERT: DIE HELLE GEÖFFNETE BLÜTE	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
ky	GANZKARTENWERT: BEI SANFTER WÄRME	MEMORIZED_LOCAL_CORE	1	3	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
l	einen kontextuell verbundenen Vorgänger, Nachfolger oder Empfänger wählen	ANSCHLUSS	5	26	.56	R2_SHARED_STEM_SELECTED_AFTER_FOUR_ROLE_COMPARISON	CREATIVE_SHARED_STEM_HYPOTHESIS
lche	den Bestand in den nachgeordneten Empfänger abführen	ABLAUF	1	8	.18	R2_SHARED_STEM_SELECTED_AFTER_FOUR_ROLE_COMPARISON	CREATIVE_SHARED_STEM_HYPOTHESIS
lcheckhe	GANZKARTENWERT: SEIHE ES KLAR UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
lcheckhy	GANZKARTENWERT: DIE ZWEITE ÖFFNUNG	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
lched	NACHGEORDNETER EMPFAENGER ODER NAECHSTE STATION	RECEIVER_CORE	3	3	.48	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
lcheey	GANZKARTENWERT: DER EINGETAUCHTE TEIL	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
lchy	GANZKARTENWERT: ZIEHE DIE KLARE FLÜSSIGKEIT AB	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
ld	GANZKARTENWERT: NACH DEM ABSETZEN	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
ldalor	GANZKARTENWERT: AN DER BEZEICHNETEN STELLE	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
lke	GANZKARTENWERT: WASCHE ZWEIMAL UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
lo	GANZKARTENWERT: SCHLIESSE DEN UNTEREN ABLAUF	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
loche	GANZKARTENWERT: MISCHE ZU GLEICHEN TEILEN UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
lol	GANZKARTENWERT: BIS ES WARM IST	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
ls	GANZKARTENWERT: DIE ERSTE ÖFFNUNG	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
lshe	GANZKARTENWERT: WASCHE EINMAL UND BEENDE DIESEN DURCHGANG	MEMORIZED_LOCAL_CORE	1	2	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
lsho	GANZKARTENWERT: BEGINNE DIE SPÜLUNG	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
ly	GANZKARTENWERT: FÜLLE DANACH DAS GEFÄSS	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
o	NAECHSTER STOFF ODER NAECHSTER ARBEITSSCHRITT	SEQUENCE_CORE	3	6	.43	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
ockhey	GANZKARTENWERT: ÜBER DER ÖRTLICH BEZEICHNETEN STELLE	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
octheol	GANZKARTENWERT: UNTER DERSELBEN EINSTELLUNG	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
octholy	GANZKARTENWERT: KOCHE ES SANFT	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
odaly	GANZKARTENWERT: DIE DÜNNE UNTERE WURZEL	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
oiiin	GANZKARTENWERT: BIS ES KLAR IST	MEMORIZED_LOCAL_CORE	1	2	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
ok	einen durch die Kompletierung bestimmten Arbeitsposten in Kraft setzen	AKTIVIERUNG	5	24	.72	R2_SHARED_STEM_SELECTED_AFTER_FOUR_ROLE_COMPARISON	CREATIVE_SHARED_STEM_HYPOTHESIS
okaly	GANZKARTENWERT: FAHRE AM ZWEITEN LAUF FORT	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
okch	GANZKARTENWERT: ERWÄRME ES EINMAL UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	3	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
okche	GANZKARTENWERT: LASSE ES ABKÜHLEN UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	2	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
okcheo	GANZKARTENWERT: TRINKE ES BEI MAGENSCHMERZ	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
okchol	GANZKARTENWERT: LEGE IHN WARM AUF	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
okchy	GANZKARTENWERT: GEBRAUCHE DIE FRISCH BEREITETE ARZNEI	MEMORIZED_LOCAL_CORE	1	3	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
oke	den aktivierten Spülgang einmal ausführen	SPUELGANG	1	8	.18	R2_SHARED_STEM_SELECTED_AFTER_FOUR_ROLE_COMPARISON	CREATIVE_SHARED_STEM_HYPOTHESIS
okee	GANZKARTENWERT: BADE ODER TAUCHE IN DER TEMPERIERTEN WARMEN FLÜSSIGKEIT UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	10	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
okeed	GANZKARTENWERT: DER EINGETAUCHTE TEIL	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
okeee	GANZKARTENWERT: TAUCHE VOLLSTÄNDIG EIN UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
okeeol	GANZKARTENWERT: DAS BREITE GEFÄSS	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
okeey	das aktive Medium auf den vorgesehenen milden Wärmezustand bringen	TEMPERIEREN	1	7	.18	R2_SHARED_STEM_SELECTED_AFTER_FOUR_ROLE_COMPARISON	CREATIVE_SHARED_STEM_HYPOTHESIS
okey	GANZKARTENWERT: WARMES WASSER	MEMORIZED_LOCAL_CORE	1	2	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
okokchy	GANZKARTENWERT: TROCKNE ES IM SCHATTEN	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
okol	GANZKARTENWERT: LASSE DIE MISCHUNG EINLAUFEN	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
okshe	GANZKARTENWERT: KOCHE SANFT UND BEENDE DIESEN ARBEITSSCHRITT	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
oky	den aktivierten gegenwärtigen Anteil verwenden	AKTIVE_VERWENDUNG	1	10	.18	R2_SHARED_STEM_SELECTED_AFTER_FOUR_ROLE_COMPARISON	CREATIVE_SHARED_STEM_HYPOTHESIS
okyld	GANZKARTENWERT: BINDE ES AUF DIE STELLE UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
ol	GANZKARTENWERT: EINE HANDVOLL	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
olche	GANZKARTENWERT: STELLE DIE MISCHUNG IM BEDECKTEN AUFFANGGEFÄSS BEISEITE UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	3	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
olchey	GANZKARTENWERT: FÜLLE DANACH DAS GEFÄSS	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
olk	Zwischenmittel oder Empfänger eines Transfers	TRANSFERSTATION	2	3	.49	R2_SHARED_STEM_SELECTED_AFTER_FOUR_ROLE_COMPARISON	CREATIVE_SHARED_STEM_HYPOTHESIS
olkee	GANZKARTENWERT: LASSE DIE FLÜSSIGKEIT SICH SETZEN UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	3	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
olkeey	GANZKARTENWERT: SETZE DIE PERSON AN DAS BECKEN	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
olkey	GANZKARTENWERT: ÖFFNE DANACH DEN OBEREN LAUF	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
olky	GANZKARTENWERT: DIE BETROFFENE STELLE	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
olor	das bereitete Produkt des wiederaufgenommenen Voransatzes	VORQUELLENPRODUKT	1	2	.18	R2_SHARED_STEM_SELECTED_AFTER_FOUR_ROLE_COMPARISON	CREATIVE_SHARED_STEM_HYPOTHESIS
olsaly	GANZKARTENWERT: DAS UNTERE BECKEN	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
olshe	GANZKARTENWERT: HALTE ES WARM UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
oltchy	GANZKARTENWERT: BEWAHRE ES IN EINEM BEDECKTEN GEFÄSS	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
or	aus dem aktiven Ansatz hervorgegangenes verwendbares Produkt	BEREITETES_ERGEBNIS	2	8	.71	R2_SHARED_STEM_SELECTED_AFTER_FOUR_ROLE_COMPARISON	CREATIVE_SHARED_STEM_HYPOTHESIS
os	GANZKARTENWERT: ZERSTOSSE SIE ZU GROBEM PULVER	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
ot	einen kontextuell kontrastierten oder wiederaufgenommenen Slot wählen	MARKIERTER_GEGENPOSTEN	3	7	.58	R2_SHARED_STEM_SELECTED_AFTER_FOUR_ROLE_COMPARISON	CREATIVE_SHARED_STEM_HYPOTHESIS
otodan	GANZKARTENWERT: GEBRAUCHE ES FRISCH VERMISCHT	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
otytchol	GANZKARTENWERT: TRINKE ES BEI MAGENSCHMERZ	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
oykchor	GANZKARTENWERT: WENN SICH DIE BLÜTE GEÖFFNET HAT	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
oyty	GANZKARTENWERT: BEHALTE DIE BLÜTENKRONE ZURÜCK	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
pche	GANZKARTENWERT: ZIEHE ES AB UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
