page_host	minimal_invariant_value	core_type	exact_card_types	fixed_panel_events	confidence	basis	apprentice_rule
kcho	GANZKARTENWERT: MISCHE ES MIT HONIG	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
kchol	GANZKARTENWERT: LASSE ES IN WEISSWEIN ZIEHEN	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
kchy	GANZKARTENWERT: BINDE ES AUF DIE GESCHWOLLENE STELLE	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
kee	GANZKARTENWERT: TAUCHE VOLLSTÄNDIG EIN UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
keey	GANZKARTENWERT: DAS BREITE GEFÄSS	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
keol	GANZKARTENWERT: DIE HELLE GEÖFFNETE BLÜTE	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
ky	GANZKARTENWERT: BEI SANFTER WÄRME	MEMORIZED_LOCAL_CORE	1	3	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
l	FORTLAUFENDER ANSATZ ODER ARBEITSWEG	CONTINUATION_CORE	5	26	.56	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
lche	GANZKARTENWERT: LASSE DIE VERBRAUCHTE FLÜSSIGKEIT IN DAS UNTERE AUFFANGGEFÄSS ABLAUFEN UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	8	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
lcheckhe	GANZKARTENWERT: SEIHE ES KLAR UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
lcheckhy	GANZKARTENWERT: DIE ZWEITE ÖFFNUNG	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
lched	NACHGEORDNETER EMPFAENGER ODER NAECHSTE STATION	RECEIVER_CORE	3	3	.48	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
lcheey	GANZKARTENWERT: DER EINGETAUCHTE TEIL	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
lchy	GANZKARTENWERT: ZIEHE DIE KLARE FLÜSSIGKEIT AB	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
ld	GANZKARTENWERT: NACH DEM ABSETZEN	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
ldalor	GANZKARTENWERT: AN DER BEZEICHNETEN STELLE	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
lke	GANZKARTENWERT: WASCHE ZWEIMAL UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
lo	GANZKARTENWERT: SCHLIESSE DEN UNTEREN ABLAUF	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
loche	GANZKARTENWERT: MISCHE ZU GLEICHEN TEILEN UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
lol	GANZKARTENWERT: BIS ES WARM IST	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
ls	GANZKARTENWERT: DIE ERSTE ÖFFNUNG	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
lshe	GANZKARTENWERT: WASCHE EINMAL UND BEENDE DIESEN DURCHGANG	MEMORIZED_LOCAL_CORE	1	2	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
lsho	GANZKARTENWERT: BEGINNE DIE SPÜLUNG	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
ly	GANZKARTENWERT: FÜLLE DANACH DAS GEFÄSS	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
o	NAECHSTER STOFF ODER NAECHSTER ARBEITSSCHRITT	SEQUENCE_CORE	3	6	.43	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
ockhey	GANZKARTENWERT: ÜBER DER ÖRTLICH BEZEICHNETEN STELLE	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
octheol	GANZKARTENWERT: UNTER DERSELBEN EINSTELLUNG	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
octholy	GANZKARTENWERT: KOCHE ES SANFT	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
odaly	GANZKARTENWERT: DIE DÜNNE UNTERE WURZEL	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
oiiin	GANZKARTENWERT: BIS ES KLAR IST	MEMORIZED_LOCAL_CORE	1	2	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
ok	BEGRENZTEN ARBEITSPOSTEN AKTIVIEREN	FORMAL_OPERATION_CORE	5	24	.72	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
okaly	GANZKARTENWERT: FAHRE AM ZWEITEN LAUF FORT	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
okch	GANZKARTENWERT: ERWÄRME ES EINMAL UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	3	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
okche	GANZKARTENWERT: LASSE ES ABKÜHLEN UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	2	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
okcheo	GANZKARTENWERT: TRINKE ES BEI MAGENSCHMERZ	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
okchol	GANZKARTENWERT: LEGE IHN WARM AUF	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
okchy	GANZKARTENWERT: GEBRAUCHE DIE FRISCH BEREITETE ARZNEI	MEMORIZED_LOCAL_CORE	1	3	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
oke	GANZKARTENWERT: SPÜLE DIE BEZEICHNETE STELLE EINMAL UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	8	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
okee	GANZKARTENWERT: BADE ODER TAUCHE IN DER TEMPERIERTEN WARMEN FLÜSSIGKEIT UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	10	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
okeed	GANZKARTENWERT: DER EINGETAUCHTE TEIL	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
okeee	GANZKARTENWERT: TAUCHE VOLLSTÄNDIG EIN UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
okeeol	GANZKARTENWERT: DAS BREITE GEFÄSS	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
okeey	GANZKARTENWERT: TEMPERIERE DIE ARBEITSFLÜSSIGKEIT UND HALTE SIE LAUWARM	MEMORIZED_LOCAL_CORE	1	7	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
okey	GANZKARTENWERT: WARMES WASSER	MEMORIZED_LOCAL_CORE	1	2	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
okokchy	GANZKARTENWERT: TROCKNE ES IM SCHATTEN	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
okol	GANZKARTENWERT: LASSE DIE MISCHUNG EINLAUFEN	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
okshe	GANZKARTENWERT: KOCHE SANFT UND BEENDE DIESEN ARBEITSSCHRITT	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
oky	GANZKARTENWERT: DIE AKTIVE PORTION VERWENDEN	MEMORIZED_LOCAL_CORE	1	10	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
okyld	GANZKARTENWERT: BINDE ES AUF DIE STELLE UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
