locus_row	diagram_id	page	locus	local_namespace	visible_owners	groups	group_serials	exact_surface_groups	unique_component_groups	ambiguous_groups	local_label_groups	locus_transfer_status	candidate_local_reading_de	orientation	cross_instrument_join
21	A1	f67r2	f67r2.21	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_21	3	53|54|55	0	1	0	2	MIXED_COMPONENT_AND_LOCAL_LABEL	ASTRO_LOCAL_LABEL ; ASTRO_LOCAL_LABEL ; von dort	UNSPECIFIED	NONE
22	A1	f67r2	f67r2.22	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_22	1	56	1	0	0	0	FULL_COMPONENT_READING	an die Stelle setzen	UNSPECIFIED	NONE
23	A1	f67r2	f67r2.23	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_23	2	57|58	0	1	0	1	MIXED_COMPONENT_AND_LOCAL_LABEL	Arbeitsgang + hinein + von dort + dies ; ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
24	A1	f67r2	f67r2.24	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_24	3	59|60|61	0	1	0	2	MIXED_COMPONENT_AND_LOCAL_LABEL	ASTRO_LOCAL_LABEL ; ASTRO_LOCAL_LABEL ; von dort	UNSPECIFIED	NONE
25	A1	f67r2	f67r2.25	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_25	1	62	0	0	0	1	LOCAL_LABEL_ONLY	ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
26	A1	f67r2	f67r2.26	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_26	3	63|64|65	0	3	0	0	FULL_COMPONENT_READING	dies + fuellen + kurz + Arbeitsgang + Ansatz ; dies + fuellen + Arbeitsgang ; dies + zufuehren + Ansatz	UNSPECIFIED	NONE
27	A1	f67r2	f67r2.27	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_27	4	66|67|68|69	1	2	0	1	MIXED_COMPONENT_AND_LOCAL_LABEL	ansetzen + kurz + Arbeitsgang ; abkuehlen ; Mass ; ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
28	A1	f67r2	f67r2.28	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_28	2	70|71	1	0	0	1	MIXED_COMPONENT_AND_LOCAL_LABEL	eine Portion zugeben ; ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
29	A1	f67r2	f67r2.29	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_29	2	72|73	1	0	1	0	MIXED_COMPONENT_AND_LOCAL_LABEL	ASTRO_LOCAL_LABEL_PENDING_CHOICE ; Mass	UNSPECIFIED	NONE
30	A1	f67r2	f67r2.30	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_30	2	74|75	0	2	0	0	FULL_COMPONENT_READING	Arbeitsgang + fortsetzen ; fortsetzen + fortsetzen	UNSPECIFIED	NONE
31	A1	f67r2	f67r2.31	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_31	1	76	0	0	1	0	LOCAL_LABEL_ONLY	ASTRO_LOCAL_LABEL_PENDING_CHOICE	UNSPECIFIED	NONE
32	A1	f67r2	f67r2.32	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_32	4	77|78|79|80	0	2	0	2	MIXED_COMPONENT_AND_LOCAL_LABEL	ASTRO_LOCAL_LABEL ; ASTRO_LOCAL_LABEL ; Wasser ; Stelle + Mass	UNSPECIFIED	NONE
33	A1	f67r2	f67r2.33	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_33	3	81|82|83	0	2	0	1	MIXED_COMPONENT_AND_LOCAL_LABEL	ASTRO_LOCAL_LABEL ; Arbeitsgang + kurz + von dort ; Arbeitsgang + Stelle	UNSPECIFIED	NONE
34	A1	f67r2	f67r2.34	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_34	2	84|85	0	0	0	2	LOCAL_LABEL_ONLY	ASTRO_LOCAL_LABEL ; ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
35	A1	f67r2	f67r2.35	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_35	3	86|87|88	1	1	0	1	MIXED_COMPONENT_AND_LOCAL_LABEL	fortsetzen ; ASTRO_LOCAL_LABEL ; ansetzen + fortsetzen	UNSPECIFIED	NONE
36	A1	f67r2	f67r2.36	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_36	3	89|90|91	2	1	0	0	FULL_COMPONENT_READING	dies + fuellen + Ansatz ; Mass ; Ansatz	UNSPECIFIED	NONE
37	A1	f67r2	f67r2.37	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_37	1	92	0	1	0	0	FULL_COMPONENT_READING	dies + fuellen + Arbeitsgang + Mass	UNSPECIFIED	NONE
38	A1	f67r2	f67r2.38	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_38	2	93|94	0	1	0	1	MIXED_COMPONENT_AND_LOCAL_LABEL	ASTRO_LOCAL_LABEL ; Arbeitsgang + bereit + fortsetzen + kurz	UNSPECIFIED	NONE
39	A1	f67r2	f67r2.39	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_39	3	95|96|97	2	1	0	0	FULL_COMPONENT_READING	Ansatz ; umsetzen + Mass ; dies	UNSPECIFIED	NONE
40	A1	f67r2	f67r2.40	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_40	3	98|99|100	0	1	0	2	MIXED_COMPONENT_AND_LOCAL_LABEL	ASTRO_LOCAL_LABEL ; Arbeitsgang + Sollstufe ; ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
41	A1	f67r2	f67r2.41	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_41	2	101|102	0	1	1	0	MIXED_COMPONENT_AND_LOCAL_LABEL	dies + fuellen + Arbeitsgang + kurz + Arbeitsgang + hinein + dies ; ASTRO_LOCAL_LABEL_PENDING_CHOICE	UNSPECIFIED	NONE
42	A1	f67r2	f67r2.42	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_42	3	103|104|105	0	1	0	2	MIXED_COMPONENT_AND_LOCAL_LABEL	ASTRO_LOCAL_LABEL ; ASTRO_LOCAL_LABEL ; Arbeitsgang + Durchlass + dies	UNSPECIFIED	NONE
43	A1	f67r2	f67r2.43	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_43	4	106|107|108|109	3	0	0	1	MIXED_COMPONENT_AND_LOCAL_LABEL	Mass ; Mass ; Gefäß ; ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
44	A1	f67r2	f67r2.44	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_44	3	110|111|112	1	0	1	1	MIXED_COMPONENT_AND_LOCAL_LABEL	ASTRO_LOCAL_LABEL ; ASTRO_LOCAL_LABEL_PENDING_CHOICE ; Mass	UNSPECIFIED	NONE
45	A1	f67r2	f67r2.45	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_45	3	113|114|115	0	0	1	2	LOCAL_LABEL_ONLY	ASTRO_LOCAL_LABEL_PENDING_CHOICE ; ASTRO_LOCAL_LABEL ; ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
46	A1	f67r2	f67r2.46	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_46	2	116|117	0	1	0	1	MIXED_COMPONENT_AND_LOCAL_LABEL	ASTRO_LOCAL_LABEL ; Ansatz + Stelle + dies	UNSPECIFIED	NONE
47	A1	f67r2	f67r2.47	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_47	1	118	0	0	0	1	LOCAL_LABEL_ONLY	ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
48	A1	f67r2	f67r2.48	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_48	3	119|120|121	2	1	0	0	FULL_COMPONENT_READING	fuellen + Arbeitsgang + Mass ; Portion ; dies	UNSPECIFIED	NONE
49	A1	f67r2	f67r2.49	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_49	3	122|123|124	2	1	0	0	FULL_COMPONENT_READING	Gefäß ; Zutat + kurz + abkuehlen ; Mass	UNSPECIFIED	NONE
50	A1	f67r2	f67r2.50	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_50	2	125|126	1	0	0	1	MIXED_COMPONENT_AND_LOCAL_LABEL	ASTRO_LOCAL_LABEL ; Stelle	UNSPECIFIED	NONE
51	A1	f67r2	f67r2.51	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_51	1	127	0	0	0	1	LOCAL_LABEL_ONLY	ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
52	A1	f67r2	f67r2.52	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_01	1	128	0	1	0	0	FULL_COMPONENT_READING	danach + Arbeitsgang + kurz + von dort	UNSPECIFIED	NONE
53	A1	f67r2	f67r2.53	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_02	1	129	0	0	0	1	LOCAL_LABEL_ONLY	ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
54	A1	f67r2	f67r2.54	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_03	2	130|131	1	1	0	0	FULL_COMPONENT_READING	dies ; Stelle + Stelle	UNSPECIFIED	NONE
55	A1	f67r2	f67r2.55	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_04	1	132	0	1	0	0	FULL_COMPONENT_READING	dies + fuellen + Arbeitsgang + Stelle	UNSPECIFIED	NONE
56	A1	f67r2	f67r2.56	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_05	2	133|134	2	0	0	0	FULL_COMPONENT_READING	fortsetzen ; Mass	UNSPECIFIED	NONE
57	A1	f67r2	f67r2.57	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_06	2	135|136	2	0	0	0	FULL_COMPONENT_READING	danach von dort ; dies	UNSPECIFIED	NONE
58	A1	f67r2	f67r2.58	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_07	3	137|138|139	2	0	0	1	MIXED_COMPONENT_AND_LOCAL_LABEL	Zutat ; Stelle ; ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
59	A1	f67r2	f67r2.59	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_08	1	140	0	1	0	0	FULL_COMPONENT_READING	dies + fuellen + Zutat + fuehren + dies	UNSPECIFIED	NONE
60	A1	f67r2	f67r2.60	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_09	1	141	0	0	0	1	LOCAL_LABEL_ONLY	ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
61	A1	f67r2	f67r2.61	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_10	1	142	0	1	0	0	FULL_COMPONENT_READING	dies + fuellen + ansetzen + von dort	UNSPECIFIED	NONE
62	A1	f67r2	f67r2.62	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_11	1	143	0	0	1	0	LOCAL_LABEL_ONLY	ASTRO_LOCAL_LABEL_PENDING_CHOICE	UNSPECIFIED	NONE
63	A1	f67r2	f67r2.63	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_12	1	144	0	1	0	0	FULL_COMPONENT_READING	ansetzen + Arbeitsgang + von dort	UNSPECIFIED	NONE
64	A1	f67r2	f67r2.64	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_PHASE_STATION_01	2	145|146	0	1	0	1	MIXED_COMPONENT_AND_LOCAL_LABEL	ASTRO_LOCAL_LABEL ; Wasser	UNSPECIFIED	NONE
65	A1	f67r2	f67r2.65	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_PHASE_STATION_02	1	147	0	0	0	1	LOCAL_LABEL_ONLY	ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
66	A1	f67r2	f67r2.66	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_PHASE_STATION_03	1	148	0	0	0	1	LOCAL_LABEL_ONLY	ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
67	A1	f67r2	f67r2.67	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_PHASE_STATION_04	1	149	0	1	0	0	FULL_COMPONENT_READING	ansetzen + Arbeitsgang + von dort	UNSPECIFIED	NONE
68	A1	f67r2	f67r2.68	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_PHASE_STATION_05	1	150	0	0	0	1	LOCAL_LABEL_ONLY	ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
69	A1	f67r2	f67r2.69	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_PHASE_STATION_06	2	151|152	0	0	0	2	LOCAL_LABEL_ONLY	ASTRO_LOCAL_LABEL ; ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
70	A1	f67r2	f67r2.70	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_PHASE_STATION_07	1	153	0	1	0	0	FULL_COMPONENT_READING	Arbeitsgang + von dort	UNSPECIFIED	NONE
71	A1	f67r2	f67r2.71	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_PHASE_STATION_08	1	154	0	0	0	1	LOCAL_LABEL_ONLY	ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
72	A1	f67r2	f67r2.72	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_RING_TEXT	12	155|156|157|158|159|160|161|162|163|164|165|166	2	7	0	3	MIXED_COMPONENT_AND_LOCAL_LABEL	von dort ; Stelle + Mass ; dies + Mass ; zufuehren + Arbeitsgang + dies ; dies + Mass ; ASTRO_LOCAL_LABEL ; dies + hinein + Wasser ; dies + zufuehren + Arbeitsgang + Mass ; ASTRO_LOCAL_LABEL ; ASTRO_LOCAL_LABEL ; fortsetzen + dies ; kurz ansetzen	UNSPECIFIED	NONE
73	A1	f67r2	f67r2.73	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_OUTER_RING_TEXT	11	167|168|169|170|171|172|173|174|175|176|177	1	8	0	2	MIXED_COMPONENT_AND_LOCAL_LABEL	ASTRO_LOCAL_LABEL ; dies ; ASTRO_LOCAL_LABEL ; kurz + dies + zufuehren + laenger + dies ; dies + zufuehren + dies ; dies + zufuehren + dies ; ansetzen + kurz + Arbeitsgang + dies ; Arbeitsgang + Mass ; ansetzen + fortsetzen ; von dort ; fortsetzen + von dort	UNSPECIFIED	NONE
74	A1	f67r2	f67r2.74	A67_PAIRED_WHEEL_PAGE_LEGEND_UNRESOLVED	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	13	178|179|180|181|182|183|184|185|186|187|188|189|190	1	6	2	4	MIXED_COMPONENT_AND_LOCAL_LABEL	dies + halten + kurz + dies ; ASTRO_LOCAL_LABEL_PENDING_CHOICE ; ASTRO_LOCAL_LABEL ; ASTRO_LOCAL_LABEL ; Arbeitsgang + Durchlass + dies ; ASTRO_LOCAL_LABEL ; Mass ; ASTRO_LOCAL_LABEL_PENDING_CHOICE ; ansetzen + Arbeitsgang + Mass ; Arbeitsgang + Portion ; von dort ; Wasser ; ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
75	A2	f68r1	f68r1.1	A68_LEFT_STAR_PANEL	A2_LEFT_PANEL_HEADER	9	191|192|193|194|195|196|197|198|199	0	6	2	1	MIXED_COMPONENT_AND_LOCAL_LABEL	ASTRO_LOCAL_LABEL_PENDING_CHOICE ; abziehen + fuellen + laenger + dies ; ASTRO_LOCAL_LABEL_PENDING_CHOICE ; ASTRO_LOCAL_LABEL ; Auszug + abkuehlen ; Arbeitsgang + hinein + abziehen + laenger + fortsetzen ; danach + Ansatz ; Zutat + bereit + vollstaendig + dies ; ansetzen + Zutat + Stelle	UNSPECIFIED	NONE
76	A2	f68r1	f68r1.2	A68_MIDDLE_STAR_PANEL	A2_MIDDLE_PANEL_HEADER	9	200|201|202|203|204|205|206|207|208	2	4	1	2	MIXED_COMPONENT_AND_LOCAL_LABEL	ASTRO_LOCAL_LABEL ; danach + abziehen + fuehren ; vollständig ansetzen; Schluss ; Klarauszug ; abziehen + laenger + fuellen + laenger + dies ; ASTRO_LOCAL_LABEL_PENDING_CHOICE ; abziehen + hinein + Ansatz ; Auszug + zufuehren + Ansatz + dies ; ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
77	A2	f68r1	f68r1.3	A68_RIGHT_STAR_PANEL	A2_RIGHT_PANEL_HEADER	8	209|210|211|212|213|214|215|216	2	4	1	1	MIXED_COMPONENT_AND_LOCAL_LABEL	dies + zufuehren + Ansatz ; Klarauszug ; Arbeitsgang + abziehen + laenger + dies ; ASTRO_LOCAL_LABEL_PENDING_CHOICE ; länger ansetzen ; abkuehlen + Ansatz ; kurz + seihen + von dort ; ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
78	A2	f68r1	f68r1.4	A68_MULTIPANEL_STAR_ATLAS	A2_MULTIPANEL_HEADER_FRAGMENT_04	2	217|218	0	0	0	2	LOCAL_LABEL_ONLY	ASTRO_LOCAL_LABEL ; ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
79	A2	f68r1	f68r1.5	A68_MULTIPANEL_STAR_ATLAS	A2_MULTIPANEL_HEADER_FRAGMENT_05	1	219	0	1	0	0	FULL_COMPONENT_READING	dies + zufuehren + dies	UNSPECIFIED	NONE
80	A2	f68r1	f68r1.6	A68_MULTIPANEL_STAR_ATLAS	A2_MULTIPANEL_HEADER_FRAGMENT_06	1	220	0	1	0	0	FULL_COMPONENT_READING	von dort + dies	UNSPECIFIED	NONE
81	A2	f68r1	f68r1.7	A68_MULTIPANEL_STAR_ATLAS	A2_MULTIPANEL_HEADER_FRAGMENT_07	1	221	0	1	0	0	FULL_COMPONENT_READING	waermen + dies + zufuehren + fortsetzen + dies	UNSPECIFIED	NONE
82	A2	f68r1	f68r1.8	A68_MULTIPANEL_STAR_ATLAS	A2_CENTRE_KEY_UNRESOLVED	1	222	0	1	0	0	FULL_COMPONENT_READING	ansetzen + Arbeitsgang + Stelle + dies	UNSPECIFIED	NONE
83	A2	f68r1	f68r1.9	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_01	1	223	0	0	0	1	LOCAL_LABEL_ONLY	ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
84	A2	f68r1	f68r1.10	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_02	1	224	0	0	1	0	LOCAL_LABEL_ONLY	ASTRO_LOCAL_LABEL_PENDING_CHOICE	UNSPECIFIED	NONE
85	A2	f68r1	f68r1.11	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_03	1	225	0	1	0	0	FULL_COMPONENT_READING	ansetzen + Arbeitsgang + Stelle + dies	UNSPECIFIED	NONE
86	A2	f68r1	f68r1.12	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_04	1	226	0	0	0	1	LOCAL_LABEL_ONLY	ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
87	A2	f68r1	f68r1.13	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_05	1	227	0	1	0	0	FULL_COMPONENT_READING	Arbeitsgang + bereit + kurz + dies	UNSPECIFIED	NONE
88	A2	f68r1	f68r1.14	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_06	1	228	0	1	0	0	FULL_COMPONENT_READING	danach + halten + kurz + dies	UNSPECIFIED	NONE
89	A2	f68r1	f68r1.15	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_07	1	229	0	0	1	0	LOCAL_LABEL_ONLY	ASTRO_LOCAL_LABEL_PENDING_CHOICE	UNSPECIFIED	NONE
90	A2	f68r1	f68r1.16	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_08	1	230	0	1	0	0	FULL_COMPONENT_READING	ansetzen + kurz + von dort	UNSPECIFIED	NONE
91	A2	f68r1	f68r1.17	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_09	1	231	0	0	0	1	LOCAL_LABEL_ONLY	ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
92	A2	f68r1	f68r1.18	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_10	1	232	0	0	1	0	LOCAL_LABEL_ONLY	ASTRO_LOCAL_LABEL_PENDING_CHOICE	UNSPECIFIED	NONE
93	A2	f68r1	f68r1.19	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_11	1	233	0	0	0	1	LOCAL_LABEL_ONLY	ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
94	A2	f68r1	f68r1.20	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_12	1	234	1	0	0	0	FULL_COMPONENT_READING	weiterer Ansatz	UNSPECIFIED	NONE
