learned_card_id	component_recipe	literal_root_lemmas_de	learned_workshop_idiom_de	surface_variants	events	why_whole_card_de
P942-K13	OK+AIIN	ANSETZEN · SOLLMASS	NACH SOLLMASS ANSETZEN	qokaiin|okaiin	26	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K14	OK+AL	ANSETZEN · ZIEL	AN DER ZIELSTELLE ANSETZEN	qokal|okal|chokal	26	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K15	SH+E+Y	HALTEN · KURZ · DIES	KURZ HALTEN	shey|tshey	26	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K16	AR	QUELLE	AUS DER QUELLE	ar|char	25	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K17	OT+Y	DANACH · DIES	DANACH DIESER POSTEN	qoty|oty|qotchy|otchey	24	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K18	AIN	PORTION	EINE PORTION	dain|ain	21	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K19	D_ADDR+AR	TEIL · QUELLE	AUS DEM BEZEICHNETEN TEIL	dar	21	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K20	OK+AR	ANSETZEN · QUELLE	AUS DER QUELLE ANSETZEN	okar|qokar	21	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K21	SH+EE+Y	HALTEN · LÄNGER · DIES	LAENGER HALTEN	cheey|sheey	21	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K22	L+CHD+DY	LEITEN · UMSETZEN · SCHLIESSEN	WEITER UMSETZEN; ENDE	lchedy	20	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K23	OR	ANSATZ	DER ANSATZ	or|qor	20	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K24	OT+AR	DANACH · QUELLE	DANACH AUS DER QUELLE	otar|qotar	19	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K25	OK+E+Y	ANSETZEN · KURZ · DIES	KURZ ANSETZEN	qokey|okey	15	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K26	OL+DY	FORTSETZEN · SCHLIESSEN	DAMIT FORTFAHREN; ENDE	oldy|qoldy	14	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K27	CHEO+L	AUSZUG · LEITEN	DEN AUSZUG WEITERFUEHREN	cheol	13	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K28	CKH+Y	DURCHLASS · DIES	DURCH DEN DURCHLASS FUEHREN	chckhy|ckhy|qckhsy	13	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K29	OT+E+DY	DANACH · KURZ · SCHLIESSEN	NAECHSTEN SCHRITT KURZ; ENDE	otedy|qotedy	13	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K30	OT+EE+DY	DANACH · LÄNGER · SCHLIESSEN	NAECHSTEN SCHRITT LAENGER; ENDE	qoteedy|oteedy	11	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K31	OT+EE+Y	DANACH · LÄNGER · DIES	NAECHSTEN POSTEN LAENGER HALTEN	oteey|qoteey	11	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K32	S+AR	AUSWÄHLEN · QUELLE	QUELLE WAEHLEN	sar	11	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K33	AM_ADDR	INNEN	AN DER INNENSTELLE	am	10	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K34	CTH+Y	BEREIT · DIES	BIS BEREIT FUEHREN	cthy|checthy	10	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K35	O	AUSFÜHREN	ARBEITSGANG AUSFUEHREN	o|qo	10	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K36	OT+OR	DANACH · ANSATZ	DER NAECHSTE ANSATZ	otor|qotor	10	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K37	R	MARKIEREN	ZUSTAND MARKIEREN	r	10	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K38	S+AIIN	AUSWÄHLEN · SOLLMASS	SOLLWERT WAEHLEN	saiin|saii	10	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K39	CH+OR	ENTNEHMEN · ANSATZ	VOM ANSATZ ENTNEHMEN	chor	9	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K40	S+AIN	AUSWÄHLEN · PORTION	EINHEIT WAEHLEN	sain	9	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K41	CHK+E+Y	BEHANDELN · KURZ · DIES	KURZ BEHANDELN	cheky|chekey	7	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K42	D_ADDR	TEIL	DER BEZEICHNETE TEIL	d	7	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K43	S+AL	AUSWÄHLEN · ZIEL	ZIELSTELLE WAEHLEN	sal	7	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K44	SH+EE+DY	HALTEN · LÄNGER · SCHLIESSEN	LAENGER HALTEN; ENDE	sheedy	7	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K45	SH+OL	HALTEN · FORTSETZEN	WEITER HALTEN	shol	7	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K46	CHEO+R	AUSZUG · MARKIEREN	AUSZUG MARKIEREN	cheor	6	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K47	HO	TEILSTOFF	SICHTBARER TEIL	cho	6	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P949-K48	OK+OL	ANSETZEN · FORTSETZEN	ANSETZEN UND WEITERFÜHREN	qokol|okol|chokchol|chokol|okchol|qokchol	14	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P949-K49	OL+Y	FORTSETZEN · DIES	MIT DIESEM POSTEN WEITER	oly|olchey|choly|qoly|qolchey	14	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P949-K50	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLIESSEN	ANSETZEN, UMSETZEN; ENDE	qokchdy|okchdy|okchedy	8	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P949-K51	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLIESSEN	WEITER UMSETZEN; ENDE	olchedy|qolchedy	7	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P949-K52	OT+AL	DANACH · ZIEL	ZUR NÄCHSTEN STELLE	otal|qotal	11	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P949-K53	D_ADDR+OL	TEIL · FORTSETZEN	DEN BEZEICHNETEN TEIL WEITERFÜHREN	dol|dchol	6	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P949-K54	LSH+E+DY	SPÜLEN · KURZ · SCHLIESSEN	KURZ SPÜLEN; ENDE	lshedy	6	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P949-K55	SH+E+DY	HALTEN · KURZ · SCHLIESSEN	KURZ HALTEN; ENDE	dshedy	6	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P949-K56	SH+E+OL	HALTEN · KURZ · FORTSETZEN	KURZ HALTEN UND WEITERFÜHREN	sheol|dsheol	6	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P949-K57	CHK+EE+Y	BEHANDELN · LÄNGER · DIES	DIESEN POSTEN LÄNGER BEHANDELN	cheeky|chkeey	5	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P949-K58	D_ADDR+OR	TEIL · ANSATZ	BEZEICHNETER TEILANSATZ	dor	5	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P949-K59	K+AR	ZUGEBEN · QUELLE	VON DER ENTNAHMESTELLE ZUGEBEN	kar|skar	5	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P949-K60	K+OL	ZUGEBEN · FORTSETZEN	WEITER ZUGEBEN	kchol|kol	5	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P949-K61	S+OR	AUSWÄHLEN · ANSATZ	ZUBEREITUNGSVARIANTE	sor	5	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P949-K62	SOLK+EE+DY	AUFFANGEN · LÄNGER · SCHLIESSEN	LÄNGER AUFFANGEN; ENDE	olkeedy	5	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P949-K63	SOLK+EE+Y	AUFFANGEN · LÄNGER · DIES	DIESEN POSTEN LÄNGER AUFFANGEN	olkeey|solkeey	5	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P952-K64	OK+SH+E+DY	ANSETZEN · HALTEN · KURZ · SCHLIESSEN	ANSETZEN, KURZ HALTEN; ENDE	qokshedy|okshedy	5	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P952-K65	P+CHD+DY	EINSETZEN · UMSETZEN · SCHLIESSEN	EINSETZEN, UMSETZEN; ENDE	pchedy	5	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P952-K66	Y+T+Y	DIES · EINSTELLEN · DIES	DIESEN POSTEN EINSTELLEN	ytchy|yty|ytshy	5	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P952-K67	O+CKH+E+Y	AUSFÜHREN · DURCHLASS · KURZ · DIES	DIESEN POSTEN KURZ DURCHFÜHREN	qockhey|ockhey	4	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P952-K68	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLIESSEN	WEITER KURZ HALTEN; ENDE	olshedy|solshedy	4	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P952-K69	OT+CH+OL	DANACH · ENTNEHMEN · FORTSETZEN	DANACH TEIL ENTNEHMEN UND WEITER	otchol|qotchol	4	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P952-K70	T+CHD+Y	EINSTELLEN · UMSETZEN · DIES	DIESEN POSTEN UMSTELLEN	tchedy	4	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P952-K71	CH+E+CKH+Y	ENTNEHMEN · KURZ · DURCHLASS · DIES	DIESEN TEIL KURZ DURCHFÜHREN	checkhy	3	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P952-K72	CH+O+D_ADDR+Y	ENTNEHMEN · AUSFÜHREN · TEIL · DIES	DEN BEZEICHNETEN TEIL BEARBEITEN	chody	3	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P952-K73	CH+O+S	ENTNEHMEN · AUSFÜHREN · AUSWÄHLEN	TEIL BEARBEITEN UND VARIANTE WÄHLEN	chos	3	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P952-K74	D_ADDR+CHD+Y	TEIL · UMSETZEN · DIES	DEN BEZEICHNETEN TEIL UMSETZEN	dchedy	3	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P952-K75	L+K+E+DY	LEITEN · ZUGEBEN · KURZ · SCHLIESSEN	AM WEG KURZ ZUGEBEN; ENDE	lkedy	3	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P952-K76	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	DANACH TEIL FÜR DEN ANSATZ ENTNEHMEN	otchor|qotchor	3	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P952-K77	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLIESSEN	KURZ IM DURCHLASS HALTEN; ENDE	shckhedy	3	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P952-K78	Y+K+EE+Y	DIES · ZUGEBEN · LÄNGER · DIES	DIESEN POSTEN LÄNGER ZUGEBEN	ykeey	5	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P952-K79	Y+K+OR	DIES · ZUGEBEN · ANSATZ	DIESEN POSTEN DEM ANSATZ ZUGEBEN	ykor	3	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
