local_card_ordinal	source_event_id	physical_page	register	owner_de	surface	complete_slot_count	target_slot_count	host_count	gdt584_rule_ids	gdt584_polished_local_clause_de	gdt584_exact_slot_trace_de	gdt584_guard
11	P912-E1773	f67r2	CELESTIAL	zwei lokale Himmelsraeder	chykchs	5	1	4	S_CELESTIAL_SELECT	Lies die Ringposition ab. Ordne zu. Lies ab. Wähle die Einheit aus.	[LOCAL_COMPONENT:P912-E1773@1=CH:Lies ab|LOCAL_ACTION:P912-E1773@1:CH] [LOCAL_COMPONENT:P912-E1773@2=Y:Ringposition|LOCAL_ACTION:P912-E1773@1:CH] [LOCAL_COMPONENT:P912-E1773@3=K:Ordne zu|LOCAL_ACTION:P912-E1773@3:K] [LOCAL_COMPONENT:P912-E1773@4=CH:Lies ab|LOCAL_ACTION:P912-E1773@4:CH] [LOCAL_COMPONENT:P912-E1773@5=S:Wähle aus|LOCAL_ACTION:P912-E1773@5:S]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
12	P912-E1775	f67r2	CELESTIAL	zwei lokale Himmelsraeder	ykees	4	1	2	S_CELESTIAL_SELECT	Ordne die Ringposition auf Ringstufe II zu. Wähle die Einheit aus.	[LOCAL_COMPONENT:P912-E1775@1=Y:Ringposition|LOCAL_ACTION:P912-E1775@2:K] [LOCAL_COMPONENT:P912-E1775@2=K:Ordne zu|LOCAL_ACTION:P912-E1775@2:K] [LOCAL_COMPONENT:P912-E1775@3=EE:auf Ringstufe II|LOCAL_ACTION:P912-E1775@2:K] [LOCAL_COMPONENT:P912-E1775@4=S:Wähle aus|LOCAL_ACTION:P912-E1775@4:S]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
13	P912-E1776	f67r2	CELESTIAL	zwei lokale Himmelsraeder	ykchos	5	1	3	S_CELESTIAL_SELECT	Ordne die Ringposition zu. Lies in Eintragsform ab. Wähle die Einheit aus.	[LOCAL_COMPONENT:P912-E1776@1=Y:Ringposition|LOCAL_ACTION:P912-E1776@2:K] [LOCAL_COMPONENT:P912-E1776@2=K:Ordne zu|LOCAL_ACTION:P912-E1776@2:K] [LOCAL_COMPONENT:P912-E1776@3=CH:Lies ab|LOCAL_ACTION:P912-E1776@3:CH] [LOCAL_COMPONENT:P912-E1776@4=O:in Eintragsform|LOCAL_ACTION:P912-E1776@3:CH] [LOCAL_COMPONENT:P912-E1776@5=S:Wähle aus|LOCAL_ACTION:P912-E1776@5:S]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
14	P912-E1840	f67r2	CELESTIAL	zwei lokale Himmelsraeder	ytoaiin	4	1	1	T_CELESTIAL_SET	Stelle die Ringposition und den Positionswert in Eintragsform ein.	[LOCAL_COMPONENT:P912-E1840@1=Y:Ringposition|LOCAL_ACTION:P912-E1840@2:T] [LOCAL_COMPONENT:P912-E1840@2=T:Stelle die Ringposition ein|LOCAL_ACTION:P912-E1840@2:T] [LOCAL_COMPONENT:P912-E1840@3=O:in Eintragsform|LOCAL_ACTION:P912-E1840@2:T] [LOCAL_COMPONENT:P912-E1840@4=AIIN:Positionswert|LOCAL_ACTION:P912-E1840@2:T]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
15	P912-E1877	f67r2	CELESTIAL	zwei lokale Himmelsraeder	dchdar	3	1	1	CHD_CELESTIAL_CALCULATE	Berechne den Wert an der unteren Ringstelle und von der Ausgangsposition.	[LOCAL_COMPONENT:P912-E1877@1=D_ADDR:an der unteren Ringstelle|LOCAL_ACTION:P912-E1877@2:CHD] [LOCAL_COMPONENT:P912-E1877@2=CHD:Berechne|LOCAL_ACTION:P912-E1877@2:CHD] [LOCAL_COMPONENT:P912-E1877@3=AR:von der Ausgangsposition|LOCAL_ACTION:P912-E1877@2:CHD]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
16	P912-E1879	f67r2	CELESTIAL	zwei lokale Himmelsraeder	saldal	4	1	1	S_CELESTIAL_SELECT	Wähle die Einheit im zweiten Durchgang, zur Zielposition und über den Ringkontakt aus.	[LOCAL_COMPONENT:P912-E1879@1=S:Wähle aus|LOCAL_ACTION:P912-E1879@1:S] [LOCAL_COMPONENT:P912-E1879@2=AL:zur Zielposition|LOCAL_ACTION:P912-E1879@1:S] [LOCAL_COMPONENT:P912-E1879@3=DA:im zweiten Durchgang|LOCAL_ACTION:P912-E1879@1:S] [LOCAL_COMPONENT:P912-E1879@4=L:über den Ringkontakt|LOCAL_ACTION:P912-E1879@1:S]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
17	P912-E1880	f67r2	CELESTIAL	zwei lokale Himmelsraeder	ytodal	5	1	1	T_CELESTIAL_SET	Stelle die Ringposition in Eintragsform, im zweiten Durchgang und über den Ringkontakt ein.	[LOCAL_COMPONENT:P912-E1880@1=Y:Ringposition|LOCAL_ACTION:P912-E1880@2:T] [LOCAL_COMPONENT:P912-E1880@2=T:Stelle die Ringposition ein|LOCAL_ACTION:P912-E1880@2:T] [LOCAL_COMPONENT:P912-E1880@3=O:in Eintragsform|LOCAL_ACTION:P912-E1880@2:T] [LOCAL_COMPONENT:P912-E1880@4=DA:im zweiten Durchgang|LOCAL_ACTION:P912-E1880@2:T] [LOCAL_COMPONENT:P912-E1880@5=L:über den Ringkontakt|LOCAL_ACTION:P912-E1880@2:T]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
18	P912-E1881	f67r2	CELESTIAL	zwei lokale Himmelsraeder	tol	2	1	2	T_CELESTIAL_SET	Stelle die Position ein. Fahre im selben Arbeitsgang fort.	[LOCAL_COMPONENT:P912-E1881@1=T:Stelle die Ringposition ein|LOCAL_ACTION:P912-E1881@1:T] [LOCAL_COMPONENT:P912-E1881@2=OL:weiter im selben Arbeitsgang|LOCAL_CONTROL:P912-E1881@2:OL]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
19	P912-E1888	f67r2	CELESTIAL	zwei lokale Himmelsraeder	ytchodly	7	1	2	T_CELESTIAL_SET	Stelle die Ringposition ein. Lies die Ringposition in Eintragsform, an der unteren Ringstelle und über den Ringkontakt ab.	[LOCAL_COMPONENT:P912-E1888@1=Y:Ringposition|LOCAL_ACTION:P912-E1888@2:T] [LOCAL_COMPONENT:P912-E1888@2=T:Stelle die Ringposition ein|LOCAL_ACTION:P912-E1888@2:T] [LOCAL_COMPONENT:P912-E1888@3=CH:Lies ab|LOCAL_ACTION:P912-E1888@3:CH] [LOCAL_COMPONENT:P912-E1888@4=O:in Eintragsform|LOCAL_ACTION:P912-E1888@3:CH] [LOCAL_COMPONENT:P912-E1888@5=D_ADDR:an der unteren Ringstelle|LOCAL_ACTION:P912-E1888@3:CH] [LOCAL_COMPONENT:P912-E1888@6=L:über den Ringkontakt|LOCAL_ACTION:P912-E1888@3:CH] [LOCAL_COMPONENT:P912-E1888@7=Y:Ringposition|LOCAL_ACTION:P912-E1888@3:CH]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
20	P912-E1889	f67r2	CELESTIAL	zwei lokale Himmelsraeder	octhys	4	1	2	S_CELESTIAL_SELECT	Wähle die Ringposition in Eintragsform aus. Verwende für den vorangehenden Arbeitsschritt lokale CTH-Karte.	[LOCAL_COMPONENT:P912-E1889@1=O:in Eintragsform|LOCAL_ACTION:P912-E1889@4:S] [LOCAL_COMPONENT:P912-E1889@2=CTH:lokale CTH-Karte|LOCAL_CONTROL:P912-E1889@2:CTH] [LOCAL_COMPONENT:P912-E1889@3=Y:Ringposition|LOCAL_ACTION:P912-E1889@4:S] [LOCAL_COMPONENT:P912-E1889@4=S:Wähle aus|LOCAL_ACTION:P912-E1889@4:S]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
21	P912-E1890	f67r2	CELESTIAL	zwei lokale Himmelsraeder	ytokar	4	1	2	T_CELESTIAL_SET	Stelle die Ringposition ein. Trage von der Ausgangsposition ein.	[LOCAL_COMPONENT:P912-E1890@1=Y:Ringposition|LOCAL_ACTION:P912-E1890@2:T] [LOCAL_COMPONENT:P912-E1890@2=T:Stelle die Ringposition ein|LOCAL_ACTION:P912-E1890@2:T] [LOCAL_COMPONENT:P912-E1890@3=OK:Trage ein|LOCAL_ACTION:P912-E1890@3:OK] [LOCAL_COMPONENT:P912-E1890@4=AR:von der Ausgangsposition|LOCAL_ACTION:P912-E1890@3:OK]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
22	P912-E1893	f67r2	CELESTIAL	zwei lokale Himmelsraeder	s	1	1	1	S_CELESTIAL_SELECT	Wähle die Einheit aus.	[LOCAL_COMPONENT:P912-E1893@1=S:Wähle aus|LOCAL_ACTION:P912-E1893@1:S]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
23	P912-E1895	f67r2	CELESTIAL	zwei lokale Himmelsraeder	soear	4	1	1	S_CELESTIAL_SELECT	Wähle die Einheit in Eintragsform, auf Ringstufe I und von der Ausgangsposition aus.	[LOCAL_COMPONENT:P912-E1895@1=S:Wähle aus|LOCAL_ACTION:P912-E1895@1:S] [LOCAL_COMPONENT:P912-E1895@2=O:in Eintragsform|LOCAL_ACTION:P912-E1895@1:S] [LOCAL_COMPONENT:P912-E1895@3=E:auf Ringstufe I|LOCAL_ACTION:P912-E1895@1:S] [LOCAL_COMPONENT:P912-E1895@4=AR:von der Ausgangsposition|LOCAL_ACTION:P912-E1895@1:S]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
24	P912-E1899	f67r2	CELESTIAL	zwei lokale Himmelsraeder	s	1	1	1	S_CELESTIAL_SELECT	Wähle die Einheit aus.	[LOCAL_COMPONENT:P912-E1899@1=S:Wähle aus|LOCAL_ACTION:P912-E1899@1:S]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
25	P912-E1901	f67r2	CELESTIAL	zwei lokale Himmelsraeder	osar	3	1	1	S_CELESTIAL_SELECT	Wähle die Einheit in Eintragsform und von der Ausgangsposition aus.	[LOCAL_COMPONENT:P912-E1901@1=O:in Eintragsform|LOCAL_ACTION:P912-E1901@2:S] [LOCAL_COMPONENT:P912-E1901@2=S:Wähle aus|LOCAL_ACTION:P912-E1901@2:S] [LOCAL_COMPONENT:P912-E1901@3=AR:von der Ausgangsposition|LOCAL_ACTION:P912-E1901@2:S]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
26	P912-E1976	f68r1	CELESTIAL	mehrteiliger Sternatlas mit lokalen Zentren	otshey	4	1	2	SH_CELESTIAL_FIX	Beginne danach den nächsten Arbeitsgang. Halte die Ringposition auf Ringstufe I fest.	[LOCAL_COMPONENT:P912-E1976@1=OT:danach / neuer Arbeitsgang|LOCAL_CONTROL:P912-E1976@1:OT] [LOCAL_COMPONENT:P912-E1976@2=SH:Halte die Position fest|LOCAL_ACTION:P912-E1976@2:SH] [LOCAL_COMPONENT:P912-E1976@3=E:auf Ringstufe I|LOCAL_ACTION:P912-E1976@2:SH] [LOCAL_COMPONENT:P912-E1976@4=Y:Ringposition|LOCAL_ACTION:P912-E1976@2:SH]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
27	P912-E1980	f68r1	CELESTIAL	mehrteiliger Sternatlas mit lokalen Zentren	ytchody	6	1	2	T_CELESTIAL_SET	Stelle die Ringposition ein. Lies die Ringposition in Eintragsform und an der unteren Ringstelle ab.	[LOCAL_COMPONENT:P912-E1980@1=Y:Ringposition|LOCAL_ACTION:P912-E1980@2:T] [LOCAL_COMPONENT:P912-E1980@2=T:Stelle die Ringposition ein|LOCAL_ACTION:P912-E1980@2:T] [LOCAL_COMPONENT:P912-E1980@3=CH:Lies ab|LOCAL_ACTION:P912-E1980@3:CH] [LOCAL_COMPONENT:P912-E1980@4=O:in Eintragsform|LOCAL_ACTION:P912-E1980@3:CH] [LOCAL_COMPONENT:P912-E1980@5=D_ADDR:an der unteren Ringstelle|LOCAL_ACTION:P912-E1980@3:CH] [LOCAL_COMPONENT:P912-E1980@6=Y:Ringposition|LOCAL_ACTION:P912-E1980@3:CH]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
28	P912-E1981	f68r1	CELESTIAL	mehrteiliger Sternatlas mit lokalen Zentren	otys	3	1	2	S_CELESTIAL_SELECT	Beginne danach den nächsten Arbeitsgang. Wähle die Ringposition aus.	[LOCAL_COMPONENT:P912-E1981@1=OT:danach / neuer Arbeitsgang|LOCAL_CONTROL:P912-E1981@1:OT] [LOCAL_COMPONENT:P912-E1981@2=Y:Ringposition|LOCAL_ACTION:P912-E1981@3:S] [LOCAL_COMPONENT:P912-E1981@3=S:Wähle aus|LOCAL_ACTION:P912-E1981@3:S]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
29	P912-E1985	f68r1	CELESTIAL	mehrteiliger Sternatlas mit lokalen Zentren	otchdy	3	1	3	CHD_CELESTIAL_CALCULATE	Beginne danach den nächsten Arbeitsgang. Berechne den Wert. Schließe den Arbeitsgang.	[LOCAL_COMPONENT:P912-E1985@1=OT:danach / neuer Arbeitsgang|LOCAL_CONTROL:P912-E1985@1:OT] [LOCAL_COMPONENT:P912-E1985@2=CHD:Berechne|LOCAL_ACTION:P912-E1985@2:CHD] [LOCAL_COMPONENT:P912-E1985@3=DY:Arbeitsgang abschließen|LOCAL_CONTROL:P912-E1985@3:DY]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
30	P912-E1986	f68r1	CELESTIAL	mehrteiliger Sternatlas mit lokalen Zentren	otykchs	5	1	4	S_CELESTIAL_SELECT	Beginne danach den nächsten Arbeitsgang. Ordne die Ringposition zu. Lies ab. Wähle die Einheit aus.	[LOCAL_COMPONENT:P912-E1986@1=OT:danach / neuer Arbeitsgang|LOCAL_CONTROL:P912-E1986@1:OT] [LOCAL_COMPONENT:P912-E1986@2=Y:Ringposition|LOCAL_ACTION:P912-E1986@3:K] [LOCAL_COMPONENT:P912-E1986@3=K:Ordne zu|LOCAL_ACTION:P912-E1986@3:K] [LOCAL_COMPONENT:P912-E1986@4=CH:Lies ab|LOCAL_ACTION:P912-E1986@4:CH] [LOCAL_COMPONENT:P912-E1986@5=S:Wähle aus|LOCAL_ACTION:P912-E1986@5:S]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
31	P912-E1991	f68r1	CELESTIAL	mehrteiliger Sternatlas mit lokalen Zentren	ykchdy	4	1	2	CHD_CELESTIAL_CALCULATE	Ordne die Ringposition zu. Berechne die Ringposition.	[LOCAL_COMPONENT:P912-E1991@1=Y:Ringposition|LOCAL_ACTION:P912-E1991@2:K] [LOCAL_COMPONENT:P912-E1991@2=K:Ordne zu|LOCAL_ACTION:P912-E1991@2:K] [LOCAL_COMPONENT:P912-E1991@3=CHD:Berechne|LOCAL_ACTION:P912-E1991@3:CHD] [LOCAL_COMPONENT:P912-E1991@4=Y:Ringposition|LOCAL_ACTION:P912-E1991@3:CHD]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
32	P912-E1995	f68r1	CELESTIAL	mehrteiliger Sternatlas mit lokalen Zentren	okshor	3	1	2	SH_CELESTIAL_FIX	Trage ein. Halte die Sektoreinheit fest.	[LOCAL_COMPONENT:P912-E1995@1=OK:Trage ein|LOCAL_ACTION:P912-E1995@1:OK] [LOCAL_COMPONENT:P912-E1995@2=SH:Halte die Position fest|LOCAL_ACTION:P912-E1995@2:SH] [LOCAL_COMPONENT:P912-E1995@3=OR:Sektoreinheit|LOCAL_ACTION:P912-E1995@2:SH]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
33	P912-E1996	f68r1	CELESTIAL	mehrteiliger Sternatlas mit lokalen Zentren	osdaiin	4	1	1	S_CELESTIAL_SELECT	Wähle den Positionswert in Eintragsform und an der unteren Ringstelle aus.	[LOCAL_COMPONENT:P912-E1996@1=O:in Eintragsform|LOCAL_ACTION:P912-E1996@2:S] [LOCAL_COMPONENT:P912-E1996@2=S:Wähle aus|LOCAL_ACTION:P912-E1996@2:S] [LOCAL_COMPONENT:P912-E1996@3=D_ADDR:an der unteren Ringstelle|LOCAL_ACTION:P912-E1996@2:S] [LOCAL_COMPONENT:P912-E1996@4=AIIN:Positionswert|LOCAL_ACTION:P912-E1996@2:S]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
34	P912-E1997	f68r1	CELESTIAL	mehrteiliger Sternatlas mit lokalen Zentren	otochedy	4	1	2	CHD_CELESTIAL_CALCULATE	Beginne danach den nächsten Arbeitsgang. Berechne die Ringposition in Eintragsform.	[LOCAL_COMPONENT:P912-E1997@1=OT:danach / neuer Arbeitsgang|LOCAL_CONTROL:P912-E1997@1:OT] [LOCAL_COMPONENT:P912-E1997@2=O:in Eintragsform|LOCAL_ACTION:P912-E1997@3:CHD] [LOCAL_COMPONENT:P912-E1997@3=CHD:Berechne|LOCAL_ACTION:P912-E1997@3:CHD] [LOCAL_COMPONENT:P912-E1997@4=Y:Ringposition|LOCAL_ACTION:P912-E1997@3:CHD]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
35	P912-E1998	f68r1	CELESTIAL	mehrteiliger Sternatlas mit lokalen Zentren	dolchedy	4	1	2	CHD_CELESTIAL_CALCULATE	Berechne die Ringposition an der unteren Ringstelle. Fahre im selben Arbeitsgang fort.	[LOCAL_COMPONENT:P912-E1998@1=D_ADDR:an der unteren Ringstelle|LOCAL_ACTION:P912-E1998@3:CHD] [LOCAL_COMPONENT:P912-E1998@2=OL:weiter im selben Arbeitsgang|LOCAL_CONTROL:P912-E1998@2:OL] [LOCAL_COMPONENT:P912-E1998@3=CHD:Berechne|LOCAL_ACTION:P912-E1998@3:CHD] [LOCAL_COMPONENT:P912-E1998@4=Y:Ringposition|LOCAL_ACTION:P912-E1998@3:CHD]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
36	P912-E2000	f68r1	CELESTIAL	mehrteiliger Sternatlas mit lokalen Zentren	okchdy	3	1	3	CHD_CELESTIAL_CALCULATE	Trage ein. Berechne den Wert. Schließe den Arbeitsgang.	[LOCAL_COMPONENT:P912-E2000@1=OK:Trage ein|LOCAL_ACTION:P912-E2000@1:OK] [LOCAL_COMPONENT:P912-E2000@2=CHD:Berechne|LOCAL_ACTION:P912-E2000@2:CHD] [LOCAL_COMPONENT:P912-E2000@3=DY:Arbeitsgang abschließen|LOCAL_CONTROL:P912-E2000@3:DY]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
37	P912-E2007	f69v	CELESTIAL	drei getrennte heterogene Himmelsraeder	sar	2	1	1	S_CELESTIAL_SELECT	Wähle die Einheit von der Ausgangsposition aus.	[LOCAL_COMPONENT:P912-E2007@1=S:Wähle aus|LOCAL_ACTION:P912-E2007@1:S] [LOCAL_COMPONENT:P912-E2007@2=AR:von der Ausgangsposition|LOCAL_ACTION:P912-E2007@1:S]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
