passage_ordinal	statement_id	physical_page	register	owner_id	event_count	surface_sequence	gdt583_editorial_working_paragraph_de	gdt584_polished_paragraph_de	gdt584_guard
11	G407-S052	f68r1	CELESTIAL	mehrteilige Sternstellentafel	12	shokchy chteey choteey cphol cheor opcheeol otor choctheeey okchoal tochso otchl qokeeedy	Halte die Ringposition fest, trage sie ein und lies sie ab. Stelle die abgelesene Position auf Ringstufe II ein. Lies sie erneut und beginne danach auf Stufe II einen neuen Gang. Lies weiter, setze ein und führe fort. Lies auf Stufe I ab und markiere in Eintragsform. Setze in Eintragsform ein, lies auf Stufe II ab und fahre fort. Beginne mit der Sektoreinheit einen neuen Gang. Lies in Eintragsform ab, lies nochmals und stelle die Position auf Stufe III ein. Trage ein und lies zur Zielposition ab. Stelle in Eintragsform ein, lies ab und wähle in Eintragsform aus. Beginne erneut, lies über den Ringkontakt, trage auf Stufe III ein und schließe.	"Halte die Position fest. Trage ein. Lies die Ringposition ab. Lies ab. Stelle die Ringposition auf Ringstufe II ein. Lies die Ringposition ab. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Ringstufe II. Lies ab. Setze ein. Fahre im selben Arbeitsgang fort. Lies auf Ringstufe I ab. Markiere in Eintragsform. Setze in Eintragsform ein. Lies die Sektoreinheit ab. Verwende für den vorangehenden Arbeitsschritt auf Ringstufe II. Fahre im selben Arbeitsgang fort. Beginne danach den nächsten Arbeitsgang.

Lies in Eintragsform ab. Lies ab. Stelle die Ringposition auf Ringstufe III ein. Trage ein. Lies in Eintragsform und zur Zielposition ab. Stelle die Position in Eintragsform ein. Lies ab. Wähle die Einheit in Eintragsform aus. Beginne danach den nächsten Arbeitsgang.

Lies über den Ringkontakt ab. Trage auf Ringstufe III ein. Schließe den Arbeitsgang."	FIXED_GDT583_PASSAGE_SET__NO_NEW_PAGE_OR_SURFACE
12	G407-S061	f72r	CELESTIAL	Tierkreis-Ringgruppe A	4	al oteey chedal oteedy	Für die Zielposition: Beginne auf Ringstufe II mit der Ringposition einen neuen Gang und berechne sie zur Zielposition. Beginne danach nochmals auf Ringstufe II und schließe.	"Verwende für den vorangehenden Arbeitsschritt zur Zielposition. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Ringstufe II. Berechne die Ringposition zur Zielposition. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Ringstufe II. Schließe den Arbeitsgang."	FIXED_GDT583_PASSAGE_SET__NO_NEW_PAGE_OR_SURFACE
13	G407-S082	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	7	kchedykary okeey qokar shyk chedy qotar shedy	Führe den Stationsansatz zu, behandle ihn und führe ihn aus der Ausgangsstation beziehungsweise dem Ausgangsbecken erneut zu. Beschicke ihn auf Stufe II und anschließend vom Ausgangsbecken her; führe den Ansatz zu und behandle ihn. Beginne danach vom Ausgangsbecken her einen neuen Gang, halte den Ansatz im Bad auf Stufe I und schließe.	"Führe zu. Behandle den Stationsansatz. Führe den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken zu. Beschicke oder bereite den Stationsansatz auf Grad II vor. Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Führe den Stationsansatz zu. Behandle den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken. Beginne danach den nächsten Arbeitsgang.

Halte im Bad auf Grad I. Schließe den Arbeitsgang."	FIXED_GDT583_PASSAGE_SET__NO_NEW_PAGE_OR_SURFACE
14	G407-S083	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	5	dain shey ly ssheol qoldy	Halte die Anwendungsportion als Stationsansatz auf Stufe I über den Stationskontakt oder die Leitung im Bad. Leite sie um und halte sie auf Stufe I weiter. Führe den Gang fort und schließe.	Halte die Anwendungsportion und den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung. Wähle die Einheit aus. Halte den Zustand. Verwende für den vorangehenden Arbeitsschritt auf Grad I. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Schließe den Arbeitsgang.	FIXED_GDT583_PASSAGE_SET__NO_NEW_PAGE_OR_SURFACE
15	G407-S086	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	8	shey kar chey ckhey r ain ol olsheedy	Halte den Stationsansatz auf Stufe I im Bad. Führe ihn aus dem Ausgangsbecken zu, lass ihn ab und führe ihn auf Stufe I wieder zu. Prüfe die Anwendungsportion. Fahre fort, halte sie auf Stufe II im Stationsgang und schließe.	Halte den Stationsansatz im Bad auf Grad I. Führe den Stationsansatz von der Ausgangsstation oder aus dem Ausgangsbecken zu. Entnimm oder lass ab. Führe den Stationsansatz auf Grad I zu. Kennzeichne oder prüfe die Anwendungsportion. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Halte den Zustand. Verwende für den vorangehenden Arbeitsschritt auf Grad II. Schließe den Arbeitsgang.	FIXED_GDT583_PASSAGE_SET__NO_NEW_PAGE_OR_SURFACE
16	G407-S193	f76r	BIOLOGICAL	unbebilderter Textabschnitt A0	13	potchokor chcfhdy opshdy qolp chcphy chcphdy opshey qofshy opchdy sain as y dshedy	Bring eine Becken- oder Körpereinheit ein beziehungsweise wende sie an. Beginne einen neuen Gang, lass ab und beschicke die Einheit. Lass den Stationsansatz zuerst in Anwendungsform und danach in Feinform ab; bring ihn in Anwendungsform ein und halte ihn an der Stationsstelle. Fahre mit der Anwendung fort. Zweimal: Lass zweimal ab und bring den Stationsansatz wieder ein. Bring ihn in Anwendungsform ein und halte ihn auf Stufe I. Beginne einen neuen Ansatz, bring ihn in Anwendungsform ein und halte ihn an der Arbeitsstelle. Wende ihn in Anwendungsform an und behandle den Stationsansatz. Teile eine Anwendungsportion ab und leite den Ansatz an der Hauptstation um. Halte ihn auf Stufe I im Bad und schließe.	"Wende an. Beginne danach den nächsten Arbeitsgang.

Entnimm oder lass ab. Beschicke oder bereite die Becken- oder Körpereinheit vor. Entnimm oder lass in Anwendungsform ab. Entnimm oder lass den Stationsansatz in Feinform ab. Wende in Anwendungsform an. Halte den Stationsansatz an der Stations-Arbeitsstelle. Fahre im selben Arbeitsgang fort. Wende an. Entnimm oder lass ab. Entnimm oder lass ab. Wende den Stationsansatz an. Entnimm oder lass ab. Entnimm oder lass ab. Wende den Stationsansatz an. Wende in Anwendungsform an. Halte den Stationsansatz auf Grad I. Wende in Anwendungsform und als neuer Bad- oder Stationsansatz an. Halte den Stationsansatz an der Stations-Arbeitsstelle. Wende in Anwendungsform an. Behandle den Stationsansatz. Wähle die Anwendungsportion aus. Wähle den Stationsansatz an der Stations-Hauptstelle aus. Halte den Zustand auf Grad I. Schließe den Arbeitsgang."	FIXED_GDT583_PASSAGE_SET__NO_NEW_PAGE_OR_SURFACE
17	G407-S649	f88r	PHARMA	sechzehn Drogenposten und drei Gefäßansätze	6	koay cphol orchor pcheoly otchol oldy	Gib die Drogencharge in Arzneiform an der Hauptstelle zu. Entnimm und gib sie im selben Gang hinein. Zieh die äußere und die innere Gefäßeinheit ab. Gib die Charge über den Gefäßkontakt hinein und entnimm sie auf Stufe I in Arzneiform. Beginne einen neuen Gang, entnimm weiter und schließe.	Gib die Drogencharge in Arzneiform an der Hauptstelle zu. Entnimm und gib sie im selben Gang hinein. Zieh die äußere und die innere Gefäßeinheit ab. Gib die Charge über den Gefäßkontakt hinein und entnimm sie auf Stufe I in Arzneiform. Beginne einen neuen Gang, entnimm weiter und schließe.	FIXED_GDT583_PASSAGE_SET__NO_NEW_PAGE_OR_SURFACE
18	G407-S651	f88r	PHARMA	sechzehn Drogenposten und drei Gefäßansätze	7	poeear sheoky olkeey cthol poldy s okoldy	Gib aus dem Ausgangsgefäß in Arzneiform auf Stufe II hinein. Lass die Drogencharge auf Stufe I ziehen und setze den Ansatz an. Gib die Charge auf Stufe II weiter zu. Entnimm, temperiere und fahre fort. Gib die Charge an der Arbeitsstelle hinein und führe den Gang weiter. Trenne ab, setze den Ansatz erneut an und schließe.	Gib in Arzneiform, auf Grad II und aus dem Ausgangsgefäß hinein. Halte den Zustand auf Grad I. Setze die Drogencharge an. Fahre im selben Arbeitsgang fort. Gib die Drogencharge zu. Verwende für den vorangehenden Arbeitsschritt auf Grad II. Entnimm. Reguliere oder temperiere die Arbeitsbedingung. Fahre im selben Arbeitsgang fort. Gib die Drogencharge an der Drogen-Arbeitsstelle hinein. Fahre im selben Arbeitsgang fort. Wähle die Einheit aus. Setze an. Fahre im selben Arbeitsgang fort. Schließe den Arbeitsgang.	FIXED_GDT583_PASSAGE_SET__NO_NEW_PAGE_OR_SURFACE
19	G407-S657	f88v	PHARMA	zweite Gefaess-/Zutatengruppe	3	opykey oldaiin qoteody	Gib die Drogencharge in Arzneiform hinein und gib dieselbe Charge auf Stufe I zu. Fahre an der Drogenarbeitsstelle mit dem Dosis- oder Mengenmaß fort. Beginne danach auf Stufe I in Arzneiform einen neuen Gang und schließe.	Gib die Drogencharge in Arzneiform hinein und gib dieselbe Charge auf Stufe I zu. Fahre an der Drogenarbeitsstelle mit dem Dosis- oder Mengenmaß fort. Beginne danach auf Stufe I in Arzneiform einen neuen Gang und schließe.	FIXED_GDT583_PASSAGE_SET__NO_NEW_PAGE_OR_SURFACE
20	G407-S659	f88v	PHARMA	zweite Gefaess-/Zutatengruppe	6	ykeeor chockhy otol cheeol cheody qotody	Gib die Drogencharge und eine Gefäß- oder Arbeitseinheit auf Stufe II zu. Entnimm Material der Oberklasse und gib die Charge zu. Beginne einen neuen Gang und führe ihn fort. Lass auf Stufe II ziehen und fahre weiter. Entnimm die Charge auf Stufe I in Arzneiform. Beginne anschließend in Arzneiform den nächsten Gang und schließe.	"Gib die Drogencharge und die Gefäß- oder Arbeitseinheit auf Grad II zu. Entnimm in der Oberklasse. Gib die Drogencharge zu. Beginne danach den nächsten Arbeitsgang.

Fahre im selben Arbeitsgang fort. Halte den Zustand. Verwende für den vorangehenden Arbeitsschritt auf Grad II. Fahre im selben Arbeitsgang fort. Entnimm die Drogencharge in Arzneiform und auf Grad I. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt in Arzneiform. Schließe den Arbeitsgang."	FIXED_GDT583_PASSAGE_SET__NO_NEW_PAGE_OR_SURFACE
