event_ordinal	event_id	statement_id	physical_page	register	owner_id	surface	written_slot_count	target_slot_count	target_roots	gdt584_rule_ids	anchored_host_count	packet_membership_host_count	gdt584_polished_event_clause_de	gdt584_local_written_slot_ids	gdt584_guard
11	G407-E0019	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthar	3	1	T	T_SOURCE_FIX	2	2	Entnimm. Lege die Arbeitsbedingung von der Quelle oder aus dem Ausgangsgefäß fest.	RUNNING:G407-E0019@1|RUNNING:G407-E0019@2|RUNNING:G407-E0019@3	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
12	G407-E0020	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthar	3	1	T	T_SOURCE_FIX	2	2	Entnimm. Lege die Portion von der Quelle oder aus dem Ausgangsgefäß fest.	RUNNING:G407-E0020@1|RUNNING:G407-E0020@2|RUNNING:G407-E0020@3	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
13	G407-E0022	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	syaiir	4	1	S	S_SOURCE_SORT_OUT	2	2	Sondere das Arbeitsgut aus. Kennzeichne oder prüfe auf der bezeichneten Stufe.	RUNNING:G407-E0022@1|RUNNING:G407-E0022@2|RUNNING:G407-E0022@3|RUNNING:G407-E0022@4	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
14	G407-E0023	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sheky	4	1	SH	SH_SOURCE_REST	2	2	Lass das Arbeitsgut auf Grad I ruhen. Gib das Arbeitsgut und den Ansatz zu.	RUNNING:G407-E0023@1|RUNNING:G407-E0023@2|RUNNING:G407-E0023@3|RUNNING:G407-E0023@4	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
15	G407-E0026	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shod	3	1	SH	SH_SOURCE_REST	1	1	Lass das Arbeitsgut in Arbeitsform und an der Arbeitsstelle ruhen.	RUNNING:G407-E0026@1|RUNNING:G407-E0026@2|RUNNING:G407-E0026@3	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
16	G407-E0027	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthoary	5	1	T	T_SOURCE_FIX	2	2	Entnimm. Lege das Arbeitsgut in Arbeitsform und von der Quelle oder aus dem Ausgangsgefäß fest.	RUNNING:G407-E0027@1|RUNNING:G407-E0027@2|RUNNING:G407-E0027@3|RUNNING:G407-E0027@4|RUNNING:G407-E0027@5	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
17	G407-E0028	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthes	4	2	S|T	S_SOURCE_SORT_OUT|T_SOURCE_FIX	3	3	Entnimm. Lege die Arbeitsbedingung auf Grad I fest. Sondere das Flüssigkeitsmaß und das Arbeitsgut an der Arbeitsstelle und von der Quelle oder aus dem Ausgangsgefäß aus.	RUNNING:G407-E0028@1|RUNNING:G407-E0028@2|RUNNING:G407-E0028@3|RUNNING:G407-E0028@4	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
18	G407-E0031	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	soiin	3	1	S	S_SOURCE_SORT_OUT	1	1	Sondere das Arbeitsgut in Arbeitsform und auf der bezeichneten Stufe aus.	RUNNING:G407-E0031@1|RUNNING:G407-E0031@2|RUNNING:G407-E0031@3	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
19	G407-E0035	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthiar	4	1	T	T_SOURCE_FIX	2	2	Entnimm. Lege das Flüssigkeitsmaß in der Innenform und von der Quelle oder aus dem Ausgangsgefäß fest.	RUNNING:G407-E0035@1|RUNNING:G407-E0035@2|RUNNING:G407-E0035@3|RUNNING:G407-E0035@4	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
20	G407-E0040	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sair	2	1	S	S_SOURCE_SORT_OUT	1	1	Sondere das Arbeitsgut entlang des Arbeitswegs aus.	RUNNING:G407-E0040@1|RUNNING:G407-E0040@2	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
21	G407-E0043	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthaiin	3	1	T	T_SOURCE_FIX	2	2	Entnimm. Lege das Flüssigkeitsmaß fest.	RUNNING:G407-E0043@1|RUNNING:G407-E0043@2|RUNNING:G407-E0043@3	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
22	G407-E0046	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ydaraishy	7	1	SH	SH_SOURCE_REST	1	2	Lass das Arbeitsgut in der Innenform, an der Hauptstelle und an der Arbeitsstelle ruhen.	RUNNING:G407-E0046@1|RUNNING:G407-E0046@2|RUNNING:G407-E0046@3|RUNNING:G407-E0046@4|RUNNING:G407-E0046@5|RUNNING:G407-E0046@6|RUNNING:G407-E0046@7	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
23	G407-E0048	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shol	2	1	SH	SH_SOURCE_REST	2	2	Lass das Arbeitsgut ruhen. Fahre im selben Arbeitsgang fort.	RUNNING:G407-E0048@1|RUNNING:G407-E0048@2	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
24	G407-E0051	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	sh	1	1	SH	SH_SOURCE_REST	1	1	Lass das Arbeitsgut ruhen.	RUNNING:G407-E0051@1	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
25	G407-E0052	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	s	1	1	S	S_SOURCE_SORT_OUT	1	1	Sondere das Material aus.	RUNNING:G407-E0052@1	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
26	G407-E0054	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shodary	5	1	SH	SH_SOURCE_REST	1	1	Lass das Arbeitsgut in Arbeitsform, an der Arbeitsstelle und von der Quelle oder aus dem Ausgangsgefäß ruhen.	RUNNING:G407-E0054@1|RUNNING:G407-E0054@2|RUNNING:G407-E0054@3|RUNNING:G407-E0054@4|RUNNING:G407-E0054@5	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
27	G407-E0055	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	yshey	4	1	SH	SH_SOURCE_REST	1	1	Lass das Arbeitsgut auf Grad I ruhen.	RUNNING:G407-E0055@1|RUNNING:G407-E0055@2|RUNNING:G407-E0055@3|RUNNING:G407-E0055@4	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
28	G407-E0056	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shody	3	1	SH	SH_SOURCE_REST	2	2	Lass das Arbeitsgut in Arbeitsform ruhen. Schließe den Arbeitsgang.	RUNNING:G407-E0056@1|RUNNING:G407-E0056@2|RUNNING:G407-E0056@3	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
29	G407-E0059	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	chocthy	5	1	T	T_SOURCE_FIX	3	3	Entnimm in Arbeitsform. Entnimm. Lege das Arbeitsgut und die Portion fest.	RUNNING:G407-E0059@1|RUNNING:G407-E0059@2|RUNNING:G407-E0059@3|RUNNING:G407-E0059@4|RUNNING:G407-E0059@5	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
30	G407-E0064	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	kos	3	1	S	S_SOURCE_SORT_OUT	2	2	Gib in Arbeitsform zu. Sondere das Flüssigkeitsmaß aus.	RUNNING:G407-E0064@1|RUNNING:G407-E0064@2|RUNNING:G407-E0064@3	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
31	G407-E0066	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shos	3	2	S|SH	SH_SOURCE_REST|S_SOURCE_SORT_OUT	2	2	Lass das Arbeitsgut in Arbeitsform ruhen. Sondere das Material aus.	RUNNING:G407-E0066@1|RUNNING:G407-E0066@2|RUNNING:G407-E0066@3	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
32	G407-E0068	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shody	3	1	SH	SH_CH_BRIDGE_HOLD	2	2	Halte den Zustand in Arbeitsform. Schließe den Arbeitsgang.	RUNNING:G407-E0068@1|RUNNING:G407-E0068@2|RUNNING:G407-E0068@3	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
33	G407-E0071	G407-S004	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	teody	4	1	T	T_SOURCE_FIX	2	2	Lege die Arbeitsbedingung in Arbeitsform und auf Grad I fest. Schließe den Arbeitsgang.	RUNNING:G407-E0071@1|RUNNING:G407-E0071@2|RUNNING:G407-E0071@3|RUNNING:G407-E0071@4	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
34	G407-E0073	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	cphesaiin	5	1	S	S_SOURCE_SORT_OUT	3	3	Entnimm das Arbeitsgut und die Portion. Bringe auf Grad I ein. Sondere das Flüssigkeitsmaß aus.	RUNNING:G407-E0073@1|RUNNING:G407-E0073@2|RUNNING:G407-E0073@3|RUNNING:G407-E0073@4|RUNNING:G407-E0073@5	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
35	G407-E0074	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	ols	2	1	S	S_SOURCE_SORT_OUT	2	2	Fahre im selben Arbeitsgang fort. Sondere das Material aus.	RUNNING:G407-E0074@1|RUNNING:G407-E0074@2	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
36	G407-E0076	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	ytain	3	1	T	T_SOURCE_FIX	1	1	Lege das Arbeitsgut und die Portion fest.	RUNNING:G407-E0076@1|RUNNING:G407-E0076@2|RUNNING:G407-E0076@3	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
37	G407-E0077	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	shoshy	4	2	SH	SH_SOURCE_REST	2	2	Lass das Arbeitsgut in Arbeitsform ruhen. Lass das Arbeitsgut ruhen.	RUNNING:G407-E0077@1|RUNNING:G407-E0077@2|RUNNING:G407-E0077@3|RUNNING:G407-E0077@4	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
38	G407-E0079	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	es	2	1	S	S_SOURCE_SORT_OUT	1	1	Sondere das Material auf Grad I aus.	RUNNING:G407-E0079@1|RUNNING:G407-E0079@2	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
39	G407-E0080	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	oksho	3	1	SH	SH_SOURCE_REST	2	2	Setze an. Lass das Arbeitsgut in Arbeitsform ruhen.	RUNNING:G407-E0080@1|RUNNING:G407-E0080@2|RUNNING:G407-E0080@3	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
40	G407-E0081	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	kshoy	4	1	SH	SH_SOURCE_REST	2	2	Gib zu. Lass das Arbeitsgut in Arbeitsform und entlang des Arbeitswegs ruhen.	RUNNING:G407-E0081@1|RUNNING:G407-E0081@2|RUNNING:G407-E0081@3|RUNNING:G407-E0081@4	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
41	G407-E0085	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	shodain	4	1	SH	SH_SOURCE_REST	1	1	Lass die Portion in Arbeitsform und an der Arbeitsstelle ruhen.	RUNNING:G407-E0085@1|RUNNING:G407-E0085@2|RUNNING:G407-E0085@3|RUNNING:G407-E0085@4	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
42	G407-E0086	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	sckhey	5	1	S	S_SOURCE_SORT_OUT	3	3	Sondere das Material aus. Entnimm. Gib das Arbeitsgut und das Flüssigkeitsmaß auf Grad I zu.	RUNNING:G407-E0086@1|RUNNING:G407-E0086@2|RUNNING:G407-E0086@3|RUNNING:G407-E0086@4|RUNNING:G407-E0086@5	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
43	G407-E0088	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	shoy	3	1	SH	SH_SOURCE_REST	1	1	Lass das Arbeitsgut in Arbeitsform ruhen.	RUNNING:G407-E0088@1|RUNNING:G407-E0088@2|RUNNING:G407-E0088@3	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
44	G407-E0092	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	cphodaiils	7	1	S	S_SOURCE_SORT_OUT	3	3	Entnimm. Bringe in Arbeitsform und an der Arbeitsstelle ein. Sondere das Flüssigkeitsmaß über den Arbeitskontakt aus.	RUNNING:G407-E0092@1|RUNNING:G407-E0092@2|RUNNING:G407-E0092@3|RUNNING:G407-E0092@4|RUNNING:G407-E0092@5|RUNNING:G407-E0092@6|RUNNING:G407-E0092@7	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
45	G407-E0093	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	cthey	4	1	T	T_SOURCE_FIX	2	2	Entnimm. Lege das Arbeitsgut auf Grad I fest.	RUNNING:G407-E0093@1|RUNNING:G407-E0093@2|RUNNING:G407-E0093@3|RUNNING:G407-E0093@4	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
46	G407-E0094	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	sho	2	1	SH	SH_SOURCE_REST	1	1	Lass die Portion und das Flüssigkeitsmaß in Arbeitsform und an der Arbeitsstelle ruhen.	RUNNING:G407-E0094@1|RUNNING:G407-E0094@2	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
47	G407-E0102	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	chdy	2	1	CHD	CHD_REST_PROCESS	1	1	Bearbeite das Arbeitsgut.	RUNNING:G407-E0102@1|RUNNING:G407-E0102@2	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
48	G407-E0105	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	cthy	3	1	T	T_SOURCE_FIX	2	2	Entnimm. Lege das Arbeitsgut fest.	RUNNING:G407-E0105@1|RUNNING:G407-E0105@2|RUNNING:G407-E0105@3	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
49	G407-E0108	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	shckhey	5	1	SH	SH_SOURCE_REST	3	3	Lass das Arbeitsgut ruhen. Entnimm. Gib das Arbeitsgut in Arbeitsform und auf Grad I zu.	RUNNING:G407-E0108@1|RUNNING:G407-E0108@2|RUNNING:G407-E0108@3|RUNNING:G407-E0108@4|RUNNING:G407-E0108@5	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
50	G407-E0112	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	shey	3	1	SH	SH_SOURCE_REST	1	1	Lass das Arbeitsgut auf Grad I ruhen.	RUNNING:G407-E0112@1|RUNNING:G407-E0112@2|RUNNING:G407-E0112@3	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
51	G407-E0118	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	sho	2	1	SH	SH_CH_BRIDGE_HOLD	1	1	Halte den Zustand in Arbeitsform.	RUNNING:G407-E0118@1|RUNNING:G407-E0118@2	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
52	G407-E0120	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	shodan	4	1	SH	SH_SOURCE_REST	1	1	Lass das Arbeitsgut in Arbeitsform, in der bezeichneten Art und an der Arbeitsstelle ruhen.	RUNNING:G407-E0120@1|RUNNING:G407-E0120@2|RUNNING:G407-E0120@3|RUNNING:G407-E0120@4	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
53	G407-E0121	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	kshy	3	1	SH	SH_SOURCE_REST	2	2	Gib zu. Lass das Arbeitsgut ruhen.	RUNNING:G407-E0121@1|RUNNING:G407-E0121@2|RUNNING:G407-E0121@3	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
54	G407-E0126	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	sho	2	1	SH	SH_SOURCE_REST	1	1	Lass das Arbeitsgut in Arbeitsform ruhen.	RUNNING:G407-E0126@1|RUNNING:G407-E0126@2	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
55	G407-E0129	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	tchey	4	1	T	T_SOURCE_FIX	2	2	Lege die Arbeitsbedingung fest. Entnimm das Arbeitsgut auf Grad I.	RUNNING:G407-E0129@1|RUNNING:G407-E0129@2|RUNNING:G407-E0129@3|RUNNING:G407-E0129@4	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
