rule_disposition_ordinal	gdt583_rule_id	gdt584_rule_id	disposition	occurrence_count	registers	event_examples	gdt584_working_default_de	gdt584_concrete_sense_de	rationale	guard
11	SH_CH_BRIDGE_HOLD	SH_CH_BRIDGE_HOLD	RETAINED	12	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	G407-E0068|G407-E0118|G407-E0200|G407-E0298|G407-E0494|G407-E0682|G407-E1077|G407-E1963|G407-E2361|G407-E2533|G407-E3497|G407-E3858	Halte	das vom Entnehmen übernommene Argument halten	GDT583 occurrence sense retained; only the reader renderer changes	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
12	SH_HP_EXTRACT_STEEP	SH_HP_EXTRACT_STEEP	RETAINED	17	HERBAL|PHARMA	G407-E0310|G407-E0318|G407-E0389|G407-E0566|G407-E0597|G407-E3894|G407-E3934|G407-E3976|G407-E4035|G407-E4037|G407-E4045|G407-E4237|G407-E4406|G407-E4449|G515-E0094|G515-E0097|G515-E0126	Lass den Auszug ziehen	Pflanzen- oder Drogengut im Auszug ziehen lassen	GDT583 occurrence sense retained; only the reader renderer changes	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
13	SH_HP_SOAK	SH_HP_SOAK	RETAINED	35	HERBAL|PHARMA	G407-E0312|G407-E0400|G407-E0434|G407-E0683|G407-E3796|G407-E3870|G407-E3872|G407-E3978|G407-E4067|G407-E4117|G407-E4144|G407-E4148|G407-E4176|G407-E4196|G407-E4296|G407-E4319|G407-E4333|G407-E4359|G407-E4375|G407-E4463|G407-E4484|G407-E4493|G407-E4495|G407-E4508|G407-E4514|G407-E4533|G407-E4572|G515-E0005|G515-E0058|G515-E0120|G515-E0181|G515-E0186|G515-E0222|G515-E0235|G515-E0248	Weiche ein	Charge oder Portion in Form beziehungsweise auf Stufe einweichen	GDT583 occurrence sense retained; only the reader renderer changes	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
14	SH_HP_SOAK	SH_HP_UNIT_HOLD	NARROWED	5	HERBAL|PHARMA	G407-E0565|G407-E3800|G407-E4042|G407-E4050|G407-E4236	Halte	die Material- oder Arbeitseinheit auf der geschriebenen Stufe halten	OR allein darf im Pharmaregister nicht als einzuweichendes Gefäß gelesen werden	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
15	SH_REST_HOLD	SH_HP_SETTLE_BEFORE_STRAIN	UPGRADED_FROM_BROAD	8	HERBAL|PHARMA	G407-E0582|G407-E0632|G407-E4089|G407-E4110|G407-E4339|G407-E4562|G515-E0112|G515-E0153	Lass stehen oder absetzen	vor dem Abseihen stehen beziehungsweise absetzen lassen	der unmittelbar folgende Seihkopf liefert eine konkrete Prozessrichtung	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
16	SH_REST_HOLD	SH_REST_HOLD	RETAINED	264	BIOLOGICAL|HERBAL|PHARMA	G407-E0216|G407-E0286|G407-E0307|G407-E0308|G407-E0314|G407-E0340|G407-E0341|G407-E0366|G407-E0368|G407-E0371|G407-E0378|G407-E0443|G407-E0470|G407-E0481|G407-E0487|G407-E0492|G407-E0530|G407-E0552|G407-E0568|G407-E0579|G407-E0608|G407-E0610|G407-E0651|G407-E0666|G407-E0669|G407-E0677|G407-E0736|G407-E0813|G407-E0839|G407-E0850|G407-E0868|G407-E0895|G407-E1435|G407-E1466|G407-E1478|G407-E1532|G407-E1541|G407-E1547|G407-E1567|G407-E1639|G407-E1655|G407-E1657|G407-E1815|G407-E1826|G407-E1835|G407-E1839|G407-E1840|G407-E1845|G407-E1852|G407-E1855|G407-E1857|G407-E1862|G407-E1865|G407-E1888|G407-E1890|G407-E1901|G407-E1909|G407-E1911|G407-E1924|G407-E1936|G407-E1939|G407-E1947|G407-E1955|G407-E1973|G407-E1978|G407-E1989|G407-E1993|G407-E2005|G407-E2006|G407-E2007|G407-E2010|G407-E2018|G407-E20	Halte	Zustand oder Argument halten	GDT583 occurrence sense retained; only the reader renderer changes	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
17	SH_SOURCE_REST	SH_SOURCE_REST	RETAINED	110	SOURCE_SECTION_T	G407-E0005|G407-E0006|G407-E0010|G407-E0017|G407-E0023|G407-E0026|G407-E0046|G407-E0048|G407-E0051|G407-E0054|G407-E0055|G407-E0056|G407-E0066|G407-E0077|G407-E0080|G407-E0081|G407-E0085|G407-E0088|G407-E0094|G407-E0108|G407-E0112|G407-E0120|G407-E0121|G407-E0126|G407-E0131|G407-E0132|G407-E0137|G407-E0138|G407-E0139|G407-E0146|G407-E0153|G407-E0161|G407-E0162|G407-E0164|G407-E0165|G407-E0175|G407-E0178|G407-E0183|G407-E0190|G407-E0201|G515-E0305|G515-E0310|G515-E0317|G515-E0318|G515-E0328|G515-E0343|G515-E0355|G515-E0357|G515-E0362|G515-E0366|G515-E0368|G515-E0370|G515-E0374|G515-E0378|G515-E0379|G515-E0382|G515-E0383|G515-E0386|G515-E0387|G515-E0388|G515-E0393|G515-E0401|G515-E0415|G515-E0424|G515-E0427|G515-E0428|G515-E0431|G515-E0434|G515-E0436|G515-E0444|G515-E0445|G515-E0447|G515-E04	Lass ruhen	Arbeitsgut oder Ansatz ruhen lassen	GDT583 occurrence sense retained; only the reader renderer changes	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
18	S_BIO_CHD_CARRIER_SELECT	S_BIO_CHD_CARRIER_SELECT	RETAINED	1	BIOLOGICAL	G407-E1883	Wähle aus	Stationsansatz auswählen	GDT583 occurrence sense retained; only the reader renderer changes	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
19	S_BIO_DIVERT	S_BIO_DIVERT	RETAINED	44	BIOLOGICAL	G407-E1502|G407-E1542|G407-E1588|G407-E1623|G407-E1818|G407-E1891|G407-E1934|G407-E1945|G407-E1962|G407-E1965|G407-E2224|G407-E2328|G407-E2339|G407-E2411|G407-E2457|G407-E2559|G407-E2592|G407-E2659|G407-E2666|G407-E2690|G407-E2707|G407-E2753|G407-E2858|G407-E2868|G407-E2920|G407-E2939|G407-E3129|G407-E3145|G407-E3215|G407-E3272|G407-E3321|G407-E3369|G407-E3469|G407-E3568|G407-E3571|G407-E3573|G407-E3620|G407-E3649|G407-E3697|G407-E3766|P912-E0848|P912-E0856|P912-E1398|P912-E1731	Leite um	Fluss oder Anwendung zwischen Stationen umleiten	GDT583 occurrence sense retained; only the reader renderer changes	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
20	S_CELESTIAL_SELECT	S_CELESTIAL_SELECT	RETAINED	91	CELESTIAL	G407-E0903|G407-E0906|G407-E0910|G407-E0914|G407-E0919|G407-E0924|G407-E0925|G407-E0929|G407-E0930|G407-E0942|G407-E0945|G407-E0946|G407-E0958|G407-E0960|G407-E0968|G407-E0969|G407-E0974|G407-E0979|G407-E0981|G407-E0990|G407-E1001|G407-E1004|G407-E1006|G407-E1017|G407-E1018|G407-E1020|G407-E1037|G407-E1094|G407-E1110|G407-E1127|G407-E1158|G407-E1163|G407-E1169|G407-E1206|G407-E1208|G407-E1243|G407-E1257|G407-E1259|G407-E1283|G407-E1290|G407-E1291|G407-E1292|G407-E1319|G407-E1325|G407-E1329|G407-E1334|G407-E1339|G407-E1371|G407-E1372|G407-E1374|G407-E1393|G407-E1411|G407-E1416|P912-E1750|P912-E1753|P912-E1754|P912-E1756|P912-E1759|P912-E1765|P912-E1773|P912-E1775|P912-E1776|P912-E1879|P912-E1889|P912-E1893|P912-E1895|P912-E1899|P912-E1901|P912-E1981|P912-E1986|P912-E1996|P912-E2007|P912-E20	Wähle aus	Sektor, Position oder Tabellenwert auswählen	GDT583 occurrence sense retained; only the reader renderer changes	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
21	S_HP_SEPARATE	S_HP_SEPARATE	RETAINED	15	HERBAL|PHARMA	G407-E0352|G407-E0384|G407-E0386|G407-E0440|G407-E0502|G407-E0616|G407-E0799|G407-E0820|G407-E0898|G407-E3849|G407-E3860|G407-E3907|G407-E4129|G407-E4208|P1008-E1298	Trenne ab	Pflanzen- oder Drogencharge abtrennen	GDT583 occurrence sense retained; only the reader renderer changes	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
22	S_HP_SIEVE	S_HP_SIEVE	RETAINED	12	HERBAL|PHARMA	G407-E0244|G407-E0296|G407-E0461|G407-E0510|G407-E0652|G407-E3815|G407-E3934|G407-E4457|G407-E4544|G515-E0065|P912-E2419|P912-E2460	Siebe	Portion, Einheit oder Feinform sieben	GDT583 occurrence sense retained; only the reader renderer changes	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
23	S_HP_SIEVE	S_HP_STAGE_SEPARATE	REVERTED_TO_BROAD	1	HERBAL	G515-E0243	Sondere aus	nach der geschriebenen Verarbeitungsstufe aussondern	IIN plus entferntes OR lizenziert kein konkretes Siebobjekt	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
24	S_HP_SIEVE	S_HP_STRAIN_AFTER_WET_STEP	NARROWED	3	HERBAL|PHARMA	G407-E3903|G407-E4069|G407-E4407	Seihe ab	den unmittelbar zuvor gezogenen oder eingeweichten Auszug abseihen	unmittelbarer Nassablauf hat Vorrang vor der breiteren Sieblesung	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
25	S_HP_STRAIN	S_HP_SIEVE_DIRECT_PORTION	NARROWED	1	PHARMA	G407-E4226	Siebe	die direkt gehostete Pflanzenportion sieben	direktes AIN schlägt entferntes AIIN ohne unmittelbar nassen Vorgänger	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
26	S_HP_STRAIN	S_HP_STRAIN	RETAINED	33	HERBAL|PHARMA	G407-E0360|G407-E0586|G407-E0636|G407-E0708|G407-E0768|G407-E0792|G407-E3812|G407-E3829|G407-E3862|G407-E3937|G407-E3959|G407-E4057|G407-E4090|G407-E4112|G407-E4124|G407-E4202|G407-E4285|G407-E4291|G407-E4335|G407-E4340|G407-E4378|G407-E4381|G407-E4439|G407-E4526|G407-E4555|G407-E4563|G515-E0113|G515-E0123|G515-E0154|G515-E0162|G515-E0172|G515-E0193|G515-E0197	Seihe ab	Auszug oder abgemessene Flüssigkeit abseihen	GDT583 occurrence sense retained; only the reader renderer changes	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
27	S_REST_SELECT	S_HP_TAKE_OFF_AFTER_WET_STEP	UPGRADED_FROM_BROAD	2	HERBAL|PHARMA	G407-E4147|G515-E0131	Nimm oder sondere ab	nach dem Nassschritt den abgesetzten Anteil abnehmen oder absondern	unmittelbarer Nassvorgänger stützt Abnehmen statt beliebiges Auswählen	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
28	S_REST_SELECT	S_REST_SELECT	RETAINED	160	BIOLOGICAL|HERBAL|PHARMA	G407-E0315|G407-E0390|G407-E0430|G407-E0475|G407-E0495|G407-E0500|G407-E0505|G407-E0623|G407-E0627|G407-E0628|G407-E0643|G407-E0701|G407-E0802|G407-E0866|G407-E0875|G407-E0891|G407-E1435|G407-E1486|G407-E1523|G407-E1553|G407-E1556|G407-E1628|G407-E1634|G407-E1638|G407-E1716|G407-E1731|G407-E1782|G407-E1803|G407-E1814|G407-E1842|G407-E1843|G407-E1855|G407-E1897|G407-E1944|G407-E1976|G407-E2022|G407-E2031|G407-E2087|G407-E2124|G407-E2164|G407-E2166|G407-E2168|G407-E2204|G407-E2220|G407-E2249|G407-E2280|G407-E2305|G407-E2315|G407-E2319|G407-E2355|G407-E2377|G407-E2393|G407-E2399|G407-E2439|G407-E2440|G407-E2470|G407-E2549|G407-E2561|G407-E2568|G407-E2686|G407-E2691|G407-E2701|G407-E2706|G407-E2712|G407-E2755|G407-E2760|G407-E2771|G407-E2803|G407-E2813|G407-E2882|G407-E2889|G407-E2908|G407-E29	Wähle aus	Material, Station oder Arbeitsschritt auswählen	GDT583 occurrence sense retained; only the reader renderer changes	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
29	S_SOURCE_SORT_OUT	S_SOURCE_SORT_OUT	RETAINED	39	SOURCE_SECTION_T	G407-E0001|G407-E0007|G407-E0011|G407-E0018|G407-E0022|G407-E0028|G407-E0031|G407-E0040|G407-E0052|G407-E0064|G407-E0066|G407-E0073|G407-E0074|G407-E0079|G407-E0086|G407-E0092|G407-E0144|G407-E0151|G407-E0164|G515-E0306|G515-E0308|G515-E0309|G515-E0321|G515-E0364|G515-E0450|G515-E0460|G515-E0479|G515-E0492|G515-E0502|G515-E0534|G515-E0255|G515-E0259|G515-E0260|G515-E0262|G515-E0265|G515-E0267|G515-E0271|G515-E0287|G515-E0596	Sondere aus	Arbeitsgut oder Wert aussondern	GDT583 occurrence sense retained; only the reader renderer changes	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
30	T_AFTER_SH_COOL	T_AFTER_SH_COOL	RETAINED	11	BIOLOGICAL|HERBAL|PHARMA	G407-E0314|G407-E1655|G407-E1742|G407-E1758|G407-E2452|G407-E2471|G407-E3013|G407-E3109|G407-E4163|G515-E0014|G515-E0037	Kühle ab	nach dem Halte-, Zieh- oder Badschritt abkühlen	GDT583 occurrence sense retained; only the reader renderer changes	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
31	T_AFTER_SH_COOL	T_BIO_RELATION_REGULATE	NARROWED	1	BIOLOGICAL	G407-E3488	Reguliere	vom Ausgangsbecken her regulieren, ohne unbelegtes Abkühlobjekt	T hostet nur AR; der SH→T-Pfeil reicht hier nicht für Abkühlen	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
32	T_BIO_STATION_REGULATE	T_BIO_STATION_REGULATE	REPHRASED	52	BIOLOGICAL	G407-E1446|G407-E1474|G407-E1479|G407-E1495|G407-E1635|G407-E1665|G407-E1670|G407-E2402|G407-E2546|G407-E2594|G407-E2633|G407-E2698|G407-E2709|G407-E2741|G407-E2762|G407-E2796|G407-E2815|G407-E2882|G407-E2893|G407-E2901|G407-E2902|G407-E2965|G407-E3061|G407-E3065|G407-E3129|G407-E3138|G407-E3159|G407-E3162|G407-E3211|G407-E3243|G407-E3265|G407-E3440|G407-E3455|G407-E3523|G407-E3543|G407-E3569|G407-E3585|G407-E3590|G407-E3592|G407-E3593|G407-E3597|G407-E3603|G407-E3608|G407-E3610|G407-E3659|G407-E3665|G407-E3669|G407-E3670|G407-E3683|G407-E3758|G407-E3794|G407-E3795	Reguliere	Bad-, Becken- oder Stationsbedingung regulieren	eingebautes Stationsnomen entfernt; der Host liefert Ort oder Objekt	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
33	T_BIO_STATION_REGULATE	T_BIO_STATION_REGULATE	RETAINED	2	BIOLOGICAL	P912-E0854|P912-E1718	Reguliere die Station	Bad-, Becken- oder Stationsbedingung regulieren	GDT583 occurrence sense retained; only the reader renderer changes	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
34	T_CELESTIAL_SET	T_CELESTIAL_SET	REPHRASED	38	CELESTIAL	G407-E0934|G407-E0935|G407-E0941|G407-E0955|G407-E0959|G407-E0963|G407-E0966|G407-E0983|G407-E1001|G407-E1029|G407-E1035|G407-E1037|G407-E1041|G407-E1042|G407-E1063|G407-E1069|G407-E1089|G407-E1108|G407-E1110|G407-E1138|G407-E1152|G407-E1180|G407-E1182|G407-E1188|G407-E1191|G407-E1217|G407-E1230|G407-E1261|G407-E1262|G407-E1277|G407-E1281|G407-E1295|G407-E1308|G407-E1315|G407-E1342|G407-E1372|G407-E1384|G407-E1420	Stelle ein	Ringposition oder Tabellenwert einstellen	eingebautes Objektnomen entfernt; der feste Host liefert das Objekt	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
35	T_CELESTIAL_SET	T_CELESTIAL_SET	RETAINED	35	CELESTIAL	P912-E1762|P912-E1840|P912-E1880|P912-E1881|P912-E1888|P912-E1890|P912-E1980|P912-E2012|P912-E2015|P912-E2020|P912-E2035|P912-E2062|P912-E2098|P912-E2104|P912-E2117|P912-E2119|P912-E2166|P912-E2168|P912-E2177|P912-E2183|P912-E2214|P912-E2234|P912-E2236|P912-E2240|P912-E2244|P912-E2245|P912-E2246|P912-E2268|P912-E2309|P912-E2316|P912-E2318|P912-E2320|P912-E2354|P1008-E0457	Stelle die Ringposition ein	Ringposition oder Tabellenwert einstellen	GDT583 occurrence sense retained; only the reader renderer changes	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
36	T_HP_BEFORE_CHD_DRY	T_HP_BEFORE_CHD_DRY	RETAINED	2	HERBAL	G407-E4476|G407-E4490	Trockne	vor dem Aufarbeiten oder Zerreiben trocknen	GDT583 occurrence sense retained; only the reader renderer changes	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
37	T_HP_BEFORE_CHD_DRY	T_HP_LIQUID_TEMPER	NARROWED	1	HERBAL	G407-E4570	Temperiere	den nachfolgenden flüssigen Auszug temperieren und weiterbearbeiten	das folgende CHD hostet AIIN und ist kein trockener Mahlkopf	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
38	T_HP_BEFORE_SH_WARM	T_HP_BEFORE_SH_WARM	RETAINED	10	HERBAL	G407-E0307|G407-E0366|G407-E0487|G407-E4469|G407-E4496|G407-E4504|G407-E4560|G515-E0092|G515-E0099|G515-E0188	Erwärme	vor dem Ziehen- oder Halteschritt erwärmen	GDT583 occurrence sense retained; only the reader renderer changes	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
39	T_HP_FORM_SET	T_HP_FORM_SET	REPHRASED	13	HERBAL|PHARMA	G407-E0217|G407-E0224|G407-E0247|G407-E0297|G407-E0315|G407-E0641|G407-E0753|G407-E0885|G407-E4015|G407-E4051|G407-E4264|G515-E0009|G515-E0042	Bringe in Form oder stelle die Stufe ein	Zubereitungsform oder Verarbeitungsstufe einstellen	Form und Stufe werden als Argumente natürlich in die Verbklammer gesetzt	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
40	T_HP_MEASURE_SET	T_HP_MEASURE_SET	REPHRASED	19	HERBAL|PHARMA	G407-E0261|G407-E0265|G407-E0295|G407-E0514|G407-E0528|G407-E0547|G407-E0553|G407-E0578|G407-E0598|G407-E0599|G407-E0728|G407-E0745|G407-E4098|G407-E4161|G407-E4419|G407-E4437|G407-E4519|G407-E4529|G407-E4534	Stelle ein	Maß, Anteil, Einheit oder Arbeitsort einstellen	eingebautes Objektnomen entfernt; der feste Host liefert das Objekt	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
