event_serial	event_id	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	surface_display	semantic_segmentation	stable_concrete_nucleus_de	concrete_word_reading_de	contextual_event_reading_de	statement_continuation	previous_semantic_segmentation	previous_stable_concrete_nucleus_de	previous_concrete_word_reading_de	previous_contextual_event_reading_de	paradigm_revision	revision_strength	component_completion_previous_segmentation	component_completion_previous_nucleus_de	component_completion_previous_gloss_de	component_completion_previous_context_de	component_completion_source	component_completion_strength	direction_previous_segmentation	direction_previous_nucleus_de	direction_previous_gloss_de	direction_previous_context_de	direction_revision_source	direction_revision_strength	quantity_previous_segmentation	quantity_previous_nucleus_de	quantity_previous_gloss_de	quantity_previous_context_de	quantity_revision_source	quantity_revision_strength	workshop_slots	state_endpoint_previous_segmentation	state_endpoint_previous_nucleus_de	state_endpoint_previous_gloss_de	state_endpoint_previous_context_de	state_endpoint_revision_family	state_endpoint_revision_strength	filtration_previous_segmentation	filtration_previous_nucleus_de	filtration_previous_gloss_de	filtration_previous_context_de	filtration_revision_family	filtration_revision_strength	application_previous_segmentation	application_previous_nucleus_de	application_previous_gloss_de	application_previous_context_de	application_revision_family	application_revision_strength	r3_previous_segmentation	r3_previous_nucleus_de	r3_previous_gloss_de	r3_previous_context_de	r3_revision_family	r3_revision_strength	r3_revision_note
11	E011	H1	f10r	f10r.5	F002	H1-S002	9ad66e67803a12e745de	qokchy	OK+CHY_WRAPPED_CURRENT_ITEM	OK=in Arbeit setzen; CHY=umhüllter aktueller Posten	den laufenden Posten einsetzen	Den laufenden Posten einsetzen	LOCAL_SEQUENCE	okchy=frischer Auszug	frischer Auszug	frischer Auszug	Nimm erneut von dem frischen ersten Auszug	OK_PARADIGM	CLOSED_RENDERER_PAIR	OK+CHY[Y]	OK=in den laufenden Arbeitsgang setzen; aktueller Ansatz	aktuellen Ansatz in Arbeit nehmen oder anwenden	Aktuellen Ansatz in Arbeit nehmen oder anwenden	Y_CHY	SELECTED_PRODUCTIVE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OWNER_ITEM+OPERATION	OK+CHY[wrapped Y_REFERENT]	OK=in Arbeit setzen; CHY=umhüllter Verweis auf den laufenden Posten	den laufenden Posten anwenden oder in Arbeit nehmen	Den laufenden Posten anwenden oder in Arbeit nehmen	OK_STATE_GRID	SELECTED_RECURRENT_WRAPPED_BASE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OK+CHY_WRAPPED_CURRENT_ITEM	OK=in Arbeit setzen; CHY=umhüllter aktueller Posten	den laufenden Posten einsetzen	Den laufenden Posten einsetzen	UNCHANGED	UNCHANGED	NOT_APPLICABLE
12	E012	H1	f10r	f10r.5	F002	H1-S002	e8a6105b5c3a6220b440	qotchol	qotchol=gelind erwärmen	gelind erwärmen	gelind erwärmen	Erwärme ihn gelinde	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OPERATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	qotchol=gelind erwärmen	gelind erwärmen	gelind erwärmen	Erwärme ihn gelinde	UNCHANGED	UNCHANGED	NOT_APPLICABLE
13	E013	H1	f10r	f10r.5	F002	H1-S002	dcda95c81a5460feb191	chol	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OPERATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	UNCHANGED	UNCHANGED	NOT_APPLICABLE
14	E014	H1	f10r	f10r.5	F002	H1-S002	e0b630cb1b5df5e7105b	cthy	CTHY_READY_CARD	CTHY=gebrauchsfertig	gebrauchsfertig	Gebrauchsfertig	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	STATE_GRADE	cthy=bereit	bereit	bereit	Sobald er zum Gebrauch bereit ist, gebrauche ihn	CTH_READY_GRID	SELECTED_RECURRENT					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	CTHY_READY_CARD	CTHY=gebrauchsfertig	gebrauchsfertig	Gebrauchsfertig	UNCHANGED	UNCHANGED	NOT_APPLICABLE
15	E015	H2	f10r	f10r.6	F003	H2-S001	7249edc4df3419c26999	ycheor	ycheor=Pflanzenspitzen	Pflanzenspitzen	Pflanzenspitzen	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OWNER_ITEM					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ycheor=Pflanzenspitzen	Pflanzenspitzen	Pflanzenspitzen	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze	UNCHANGED	UNCHANGED	NOT_APPLICABLE
16	E016	H2	f10r	f10r.6	F003	H2-S001	e0b630cb1b5df5e7105b	cthy	CTHY_READY_CARD	CTHY=gebrauchsfertig	gebrauchsfertig	Gebrauchsfertig	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	STATE_GRADE	cthy=bereit	bereit	bereit	Sammle sie, wenn sie sich eben öffnen	CTH_READY_GRID	SELECTED_RECURRENT					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	CTHY_READY_CARD	CTHY=gebrauchsfertig	gebrauchsfertig	Gebrauchsfertig	UNCHANGED	UNCHANGED	NOT_APPLICABLE
17	E017	H2	f10r	f10r.6	F003	H2-S001	7a4bb8136330ee4e6e56	chor	OR_BATCH	OR=Ansatz	Ansatz	Ansatz	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	or=Zubereitung	Zubereitung	Zubereitung	Führe sie als frischen Ansatz	PREPARATION_CORE	SELECTED_RECURRENT	PREPARATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OR_PREPARATION	OR=Zubereitung	Zubereitung	Zubereitung	OR_BATCH	SELECTED_RECURRENT_CORE	Seven events span Herbal and apparatus records; ANSATZ survives all contexts.
18	E018	H2	f10r	f10r.6	F003	H2-S001	f3c23f42baf625639e1e	cthaiin	cthaiin=Kraut zerstoßen	Kraut zerstoßen	Kraut zerstoßen	Zerstoße das Kraut	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OPERATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	cthaiin=Kraut zerstoßen	Kraut zerstoßen	Kraut zerstoßen	Zerstoße das Kraut	UNCHANGED	UNCHANGED	NOT_APPLICABLE
19	E019	H2	f10r	f10r.6	F003	H2-S001	af816c04e65874a0f2fa	qoctholy	QOCTHOLY_PRESS_WHOLE_CARD	QOCTHOLY=abpressen	abpressen	Abpressen	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OPERATION					UNCHANGED	UNCHANGED	qoctholy=durch Tuch	durch Tuch	durch Tuch	Presse den Saft durch ein Tuch	SEPARATION_NOMENCLATOR	SELECTED_SINGLETON_WHOLE_CARD					UNCHANGED	UNCHANGED	QOCTHOLY_PRESS_WHOLE_CARD	QOCTHOLY=abpressen	abpressen	Abpressen	UNCHANGED	UNCHANGED	NOT_APPLICABLE
20	E020	H2	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	dy	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED	y=Ansatz	Ansatz	Ansatz	Fange die erste Fraktion auf	Y_CHY	SELECTED_PRODUCTIVE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OWNER_ITEM	Y_REFERENT_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	der laufende Posten; dies oder es	Der laufende Posten; dies oder es	Y_REFERENT	SELECTED_STRONG					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	UNCHANGED	UNCHANGED	NOT_APPLICABLE
21	E021	H2	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	chy	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED	y=Ansatz	Ansatz	Ansatz	Gib Olivenöl hinzu	Y_CHY	SELECTED_PRODUCTIVE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OWNER_ITEM	Y_REFERENT_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	der laufende Posten; dies oder es	Der laufende Posten; dies oder es	Y_REFERENT	SELECTED_STRONG					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	UNCHANGED	UNCHANGED	NOT_APPLICABLE
22	E022	H2	f10r	f10r.6	F003	H2-S001	2f1c5e56e8f0ff459065	taiin	AIIN_MEASURE	AIIN=vorgeschriebenes Maß	vorgeschriebenes Maß	Vorgeschriebenes Maß	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	aiin=Maß	Maß	Maß	Nimm das örtlich vorgeschriebene Maß	MEASURE_CORE	SELECTED_STRONG	QUANTITY					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	AIIN_MEASURE	AIIN=vorgeschriebenes Maß	vorgeschriebenes Maß	Vorgeschriebenes Maß	UNCHANGED	UNCHANGED	NOT_APPLICABLE
23	E023	H2	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	shy	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED	y=Ansatz	Ansatz	Ansatz	Erwärme gelinde	Y_CHY	SELECTED_PRODUCTIVE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OWNER_ITEM	Y_REFERENT_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	der laufende Posten; dies oder es	Der laufende Posten; dies oder es	Y_REFERENT	SELECTED_STRONG					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	Y_CURRENT_ITEM_CARD	Y=aktuell gemeinter Arbeitsposten; dies/es	dieser Arbeitsposten	Dieser Arbeitsposten	UNCHANGED	UNCHANGED	NOT_APPLICABLE
24	E024	H2	f10r	f10r.8	F004	H2-S002	10488b911aae52b3b334	qotchor	OT_NEXT+OR_BATCH	OT=nächster; OR=Ansatz	der nächste Ansatz	Der nächste Ansatz	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	otchor=zweite Auswahl	zweite Auswahl	zweite Auswahl	Nimm vor voller Blüte eine zweite Portion der Spitzen	RECURRENT_COMPOSITION	SELECTED_RECURRENT_COMPOSITION	Q_RENDERER+OT+CH_RENDERER+OR_PREPARATION	OT=nächste; OR=Zubereitung	die nächste Zubereitung	Die nächste Zubereitung	PREPARATION_COMPOSITION	SELECTED_RECURRENT	PREPARATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OT+OR_PREPARATION	OT=nächste; OR=Zubereitung	die nächste Zubereitung	Die nächste Zubereitung	OR_BATCH	SELECTED_RECURRENT_COMPOSITION	Two Herbal events preserve the next-batch composition.
25	E025	H2	f10r	f10r.8	F004	H2-S002	7a4bb8136330ee4e6e56	chor	OR_BATCH	OR=Ansatz	Ansatz	Ansatz	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	or=Zubereitung	Zubereitung	Zubereitung	Führe den ersten Ansatz weiter	PREPARATION_CORE	SELECTED_RECURRENT	PREPARATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OR_PREPARATION	OR=Zubereitung	Zubereitung	Zubereitung	OR_BATCH	SELECTED_RECURRENT_CORE	Seven events span Herbal and apparatus records; ANSATZ survives all contexts.
26	E026	H2	f10r	f10r.8	F004	H2-S002	497cbd9c7401810ff56b	otol	OT+OL	OT=danach; OL=weiter	danach weiter	Danach weiter	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	otol=Handvoll	Handvoll	Handvoll	Nimm eine Handvoll	ORDER_COMPOSITION	SELECTED_SINGLETON_PREDICTION	OPERATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OT+OL	OT=danach; OL=weiter	danach weiter	Danach weiter	UNCHANGED	UNCHANGED	NOT_APPLICABLE
27	E027	H2	f10r	f10r.8	F004	H2-S002	dcda95c81a5460feb191	chol	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OPERATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	UNCHANGED	UNCHANGED	NOT_APPLICABLE
28	E028	H2	f10r	f10r.8	F004	H2-S002	dec401773c1f0347793d	cholor	OL_CONTINUE+OR_BATCH	OL=mit dem vorigen; OR=Ansatz	mit dem vorigen Ansatz	Mit dem vorigen Ansatz	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ol=weiter + or=Zubereitung	weiter + Zubereitung	vorige Zubereitung	Nimm den vorherigen Posten hinzu	PREPARATION_COMPOSITION	SELECTED_RECURRENT	PREPARATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OL+OR_PREPARATION	OL=mit dem Vorigen; OR=Zubereitung	mit der vorigen Zubereitung	Mit der vorigen Zubereitung	OR_BATCH	SELECTED_RECURRENT_COMPOSITION	Herbal and Biological events share the previous-batch reading.
29	E029	H2	f10r	f10r.8	F004	H2-S002	dcda95c81a5460feb191	chol	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OPERATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	UNCHANGED	UNCHANGED	NOT_APPLICABLE
30	E030	H2	f10r	f10r.8	F004	H2-S002	2f1c5e56e8f0ff459065	daiin	AIIN_MEASURE	AIIN=vorgeschriebenes Maß	vorgeschriebenes Maß	Vorgeschriebenes Maß	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	aiin=Maß	Maß	Maß	Gib von beiden das gleiche örtliche Maß	MEASURE_CORE	SELECTED_STRONG	QUANTITY					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	AIIN_MEASURE	AIIN=vorgeschriebenes Maß	vorgeschriebenes Maß	Vorgeschriebenes Maß	UNCHANGED	UNCHANGED	NOT_APPLICABLE
31	E031	H2	f10r	f10r.8	F004	H2-S002	4d4559019a961b834aa1	dar	AR_SOURCE	AR=Quelle oder Vorrat; aus/von	aus demselben Vorrat	Aus demselben Vorrat	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ar=aus	aus	aus demselben Ansatz	Vereinige die beiden Fraktionen	DIRECTION_WORKSHOP	SELECTED_RECURRENT					UNCHANGED	UNCHANGED	SOURCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	AR_SOURCE	AR=Quelle oder Vorrat; aus/von	aus demselben Vorrat	Aus demselben Vorrat	UNCHANGED	UNCHANGED	NOT_APPLICABLE
32	E032	H2	f10r	f10r.9	F005	H2-S003	27d97af8c96eb056c2e6	oykchor	oykchor=glasiertes Gefäß	glasiertes Gefäß	glasiertes Gefäß	Gib sie in ein glasiertes Gefäß	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OPERATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	oykchor=glasiertes Gefäß	glasiertes Gefäß	glasiertes Gefäß	Gib sie in ein glasiertes Gefäß	UNCHANGED	UNCHANGED	NOT_APPLICABLE
33	E033	H2	f10r	f10r.9	F005	H2-S003	7a4bb8136330ee4e6e56	shor	OR_BATCH	OR=Ansatz	Ansatz	Ansatz	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	or=Zubereitung	Zubereitung	Zubereitung	Führe die Mischung als Salbenansatz	PREPARATION_CORE	SELECTED_RECURRENT	PREPARATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OR_PREPARATION	OR=Zubereitung	Zubereitung	Zubereitung	OR_BATCH	SELECTED_RECURRENT_CORE	Seven events span Herbal and apparatus records; ANSATZ survives all contexts.
34	E034	H2	f10r	f10r.9	F005	H2-S003	7a4bb8136330ee4e6e56	chor	OR_BATCH	OR=Ansatz	Ansatz	Ansatz	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	or=Zubereitung	Zubereitung	Zubereitung	Der wiederholte Ansatzvermerk bestätigt hier denselben Salbenposten	PREPARATION_CORE	SELECTED_RECURRENT	PREPARATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OR_PREPARATION	OR=Zubereitung	Zubereitung	Zubereitung	OR_BATCH	SELECTED_RECURRENT_CORE	Seven events span Herbal and apparatus records; ANSATZ survives all contexts.
