semantic_level	joint_tuple_id	surface_family	atomic_role	selected_segmentation	selected_nucleus_de	selected_card_reading_de	occurrences	events	statements	pages	records	revision_status	strongest_context_or_counterexample
06_TRANSFER	04a3877f0fc81b7597c9	ldy	WITHDRAW_CLOSE	l=abziehen + dy=Ende	abziehen + Ende	abziehen; Ende	2	E184|E308	B2-S005|B3-S033	f82r|f83r	B2|B3	RETAINED_AUDITED	retained learned transfer close
06_TRANSFER	62ff059766b21c7de083	otytchol	COLLECT	OTYTCHOL_COLLECT_WHOLE_CARD	OTYTCHOL=auffangen	auffangen	1	E007	H1-S001	f10r	H1	RETAINED_AUDITED	operation, not receiver noun
07_CONTAINER	df1098831679a8ad1b39	os	VESSEL	os=Gefäß	Gefäß	Gefäß	1	E005	H1-S001	f10r	H1	RETAINED_AUDITED	generic Herbal vessel
07_CONTAINER	27d97af8c96eb056c2e6	oykchor	GLAZED_VESSEL	oykchor=glasiertes Gefäß	glasiertes Gefäß	glasiertes Gefäß	1	E032	H2-S003	f10r	H2	RETAINED_AUDITED	learned specialist vessel
07_CONTAINER	1779decef17481ec2853	qotedaiin	WIDE_VESSEL	qotedaiin=breites Gefäß	breites Gefäß	breites Gefäß	1	E305	B3-S032	f83r	B3	RETAINED_AUDITED	learned specialist vessel
07_CONTAINER	342c3f0777337648f4b3	cheedar	BASIN_STATION	cheedar=Beckenstation	Beckenstation	Beckenstation	1	E285	B3-S026	f83r	B3	RETAINED_AUDITED	visible-owner station
07_CONTAINER	a7af89ab31ce5e247395	ytey	FILL	YTEY_FILL_WHOLE_CARD	YTEY=füllen	füllen	1	E150	B1-S015	f81v	B1	REVISED_R3	movement; vessel inherited
07_CONTAINER	b38d70daefd663d74625	ly	RECEIVER	LY_RECEIVER_WHOLE_CARD	LY=Empfangsgefäß	Empfangsgefäß	1	E159	B1-S018	f81v	B1	REVISED_R3	container; replaces duplicate fill verb
07_CONTAINER	e2eb77ca9d9e1a8ba29a	qolchey	WORK_BASIN	QOLCHEY_WORK_BASIN_WHOLE_CARD	QOLCHEY=Arbeitsbecken	Arbeitsbecken	1	E316	B4-S002	f83r	B4	REVISED_R3	container; replaces duplicate fill verb
08_COLLECTION_STATION	42cdc187d5b9ffc60063	solkey	BRIEF_COLLECTION	SOLK_COLLECTION+GRADE_1+Y_CURRENT_ITEM	SOLK=Auffangstelle; E=kurz; Y=aktueller Posten	kurz auffangen	1	E356	B4-S015	f83r	B4	RETAINED_AUDITED	SOLK station plus E/Y
08_COLLECTION_STATION	1bfd786e6b8b63734a59	solkeey	SUSTAINED_COLLECTION	SOLK_COLLECTION+GRADE_2+Y_CURRENT_ITEM	SOLK=Auffangstelle; EE=länger; Y=aktueller Posten	länger auffangen	1	E373	B6-S001	f83r	B6	RETAINED_AUDITED	SOLK station plus EE/Y
08_COLLECTION_STATION	3b70942557b3a40e8030	olkeedy|solkeedy	SUSTAINED_COLLECTION_CLOSE	OLK_SOLK_COLLECTION+GRADE_2+DY_CLOSE	OLK~SOLK=Auffangstelle; EE=länger; Endkarte=Schluss	länger auffangen; Schluss	3	E162|E229|E291	B1-S018|B3-S001|B3-S026	f81v|f83r	B1|B3	RETAINED_AUDITED	SOLK station plus EE/DY
08_COLLECTION_STATION	e026af581c99322fbd46	talam	STORE	TALAM_STORE_WHOLE_CARD	TALAM=verwahren	verwahren	1	E063	H4-S002	f55v	H4	RETAINED_AUDITED	retained storage operation
