page	record	locus	field_ordinal	event_count	surface_sequence	executable_atomic_sequence	generic_argument_sequence_German	source_semantic_translation
f55v	1	f55v.5	2	3	daiin chedy talam	UNKNOWN_HOST[AIIN] | VARIANT_D(UNKNOWN_HOST[Y]) | CLOSE_B3(UNKNOWN_HOST[ALA])	<unbekannter Kartenwert AIIN>; <unbekannter Kartenwert Y>; <unbekannter Kartenwert ALA>; SETZE B3-SCHLUSS	UNASSIGNED
f55v	1	f55v.11	1	4	ykaiin cheoar cheeky oldy	UNKNOWN_HOST[YK] + <ARG_AIIN> | UNKNOWN_HOST[O] + <ARG_AR> | UNKNOWN_HOST[EKY] | CLOSE(FRAME_O(LINK))	<unbekannter Kartenwert YK>; <unbekannter Kartenwert O>; <unbekannter Kartenwert EKY>; VERKNUEPFE <lokal gegebenen, inhaltlich unbekannten Anschluss>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f55v	1	f55v.11	2	6	aiin okal oltchy or y orain	UNKNOWN_HOST[AIIN] | SET(<ARG_AL>) | UNKNOWN_HOST[OLTCHY] | UNKNOWN_HOST[OR] | UNKNOWN_HOST[Y] | UNKNOWN_HOST[OR] + <ARG_AIN>	<unbekannter Kartenwert AIIN>; SETZE <formal ausgewiesenes, inhaltlich unbekanntes Argument>; <unbekannter Kartenwert OLTCHY>; <unbekannter Kartenwert OR>; <unbekannter Kartenwert Y>; <unbekannter Kartenwert OR>	UNASSIGNED
f56r	1	f56r.5	1	4	chochor cho chodaly daiin	FRAME_O(UNKNOWN_HOST[CHOR]) | UNKNOWN_HOST[O] | UNKNOWN_HOST[ODALY] | UNKNOWN_HOST[AIIN]	<unbekannter Kartenwert CHOR>; <unbekannter Kartenwert O>; <unbekannter Kartenwert ODALY>; <unbekannter Kartenwert AIIN>	UNASSIGNED
f56r	1	f56r.7	1	5	sho kchol otchor choky dal	UNKNOWN_HOST[O] | UNKNOWN_HOST[KCHOL] | FRAME_OT(UNKNOWN_HOST[CHOR]) | UNKNOWN_HOST[OKY] | UNKNOWN_HOST[AL]	<unbekannter Kartenwert O>; <unbekannter Kartenwert KCHOL>; <unbekannter Kartenwert CHOR>; <unbekannter Kartenwert OKY>; <unbekannter Kartenwert AL>	UNASSIGNED
f56r	1	f56r.8	1	4	schol choy choky cheeckhody	UNKNOWN_HOST[CHOL] | FRAME_O(UNKNOWN_HOST[Y]) | UNKNOWN_HOST[OKY] | CLOSE(UNKNOWN_HOST[ECKHO])	<unbekannter Kartenwert CHOL>; <unbekannter Kartenwert Y>; <unbekannter Kartenwert OKY>; <unbekannter Kartenwert ECKHO>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f56r	1	f56r.12	1	4	sh cho kchey qokokchy	UNKNOWN_HOST[H] | UNKNOWN_HOST[O] | UNKNOWN_HOST[KCHEY] | UNKNOWN_HOST[OKOKCHY]	<unbekannter Kartenwert H>; <unbekannter Kartenwert O>; <unbekannter Kartenwert KCHEY>; <unbekannter Kartenwert OKOKCHY>	UNASSIGNED
f56r	1	f56r.13	1	3	okchy chokcheo kchal	UNKNOWN_HOST[OKCHY] | UNKNOWN_HOST[OKCHEO] | UNKNOWN_HOST[KCH] + <ARG_AL>	<unbekannter Kartenwert OKCHY>; <unbekannter Kartenwert OKCHEO>; <unbekannter Kartenwert KCH>	UNASSIGNED
f56r	1	f56r.18	1	4	sho chokchy kchoar sotodan	UNKNOWN_HOST[O] | UNKNOWN_HOST[OKCHY] | UNKNOWN_HOST[KCHO] + <ARG_AR> | UNKNOWN_HOST[OTODAN]	<unbekannter Kartenwert O>; <unbekannter Kartenwert OKCHY>; <unbekannter Kartenwert KCHO>; <unbekannter Kartenwert OTODAN>	UNASSIGNED
f56r	1	f56r.19	1	3	otchey keol daiin	FRAME_OT(UNKNOWN_HOST[CHEY]) | UNKNOWN_HOST[KEOL] | UNKNOWN_HOST[AIIN]	<unbekannter Kartenwert CHEY>; <unbekannter Kartenwert KEOL>; <unbekannter Kartenwert AIIN>	UNASSIGNED
f81v	1	f81v.2	1	1	qokedy	CLOSE(UNKNOWN_HOST[OKE])	<unbekannter Kartenwert OKE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f81v	1	f81v.2	2	11	okaiin kair okal sar ol kain olkain al ol rol dl	SET(<ARG_AIIN>) | UNKNOWN_HOST[K] + <ARG_AIR> | SET(<ARG_AL>) | UNKNOWN_HOST[AR] | FRAME_O(LINK) | UNKNOWN_HOST[K] + <ARG_AIN> | UNKNOWN_HOST[OLK] + <ARG_AIN> | UNKNOWN_HOST[AL] | FRAME_O(LINK) | UNKNOWN_HOST[ROL] | LINK	SETZE <formal ausgewiesenes, inhaltlich unbekanntes Argument>; <unbekannter Kartenwert K>; SETZE <formal ausgewiesenes, inhaltlich unbekanntes Argument>; <unbekannter Kartenwert AR>; VERKNUEPFE <lokal gegebenen, inhaltlich unbekannten Anschluss>; <unbekannter Kartenwert K>; <unbekannter Kartenwert OLK>; <unbekannter Kartenwert AL>; VERKNUEPFE <lokal gegebenen, inhaltlich unbekannten Anschluss>; <unbekannter Kartenwert ROL>; VERKNUEPFE <lokal gegebenen, inhaltlich unbekannten Anschluss>	UNASSIGNED
f81v	1	f81v.7	1	8	olor ol sheckhal daiin qokeedal daiin chckhy schedy	UNKNOWN_HOST[OLOR] | FRAME_O(LINK) | UNKNOWN_HOST[ECKH] + <ARG_AL> | UNKNOWN_HOST[AIIN] | UNKNOWN_HOST[OKEED] + <ARG_AL> | UNKNOWN_HOST[AIIN] | UNKNOWN_HOST[CKHY] | CLOSE(UNKNOWN_HOST[CHE])	<unbekannter Kartenwert OLOR>; VERKNUEPFE <lokal gegebenen, inhaltlich unbekannten Anschluss>; <unbekannter Kartenwert ECKH>; <unbekannter Kartenwert AIIN>; <unbekannter Kartenwert OKEED>; <unbekannter Kartenwert AIIN>; <unbekannter Kartenwert CKHY>; <unbekannter Kartenwert CHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f81v	1	f81v.7	2	1	qol	FRAME_O(LINK)	VERKNUEPFE <lokal gegebenen, inhaltlich unbekannten Anschluss>	UNASSIGNED
f81v	1	f81v.17	1	1	sshkchdy	CLOSE(UNKNOWN_HOST[SHKCH])	<unbekannter Kartenwert SHKCH>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f81v	1	f81v.17	2	3	chedy ol shedy	VARIANT_D(UNKNOWN_HOST[Y]) | FRAME_O(LINK) | CLOSE(UNKNOWN_HOST[E])	<unbekannter Kartenwert Y>; VERKNUEPFE <lokal gegebenen, inhaltlich unbekannten Anschluss>; <unbekannter Kartenwert E>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f81v	1	f81v.17	3	1	qolchedy	CLOSE(UNKNOWN_HOST[OLCHE])	<unbekannter Kartenwert OLCHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f81v	1	f81v.17	4	4	qokain shckhy dl ral	SET(<ARG_AIN>) | UNKNOWN_HOST[CKHY] | LINK | UNKNOWN_HOST[R] + <ARG_AL>	SETZE <formal ausgewiesenes, inhaltlich unbekanntes Argument>; <unbekannter Kartenwert CKHY>; VERKNUEPFE <lokal gegebenen, inhaltlich unbekannten Anschluss>; <unbekannter Kartenwert R>	UNASSIGNED
f81v	1	f81v.18	1	1	qokchdy	CLOSE(UNKNOWN_HOST[OKCH])	<unbekannter Kartenwert OKCH>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f81v	1	f81v.18	2	5	chey ol cheky ol shedy	UNKNOWN_HOST[Y] | FRAME_O(LINK) | UNKNOWN_HOST[KY] | FRAME_O(LINK) | CLOSE(UNKNOWN_HOST[E])	<unbekannter Kartenwert Y>; VERKNUEPFE <lokal gegebenen, inhaltlich unbekannten Anschluss>; <unbekannter Kartenwert KY>; VERKNUEPFE <lokal gegebenen, inhaltlich unbekannten Anschluss>; <unbekannter Kartenwert E>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f81v	1	f81v.18	3	1	qokedy	CLOSE(UNKNOWN_HOST[OKE])	<unbekannter Kartenwert OKE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f81v	1	f81v.18	4	1	qokedy	CLOSE(UNKNOWN_HOST[OKE])	<unbekannter Kartenwert OKE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f81v	1	f81v.18	5	2	chckhy qoky	UNKNOWN_HOST[CKHY] | UNKNOWN_HOST[OKY]	<unbekannter Kartenwert CKHY>; <unbekannter Kartenwert OKY>	UNASSIGNED
f81v	1	f81v.21	1	3	lsho qokey lshedy	UNKNOWN_HOST[LSHO] | UNKNOWN_HOST[OKEY] | CLOSE(UNKNOWN_HOST[LSHE])	<unbekannter Kartenwert LSHO>; <unbekannter Kartenwert OKEY>; <unbekannter Kartenwert LSHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f81v	1	f81v.21	2	1	lshedy	CLOSE(UNKNOWN_HOST[LSHE])	<unbekannter Kartenwert LSHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f81v	1	f81v.21	3	5	chedy qolky lchedal qol otar	VARIANT_D(UNKNOWN_HOST[Y]) | UNKNOWN_HOST[OLKY] | UNKNOWN_HOST[LCHED] + <ARG_AL> | FRAME_O(LINK) | MARK(<ARG_AR>)	<unbekannter Kartenwert Y>; <unbekannter Kartenwert OLKY>; <unbekannter Kartenwert LCHED>; VERKNUEPFE <lokal gegebenen, inhaltlich unbekannten Anschluss>; MARKIERE <formal ausgewiesenen, inhaltlich unbekannten Bezug>	UNASSIGNED
f81v	1	f81v.24	1	2	ytey okchedy	UNKNOWN_HOST[YTEY] | CLOSE(UNKNOWN_HOST[OKCHE])	<unbekannter Kartenwert YTEY>; <unbekannter Kartenwert OKCHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f81v	1	f81v.24	2	4	qokal okeey qol cheedy	SET(<ARG_AL>) | UNKNOWN_HOST[OKEEY] | FRAME_O(LINK) | CLOSE(UNKNOWN_HOST[E])	SETZE <formal ausgewiesenes, inhaltlich unbekanntes Argument>; <unbekannter Kartenwert OKEEY>; VERKNUEPFE <lokal gegebenen, inhaltlich unbekannten Anschluss>; <unbekannter Kartenwert E>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f81v	1	f81v.24	3	3	sal teol dchdy	UNKNOWN_HOST[AL] | UNKNOWN_HOST[EOL] | CLOSE(UNKNOWN_HOST[CH])	<unbekannter Kartenwert AL>; <unbekannter Kartenwert EOL>; <unbekannter Kartenwert CH>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f81v	1	f81v.24	4	1	ly	UNKNOWN_HOST[LY]	<unbekannter Kartenwert LY>	UNASSIGNED
f81v	1	f81v.27	1	3	dsheol oiiin olkeedy	UNKNOWN_HOST[SHEOL] | UNKNOWN_HOST[OIIIN] | CLOSE(UNKNOWN_HOST[OLKEE])	<unbekannter Kartenwert SHEOL>; <unbekannter Kartenwert OIIIN>; <unbekannter Kartenwert OLKEE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f81v	1	f81v.27	2	1	tedy	CLOSE(UNKNOWN_HOST[E])	<unbekannter Kartenwert E>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f81v	1	f81v.27	3	2	cheky shckhedy	UNKNOWN_HOST[KY] | CLOSE(UNKNOWN_HOST[CKHE])	<unbekannter Kartenwert KY>; <unbekannter Kartenwert CKHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f81v	1	f81v.27	4	1	chal	UNKNOWN_HOST[AL]	<unbekannter Kartenwert AL>	UNASSIGNED
f82r	1	f82r.2	1	1	dchedy	CLOSE(UNKNOWN_HOST[CHE])	<unbekannter Kartenwert CHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f82r	1	f82r.2	2	1	qolchedy	CLOSE(UNKNOWN_HOST[OLCHE])	<unbekannter Kartenwert OLCHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f82r	1	f82r.2	3	3	qokain dy qokeedy	SET(<ARG_AIN>) | UNKNOWN_HOST[Y] | CLOSE(UNKNOWN_HOST[OKEE])	SETZE <formal ausgewiesenes, inhaltlich unbekanntes Argument>; <unbekannter Kartenwert Y>; <unbekannter Kartenwert OKEE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f82r	1	f82r.2	4	3	qokal lcheckhy lched	SET(<ARG_AL>) | UNKNOWN_HOST[LCHECKHY] | UNKNOWN_HOST[LCHED]	SETZE <formal ausgewiesenes, inhaltlich unbekanntes Argument>; <unbekannter Kartenwert LCHECKHY>; <unbekannter Kartenwert LCHED>	UNASSIGNED
f82r	1	f82r.3	1	2	qokeey lcheckhedy	UNKNOWN_HOST[OKEEY] | CLOSE(UNKNOWN_HOST[LCHECKHE])	<unbekannter Kartenwert OKEEY>; <unbekannter Kartenwert LCHECKHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f82r	1	f82r.3	2	4	qokaly solkaiin chckhy qokaiin	UNKNOWN_HOST[OKALY] | UNKNOWN_HOST[OLK] + <ARG_AIIN> | UNKNOWN_HOST[CKHY] | SET(<ARG_AIIN>)	<unbekannter Kartenwert OKALY>; <unbekannter Kartenwert OLK>; <unbekannter Kartenwert CKHY>; SETZE <formal ausgewiesenes, inhaltlich unbekanntes Argument>	UNASSIGNED
f82r	1	f82r.4	1	4	qokaiin octheol chkeey ldy	SET(<ARG_AIIN>) | UNKNOWN_HOST[OCTHEOL] | UNKNOWN_HOST[KEEY] | CLOSE(LINK)	SETZE <formal ausgewiesenes, inhaltlich unbekanntes Argument>; <unbekannter Kartenwert OCTHEOL>; <unbekannter Kartenwert KEEY>; VERKNUEPFE <lokal gegebenen, inhaltlich unbekannten Anschluss>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f82r	1	f82r.4	2	4	oteey qokal sheckhy qoky	FRAME_OT(UNKNOWN_HOST[EEY]) | SET(<ARG_AL>) | UNKNOWN_HOST[ECKHY] | UNKNOWN_HOST[OKY]	<unbekannter Kartenwert EEY>; SETZE <formal ausgewiesenes, inhaltlich unbekanntes Argument>; <unbekannter Kartenwert ECKHY>; <unbekannter Kartenwert OKY>	UNASSIGNED
f82r	1	f82r.7	1	1	dshedy	CLOSE(UNKNOWN_HOST[SHE])	<unbekannter Kartenwert SHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f82r	1	f82r.7	2	3	sotaiin qokar shedy	MARK(<ARG_AIIN>) | SET(<ARG_AR>) | CLOSE(UNKNOWN_HOST[E])	MARKIERE <formal ausgewiesenen, inhaltlich unbekannten Bezug>; SETZE <formal ausgewiesenes, inhaltlich unbekanntes Argument>; <unbekannter Kartenwert E>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f82r	1	f82r.7	3	1	solshedy	CLOSE(UNKNOWN_HOST[OLSHE])	<unbekannter Kartenwert OLSHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f82r	1	f82r.7	4	4	qokeey qoky ls cheey	UNKNOWN_HOST[OKEEY] | UNKNOWN_HOST[OKY] | UNKNOWN_HOST[LS] | UNKNOWN_HOST[EY]	<unbekannter Kartenwert OKEEY>; <unbekannter Kartenwert OKY>; <unbekannter Kartenwert LS>; <unbekannter Kartenwert EY>	UNASSIGNED
f82r	1	f82r.19	1	4	okain char okain qokeedy	SET(<ARG_AIN>) | UNKNOWN_HOST[AR] | SET(<ARG_AIN>) | CLOSE(UNKNOWN_HOST[OKEE])	SETZE <formal ausgewiesenes, inhaltlich unbekanntes Argument>; <unbekannter Kartenwert AR>; SETZE <formal ausgewiesenes, inhaltlich unbekanntes Argument>; <unbekannter Kartenwert OKEE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f82r	1	f82r.19	2	1	lchy	UNKNOWN_HOST[LCHY]	<unbekannter Kartenwert LCHY>	UNASSIGNED
f82r	1	f82r.23	1	7	cheey qcthey qokeey lcheey daiin chey qokeeedy	UNKNOWN_HOST[EY] | UNKNOWN_HOST[CTHEY] | UNKNOWN_HOST[OKEEY] | UNKNOWN_HOST[LCHEEY] | UNKNOWN_HOST[AIIN] | UNKNOWN_HOST[Y] | CLOSE(UNKNOWN_HOST[OKEEE])	<unbekannter Kartenwert EY>; <unbekannter Kartenwert CTHEY>; <unbekannter Kartenwert OKEEY>; <unbekannter Kartenwert LCHEEY>; <unbekannter Kartenwert AIIN>; <unbekannter Kartenwert Y>; <unbekannter Kartenwert OKEEE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f82r	1	f82r.23	2	1	lchedy	CLOSE(UNKNOWN_HOST[LCHE])	<unbekannter Kartenwert LCHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f82r	1	f82r.23	3	1	lar	LINK(<ARG_AR>)	VERKNUEPFE <lokal gegebenen, inhaltlich unbekannten Anschluss>	UNASSIGNED
f82r	1	f82r.26	1	2	tshey qokeedy	UNKNOWN_HOST[SHEY] | CLOSE(UNKNOWN_HOST[OKEE])	<unbekannter Kartenwert SHEY>; <unbekannter Kartenwert OKEE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f82r	1	f82r.26	2	7	cheal lchedar ches aiin oteey qokaiin okey	UNKNOWN_HOST[AL] | UNKNOWN_HOST[LCHED] + <ARG_AR> | UNKNOWN_HOST[S] | UNKNOWN_HOST[AIIN] | FRAME_OT(UNKNOWN_HOST[EEY]) | SET(<ARG_AIIN>) | UNKNOWN_HOST[OKEY]	<unbekannter Kartenwert AL>; <unbekannter Kartenwert LCHED>; <unbekannter Kartenwert S>; <unbekannter Kartenwert AIIN>; <unbekannter Kartenwert EEY>; SETZE <formal ausgewiesenes, inhaltlich unbekanntes Argument>; <unbekannter Kartenwert OKEY>	UNASSIGNED
f82r	1	f82r.27	1	1	pchedy	CLOSE(UNKNOWN_HOST[PCHE])	<unbekannter Kartenwert PCHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f82r	1	f82r.27	2	2	rsheal daldy	UNKNOWN_HOST[RSHE] + <ARG_AL> | CLOSE(UNKNOWN_HOST[AL])	<unbekannter Kartenwert RSHE>; <unbekannter Kartenwert AL>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f82r	1	f82r.27	3	1	qokeedy	CLOSE(UNKNOWN_HOST[OKEE])	<unbekannter Kartenwert OKEE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f82r	1	f82r.27	4	1	rshedy	CLOSE(UNKNOWN_HOST[RSHE])	<unbekannter Kartenwert RSHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f82r	1	f82r.27	5	1	qoteedy	CLOSE(FRAME_OT(UNKNOWN_HOST[EE]))	<unbekannter Kartenwert EE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f82r	1	f82r.27	6	1	qokeedy	CLOSE(UNKNOWN_HOST[OKEE])	<unbekannter Kartenwert OKEE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f82r	1	f82r.27	7	1	lochedy	CLOSE(UNKNOWN_HOST[LOCHE])	<unbekannter Kartenwert LOCHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.3	1	1	olkeedy	CLOSE(UNKNOWN_HOST[OLKEE])	<unbekannter Kartenwert OLKEE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.3	2	2	qotal chkeedy	MARK(<ARG_AL>) | CLOSE(UNKNOWN_HOST[KEE])	MARKIERE <formal ausgewiesenen, inhaltlich unbekannten Bezug>; <unbekannter Kartenwert KEE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.3	3	4	chey daiin chey lchedy	UNKNOWN_HOST[Y] | UNKNOWN_HOST[AIIN] | UNKNOWN_HOST[Y] | CLOSE(UNKNOWN_HOST[LCHE])	<unbekannter Kartenwert Y>; <unbekannter Kartenwert AIIN>; <unbekannter Kartenwert Y>; <unbekannter Kartenwert LCHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.3	4	3	qokaiin qotal dar	SET(<ARG_AIIN>) | MARK(<ARG_AL>) | UNKNOWN_HOST[AR]	SETZE <formal ausgewiesenes, inhaltlich unbekanntes Argument>; MARKIERE <formal ausgewiesenen, inhaltlich unbekannten Bezug>; <unbekannter Kartenwert AR>	UNASSIGNED
f83r	1	f83r.6	1	1	schedy	CLOSE(UNKNOWN_HOST[CHE])	<unbekannter Kartenwert CHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.6	2	3	chedchy qokal olchedy	VARIANT_D(UNKNOWN_HOST[CHY]) | SET(<ARG_AL>) | CLOSE(UNKNOWN_HOST[OLCHE])	<unbekannter Kartenwert CHY>; SETZE <formal ausgewiesenes, inhaltlich unbekanntes Argument>; <unbekannter Kartenwert OLCHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.6	3	3	qokaiin chedy qokeedy	SET(<ARG_AIIN>) | VARIANT_D(UNKNOWN_HOST[Y]) | CLOSE(UNKNOWN_HOST[OKEE])	SETZE <formal ausgewiesenes, inhaltlich unbekanntes Argument>; <unbekannter Kartenwert Y>; <unbekannter Kartenwert OKEE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.6	4	1	lchedy	CLOSE(UNKNOWN_HOST[LCHE])	<unbekannter Kartenwert LCHE>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f83r	1	f83r.6	5	1	qoky	UNKNOWN_HOST[OKY]	<unbekannter Kartenwert OKY>	UNASSIGNED
f83r	1	f83r.8	1	2	pchedal otedy	UNKNOWN_HOST[PCHED] + <ARG_AL> | CLOSE(FRAME_OT(UNKNOWN_HOST[E]))	<unbekannter Kartenwert PCHED>; <unbekannter Kartenwert E>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
