page	record	locus	field_ordinal	event_count	surface_sequence	formal_sequence	atomic_working_sequence_German	complete_creative_translation_German
f55v	1	f55v.11	2	6	aiin okal oltchy or y orain	UNKNOWN_HOST[AIIN] | SET(<ARG_AL>) | UNKNOWN_HOST[OLTCHY] | UNKNOWN_HOST[OR] | UNKNOWN_HOST[Y] | UNKNOWN_HOST[OR] + <ARG_AIN>	MASS | SETZEN | UNBEKANNT | ANSATZ | UNBEKANNT | ANSATZ	Ein vorgeschriebenes Maß ; mische beide Anteile zusammen ; bewahre es in einem bedeckten Gefäß ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; gebrauche die fertige Flüssigkeit frisch
f56r	1	f56r.5	1	4	chochor cho chodaly daiin	FRAME_O(UNKNOWN_HOST[CHOR]) | UNKNOWN_HOST[O] | UNKNOWN_HOST[ODALY] | UNKNOWN_HOST[AIIN]	UNBEKANNT | UNBEKANNT | UNBEKANNT | MASS	sammle die Pflanze im Frühjahr ; nimm danach den folgenden Zusatz oder Pflanzenteil ; die dünne untere Wurzel ; Ein vorgeschriebenes Maß
f56r	1	f56r.7	1	5	sho kchol otchor choky dal	UNKNOWN_HOST[O] | UNKNOWN_HOST[KCHOL] | FRAME_OT(UNKNOWN_HOST[CHOR]) | UNKNOWN_HOST[OKY] | UNKNOWN_HOST[AL]	UNBEKANNT | UNBEKANNT | UNBEKANNT | NUTZEN | ZU	nimm danach den folgenden Zusatz oder Pflanzenteil ; lasse es in Weißwein ziehen ; vor der Blüte gesammelt ; Die aktive Portion verwenden ; An die bezeichnete Zielstelle führen
f56r	1	f56r.8	1	4	schol choy choky cheeckhody	UNKNOWN_HOST[CHOL] | FRAME_O(UNKNOWN_HOST[Y]) | UNKNOWN_HOST[OKY] | CLOSE(UNKNOWN_HOST[ECKHO])	UNBEKANNT | UNBEKANNT | NUTZEN | UNBEKANNT	von diesem abgebildeten Simplex ; die auf feuchter schattiger Heide wächst ; Die aktive Portion verwenden ; lasse das Pflaster unbedeckt trocknen
f56r	1	f56r.12	1	4	sh cho kchey qokokchy	UNKNOWN_HOST[H] | UNKNOWN_HOST[O] | UNKNOWN_HOST[KCHEY] | UNKNOWN_HOST[OKOKCHY]	UNBEKANNT | UNBEKANNT | UNBEKANNT | UNBEKANNT	ihren kleinen Samen- oder Knospenkopf ; nimm danach den folgenden Zusatz oder Pflanzenteil ; das getrocknete schmale Blatt ; trockne es im Schatten
f56r	1	f56r.13	1	3	okchy chokcheo kchal	UNKNOWN_HOST[OKCHY] | UNKNOWN_HOST[OKCHEO] | UNKNOWN_HOST[KCH] + <ARG_AL>	UNBEKANNT | UNBEKANNT | UNBEKANNT	gebrauche die frisch bereitete Arznei ; trinke es bei Magenschmerz ; bewahre den Rest trocken im Schatten
f56r	1	f56r.18	1	4	sho chokchy kchoar sotodan	UNKNOWN_HOST[O] | UNKNOWN_HOST[OKCHY] | UNKNOWN_HOST[KCHO] + <ARG_AR> | UNKNOWN_HOST[OTODAN]	UNBEKANNT | UNBEKANNT | UNBEKANNT | UNBEKANNT	nimm danach den folgenden Zusatz oder Pflanzenteil ; gebrauche die frisch bereitete Arznei ; mische es mit Honig ; gebrauche es frisch vermischt
f56r	1	f56r.19	1	3	otchey keol daiin	FRAME_OT(UNKNOWN_HOST[CHEY]) | UNKNOWN_HOST[KEOL] | UNKNOWN_HOST[AIIN]	ANTEIL | UNBEKANNT | MASS	Nimm den bezeichneten Anteil ; die helle geöffnete Blüte ; Ein vorgeschriebenes Maß
f81v	1	f81v.2	1	1	qokedy	CLOSE(UNKNOWN_HOST[OKE])	SPÜLEN	spüle die bezeichnete Stelle einmal und beende den Schritt
f81v	1	f81v.2	2	11	okaiin kair okal sar ol kain olkain al ol rol dl	SET(<ARG_AIIN>) | UNKNOWN_HOST[K] + <ARG_AIR> | SET(<ARG_AL>) | UNKNOWN_HOST[AR] | FRAME_O(LINK) | UNKNOWN_HOST[K] + <ARG_AIN> | UNKNOWN_HOST[OLK] + <ARG_AIN> | UNKNOWN_HOST[AL] | FRAME_O(LINK) | UNKNOWN_HOST[ROL] | LINK	SETZEN | UNBEKANNT | SETZEN | UNBEKANNT | VERKNÜPFEN | UNBEKANNT | UNBEKANNT | ZU | VERKNÜPFEN | UNBEKANNT | VERKNÜPFEN	beginne den nächsten abgemessenen Posten ; der zurücklaufende Strom ; mische beide Anteile zusammen ; Daraus, aus demselben Ansatz ; Mit der vorigen Zubereitung weiter ; ein abgemessener Anteil ; das untere Becken ; An die bezeichnete Zielstelle führen ; Mit der vorigen Zubereitung weiter ; bevor es abkühlt ; das bereitete Öl
f81v	1	f81v.7	1	8	olor ol sheckhal daiin qokeedal daiin chckhy schedy	UNKNOWN_HOST[OLOR] | FRAME_O(LINK) | UNKNOWN_HOST[ECKH] + <ARG_AL> | UNKNOWN_HOST[AIIN] | UNKNOWN_HOST[OKEED] + <ARG_AL> | UNKNOWN_HOST[AIIN] | UNKNOWN_HOST[CKHY] | CLOSE(UNKNOWN_HOST[CHE])	VORIGES | VERKNÜPFEN | UNBEKANNT | MASS | UNBEKANNT | MASS | VERBINDUNG | UNBEKANNT	Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; eine mäßige Menge ; Ein vorgeschriebenes Maß ; der eingetauchte Teil ; Ein vorgeschriebenes Maß ; durch die verbundenen Läufe ; spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt
f81v	1	f81v.7	2	1	qol	FRAME_O(LINK)	VERKNÜPFEN	Mit der vorigen Zubereitung weiter
f81v	1	f81v.17	1	1	sshkchdy	CLOSE(UNKNOWN_HOST[SHKCH])	UNBEKANNT	halte es warm und beende den Schritt
f81v	1	f81v.17	2	3	chedy ol shedy	VARIANT_D(UNKNOWN_HOST[Y]) | FRAME_O(LINK) | CLOSE(UNKNOWN_HOST[E])	UNBEKANNT | VERKNÜPFEN | BIS	rühre, bis alles gleichmäßig vermischt ist ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt
f81v	1	f81v.17	3	1	qolchedy	CLOSE(UNKNOWN_HOST[OLCHE])	UNBEKANNT	stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt
f81v	1	f81v.17	4	4	qokain shckhy dl ral	SET(<ARG_AIN>) | UNKNOWN_HOST[CKHY] | LINK | UNKNOWN_HOST[R] + <ARG_AL>	SETZEN | VERBINDUNG | VERKNÜPFEN | UNBEKANNT	gib einen abgemessenen Anteil in das Gefäß ; durch die verbundenen Läufe ; das bereitete Öl ; und lasse es abkühlen
f81v	1	f81v.18	1	1	qokchdy	CLOSE(UNKNOWN_HOST[OKCH])	UNBEKANNT	erwärme es einmal und beende den Schritt
f81v	1	f81v.18	2	5	chey ol cheky ol shedy	UNKNOWN_HOST[Y] | FRAME_O(LINK) | UNKNOWN_HOST[KY] | FRAME_O(LINK) | CLOSE(UNKNOWN_HOST[E])	UNBEKANNT | VERKNÜPFEN | UNBEKANNT | VERKNÜPFEN | BIS	Diese aktive Portion ; Mit der vorigen Zubereitung weiter ; bei sanfter Wärme ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt
f81v	1	f81v.18	3	1	qokedy	CLOSE(UNKNOWN_HOST[OKE])	SPÜLEN	spüle die bezeichnete Stelle einmal und beende den Schritt
f81v	1	f81v.18	4	1	qokedy	CLOSE(UNKNOWN_HOST[OKE])	SPÜLEN	spüle die bezeichnete Stelle einmal und beende den Schritt
f81v	1	f81v.18	5	2	chckhy qoky	UNKNOWN_HOST[CKHY] | UNKNOWN_HOST[OKY]	VERBINDUNG | NUTZEN	durch die verbundenen Läufe ; Die aktive Portion verwenden
f81v	1	f81v.21	1	3	lsho qokey lshedy	UNKNOWN_HOST[LSHO] | UNKNOWN_HOST[OKEY] | CLOSE(UNKNOWN_HOST[LSHE])	UNBEKANNT | UNBEKANNT | UNBEKANNT	beginne die Spülung ; warmes Wasser ; wasche einmal und beende diesen Durchgang
f81v	1	f81v.21	2	1	lshedy	CLOSE(UNKNOWN_HOST[LSHE])	UNBEKANNT	wasche einmal und beende diesen Durchgang
f81v	1	f81v.21	3	5	chedy qolky lchedal qol otar	VARIANT_D(UNKNOWN_HOST[Y]) | UNKNOWN_HOST[OLKY] | UNKNOWN_HOST[LCHED] + <ARG_AL> | FRAME_O(LINK) | MARK(<ARG_AR>)	UNBEKANNT | UNBEKANNT | UNBEKANNT | VERKNÜPFEN | MARKIEREN	rühre, bis alles gleichmäßig vermischt ist ; die betroffene Stelle ; das untere Becken ; Mit der vorigen Zubereitung weiter ; benutze danach den unteren Ablauf
f81v	1	f81v.24	1	2	ytey okchedy	UNKNOWN_HOST[YTEY] | CLOSE(UNKNOWN_HOST[OKCHE])	UNBEKANNT | UNBEKANNT	fülle danach das Gefäß ; lasse es abkühlen und beende den Schritt
f81v	1	f81v.24	2	4	qokal okeey qol cheedy	SET(<ARG_AL>) | UNKNOWN_HOST[OKEEY] | FRAME_O(LINK) | CLOSE(UNKNOWN_HOST[E])	SETZEN | LAUWARM | VERKNÜPFEN | BIS	mische beide Anteile zusammen ; temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt
f81v	1	f81v.24	3	3	sal teol dchdy	UNKNOWN_HOST[AL] | UNKNOWN_HOST[EOL] | CLOSE(UNKNOWN_HOST[CH])	ZU | UNBEKANNT | UNBEKANNT	An die bezeichnete Zielstelle führen ; die erste Öffnung ; seihe es klar und beende den Schritt
f81v	1	f81v.24	4	1	ly	UNKNOWN_HOST[LY]	UNBEKANNT	fülle danach das Gefäß
f81v	1	f81v.27	1	3	dsheol oiiin olkeedy	UNKNOWN_HOST[SHEOL] | UNKNOWN_HOST[OIIIN] | CLOSE(UNKNOWN_HOST[OLKEE])	UNBEKANNT | UNBEKANNT | UNBEKANNT	wende es an der markierten Stelle an ; bis es klar ist ; lasse die Flüssigkeit sich setzen und beende den Schritt
f81v	1	f81v.27	2	1	tedy	CLOSE(UNKNOWN_HOST[E])	BIS	lasse es bis zur Bereitschaft stehen und beende den Schritt
f81v	1	f81v.27	3	2	cheky shckhedy	UNKNOWN_HOST[KY] | CLOSE(UNKNOWN_HOST[CKHE])	UNBEKANNT | UNBEKANNT	bei sanfter Wärme ; seihe es einmal durch ein Tuch und beende den Schritt
f81v	1	f81v.27	4	1	chal	UNKNOWN_HOST[AL]	ZU	An die bezeichnete Zielstelle führen
f82r	1	f82r.2	1	1	dchedy	CLOSE(UNKNOWN_HOST[CHE])	UNBEKANNT	spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt
f82r	1	f82r.2	2	1	qolchedy	CLOSE(UNKNOWN_HOST[OLCHE])	UNBEKANNT	stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt
f82r	1	f82r.2	3	3	qokain dy qokeedy	SET(<ARG_AIN>) | UNKNOWN_HOST[Y] | CLOSE(UNKNOWN_HOST[OKEE])	SETZEN | UNBEKANNT | UNBEKANNT	gib einen abgemessenen Anteil in das Gefäß ; Diese aktive Portion ; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f82r	1	f82r.2	4	3	qokal lcheckhy lched	SET(<ARG_AL>) | UNKNOWN_HOST[LCHECKHY] | UNKNOWN_HOST[LCHED]	SETZEN | UNBEKANNT | UNBEKANNT	mische beide Anteile zusammen ; die zweite Öffnung ; und gehe zum nächsten Becken weiter
f82r	1	f82r.3	1	2	qokeey lcheckhedy	UNKNOWN_HOST[OKEEY] | CLOSE(UNKNOWN_HOST[LCHECKHE])	LAUWARM | UNBEKANNT	temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; seihe es klar und beende den Schritt
f82r	1	f82r.3	2	4	qokaly solkaiin chckhy qokaiin	UNKNOWN_HOST[OKALY] | UNKNOWN_HOST[OLK] + <ARG_AIIN> | UNKNOWN_HOST[CKHY] | SET(<ARG_AIIN>)	UNBEKANNT | UNBEKANNT | VERBINDUNG | SETZEN	fahre am zweiten Lauf fort ; durch ein Tuch ; durch die verbundenen Läufe ; beginne den nächsten abgemessenen Posten
f82r	1	f82r.4	1	4	qokaiin octheol chkeey ldy	SET(<ARG_AIIN>) | UNKNOWN_HOST[OCTHEOL] | UNKNOWN_HOST[KEEY] | CLOSE(LINK)	SETZEN | UNBEKANNT | UNBEKANNT | VERKNÜPFEN	beginne den nächsten abgemessenen Posten ; unter derselben Einstellung ; das breite Gefäß ; ziehe es ab und beende den Schritt
f82r	1	f82r.4	2	4	oteey qokal sheckhy qoky	FRAME_OT(UNKNOWN_HOST[EEY]) | SET(<ARG_AL>) | UNKNOWN_HOST[ECKHY] | UNKNOWN_HOST[OKY]	UNBEKANNT | SETZEN | UNBEKANNT | NUTZEN	das bereitete Öl ; mische beide Anteile zusammen ; über der örtlich bezeichneten Stelle ; Die aktive Portion verwenden
f82r	1	f82r.7	1	1	dshedy	CLOSE(UNKNOWN_HOST[SHE])	UNBEKANNT	gib sauberes Wasser hinzu und beende den Schritt
f82r	1	f82r.7	2	3	sotaiin qokar shedy	MARK(<ARG_AIIN>) | SET(<ARG_AR>) | CLOSE(UNKNOWN_HOST[E])	MARKIEREN | SETZEN | BIS	für dieselbe Dauer wie zuvor ; über der örtlich bezeichneten Stelle ; lasse es bis zur Bereitschaft stehen und beende den Schritt
f82r	1	f82r.7	3	1	solshedy	CLOSE(UNKNOWN_HOST[OLSHE])	UNBEKANNT	halte es warm und beende den Schritt
f82r	1	f82r.7	4	4	qokeey qoky ls cheey	UNKNOWN_HOST[OKEEY] | UNKNOWN_HOST[OKY] | UNKNOWN_HOST[LS] | UNKNOWN_HOST[EY]	LAUWARM | NUTZEN | UNBEKANNT | FERTIG	temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; Die aktive Portion verwenden ; die erste Öffnung ; Bis die Flüssigkeit klar abläuft
f82r	1	f82r.19	1	4	okain char okain qokeedy	SET(<ARG_AIN>) | UNKNOWN_HOST[AR] | SET(<ARG_AIN>) | CLOSE(UNKNOWN_HOST[OKEE])	SETZEN | UNBEKANNT | SETZEN | UNBEKANNT	gib einen abgemessenen Anteil in das Gefäß ; Daraus, aus demselben Ansatz ; gib einen abgemessenen Anteil in das Gefäß ; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f82r	1	f82r.19	2	1	lchy	UNKNOWN_HOST[LCHY]	UNBEKANNT	ziehe die klare Flüssigkeit ab
f82r	1	f82r.23	1	7	cheey qcthey qokeey lcheey daiin chey qokeeedy	UNKNOWN_HOST[EY] | UNKNOWN_HOST[CTHEY] | UNKNOWN_HOST[OKEEY] | UNKNOWN_HOST[LCHEEY] | UNKNOWN_HOST[AIIN] | UNKNOWN_HOST[Y] | CLOSE(UNKNOWN_HOST[OKEEE])	FERTIG | UNBEKANNT | LAUWARM | UNBEKANNT | MASS | UNBEKANNT | UNBEKANNT	Bis die Flüssigkeit klar abläuft ; unter derselben Einstellung ; temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; der eingetauchte Teil ; Ein vorgeschriebenes Maß ; Diese aktive Portion ; tauche vollständig ein und beende den Schritt
f82r	1	f82r.23	2	1	lchedy	CLOSE(UNKNOWN_HOST[LCHE])	ABLASS	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt
f82r	1	f82r.23	3	1	lar	LINK(<ARG_AR>)	VERKNÜPFEN	schließe den unteren Ablauf
f82r	1	f82r.26	1	2	tshey qokeedy	UNKNOWN_HOST[SHEY] | CLOSE(UNKNOWN_HOST[OKEE])	UNBEKANNT | UNBEKANNT	beginne die Spülung ; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f82r	1	f82r.26	2	7	cheal lchedar ches aiin oteey qokaiin okey	UNKNOWN_HOST[AL] | UNKNOWN_HOST[LCHED] + <ARG_AR> | UNKNOWN_HOST[S] | UNKNOWN_HOST[AIIN] | FRAME_OT(UNKNOWN_HOST[EEY]) | SET(<ARG_AIIN>) | UNKNOWN_HOST[OKEY]	ZU | UNBEKANNT | UNBEKANNT | MASS | UNBEKANNT | SETZEN | UNBEKANNT	An die bezeichnete Zielstelle führen ; kühles Wasser ; zu gleichen Anteilen ; Ein vorgeschriebenes Maß ; das bereitete Öl ; beginne den nächsten abgemessenen Posten ; warmes Wasser
f82r	1	f82r.27	1	1	pchedy	CLOSE(UNKNOWN_HOST[PCHE])	UNBEKANNT	ziehe es ab und beende den Schritt
f82r	1	f82r.27	2	2	rsheal daldy	UNKNOWN_HOST[RSHE] + <ARG_AL> | CLOSE(UNKNOWN_HOST[AL])	UNBEKANNT | ZU	gieße das erwärmte Wasser ein ; wiederhole es an der zweiten Öffnung und beende den Schritt
f82r	1	f82r.27	3	1	qokeedy	CLOSE(UNKNOWN_HOST[OKEE])	UNBEKANNT	bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f82r	1	f82r.27	4	1	rshedy	CLOSE(UNKNOWN_HOST[RSHE])	UNBEKANNT	trinke den angegebenen Anteil und beende den Schritt
f82r	1	f82r.27	5	1	qoteedy	CLOSE(FRAME_OT(UNKNOWN_HOST[EE]))	UNBEKANNT	binde es auf die Stelle und beende den Schritt
f82r	1	f82r.27	6	1	qokeedy	CLOSE(UNKNOWN_HOST[OKEE])	UNBEKANNT	bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f82r	1	f82r.27	7	1	lochedy	CLOSE(UNKNOWN_HOST[LOCHE])	UNBEKANNT	mische zu gleichen Teilen und beende den Schritt
f83r	1	f83r.3	1	1	olkeedy	CLOSE(UNKNOWN_HOST[OLKEE])	UNBEKANNT	lasse die Flüssigkeit sich setzen und beende den Schritt
f83r	1	f83r.3	2	2	qotal chkeedy	MARK(<ARG_AL>) | CLOSE(UNKNOWN_HOST[KEE])	MARKIEREN | UNBEKANNT	zum unteren Ablauf hin ; tauche vollständig ein und beende den Schritt
f83r	1	f83r.3	3	4	chey daiin chey lchedy	UNKNOWN_HOST[Y] | UNKNOWN_HOST[AIIN] | UNKNOWN_HOST[Y] | CLOSE(UNKNOWN_HOST[LCHE])	UNBEKANNT | MASS | UNBEKANNT | ABLASS	Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion ; lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt
f83r	1	f83r.3	4	3	qokaiin qotal dar	SET(<ARG_AIIN>) | MARK(<ARG_AL>) | UNKNOWN_HOST[AR]	SETZEN | MARKIEREN | UNBEKANNT	beginne den nächsten abgemessenen Posten ; zum unteren Ablauf hin ; Daraus, aus demselben Ansatz
f83r	1	f83r.6	1	1	schedy	CLOSE(UNKNOWN_HOST[CHE])	UNBEKANNT	spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt
f83r	1	f83r.6	2	3	chedchy qokal olchedy	VARIANT_D(UNKNOWN_HOST[CHY]) | SET(<ARG_AL>) | CLOSE(UNKNOWN_HOST[OLCHE])	UNBEKANNT | SETZEN | UNBEKANNT	gieße das erwärmte Wasser ein ; mische beide Anteile zusammen ; stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt
f83r	1	f83r.6	3	3	qokaiin chedy qokeedy	SET(<ARG_AIIN>) | VARIANT_D(UNKNOWN_HOST[Y]) | CLOSE(UNKNOWN_HOST[OKEE])	SETZEN | UNBEKANNT | UNBEKANNT	beginne den nächsten abgemessenen Posten ; rühre, bis alles gleichmäßig vermischt ist ; bade oder tauche in der temperierten warmen Flüssigkeit und beende den Schritt
f83r	1	f83r.6	4	1	lchedy	CLOSE(UNKNOWN_HOST[LCHE])	ABLASS	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ablaufen und beende den Schritt
f83r	1	f83r.6	5	1	qoky	UNKNOWN_HOST[OKY]	NUTZEN	Die aktive Portion verwenden
f83r	1	f83r.8	1	2	pchedal otedy	UNKNOWN_HOST[PCHED] + <ARG_AL> | CLOSE(FRAME_OT(UNKNOWN_HOST[E]))	UNBEKANNT | BIS	fülle danach das Gefäß ; lasse es bis zur Klarheit ziehen und beende den Schritt
f83r	1	f83r.8	2	4	shecthedchy qoky chedy chary	UNKNOWN_HOST[ECTHEDCHY] | UNKNOWN_HOST[OKY] | VARIANT_D(UNKNOWN_HOST[Y]) | UNKNOWN_HOST[ARY]	UNBEKANNT | NUTZEN | UNBEKANNT | UNBEKANNT	wende es an der markierten Stelle an ; Die aktive Portion verwenden ; rühre, bis alles gleichmäßig vermischt ist ; und lasse es abkühlen
f83r	1	f83r.11	1	2	sor shedy	UNKNOWN_HOST[OR] | CLOSE(UNKNOWN_HOST[E])	ANSATZ | BIS	Die bereitete Arbeitsflüssigkeit ; lasse es bis zur Bereitschaft stehen und beende den Schritt
